[['2, k, 0', [-0.601759, -0.686321, 1.0]], ['2, k, 1', [-0.609874, -0.393826, 1.0]], ['2, k, 2', [-0.615509, -0.105193, 1.0]], ['2, k, 3', [-0.611338, 0.00326417, 1.0]], ['2, k, 4', [-0.742344, -0.223026, 1.0]], ['2, k, 5', [-0.884905, -0.338128, 1.0]], ['2, k, 6', [-0.696419, -0.366135, 1.0]], ['2, k, 7', [-0.648645, -0.37239, 1.0]], ['2, k, 8', [-0.478494, -0.178877, 1.0]], ['2, k, 9', [-0.413878, -0.344076, 1.0]], ['2, k, 10', [-0.575488, -0.371364, 1.0]], ['2, k, 11', [-0.611778, -0.368428, 1.0]], ['2, k, 12', [-0.655525, -0.689294, 1.0]], ['2, k, 13', [-0.743327, -0.414591, 1.0]], ['2, k, 14', [-0.689216, -0.659031, 1.0]], ['2, k, 15', [-0.650984, -0.688812, 1.0]], ['2, k, 16', [-0.535604, -0.669216, 1.0]], ['2, k, 17', [-0.308589, -0.698961, 1.0]], ['2, k, 18', [-0.271969, -1.03117, 1.0]], ['2, k, 19', [-0.243344, -1.05307, 1.0]], ['2, k, 20', [-0.614548, -0.176875, 1.0]], ['2, k, 21', [-0.608367, -0.380757, 1.0]], ['2, k, 22', [-0.648789, -0.3329, 1.0]], ['2, k, 23', [-0.65015, -0.380971, 1.0]], ['2, k, 24', [-0.611484, -0.333031, 1.0]]]
[['2, k, 0', [-0.604753, -0.665368, 1.0]], ['2, k, 1', [-0.610167, -0.386928, 1.0]], ['2, k, 2', [-0.615115, -0.104653, 1.0]], ['2, k, 3', [-0.611324, 0.00391241, 1.0]], ['2, k, 4', [-0.741902, -0.222896, 1.0]], ['2, k, 5', [-0.884644, -0.338267, 1.0]], ['2, k, 6', [-0.818655, -0.397404, 1.0]], ['2, k, 7', [-0.776207, -0.418687, 1.0]], ['2, k, 8', [-0.47836, -0.178891, 1.0]], ['2, k, 9', [-0.415833, -0.342702, 1.0]], ['2, k, 10', [-0.556122, -0.37593, 1.0]], ['2, k, 11', [-0.611066, -0.369489, 1.0]], ['2, k, 12', [-0.658612, -0.668086, 1.0]], ['2, k, 13', [-0.760745, -0.384551, 1.0]], ['2, k, 14', [-0.642114, -0.76121, 1.0]], ['2, k, 15', [-0.528486, -0.753092, 1.0]], ['2, k, 16', [-0.538631, -0.649126, 1.0]], ['2, k, 17', [-0.299628, -0.712623, 1.0]], ['2, k, 18', [-0.260657, -1.0549, 1.0]], ['2, k, 19', [-0.234111, -1.07378, 1.0]], ['2, k, 20', [-0.61415, -0.175461, 1.0]], ['2, k, 21', [-0.731812, -0.427257, 1.0]], ['2, k, 22', [-0.703436, -0.411839, 1.0]], ['2, k, 23', [-0.649322, -0.390155, 1.0]], ['2, k, 24', [-0.619374, -0.330072, 1.0]]]
[['2, k, 0', [-0.587627, -0.626937, 1.0]], ['2, k, 1', [-0.605131, -0.369975, 1.0]], ['2, k, 2', [-0.614892, -0.103715, 1.0]], ['2, k, 3', [-0.611886, 0.0058464, 1.0]], ['2, k, 4', [-0.741622, -0.222845, 1.0]], ['2, k, 5', [-0.88374, -0.338127, 1.0]], ['2, k, 6', [-0.817869, -0.397128, 1.0]], ['2, k, 7', [-0.777587, -0.424668, 1.0]], ['2, k, 8', [-0.478923, -0.178803, 1.0]], ['2, k, 9', [-0.416447, -0.336448, 1.0]], ['2, k, 10', [-0.554693, -0.372076, 1.0]], ['2, k, 11', [-0.609354, -0.36975, 1.0]], ['2, k, 12', [-0.641489, -0.631146, 1.0]], ['2, k, 13', [-0.755133, -0.350082, 1.0]], ['2, k, 14', [-0.576538, -0.827572, 1.0]], ['2, k, 15', [-0.482633, -0.75344, 1.0]], ['2, k, 16', [-0.521972, -0.610147, 1.0]], ['2, k, 17', [-0.379394, -0.867022, 1.0]], ['2, k, 18', [-0.412512, -1.01807, 1.0]], ['2, k, 19', [-0.399104, -1.03916, 1.0]], ['2, k, 20', [-0.613456, -0.172121, 1.0]], ['2, k, 21', [-0.734588, -0.434474, 1.0]], ['2, k, 22', [-0.733263, -0.405916, 1.0]], ['2, k, 23', [-0.647444, -0.387444, 1.0]], ['2, k, 24', [-0.620174, -0.329286, 1.0]]]
[['2, k, 0', [-0.587983, -0.626441, 1.0]], ['2, k, 1', [-0.605117, -0.367902, 1.0]], ['2, k, 2', [-0.61489, -0.103472, 1.0]], ['2, k, 3', [-0.612996, 0.00751859, 1.0]], ['2, k, 4', [-0.741558, -0.222888, 1.0]], ['2, k, 5', [-0.882464, -0.337913, 1.0]], ['2, k, 6', [-0.816945, -0.396867, 1.0]], ['2, k, 7', [-0.782159, -0.42769, 1.0]], ['2, k, 8', [-0.480804, -0.179028, 1.0]], ['2, k, 9', [-0.416498, -0.334952, 1.0]], ['2, k, 10', [-0.553274, -0.372151, 1.0]], ['2, k, 11', [-0.604386, -0.368982, 1.0]], ['2, k, 12', [-0.641925, -0.630718, 1.0]], ['2, k, 13', [-0.753524, -0.34798, 1.0]], ['2, k, 14', [-0.576981, -0.828277, 1.0]], ['2, k, 15', [-0.482639, -0.752903, 1.0]], ['2, k, 16', [-0.522385, -0.609747, 1.0]], ['2, k, 17', [-0.373778, -0.865099, 1.0]], ['2, k, 18', [-0.413272, -1.0227, 1.0]], ['2, k, 19', [-0.461386, -0.966914, 1.0]], ['2, k, 20', [-0.613449, -0.171005, 1.0]], ['2, k, 21', [-0.743771, -0.433447, 1.0]], ['2, k, 22', [-0.711037, -0.424705, 1.0]], ['2, k, 23', [-0.642188, -0.383866, 1.0]], ['2, k, 24', [-0.619306, -0.329608, 1.0]]]
[['2, k, 0', [-0.588282, -0.626549, 1.0]], ['2, k, 1', [-0.605274, -0.36663, 1.0]], ['2, k, 2', [-0.615625, -0.102096, 1.0]], ['2, k, 3', [-0.615521, 0.0107117, 1.0]], ['2, k, 4', [-0.74148, -0.222914, 1.0]], ['2, k, 5', [-0.882245, -0.337308, 1.0]], ['2, k, 6', [-0.817204, -0.396413, 1.0]], ['2, k, 7', [-0.786963, -0.431136, 1.0]], ['2, k, 8', [-0.480951, -0.178995, 1.0]], ['2, k, 9', [-0.41866, -0.332781, 1.0]], ['2, k, 10', [-0.547941, -0.381083, 1.0]], ['2, k, 11', [-0.600685, -0.378718, 1.0]], ['2, k, 12', [-0.642195, -0.630849, 1.0]], ['2, k, 13', [-0.774535, -0.360218, 1.0]], ['2, k, 14', [-0.617328, -0.785466, 1.0]], ['2, k, 15', [-0.524877, -0.706637, 1.0]], ['2, k, 16', [-0.522791, -0.609916, 1.0]], ['2, k, 17', [-0.376196, -0.867155, 1.0]], ['2, k, 18', [-0.413202, -1.02306, 1.0]], ['2, k, 19', [-0.459521, -0.964776, 1.0]], ['2, k, 20', [-0.614034, -0.169027, 1.0]], ['2, k, 21', [-0.764057, -0.440374, 1.0]], ['2, k, 22', [-0.72241, -0.429828, 1.0]], ['2, k, 23', [-0.647274, -0.420635, 1.0]], ['2, k, 24', [-0.63511, -0.343846, 1.0]]]
[['2, k, 0', [-0.593426, -0.625935, 1.0]], ['2, k, 1', [-0.607583, -0.364989, 1.0]], ['2, k, 2', [-0.617035, -0.101416, 1.0]], ['2, k, 3', [-0.61853, 0.0129218, 1.0]], ['2, k, 4', [-0.74145, -0.223014, 1.0]], ['2, k, 5', [-0.882401, -0.337167, 1.0]], ['2, k, 6', [-0.877217, -0.438981, 1.0]], ['2, k, 7', [-0.79383, -0.432259, 1.0]], ['2, k, 8', [-0.481528, -0.178732, 1.0]], ['2, k, 9', [-0.419567, -0.333585, 1.0]], ['2, k, 10', [-0.547129, -0.385535, 1.0]], ['2, k, 11', [-0.598381, -0.38962, 1.0]], ['2, k, 12', [-0.646785, -0.630506, 1.0]], ['2, k, 13', [-0.772282, -0.356234, 1.0]], ['2, k, 14', [-0.650426, -0.678881, 1.0]], ['2, k, 15', [-0.544286, -0.721394, 1.0]], ['2, k, 16', [-0.52863, -0.609059, 1.0]], ['2, k, 17', [-0.376818, -0.863642, 1.0]], ['2, k, 18', [-0.414157, -1.02498, 1.0]], ['2, k, 19', [-0.456475, -0.958232, 1.0]], ['2, k, 20', [-0.61555, -0.167897, 1.0]], ['2, k, 21', [-0.758146, -0.439561, 1.0]], ['2, k, 22', [-0.733349, -0.43344, 1.0]], ['2, k, 23', [-0.632601, -0.403054, 1.0]], ['2, k, 24', [-0.618733, -0.347128, 1.0]]]
[['2, k, 0', [-0.593546, -0.625211, 1.0]], ['2, k, 1', [-0.607765, -0.364363, 1.0]], ['2, k, 2', [-0.617604, -0.101424, 1.0]], ['2, k, 3', [-0.62077, 0.0134079, 1.0]], ['2, k, 4', [-0.74496, -0.228035, 1.0]], ['2, k, 5', [-0.881024, -0.334894, 1.0]], ['2, k, 6', [-0.824836, -0.399047, 1.0]], ['2, k, 7', [-0.791843, -0.432576, 1.0]], ['2, k, 8', [-0.481995, -0.178675, 1.0]], ['2, k, 9', [-0.421863, -0.331956, 1.0]], ['2, k, 10', [-0.550877, -0.376583, 1.0]], ['2, k, 11', [-0.606146, -0.371526, 1.0]], ['2, k, 12', [-0.646811, -0.630236, 1.0]], ['2, k, 13', [-0.772403, -0.355177, 1.0]], ['2, k, 14', [-0.649244, -0.681316, 1.0]], ['2, k, 15', [-0.54212, -0.722901, 1.0]], ['2, k, 16', [-0.528898, -0.607745, 1.0]], ['2, k, 17', [-0.369112, -0.859391, 1.0]], ['2, k, 18', [-0.414749, -1.02699, 1.0]], ['2, k, 19', [-0.455906, -0.960151, 1.0]], ['2, k, 20', [-0.615884, -0.167677, 1.0]], ['2, k, 21', [-0.758996, -0.440455, 1.0]], ['2, k, 22', [-0.7255, -0.430549, 1.0]], ['2, k, 23', [-0.647673, -0.420894, 1.0]], ['2, k, 24', [-0.638895, -0.33807, 1.0]]]
[['2, k, 0', [-0.59445, -0.62516, 1.0]], ['2, k, 1', [-0.607901, -0.36415, 1.0]], ['2, k, 2', [-0.61765, -0.101455, 1.0]], ['2, k, 3', [-0.623341, 0.0144681, 1.0]], ['2, k, 4', [-0.744836, -0.22823, 1.0]], ['2, k, 5', [-0.881493, -0.335822, 1.0]], ['2, k, 6', [-0.878559, -0.44074, 1.0]], ['2, k, 7', [-0.80052, -0.431572, 1.0]], ['2, k, 8', [-0.482672, -0.178524, 1.0]], ['2, k, 9', [-0.422539, -0.332752, 1.0]], ['2, k, 10', [-0.55018, -0.377937, 1.0]], ['2, k, 11', [-0.603199, -0.379717, 1.0]], ['2, k, 12', [-0.647661, -0.630422, 1.0]], ['2, k, 13', [-0.772242, -0.353909, 1.0]], ['2, k, 14', [-0.648462, -0.682703, 1.0]], ['2, k, 15', [-0.54076, -0.724231, 1.0]], ['2, k, 16', [-0.529818, -0.607556, 1.0]], ['2, k, 17', [-0.37581, -0.863191, 1.0]], ['2, k, 18', [-0.415513, -1.02828, 1.0]], ['2, k, 19', [-0.455344, -0.95795, 1.0]], ['2, k, 20', [-0.615908, -0.167633, 1.0]], ['2, k, 21', [-0.765979, -0.436728, 1.0]], ['2, k, 22', [-0.741389, -0.433495, 1.0]], ['2, k, 23', [-0.640764, -0.394944, 1.0]], ['2, k, 24', [-0.625859, -0.339982, 1.0]]]
[['2, k, 0', [-0.595565, -0.624784, 1.0]], ['2, k, 1', [-0.608926, -0.363116, 1.0]], ['2, k, 2', [-0.619063, -0.100626, 1.0]], ['2, k, 3', [-0.626104, 0.015723, 1.0]], ['2, k, 4', [-0.744561, -0.228548, 1.0]], ['2, k, 5', [-0.881215, -0.334265, 1.0]], ['2, k, 6', [-0.828221, -0.397278, 1.0]], ['2, k, 7', [-0.797898, -0.430348, 1.0]], ['2, k, 8', [-0.48332, -0.178644, 1.0]], ['2, k, 9', [-0.425537, -0.330348, 1.0]], ['2, k, 10', [-0.551997, -0.375572, 1.0]], ['2, k, 11', [-0.606813, -0.371473, 1.0]], ['2, k, 12', [-0.648545, -0.630255, 1.0]], ['2, k, 13', [-0.771881, -0.352311, 1.0]], ['2, k, 14', [-0.640917, -0.763677, 1.0]], ['2, k, 15', [-0.553223, -0.680664, 1.0]], ['2, k, 16', [-0.531139, -0.607015, 1.0]], ['2, k, 17', [-0.380436, -0.864977, 1.0]], ['2, k, 18', [-0.416247, -1.02944, 1.0]], ['2, k, 19', [-0.45498, -0.955052, 1.0]], ['2, k, 20', [-0.617161, -0.166587, 1.0]], ['2, k, 21', [-0.762266, -0.442273, 1.0]], ['2, k, 22', [-0.73106, -0.428752, 1.0]], ['2, k, 23', [-0.644462, -0.385265, 1.0]], ['2, k, 24', [-0.615614, -0.330569, 1.0]]]
[['2, k, 0', [-0.595582, -0.626347, 1.0]], ['2, k, 1', [-0.609764, -0.362989, 1.0]], ['2, k, 2', [-0.621377, -0.0999996, 1.0]], ['2, k, 3', [-0.629914, 0.0166997, 1.0]], ['2, k, 4', [-0.748889, -0.229046, 1.0]], ['2, k, 5', [-0.881039, -0.33393, 1.0]], ['2, k, 6', [-0.828244, -0.396774, 1.0]], ['2, k, 7', [-0.800115, -0.428224, 1.0]], ['2, k, 8', [-0.490876, -0.180585, 1.0]], ['2, k, 9', [-0.431153, -0.326788, 1.0]], ['2, k, 10', [-0.554113, -0.372548, 1.0]], ['2, k, 11', [-0.605184, -0.371413, 1.0]], ['2, k, 12', [-0.648779, -0.630066, 1.0]], ['2, k, 13', [-0.768567, -0.350232, 1.0]], ['2, k, 14', [-0.6405, -0.761932, 1.0]], ['2, k, 15', [-0.522231, -0.761673, 1.0]], ['2, k, 16', [-0.530796, -0.611547, 1.0]], ['2, k, 17', [-0.382264, -0.869947, 1.0]], ['2, k, 18', [-0.417586, -1.03057, 1.0]], ['2, k, 19', [-0.454195, -0.9555, 1.0]], ['2, k, 20', [-0.618918, -0.165973, 1.0]], ['2, k, 21', [-0.767916, -0.43819, 1.0]], ['2, k, 22', [-0.73303, -0.426324, 1.0]], ['2, k, 23', [-0.642565, -0.3849, 1.0]], ['2, k, 24', [-0.619725, -0.331639, 1.0]]]
[['2, k, 0', [-0.597761, -0.619348, 1.0]], ['2, k, 1', [-0.611365, -0.359049, 1.0]], ['2, k, 2', [-0.622524, -0.0990585, 1.0]], ['2, k, 3', [-0.632324, 0.0148232, 1.0]], ['2, k, 4', [-0.749646, -0.230161, 1.0]], ['2, k, 5', [-0.87623, -0.322647, 1.0]], ['2, k, 6', [-0.878089, -0.406368, 1.0]], ['2, k, 7', [-0.810679, -0.427077, 1.0]], ['2, k, 8', [-0.495694, -0.179435, 1.0]], ['2, k, 9', [-0.432865, -0.325724, 1.0]], ['2, k, 10', [-0.550458, -0.36604, 1.0]], ['2, k, 11', [-0.595363, -0.371968, 1.0]], ['2, k, 12', [-0.650518, -0.625562, 1.0]], ['2, k, 13', [-0.761649, -0.345612, 1.0]], ['2, k, 14', [-0.676197, -0.786706, 1.0]], ['2, k, 15', [-0.568621, -0.791062, 1.0]], ['2, k, 16', [-0.533833, -0.601277, 1.0]], ['2, k, 17', [-0.40103, -0.864411, 1.0]], ['2, k, 18', [-0.420815, -1.0391, 1.0]], ['2, k, 19', [-0.444592, -0.959568, 1.0]], ['2, k, 20', [-0.620134, -0.164286, 1.0]], ['2, k, 21', [-0.781499, -0.436424, 1.0]], ['2, k, 22', [-0.75611, -0.433186, 1.0]], ['2, k, 23', [-0.633279, -0.404287, 1.0]], ['2, k, 24', [-0.632652, -0.329895, 1.0]]]
