[['2, k, 0', [0.0, 0.0, 1.0]], ['2, k, 1', [439.593, 229.602, 1.0]], ['2, k, 2', [404.397, 229.56, 1.0]], ['2, k, 3', [373.503, 264.841, 1.0]], ['2, k, 4', [394.021, 304.5, 1.0]], ['2, k, 5', [474.849, 229.593, 1.0]], ['2, k, 6', [514.522, 264.821, 1.0]], ['2, k, 7', [492.459, 305.971, 1.0]], ['2, k, 8', [441.131, 335.375, 1.0]], ['2, k, 9', [417.585, 336.788, 1.0]], ['2, k, 10', [416.097, 413.154, 1.0]], ['2, k, 11', [416.11, 473.369, 1.0]], ['2, k, 12', [464.643, 335.329, 1.0]], ['2, k, 13', [476.307, 414.64, 1.0]], ['2, k, 14', [482.224, 474.914, 1.0]], ['2, k, 15', [0.0, 0.0, 1.0]], ['2, k, 16', [0.0, 0.0, 1.0]], ['2, k, 17', [0.0, 0.0, 1.0]], ['2, k, 18', [0.0, 0.0, 1.0]], ['2, k, 19', [474.878, 502.74, 1.0]], ['2, k, 20', [486.564, 499.85, 1.0]], ['2, k, 21', [485.111, 477.79, 1.0]], ['2, k, 22', [407.299, 498.371, 1.0]], ['2, k, 23', [401.44, 493.954, 1.0]], ['2, k, 24', [419.075, 474.875, 1.0]]]
[['2, k, 0', [0.0, 0.0, 1.0]], ['2, k, 1', [439.593, 229.602, 1.0]], ['2, k, 2', [404.396, 229.559, 1.0]], ['2, k, 3', [373.501, 264.842, 1.0]], ['2, k, 4', [394.02, 304.499, 1.0]], ['2, k, 5', [474.851, 229.596, 1.0]], ['2, k, 6', [514.522, 264.821, 1.0]], ['2, k, 7', [492.46, 305.971, 1.0]], ['2, k, 8', [441.132, 335.376, 1.0]], ['2, k, 9', [417.586, 336.79, 1.0]], ['2, k, 10', [416.099, 413.157, 1.0]], ['2, k, 11', [416.11, 473.369, 1.0]], ['2, k, 12', [464.645, 335.33, 1.0]], ['2, k, 13', [476.308, 414.636, 1.0]], ['2, k, 14', [482.224, 474.914, 1.0]], ['2, k, 15', [0.0, 0.0, 1.0]], ['2, k, 16', [0.0, 0.0, 1.0]], ['2, k, 17', [0.0, 0.0, 1.0]], ['2, k, 18', [0.0, 0.0, 1.0]], ['2, k, 19', [474.877, 502.741, 1.0]], ['2, k, 20', [486.563, 499.85, 1.0]], ['2, k, 21', [485.113, 477.787, 1.0]], ['2, k, 22', [407.298, 498.371, 1.0]], ['2, k, 23', [401.44, 493.955, 1.0]], ['2, k, 24', [419.076, 474.875, 1.0]]]
[['2, k, 0', [0.0, 0.0, 1.0]], ['2, k, 1', [439.596, 229.604, 1.0]], ['2, k, 2', [404.397, 229.562, 1.0]], ['2, k, 3', [373.502, 264.841, 1.0]], ['2, k, 4', [394.022, 304.502, 1.0]], ['2, k, 5', [474.856, 229.597, 1.0]], ['2, k, 6', [514.519, 264.824, 1.0]], ['2, k, 7', [492.461, 305.97, 1.0]], ['2, k, 8', [441.131, 335.391, 1.0]], ['2, k, 9', [417.579, 336.805, 1.0]], ['2, k, 10', [416.096, 413.176, 1.0]], ['2, k, 11', [416.111, 473.369, 1.0]], ['2, k, 12', [464.646, 335.346, 1.0]], ['2, k, 13', [476.307, 414.64, 1.0]], ['2, k, 14', [482.22, 474.917, 1.0]], ['2, k, 15', [0.0, 0.0, 1.0]], ['2, k, 16', [0.0, 0.0, 1.0]], ['2, k, 17', [0.0, 0.0, 1.0]], ['2, k, 18', [0.0, 0.0, 1.0]], ['2, k, 19', [474.878, 502.741, 1.0]], ['2, k, 20', [486.564, 499.85, 1.0]], ['2, k, 21', [485.11, 477.788, 1.0]], ['2, k, 22', [407.298, 498.371, 1.0]], ['2, k, 23', [401.44, 493.955, 1.0]], ['2, k, 24', [419.078, 474.874, 1.0]]]
[['2, k, 0', [0.0, 0.0, 1.0]], ['2, k, 1', [439.586, 229.598, 1.0]], ['2, k, 2', [404.392, 229.554, 1.0]], ['2, k, 3', [372.119, 264.83, 1.0]], ['2, k, 4', [392.684, 304.492, 1.0]], ['2, k, 5', [474.847, 229.594, 1.0]], ['2, k, 6', [514.531, 264.817, 1.0]], ['2, k, 7', [492.467, 305.96, 1.0]], ['2, k, 8', [441.137, 335.356, 1.0]], ['2, k, 9', [417.611, 335.386, 1.0]], ['2, k, 10', [416.1, 410.253, 1.0]], ['2, k, 11', [416.105, 473.375, 1.0]], ['2, k, 12', [464.635, 335.315, 1.0]], ['2, k, 13', [476.315, 416.07, 1.0]], ['2, k, 14', [482.214, 474.913, 1.0]], ['2, k, 15', [0.0, 0.0, 1.0]], ['2, k, 16', [0.0, 0.0, 1.0]], ['2, k, 17', [0.0, 0.0, 1.0]], ['2, k, 18', [0.0, 0.0, 1.0]], ['2, k, 19', [474.888, 502.754, 1.0]], ['2, k, 20', [486.571, 499.855, 1.0]], ['2, k, 21', [485.123, 476.387, 1.0]], ['2, k, 22', [407.307, 498.37, 1.0]], ['2, k, 23', [401.451, 493.96, 1.0]], ['2, k, 24', [419.056, 474.886, 1.0]]]
[['2, k, 0', [0.0, 0.0, 1.0]], ['2, k, 1', [439.587, 229.596, 1.0]], ['2, k, 2', [404.397, 229.55, 1.0]], ['2, k, 3', [373.507, 264.834, 1.0]], ['2, k, 4', [392.684, 304.493, 1.0]], ['2, k, 5', [474.848, 229.598, 1.0]], ['2, k, 6', [514.529, 264.816, 1.0]], ['2, k, 7', [492.467, 305.961, 1.0]], ['2, k, 8', [441.138, 335.359, 1.0]], ['2, k, 9', [417.607, 335.386, 1.0]], ['2, k, 10', [416.103, 410.267, 1.0]], ['2, k, 11', [416.103, 473.378, 1.0]], ['2, k, 12', [464.641, 335.319, 1.0]], ['2, k, 13', [476.317, 416.072, 1.0]], ['2, k, 14', [482.214, 474.913, 1.0]], ['2, k, 15', [0.0, 0.0, 1.0]], ['2, k, 16', [0.0, 0.0, 1.0]], ['2, k, 17', [0.0, 0.0, 1.0]], ['2, k, 18', [0.0, 0.0, 1.0]], ['2, k, 19', [474.888, 502.753, 1.0]], ['2, k, 20', [486.571, 499.855, 1.0]], ['2, k, 21', [485.122, 476.389, 1.0]], ['2, k, 22', [407.308, 498.37, 1.0]], ['2, k, 23', [401.451, 493.961, 1.0]], ['2, k, 24', [419.051, 474.888, 1.0]]]
[['2, k, 0', [0.0, 0.0, 1.0]], ['2, k, 1', [439.594, 229.594, 1.0]], ['2, k, 2', [404.403, 229.547, 1.0]], ['2, k, 3', [373.511, 264.83, 1.0]], ['2, k, 4', [392.678, 304.488, 1.0]], ['2, k, 5', [474.85, 229.596, 1.0]], ['2, k, 6', [514.53, 264.813, 1.0]], ['2, k, 7', [492.472, 305.963, 1.0]], ['2, k, 8', [441.14, 335.359, 1.0]], ['2, k, 9', [417.607, 335.385, 1.0]], ['2, k, 10', [416.101, 411.684, 1.0]], ['2, k, 11', [416.102, 473.378, 1.0]], ['2, k, 12', [464.646, 335.32, 1.0]], ['2, k, 13', [476.318, 416.073, 1.0]], ['2, k, 14', [482.214, 474.913, 1.0]], ['2, k, 15', [0.0, 0.0, 1.0]], ['2, k, 16', [0.0, 0.0, 1.0]], ['2, k, 17', [0.0, 0.0, 1.0]], ['2, k, 18', [0.0, 0.0, 1.0]], ['2, k, 19', [474.888, 502.753, 1.0]], ['2, k, 20', [486.571, 499.854, 1.0]], ['2, k, 21', [485.121, 476.389, 1.0]], ['2, k, 22', [407.308, 498.37, 1.0]], ['2, k, 23', [401.45, 493.96, 1.0]], ['2, k, 24', [419.051, 474.887, 1.0]]]
[['2, k, 0', [0.0, 0.0, 1.0]], ['2, k, 1', [439.605, 229.592, 1.0]], ['2, k, 2', [404.414, 229.547, 1.0]], ['2, k, 3', [373.514, 264.837, 1.0]], ['2, k, 4', [392.681, 304.48, 1.0]], ['2, k, 5', [474.854, 229.594, 1.0]], ['2, k, 6', [514.529, 264.821, 1.0]], ['2, k, 7', [492.469, 305.968, 1.0]], ['2, k, 8', [441.141, 335.346, 1.0]], ['2, k, 9', [417.612, 335.371, 1.0]], ['2, k, 10', [416.106, 410.26, 1.0]], ['2, k, 11', [416.107, 473.376, 1.0]], ['2, k, 12', [464.643, 335.307, 1.0]], ['2, k, 13', [476.317, 416.074, 1.0]], ['2, k, 14', [482.213, 474.914, 1.0]], ['2, k, 15', [0.0, 0.0, 1.0]], ['2, k, 16', [0.0, 0.0, 1.0]], ['2, k, 17', [0.0, 0.0, 1.0]], ['2, k, 18', [0.0, 0.0, 1.0]], ['2, k, 19', [474.887, 502.752, 1.0]], ['2, k, 20', [486.57, 499.854, 1.0]], ['2, k, 21', [485.119, 476.39, 1.0]], ['2, k, 22', [407.307, 498.37, 1.0]], ['2, k, 23', [401.45, 493.96, 1.0]], ['2, k, 24', [419.062, 474.888, 1.0]]]
[['2, k, 0', [0.0, 0.0, 1.0]], ['2, k, 1', [439.609, 229.595, 1.0]], ['2, k, 2', [404.415, 229.548, 1.0]], ['2, k, 3', [373.534, 264.832, 1.0]], ['2, k, 4', [394.028, 304.496, 1.0]], ['2, k, 5', [474.857, 229.603, 1.0]], ['2, k, 6', [514.532, 264.824, 1.0]], ['2, k, 7', [492.492, 305.958, 1.0]], ['2, k, 8', [441.145, 335.36, 1.0]], ['2, k, 9', [417.619, 335.386, 1.0]], ['2, k, 10', [416.102, 411.686, 1.0]], ['2, k, 11', [416.102, 473.376, 1.0]], ['2, k, 12', [464.647, 335.32, 1.0]], ['2, k, 13', [476.321, 416.089, 1.0]], ['2, k, 14', [482.212, 474.915, 1.0]], ['2, k, 15', [0.0, 0.0, 1.0]], ['2, k, 16', [0.0, 0.0, 1.0]], ['2, k, 17', [0.0, 0.0, 1.0]], ['2, k, 18', [0.0, 0.0, 1.0]], ['2, k, 19', [474.888, 502.752, 1.0]], ['2, k, 20', [486.572, 499.854, 1.0]], ['2, k, 21', [485.115, 476.391, 1.0]], ['2, k, 22', [407.309, 498.37, 1.0]], ['2, k, 23', [401.451, 493.961, 1.0]], ['2, k, 24', [419.052, 474.89, 1.0]]]
[['2, k, 0', [0.0, 0.0, 1.0]], ['2, k, 1', [439.608, 229.598, 1.0]], ['2, k, 2', [404.409, 229.553, 1.0]], ['2, k, 3', [373.537, 264.848, 1.0]], ['2, k, 4', [394.041, 304.496, 1.0]], ['2, k, 5', [474.859, 229.6, 1.0]], ['2, k, 6', [514.53, 264.831, 1.0]], ['2, k, 7', [492.492, 305.956, 1.0]], ['2, k, 8', [441.147, 335.36, 1.0]], ['2, k, 9', [417.619, 335.379, 1.0]], ['2, k, 10', [416.111, 410.259, 1.0]], ['2, k, 11', [416.102, 473.377, 1.0]], ['2, k, 12', [464.652, 335.325, 1.0]], ['2, k, 13', [476.328, 416.08, 1.0]], ['2, k, 14', [482.211, 474.915, 1.0]], ['2, k, 15', [0.0, 0.0, 1.0]], ['2, k, 16', [0.0, 0.0, 1.0]], ['2, k, 17', [0.0, 0.0, 1.0]], ['2, k, 18', [0.0, 0.0, 1.0]], ['2, k, 19', [474.888, 502.752, 1.0]], ['2, k, 20', [486.572, 499.854, 1.0]], ['2, k, 21', [485.112, 476.391, 1.0]], ['2, k, 22', [407.31, 498.37, 1.0]], ['2, k, 23', [401.451, 493.961, 1.0]], ['2, k, 24', [419.053, 474.891, 1.0]]]
[['2, k, 0', [0.0, 0.0, 1.0]], ['2, k, 1', [439.612, 229.602, 1.0]], ['2, k, 2', [404.422, 229.555, 1.0]], ['2, k, 3', [373.557, 264.845, 1.0]], ['2, k, 4', [394.035, 304.482, 1.0]], ['2, k, 5', [474.862, 229.604, 1.0]], ['2, k, 6', [514.536, 264.832, 1.0]], ['2, k, 7', [492.513, 305.951, 1.0]], ['2, k, 8', [441.145, 335.364, 1.0]], ['2, k, 9', [417.615, 335.383, 1.0]], ['2, k, 10', [416.111, 410.253, 1.0]], ['2, k, 11', [416.104, 473.375, 1.0]], ['2, k, 12', [464.65, 335.328, 1.0]], ['2, k, 13', [476.331, 416.074, 1.0]], ['2, k, 14', [482.213, 474.915, 1.0]], ['2, k, 15', [0.0, 0.0, 1.0]], ['2, k, 16', [0.0, 0.0, 1.0]], ['2, k, 17', [0.0, 0.0, 1.0]], ['2, k, 18', [0.0, 0.0, 1.0]], ['2, k, 19', [474.888, 502.751, 1.0]], ['2, k, 20', [486.572, 499.854, 1.0]], ['2, k, 21', [485.113, 476.39, 1.0]], ['2, k, 22', [407.31, 498.37, 1.0]], ['2, k, 23', [401.451, 493.961, 1.0]], ['2, k, 24', [419.059, 474.889, 1.0]]]
[['2, k, 0', [0.0, 0.0, 1.0]], ['2, k, 1', [439.615, 229.601, 1.0]], ['2, k, 2', [404.416, 229.56, 1.0]], ['2, k, 3', [374.971, 264.863, 1.0]], ['2, k, 4', [394.042, 304.486, 1.0]], ['2, k, 5', [474.865, 229.595, 1.0]], ['2, k, 6', [515.954, 264.84, 1.0]], ['2, k, 7', [493.926, 305.952, 1.0]], ['2, k, 8', [441.156, 335.373, 1.0]], ['2, k, 9', [417.628, 335.387, 1.0]], ['2, k, 10', [416.121, 408.807, 1.0]], ['2, k, 11', [416.103, 473.375, 1.0]], ['2, k, 12', [464.66, 335.342, 1.0]], ['2, k, 13', [476.325, 416.077, 1.0]], ['2, k, 14', [482.216, 474.914, 1.0]], ['2, k, 15', [0.0, 0.0, 1.0]], ['2, k, 16', [0.0, 0.0, 1.0]], ['2, k, 17', [0.0, 0.0, 1.0]], ['2, k, 18', [0.0, 0.0, 1.0]], ['2, k, 19', [474.888, 502.751, 1.0]], ['2, k, 20', [486.572, 499.853, 1.0]], ['2, k, 21', [485.117, 476.389, 1.0]], ['2, k, 22', [407.312, 498.368, 1.0]], ['2, k, 23', [401.451, 493.96, 1.0]], ['2, k, 24', [419.06, 474.892, 1.0]]]
