[['2, k, 0', [0.00706662, -0.28127, 1.0]], ['2, k, 1', [0.00519755, 0.0136453, 1.0]], ['2, k, 2', [0.00334421, 0.302774, 1.0]], ['2, k, 3', [0.0142004, 0.459972, 1.0]], ['2, k, 4', [-0.163292, 0.212305, 1.0]], ['2, k, 5', [-0.244788, -0.0297189, 1.0]], ['2, k, 6', [-0.259064, -0.269151, 1.0]], ['2, k, 7', [-0.254177, -0.342744, 1.0]], ['2, k, 8', [0.172718, 0.195549, 1.0]], ['2, k, 9', [0.265637, -0.0228513, 1.0]], ['2, k, 10', [0.263491, -0.265705, 1.0]], ['2, k, 11', [0.247622, -0.346495, 1.0]], ['2, k, 12', [-0.0694063, -0.274419, 1.0]], ['2, k, 13', [-0.144054, -0.689084, 1.0]], ['2, k, 14', [-0.171218, -1.08869, 1.0]], ['2, k, 15', [-0.174681, -1.17467, 1.0]], ['2, k, 16', [0.0833846, -0.282029, 1.0]], ['2, k, 17', [0.132298, -0.688096, 1.0]], ['2, k, 18', [0.177622, -1.08274, 1.0]], ['2, k, 19', [0.177438, -1.13627, 1.0]], ['2, k, 20', [0.00380627, 0.231298, 1.0]], ['2, k, 21', [-0.238027, -0.393654, 1.0]], ['2, k, 22', [-0.307651, -0.355356, 1.0]], ['2, k, 23', [0.227181, -0.402476, 1.0]], ['2, k, 24', [0.311095, -0.371127, 1.0]]]
[['2, k, 0', [0.00707393, -0.280568, 1.0]], ['2, k, 1', [0.00541516, 0.013969, 1.0]], ['2, k, 2', [0.00396426, 0.302724, 1.0]], ['2, k, 3', [0.0141999, 0.459518, 1.0]], ['2, k, 4', [-0.162552, 0.211582, 1.0]], ['2, k, 5', [-0.244198, -0.0276657, 1.0]], ['2, k, 6', [-0.25638, -0.25211, 1.0]], ['2, k, 7', [-0.245272, -0.322369, 1.0]], ['2, k, 8', [0.172151, 0.196439, 1.0]], ['2, k, 9', [0.265817, -0.0185823, 1.0]], ['2, k, 10', [0.261765, -0.25719, 1.0]], ['2, k, 11', [0.253014, -0.327646, 1.0]], ['2, k, 12', [-0.0694047, -0.274192, 1.0]], ['2, k, 13', [-0.144381, -0.691974, 1.0]], ['2, k, 14', [-0.170584, -1.08937, 1.0]], ['2, k, 15', [-0.173511, -1.17455, 1.0]], ['2, k, 16', [0.0834054, -0.280473, 1.0]], ['2, k, 17', [0.13153, -0.688478, 1.0]], ['2, k, 18', [0.177586, -1.08278, 1.0]], ['2, k, 19', [0.17761, -1.13614, 1.0]], ['2, k, 20', [0.00429902, 0.231369, 1.0]], ['2, k, 21', [-0.221099, -0.380044, 1.0]], ['2, k, 22', [-0.294439, -0.320576, 1.0]], ['2, k, 23', [0.221798, -0.384541, 1.0]], ['2, k, 24', [0.316554, -0.342761, 1.0]]]
[['2, k, 0', [0.0065665, -0.278828, 1.0]], ['2, k, 1', [0.00543525, 0.0144847, 1.0]], ['2, k, 2', [0.00445675, 0.3025, 1.0]], ['2, k, 3', [0.0142427, 0.458746, 1.0]], ['2, k, 4', [-0.161424, 0.210783, 1.0]], ['2, k, 5', [-0.243532, -0.0175106, 1.0]], ['2, k, 6', [-0.250085, -0.234458, 1.0]], ['2, k, 7', [-0.244425, -0.300125, 1.0]], ['2, k, 8', [0.171877, 0.196832, 1.0]], ['2, k, 9', [0.26965, -0.00992419, 1.0]], ['2, k, 10', [0.270675, -0.232166, 1.0]], ['2, k, 11', [0.255002, -0.303694, 1.0]], ['2, k, 12', [-0.069793, -0.273068, 1.0]], ['2, k, 13', [-0.144106, -0.690858, 1.0]], ['2, k, 14', [-0.169732, -1.09043, 1.0]], ['2, k, 15', [-0.166513, -1.13672, 1.0]], ['2, k, 16', [0.0827952, -0.278179, 1.0]], ['2, k, 17', [0.13162, -0.68822, 1.0]], ['2, k, 18', [0.181956, -1.08619, 1.0]], ['2, k, 19', [0.181776, -1.13257, 1.0]], ['2, k, 20', [0.00464061, 0.231368, 1.0]], ['2, k, 21', [-0.220528, -0.35008, 1.0]], ['2, k, 22', [-0.294453, -0.299785, 1.0]], ['2, k, 23', [0.215438, -0.353641, 1.0]], ['2, k, 24', [0.32132, -0.317608, 1.0]]]
[['2, k, 0', [0.00686315, -0.279219, 1.0]], ['2, k, 1', [0.00566661, 0.0144056, 1.0]], ['2, k, 2', [0.00469494, 0.302936, 1.0]], ['2, k, 3', [0.0144104, 0.458434, 1.0]], ['2, k, 4', [-0.160425, 0.209636, 1.0]], ['2, k, 5', [-0.245271, -0.0041879, 1.0]], ['2, k, 6', [-0.249646, -0.186527, 1.0]], ['2, k, 7', [-0.250961, -0.256324, 1.0]], ['2, k, 8', [0.171534, 0.196991, 1.0]], ['2, k, 9', [0.269777, 0.00388513, 1.0]], ['2, k, 10', [0.269354, -0.210818, 1.0]], ['2, k, 11', [0.257212, -0.276013, 1.0]], ['2, k, 12', [-0.0694087, -0.273704, 1.0]], ['2, k, 13', [-0.143804, -0.69142, 1.0]], ['2, k, 14', [-0.169471, -1.09082, 1.0]], ['2, k, 15', [-0.17041, -1.15918, 1.0]], ['2, k, 16', [0.0830298, -0.278434, 1.0]], ['2, k, 17', [0.131962, -0.69022, 1.0]], ['2, k, 18', [0.182547, -1.09027, 1.0]], ['2, k, 19', [0.192411, -1.16421, 1.0]], ['2, k, 20', [0.00491059, 0.231608, 1.0]], ['2, k, 21', [-0.241378, -0.308696, 1.0]], ['2, k, 22', [-0.300715, -0.271605, 1.0]], ['2, k, 23', [0.241843, -0.315405, 1.0]], ['2, k, 24', [0.324636, -0.28001, 1.0]]]
[['2, k, 0', [0.00580155, -0.286714, 1.0]], ['2, k, 1', [0.00533492, 0.0120416, 1.0]], ['2, k, 2', [0.00472871, 0.30339, 1.0]], ['2, k, 3', [0.0146233, 0.458565, 1.0]], ['2, k, 4', [-0.160142, 0.2099, 1.0]], ['2, k, 5', [-0.246502, 0.0115857, 1.0]], ['2, k, 6', [-0.252728, -0.137044, 1.0]], ['2, k, 7', [-0.238408, -0.241739, 1.0]], ['2, k, 8', [0.171284, 0.197252, 1.0]], ['2, k, 9', [0.271572, 0.0220333, 1.0]], ['2, k, 10', [0.273912, -0.136556, 1.0]], ['2, k, 11', [0.255176, -0.234208, 1.0]], ['2, k, 12', [-0.0703249, -0.280672, 1.0]], ['2, k, 13', [-0.143746, -0.691265, 1.0]], ['2, k, 14', [-0.169353, -1.09104, 1.0]], ['2, k, 15', [-0.170585, -1.15927, 1.0]], ['2, k, 16', [0.0818127, -0.286454, 1.0]], ['2, k, 17', [0.132055, -0.690825, 1.0]], ['2, k, 18', [0.182698, -1.09092, 1.0]], ['2, k, 19', [0.192398, -1.16161, 1.0]], ['2, k, 20', [0.00486336, 0.231371, 1.0]], ['2, k, 21', [-0.216968, -0.278194, 1.0]], ['2, k, 22', [-0.300729, -0.240001, 1.0]], ['2, k, 23', [0.240085, -0.276165, 1.0]], ['2, k, 24', [0.307948, -0.229918, 1.0]]]
[['2, k, 0', [0.00384753, -0.305634, 1.0]], ['2, k, 1', [0.0049338, 0.00724795, 1.0]], ['2, k, 2', [0.00489235, 0.303863, 1.0]], ['2, k, 3', [0.0146172, 0.458958, 1.0]], ['2, k, 4', [-0.160035, 0.20993, 1.0]], ['2, k, 5', [-0.244333, 0.0288863, 1.0]], ['2, k, 6', [-0.246879, -0.115378, 1.0]], ['2, k, 7', [-0.241887, -0.200282, 1.0]], ['2, k, 8', [0.170505, 0.197549, 1.0]], ['2, k, 9', [0.272494, 0.0435656, 1.0]], ['2, k, 10', [0.278636, -0.112078, 1.0]], ['2, k, 11', [0.259998, -0.195924, 1.0]], ['2, k, 12', [-0.0721324, -0.299844, 1.0]], ['2, k, 13', [-0.143838, -0.691417, 1.0]], ['2, k, 14', [-0.168931, -1.09108, 1.0]], ['2, k, 15', [-0.171346, -1.15951, 1.0]], ['2, k, 16', [0.0797402, -0.304816, 1.0]], ['2, k, 17', [0.131868, -0.690633, 1.0]], ['2, k, 18', [0.182783, -1.09131, 1.0]], ['2, k, 19', [0.20047, -1.16864, 1.0]], ['2, k, 20', [0.00491987, 0.230986, 1.0]], ['2, k, 21', [-0.224842, -0.231418, 1.0]], ['2, k, 22', [-0.314658, -0.202427, 1.0]], ['2, k, 23', [0.231276, -0.235829, 1.0]], ['2, k, 24', [0.323403, -0.19932, 1.0]]]
[['2, k, 0', [0.00403456, -0.308343, 1.0]], ['2, k, 1', [0.00506385, 0.00559772, 1.0]], ['2, k, 2', [0.0053322, 0.306122, 1.0]], ['2, k, 3', [0.0148045, 0.460299, 1.0]], ['2, k, 4', [-0.157205, 0.207702, 1.0]], ['2, k, 5', [-0.239528, 0.0434927, 1.0]], ['2, k, 6', [-0.244626, -0.0896998, 1.0]], ['2, k, 7', [-0.226552, -0.157036, 1.0]], ['2, k, 8', [0.169006, 0.198216, 1.0]], ['2, k, 9', [0.277824, 0.0590678, 1.0]], ['2, k, 10', [0.28209, -0.0509535, 1.0]], ['2, k, 11', [0.268496, -0.150455, 1.0]], ['2, k, 12', [-0.0718624, -0.303475, 1.0]], ['2, k, 13', [-0.143779, -0.694526, 1.0]], ['2, k, 14', [-0.167437, -1.09272, 1.0]], ['2, k, 15', [-0.171302, -1.1595, 1.0]], ['2, k, 16', [0.0798584, -0.306657, 1.0]], ['2, k, 17', [0.131536, -0.690354, 1.0]], ['2, k, 18', [0.18287, -1.09188, 1.0]], ['2, k, 19', [0.196929, -1.16639, 1.0]], ['2, k, 20', [0.0052456, 0.23189, 1.0]], ['2, k, 21', [-0.224652, -0.183105, 1.0]], ['2, k, 22', [-0.287362, -0.156205, 1.0]], ['2, k, 23', [0.235524, -0.183282, 1.0]], ['2, k, 24', [0.344101, -0.151857, 1.0]]]
[['2, k, 0', [0.00439289, -0.30755, 1.0]], ['2, k, 1', [0.00519941, 0.00585136, 1.0]], ['2, k, 2', [0.00535121, 0.307195, 1.0]], ['2, k, 3', [0.0142944, 0.460795, 1.0]], ['2, k, 4', [-0.156559, 0.208425, 1.0]], ['2, k, 5', [-0.232686, 0.0965046, 1.0]], ['2, k, 6', [-0.240395, -0.0233102, 1.0]], ['2, k, 7', [-0.215118, -0.10467, 1.0]], ['2, k, 8', [0.166884, 0.196987, 1.0]], ['2, k, 9', [0.266108, 0.103612, 1.0]], ['2, k, 10', [0.282334, -0.00488032, 1.0]], ['2, k, 11', [0.276378, -0.090666, 1.0]], ['2, k, 12', [-0.0712653, -0.301564, 1.0]], ['2, k, 13', [-0.143388, -0.695627, 1.0]], ['2, k, 14', [-0.16712, -1.09384, 1.0]], ['2, k, 15', [-0.171769, -1.15921, 1.0]], ['2, k, 16', [0.0800386, -0.306482, 1.0]], ['2, k, 17', [0.131349, -0.690063, 1.0]], ['2, k, 18', [0.182018, -1.09191, 1.0]], ['2, k, 19', [0.195873, -1.16255, 1.0]], ['2, k, 20', [0.005309, 0.232761, 1.0]], ['2, k, 21', [-0.191724, -0.136376, 1.0]], ['2, k, 22', [-0.267534, -0.0976643, 1.0]], ['2, k, 23', [0.254373, -0.132445, 1.0]], ['2, k, 24', [0.342977, -0.102687, 1.0]]]
[['2, k, 0', [0.00506042, -0.294875, 1.0]], ['2, k, 1', [0.00444131, 0.00817242, 1.0]], ['2, k, 2', [0.00402628, 0.307358, 1.0]], ['2, k, 3', [0.0145892, 0.462071, 1.0]], ['2, k, 4', [-0.15608, 0.209689, 1.0]], ['2, k, 5', [-0.23337, 0.0994338, 1.0]], ['2, k, 6', [-0.24844, 0.00908046, 1.0]], ['2, k, 7', [-0.224637, -0.0490033, 1.0]], ['2, k, 8', [0.16716, 0.197075, 1.0]], ['2, k, 9', [0.263607, 0.107706, 1.0]], ['2, k, 10', [0.283998, 0.0260031, 1.0]], ['2, k, 11', [0.275474, -0.0477625, 1.0]], ['2, k, 12', [-0.0703465, -0.287427, 1.0]], ['2, k, 13', [-0.142694, -0.698259, 1.0]], ['2, k, 14', [-0.167113, -1.09391, 1.0]], ['2, k, 15', [-0.17197, -1.15896, 1.0]], ['2, k, 16', [0.08042, -0.295691, 1.0]], ['2, k, 17', [0.131225, -0.689857, 1.0]], ['2, k, 18', [0.180434, -1.09048, 1.0]], ['2, k, 19', [0.181028, -1.12871, 1.0]], ['2, k, 20', [0.00417707, 0.233329, 1.0]], ['2, k, 21', [-0.187898, -0.0772347, 1.0]], ['2, k, 22', [-0.267336, -0.0607094, 1.0]], ['2, k, 23', [0.250975, -0.0822183, 1.0]], ['2, k, 24', [0.351565, -0.0521054, 1.0]]]
[['2, k, 0', [0.00453993, -0.291528, 1.0]], ['2, k, 1', [0.0039819, 0.011815, 1.0]], ['2, k, 2', [0.00363122, 0.310169, 1.0]], ['2, k, 3', [0.0144581, 0.462134, 1.0]], ['2, k, 4', [-0.154976, 0.210561, 1.0]], ['2, k, 5', [-0.23809, 0.112683, 1.0]], ['2, k, 6', [-0.220422, 0.0464159, 1.0]], ['2, k, 7', [-0.216225, 0.00363838, 1.0]], ['2, k, 8', [0.15157, 0.211088, 1.0]], ['2, k, 9', [0.252923, 0.123668, 1.0]], ['2, k, 10', [0.293929, 0.078098, 1.0]], ['2, k, 11', [0.270647, 0.00861541, 1.0]], ['2, k, 12', [-0.0707671, -0.28592, 1.0]], ['2, k, 13', [-0.142806, -0.698924, 1.0]], ['2, k, 14', [-0.167031, -1.09317, 1.0]], ['2, k, 15', [-0.171981, -1.15911, 1.0]], ['2, k, 16', [0.079827, -0.289912, 1.0]], ['2, k, 17', [0.131185, -0.689909, 1.0]], ['2, k, 18', [0.179796, -1.0897, 1.0]], ['2, k, 19', [0.183142, -1.12736, 1.0]], ['2, k, 20', [0.00374319, 0.236434, 1.0]], ['2, k, 21', [-0.20027, -0.0245426, 1.0]], ['2, k, 22', [-0.259445, -0.00864172, 1.0]], ['2, k, 23', [0.241481, -0.0251969, 1.0]], ['2, k, 24', [0.313029, -0.000477907, 1.0]]]
[['2, k, 0', [0.00456805, -0.289864, 1.0]], ['2, k, 1', [0.00390968, 0.0118567, 1.0]], ['2, k, 2', [0.00321951, 0.307167, 1.0]], ['2, k, 3', [0.0137399, 0.46385, 1.0]], ['2, k, 4', [-0.153506, 0.211994, 1.0]], ['2, k, 5', [-0.22904, 0.131077, 1.0]], ['2, k, 6', [-0.234921, 0.091499, 1.0]], ['2, k, 7', [-0.217946, 0.0597514, 1.0]], ['2, k, 8', [0.150423, 0.213405, 1.0]], ['2, k, 9', [0.242084, 0.125833, 1.0]], ['2, k, 10', [0.287064, 0.118789, 1.0]], ['2, k, 11', [0.277683, 0.0602484, 1.0]], ['2, k, 12', [-0.0704483, -0.285377, 1.0]], ['2, k, 13', [-0.143163, -0.699799, 1.0]], ['2, k, 14', [-0.167082, -1.09325, 1.0]], ['2, k, 15', [-0.173408, -1.15913, 1.0]], ['2, k, 16', [0.079161, -0.286728, 1.0]], ['2, k, 17', [0.131513, -0.690309, 1.0]], ['2, k, 18', [0.179578, -1.08874, 1.0]], ['2, k, 19', [0.182566, -1.12582, 1.0]], ['2, k, 20', [0.00343878, 0.234508, 1.0]], ['2, k, 21', [-0.183897, 0.0306465, 1.0]], ['2, k, 22', [-0.277411, 0.0503713, 1.0]], ['2, k, 23', [0.233169, 0.0284919, 1.0]], ['2, k, 24', [0.326152, 0.0514745, 1.0]]]
