[['2, k, 0', [-0.233186, -0.1249457, 1.0]], ['2, k, 1', [-0.2298616, 0.1344288, 1.0]], ['2, k, 2', [-0.2266636, 0.3879403, 1.0]], ['2, k, 3', [-0.2311947, 0.5241829, 1.0]], ['2, k, 4', [-0.3977453, 0.2726972, 1.0]], ['2, k, 5', [-0.4592124, 0.054518, 1.0]], ['2, k, 6', [-0.4538513, -0.09433306, 1.0]], ['2, k, 7', [-0.4474069, -0.1573059, 1.0]], ['2, k, 8', [-0.06153583, 0.2653134, 1.0]], ['2, k, 9', [-0.006361471, 0.004574851, 1.0]], ['2, k, 10', [0.04647768, -0.1833479, 1.0]], ['2, k, 11', [0.05932608, -0.241264, 1.0]], ['2, k, 12', [-0.3054003, -0.1236634, 1.0]], ['2, k, 13', [-0.3950185, -0.2201342, 1.0]], ['2, k, 14', [-0.3946332, -0.6100855, 1.0]], ['2, k, 15', [-0.4134672, -0.6728271, 1.0]], ['2, k, 16', [-0.1565753, -0.1236598, 1.0]], ['2, k, 17', [-0.0358826, -0.2251513, 1.0]], ['2, k, 18', [-0.0387781, -0.6056586, 1.0]], ['2, k, 19', [-0.01208358, -0.6667802, 1.0]], ['2, k, 20', [-0.227516, 0.3253247, 1.0]], ['2, k, 21', [-0.4466994, -0.2037114, 1.0]], ['2, k, 22', [-0.3895318, -0.1567594, 1.0]], ['2, k, 23', [0.0615711, -0.28443, 1.0]], ['2, k, 24', [0.07384092, -0.2590121, 1.0]]]
[['2, k, 0', [-0.233243, -0.1249146, 1.0]], ['2, k, 1', [-0.2298254, 0.134347, 1.0]], ['2, k, 2', [-0.2262979, 0.3877041, 1.0]], ['2, k, 3', [-0.2311553, 0.5240457, 1.0]], ['2, k, 4', [-0.3977017, 0.2724494, 1.0]], ['2, k, 5', [-0.4594974, 0.05107412, 1.0]], ['2, k, 6', [-0.4568625, -0.1004115, 1.0]], ['2, k, 7', [-0.4591673, -0.1584607, 1.0]], ['2, k, 8', [-0.06146343, 0.265376, 1.0]], ['2, k, 9', [-0.00640332, 0.004589574, 1.0]], ['2, k, 10', [0.04727084, -0.1846514, 1.0]], ['2, k, 11', [0.05722674, -0.2429204, 1.0]], ['2, k, 12', [-0.3055183, -0.1235802, 1.0]], ['2, k, 13', [-0.3952162, -0.2208834, 1.0]], ['2, k, 14', [-0.3946526, -0.6101003, 1.0]], ['2, k, 15', [-0.4136989, -0.672978, 1.0]], ['2, k, 16', [-0.1565635, -0.1236902, 1.0]], ['2, k, 17', [-0.0359211, -0.2251534, 1.0]], ['2, k, 18', [-0.03897633, -0.6055707, 1.0]], ['2, k, 19', [-0.01213289, -0.6663456, 1.0]], ['2, k, 20', [-0.2272647, 0.3251307, 1.0]], ['2, k, 21', [-0.4590632, -0.208171, 1.0]], ['2, k, 22', [-0.4230667, -0.159615, 1.0]], ['2, k, 23', [0.05628156, -0.2899504, 1.0]], ['2, k, 24', [0.06432973, -0.2809246, 1.0]]]
[['2, k, 0', [-0.2333546, -0.1248834, 1.0]], ['2, k, 1', [-0.2298082, 0.1343649, 1.0]], ['2, k, 2', [-0.2260938, 0.3877729, 1.0]], ['2, k, 3', [-0.2311069, 0.523883, 1.0]], ['2, k, 4', [-0.3974944, 0.2718919, 1.0]], ['2, k, 5', [-0.4623221, 0.04568393, 1.0]], ['2, k, 6', [-0.465717, -0.1209754, 1.0]], ['2, k, 7', [-0.4799924, -0.1746432, 1.0]], ['2, k, 8', [-0.06139653, 0.2653397, 1.0]], ['2, k, 9', [-0.006425236, 0.004545995, 1.0]], ['2, k, 10', [0.04844732, -0.188565, 1.0]], ['2, k, 11', [0.05781903, -0.240595, 1.0]], ['2, k, 12', [-0.3056137, -0.1235549, 1.0]], ['2, k, 13', [-0.3951381, -0.2216093, 1.0]], ['2, k, 14', [-0.3946445, -0.6099971, 1.0]], ['2, k, 15', [-0.413848, -0.6729608, 1.0]], ['2, k, 16', [-0.1566603, -0.1236624, 1.0]], ['2, k, 17', [-0.03601089, -0.2252742, 1.0]], ['2, k, 18', [-0.03878618, -0.605434, 1.0]], ['2, k, 19', [-0.01211513, -0.6662661, 1.0]], ['2, k, 20', [-0.2271212, 0.3251804, 1.0]], ['2, k, 21', [-0.4834926, -0.2248937, 1.0]], ['2, k, 22', [-0.4171036, -0.1634471, 1.0]], ['2, k, 23', [0.05857486, -0.2899653, 1.0]], ['2, k, 24', [0.068295, -0.2682109, 1.0]]]
[['2, k, 0', [-0.2333147, -0.1254383, 1.0]], ['2, k, 1', [-0.2297665, 0.1341292, 1.0]], ['2, k, 2', [-0.2260533, 0.3877514, 1.0]], ['2, k, 3', [-0.2311581, 0.5236404, 1.0]], ['2, k, 4', [-0.3975899, 0.2713255, 1.0]], ['2, k, 5', [-0.4647175, 0.04283313, 1.0]], ['2, k, 6', [-0.4784803, -0.1536615, 1.0]], ['2, k, 7', [-0.4956772, -0.1857614, 1.0]], ['2, k, 8', [-0.06139231, 0.2653709, 1.0]], ['2, k, 9', [-0.006182137, 0.004580376, 1.0]], ['2, k, 10', [0.04855015, -0.1884432, 1.0]], ['2, k, 11', [0.05831829, -0.2430655, 1.0]], ['2, k, 12', [-0.3053403, -0.1240606, 1.0]], ['2, k, 13', [-0.3952779, -0.2227701, 1.0]], ['2, k, 14', [-0.3945611, -0.6101345, 1.0]], ['2, k, 15', [-0.4139996, -0.6730831, 1.0]], ['2, k, 16', [-0.1568816, -0.1243472, 1.0]], ['2, k, 17', [-0.03610349, -0.2253642, 1.0]], ['2, k, 18', [-0.03878736, -0.6054631, 1.0]], ['2, k, 19', [-0.01189415, -0.666587, 1.0]], ['2, k, 20', [-0.2270785, 0.3251276, 1.0]], ['2, k, 21', [-0.5103621, -0.2304697, 1.0]], ['2, k, 22', [-0.4343199, -0.1623028, 1.0]], ['2, k, 23', [0.05898148, -0.2914957, 1.0]], ['2, k, 24', [0.05230998, -0.2854207, 1.0]]]
[['2, k, 0', [-0.2334296, -0.1257211, 1.0]], ['2, k, 1', [-0.2297835, 0.1338642, 1.0]], ['2, k, 2', [-0.2259548, 0.3875965, 1.0]], ['2, k, 3', [-0.2311821, 0.5236685, 1.0]], ['2, k, 4', [-0.3975662, 0.2712732, 1.0]], ['2, k, 5', [-0.4673138, 0.03924047, 1.0]], ['2, k, 6', [-0.4818318, -0.1583378, 1.0]], ['2, k, 7', [-0.5056689, -0.1979559, 1.0]], ['2, k, 8', [-0.06134513, 0.265406, 1.0]], ['2, k, 9', [-0.006202155, 0.004600902, 1.0]], ['2, k, 10', [0.04842288, -0.1882756, 1.0]], ['2, k, 11', [0.05675596, -0.2437026, 1.0]], ['2, k, 12', [-0.3051966, -0.1242501, 1.0]], ['2, k, 13', [-0.395507, -0.2241145, 1.0]], ['2, k, 14', [-0.3945747, -0.6101287, 1.0]], ['2, k, 15', [-0.4142545, -0.6728815, 1.0]], ['2, k, 16', [-0.1574858, -0.1248274, 1.0]], ['2, k, 17', [-0.03614513, -0.2255287, 1.0]], ['2, k, 18', [-0.03867383, -0.6055123, 1.0]], ['2, k, 19', [-0.01189519, -0.6664944, 1.0]], ['2, k, 20', [-0.2270066, 0.3249428, 1.0]], ['2, k, 21', [-0.5176581, -0.2562903, 1.0]], ['2, k, 22', [-0.4749339, -0.2001147, 1.0]], ['2, k, 23', [0.05495025, -0.2978841, 1.0]], ['2, k, 24', [0.05582774, -0.2537368, 1.0]]]
[['2, k, 0', [-0.2334059, -0.1260384, 1.0]], ['2, k, 1', [-0.2296995, 0.133707, 1.0]], ['2, k, 2', [-0.2257686, 0.3875961, 1.0]], ['2, k, 3', [-0.2312702, 0.5236579, 1.0]], ['2, k, 4', [-0.3976201, 0.2708341, 1.0]], ['2, k, 5', [-0.4690409, 0.03580062, 1.0]], ['2, k, 6', [-0.4957148, -0.1622071, 1.0]], ['2, k, 7', [-0.5129759, -0.2045095, 1.0]], ['2, k, 8', [-0.06105354, 0.2652749, 1.0]], ['2, k, 9', [-0.006021466, 0.004425205, 1.0]], ['2, k, 10', [0.04850847, -0.1884183, 1.0]], ['2, k, 11', [0.05775632, -0.2420105, 1.0]], ['2, k, 12', [-0.3049603, -0.1246072, 1.0]], ['2, k, 13', [-0.3945678, -0.2261921, 1.0]], ['2, k, 14', [-0.3945718, -0.6101063, 1.0]], ['2, k, 15', [-0.414538, -0.6728083, 1.0]], ['2, k, 16', [-0.1576584, -0.1252103, 1.0]], ['2, k, 17', [-0.03622441, -0.2257114, 1.0]], ['2, k, 18', [-0.03859769, -0.6056983, 1.0]], ['2, k, 19', [-0.01209167, -0.6667107, 1.0]], ['2, k, 20', [-0.2268558, 0.324901, 1.0]], ['2, k, 21', [-0.528818, -0.2701973, 1.0]], ['2, k, 22', [-0.4898844, -0.2120393, 1.0]], ['2, k, 23', [0.0519895, -0.2975236, 1.0]], ['2, k, 24', [0.07256615, -0.2565334, 1.0]]]
[['2, k, 0', [-0.2333427, -0.1260374, 1.0]], ['2, k, 1', [-0.2297331, 0.133762, 1.0]], ['2, k, 2', [-0.2260207, 0.3879507, 1.0]], ['2, k, 3', [-0.2315992, 0.5236394, 1.0]], ['2, k, 4', [-0.3976173, 0.2708403, 1.0]], ['2, k, 5', [-0.4721036, 0.0302956, 1.0]], ['2, k, 6', [-0.5073432, -0.1879684, 1.0]], ['2, k, 7', [-0.5313146, -0.2365287, 1.0]], ['2, k, 8', [-0.06113326, 0.2653654, 1.0]], ['2, k, 9', [-0.006032337, 0.004534248, 1.0]], ['2, k, 10', [0.04828285, -0.1884448, 1.0]], ['2, k, 11', [0.05708132, -0.2449429, 1.0]], ['2, k, 12', [-0.3049041, -0.1246034, 1.0]], ['2, k, 13', [-0.393542, -0.2275448, 1.0]], ['2, k, 14', [-0.3945806, -0.6102644, 1.0]], ['2, k, 15', [-0.414068, -0.6729491, 1.0]], ['2, k, 16', [-0.1575659, -0.1251989, 1.0]], ['2, k, 17', [-0.03615914, -0.2256896, 1.0]], ['2, k, 18', [-0.03854109, -0.6054083, 1.0]], ['2, k, 19', [-0.01108889, -0.6664958, 1.0]], ['2, k, 20', [-0.227032, 0.325145, 1.0]], ['2, k, 21', [-0.5483929, -0.2961078, 1.0]], ['2, k, 22', [-0.5094923, -0.2653368, 1.0]], ['2, k, 23', [0.05812219, -0.2945004, 1.0]], ['2, k, 24', [0.07351895, -0.2517447, 1.0]]]
[['2, k, 0', [-0.2343094, -0.1259953, 1.0]], ['2, k, 1', [-0.2313931, 0.1337344, 1.0]], ['2, k, 2', [-0.2282543, 0.3879266, 1.0]], ['2, k, 3', [-0.2316137, 0.5236221, 1.0]], ['2, k, 4', [-0.3977008, 0.270859, 1.0]], ['2, k, 5', [-0.4749153, 0.02449923, 1.0]], ['2, k, 6', [-0.5119011, -0.193557, 1.0]], ['2, k, 7', [-0.5372388, -0.2443078, 1.0]], ['2, k, 8', [-0.06129799, 0.2654914, 1.0]], ['2, k, 9', [-0.006013441, 0.004705233, 1.0]], ['2, k, 10', [0.04795615, -0.1891856, 1.0]], ['2, k, 11', [0.05689357, -0.2419794, 1.0]], ['2, k, 12', [-0.3057387, -0.1244327, 1.0]], ['2, k, 13', [-0.3926123, -0.2282185, 1.0]], ['2, k, 14', [-0.3949508, -0.6106575, 1.0]], ['2, k, 15', [-0.4143232, -0.673227, 1.0]], ['2, k, 16', [-0.1585653, -0.125277, 1.0]], ['2, k, 17', [-0.03609659, -0.225656, 1.0]], ['2, k, 18', [-0.03850488, -0.6053188, 1.0]], ['2, k, 19', [-0.01107588, -0.6664968, 1.0]], ['2, k, 20', [-0.2291408, 0.3251158, 1.0]], ['2, k, 21', [-0.5517634, -0.3064909, 1.0]], ['2, k, 22', [-0.5173916, -0.2606304, 1.0]], ['2, k, 23', [0.06163464, -0.287841, 1.0]], ['2, k, 24', [0.04850758, -0.2724871, 1.0]]]
[['2, k, 0', [-0.2344935, -0.1258329, 1.0]], ['2, k, 1', [-0.2315798, 0.1339369, 1.0]], ['2, k, 2', [-0.2284013, 0.3882298, 1.0]], ['2, k, 3', [-0.2319421, 0.5235655, 1.0]], ['2, k, 4', [-0.3977251, 0.27015, 1.0]], ['2, k, 5', [-0.4758434, 0.02019517, 1.0]], ['2, k, 6', [-0.5176614, -0.1971205, 1.0]], ['2, k, 7', [-0.5406847, -0.261344, 1.0]], ['2, k, 8', [-0.06121954, 0.2654234, 1.0]], ['2, k, 9', [-0.005908037, 0.004637668, 1.0]], ['2, k, 10', [0.04791805, -0.1887308, 1.0]], ['2, k, 11', [0.05711477, -0.2434582, 1.0]], ['2, k, 12', [-0.3061921, -0.1241848, 1.0]], ['2, k, 13', [-0.3920082, -0.2289127, 1.0]], ['2, k, 14', [-0.3949342, -0.6106291, 1.0]], ['2, k, 15', [-0.4134688, -0.6719854, 1.0]], ['2, k, 16', [-0.1585866, -0.1251562, 1.0]], ['2, k, 17', [-0.0361097, -0.2257093, 1.0]], ['2, k, 18', [-0.03840099, -0.6054886, 1.0]], ['2, k, 19', [-0.01081169, -0.6667022, 1.0]], ['2, k, 20', [-0.2293034, 0.3253898, 1.0]], ['2, k, 21', [-0.5510338, -0.3271509, 1.0]], ['2, k, 22', [-0.5272893, -0.2869322, 1.0]], ['2, k, 23', [0.05603567, -0.2900637, 1.0]], ['2, k, 24', [0.06348287, -0.2568423, 1.0]]]
[['2, k, 0', [-0.2349523, -0.1256177, 1.0]], ['2, k, 1', [-0.2316708, 0.1340437, 1.0]], ['2, k, 2', [-0.2283398, 0.3883598, 1.0]], ['2, k, 3', [-0.2321558, 0.5236815, 1.0]], ['2, k, 4', [-0.3979264, 0.2697924, 1.0]], ['2, k, 5', [-0.4755065, 0.01952825, 1.0]], ['2, k, 6', [-0.5261086, -0.2034201, 1.0]], ['2, k, 7', [-0.5444901, -0.2670929, 1.0]], ['2, k, 8', [-0.06122288, 0.2653975, 1.0]], ['2, k, 9', [-0.005678293, 0.004672129, 1.0]], ['2, k, 10', [0.04771622, -0.1881751, 1.0]], ['2, k, 11', [0.05758984, -0.2426742, 1.0]], ['2, k, 12', [-0.3069654, -0.1239394, 1.0]], ['2, k, 13', [-0.3918191, -0.229782, 1.0]], ['2, k, 14', [-0.3959954, -0.6116192, 1.0]], ['2, k, 15', [-0.4134153, -0.6718584, 1.0]], ['2, k, 16', [-0.1587729, -0.1249281, 1.0]], ['2, k, 17', [-0.03609525, -0.2256667, 1.0]], ['2, k, 18', [-0.03828046, -0.6048611, 1.0]], ['2, k, 19', [-0.01105538, -0.6660824, 1.0]], ['2, k, 20', [-0.2292856, 0.3254915, 1.0]], ['2, k, 21', [-0.5469813, -0.3386872, 1.0]], ['2, k, 22', [-0.5210022, -0.272455, 1.0]], ['2, k, 23', [0.05607713, -0.2888747, 1.0]], ['2, k, 24', [0.07488746, -0.253168, 1.0]]]
[['2, k, 0', [-0.2350307, -0.1254996, 1.0]], ['2, k, 1', [-0.2316954, 0.1340392, 1.0]], ['2, k, 2', [-0.228279, 0.3881874, 1.0]], ['2, k, 3', [-0.23253, 0.5233479, 1.0]], ['2, k, 4', [-0.3980961, 0.2694485, 1.0]], ['2, k, 5', [-0.4740336, 0.0185146, 1.0]], ['2, k, 6', [-0.5257228, -0.2007, 1.0]], ['2, k, 7', [-0.5437211, -0.2685378, 1.0]], ['2, k, 8', [-0.06117768, 0.2653425, 1.0]], ['2, k, 9', [-0.005682494, 0.004701626, 1.0]], ['2, k, 10', [0.04754142, -0.1880506, 1.0]], ['2, k, 11', [0.05643259, -0.2388733, 1.0]], ['2, k, 12', [-0.3071806, -0.1237909, 1.0]], ['2, k, 13', [-0.3916818, -0.2300509, 1.0]], ['2, k, 14', [-0.3961098, -0.6118312, 1.0]], ['2, k, 15', [-0.4134292, -0.6716886, 1.0]], ['2, k, 16', [-0.1587465, -0.1247969, 1.0]], ['2, k, 17', [-0.03617958, -0.2255764, 1.0]], ['2, k, 18', [-0.03813119, -0.6048285, 1.0]], ['2, k, 19', [-0.0108511, -0.6658705, 1.0]], ['2, k, 20', [-0.22926, 0.3253814, 1.0]], ['2, k, 21', [-0.5488362, -0.3316405, 1.0]], ['2, k, 22', [-0.5264904, -0.2835627, 1.0]], ['2, k, 23', [0.05626368, -0.286069, 1.0]], ['2, k, 24', [0.07550079, -0.2481472, 1.0]]]
