[['2, k, 0', [-0.1676426, 0.2136243, 1.0]], ['2, k, 1', [-0.1751559, 0.5298402, 1.0]], ['2, k, 2', [-0.1814018, 0.8345212, 1.0]], ['2, k, 3', [-0.1869709, 0.9836929, 1.0]], ['2, k, 4', [-0.3595353, 0.6822485, 1.0]], ['2, k, 5', [-0.3895622, 0.4340593, 1.0]], ['2, k, 6', [-0.4013468, 0.2117893, 1.0]], ['2, k, 7', [-0.4153378, 0.1185702, 1.0]], ['2, k, 8', [0.01449008, 0.7117305, 1.0]], ['2, k, 9', [0.06093251, 0.4686022, 1.0]], ['2, k, 10', [0.07504375, 0.2388363, 1.0]], ['2, k, 11', [0.05561369, 0.1914942, 1.0]], ['2, k, 12', [-0.2466173, 0.2086098, 1.0]], ['2, k, 13', [-0.2812563, -0.1138793, 1.0]], ['2, k, 14', [-0.3042001, -0.5570992, 1.0]], ['2, k, 15', [-0.2969027, -0.6378211, 1.0]], ['2, k, 16', [-0.08449751, 0.2130525, 1.0]], ['2, k, 17', [-0.05602513, -0.102923, 1.0]], ['2, k, 18', [-0.07096948, -0.5351099, 1.0]], ['2, k, 19', [-0.04001058, -0.6204597, 1.0]], ['2, k, 20', [-0.1800424, 0.7600971, 1.0]], ['2, k, 21', [-0.4056803, 0.05144626, 1.0]], ['2, k, 22', [-0.3702115, 0.05669254, 1.0]], ['2, k, 23', [0.0511038, 0.1047861, 1.0]], ['2, k, 24', [0.0183752, 0.1986661, 1.0]]]
[['2, k, 0', [-0.1653554, 0.2133073, 1.0]], ['2, k, 1', [-0.1738959, 0.5295566, 1.0]], ['2, k, 2', [-0.1809994, 0.8345298, 1.0]], ['2, k, 3', [-0.1838891, 0.982941, 1.0]], ['2, k, 4', [-0.3569164, 0.683673, 1.0]], ['2, k, 5', [-0.400418, 0.4366255, 1.0]], ['2, k, 6', [-0.4246717, 0.2093854, 1.0]], ['2, k, 7', [-0.4484846, 0.1180111, 1.0]], ['2, k, 8', [0.01504694, 0.711852, 1.0]], ['2, k, 9', [0.06174013, 0.4695552, 1.0]], ['2, k, 10', [0.07655784, 0.2393912, 1.0]], ['2, k, 11', [0.0651812, 0.1841718, 1.0]], ['2, k, 12', [-0.2445649, 0.2082049, 1.0]], ['2, k, 13', [-0.2790054, -0.1103317, 1.0]], ['2, k, 14', [-0.3041641, -0.5570617, 1.0]], ['2, k, 15', [-0.2718855, -0.638426, 1.0]], ['2, k, 16', [-0.08200166, 0.2129153, 1.0]], ['2, k, 17', [-0.05306193, -0.1030898, 1.0]], ['2, k, 18', [-0.07149324, -0.5338044, 1.0]], ['2, k, 19', [-0.03402884, -0.6106934, 1.0]], ['2, k, 20', [-0.1794617, 0.7600188, 1.0]], ['2, k, 21', [-0.4424638, 0.05063488, 1.0]], ['2, k, 22', [-0.4178342, 0.1220243, 1.0]], ['2, k, 23', [0.05548768, 0.105739, 1.0]], ['2, k, 24', [0.02165464, 0.1846821, 1.0]]]
[['2, k, 0', [-0.1646839, 0.2135164, 1.0]], ['2, k, 1', [-0.1723486, 0.5297021, 1.0]], ['2, k, 2', [-0.1785467, 0.8349327, 1.0]], ['2, k, 3', [-0.1808941, 0.983529, 1.0]], ['2, k, 4', [-0.3502094, 0.688714, 1.0]], ['2, k, 5', [-0.4672037, 0.4590462, 1.0]], ['2, k, 6', [-0.5432867, 0.224184, 1.0]], ['2, k, 7', [-0.5677403, 0.1384798, 1.0]], ['2, k, 8', [0.01834219, 0.7126861, 1.0]], ['2, k, 9', [0.06922569, 0.4710108, 1.0]], ['2, k, 10', [0.08659077, 0.2394361, 1.0]], ['2, k, 11', [0.07907048, 0.1634466, 1.0]], ['2, k, 12', [-0.2437703, 0.2085079, 1.0]], ['2, k, 13', [-0.2785812, -0.1104271, 1.0]], ['2, k, 14', [-0.3038711, -0.5566666, 1.0]], ['2, k, 15', [-0.2798415, -0.6389585, 1.0]], ['2, k, 16', [-0.0814425, 0.213062, 1.0]], ['2, k, 17', [-0.05296556, -0.102953, 1.0]], ['2, k, 18', [-0.07143912, -0.5337662, 1.0]], ['2, k, 19', [-0.03390981, -0.6105554, 1.0]], ['2, k, 20', [-0.1772187, 0.7602649, 1.0]], ['2, k, 21', [-0.5989721, 0.06816693, 1.0]], ['2, k, 22', [-0.5399233, 0.1060896, 1.0]], ['2, k, 23', [0.06331638, 0.08991545, 1.0]], ['2, k, 24', [0.03332619, 0.1582099, 1.0]]]
[['2, k, 0', [-0.1641409, 0.2138523, 1.0]], ['2, k, 1', [-0.1703434, 0.5299686, 1.0]], ['2, k, 2', [-0.1745763, 0.8352794, 1.0]], ['2, k, 3', [-0.1777304, 0.9836998, 1.0]], ['2, k, 4', [-0.3456816, 0.6929291, 1.0]], ['2, k, 5', [-0.4657184, 0.4878979, 1.0]], ['2, k, 6', [-0.5685629, 0.2873431, 1.0]], ['2, k, 7', [-0.6250639, 0.199416, 1.0]], ['2, k, 8', [0.02094539, 0.7136759, 1.0]], ['2, k, 9', [0.07310446, 0.4714456, 1.0]], ['2, k, 10', [0.09009546, 0.2407589, 1.0]], ['2, k, 11', [0.0790815, 0.1592368, 1.0]], ['2, k, 12', [-0.2430369, 0.2091158, 1.0]], ['2, k, 13', [-0.2784407, -0.1101943, 1.0]], ['2, k, 14', [-0.3039023, -0.5563724, 1.0]], ['2, k, 15', [-0.2885828, -0.6342312, 1.0]], ['2, k, 16', [-0.08106893, 0.2132033, 1.0]], ['2, k, 17', [-0.05208035, -0.1027226, 1.0]], ['2, k, 18', [-0.07143416, -0.5337616, 1.0]], ['2, k, 19', [-0.03350851, -0.6119963, 1.0]], ['2, k, 20', [-0.1737601, 0.7605214, 1.0]], ['2, k, 21', [-0.6630323, 0.1397117, 1.0]], ['2, k, 22', [-0.5897174, 0.1533192, 1.0]], ['2, k, 23', [0.05693136, 0.08505613, 1.0]], ['2, k, 24', [0.03140694, 0.1559896, 1.0]]]
[['2, k, 0', [-0.1628993, 0.2141789, 1.0]], ['2, k, 1', [-0.1683816, 0.5302351, 1.0]], ['2, k, 2', [-0.1722999, 0.8357113, 1.0]], ['2, k, 3', [-0.1739298, 0.98498, 1.0]], ['2, k, 4', [-0.3412843, 0.6961585, 1.0]], ['2, k, 5', [-0.4861848, 0.5320306, 1.0]], ['2, k, 6', [-0.6050099, 0.3707865, 1.0]], ['2, k, 7', [-0.6795303, 0.2827276, 1.0]], ['2, k, 8', [0.02379311, 0.7132488, 1.0]], ['2, k, 9', [0.07724688, 0.470616, 1.0]], ['2, k, 10', [0.09310466, 0.2411544, 1.0]], ['2, k, 11', [0.0803703, 0.1615851, 1.0]], ['2, k, 12', [-0.2416917, 0.2097127, 1.0]], ['2, k, 13', [-0.2784941, -0.1140082, 1.0]], ['2, k, 14', [-0.3039517, -0.5560216, 1.0]], ['2, k, 15', [-0.2899743, -0.6355343, 1.0]], ['2, k, 16', [-0.07995705, 0.2133067, 1.0]], ['2, k, 17', [-0.05198158, -0.1028361, 1.0]], ['2, k, 18', [-0.07146589, -0.5303265, 1.0]], ['2, k, 19', [-0.04837541, -0.6238576, 1.0]], ['2, k, 20', [-0.1715238, 0.7608684, 1.0]], ['2, k, 21', [-0.7168519, 0.2266311, 1.0]], ['2, k, 22', [-0.6496383, 0.2502199, 1.0]], ['2, k, 23', [0.05860004, 0.08903805, 1.0]], ['2, k, 24', [0.03070284, 0.1563325, 1.0]]]
[['2, k, 0', [-0.1621754, 0.2146582, 1.0]], ['2, k, 1', [-0.1665872, 0.5305217, 1.0]], ['2, k, 2', [-0.1692913, 0.8357994, 1.0]], ['2, k, 3', [-0.1699181, 0.9839823, 1.0]], ['2, k, 4', [-0.338065, 0.7006301, 1.0]], ['2, k, 5', [-0.4982259, 0.5770376, 1.0]], ['2, k, 6', [-0.643905, 0.4447809, 1.0]], ['2, k, 7', [-0.7170134, 0.3836905, 1.0]], ['2, k, 8', [0.02642226, 0.7130724, 1.0]], ['2, k, 9', [0.07952742, 0.4696545, 1.0]], ['2, k, 10', [0.09498806, 0.2397196, 1.0]], ['2, k, 11', [0.08060415, 0.1603402, 1.0]], ['2, k, 12', [-0.2409001, 0.210344, 1.0]], ['2, k, 13', [-0.2782312, -0.1138371, 1.0]], ['2, k, 14', [-0.3043593, -0.5557952, 1.0]], ['2, k, 15', [-0.2936024, -0.6371017, 1.0]], ['2, k, 16', [-0.07933736, 0.2136374, 1.0]], ['2, k, 17', [-0.05126258, -0.1025961, 1.0]], ['2, k, 18', [-0.07124154, -0.5308084, 1.0]], ['2, k, 19', [-0.04693808, -0.6237763, 1.0]], ['2, k, 20', [-0.1688175, 0.7609828, 1.0]], ['2, k, 21', [-0.7534613, 0.3195462, 1.0]], ['2, k, 22', [-0.6857269, 0.3565214, 1.0]], ['2, k, 23', [0.06152432, 0.08784427, 1.0]], ['2, k, 24', [0.03460888, 0.1529227, 1.0]]]
[['2, k, 0', [-0.1613345, 0.2152119, 1.0]], ['2, k, 1', [-0.165181, 0.5312012, 1.0]], ['2, k, 2', [-0.1675289, 0.8367724, 1.0]], ['2, k, 3', [-0.1673967, 0.9851704, 1.0]], ['2, k, 4', [-0.3378811, 0.7021416, 1.0]], ['2, k, 5', [-0.5130055, 0.6184748, 1.0]], ['2, k, 6', [-0.6458898, 0.5405714, 1.0]], ['2, k, 7', [-0.7191815, 0.5047919, 1.0]], ['2, k, 8', [0.02775306, 0.712992, 1.0]], ['2, k, 9', [0.08063976, 0.4691871, 1.0]], ['2, k, 10', [0.09571131, 0.2393285, 1.0]], ['2, k, 11', [0.07980613, 0.1644699, 1.0]], ['2, k, 12', [-0.2400605, 0.2110327, 1.0]], ['2, k, 13', [-0.2779853, -0.1121316, 1.0]], ['2, k, 14', [-0.3045731, -0.5546159, 1.0]], ['2, k, 15', [-0.2973685, -0.6372063, 1.0]], ['2, k, 16', [-0.07846951, 0.2140717, 1.0]], ['2, k, 17', [-0.05014361, -0.1022919, 1.0]], ['2, k, 18', [-0.07122517, -0.5308301, 1.0]], ['2, k, 19', [-0.04867601, -0.6226099, 1.0]], ['2, k, 20', [-0.1671274, 0.7618545, 1.0]], ['2, k, 21', [-0.7528077, 0.4408002, 1.0]], ['2, k, 22', [-0.7101381, 0.4609161, 1.0]], ['2, k, 23', [0.05875219, 0.08942125, 1.0]], ['2, k, 24', [0.03117099, 0.1534615, 1.0]]]
[['2, k, 0', [-0.1605885, 0.216276, 1.0]], ['2, k, 1', [-0.1639245, 0.531864, 1.0]], ['2, k, 2', [-0.1658007, 0.8370696, 1.0]], ['2, k, 3', [-0.1656253, 0.9852542, 1.0]], ['2, k, 4', [-0.3383225, 0.7077171, 1.0]], ['2, k, 5', [-0.5396553, 0.6552914, 1.0]], ['2, k, 6', [-0.7071564, 0.6009049, 1.0]], ['2, k, 7', [-0.7746816, 0.5840482, 1.0]], ['2, k, 8', [0.02945099, 0.7122603, 1.0]], ['2, k, 9', [0.08167663, 0.4676749, 1.0]], ['2, k, 10', [0.09644273, 0.2394827, 1.0]], ['2, k, 11', [0.08098213, 0.1652662, 1.0]], ['2, k, 12', [-0.2392105, 0.2124627, 1.0]], ['2, k, 13', [-0.2774762, -0.1120742, 1.0]], ['2, k, 14', [-0.3034952, -0.5563243, 1.0]], ['2, k, 15', [-0.2998653, -0.6389995, 1.0]], ['2, k, 16', [-0.07783289, 0.2148129, 1.0]], ['2, k, 17', [-0.05032834, -0.1019935, 1.0]], ['2, k, 18', [-0.07128092, -0.5307081, 1.0]], ['2, k, 19', [-0.04441813, -0.6232728, 1.0]], ['2, k, 20', [-0.1655101, 0.7622352, 1.0]], ['2, k, 21', [-0.8112685, 0.5514662, 1.0]], ['2, k, 22', [-0.7311308, 0.5471978, 1.0]], ['2, k, 23', [0.06133017, 0.09064744, 1.0]], ['2, k, 24', [0.0411543, 0.1553181, 1.0]]]
[['2, k, 0', [-0.1604192, 0.2172373, 1.0]], ['2, k, 1', [-0.1633687, 0.5325072, 1.0]], ['2, k, 2', [-0.1649406, 0.8375835, 1.0]], ['2, k, 3', [-0.1644721, 0.9857477, 1.0]], ['2, k, 4', [-0.3399434, 0.7165202, 1.0]], ['2, k, 5', [-0.5448872, 0.7644243, 1.0]], ['2, k, 6', [-0.6978529, 0.7916807, 1.0]], ['2, k, 7', [-0.7908961, 0.8206148, 1.0]], ['2, k, 8', [0.02976361, 0.7119727, 1.0]], ['2, k, 9', [0.08174238, 0.4672612, 1.0]], ['2, k, 10', [0.09660034, 0.239823, 1.0]], ['2, k, 11', [0.07943602, 0.1641358, 1.0]], ['2, k, 12', [-0.2390258, 0.2134908, 1.0]], ['2, k, 13', [-0.2772318, -0.1118272, 1.0]], ['2, k, 14', [-0.3059794, -0.5569858, 1.0]], ['2, k, 15', [-0.2988504, -0.6397725, 1.0]], ['2, k, 16', [-0.07770749, 0.2156607, 1.0]], ['2, k, 17', [-0.05047658, -0.1015456, 1.0]], ['2, k, 18', [-0.0715585, -0.5294996, 1.0]], ['2, k, 19', [-0.03350166, -0.61308, 1.0]], ['2, k, 20', [-0.1647256, 0.7627659, 1.0]], ['2, k, 21', [-0.851305, 0.8445953, 1.0]], ['2, k, 22', [-0.7540982, 0.7604078, 1.0]], ['2, k, 23', [0.0634888, 0.09164267, 1.0]], ['2, k, 24', [0.04482776, 0.150171, 1.0]]]
[['2, k, 0', [-0.1609373, 0.2189178, 1.0]], ['2, k, 1', [-0.1629919, 0.5330764, 1.0]], ['2, k, 2', [-0.16346, 0.8375663, 1.0]], ['2, k, 3', [-0.1634071, 0.9858409, 1.0]], ['2, k, 4', [-0.3411163, 0.7279349, 1.0]], ['2, k, 5', [-0.5456004, 0.8201615, 1.0]], ['2, k, 6', [-0.6525941, 0.8801402, 1.0]], ['2, k, 7', [-0.7327042, 0.9220257, 1.0]], ['2, k, 8', [0.03015086, 0.7119166, 1.0]], ['2, k, 9', [0.08198945, 0.4671009, 1.0]], ['2, k, 10', [0.09605414, 0.2396602, 1.0]], ['2, k, 11', [0.08018001, 0.1701976, 1.0]], ['2, k, 12', [-0.2396457, 0.2155283, 1.0]], ['2, k, 13', [-0.2772386, -0.1118797, 1.0]], ['2, k, 14', [-0.3064864, -0.5584914, 1.0]], ['2, k, 15', [-0.2995178, -0.6403363, 1.0]], ['2, k, 16', [-0.0781417, 0.2169673, 1.0]], ['2, k, 17', [-0.05005785, -0.1004968, 1.0]], ['2, k, 18', [-0.07153596, -0.5294839, 1.0]], ['2, k, 19', [-0.03441254, -0.6134644, 1.0]], ['2, k, 20', [-0.1635963, 0.7629226, 1.0]], ['2, k, 21', [-0.7830286, 0.9609071, 1.0]], ['2, k, 22', [-0.7354684, 0.8893377, 1.0]], ['2, k, 23', [0.06325406, 0.09377612, 1.0]], ['2, k, 24', [0.03937461, 0.1545247, 1.0]]]
[['2, k, 0', [-0.1620345, 0.2228064, 1.0]], ['2, k, 1', [-0.1632834, 0.5344253, 1.0]], ['2, k, 2', [-0.163487, 0.8377244, 1.0]], ['2, k, 3', [-0.1633011, 0.9858293, 1.0]], ['2, k, 4', [-0.3436964, 0.7425544, 1.0]], ['2, k, 5', [-0.5221525, 0.8697454, 1.0]], ['2, k, 6', [-0.6328675, 0.9736801, 1.0]], ['2, k, 7', [-0.702369, 1.039625, 1.0]], ['2, k, 8', [0.03030301, 0.7117497, 1.0]], ['2, k, 9', [0.08216191, 0.4663977, 1.0]], ['2, k, 10', [0.09598206, 0.2397096, 1.0]], ['2, k, 11', [0.08236527, 0.1747164, 1.0]], ['2, k, 12', [-0.240741, 0.2196691, 1.0]], ['2, k, 13', [-0.2773846, -0.1116948, 1.0]], ['2, k, 14', [-0.3058402, -0.558957, 1.0]], ['2, k, 15', [-0.299965, -0.6410486, 1.0]], ['2, k, 16', [-0.07924117, 0.2204956, 1.0]], ['2, k, 17', [-0.05006075, -0.09790082, 1.0]], ['2, k, 18', [-0.07185683, -0.5294819, 1.0]], ['2, k, 19', [-0.03327648, -0.6162269, 1.0]], ['2, k, 20', [-0.1636506, 0.7632532, 1.0]], ['2, k, 21', [-0.7414585, 1.087456, 1.0]], ['2, k, 22', [-0.6892295, 0.9985293, 1.0]], ['2, k, 23', [0.06037901, 0.1026121, 1.0]], ['2, k, 24', [0.04418707, 0.1570798, 1.0]]]
