[['2, k, 0', [0.1144571, -0.5084039, 1.0]], ['2, k, 1', [0.1252284, -0.2771257, 1.0]], ['2, k, 2', [0.1353163, -0.05247431, 1.0]], ['2, k, 3', [0.1416759, 0.08973249, 1.0]], ['2, k, 4', [-0.04440362, -0.1340336, 1.0]], ['2, k, 5', [-0.1097065, -0.3456976, 1.0]], ['2, k, 6', [0.02336518, -0.3380524, 1.0]], ['2, k, 7', [0.09646735, -0.3240318, 1.0]], ['2, k, 8', [0.2982383, -0.1407163, 1.0]], ['2, k, 9', [0.3089236, -0.3621415, 1.0]], ['2, k, 10', [0.1590375, -0.3359883, 1.0]], ['2, k, 11', [0.1155946, -0.3245467, 1.0]], ['2, k, 12', [0.03109811, -0.4996327, 1.0]], ['2, k, 13', [-0.04931357, -0.5440302, 1.0]], ['2, k, 14', [-0.02577404, -0.8997114, 1.0]], ['2, k, 15', [-0.02566465, -0.9327892, 1.0]], ['2, k, 16', [0.194646, -0.503495, 1.0]], ['2, k, 17', [0.2273993, -0.5474235, 1.0]], ['2, k, 18', [0.1969156, -0.9499936, 1.0]], ['2, k, 19', [0.193692, -0.9823323, 1.0]], ['2, k, 20', [0.1327782, -0.1089701, 1.0]], ['2, k, 21', [0.1539705, -0.3253446, 1.0]], ['2, k, 22', [0.08958361, -0.2743746, 1.0]], ['2, k, 23', [0.06990795, -0.3093701, 1.0]], ['2, k, 24', [0.1510022, -0.325753, 1.0]]]
[['2, k, 0', [0.1129165, -0.5095738, 1.0]], ['2, k, 1', [0.124279, -0.2776693, 1.0]], ['2, k, 2', [0.134863, -0.05240901, 1.0]], ['2, k, 3', [0.1413734, 0.09017257, 1.0]], ['2, k, 4', [-0.04441808, -0.1336906, 1.0]], ['2, k, 5', [-0.1042684, -0.3050528, 1.0]], ['2, k, 6', [0.02672492, -0.3370338, 1.0]], ['2, k, 7', [0.09522937, -0.3261891, 1.0]], ['2, k, 8', [0.2977569, -0.1407253, 1.0]], ['2, k, 9', [0.3095998, -0.3625558, 1.0]], ['2, k, 10', [0.1593537, -0.3397461, 1.0]], ['2, k, 11', [0.1196283, -0.3266911, 1.0]], ['2, k, 12', [0.02928202, -0.500551, 1.0]], ['2, k, 13', [-0.0494523, -0.5443591, 1.0]], ['2, k, 14', [-0.02574109, -0.899712, 1.0]], ['2, k, 15', [-0.02551709, -0.9326302, 1.0]], ['2, k, 16', [0.1934373, -0.504881, 1.0]], ['2, k, 17', [0.2272867, -0.547563, 1.0]], ['2, k, 18', [0.1969315, -0.9489244, 1.0]], ['2, k, 19', [0.1938218, -0.9811156, 1.0]], ['2, k, 20', [0.1322975, -0.1088975, 1.0]], ['2, k, 21', [0.1438772, -0.3284285, 1.0]], ['2, k, 22', [0.1012208, -0.2774969, 1.0]], ['2, k, 23', [0.07599954, -0.3130611, 1.0]], ['2, k, 24', [0.114129, -0.2776844, 1.0]]]
[['2, k, 0', [0.1125319, -0.5103873, 1.0]], ['2, k, 1', [0.1236934, -0.2780827, 1.0]], ['2, k, 2', [0.1342018, -0.05222966, 1.0]], ['2, k, 3', [0.1410946, 0.09055226, 1.0]], ['2, k, 4', [-0.04456483, -0.133416, 1.0]], ['2, k, 5', [-0.104838, -0.3047743, 1.0]], ['2, k, 6', [0.02552807, -0.3363127, 1.0]], ['2, k, 7', [0.09303179, -0.3282989, 1.0]], ['2, k, 8', [0.2972304, -0.1404951, 1.0]], ['2, k, 9', [0.3357818, -0.3787261, 1.0]], ['2, k, 10', [0.1749596, -0.3445524, 1.0]], ['2, k, 11', [0.0916801, -0.3227253, 1.0]], ['2, k, 12', [0.02886992, -0.501255, 1.0]], ['2, k, 13', [-0.04967267, -0.5447314, 1.0]], ['2, k, 14', [-0.02593633, -0.9001839, 1.0]], ['2, k, 15', [-0.1021661, -0.9346802, 1.0]], ['2, k, 16', [0.1931221, -0.5057878, 1.0]], ['2, k, 17', [0.2271335, -0.547456, 1.0]], ['2, k, 18', [0.1970284, -0.948154, 1.0]], ['2, k, 19', [0.1942432, -0.9802974, 1.0]], ['2, k, 20', [0.1317028, -0.1087516, 1.0]], ['2, k, 21', [0.1348107, -0.3319085, 1.0]], ['2, k, 22', [0.1084959, -0.2823774, 1.0]], ['2, k, 23', [0.07629706, -0.3161841, 1.0]], ['2, k, 24', [0.1061474, -0.2851679, 1.0]]]
[['2, k, 0', [0.1127703, -0.5111232, 1.0]], ['2, k, 1', [0.1234607, -0.2785468, 1.0]], ['2, k, 2', [0.1337764, -0.05230768, 1.0]], ['2, k, 3', [0.1406739, 0.09074107, 1.0]], ['2, k, 4', [-0.04449502, -0.1333349, 1.0]], ['2, k, 5', [-0.1062493, -0.3080286, 1.0]], ['2, k, 6', [0.02556732, -0.3367221, 1.0]], ['2, k, 7', [0.09195418, -0.3303109, 1.0]], ['2, k, 8', [0.2965955, -0.1402393, 1.0]], ['2, k, 9', [0.3355184, -0.346429, 1.0]], ['2, k, 10', [0.175481, -0.3320406, 1.0]], ['2, k, 11', [0.08917548, -0.3236223, 1.0]], ['2, k, 12', [0.02886812, -0.5021131, 1.0]], ['2, k, 13', [-0.04974324, -0.5450069, 1.0]], ['2, k, 14', [-0.02613697, -0.9002836, 1.0]], ['2, k, 15', [-0.1022928, -0.9358996, 1.0]], ['2, k, 16', [0.1936178, -0.5063858, 1.0]], ['2, k, 17', [0.2270683, -0.547576, 1.0]], ['2, k, 18', [0.1971161, -0.9476542, 1.0]], ['2, k, 19', [0.1944711, -0.9797331, 1.0]], ['2, k, 20', [0.1313605, -0.1088258, 1.0]], ['2, k, 21', [0.131007, -0.3314515, 1.0]], ['2, k, 22', [0.1082473, -0.2847103, 1.0]], ['2, k, 23', [0.07993764, -0.3188692, 1.0]], ['2, k, 24', [0.05357865, -0.3099799, 1.0]]]
[['2, k, 0', [0.1129789, -0.5113894, 1.0]], ['2, k, 1', [0.1234052, -0.2787297, 1.0]], ['2, k, 2', [0.1335563, -0.05229199, 1.0]], ['2, k, 3', [0.1403679, 0.09082033, 1.0]], ['2, k, 4', [-0.04411894, -0.1328089, 1.0]], ['2, k, 5', [-0.1122266, -0.3336015, 1.0]], ['2, k, 6', [0.02582605, -0.3376972, 1.0]], ['2, k, 7', [0.09331019, -0.3316595, 1.0]], ['2, k, 8', [0.2961441, -0.1399181, 1.0]], ['2, k, 9', [0.3354931, -0.3463327, 1.0]], ['2, k, 10', [0.1798534, -0.3481193, 1.0]], ['2, k, 11', [0.1158979, -0.3352802, 1.0]], ['2, k, 12', [0.02889609, -0.5024292, 1.0]], ['2, k, 13', [-0.04978517, -0.5451166, 1.0]], ['2, k, 14', [-0.02629502, -0.9003367, 1.0]], ['2, k, 15', [-0.1021309, -0.9386079, 1.0]], ['2, k, 16', [0.1940451, -0.5065905, 1.0]], ['2, k, 17', [0.2270071, -0.5476039, 1.0]], ['2, k, 18', [0.1968688, -0.9473421, 1.0]], ['2, k, 19', [0.1949257, -0.9793943, 1.0]], ['2, k, 20', [0.1311924, -0.1088123, 1.0]], ['2, k, 21', [0.1289678, -0.3307653, 1.0]], ['2, k, 22', [0.1053622, -0.2844191, 1.0]], ['2, k, 23', [0.08729821, -0.3222106, 1.0]], ['2, k, 24', [0.1335497, -0.2944821, 1.0]]]
[['2, k, 0', [0.1129496, -0.511642, 1.0]], ['2, k, 1', [0.1232577, -0.2789092, 1.0]], ['2, k, 2', [0.133303, -0.05227423, 1.0]], ['2, k, 3', [0.140022, 0.09079029, 1.0]], ['2, k, 4', [-0.04424637, -0.1328162, 1.0]], ['2, k, 5', [-0.1061771, -0.320098, 1.0]], ['2, k, 6', [0.02242718, -0.3435922, 1.0]], ['2, k, 7', [0.09727146, -0.3341362, 1.0]], ['2, k, 8', [0.2956038, -0.1399336, 1.0]], ['2, k, 9', [0.3346393, -0.3455969, 1.0]], ['2, k, 10', [0.1767563, -0.3482301, 1.0]], ['2, k, 11', [0.1142369, -0.3366271, 1.0]], ['2, k, 12', [0.02875851, -0.5027071, 1.0]], ['2, k, 13', [-0.04983977, -0.5452797, 1.0]], ['2, k, 14', [-0.02624044, -0.9003798, 1.0]], ['2, k, 15', [-0.102403, -0.9385239, 1.0]], ['2, k, 16', [0.1941554, -0.5068147, 1.0]], ['2, k, 17', [0.2269863, -0.5476362, 1.0]], ['2, k, 18', [0.1966286, -0.9471661, 1.0]], ['2, k, 19', [0.1950172, -0.9792049, 1.0]], ['2, k, 20', [0.1309777, -0.1088021, 1.0]], ['2, k, 21', [0.1306968, -0.3361332, 1.0]], ['2, k, 22', [0.1074656, -0.2887037, 1.0]], ['2, k, 23', [0.09005419, -0.3282602, 1.0]], ['2, k, 24', [0.1281897, -0.2911703, 1.0]]]
[['2, k, 0', [0.1125167, -0.5121604, 1.0]], ['2, k, 1', [0.1225258, -0.2793722, 1.0]], ['2, k, 2', [0.1321208, -0.05242221, 1.0]], ['2, k, 3', [0.1397579, 0.09085927, 1.0]], ['2, k, 4', [-0.04430904, -0.13267, 1.0]], ['2, k, 5', [-0.1086577, -0.3342905, 1.0]], ['2, k, 6', [0.0218272, -0.3459779, 1.0]], ['2, k, 7', [0.1015093, -0.3330957, 1.0]], ['2, k, 8', [0.2954667, -0.1399584, 1.0]], ['2, k, 9', [0.3345833, -0.3464516, 1.0]], ['2, k, 10', [0.175354, -0.3477133, 1.0]], ['2, k, 11', [0.1140416, -0.3372, 1.0]], ['2, k, 12', [0.02843869, -0.5031722, 1.0]], ['2, k, 13', [-0.04983544, -0.545273, 1.0]], ['2, k, 14', [-0.02629807, -0.9004835, 1.0]], ['2, k, 15', [-0.1016296, -0.9402762, 1.0]], ['2, k, 16', [0.1935834, -0.507404, 1.0]], ['2, k, 17', [0.2269254, -0.5470374, 1.0]], ['2, k, 18', [0.1964027, -0.9466097, 1.0]], ['2, k, 19', [0.1949457, -0.9786483, 1.0]], ['2, k, 20', [0.129936, -0.108971, 1.0]], ['2, k, 21', [0.1287021, -0.3313911, 1.0]], ['2, k, 22', [0.1091916, -0.2870545, 1.0]], ['2, k, 23', [0.0913966, -0.3254461, 1.0]], ['2, k, 24', [0.1313437, -0.2920943, 1.0]]]
[['2, k, 0', [0.1124361, -0.5125539, 1.0]], ['2, k, 1', [0.1222583, -0.2796322, 1.0]], ['2, k, 2', [0.1315057, -0.05248126, 1.0]], ['2, k, 3', [0.1393268, 0.09065995, 1.0]], ['2, k, 4', [-0.04434022, -0.1328445, 1.0]], ['2, k, 5', [-0.1084659, -0.3361195, 1.0]], ['2, k, 6', [0.02158561, -0.3475989, 1.0]], ['2, k, 7', [0.1023715, -0.3348942, 1.0]], ['2, k, 8', [0.2947132, -0.1401892, 1.0]], ['2, k, 9', [0.3344676, -0.3473962, 1.0]], ['2, k, 10', [0.175445, -0.3480028, 1.0]], ['2, k, 11', [0.1120475, -0.3347678, 1.0]], ['2, k, 12', [0.02828853, -0.5036578, 1.0]], ['2, k, 13', [-0.0496844, -0.5449841, 1.0]], ['2, k, 14', [-0.02737283, -0.9011393, 1.0]], ['2, k, 15', [-0.02545588, -0.9338503, 1.0]], ['2, k, 16', [0.193556, -0.5077007, 1.0]], ['2, k, 17', [0.2268947, -0.5471895, 1.0]], ['2, k, 18', [0.1963793, -0.9467058, 1.0]], ['2, k, 19', [0.1949449, -0.9787285, 1.0]], ['2, k, 20', [0.1294387, -0.1090487, 1.0]], ['2, k, 21', [0.1300806, -0.3379951, 1.0]], ['2, k, 22', [0.1165092, -0.2879393, 1.0]], ['2, k, 23', [0.08658302, -0.3298365, 1.0]], ['2, k, 24', [0.1100378, -0.2857613, 1.0]]]
[['2, k, 0', [0.1120906, -0.5131116, 1.0]], ['2, k, 1', [0.1221414, -0.2798866, 1.0]], ['2, k, 2', [0.1314974, -0.0524951, 1.0]], ['2, k, 3', [0.1388918, 0.09065549, 1.0]], ['2, k, 4', [-0.04438324, -0.1329729, 1.0]], ['2, k, 5', [-0.1078655, -0.3363059, 1.0]], ['2, k, 6', [0.02184938, -0.3477135, 1.0]], ['2, k, 7', [0.1009918, -0.3352453, 1.0]], ['2, k, 8', [0.2938006, -0.1398972, 1.0]], ['2, k, 9', [0.33294, -0.3452627, 1.0]], ['2, k, 10', [0.1758555, -0.3460936, 1.0]], ['2, k, 11', [0.1096611, -0.3344891, 1.0]], ['2, k, 12', [0.02794332, -0.5044096, 1.0]], ['2, k, 13', [-0.04966658, -0.5450362, 1.0]], ['2, k, 14', [-0.02760929, -0.9012489, 1.0]], ['2, k, 15', [-0.02572467, -0.9339418, 1.0]], ['2, k, 16', [0.1932285, -0.5080887, 1.0]], ['2, k, 17', [0.2268995, -0.547098, 1.0]], ['2, k, 18', [0.1965676, -0.9466807, 1.0]], ['2, k, 19', [0.1950954, -0.9786907, 1.0]], ['2, k, 20', [0.1294196, -0.109073, 1.0]], ['2, k, 21', [0.1257033, -0.336103, 1.0]], ['2, k, 22', [0.08709306, -0.2950579, 1.0]], ['2, k, 23', [0.08732361, -0.3280428, 1.0]], ['2, k, 24', [0.106323, -0.2849367, 1.0]]]
[['2, k, 0', [0.1121444, -0.5133321, 1.0]], ['2, k, 1', [0.1220603, -0.280051, 1.0]], ['2, k, 2', [0.1312558, -0.05253241, 1.0]], ['2, k, 3', [0.1385268, 0.09037373, 1.0]], ['2, k, 4', [-0.04426626, -0.133256, 1.0]], ['2, k, 5', [-0.08984293, -0.3147341, 1.0]], ['2, k, 6', [0.02193748, -0.3478248, 1.0]], ['2, k, 7', [0.09926789, -0.3350459, 1.0]], ['2, k, 8', [0.2926768, -0.1396123, 1.0]], ['2, k, 9', [0.3322909, -0.343957, 1.0]], ['2, k, 10', [0.1759647, -0.3446445, 1.0]], ['2, k, 11', [0.1088406, -0.332997, 1.0]], ['2, k, 12', [0.02796924, -0.5047357, 1.0]], ['2, k, 13', [-0.04968684, -0.545054, 1.0]], ['2, k, 14', [-0.02749175, -0.9012204, 1.0]], ['2, k, 15', [-0.1006979, -0.9449987, 1.0]], ['2, k, 16', [0.1932957, -0.5082192, 1.0]], ['2, k, 17', [0.2268979, -0.5469742, 1.0]], ['2, k, 18', [0.1957847, -0.946437, 1.0]], ['2, k, 19', [0.1942686, -0.9784464, 1.0]], ['2, k, 20', [0.129224, -0.1091226, 1.0]], ['2, k, 21', [0.1280606, -0.338046, 1.0]], ['2, k, 22', [0.1109927, -0.2889385, 1.0]], ['2, k, 23', [0.08654203, -0.3266146, 1.0]], ['2, k, 24', [0.1244164, -0.2881674, 1.0]]]
[['2, k, 0', [0.1122485, -0.513351, 1.0]], ['2, k, 1', [0.1220513, -0.2801518, 1.0]], ['2, k, 2', [0.131054, -0.05274367, 1.0]], ['2, k, 3', [0.138075, 0.09013426, 1.0]], ['2, k, 4', [-0.0440915, -0.1333196, 1.0]], ['2, k, 5', [-0.08815615, -0.3134917, 1.0]], ['2, k, 6', [0.0232916, -0.3478937, 1.0]], ['2, k, 7', [0.09945299, -0.3348402, 1.0]], ['2, k, 8', [0.2919667, -0.1386854, 1.0]], ['2, k, 9', [0.3323895, -0.3440481, 1.0]], ['2, k, 10', [0.1775273, -0.3418798, 1.0]], ['2, k, 11', [0.1075643, -0.3311169, 1.0]], ['2, k, 12', [0.02804277, -0.5047767, 1.0]], ['2, k, 13', [-0.04960358, -0.5450421, 1.0]], ['2, k, 14', [-0.0272981, -0.9015235, 1.0]], ['2, k, 15', [-0.1006581, -0.9442924, 1.0]], ['2, k, 16', [0.1934379, -0.5082021, 1.0]], ['2, k, 17', [0.2268347, -0.5467507, 1.0]], ['2, k, 18', [0.1957982, -0.9461833, 1.0]], ['2, k, 19', [0.1940577, -0.9781942, 1.0]], ['2, k, 20', [0.1290863, -0.1092737, 1.0]], ['2, k, 21', [0.123845, -0.3344041, 1.0]], ['2, k, 22', [0.09682936, -0.2885602, 1.0]], ['2, k, 23', [0.08598962, -0.3238702, 1.0]], ['2, k, 24', [0.1107879, -0.279922, 1.0]]]
