[['2, k, 0', [-0.257676, -0.411766, 1.0]], ['2, k, 1', [-0.275001, -0.113457, 1.0]], ['2, k, 2', [-0.289991, 0.177732, 1.0]], ['2, k, 3', [-0.27593, 0.295363, 1.0]], ['2, k, 4', [-0.456251, 0.0989376, 1.0]], ['2, k, 5', [-0.555549, -0.0619789, 1.0]], ['2, k, 6', [-0.474139, -0.226254, 1.0]], ['2, k, 7', [-0.433148, -0.281576, 1.0]], ['2, k, 8', [-0.0982587, 0.0847489, 1.0]], ['2, k, 9', [0.0191557, -0.0442626, 1.0]], ['2, k, 10', [-0.0658711, -0.212293, 1.0]], ['2, k, 11', [-0.119366, -0.253058, 1.0]], ['2, k, 12', [-0.335411, -0.402104, 1.0]], ['2, k, 13', [-0.388114, -0.727962, 1.0]], ['2, k, 14', [-0.408297, -1.09407, 1.0]], ['2, k, 15', [-0.434326, -1.16016, 1.0]], ['2, k, 16', [-0.171975, -0.408741, 1.0]], ['2, k, 17', [-0.129286, -0.72818, 1.0]], ['2, k, 18', [-0.0978905, -1.10023, 1.0]], ['2, k, 19', [-0.0762939, -1.1543, 1.0]], ['2, k, 20', [-0.286634, 0.105974, 1.0]], ['2, k, 21', [-0.452355, -0.384363, 1.0]], ['2, k, 22', [-0.408757, -0.312796, 1.0]], ['2, k, 23', [-0.149128, -0.326018, 1.0]], ['2, k, 24', [-0.157899, -0.211198, 1.0]]]
[['2, k, 0', [-0.2578, -0.411649, 1.0]], ['2, k, 1', [-0.275024, -0.113467, 1.0]], ['2, k, 2', [-0.289981, 0.177671, 1.0]], ['2, k, 3', [-0.275913, 0.295362, 1.0]], ['2, k, 4', [-0.456231, 0.0989343, 1.0]], ['2, k, 5', [-0.554801, -0.0626297, 1.0]], ['2, k, 6', [-0.474314, -0.226998, 1.0]], ['2, k, 7', [-0.422117, -0.275438, 1.0]], ['2, k, 8', [-0.098232, 0.0847214, 1.0]], ['2, k, 9', [0.0220284, -0.0386752, 1.0]], ['2, k, 10', [-0.0655332, -0.211586, 1.0]], ['2, k, 11', [-0.117589, -0.253254, 1.0]], ['2, k, 12', [-0.335533, -0.401972, 1.0]], ['2, k, 13', [-0.388113, -0.727851, 1.0]], ['2, k, 14', [-0.404911, -1.0877, 1.0]], ['2, k, 15', [-0.434434, -1.16026, 1.0]], ['2, k, 16', [-0.1721, -0.408645, 1.0]], ['2, k, 17', [-0.129172, -0.728538, 1.0]], ['2, k, 18', [-0.0977427, -1.10098, 1.0]], ['2, k, 19', [-0.0712624, -1.1582, 1.0]], ['2, k, 20', [-0.286631, 0.105934, 1.0]], ['2, k, 21', [-0.389669, -0.362876, 1.0]], ['2, k, 22', [-0.381331, -0.249232, 1.0]], ['2, k, 23', [-0.149089, -0.325928, 1.0]], ['2, k, 24', [-0.15788, -0.210664, 1.0]]]
[['2, k, 0', [-0.258432, -0.410751, 1.0]], ['2, k, 1', [-0.275097, -0.1133, 1.0]], ['2, k, 2', [-0.289913, 0.177643, 1.0]], ['2, k, 3', [-0.275916, 0.295374, 1.0]], ['2, k, 4', [-0.455584, 0.0989195, 1.0]], ['2, k, 5', [-0.540319, -0.0888641, 1.0]], ['2, k, 6', [-0.463271, -0.255082, 1.0]], ['2, k, 7', [-0.417341, -0.301351, 1.0]], ['2, k, 8', [-0.0981703, 0.0846614, 1.0]], ['2, k, 9', [0.022038, -0.0395652, 1.0]], ['2, k, 10', [-0.0657215, -0.21646, 1.0]], ['2, k, 11', [-0.119252, -0.264752, 1.0]], ['2, k, 12', [-0.336164, -0.401031, 1.0]], ['2, k, 13', [-0.387917, -0.727755, 1.0]], ['2, k, 14', [-0.40418, -1.08497, 1.0]], ['2, k, 15', [-0.434484, -1.16026, 1.0]], ['2, k, 16', [-0.172719, -0.407824, 1.0]], ['2, k, 17', [-0.129027, -0.729397, 1.0]], ['2, k, 18', [-0.0975311, -1.10171, 1.0]], ['2, k, 19', [-0.0697237, -1.16096, 1.0]], ['2, k, 20', [-0.286606, 0.105935, 1.0]], ['2, k, 21', [-0.384604, -0.386998, 1.0]], ['2, k, 22', [-0.37804, -0.266977, 1.0]], ['2, k, 23', [-0.150046, -0.3366, 1.0]], ['2, k, 24', [-0.157808, -0.214112, 1.0]]]
[['2, k, 0', [-0.258825, -0.409908, 1.0]], ['2, k, 1', [-0.275102, -0.113125, 1.0]], ['2, k, 2', [-0.289732, 0.177585, 1.0]], ['2, k, 3', [-0.27576, 0.29537, 1.0]], ['2, k, 4', [-0.45563, 0.0990139, 1.0]], ['2, k, 5', [-0.544076, -0.0817141, 1.0]], ['2, k, 6', [-0.465463, -0.247718, 1.0]], ['2, k, 7', [-0.41983, -0.295985, 1.0]], ['2, k, 8', [-0.0973898, 0.083881, 1.0]], ['2, k, 9', [0.0226645, -0.0407316, 1.0]], ['2, k, 10', [-0.065253, -0.216819, 1.0]], ['2, k, 11', [-0.118776, -0.264796, 1.0]], ['2, k, 12', [-0.336598, -0.399826, 1.0]], ['2, k, 13', [-0.387724, -0.727399, 1.0]], ['2, k, 14', [-0.406591, -1.08817, 1.0]], ['2, k, 15', [-0.434959, -1.16056, 1.0]], ['2, k, 16', [-0.173061, -0.407294, 1.0]], ['2, k, 17', [-0.128968, -0.729379, 1.0]], ['2, k, 18', [-0.0975049, -1.10165, 1.0]], ['2, k, 19', [-0.0738267, -1.15808, 1.0]], ['2, k, 20', [-0.286507, 0.105934, 1.0]], ['2, k, 21', [-0.383435, -0.38417, 1.0]], ['2, k, 22', [-0.377468, -0.261675, 1.0]], ['2, k, 23', [-0.150921, -0.336096, 1.0]], ['2, k, 24', [-0.157755, -0.214705, 1.0]]]
[['2, k, 0', [-0.259509, -0.409535, 1.0]], ['2, k, 1', [-0.275185, -0.113037, 1.0]], ['2, k, 2', [-0.289591, 0.177557, 1.0]], ['2, k, 3', [-0.275455, 0.295219, 1.0]], ['2, k, 4', [-0.45557, 0.0991073, 1.0]], ['2, k, 5', [-0.545331, -0.0794985, 1.0]], ['2, k, 6', [-0.46658, -0.246118, 1.0]], ['2, k, 7', [-0.418582, -0.299553, 1.0]], ['2, k, 8', [-0.0969191, 0.0833249, 1.0]], ['2, k, 9', [0.0253321, -0.0378829, 1.0]], ['2, k, 10', [-0.0668304, -0.225158, 1.0]], ['2, k, 11', [-0.122677, -0.277481, 1.0]], ['2, k, 12', [-0.337279, -0.399319, 1.0]], ['2, k, 13', [-0.387435, -0.727743, 1.0]], ['2, k, 14', [-0.406985, -1.08917, 1.0]], ['2, k, 15', [-0.433528, -1.16131, 1.0]], ['2, k, 16', [-0.173748, -0.407063, 1.0]], ['2, k, 17', [-0.128889, -0.729362, 1.0]], ['2, k, 18', [-0.0975017, -1.10156, 1.0]], ['2, k, 19', [-0.074926, -1.15718, 1.0]], ['2, k, 20', [-0.286453, 0.105934, 1.0]], ['2, k, 21', [-0.38856, -0.379164, 1.0]], ['2, k, 22', [-0.379218, -0.257543, 1.0]], ['2, k, 23', [-0.154716, -0.348767, 1.0]], ['2, k, 24', [-0.161524, -0.228125, 1.0]]]
[['2, k, 0', [-0.259685, -0.40934, 1.0]], ['2, k, 1', [-0.275108, -0.11299, 1.0]], ['2, k, 2', [-0.28861, 0.177366, 1.0]], ['2, k, 3', [-0.275326, 0.295226, 1.0]], ['2, k, 4', [-0.455381, 0.0993633, 1.0]], ['2, k, 5', [-0.546705, -0.0775146, 1.0]], ['2, k, 6', [-0.46579, -0.243723, 1.0]], ['2, k, 7', [-0.419263, -0.294808, 1.0]], ['2, k, 8', [-0.0964643, 0.0827875, 1.0]], ['2, k, 9', [0.0267502, -0.0364423, 1.0]], ['2, k, 10', [-0.0666784, -0.225176, 1.0]], ['2, k, 11', [-0.121514, -0.277154, 1.0]], ['2, k, 12', [-0.337462, -0.398988, 1.0]], ['2, k, 13', [-0.387328, -0.727605, 1.0]], ['2, k, 14', [-0.40711, -1.08955, 1.0]], ['2, k, 15', [-0.433555, -1.16133, 1.0]], ['2, k, 16', [-0.173926, -0.406983, 1.0]], ['2, k, 17', [-0.128763, -0.729541, 1.0]], ['2, k, 18', [-0.0973598, -1.10176, 1.0]], ['2, k, 19', [-0.074932, -1.15726, 1.0]], ['2, k, 20', [-0.285795, 0.10585, 1.0]], ['2, k, 21', [-0.387879, -0.378415, 1.0]], ['2, k, 22', [-0.377796, -0.259419, 1.0]], ['2, k, 23', [-0.157474, -0.349784, 1.0]], ['2, k, 24', [-0.161777, -0.226936, 1.0]]]
[['2, k, 0', [-0.259736, -0.409108, 1.0]], ['2, k, 1', [-0.275106, -0.112904, 1.0]], ['2, k, 2', [-0.288589, 0.177356, 1.0]], ['2, k, 3', [-0.27526, 0.295194, 1.0]], ['2, k, 4', [-0.455214, 0.0993781, 1.0]], ['2, k, 5', [-0.54331, -0.0857637, 1.0]], ['2, k, 6', [-0.460285, -0.25125, 1.0]], ['2, k, 7', [-0.417601, -0.296777, 1.0]], ['2, k, 8', [-0.0961949, 0.082451, 1.0]], ['2, k, 9', [0.0287772, -0.0360527, 1.0]], ['2, k, 10', [-0.0656564, -0.224853, 1.0]], ['2, k, 11', [-0.120406, -0.277143, 1.0]], ['2, k, 12', [-0.337497, -0.398708, 1.0]], ['2, k, 13', [-0.387257, -0.727811, 1.0]], ['2, k, 14', [-0.407508, -1.09016, 1.0]], ['2, k, 15', [-0.43412, -1.16117, 1.0]], ['2, k, 16', [-0.173992, -0.406822, 1.0]], ['2, k, 17', [-0.128487, -0.73177, 1.0]], ['2, k, 18', [-0.0961843, -1.10507, 1.0]], ['2, k, 19', [-0.0749232, -1.15929, 1.0]], ['2, k, 20', [-0.285773, 0.10585, 1.0]], ['2, k, 21', [-0.380497, -0.384125, 1.0]], ['2, k, 22', [-0.376722, -0.261376, 1.0]], ['2, k, 23', [-0.154674, -0.348663, 1.0]], ['2, k, 24', [-0.160837, -0.225866, 1.0]]]
[['2, k, 0', [-0.259978, -0.408835, 1.0]], ['2, k, 1', [-0.275102, -0.112891, 1.0]], ['2, k, 2', [-0.288372, 0.177129, 1.0]], ['2, k, 3', [-0.274894, 0.294733, 1.0]], ['2, k, 4', [-0.455189, 0.0993462, 1.0]], ['2, k, 5', [-0.548312, -0.0760028, 1.0]], ['2, k, 6', [-0.464279, -0.241828, 1.0]], ['2, k, 7', [-0.418887, -0.289931, 1.0]], ['2, k, 8', [-0.0959715, 0.0821479, 1.0]], ['2, k, 9', [0.0306504, -0.0352145, 1.0]], ['2, k, 10', [-0.0644422, -0.225116, 1.0]], ['2, k, 11', [-0.118304, -0.277477, 1.0]], ['2, k, 12', [-0.337718, -0.398424, 1.0]], ['2, k, 13', [-0.386942, -0.725271, 1.0]], ['2, k, 14', [-0.404613, -1.08469, 1.0]], ['2, k, 15', [-0.434028, -1.16099, 1.0]], ['2, k, 16', [-0.174247, -0.406593, 1.0]], ['2, k, 17', [-0.128415, -0.731531, 1.0]], ['2, k, 18', [-0.096318, -1.10473, 1.0]], ['2, k, 19', [-0.0749357, -1.159, 1.0]], ['2, k, 20', [-0.285641, 0.105727, 1.0]], ['2, k, 21', [-0.385254, -0.37969, 1.0]], ['2, k, 22', [-0.377056, -0.259358, 1.0]], ['2, k, 23', [-0.152822, -0.348982, 1.0]], ['2, k, 24', [-0.158193, -0.22365, 1.0]]]
[['2, k, 0', [-0.260065, -0.408741, 1.0]], ['2, k, 1', [-0.275084, -0.11288, 1.0]], ['2, k, 2', [-0.288096, 0.176994, 1.0]], ['2, k, 3', [-0.274581, 0.294613, 1.0]], ['2, k, 4', [-0.455089, 0.0993556, 1.0]], ['2, k, 5', [-0.549376, -0.0743013, 1.0]], ['2, k, 6', [-0.463963, -0.239495, 1.0]], ['2, k, 7', [-0.420153, -0.28907, 1.0]], ['2, k, 8', [-0.0956479, 0.0817713, 1.0]], ['2, k, 9', [0.0317889, -0.0404182, 1.0]], ['2, k, 10', [-0.0638098, -0.225723, 1.0]], ['2, k, 11', [-0.116613, -0.272016, 1.0]], ['2, k, 12', [-0.337841, -0.398235, 1.0]], ['2, k, 13', [-0.38635, -0.725174, 1.0]], ['2, k, 14', [-0.405301, -1.08557, 1.0]], ['2, k, 15', [-0.433017, -1.16084, 1.0]], ['2, k, 16', [-0.174308, -0.406558, 1.0]], ['2, k, 17', [-0.128247, -0.731404, 1.0]], ['2, k, 18', [-0.0962649, -1.10479, 1.0]], ['2, k, 19', [-0.0749267, -1.15885, 1.0]], ['2, k, 20', [-0.285445, 0.105647, 1.0]], ['2, k, 21', [-0.381118, -0.369025, 1.0]], ['2, k, 22', [-0.375473, -0.255574, 1.0]], ['2, k, 23', [-0.15188, -0.344477, 1.0]], ['2, k, 24', [-0.157776, -0.221395, 1.0]]]
[['2, k, 0', [-0.261413, -0.408471, 1.0]], ['2, k, 1', [-0.275252, -0.112904, 1.0]], ['2, k, 2', [-0.287878, 0.176755, 1.0]], ['2, k, 3', [-0.274478, 0.294581, 1.0]], ['2, k, 4', [-0.455073, 0.0993674, 1.0]], ['2, k, 5', [-0.550555, -0.0719813, 1.0]], ['2, k, 6', [-0.46448, -0.23689, 1.0]], ['2, k, 7', [-0.420138, -0.289114, 1.0]], ['2, k, 8', [-0.0952605, 0.0813754, 1.0]], ['2, k, 9', [0.032429, -0.0413298, 1.0]], ['2, k, 10', [-0.0630642, -0.226274, 1.0]], ['2, k, 11', [-0.116868, -0.276646, 1.0]], ['2, k, 12', [-0.339508, -0.399445, 1.0]], ['2, k, 13', [-0.386074, -0.724659, 1.0]], ['2, k, 14', [-0.405613, -1.0863, 1.0]], ['2, k, 15', [-0.433672, -1.1598, 1.0]], ['2, k, 16', [-0.175771, -0.404975, 1.0]], ['2, k, 17', [-0.128049, -0.731305, 1.0]], ['2, k, 18', [-0.0962864, -1.10463, 1.0]], ['2, k, 19', [-0.0750571, -1.15867, 1.0]], ['2, k, 20', [-0.285348, 0.105512, 1.0]], ['2, k, 21', [-0.381813, -0.366182, 1.0]], ['2, k, 22', [-0.375019, -0.255429, 1.0]], ['2, k, 23', [-0.149024, -0.349062, 1.0]], ['2, k, 24', [-0.157646, -0.225217, 1.0]]]
[['2, k, 0', [-0.261885, -0.408475, 1.0]], ['2, k, 1', [-0.275304, -0.1129, 1.0]], ['2, k, 2', [-0.287705, 0.176691, 1.0]], ['2, k, 3', [-0.273975, 0.294455, 1.0]], ['2, k, 4', [-0.454953, 0.099336, 1.0]], ['2, k, 5', [-0.545054, -0.0843813, 1.0]], ['2, k, 6', [-0.460192, -0.250052, 1.0]], ['2, k, 7', [-0.420489, -0.297727, 1.0]], ['2, k, 8', [-0.0949269, 0.0809919, 1.0]], ['2, k, 9', [0.0331629, -0.0424564, 1.0]], ['2, k, 10', [-0.0622922, -0.226467, 1.0]], ['2, k, 11', [-0.116311, -0.276708, 1.0]], ['2, k, 12', [-0.340111, -0.400258, 1.0]], ['2, k, 13', [-0.385981, -0.724641, 1.0]], ['2, k, 14', [-0.406389, -1.08749, 1.0]], ['2, k, 15', [-0.43428, -1.15997, 1.0]], ['2, k, 16', [-0.176302, -0.404275, 1.0]], ['2, k, 17', [-0.127947, -0.731453, 1.0]], ['2, k, 18', [-0.0964983, -1.10401, 1.0]], ['2, k, 19', [-0.0749449, -1.15934, 1.0]], ['2, k, 20', [-0.285263, 0.105472, 1.0]], ['2, k, 21', [-0.375814, -0.379456, 1.0]], ['2, k, 22', [-0.460171, -0.373886, 1.0]], ['2, k, 23', [-0.147561, -0.349907, 1.0]], ['2, k, 24', [-0.155822, -0.228529, 1.0]]]
