[['2, k, 0', [-0.1401847, -0.2238491, 1.0]], ['2, k, 1', [-0.1349824, 0.0263218, 1.0]], ['2, k, 2', [-0.1285599, 0.2718373, 1.0]], ['2, k, 3', [-0.1253533, 0.40377, 1.0]], ['2, k, 4', [-0.2627106, 0.1654451, 1.0]], ['2, k, 5', [-0.2500691, -0.01961062, 1.0]], ['2, k, 6', [-0.1287857, -0.1440494, 1.0]], ['2, k, 7', [-0.08361498, -0.1740211, 1.0]], ['2, k, 8', [0.0178387, 0.1710281, 1.0]], ['2, k, 9', [0.02862818, -0.01790339, 1.0]], ['2, k, 10', [-0.02746493, -0.1216623, 1.0]], ['2, k, 11', [-0.0696507, -0.17391, 1.0]], ['2, k, 12', [-0.2018415, -0.2196136, 1.0]], ['2, k, 13', [-0.1965411, -0.329808, 1.0]], ['2, k, 14', [-0.193364, -0.6773231, 1.0]], ['2, k, 15', [-0.2595972, -0.7244982, 1.0]], ['2, k, 16', [-0.07509111, -0.22285, 1.0]], ['2, k, 17', [0.03384966, -0.3349289, 1.0]], ['2, k, 18', [0.04891938, -0.6707452, 1.0]], ['2, k, 19', [0.08146743, -0.727248, 1.0]], ['2, k, 20', [-0.1304615, 0.211073, 1.0]], ['2, k, 21', [-0.06638633, -0.2241495, 1.0]], ['2, k, 22', [-0.07216587, -0.2368535, 1.0]], ['2, k, 23', [-0.0689247, -0.2207828, 1.0]], ['2, k, 24', [-0.05131102, -0.1764567, 1.0]]]
[['2, k, 0', [-0.1403419, -0.2239611, 1.0]], ['2, k, 1', [-0.135065, 0.02633766, 1.0]], ['2, k, 2', [-0.1287755, 0.2718531, 1.0]], ['2, k, 3', [-0.1254064, 0.403979, 1.0]], ['2, k, 4', [-0.2626797, 0.1653312, 1.0]], ['2, k, 5', [-0.2403747, -0.02204009, 1.0]], ['2, k, 6', [-0.1391163, -0.130705, 1.0]], ['2, k, 7', [-0.08182645, -0.1686168, 1.0]], ['2, k, 8', [0.01636308, 0.1739861, 1.0]], ['2, k, 9', [0.02304111, -0.008345425, 1.0]], ['2, k, 10', [-0.02887236, -0.1216498, 1.0]], ['2, k, 11', [-0.07150241, -0.1650274, 1.0]], ['2, k, 12', [-0.2018393, -0.2197459, 1.0]], ['2, k, 13', [-0.1968831, -0.3304278, 1.0]], ['2, k, 14', [-0.1934144, -0.6773052, 1.0]], ['2, k, 15', [-0.257727, -0.7294852, 1.0]], ['2, k, 16', [-0.07544524, -0.2229047, 1.0]], ['2, k, 17', [0.03500286, -0.3380493, 1.0]], ['2, k, 18', [0.04896349, -0.6707021, 1.0]], ['2, k, 19', [0.08169916, -0.7280791, 1.0]], ['2, k, 20', [-0.1305611, 0.2110935, 1.0]], ['2, k, 21', [-0.06541124, -0.2226713, 1.0]], ['2, k, 22', [-0.07109263, -0.2382547, 1.0]], ['2, k, 23', [-0.06800409, -0.2169876, 1.0]], ['2, k, 24', [-0.05501557, -0.1763743, 1.0]]]
[['2, k, 0', [-0.1348297, -0.2232602, 1.0]], ['2, k, 1', [-0.1334333, 0.02672527, 1.0]], ['2, k, 2', [-0.1285512, 0.2720416, 1.0]], ['2, k, 3', [-0.1256389, 0.4042252, 1.0]], ['2, k, 4', [-0.2626738, 0.165287, 1.0]], ['2, k, 5', [-0.2355028, -0.02151516, 1.0]], ['2, k, 6', [-0.1363417, -0.1329103, 1.0]], ['2, k, 7', [-0.08230816, -0.1688995, 1.0]], ['2, k, 8', [0.01542222, 0.1753072, 1.0]], ['2, k, 9', [0.02179941, -0.006620631, 1.0]], ['2, k, 10', [-0.02938985, -0.1208248, 1.0]], ['2, k, 11', [-0.07008195, -0.1635485, 1.0]], ['2, k, 12', [-0.1965109, -0.2199994, 1.0]], ['2, k, 13', [-0.1971456, -0.3303072, 1.0]], ['2, k, 14', [-0.1927115, -0.6774529, 1.0]], ['2, k, 15', [-0.2580053, -0.7283959, 1.0]], ['2, k, 16', [-0.0698063, -0.2210892, 1.0]], ['2, k, 17', [0.03551476, -0.3400195, 1.0]], ['2, k, 18', [0.04898637, -0.6708081, 1.0]], ['2, k, 19', [0.08146095, -0.7275673, 1.0]], ['2, k, 20', [-0.1301899, 0.2112746, 1.0]], ['2, k, 21', [-0.06700456, -0.2298174, 1.0]], ['2, k, 22', [-0.09676558, -0.1893598, 1.0]], ['2, k, 23', [-0.06808788, -0.2183006, 1.0]], ['2, k, 24', [-0.05041053, -0.1866312, 1.0]]]
[['2, k, 0', [-0.1317552, -0.2218105, 1.0]], ['2, k, 1', [-0.1323159, 0.02730744, 1.0]], ['2, k, 2', [-0.1285087, 0.2721561, 1.0]], ['2, k, 3', [-0.1255401, 0.4043796, 1.0]], ['2, k, 4', [-0.2626965, 0.1657062, 1.0]], ['2, k, 5', [-0.2348864, -0.02153305, 1.0]], ['2, k, 6', [-0.1356689, -0.1339612, 1.0]], ['2, k, 7', [-0.08227128, -0.1703341, 1.0]], ['2, k, 8', [0.01536548, 0.1755044, 1.0]], ['2, k, 9', [0.02080112, -0.005804611, 1.0]], ['2, k, 10', [-0.03849063, -0.1431236, 1.0]], ['2, k, 11', [-0.06770451, -0.1656649, 1.0]], ['2, k, 12', [-0.1939714, -0.2187194, 1.0]], ['2, k, 13', [-0.1976612, -0.3307036, 1.0]], ['2, k, 14', [-0.1927134, -0.6773738, 1.0]], ['2, k, 15', [-0.2572874, -0.729993, 1.0]], ['2, k, 16', [-0.06627397, -0.2195231, 1.0]], ['2, k, 17', [0.03589351, -0.3408617, 1.0]], ['2, k, 18', [0.04915684, -0.6696809, 1.0]], ['2, k, 19', [0.08178511, -0.7282175, 1.0]], ['2, k, 20', [-0.1299487, 0.2115009, 1.0]], ['2, k, 21', [-0.06669609, -0.2257924, 1.0]], ['2, k, 22', [-0.0859923, -0.2118688, 1.0]], ['2, k, 23', [-0.06856272, -0.2192593, 1.0]], ['2, k, 24', [-0.04767641, -0.1802308, 1.0]]]
[['2, k, 0', [-0.1312555, -0.2203652, 1.0]], ['2, k, 1', [-0.1319447, 0.02795127, 1.0]], ['2, k, 2', [-0.1286481, 0.2722469, 1.0]], ['2, k, 3', [-0.1255716, 0.4044583, 1.0]], ['2, k, 4', [-0.2622045, 0.1717139, 1.0]], ['2, k, 5', [-0.2350325, -0.02149098, 1.0]], ['2, k, 6', [-0.1362437, -0.133315, 1.0]], ['2, k, 7', [-0.0843741, -0.1722168, 1.0]], ['2, k, 8', [0.0152185, 0.1763128, 1.0]], ['2, k, 9', [0.02024635, -0.00571054, 1.0]], ['2, k, 10', [-0.03416443, -0.1234578, 1.0]], ['2, k, 11', [-0.07049593, -0.166535, 1.0]], ['2, k, 12', [-0.1938145, -0.2171318, 1.0]], ['2, k, 13', [-0.1979432, -0.3305304, 1.0]], ['2, k, 14', [-0.1930056, -0.6774251, 1.0]], ['2, k, 15', [-0.2181995, -0.7494707, 1.0]], ['2, k, 16', [-0.06547818, -0.2182528, 1.0]], ['2, k, 17', [0.03622339, -0.3416664, 1.0]], ['2, k, 18', [0.04885101, -0.6700095, 1.0]], ['2, k, 19', [0.08144256, -0.7280638, 1.0]], ['2, k, 20', [-0.1299458, 0.2117247, 1.0]], ['2, k, 21', [-0.06638099, -0.2253723, 1.0]], ['2, k, 22', [-0.09366989, -0.2021269, 1.0]], ['2, k, 23', [-0.07616293, -0.2151403, 1.0]], ['2, k, 24', [-0.05485671, -0.1974209, 1.0]]]
[['2, k, 0', [-0.129404, -0.2208984, 1.0]], ['2, k, 1', [-0.1314775, 0.02787931, 1.0]], ['2, k, 2', [-0.1288907, 0.2722252, 1.0]], ['2, k, 3', [-0.1260323, 0.4042669, 1.0]], ['2, k, 4', [-0.2627785, 0.1716155, 1.0]], ['2, k, 5', [-0.2351947, -0.02158427, 1.0]], ['2, k, 6', [-0.140742, -0.136685, 1.0]], ['2, k, 7', [-0.08718236, -0.175233, 1.0]], ['2, k, 8', [0.01491689, 0.1764469, 1.0]], ['2, k, 9', [0.01886477, -0.004616376, 1.0]], ['2, k, 10', [-0.04226587, -0.1335441, 1.0]], ['2, k, 11', [-0.06771812, -0.1698617, 1.0]], ['2, k, 12', [-0.1914565, -0.2181615, 1.0]], ['2, k, 13', [-0.1983251, -0.3312345, 1.0]], ['2, k, 14', [-0.1914737, -0.6744741, 1.0]], ['2, k, 15', [-0.2435575, -0.7386521, 1.0]], ['2, k, 16', [-0.06407533, -0.2184266, 1.0]], ['2, k, 17', [0.03659603, -0.3427438, 1.0]], ['2, k, 18', [0.051507, -0.6606559, 1.0]], ['2, k, 19', [0.07503794, -0.7199124, 1.0]], ['2, k, 20', [-0.129975, 0.2117173, 1.0]], ['2, k, 21', [-0.06580465, -0.2180327, 1.0]], ['2, k, 22', [-0.1005428, -0.2222516, 1.0]], ['2, k, 23', [-0.08430094, -0.2105933, 1.0]], ['2, k, 24', [-0.04498953, -0.1906277, 1.0]]]
[['2, k, 0', [-0.1292924, -0.221466, 1.0]], ['2, k, 1', [-0.1314591, 0.02782404, 1.0]], ['2, k, 2', [-0.1292725, 0.272321, 1.0]], ['2, k, 3', [-0.1264975, 0.404182, 1.0]], ['2, k, 4', [-0.2634253, 0.1705702, 1.0]], ['2, k, 5', [-0.2334911, -0.02031112, 1.0]], ['2, k, 6', [-0.1237003, -0.1617617, 1.0]], ['2, k, 7', [-0.08752736, -0.1857449, 1.0]], ['2, k, 8', [0.01474366, 0.1771023, 1.0]], ['2, k, 9', [0.0119299, -0.006679847, 1.0]], ['2, k, 10', [-0.03962548, -0.1385832, 1.0]], ['2, k, 11', [-0.06681165, -0.1802511, 1.0]], ['2, k, 12', [-0.1910453, -0.2190006, 1.0]], ['2, k, 13', [-0.1985013, -0.3314965, 1.0]], ['2, k, 14', [-0.1916732, -0.6740204, 1.0]], ['2, k, 15', [-0.2518777, -0.7289606, 1.0]], ['2, k, 16', [-0.06418026, -0.2188224, 1.0]], ['2, k, 17', [0.03673718, -0.3428971, 1.0]], ['2, k, 18', [0.05415807, -0.6580535, 1.0]], ['2, k, 19', [0.07285787, -0.7171384, 1.0]], ['2, k, 20', [-0.1301455, 0.2117534, 1.0]], ['2, k, 21', [-0.06500483, -0.2124674, 1.0]], ['2, k, 22', [-0.1096949, -0.2112051, 1.0]], ['2, k, 23', [-0.07744573, -0.2149171, 1.0]], ['2, k, 24', [-0.04141655, -0.1945601, 1.0]]]
[['2, k, 0', [-0.1291183, -0.2220197, 1.0]], ['2, k, 1', [-0.1311556, 0.02789189, 1.0]], ['2, k, 2', [-0.1291959, 0.2726386, 1.0]], ['2, k, 3', [-0.1265795, 0.4043041, 1.0]], ['2, k, 4', [-0.2637695, 0.1696157, 1.0]], ['2, k, 5', [-0.2332955, -0.01989943, 1.0]], ['2, k, 6', [-0.1238886, -0.1624624, 1.0]], ['2, k, 7', [-0.08673511, -0.1899656, 1.0]], ['2, k, 8', [0.01462766, 0.1778837, 1.0]], ['2, k, 9', [0.003518144, -0.01067643, 1.0]], ['2, k, 10', [-0.03745673, -0.1365179, 1.0]], ['2, k, 11', [-0.07061294, -0.1871301, 1.0]], ['2, k, 12', [-0.1906376, -0.2198235, 1.0]], ['2, k, 13', [-0.1985036, -0.3313462, 1.0]], ['2, k, 14', [-0.1926543, -0.6738921, 1.0]], ['2, k, 15', [-0.2522784, -0.7300731, 1.0]], ['2, k, 16', [-0.06424857, -0.2191195, 1.0]], ['2, k, 17', [0.03666818, -0.3427587, 1.0]], ['2, k, 18', [0.05210131, -0.675137, 1.0]], ['2, k, 19', [0.07772763, -0.7227086, 1.0]], ['2, k, 20', [-0.1299975, 0.2120439, 1.0]], ['2, k, 21', [-0.06286205, -0.217586, 1.0]], ['2, k, 22', [-0.1041756, -0.217137, 1.0]], ['2, k, 23', [-0.08298904, -0.2201497, 1.0]], ['2, k, 24', [-0.04534289, -0.2083737, 1.0]]]
[['2, k, 0', [-0.1298617, -0.2219025, 1.0]], ['2, k, 1', [-0.1316254, 0.02808971, 1.0]], ['2, k, 2', [-0.1301314, 0.2729535, 1.0]], ['2, k, 3', [-0.1269321, 0.4045596, 1.0]], ['2, k, 4', [-0.2639219, 0.1695161, 1.0]], ['2, k, 5', [-0.2304398, -0.01802739, 1.0]], ['2, k, 6', [-0.1089721, -0.1777862, 1.0]], ['2, k, 7', [-0.08575775, -0.1962511, 1.0]], ['2, k, 8', [0.01457278, 0.1783523, 1.0]], ['2, k, 9', [-0.002299569, -0.01392301, 1.0]], ['2, k, 10', [-0.03883228, -0.1435108, 1.0]], ['2, k, 11', [-0.07132462, -0.1919387, 1.0]], ['2, k, 12', [-0.1915066, -0.2196427, 1.0]], ['2, k, 13', [-0.1985519, -0.331526, 1.0]], ['2, k, 14', [-0.1930257, -0.6742591, 1.0]], ['2, k, 15', [-0.2528133, -0.7302602, 1.0]], ['2, k, 16', [-0.0649182, -0.2190301, 1.0]], ['2, k, 17', [0.03684319, -0.343166, 1.0]], ['2, k, 18', [0.05079232, -0.6723766, 1.0]], ['2, k, 19', [0.07828168, -0.7251151, 1.0]], ['2, k, 20', [-0.1307746, 0.2123523, 1.0]], ['2, k, 21', [-0.0637452, -0.2229495, 1.0]], ['2, k, 22', [-0.1083136, -0.2182209, 1.0]], ['2, k, 23', [-0.07607649, -0.2309012, 1.0]], ['2, k, 24', [-0.04688376, -0.2184378, 1.0]]]
[['2, k, 0', [-0.1311268, -0.2221215, 1.0]], ['2, k, 1', [-0.1318388, 0.02813345, 1.0]], ['2, k, 2', [-0.1302652, 0.2732224, 1.0]], ['2, k, 3', [-0.1275412, 0.4047962, 1.0]], ['2, k, 4', [-0.2646694, 0.1692446, 1.0]], ['2, k, 5', [-0.2282033, -0.01701565, 1.0]], ['2, k, 6', [-0.1071597, -0.1800012, 1.0]], ['2, k, 7', [-0.08513211, -0.199077, 1.0]], ['2, k, 8', [0.01439714, 0.1791276, 1.0]], ['2, k, 9', [-0.003602268, -0.01311503, 1.0]], ['2, k, 10', [-0.03960968, -0.1458956, 1.0]], ['2, k, 11', [-0.07385369, -0.1992807, 1.0]], ['2, k, 12', [-0.192627, -0.2197697, 1.0]], ['2, k, 13', [-0.1986121, -0.3315874, 1.0]], ['2, k, 14', [-0.1927656, -0.6749409, 1.0]], ['2, k, 15', [-0.2525551, -0.7304561, 1.0]], ['2, k, 16', [-0.06636766, -0.2193228, 1.0]], ['2, k, 17', [0.03662558, -0.342853, 1.0]], ['2, k, 18', [0.04951933, -0.6705025, 1.0]], ['2, k, 19', [0.07831581, -0.7242818, 1.0]], ['2, k, 20', [-0.1309271, 0.2125629, 1.0]], ['2, k, 21', [-0.06326978, -0.2245389, 1.0]], ['2, k, 22', [-0.1070591, -0.2197599, 1.0]], ['2, k, 23', [-0.07750437, -0.2371911, 1.0]], ['2, k, 24', [-0.04553744, -0.2267001, 1.0]]]
[['2, k, 0', [-0.1333448, -0.2209297, 1.0]], ['2, k, 1', [-0.1330979, 0.02899731, 1.0]], ['2, k, 2', [-0.1312068, 0.2738363, 1.0]], ['2, k, 3', [-0.1290272, 0.4054071, 1.0]], ['2, k, 4', [-0.2649319, 0.1691347, 1.0]], ['2, k, 5', [-0.2169012, 0.0028129, 1.0]], ['2, k, 6', [-0.1215859, -0.1302992, 1.0]], ['2, k, 7', [-0.07988209, -0.1830518, 1.0]], ['2, k, 8', [0.01424841, 0.179815, 1.0]], ['2, k, 9', [-0.01396169, -0.006608993, 1.0]], ['2, k, 10', [-0.04107369, -0.1420123, 1.0]], ['2, k, 11', [-0.07051355, -0.1855818, 1.0]], ['2, k, 12', [-0.1951726, -0.218459, 1.0]], ['2, k, 13', [-0.198718, -0.3319786, 1.0]], ['2, k, 14', [-0.1935589, -0.6764112, 1.0]], ['2, k, 15', [-0.2541941, -0.7317823, 1.0]], ['2, k, 16', [-0.06828697, -0.2182272, 1.0]], ['2, k, 17', [0.03646152, -0.3428555, 1.0]], ['2, k, 18', [0.04651407, -0.6662415, 1.0]], ['2, k, 19', [0.08087293, -0.7250698, 1.0]], ['2, k, 20', [-0.1319279, 0.2132706, 1.0]], ['2, k, 21', [-0.06141451, -0.2186324, 1.0]], ['2, k, 22', [-0.08776804, -0.2176097, 1.0]], ['2, k, 23', [-0.07356285, -0.222971, 1.0]], ['2, k, 24', [-0.04582441, -0.2116646, 1.0]]]
