[['2, k, 0', [-0.06702, 82.61778, 1.0]], ['2, k, 1', [-1.735664453353634, 114.32187020746751, 1.0]], ['2, k, 2', [-2.902799264146269, 138.21699047739241, 1.0]], ['2, k, 3', [-3.208689107325111, 144.9861145330553, 1.0]], ['2, k, 4', [19.59125486883451, 138.14759399690794, 1.0]], ['2, k, 5', [14.534154452430375, 106.00539806894997, 1.0]], ['2, k, 6', [10.626617017025213, 74.16012633955609, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-18.071942712552904, 131.08014578571863, 1.0]], ['2, k, 9', [-28.842673866762482, 108.592118620296, 1.0]], ['2, k, 10', [-34.73961303923507, 85.23085377742179, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [3.7302336532206435, 82.66496614271807, 1.0]], ['2, k, 13', [-4.229790059191258, 46.93713522344971, 1.0]], ['2, k, 14', [-11.619066118027254, 11.580208346002202, 1.0]], ['2, k, 15', [-10.216609839557375, 3.418999533956695, 1.0]], ['2, k, 16', [-3.8590564345192573, 82.56230626523516, 1.0]], ['2, k, 17', [-12.960450799757266, 48.99283373585975, 1.0]], ['2, k, 18', [-20.72689746646968, 11.244077026753885, 1.0]], ['2, k, 19', [-16.101863437195, 4.024334047183032, 1.0]], ['2, k, 20', [-2.902799264146269, 138.21699047739241, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-0.03802666666666667, 82.59944666666667, 1.0]], ['2, k, 1', [-1.6921282506241386, 114.31813560980291, 1.0]], ['2, k, 2', [-2.850018979082105, 138.2217091027961, 1.0]], ['2, k, 3', [-3.152509397697277, 144.99098414974554, 1.0]], ['2, k, 4', [19.64075669336173, 138.14029829942723, 1.0]], ['2, k, 5', [14.576484895120432, 106.00026017144523, 1.0]], ['2, k, 6', [10.535753484551499, 74.05850760665277, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-18.0540835527895, 131.12302669067785, 1.0]], ['2, k, 9', [-28.846683573880114, 108.58206226444753, 1.0]], ['2, k, 10', [-34.7533689839525, 85.25823115211834, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [3.7508996477014693, 82.65041116176728, 1.0]], ['2, k, 13', [-4.014482892073071, 47.585309127876535, 1.0]], ['2, k, 14', [-11.455691318977951, 11.349105836953058, 1.0]], ['2, k, 15', [-9.367382350430892, 4.142510895860213, 1.0]], ['2, k, 16', [-3.8115527347789615, 82.54523680424504, 1.0]], ['2, k, 17', [-12.960960380637923, 49.00110228660163, 1.0]], ['2, k, 18', [-20.731171271989478, 11.301913472891997, 1.0]], ['2, k, 19', [-15.94797161606574, 3.94413031516003, 1.0]], ['2, k, 20', [-2.850018979082105, 138.2217091027961, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-0.011462, 82.60146399999999, 1.0]], ['2, k, 1', [-1.679631694690086, 114.31859321338891, 1.0]], ['2, k, 2', [-2.8425750694276437, 138.22344284964137, 1.0]], ['2, k, 3', [-3.145619410298133, 144.99305995104086, 1.0]], ['2, k, 4', [19.647177067292144, 138.14435002567674, 1.0]], ['2, k, 5', [14.586588732970434, 106.00288635002292, 1.0]], ['2, k, 6', [10.718926621895848, 74.9861248659626, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-18.06103858563784, 131.14740822079887, 1.0]], ['2, k, 9', [-28.857165726518325, 108.58232569199463, 1.0]], ['2, k, 10', [-34.7937772554118, 85.26992259394065, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [3.7873190195568167, 82.65494608941987, 1.0]], ['2, k, 13', [-4.250696650082169, 47.36172749801804, 1.0]], ['2, k, 14', [-11.381970402367358, 11.929026362999338, 1.0]], ['2, k, 15', [-8.811772453597136, 4.284296927777761, 1.0]], ['2, k, 16', [-3.785246012920139, 82.54099444120156, 1.0]], ['2, k, 17', [-12.93820801085113, 48.935475239729506, 1.0]], ['2, k, 18', [-20.73928641867618, 11.35331551394463, 1.0]], ['2, k, 19', [-16.05801486893948, 4.021227295786707, 1.0]], ['2, k, 20', [-2.8425750694276437, 138.22344284964137, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [0.018109999999999998, 82.596744, 1.0]], ['2, k, 1', [-1.6627246333105545, 114.31736977223458, 1.0]], ['2, k, 2', [-2.8308305966602543, 138.2242060209183, 1.0]], ['2, k, 3', [-3.1342021881291555, 144.99405311789909, 1.0]], ['2, k, 4', [19.655860445666164, 138.14580998569588, 1.0]], ['2, k, 5', [14.597027407122248, 106.00341509292272, 1.0]], ['2, k, 6', [10.736973960034334, 74.97145244405127, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-18.056238807410562, 131.15054539227884, 1.0]], ['2, k, 9', [-28.8693399637608, 108.57384625467996, 1.0]], ['2, k, 10', [-34.81469229449242, 85.27156192221491, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [3.8222902741553355, 82.65881386265579, 1.0]], ['2, k, 13', [-4.273435058362658, 47.42133214121908, 1.0]], ['2, k, 14', [-11.45542836810343, 11.855082030578174, 1.0]], ['2, k, 15', [-8.500460660029805, 4.296038399273541, 1.0]], ['2, k, 16', [-3.7510474097717865, 82.52272602668192, 1.0]], ['2, k, 17', [-12.922880737670644, 48.91585948739769, 1.0]], ['2, k, 18', [-20.716380382324793, 11.382920994576395, 1.0]], ['2, k, 19', [-16.140285961661085, 3.9999029602294485, 1.0]], ['2, k, 20', [-2.8308305966602543, 138.2242060209183, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [0.042713999999999995, 82.60522599999999, 1.0]], ['2, k, 1', [-1.6614282746961981, 114.32315684198188, 1.0]], ['2, k, 2', [-2.8450309935129154, 138.2280263163126, 1.0]], ['2, k, 3', [-3.152250885059869, 144.99798962531372, 1.0]], ['2, k, 4', [19.640165218250917, 138.15662638723472, 1.0]], ['2, k, 5', [14.58948679503504, 106.0110653365435, 1.0]], ['2, k, 6', [10.738560063756923, 74.97442194227177, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-18.07304427143053, 131.14708422319725, 1.0]], ['2, k, 9', [-28.890808206270513, 108.5694989249192, 1.0]], ['2, k, 10', [-34.84988700387804, 85.26716499403608, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [3.8563923535999702, 82.68242611974468, 1.0]], ['2, k, 13', [-4.314896563333569, 47.3068882935506, 1.0]], ['2, k, 14', [-11.547624055020217, 11.626013732708131, 1.0]], ['2, k, 15', [-8.37052564041682, 4.109953373762317, 1.0]], ['2, k, 16', [-3.7280183004458793, 82.5127303524618, 1.0]], ['2, k, 17', [-12.911090757902652, 48.883344361215116, 1.0]], ['2, k, 18', [-20.681081439305267, 11.413954525200175, 1.0]], ['2, k, 19', [-16.152261655403954, 4.059317488129425, 1.0]], ['2, k, 20', [-2.8450309935129154, 138.2280263163126, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [0.06833399999999999, 82.61614999999999, 1.0]], ['2, k, 1', [-1.6634820695570882, 114.33092506600204, 1.0]], ['2, k, 2', [-2.8670703903513464, 138.23302074624056, 1.0]], ['2, k, 3', [-3.179790579387261, 145.00313851287981, 1.0]], ['2, k, 4', [19.617049305164624, 138.1740792458791, 1.0]], ['2, k, 5', [14.582713089416904, 106.02337503552278, 1.0]], ['2, k, 6', [10.750870427577748, 75.05385446599519, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-18.095430461636788, 131.1345340767159, 1.0]], ['2, k, 9', [-28.914652242022502, 108.56786967232141, 1.0]], ['2, k, 10', [-34.92291750376922, 85.27065929378398, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [3.8926506190556287, 82.70459262304526, 1.0]], ['2, k, 13', [-4.385276841069694, 47.02533228552398, 1.0]], ['2, k, 14', [-11.54972142559313, 11.738144628177736, 1.0]], ['2, k, 15', [-8.183137652505437, 4.2757033154601505, 1.0]], ['2, k, 16', [-3.7178247402661366, 82.51016945145479, 1.0]], ['2, k, 17', [-12.90281937857551, 48.88751203497785, 1.0]], ['2, k, 18', [-20.652668416934098, 11.41919249398061, 1.0]], ['2, k, 19', [-16.11354887817579, 4.053484956986401, 1.0]], ['2, k, 20', [-2.8670703903513464, 138.23302074624056, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [0.10050200000000001, 82.630026, 1.0]], ['2, k, 1', [-1.6534872834143186, 114.3374781497862, 1.0]], ['2, k, 2', [-2.8723086598361856, 138.23613232511897, 1.0]], ['2, k, 3', [-3.189264460705276, 145.006401948967, 1.0]], ['2, k, 4', [19.61131265626015, 138.1871329528885, 1.0]], ['2, k, 5', [14.590199658539138, 106.03239526542416, 1.0]], ['2, k, 6', [10.670445337812772, 74.34314636031439, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-18.102591116936665, 131.1216383784259, 1.0]], ['2, k, 9', [-28.93564343363109, 108.57723615722105, 1.0]], ['2, k, 10', [-35.06616807596231, 85.28467959975804, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [3.93865050192457, 82.73183164586798, 1.0]], ['2, k, 13', [-4.399802459833683, 47.115710109123384, 1.0]], ['2, k, 14', [-11.652053218802802, 11.187330870562, 1.0]], ['2, k, 15', [-8.14582025078464, 4.219770581789008, 1.0]], ['2, k, 16', [-3.692422856506016, 82.5063287883963, 1.0]], ['2, k, 17', [-12.892138401580482, 48.907362387780026, 1.0]], ['2, k, 18', [-20.61816214078345, 11.417038038569345, 1.0]], ['2, k, 19', [-16.049877331456564, 4.002374284951971, 1.0]], ['2, k, 20', [-2.8723086598361856, 138.23613232511897, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [0.114878, 82.63702199999999, 1.0]], ['2, k, 1', [-1.6757267472142099, 114.34032324956411, 1.0]], ['2, k, 2', [-2.9179688917727926, 138.23575446846698, 1.0]], ['2, k, 3', [-3.24113627532435, 145.005883735436, 1.0]], ['2, k, 4', [19.56869683567371, 138.19573787965533, 1.0]], ['2, k, 5', [14.553030536977907, 106.03696067356975, 1.0]], ['2, k, 6', [10.745034262848712, 74.1670152795513, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-18.150446044454515, 131.10352770808873, 1.0]], ['2, k, 9', [-29.00532030049925, 108.59290986253593, 1.0]], ['2, k, 10', [-35.31731999565909, 85.28302259282746, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [3.9551211534641317, 82.7491934100059, 1.0]], ['2, k, 13', [-4.484527124228341, 47.05496261053326, 1.0]], ['2, k, 14', [-11.747032751619857, 10.89320935512545, 1.0]], ['2, k, 15', [-8.378676702401176, 4.20051689210038, 1.0]], ['2, k, 16', [-3.6750527261238397, 82.49684275925517, 1.0]], ['2, k, 17', [-12.904710287362882, 48.92807757298495, 1.0]], ['2, k, 18', [-20.613128275975754, 11.421424154048871, 1.0]], ['2, k, 19', [-16.017446729764835, 3.9806880163606726, 1.0]], ['2, k, 20', [-2.9179688917727926, 138.23575446846698, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [0.130728, 82.649122, 1.0]], ['2, k, 1', [-1.693459418428596, 114.34494036410287, 1.0]], ['2, k, 2', [-2.959692743749123, 138.23788739886754, 1.0]], ['2, k, 3', [-3.28880207165762, 145.00761643611602, 1.0]], ['2, k, 4', [19.536193030546194, 138.20447874289854, 1.0]], ['2, k, 5', [14.516788183398763, 106.04159212263372, 1.0]], ['2, k, 6', [10.78878670767339, 74.17745601083091, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-18.199475188450567, 131.09327452859253, 1.0]], ['2, k, 9', [-29.09054441239585, 108.6214481741279, 1.0]], ['2, k, 10', [-35.63923762482347, 85.27756507993317, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [3.9790560088289753, 82.76791219489692, 1.0]], ['2, k, 13', [-4.5723870421829, 47.01742061864207, 1.0]], ['2, k, 14', [-11.837694467348296, 10.790116156441812, 1.0]], ['2, k, 15', [-8.63938854416093, 4.201084131142525, 1.0]], ['2, k, 16', [-3.650937200049088, 82.5006321870108, 1.0]], ['2, k, 17', [-12.941255131664125, 48.950696432046904, 1.0]], ['2, k, 18', [-20.641879041135955, 11.438838173972101, 1.0]], ['2, k, 19', [-16.037130440902178, 4.007608233175529, 1.0]], ['2, k, 20', [-2.959692743749123, 138.23788739886754, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [0.143384, 82.657568, 1.0]], ['2, k, 1', [-1.6416414419288623, 114.34818201271429, 1.0]], ['2, k, 2', [-2.9017022057061914, 138.24066320674083, 1.0]], ['2, k, 3', [-3.2287534211913993, 145.0099173738234, 1.0]], ['2, k, 4', [19.599854571534397, 138.21076958525757, 1.0]], ['2, k, 5', [14.576028432771391, 106.04745866501307, 1.0]], ['2, k, 6', [10.903928878580864, 74.18270920220264, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-18.14472708954175, 131.08948800955054, 1.0]], ['2, k, 9', [-29.093769108307697, 108.65990864083652, 1.0]], ['2, k, 10', [-35.8705502137926, 85.3272710959581, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [3.998806871603442, 82.76998449808258, 1.0]], ['2, k, 13', [-4.546584841366382, 47.01803764920394, 1.0]], ['2, k, 14', [-11.841627640518219, 10.616294648470308, 1.0]], ['2, k, 15', [-8.686282518854254, 3.8963749697236763, 1.0]], ['2, k, 16', [-3.630898980479968, 82.50388000409892, 1.0]], ['2, k, 17', [-12.951244074918803, 48.96421952981705, 1.0]], ['2, k, 18', [-20.674893311179837, 11.453710771636963, 1.0]], ['2, k, 19', [-16.0339339052344, 4.026999236038475, 1.0]], ['2, k, 20', [-2.9017022057061914, 138.24066320674083, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [0.16706400000000002, 82.64804999999998, 1.0]], ['2, k, 1', [-1.5434279755625133, 114.34524548950932, 1.0]], ['2, k, 2', [-2.775691727853368, 138.2403349600071, 1.0]], ['2, k, 3', [-3.096144786724545, 145.0089138893919, 1.0]], ['2, k, 4', [19.732401492218134, 138.2122477294758, 1.0]], ['2, k, 5', [14.702383931863551, 106.05181759763113, 1.0]], ['2, k, 6', [11.104879990047595, 74.13108739994516, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-18.016636566150886, 131.0879499373282, 1.0]], ['2, k, 9', [-29.031997894217607, 108.6953040625068, 1.0]], ['2, k, 10', [-36.033347551549255, 85.41707840202048, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [4.0294086715501045, 82.7423990450161, 1.0]], ['2, k, 13', [-4.500906637226471, 46.81880827251111, 1.0]], ['2, k, 14', [-11.62914303337477, 11.27171823329136, 1.0]], ['2, k, 15', [-8.591330103750254, 4.394354854906129, 1.0]], ['2, k, 16', [-3.595915057152517, 82.49765712252866, 1.0]], ['2, k, 17', [-12.942392348935535, 49.01708872129117, 1.0]], ['2, k, 18', [-20.618727772660154, 11.457334573006335, 1.0]], ['2, k, 19', [-15.958268014233735, 4.062950533444, 1.0]], ['2, k, 20', [-2.775691727853368, 138.2403349600071, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
