[['2, k, 0', [-0.056588, -0.724662, 1.0]], ['2, k, 1', [-0.0742109, -0.431279, 1.0]], ['2, k, 2', [-0.0910986, -0.142318, 1.0]], ['2, k, 3', [-0.0894597, 0.0235946, 1.0]], ['2, k, 4', [-0.240717, -0.233501, 1.0]], ['2, k, 5', [-0.370669, -0.182067, 1.0]], ['2, k, 6', [-0.126442, -0.140185, 1.0]], ['2, k, 7', [-0.103125, -0.0935504, 1.0]], ['2, k, 8', [0.0821035, -0.208493, 1.0]], ['2, k, 9', [0.269754, -0.195726, 1.0]], ['2, k, 10', [0.0521975, -0.155595, 1.0]], ['2, k, 11', [-0.0199911, -0.142491, 1.0]], ['2, k, 12', [-0.129367, -0.721397, 1.0]], ['2, k, 13', [-0.257911, -1.02203, 1.0]], ['2, k, 14', [-0.310488, -1.38679, 1.0]], ['2, k, 15', [-0.26384, -1.50012, 1.0]], ['2, k, 16', [0.0175917, -0.710088, 1.0]], ['2, k, 17', [0.181933, -0.989788, 1.0]], ['2, k, 18', [0.254031, -1.48092, 1.0]], ['2, k, 19', [0.127441, -1.48633, 1.0]], ['2, k, 20', [-0.0869934, -0.214017, 1.0]], ['2, k, 21', [-0.0298424, -0.0909227, 1.0]], ['2, k, 22', [-0.10884, -0.0970071, 1.0]], ['2, k, 23', [-0.0199097, -0.14191, 1.0]], ['2, k, 24', [-0.0198034, -0.141153, 1.0]]]
[['2, k, 0', [-0.0352731, -0.69351, 1.0]], ['2, k, 1', [-0.0665427, -0.420773, 1.0]], ['2, k, 2', [-0.0911495, -0.142625, 1.0]], ['2, k, 3', [-0.0891854, 0.0234256, 1.0]], ['2, k, 4', [-0.240691, -0.233293, 1.0]], ['2, k, 5', [-0.364561, -0.18431, 1.0]], ['2, k, 6', [-0.149702, -0.14028, 1.0]], ['2, k, 7', [-0.105767, -0.0951107, 1.0]], ['2, k, 8', [0.0820716, -0.208551, 1.0]], ['2, k, 9', [0.261235, -0.197952, 1.0]], ['2, k, 10', [0.26549, -0.119643, 1.0]], ['2, k, 11', [0.325943, -0.072666, 1.0]], ['2, k, 12', [-0.108416, -0.689689, 1.0]], ['2, k, 13', [-0.240609, -0.97342, 1.0]], ['2, k, 14', [-0.287329, -1.2981, 1.0]], ['2, k, 15', [-0.295014, -1.34628, 1.0]], ['2, k, 16', [0.0387549, -0.680068, 1.0]], ['2, k, 17', [0.141526, -0.977167, 1.0]], ['2, k, 18', [0.131122, -1.20503, 1.0]], ['2, k, 19', [0.127995, -1.25841, 1.0]], ['2, k, 20', [-0.0865124, -0.213737, 1.0]], ['2, k, 21', [-0.0326198, -0.0916062, 1.0]], ['2, k, 22', [-0.129676, -0.0974908, 1.0]], ['2, k, 23', [0.342732, -0.0595755, 1.0]], ['2, k, 24', [0.378197, -0.0662768, 1.0]]]
[['2, k, 0', [-0.0559382, -0.686766, 1.0]], ['2, k, 1', [-0.0679276, -0.417689, 1.0]], ['2, k, 2', [-0.0871868, -0.141468, 1.0]], ['2, k, 3', [-0.0890704, 0.023382, 1.0]], ['2, k, 4', [-0.240196, -0.232259, 1.0]], ['2, k, 5', [-0.361444, -0.186345, 1.0]], ['2, k, 6', [-0.137979, -0.147743, 1.0]], ['2, k, 7', [-0.0844072, -0.0947252, 1.0]], ['2, k, 8', [0.082769, -0.211319, 1.0]], ['2, k, 9', [0.259537, -0.197381, 1.0]], ['2, k, 10', [0.245559, -0.12205, 1.0]], ['2, k, 11', [0.318751, -0.0704327, 1.0]], ['2, k, 12', [-0.129257, -0.681097, 1.0]], ['2, k, 13', [-0.220434, -1.01663, 1.0]], ['2, k, 14', [-0.261369, -1.30203, 1.0]], ['2, k, 15', [-0.269128, -1.35073, 1.0]], ['2, k, 16', [0.0186098, -0.67546, 1.0]], ['2, k, 17', [0.108588, -0.96775, 1.0]], ['2, k, 18', [0.150841, -1.26005, 1.0]], ['2, k, 19', [0.165343, -1.31628, 1.0]], ['2, k, 20', [-0.0834103, -0.211287, 1.0]], ['2, k, 21', [-0.0213817, -0.0920285, 1.0]], ['2, k, 22', [-0.0497282, -0.0950681, 1.0]], ['2, k, 23', [0.348104, -0.0627054, 1.0]], ['2, k, 24', [0.378952, -0.0669273, 1.0]]]
[['2, k, 0', [-0.0590432, -0.685164, 1.0]], ['2, k, 1', [-0.070351, -0.415047, 1.0]], ['2, k, 2', [-0.0871175, -0.14129, 1.0]], ['2, k, 3', [-0.0888887, 0.0235082, 1.0]], ['2, k, 4', [-0.239992, -0.231801, 1.0]], ['2, k, 5', [-0.249966, -0.178478, 1.0]], ['2, k, 6', [-0.060501, -0.128768, 1.0]], ['2, k, 7', [-0.0927773, -0.0923803, 1.0]], ['2, k, 8', [0.0828225, -0.211532, 1.0]], ['2, k, 9', [0.256236, -0.199984, 1.0]], ['2, k, 10', [0.297992, -0.121277, 1.0]], ['2, k, 11', [0.329604, -0.0776156, 1.0]], ['2, k, 12', [-0.132079, -0.679729, 1.0]], ['2, k, 13', [-0.220147, -1.01498, 1.0]], ['2, k, 14', [-0.276825, -1.32649, 1.0]], ['2, k, 15', [-0.286019, -1.3662, 1.0]], ['2, k, 16', [0.0153627, -0.673804, 1.0]], ['2, k, 17', [0.108406, -0.967185, 1.0]], ['2, k, 18', [0.150711, -1.25997, 1.0]], ['2, k, 19', [0.165089, -1.31542, 1.0]], ['2, k, 20', [-0.0834833, -0.210492, 1.0]], ['2, k, 21', [-0.0345811, -0.0894801, 1.0]], ['2, k, 22', [-0.137023, -0.0928049, 1.0]], ['2, k, 23', [0.349077, -0.0625469, 1.0]], ['2, k, 24', [0.376556, -0.0957211, 1.0]]]
[['2, k, 0', [-0.0609706, -0.684187, 1.0]], ['2, k, 1', [-0.0713867, -0.413873, 1.0]], ['2, k, 2', [-0.0868783, -0.141187, 1.0]], ['2, k, 3', [-0.0884041, 0.023812, 1.0]], ['2, k, 4', [-0.23985, -0.230535, 1.0]], ['2, k, 5', [-0.358369, -0.185387, 1.0]], ['2, k, 6', [-0.198911, -0.13286, 1.0]], ['2, k, 7', [-0.120952, -0.0904383, 1.0]], ['2, k, 8', [0.0829131, -0.211581, 1.0]], ['2, k, 9', [0.255256, -0.202782, 1.0]], ['2, k, 10', [0.320643, -0.123416, 1.0]], ['2, k, 11', [0.331284, -0.0782598, 1.0]], ['2, k, 12', [-0.134015, -0.678692, 1.0]], ['2, k, 13', [-0.220391, -1.01492, 1.0]], ['2, k, 14', [-0.295038, -1.40121, 1.0]], ['2, k, 15', [-0.255953, -1.50639, 1.0]], ['2, k, 16', [0.013512, -0.672992, 1.0]], ['2, k, 17', [0.108528, -0.974513, 1.0]], ['2, k, 18', [0.150637, -1.25996, 1.0]], ['2, k, 19', [0.0969606, -1.35995, 1.0]], ['2, k, 20', [-0.0833486, -0.210033, 1.0]], ['2, k, 21', [-0.0465749, -0.0894082, 1.0]], ['2, k, 22', [-0.0842408, -0.0909583, 1.0]], ['2, k, 23', [0.354389, -0.0652342, 1.0]], ['2, k, 24', [0.2573, -0.0795918, 1.0]]]
[['2, k, 0', [-0.0625947, -0.683744, 1.0]], ['2, k, 1', [-0.0728581, -0.41258, 1.0]], ['2, k, 2', [-0.0869706, -0.140801, 1.0]], ['2, k, 3', [-0.0875944, 0.0240849, 1.0]], ['2, k, 4', [-0.239823, -0.229176, 1.0]], ['2, k, 5', [-0.356957, -0.186147, 1.0]], ['2, k, 6', [-0.187442, -0.133843, 1.0]], ['2, k, 7', [-0.121885, -0.0874195, 1.0]], ['2, k, 8', [0.0829998, -0.211539, 1.0]], ['2, k, 9', [0.195913, -0.175372, 1.0]], ['2, k, 10', [0.279063, -0.104567, 1.0]], ['2, k, 11', [0.337202, -0.0777938, 1.0]], ['2, k, 12', [-0.135614, -0.678213, 1.0]], ['2, k, 13', [-0.220829, -1.01514, 1.0]], ['2, k, 14', [-0.276861, -1.32982, 1.0]], ['2, k, 15', [-0.285556, -1.37063, 1.0]], ['2, k, 16', [0.0119143, -0.672654, 1.0]], ['2, k, 17', [0.108428, -0.972478, 1.0]], ['2, k, 18', [0.152336, -1.24585, 1.0]], ['2, k, 19', [0.168457, -1.3017, 1.0]], ['2, k, 20', [-0.0836641, -0.209236, 1.0]], ['2, k, 21', [-0.054279, -0.0868004, 1.0]], ['2, k, 22', [-0.134545, -0.0911481, 1.0]], ['2, k, 23', [0.367697, -0.0672547, 1.0]], ['2, k, 24', [0.269819, -0.0765911, 1.0]]]
[['2, k, 0', [-0.0634094, -0.683318, 1.0]], ['2, k, 1', [-0.073641, -0.411473, 1.0]], ['2, k, 2', [-0.0869963, -0.140026, 1.0]], ['2, k, 3', [-0.0867146, 0.0248204, 1.0]], ['2, k, 4', [-0.239589, -0.228518, 1.0]], ['2, k, 5', [-0.251675, -0.175872, 1.0]], ['2, k, 6', [-0.123252, -0.116195, 1.0]], ['2, k, 7', [-0.12267, -0.0867528, 1.0]], ['2, k, 8', [0.0830988, -0.211544, 1.0]], ['2, k, 9', [0.195977, -0.175924, 1.0]], ['2, k, 10', [0.270142, -0.108443, 1.0]], ['2, k, 11', [0.336013, -0.078659, 1.0]], ['2, k, 12', [-0.136485, -0.67775, 1.0]], ['2, k, 13', [-0.221596, -1.01488, 1.0]], ['2, k, 14', [-0.276824, -1.32978, 1.0]], ['2, k, 15', [-0.285619, -1.37221, 1.0]], ['2, k, 16', [0.0111769, -0.672312, 1.0]], ['2, k, 17', [0.108312, -0.971237, 1.0]], ['2, k, 18', [0.150387, -1.24139, 1.0]], ['2, k, 19', [0.166536, -1.29925, 1.0]], ['2, k, 20', [-0.0838533, -0.20811, 1.0]], ['2, k, 21', [-0.0683426, -0.0871361, 1.0]], ['2, k, 22', [-0.0701691, -0.0888466, 1.0]], ['2, k, 23', [0.366542, -0.0687276, 1.0]], ['2, k, 24', [0.261357, -0.0782339, 1.0]]]
[['2, k, 0', [-0.0642998, -0.683515, 1.0]], ['2, k, 1', [-0.0738032, -0.411194, 1.0]], ['2, k, 2', [-0.0862745, -0.139341, 1.0]], ['2, k, 3', [-0.0856034, 0.0256663, 1.0]], ['2, k, 4', [-0.239437, -0.227971, 1.0]], ['2, k, 5', [-0.251561, -0.175151, 1.0]], ['2, k, 6', [-0.12402, -0.11588, 1.0]], ['2, k, 7', [-0.125203, -0.087658, 1.0]], ['2, k, 8', [0.0834082, -0.21145, 1.0]], ['2, k, 9', [0.192667, -0.176885, 1.0]], ['2, k, 10', [0.251742, -0.110038, 1.0]], ['2, k, 11', [0.325925, -0.0823669, 1.0]], ['2, k, 12', [-0.137307, -0.678004, 1.0]], ['2, k, 13', [-0.221845, -1.01471, 1.0]], ['2, k, 14', [-0.27681, -1.32966, 1.0]], ['2, k, 15', [-0.28567, -1.37324, 1.0]], ['2, k, 16', [0.0102472, -0.672481, 1.0]], ['2, k, 17', [0.108746, -0.976055, 1.0]], ['2, k, 18', [0.150426, -1.24372, 1.0]], ['2, k, 19', [0.166829, -1.30263, 1.0]], ['2, k, 20', [-0.0834032, -0.207378, 1.0]], ['2, k, 21', [-0.0682206, -0.0869796, 1.0]], ['2, k, 22', [-0.153306, -0.0901918, 1.0]], ['2, k, 23', [0.365067, -0.0701378, 1.0]], ['2, k, 24', [0.25006, -0.079973, 1.0]]]
[['2, k, 0', [-0.0648115, -0.683394, 1.0]], ['2, k, 1', [-0.073902, -0.410887, 1.0]], ['2, k, 2', [-0.0857704, -0.138904, 1.0]], ['2, k, 3', [-0.0843818, 0.0266458, 1.0]], ['2, k, 4', [-0.238832, -0.227261, 1.0]], ['2, k, 5', [-0.353004, -0.18294, 1.0]], ['2, k, 6', [-0.186798, -0.131792, 1.0]], ['2, k, 7', [-0.122067, -0.093693, 1.0]], ['2, k, 8', [0.0836698, -0.211414, 1.0]], ['2, k, 9', [0.197954, -0.179566, 1.0]], ['2, k, 10', [0.266536, -0.114086, 1.0]], ['2, k, 11', [0.339423, -0.0848693, 1.0]], ['2, k, 12', [-0.137718, -0.677936, 1.0]], ['2, k, 13', [-0.222437, -1.01459, 1.0]], ['2, k, 14', [-0.276862, -1.32955, 1.0]], ['2, k, 15', [-0.285399, -1.3739, 1.0]], ['2, k, 16', [0.00964243, -0.672342, 1.0]], ['2, k, 17', [0.108831, -0.9771, 1.0]], ['2, k, 18', [0.150675, -1.24508, 1.0]], ['2, k, 19', [0.167487, -1.30465, 1.0]], ['2, k, 20', [-0.0830718, -0.206876, 1.0]], ['2, k, 21', [-0.0512759, -0.0916234, 1.0]], ['2, k, 22', [-0.162083, -0.0965566, 1.0]], ['2, k, 23', [0.369382, -0.0759672, 1.0]], ['2, k, 24', [0.268946, -0.0865323, 1.0]]]
[['2, k, 0', [-0.0655937, -0.687183, 1.0]], ['2, k, 1', [-0.0740391, -0.410849, 1.0]], ['2, k, 2', [-0.0853172, -0.137344, 1.0]], ['2, k, 3', [-0.0828692, 0.028387, 1.0]], ['2, k, 4', [-0.237736, -0.227649, 1.0]], ['2, k, 5', [-0.344759, -0.17904, 1.0]], ['2, k, 6', [-0.180879, -0.130395, 1.0]], ['2, k, 7', [-0.11657, -0.101033, 1.0]], ['2, k, 8', [0.0843121, -0.212554, 1.0]], ['2, k, 9', [0.197922, -0.181461, 1.0]], ['2, k, 10', [0.268467, -0.11544, 1.0]], ['2, k, 11', [0.343834, -0.0920761, 1.0]], ['2, k, 12', [-0.138947, -0.681504, 1.0]], ['2, k, 13', [-0.224124, -1.01587, 1.0]], ['2, k, 14', [-0.29424, -1.38551, 1.0]], ['2, k, 15', [-0.257202, -1.49567, 1.0]], ['2, k, 16', [0.00931641, -0.676325, 1.0]], ['2, k, 17', [0.109407, -0.978873, 1.0]], ['2, k, 18', [0.150523, -1.24603, 1.0]], ['2, k, 19', [0.166293, -1.30278, 1.0]], ['2, k, 20', [-0.0828376, -0.205846, 1.0]], ['2, k, 21', [-0.0493258, -0.0979177, 1.0]], ['2, k, 22', [-0.1348, -0.0985094, 1.0]], ['2, k, 23', [0.378243, -0.0830769, 1.0]], ['2, k, 24', [0.267483, -0.0922931, 1.0]]]
[['2, k, 0', [-0.0663138, -0.691319, 1.0]], ['2, k, 1', [-0.074335, -0.410907, 1.0]], ['2, k, 2', [-0.0853654, -0.135169, 1.0]], ['2, k, 3', [-0.0807342, 0.0277904, 1.0]], ['2, k, 4', [-0.235876, -0.229961, 1.0]], ['2, k, 5', [-0.2504, -0.178938, 1.0]], ['2, k, 6', [-0.155852, -0.130693, 1.0]], ['2, k, 7', [-0.133692, -0.113267, 1.0]], ['2, k, 8', [0.0848794, -0.214012, 1.0]], ['2, k, 9', [0.25319, -0.217947, 1.0]], ['2, k, 10', [0.267694, -0.141788, 1.0]], ['2, k, 11', [0.279499, -0.10044, 1.0]], ['2, k, 12', [-0.140098, -0.686158, 1.0]], ['2, k, 13', [-0.225471, -1.01636, 1.0]], ['2, k, 14', [-0.295307, -1.38947, 1.0]], ['2, k, 15', [-0.257785, -1.49612, 1.0]], ['2, k, 16', [0.00897521, -0.679908, 1.0]], ['2, k, 17', [0.109441, -0.975535, 1.0]], ['2, k, 18', [0.150572, -1.24734, 1.0]], ['2, k, 19', [0.165149, -1.30147, 1.0]], ['2, k, 20', [-0.0829505, -0.204458, 1.0]], ['2, k, 21', [-0.0819099, -0.107986, 1.0]], ['2, k, 22', [-0.0947328, -0.10659, 1.0]], ['2, k, 23', [0.28634, -0.100841, 1.0]], ['2, k, 24', [0.262969, -0.106229, 1.0]]]
