[['2, k, 0', [0.0308255, -0.366754, 1.0]], ['2, k, 1', [0.0396847, -0.0645894, 1.0]], ['2, k, 2', [0.0482091, 0.232, 1.0]], ['2, k, 3', [0.072089, 0.377815, 1.0]], ['2, k, 4', [-0.102288, 0.146853, 1.0]], ['2, k, 5', [-0.17119, 0.0201636, 1.0]], ['2, k, 6', [-0.164017, -0.0920343, 1.0]], ['2, k, 7', [-0.168033, -0.155372, 1.0]], ['2, k, 8', [0.206683, 0.140023, 1.0]], ['2, k, 9', [0.244793, 0.00457366, 1.0]], ['2, k, 10', [0.214046, -0.102117, 1.0]], ['2, k, 11', [0.194242, -0.166738, 1.0]], ['2, k, 12', [-0.0397383, -0.361214, 1.0]], ['2, k, 13', [-0.112004, -0.830491, 1.0]], ['2, k, 14', [-0.114981, -1.17878, 1.0]], ['2, k, 15', [-0.101717, -1.25005, 1.0]], ['2, k, 16', [0.100716, -0.364307, 1.0]], ['2, k, 17', [0.178073, -0.819011, 1.0]], ['2, k, 18', [0.191465, -1.14016, 1.0]], ['2, k, 19', [0.198411, -1.20657, 1.0]], ['2, k, 20', [0.0461319, 0.158628, 1.0]], ['2, k, 21', [-0.166528, -0.203553, 1.0]], ['2, k, 22', [-0.204544, -0.166314, 1.0]], ['2, k, 23', [0.179799, -0.213947, 1.0]], ['2, k, 24', [0.222136, -0.192305, 1.0]]]
[['2, k, 0', [0.0328771, -0.357417, 1.0]], ['2, k, 1', [0.0365105, -0.0613575, 1.0]], ['2, k, 2', [0.0435561, 0.232807, 1.0]], ['2, k, 3', [0.0720152, 0.377714, 1.0]], ['2, k, 4', [-0.102189, 0.147204, 1.0]], ['2, k, 5', [-0.166719, 0.0369699, 1.0]], ['2, k, 6', [-0.143313, -0.0573268, 1.0]], ['2, k, 7', [-0.162556, -0.114617, 1.0]], ['2, k, 8', [0.203068, 0.14384, 1.0]], ['2, k, 9', [0.249516, 0.0175205, 1.0]], ['2, k, 10', [0.217908, -0.0763293, 1.0]], ['2, k, 11', [0.190713, -0.126007, 1.0]], ['2, k, 12', [-0.0377486, -0.353498, 1.0]], ['2, k, 13', [-0.11159, -0.826006, 1.0]], ['2, k, 14', [-0.115211, -1.17877, 1.0]], ['2, k, 15', [-0.117771, -1.24877, 1.0]], ['2, k, 16', [0.102785, -0.353479, 1.0]], ['2, k, 17', [0.178168, -0.820059, 1.0]], ['2, k, 18', [0.191508, -1.14008, 1.0]], ['2, k, 19', [0.18775, -1.19679, 1.0]], ['2, k, 20', [0.0421922, 0.159721, 1.0]], ['2, k, 21', [-0.161165, -0.155054, 1.0]], ['2, k, 22', [-0.198835, -0.1084, 1.0]], ['2, k, 23', [0.178549, -0.169401, 1.0]], ['2, k, 24', [0.219458, -0.14514, 1.0]]]
[['2, k, 0', [0.0352927, -0.366496, 1.0]], ['2, k, 1', [0.0374291, -0.0635649, 1.0]], ['2, k, 2', [0.0434772, 0.232785, 1.0]], ['2, k, 3', [0.071507, 0.378443, 1.0]], ['2, k, 4', [-0.100132, 0.148498, 1.0]], ['2, k, 5', [-0.141172, 0.0841723, 1.0]], ['2, k, 6', [-0.147933, 0.0105383, 1.0]], ['2, k, 7', [-0.162022, -0.0433426, 1.0]], ['2, k, 8', [0.20106, 0.146366, 1.0]], ['2, k, 9', [0.240476, 0.0899778, 1.0]], ['2, k, 10', [0.211926, 0.00337626, 1.0]], ['2, k, 11', [0.191491, -0.0723919, 1.0]], ['2, k, 12', [-0.0351054, -0.362794, 1.0]], ['2, k, 13', [-0.108978, -0.828426, 1.0]], ['2, k, 14', [-0.121821, -1.20599, 1.0]], ['2, k, 15', [-0.0585705, -1.25851, 1.0]], ['2, k, 16', [0.104945, -0.362216, 1.0]], ['2, k, 17', [0.173931, -0.832293, 1.0]], ['2, k, 18', [0.19121, -1.22887, 1.0]], ['2, k, 19', [0.15985, -1.25732, 1.0]], ['2, k, 20', [0.0421248, 0.159499, 1.0]], ['2, k, 21', [-0.154725, -0.0744656, 1.0]], ['2, k, 22', [-0.197972, -0.0492882, 1.0]], ['2, k, 23', [0.189343, -0.114887, 1.0]], ['2, k, 24', [0.223209, -0.0833701, 1.0]]]
[['2, k, 0', [0.0357062, -0.367024, 1.0]], ['2, k, 1', [0.0381412, -0.0637722, 1.0]], ['2, k, 2', [0.0437417, 0.232985, 1.0]], ['2, k, 3', [0.0708603, 0.378116, 1.0]], ['2, k, 4', [-0.0991168, 0.149419, 1.0]], ['2, k, 5', [-0.14425, 0.110462, 1.0]], ['2, k, 6', [-0.149271, 0.0333458, 1.0]], ['2, k, 7', [-0.164533, 0.0206704, 1.0]], ['2, k, 8', [0.201034, 0.146941, 1.0]], ['2, k, 9', [0.264581, 0.131541, 1.0]], ['2, k, 10', [0.235162, 0.0556756, 1.0]], ['2, k, 11', [0.197307, -0.0126571, 1.0]], ['2, k, 12', [-0.0346414, -0.363203, 1.0]], ['2, k, 13', [-0.108227, -0.833133, 1.0]], ['2, k, 14', [-0.121952, -1.2013, 1.0]], ['2, k, 15', [-0.0651017, -1.25433, 1.0]], ['2, k, 16', [0.105297, -0.362852, 1.0]], ['2, k, 17', [0.172655, -0.832952, 1.0]], ['2, k, 18', [0.193335, -1.22442, 1.0]], ['2, k, 19', [0.154064, -1.26372, 1.0]], ['2, k, 20', [0.0423722, 0.159593, 1.0]], ['2, k, 21', [-0.160385, -0.00374226, 1.0]], ['2, k, 22', [-0.198742, 0.0138746, 1.0]], ['2, k, 23', [0.192995, -0.0544384, 1.0]], ['2, k, 24', [0.228631, -0.0221549, 1.0]]]
[['2, k, 0', [0.0373203, -0.366405, 1.0]], ['2, k, 1', [0.0398718, -0.0634827, 1.0]], ['2, k, 2', [0.0442043, 0.233011, 1.0]], ['2, k, 3', [0.0706032, 0.378082, 1.0]], ['2, k, 4', [-0.0945308, 0.146016, 1.0]], ['2, k, 5', [-0.138685, 0.154929, 1.0]], ['2, k, 6', [-0.183688, 0.121938, 1.0]], ['2, k, 7', [-0.166619, 0.093317, 1.0]], ['2, k, 8', [0.198898, 0.147798, 1.0]], ['2, k, 9', [0.264405, 0.130607, 1.0]], ['2, k, 10', [0.23353, 0.114303, 1.0]], ['2, k, 11', [0.199526, 0.0554543, 1.0]], ['2, k, 12', [-0.0327225, -0.363069, 1.0]], ['2, k, 13', [-0.108897, -0.841799, 1.0]], ['2, k, 14', [-0.121525, -1.20154, 1.0]], ['2, k, 15', [-0.0758319, -1.25191, 1.0]], ['2, k, 16', [0.106786, -0.361679, 1.0]], ['2, k, 17', [0.174339, -0.890872, 1.0]], ['2, k, 18', [0.193269, -1.22385, 1.0]], ['2, k, 19', [0.156676, -1.25815, 1.0]], ['2, k, 20', [0.0430748, 0.159659, 1.0]], ['2, k, 21', [-0.173546, 0.0695881, 1.0]], ['2, k, 22', [-0.195657, 0.0802113, 1.0]], ['2, k, 23', [0.193125, 0.0145218, 1.0]], ['2, k, 24', [0.22927, 0.043084, 1.0]]]
[['2, k, 0', [0.0381746, -0.368751, 1.0]], ['2, k, 1', [0.0409881, -0.0638378, 1.0]], ['2, k, 2', [0.045733, 0.234428, 1.0]], ['2, k, 3', [0.0700461, 0.378457, 1.0]], ['2, k, 4', [-0.0833046, 0.140726, 1.0]], ['2, k, 5', [-0.136021, 0.154971, 1.0]], ['2, k, 6', [-0.148975, 0.152859, 1.0]], ['2, k, 7', [-0.164881, 0.165685, 1.0]], ['2, k, 8', [0.188006, 0.139959, 1.0]], ['2, k, 9', [0.195075, 0.130189, 1.0]], ['2, k, 10', [0.203187, 0.0586894, 1.0]], ['2, k, 11', [0.20148, 0.117894, 1.0]], ['2, k, 12', [-0.0316742, -0.36505, 1.0]], ['2, k, 13', [-0.108438, -0.844344, 1.0]], ['2, k, 14', [-0.121566, -1.20146, 1.0]], ['2, k, 15', [-0.0745314, -1.25364, 1.0]], ['2, k, 16', [0.107386, -0.364524, 1.0]], ['2, k, 17', [0.172946, -0.84764, 1.0]], ['2, k, 18', [0.181914, -1.21428, 1.0]], ['2, k, 19', [0.103647, -1.25599, 1.0]], ['2, k, 20', [0.0444488, 0.160535, 1.0]], ['2, k, 21', [-0.191009, 0.141974, 1.0]], ['2, k, 22', [-0.176979, 0.140691, 1.0]], ['2, k, 23', [0.194451, 0.100103, 1.0]], ['2, k, 24', [0.219192, 0.085876, 1.0]]]
[['2, k, 0', [0.0393803, -0.367599, 1.0]], ['2, k, 1', [0.0419532, -0.0629496, 1.0]], ['2, k, 2', [0.0458444, 0.234856, 1.0]], ['2, k, 3', [0.0692185, 0.378579, 1.0]], ['2, k, 4', [-0.0846372, 0.141273, 1.0]], ['2, k, 5', [-0.144056, 0.159623, 1.0]], ['2, k, 6', [-0.147835, 0.201869, 1.0]], ['2, k, 7', [-0.156687, 0.231342, 1.0]], ['2, k, 8', [0.188637, 0.138498, 1.0]], ['2, k, 9', [0.194784, 0.152966, 1.0]], ['2, k, 10', [0.202357, 0.0876078, 1.0]], ['2, k, 11', [0.202941, 0.185493, 1.0]], ['2, k, 12', [-0.0295715, -0.362748, 1.0]], ['2, k, 13', [-0.107292, -0.841652, 1.0]], ['2, k, 14', [-0.118848, -1.20147, 1.0]], ['2, k, 15', [-0.127686, -1.27148, 1.0]], ['2, k, 16', [0.107926, -0.364105, 1.0]], ['2, k, 17', [0.171744, -0.847049, 1.0]], ['2, k, 18', [0.199338, -1.21815, 1.0]], ['2, k, 19', [0.105127, -1.25376, 1.0]], ['2, k, 20', [0.0447649, 0.161138, 1.0]], ['2, k, 21', [-0.159842, 0.239313, 1.0]], ['2, k, 22', [-0.18837, 0.215013, 1.0]], ['2, k, 23', [0.196551, 0.183399, 1.0]], ['2, k, 24', [0.226013, 0.184303, 1.0]]]
[['2, k, 0', [0.0402698, -0.365742, 1.0]], ['2, k, 1', [0.043283, -0.0615133, 1.0]], ['2, k, 2', [0.047085, 0.235931, 1.0]], ['2, k, 3', [0.0676859, 0.379067, 1.0]], ['2, k, 4', [-0.0843262, 0.142396, 1.0]], ['2, k, 5', [-0.162785, 0.182821, 1.0]], ['2, k, 6', [-0.150445, 0.230838, 1.0]], ['2, k, 7', [-0.1556, 0.289804, 1.0]], ['2, k, 8', [0.188596, 0.138497, 1.0]], ['2, k, 9', [0.252873, 0.170106, 1.0]], ['2, k, 10', [0.210021, 0.208251, 1.0]], ['2, k, 11', [0.205321, 0.244411, 1.0]], ['2, k, 12', [-0.0280201, -0.360071, 1.0]], ['2, k, 13', [-0.106346, -0.838329, 1.0]], ['2, k, 14', [-0.119933, -1.19986, 1.0]], ['2, k, 15', [-0.0872763, -1.25634, 1.0]], ['2, k, 16', [0.108224, -0.363018, 1.0]], ['2, k, 17', [0.171879, -0.84487, 1.0]], ['2, k, 18', [0.199416, -1.21744, 1.0]], ['2, k, 19', [0.169714, -1.25864, 1.0]], ['2, k, 20', [0.0460745, 0.162323, 1.0]], ['2, k, 21', [-0.159081, 0.311264, 1.0]], ['2, k, 22', [-0.181849, 0.283578, 1.0]], ['2, k, 23', [0.198849, 0.242945, 1.0]], ['2, k, 24', [0.238698, 0.233428, 1.0]]]
[['2, k, 0', [0.03996, -0.36412, 1.0]], ['2, k, 1', [0.0436475, -0.0606251, 1.0]], ['2, k, 2', [0.0477298, 0.236337, 1.0]], ['2, k, 3', [0.067132, 0.379394, 1.0]], ['2, k, 4', [-0.0856213, 0.143155, 1.0]], ['2, k, 5', [-0.169551, 0.211553, 1.0]], ['2, k, 6', [-0.14729, 0.300222, 1.0]], ['2, k, 7', [-0.151549, 0.343489, 1.0]], ['2, k, 8', [0.190123, 0.138825, 1.0]], ['2, k, 9', [0.250303, 0.178508, 1.0]], ['2, k, 10', [0.240076, 0.235663, 1.0]], ['2, k, 11', [0.210064, 0.29685, 1.0]], ['2, k, 12', [-0.0279937, -0.358722, 1.0]], ['2, k, 13', [-0.106462, -0.837983, 1.0]], ['2, k, 14', [-0.122141, -1.19639, 1.0]], ['2, k, 15', [-0.0865785, -1.26266, 1.0]], ['2, k, 16', [0.107319, -0.361134, 1.0]], ['2, k, 17', [0.171864, -0.843948, 1.0]], ['2, k, 18', [0.199876, -1.21721, 1.0]], ['2, k, 19', [0.164405, -1.26183, 1.0]], ['2, k, 20', [0.0467094, 0.162863, 1.0]], ['2, k, 21', [-0.156251, 0.374499, 1.0]], ['2, k, 22', [-0.17944, 0.33358, 1.0]], ['2, k, 23', [0.198575, 0.310263, 1.0]], ['2, k, 24', [0.24522, 0.295663, 1.0]]]
[['2, k, 0', [0.039754, -0.361827, 1.0]], ['2, k, 1', [0.0446007, -0.0601094, 1.0]], ['2, k, 2', [0.0499105, 0.23569, 1.0]], ['2, k, 3', [0.0661452, 0.378563, 1.0]], ['2, k, 4', [-0.0851229, 0.148526, 1.0]], ['2, k, 5', [-0.163725, 0.231608, 1.0]], ['2, k, 6', [-0.144957, 0.337202, 1.0]], ['2, k, 7', [-0.151357, 0.397902, 1.0]], ['2, k, 8', [0.189601, 0.139878, 1.0]], ['2, k, 9', [0.248446, 0.225961, 1.0]], ['2, k, 10', [0.228674, 0.31295, 1.0]], ['2, k, 11', [0.215769, 0.345918, 1.0]], ['2, k, 12', [-0.0280191, -0.355806, 1.0]], ['2, k, 13', [-0.106285, -0.836976, 1.0]], ['2, k, 14', [-0.122243, -1.19632, 1.0]], ['2, k, 15', [-0.14049, -1.26939, 1.0]], ['2, k, 16', [0.106898, -0.359542, 1.0]], ['2, k, 17', [0.171968, -0.843851, 1.0]], ['2, k, 18', [0.199554, -1.21731, 1.0]], ['2, k, 19', [0.156833, -1.27235, 1.0]], ['2, k, 20', [0.0485079, 0.162547, 1.0]], ['2, k, 21', [-0.131226, 0.430666, 1.0]], ['2, k, 22', [-0.179941, 0.412437, 1.0]], ['2, k, 23', [0.212361, 0.368451, 1.0]], ['2, k, 24', [0.237939, 0.358601, 1.0]]]
[['2, k, 0', [0.0397875, -0.359596, 1.0]], ['2, k, 1', [0.0441168, -0.0595714, 1.0]], ['2, k, 2', [0.0485976, 0.234776, 1.0]], ['2, k, 3', [0.0632562, 0.379373, 1.0]], ['2, k, 4', [-0.0848655, 0.150071, 1.0]], ['2, k, 5', [-0.156311, 0.256928, 1.0]], ['2, k, 6', [-0.140961, 0.393995, 1.0]], ['2, k, 7', [-0.147122, 0.448789, 1.0]], ['2, k, 8', [0.188729, 0.141574, 1.0]], ['2, k, 9', [0.248769, 0.235352, 1.0]], ['2, k, 10', [0.228855, 0.340759, 1.0]], ['2, k, 11', [0.223977, 0.40183, 1.0]], ['2, k, 12', [-0.0276453, -0.353021, 1.0]], ['2, k, 13', [-0.106325, -0.836584, 1.0]], ['2, k, 14', [-0.12069, -1.19803, 1.0]], ['2, k, 15', [-0.141691, -1.27045, 1.0]], ['2, k, 16', [0.106619, -0.35794, 1.0]], ['2, k, 17', [0.172136, -0.843818, 1.0]], ['2, k, 18', [0.19686, -1.21726, 1.0]], ['2, k, 19', [0.191287, -1.26884, 1.0]], ['2, k, 20', [0.0474631, 0.162036, 1.0]], ['2, k, 21', [-0.144616, 0.483374, 1.0]], ['2, k, 22', [-0.177329, 0.462929, 1.0]], ['2, k, 23', [0.217805, 0.425167, 1.0]], ['2, k, 24', [0.253051, 0.410483, 1.0]]]
