[['2, k, 0', [-0.435933, -0.529973, 1.0]], ['2, k, 1', [-0.440762, -0.266399, 1.0]], ['2, k, 2', [-0.443903, -0.00733988, 1.0]], ['2, k, 3', [-0.454773, 0.0887192, 1.0]], ['2, k, 4', [-0.553044, -0.17053, 1.0]], ['2, k, 5', [-0.66006, -0.144882, 1.0]], ['2, k, 6', [-0.695569, -0.106576, 1.0]], ['2, k, 7', [-0.690058, -0.0538327, 1.0]], ['2, k, 8', [-0.310456, -0.0633754, 1.0]], ['2, k, 9', [-0.276346, -0.294648, 1.0]], ['2, k, 10', [-0.254578, -0.500547, 1.0]], ['2, k, 11', [-0.255787, -0.535166, 1.0]], ['2, k, 12', [-0.486218, -0.548407, 1.0]], ['2, k, 13', [-0.24558, -0.476539, 1.0]], ['2, k, 14', [-0.622032, -0.561804, 1.0]], ['2, k, 15', [-0.538574, -0.567871, 1.0]], ['2, k, 16', [-0.375904, -0.499695, 1.0]], ['2, k, 17', [-0.623807, -0.556917, 1.0]], ['2, k, 18', [-0.219475, -0.560413, 1.0]], ['2, k, 19', [-0.33517, -0.556081, 1.0]], ['2, k, 20', [-0.44343, -0.07156, 1.0]], ['2, k, 21', [-0.683281, -0.0298744, 1.0]], ['2, k, 22', [-0.748342, -0.0543475, 1.0]], ['2, k, 23', [-0.2536, -0.563802, 1.0]], ['2, k, 24', [-0.291331, -0.525943, 1.0]]]
[['2, k, 0', [-0.431003, -0.499652, 1.0]], ['2, k, 1', [-0.431475, -0.266339, 1.0]], ['2, k, 2', [-0.406907, -0.0441602, 1.0]], ['2, k, 3', [-0.435295, 0.0889522, 1.0]], ['2, k, 4', [-0.577133, -0.0899291, 1.0]], ['2, k, 5', [-0.667903, -0.0833644, 1.0]], ['2, k, 6', [-0.684957, -0.0118019, 1.0]], ['2, k, 7', [-0.688944, 0.0405725, 1.0]], ['2, k, 8', [-0.302297, -0.0830879, 1.0]], ['2, k, 9', [-0.155505, -0.0726926, 1.0]], ['2, k, 10', [-0.0722063, -0.0326523, 1.0]], ['2, k, 11', [-0.0631849, 0.0054975, 1.0]], ['2, k, 12', [-0.488363, -0.488782, 1.0]], ['2, k, 13', [-0.211862, -0.472356, 1.0]], ['2, k, 14', [-0.620099, -0.559693, 1.0]], ['2, k, 15', [-0.53569, -0.567334, 1.0]], ['2, k, 16', [-0.368834, -0.492977, 1.0]], ['2, k, 17', [-0.625559, -0.563986, 1.0]], ['2, k, 18', [-0.241771, -0.437902, 1.0]], ['2, k, 19', [-0.225314, -0.566929, 1.0]], ['2, k, 20', [-0.413819, -0.0963792, 1.0]], ['2, k, 21', [-0.669533, 0.071358, 1.0]], ['2, k, 22', [-0.7334, 0.048253, 1.0]], ['2, k, 23', [-0.0527407, 0.0191286, 1.0]], ['2, k, 24', [-0.0278086, -0.00385166, 1.0]]]
[['2, k, 0', [-0.450422, -0.452241, 1.0]], ['2, k, 1', [-0.448107, -0.236189, 1.0]], ['2, k, 2', [-0.45106, -0.0114905, 1.0]], ['2, k, 3', [-0.439592, 0.077632, 1.0]], ['2, k, 4', [-0.57638, -0.0934677, 1.0]], ['2, k, 5', [-0.664516, -0.0498872, 1.0]], ['2, k, 6', [-0.700155, 0.0541929, 1.0]], ['2, k, 7', [-0.693297, 0.128786, 1.0]], ['2, k, 8', [-0.302246, -0.0829998, 1.0]], ['2, k, 9', [-0.144386, -0.0237934, 1.0]], ['2, k, 10', [-0.0834936, 0.0519225, 1.0]], ['2, k, 11', [-0.0649957, 0.0833601, 1.0]], ['2, k, 12', [-0.508027, -0.452408, 1.0]], ['2, k, 13', [-0.274197, -0.43881, 1.0]], ['2, k, 14', [-0.537062, -0.573855, 1.0]], ['2, k, 15', [-0.478673, -0.506412, 1.0]], ['2, k, 16', [-0.383913, -0.44314, 1.0]], ['2, k, 17', [-0.654793, -0.494249, 1.0]], ['2, k, 18', [-0.351664, -0.550924, 1.0]], ['2, k, 19', [-0.293546, -0.533587, 1.0]], ['2, k, 20', [-0.449954, -0.0669928, 1.0]], ['2, k, 21', [-0.669829, 0.150436, 1.0]], ['2, k, 22', [-0.734333, 0.142552, 1.0]], ['2, k, 23', [-0.0484303, 0.10215, 1.0]], ['2, k, 24', [-0.0268256, 0.0682801, 1.0]]]
[['2, k, 0', [-0.442356, -0.452888, 1.0]], ['2, k, 1', [-0.443564, -0.231976, 1.0]], ['2, k, 2', [-0.446587, -0.00707315, 1.0]], ['2, k, 3', [-0.434665, 0.106195, 1.0]], ['2, k, 4', [-0.575599, -0.0904558, 1.0]], ['2, k, 5', [-0.669922, 0.00780825, 1.0]], ['2, k, 6', [-0.700822, 0.140164, 1.0]], ['2, k, 7', [-0.692069, 0.202114, 1.0]], ['2, k, 8', [-0.294974, -0.0796261, 1.0]], ['2, k, 9', [-0.138712, 0.0204615, 1.0]], ['2, k, 10', [-0.0813851, 0.122053, 1.0]], ['2, k, 11', [-0.0656569, 0.157401, 1.0]], ['2, k, 12', [-0.500802, -0.451786, 1.0]], ['2, k, 13', [-0.523539, -0.242643, 1.0]], ['2, k, 14', [-0.663147, -0.470843, 1.0]], ['2, k, 15', [-0.570519, -0.549263, 1.0]], ['2, k, 16', [-0.375121, -0.445454, 1.0]], ['2, k, 17', [-0.560612, -0.61387, 1.0]], ['2, k, 18', [-0.293636, -0.537822, 1.0]], ['2, k, 19', [-0.239441, -0.50298, 1.0]], ['2, k, 20', [-0.445929, -0.0629689, 1.0]], ['2, k, 21', [-0.678525, 0.22617, 1.0]], ['2, k, 22', [-0.728681, 0.209824, 1.0]], ['2, k, 23', [-0.0540979, 0.182126, 1.0]], ['2, k, 24', [-0.0118062, 0.156432, 1.0]]]
[['2, k, 0', [-0.430901, -0.437497, 1.0]], ['2, k, 1', [-0.436617, -0.217425, 1.0]], ['2, k, 2', [-0.441815, 0.0021579, 1.0]], ['2, k, 3', [-0.434662, 0.123266, 1.0]], ['2, k, 4', [-0.575115, -0.0877321, 1.0]], ['2, k, 5', [-0.672004, 0.0338962, 1.0]], ['2, k, 6', [-0.701169, 0.187462, 1.0]], ['2, k, 7', [-0.696129, 0.272497, 1.0]], ['2, k, 8', [-0.290231, -0.0761698, 1.0]], ['2, k, 9', [-0.149756, 0.0379466, 1.0]], ['2, k, 10', [-0.0810832, 0.149257, 1.0]], ['2, k, 11', [-0.0663419, 0.22802, 1.0]], ['2, k, 12', [-0.488911, -0.435382, 1.0]], ['2, k, 13', [-0.458012, -0.180593, 1.0]], ['2, k, 14', [-0.615706, -0.385238, 1.0]], ['2, k, 15', [-0.572766, -0.502116, 1.0]], ['2, k, 16', [-0.36443, -0.431122, 1.0]], ['2, k, 17', [-0.56, -0.614144, 1.0]], ['2, k, 18', [-0.219034, -0.557631, 1.0]], ['2, k, 19', [-0.17749, -0.667236, 1.0]], ['2, k, 20', [-0.440737, -0.0524942, 1.0]], ['2, k, 21', [-0.689184, 0.306917, 1.0]], ['2, k, 22', [-0.740719, 0.279817, 1.0]], ['2, k, 23', [-0.0637546, 0.263908, 1.0]], ['2, k, 24', [-0.0050666, 0.234386, 1.0]]]
[['2, k, 0', [-0.411865, -0.399748, 1.0]], ['2, k, 1', [-0.425476, -0.201934, 1.0]], ['2, k, 2', [-0.437407, 0.00232974, 1.0]], ['2, k, 3', [-0.433693, 0.127243, 1.0]], ['2, k, 4', [-0.574074, -0.0782814, 1.0]], ['2, k, 5', [-0.680061, 0.091542, 1.0]], ['2, k, 6', [-0.706553, 0.257463, 1.0]], ['2, k, 7', [-0.702095, 0.331719, 1.0]], ['2, k, 8', [-0.283099, -0.0688258, 1.0]], ['2, k, 9', [-0.139969, 0.0854785, 1.0]], ['2, k, 10', [-0.0781314, 0.235942, 1.0]], ['2, k, 11', [-0.0675542, 0.291204, 1.0]], ['2, k, 12', [-0.471294, -0.396847, 1.0]], ['2, k, 13', [-0.194303, -0.28871, 1.0]], ['2, k, 14', [-0.625598, -0.549896, 1.0]], ['2, k, 15', [-0.55079, -0.560136, 1.0]], ['2, k, 16', [-0.344495, -0.394941, 1.0]], ['2, k, 17', [-0.542874, -0.599279, 1.0]], ['2, k, 18', [-0.233488, -0.542294, 1.0]], ['2, k, 19', [-0.286953, -0.592511, 1.0]], ['2, k, 20', [-0.435034, -0.049874, 1.0]], ['2, k, 21', [-0.685542, 0.364863, 1.0]], ['2, k, 22', [-0.757246, 0.355022, 1.0]], ['2, k, 23', [-0.0585791, 0.320901, 1.0]], ['2, k, 24', [-0.00378776, 0.312785, 1.0]]]
[['2, k, 0', [-0.415758, -0.394099, 1.0]], ['2, k, 1', [-0.426339, -0.19625, 1.0]], ['2, k, 2', [-0.435121, 0.00427528, 1.0]], ['2, k, 3', [-0.431856, 0.134342, 1.0]], ['2, k, 4', [-0.575937, -0.0672224, 1.0]], ['2, k, 5', [-0.68175, 0.11747, 1.0]], ['2, k, 6', [-0.705786, 0.32262, 1.0]], ['2, k, 7', [-0.705642, 0.381179, 1.0]], ['2, k, 8', [-0.27864, -0.0610376, 1.0]], ['2, k, 9', [-0.143119, 0.107748, 1.0]], ['2, k, 10', [-0.0813961, 0.286485, 1.0]], ['2, k, 11', [-0.0852783, 0.344692, 1.0]], ['2, k, 12', [-0.475275, -0.39101, 1.0]], ['2, k, 13', [-0.192984, -0.408232, 1.0]], ['2, k, 14', [-0.56266, -0.516306, 1.0]], ['2, k, 15', [-0.465744, -0.528666, 1.0]], ['2, k, 16', [-0.348054, -0.389189, 1.0]], ['2, k, 17', [-0.622723, -0.572272, 1.0]], ['2, k, 18', [-0.274462, -0.489001, 1.0]], ['2, k, 19', [-0.394299, -0.511689, 1.0]], ['2, k, 20', [-0.433345, -0.0462325, 1.0]], ['2, k, 21', [-0.7009, 0.41755, 1.0]], ['2, k, 22', [-0.750847, 0.37776, 1.0]], ['2, k, 23', [-0.0849516, 0.380483, 1.0]], ['2, k, 24', [-0.0337439, 0.336744, 1.0]]]
[['2, k, 0', [-0.412199, -0.396292, 1.0]], ['2, k, 1', [-0.425599, -0.195726, 1.0]], ['2, k, 2', [-0.433198, 0.00552853, 1.0]], ['2, k, 3', [-0.430393, 0.1377, 1.0]], ['2, k, 4', [-0.577135, -0.0517025, 1.0]], ['2, k, 5', [-0.68444, 0.139086, 1.0]], ['2, k, 6', [-0.711685, 0.356696, 1.0]], ['2, k, 7', [-0.71535, 0.42073, 1.0]], ['2, k, 8', [-0.277177, -0.0468425, 1.0]], ['2, k, 9', [-0.140672, 0.163408, 1.0]], ['2, k, 10', [-0.0882565, 0.335875, 1.0]], ['2, k, 11', [-0.0868799, 0.388988, 1.0]], ['2, k, 12', [-0.472363, -0.393253, 1.0]], ['2, k, 13', [-0.191987, -0.405973, 1.0]], ['2, k, 14', [-0.506073, -0.553424, 1.0]], ['2, k, 15', [-0.409485, -0.565307, 1.0]], ['2, k, 16', [-0.343728, -0.391313, 1.0]], ['2, k, 17', [-0.622806, -0.569437, 1.0]], ['2, k, 18', [-0.38799, -0.466615, 1.0]], ['2, k, 19', [-0.506228, -0.49088, 1.0]], ['2, k, 20', [-0.432028, -0.0451255, 1.0]], ['2, k, 21', [-0.715061, 0.467885, 1.0]], ['2, k, 22', [-0.759097, 0.404956, 1.0]], ['2, k, 23', [-0.0935039, 0.428214, 1.0]], ['2, k, 24', [-0.0406439, 0.364371, 1.0]]]
[['2, k, 0', [-0.408486, -0.405365, 1.0]], ['2, k, 1', [-0.42228, -0.196504, 1.0]], ['2, k, 2', [-0.429917, 0.00745687, 1.0]], ['2, k, 3', [-0.4275, 0.136618, 1.0]], ['2, k, 4', [-0.578204, -0.048016, 1.0]], ['2, k, 5', [-0.685853, 0.141769, 1.0]], ['2, k, 6', [-0.710718, 0.377796, 1.0]], ['2, k, 7', [-0.718482, 0.454088, 1.0]], ['2, k, 8', [-0.275456, -0.0382414, 1.0]], ['2, k, 9', [-0.159159, 0.159358, 1.0]], ['2, k, 10', [-0.0914305, 0.367589, 1.0]], ['2, k, 11', [-0.0835348, 0.428695, 1.0]], ['2, k, 12', [-0.469263, -0.403011, 1.0]], ['2, k, 13', [-0.272347, -0.534051, 1.0]], ['2, k, 14', [-0.499282, -0.65298, 1.0]], ['2, k, 15', [-0.400075, -0.567035, 1.0]], ['2, k, 16', [-0.339339, -0.399389, 1.0]], ['2, k, 17', [-0.593481, -0.488545, 1.0]], ['2, k, 18', [-0.240561, -0.457252, 1.0]], ['2, k, 19', [-0.361818, -0.47756, 1.0]], ['2, k, 20', [-0.429486, -0.0439786, 1.0]], ['2, k, 21', [-0.728997, 0.50649, 1.0]], ['2, k, 22', [-0.764054, 0.42886, 1.0]], ['2, k, 23', [-0.0796955, 0.480207, 1.0]], ['2, k, 24', [-0.0124078, 0.426833, 1.0]]]
[['2, k, 0', [-0.407385, -0.409204, 1.0]], ['2, k, 1', [-0.420933, -0.197794, 1.0]], ['2, k, 2', [-0.428, 0.00802301, 1.0]], ['2, k, 3', [-0.425335, 0.13596, 1.0]], ['2, k, 4', [-0.578029, -0.045088, 1.0]], ['2, k, 5', [-0.685739, 0.196225, 1.0]], ['2, k, 6', [-0.723224, 0.42479, 1.0]], ['2, k, 7', [-0.727341, 0.479539, 1.0]], ['2, k, 8', [-0.275343, -0.0382799, 1.0]], ['2, k, 9', [-0.159459, 0.162315, 1.0]], ['2, k, 10', [-0.11797, 0.395156, 1.0]], ['2, k, 11', [-0.093659, 0.463604, 1.0]], ['2, k, 12', [-0.466913, -0.407807, 1.0]], ['2, k, 13', [-0.271387, -0.53173, 1.0]], ['2, k, 14', [-0.497322, -0.651166, 1.0]], ['2, k, 15', [-0.399827, -0.566739, 1.0]], ['2, k, 16', [-0.339318, -0.402641, 1.0]], ['2, k, 17', [-0.595328, -0.488796, 1.0]], ['2, k, 18', [-0.243655, -0.458225, 1.0]], ['2, k, 19', [-0.3644, -0.477449, 1.0]], ['2, k, 20', [-0.427257, -0.0439165, 1.0]], ['2, k, 21', [-0.728681, 0.531952, 1.0]], ['2, k, 22', [-0.777804, 0.465427, 1.0]], ['2, k, 23', [-0.0939498, 0.5237, 1.0]], ['2, k, 24', [-0.042298, 0.463611, 1.0]]]
[['2, k, 0', [-0.408903, -0.417858, 1.0]], ['2, k, 1', [-0.422273, -0.200111, 1.0]], ['2, k, 2', [-0.429132, 0.00859561, 1.0]], ['2, k, 3', [-0.425373, 0.138495, 1.0]], ['2, k, 4', [-0.579553, -0.0411679, 1.0]], ['2, k, 5', [-0.691592, 0.200588, 1.0]], ['2, k, 6', [-0.720997, 0.440159, 1.0]], ['2, k, 7', [-0.729448, 0.494378, 1.0]], ['2, k, 8', [-0.275478, -0.0381589, 1.0]], ['2, k, 9', [-0.140757, 0.208726, 1.0]], ['2, k, 10', [-0.0937321, 0.437321, 1.0]], ['2, k, 11', [-0.0949473, 0.48622, 1.0]], ['2, k, 12', [-0.468839, -0.413401, 1.0]], ['2, k, 13', [-0.149074, -0.381261, 1.0]], ['2, k, 14', [-0.388507, -0.549684, 1.0]], ['2, k, 15', [-0.296208, -0.547208, 1.0]], ['2, k, 16', [-0.338815, -0.413254, 1.0]], ['2, k, 17', [-0.64069, -0.468511, 1.0]], ['2, k, 18', [-0.238613, -0.467301, 1.0]], ['2, k, 19', [-0.357441, -0.500254, 1.0]], ['2, k, 20', [-0.428327, -0.0438126, 1.0]], ['2, k, 21', [-0.721927, 0.554464, 1.0]], ['2, k, 22', [-0.77912, 0.495656, 1.0]], ['2, k, 23', [-0.100795, 0.539898, 1.0]], ['2, k, 24', [-0.0486894, 0.500333, 1.0]]]
