[['2, k, 0', [0.0982251, -1.23659, 1.0]], ['2, k, 1', [0.0869044, -0.938218, 1.0]], ['2, k, 2', [0.0754581, -0.641953, 1.0]], ['2, k, 3', [0.0922469, -0.536549, 1.0]], ['2, k, 4', [0.0418407, -0.730536, 1.0]], ['2, k, 5', [0.241075, -0.711626, 1.0]], ['2, k, 6', [0.438867, -0.693196, 1.0]], ['2, k, 7', [0.515904, -0.67494, 1.0]], ['2, k, 8', [0.141702, -0.70938, 1.0]], ['2, k, 9', [0.342185, -0.702578, 1.0]], ['2, k, 10', [0.490182, -0.682084, 1.0]], ['2, k, 11', [0.520166, -0.672422, 1.0]], ['2, k, 12', [0.0744598, -1.22786, 1.0]], ['2, k, 13', [-0.00785428, -1.44413, 1.0]], ['2, k, 14', [-0.00937062, -1.7528, 1.0]], ['2, k, 15', [-0.0547299, -1.79328, 1.0]], ['2, k, 16', [0.119845, -1.21827, 1.0]], ['2, k, 17', [0.205992, -1.47265, 1.0]], ['2, k, 18', [0.240174, -1.77048, 1.0]], ['2, k, 19', [0.20224, -1.81353, 1.0]], ['2, k, 20', [0.0783523, -0.715892, 1.0]], ['2, k, 21', [0.561587, -0.666157, 1.0]], ['2, k, 22', [0.520347, -0.680181, 1.0]], ['2, k, 23', [0.563465, -0.665351, 1.0]], ['2, k, 24', [0.525571, -0.681045, 1.0]]]
[['2, k, 0', [0.0983075, -1.23673, 1.0]], ['2, k, 1', [0.0869092, -0.938366, 1.0]], ['2, k, 2', [0.07538, -0.642125, 1.0]], ['2, k, 3', [0.0920136, -0.536735, 1.0]], ['2, k, 4', [0.041858, -0.730527, 1.0]], ['2, k, 5', [0.240807, -0.711681, 1.0]], ['2, k, 6', [0.439593, -0.69455, 1.0]], ['2, k, 7', [0.515748, -0.677806, 1.0]], ['2, k, 8', [0.14144, -0.712229, 1.0]], ['2, k, 9', [0.342987, -0.705932, 1.0]], ['2, k, 10', [0.476461, -0.680664, 1.0]], ['2, k, 11', [0.522443, -0.673699, 1.0]], ['2, k, 12', [0.057825, -1.22946, 1.0]], ['2, k, 13', [-0.00738155, -1.4471, 1.0]], ['2, k, 14', [-0.00986098, -1.75333, 1.0]], ['2, k, 15', [-0.0533436, -1.79424, 1.0]], ['2, k, 16', [0.139441, -1.21903, 1.0]], ['2, k, 17', [0.205965, -1.47235, 1.0]], ['2, k, 18', [0.240225, -1.7706, 1.0]], ['2, k, 19', [0.204512, -1.8138, 1.0]], ['2, k, 20', [0.0782973, -0.716056, 1.0]], ['2, k, 21', [0.562511, -0.667076, 1.0]], ['2, k, 22', [0.523041, -0.67974, 1.0]], ['2, k, 23', [0.562228, -0.661179, 1.0]], ['2, k, 24', [0.536188, -0.684163, 1.0]]]
[['2, k, 0', [0.098397, -1.23665, 1.0]], ['2, k, 1', [0.0869336, -0.93835, 1.0]], ['2, k, 2', [0.0753815, -0.642126, 1.0]], ['2, k, 3', [0.091987, -0.536833, 1.0]], ['2, k, 4', [0.0418518, -0.730498, 1.0]], ['2, k, 5', [0.240816, -0.711401, 1.0]], ['2, k, 6', [0.441585, -0.693665, 1.0]], ['2, k, 7', [0.516135, -0.675552, 1.0]], ['2, k, 8', [0.141145, -0.712383, 1.0]], ['2, k, 9', [0.342729, -0.706031, 1.0]], ['2, k, 10', [0.47643, -0.680757, 1.0]], ['2, k, 11', [0.524568, -0.671919, 1.0]], ['2, k, 12', [0.0552513, -1.22972, 1.0]], ['2, k, 13', [-0.00694009, -1.44719, 1.0]], ['2, k, 14', [-0.00994702, -1.75339, 1.0]], ['2, k, 15', [-0.0532458, -1.79421, 1.0]], ['2, k, 16', [0.142141, -1.21768, 1.0]], ['2, k, 17', [0.206212, -1.47229, 1.0]], ['2, k, 18', [0.240318, -1.7706, 1.0]], ['2, k, 19', [0.20487, -1.81369, 1.0]], ['2, k, 20', [0.0783001, -0.716055, 1.0]], ['2, k, 21', [0.564821, -0.6583, 1.0]], ['2, k, 22', [0.514706, -0.676737, 1.0]], ['2, k, 23', [0.562398, -0.654533, 1.0]], ['2, k, 24', [0.532585, -0.653147, 1.0]]]
[['2, k, 0', [0.0986157, -1.23611, 1.0]], ['2, k, 1', [0.0870245, -0.938185, 1.0]], ['2, k, 2', [0.075401, -0.642114, 1.0]], ['2, k, 3', [0.0919687, -0.536735, 1.0]], ['2, k, 4', [0.0418983, -0.730491, 1.0]], ['2, k, 5', [0.241512, -0.711209, 1.0]], ['2, k, 6', [0.442732, -0.693268, 1.0]], ['2, k, 7', [0.514429, -0.676267, 1.0]], ['2, k, 8', [0.141049, -0.711714, 1.0]], ['2, k, 9', [0.343331, -0.706162, 1.0]], ['2, k, 10', [0.524395, -0.675784, 1.0]], ['2, k, 11', [0.521707, -0.672644, 1.0]], ['2, k, 12', [0.0540414, -1.2299, 1.0]], ['2, k, 13', [-0.00686578, -1.44718, 1.0]], ['2, k, 14', [-0.0101272, -1.75445, 1.0]], ['2, k, 15', [-0.0534141, -1.79525, 1.0]], ['2, k, 16', [0.144584, -1.21441, 1.0]], ['2, k, 17', [0.206702, -1.47152, 1.0]], ['2, k, 18', [0.239553, -1.77328, 1.0]], ['2, k, 19', [0.203772, -1.81677, 1.0]], ['2, k, 20', [0.0783295, -0.716025, 1.0]], ['2, k, 21', [0.564902, -0.649791, 1.0]], ['2, k, 22', [0.498936, -0.677698, 1.0]], ['2, k, 23', [0.564902, -0.649791, 1.0]], ['2, k, 24', [0.537776, -0.65391, 1.0]]]
[['2, k, 0', [0.0989745, -1.23603, 1.0]], ['2, k, 1', [0.08722, -0.938037, 1.0]], ['2, k, 2', [0.075561, -0.641848, 1.0]], ['2, k, 3', [0.0919088, -0.536664, 1.0]], ['2, k, 4', [0.0420432, -0.730433, 1.0]], ['2, k, 5', [0.241722, -0.710837, 1.0]], ['2, k, 6', [0.443013, -0.6913, 1.0]], ['2, k, 7', [0.522634, -0.674268, 1.0]], ['2, k, 8', [0.141523, -0.712455, 1.0]], ['2, k, 9', [0.343877, -0.706668, 1.0]], ['2, k, 10', [0.500563, -0.681087, 1.0]], ['2, k, 11', [0.529416, -0.672073, 1.0]], ['2, k, 12', [0.0532498, -1.22981, 1.0]], ['2, k, 13', [-0.00684526, -1.44725, 1.0]], ['2, k, 14', [-0.0103772, -1.74843, 1.0]], ['2, k, 15', [-0.0526836, -1.78991, 1.0]], ['2, k, 16', [0.146576, -1.21446, 1.0]], ['2, k, 17', [0.206928, -1.47123, 1.0]], ['2, k, 18', [0.240008, -1.77309, 1.0]], ['2, k, 19', [0.205398, -1.81655, 1.0]], ['2, k, 20', [0.0784922, -0.715802, 1.0]], ['2, k, 21', [0.566386, -0.660759, 1.0]], ['2, k, 22', [0.528173, -0.666718, 1.0]], ['2, k, 23', [0.565303, -0.655483, 1.0]], ['2, k, 24', [0.54699, -0.683667, 1.0]]]
[['2, k, 0', [0.0994153, -1.23617, 1.0]], ['2, k, 1', [0.087357, -0.938052, 1.0]], ['2, k, 2', [0.0755871, -0.641829, 1.0]], ['2, k, 3', [0.0916673, -0.536925, 1.0]], ['2, k, 4', [0.0422598, -0.730384, 1.0]], ['2, k, 5', [0.241978, -0.710285, 1.0]], ['2, k, 6', [0.44319, -0.690846, 1.0]], ['2, k, 7', [0.504899, -0.677372, 1.0]], ['2, k, 8', [0.141145, -0.712485, 1.0]], ['2, k, 9', [0.343972, -0.706564, 1.0]], ['2, k, 10', [0.499511, -0.681243, 1.0]], ['2, k, 11', [0.532799, -0.671891, 1.0]], ['2, k, 12', [0.0529608, -1.23019, 1.0]], ['2, k, 13', [-0.0066954, -1.44716, 1.0]], ['2, k, 14', [-0.0104061, -1.74885, 1.0]], ['2, k, 15', [-0.0527114, -1.79019, 1.0]], ['2, k, 16', [0.147686, -1.21446, 1.0]], ['2, k, 17', [0.207133, -1.47117, 1.0]], ['2, k, 18', [0.240753, -1.77301, 1.0]], ['2, k, 19', [0.206306, -1.81637, 1.0]], ['2, k, 20', [0.0785333, -0.71579, 1.0]], ['2, k, 21', [0.548434, -0.660782, 1.0]], ['2, k, 22', [0.542393, -0.64757, 1.0]], ['2, k, 23', [0.570935, -0.657249, 1.0]], ['2, k, 24', [0.541786, -0.67793, 1.0]]]
[['2, k, 0', [0.0997093, -1.23586, 1.0]], ['2, k, 1', [0.087479, -0.937692, 1.0]], ['2, k, 2', [0.0755026, -0.641234, 1.0]], ['2, k, 3', [0.0916861, -0.536919, 1.0]], ['2, k, 4', [0.0422627, -0.730358, 1.0]], ['2, k, 5', [0.242047, -0.709697, 1.0]], ['2, k, 6', [0.443262, -0.690419, 1.0]], ['2, k, 7', [0.503636, -0.678362, 1.0]], ['2, k, 8', [0.141301, -0.711988, 1.0]], ['2, k, 9', [0.3447, -0.707052, 1.0]], ['2, k, 10', [0.506414, -0.679878, 1.0]], ['2, k, 11', [0.53483, -0.672774, 1.0]], ['2, k, 12', [0.0527626, -1.23022, 1.0]], ['2, k, 13', [-0.00614103, -1.4465, 1.0]], ['2, k, 14', [-0.0107246, -1.7465, 1.0]], ['2, k, 15', [-0.053217, -1.78773, 1.0]], ['2, k, 16', [0.148553, -1.21347, 1.0]], ['2, k, 17', [0.207706, -1.47005, 1.0]], ['2, k, 18', [0.241138, -1.7726, 1.0]], ['2, k, 19', [0.206612, -1.8156, 1.0]], ['2, k, 20', [0.0785178, -0.715269, 1.0]], ['2, k, 21', [0.54998, -0.665508, 1.0]], ['2, k, 22', [0.53831, -0.653948, 1.0]], ['2, k, 23', [0.573792, -0.668117, 1.0]], ['2, k, 24', [0.543465, -0.678027, 1.0]]]
[['2, k, 0', [0.100353, -1.23552, 1.0]], ['2, k, 1', [0.0877097, -0.937468, 1.0]], ['2, k, 2', [0.075569, -0.640992, 1.0]], ['2, k, 3', [0.0917222, -0.536939, 1.0]], ['2, k, 4', [0.0422811, -0.730354, 1.0]], ['2, k, 5', [0.242385, -0.710169, 1.0]], ['2, k, 6', [0.443775, -0.690647, 1.0]], ['2, k, 7', [0.503591, -0.680909, 1.0]], ['2, k, 8', [0.141208, -0.712897, 1.0]], ['2, k, 9', [0.344652, -0.707157, 1.0]], ['2, k, 10', [0.53078, -0.677643, 1.0]], ['2, k, 11', [0.548728, -0.66756, 1.0]], ['2, k, 12', [0.052506, -1.22974, 1.0]], ['2, k, 13', [-0.00572379, -1.44583, 1.0]], ['2, k, 14', [-0.00931062, -1.74804, 1.0]], ['2, k, 15', [-0.0511384, -1.78913, 1.0]], ['2, k, 16', [0.149693, -1.21349, 1.0]], ['2, k, 17', [0.207809, -1.46958, 1.0]], ['2, k, 18', [0.241196, -1.772, 1.0]], ['2, k, 19', [0.207029, -1.81478, 1.0]], ['2, k, 20', [0.0786178, -0.715051, 1.0]], ['2, k, 21', [0.547919, -0.665142, 1.0]], ['2, k, 22', [0.54504, -0.647605, 1.0]], ['2, k, 23', [0.566565, -0.652013, 1.0]], ['2, k, 24', [0.553741, -0.679224, 1.0]]]
[['2, k, 0', [0.100715, -1.23433, 1.0]], ['2, k, 1', [0.0878613, -0.936657, 1.0]], ['2, k, 2', [0.0756275, -0.640383, 1.0]], ['2, k, 3', [0.0916419, -0.536365, 1.0]], ['2, k, 4', [0.0423491, -0.729988, 1.0]], ['2, k, 5', [0.242496, -0.709775, 1.0]], ['2, k, 6', [0.444584, -0.691564, 1.0]], ['2, k, 7', [0.488054, -0.686695, 1.0]], ['2, k, 8', [0.141321, -0.713534, 1.0]], ['2, k, 9', [0.344786, -0.706662, 1.0]], ['2, k, 10', [0.534556, -0.676967, 1.0]], ['2, k, 11', [0.555126, -0.667323, 1.0]], ['2, k, 12', [0.0522276, -1.22851, 1.0]], ['2, k, 13', [-0.0056239, -1.4455, 1.0]], ['2, k, 14', [-0.00966581, -1.74745, 1.0]], ['2, k, 15', [-0.0510439, -1.78907, 1.0]], ['2, k, 16', [0.150539, -1.21304, 1.0]], ['2, k, 17', [0.209318, -1.47219, 1.0]], ['2, k, 18', [0.241395, -1.77157, 1.0]], ['2, k, 19', [0.207538, -1.81407, 1.0]], ['2, k, 20', [0.0787104, -0.714404, 1.0]], ['2, k, 21', [0.530972, -0.672994, 1.0]], ['2, k, 22', [0.51185, -0.666156, 1.0]], ['2, k, 23', [0.573258, -0.655523, 1.0]], ['2, k, 24', [0.560552, -0.679955, 1.0]]]
[['2, k, 0', [0.101923, -1.23454, 1.0]], ['2, k, 1', [0.0883391, -0.936538, 1.0]], ['2, k, 2', [0.075804, -0.63998, 1.0]], ['2, k, 3', [0.0918523, -0.535182, 1.0]], ['2, k, 4', [0.0423515, -0.73001, 1.0]], ['2, k, 5', [0.242476, -0.709692, 1.0]], ['2, k, 6', [0.445048, -0.693633, 1.0]], ['2, k, 7', [0.48848, -0.687657, 1.0]], ['2, k, 8', [0.140068, -0.714141, 1.0]], ['2, k, 9', [0.343741, -0.707095, 1.0]], ['2, k, 10', [0.537478, -0.678417, 1.0]], ['2, k, 11', [0.552059, -0.670363, 1.0]], ['2, k, 12', [0.053082, -1.22641, 1.0]], ['2, k, 13', [-0.00498563, -1.44567, 1.0]], ['2, k, 14', [-0.0105408, -1.74991, 1.0]], ['2, k, 15', [-0.0523798, -1.79131, 1.0]], ['2, k, 16', [0.152527, -1.21632, 1.0]], ['2, k, 17', [0.209431, -1.47196, 1.0]], ['2, k, 18', [0.241557, -1.77185, 1.0]], ['2, k, 19', [0.207561, -1.81418, 1.0]], ['2, k, 20', [0.0789538, -0.714098, 1.0]], ['2, k, 21', [0.532397, -0.676493, 1.0]], ['2, k, 22', [0.531642, -0.661768, 1.0]], ['2, k, 23', [0.565269, -0.654563, 1.0]], ['2, k, 24', [0.556515, -0.659912, 1.0]]]
[['2, k, 0', [0.102475, -1.23461, 1.0]], ['2, k, 1', [0.0886584, -0.936531, 1.0]], ['2, k, 2', [0.0761274, -0.639883, 1.0]], ['2, k, 3', [0.0919604, -0.534914, 1.0]], ['2, k, 4', [0.0425212, -0.730014, 1.0]], ['2, k, 5', [0.243038, -0.709753, 1.0]], ['2, k, 6', [0.445765, -0.693881, 1.0]], ['2, k, 7', [0.488934, -0.688782, 1.0]], ['2, k, 8', [0.140112, -0.714739, 1.0]], ['2, k, 9', [0.344089, -0.706986, 1.0]], ['2, k, 10', [0.539499, -0.679097, 1.0]], ['2, k, 11', [0.556434, -0.670513, 1.0]], ['2, k, 12', [0.0531432, -1.22455, 1.0]], ['2, k, 13', [-0.0048007, -1.44564, 1.0]], ['2, k, 14', [-0.00976033, -1.75014, 1.0]], ['2, k, 15', [-0.0514302, -1.79147, 1.0]], ['2, k, 16', [0.153464, -1.21809, 1.0]], ['2, k, 17', [0.209466, -1.47103, 1.0]], ['2, k, 18', [0.241611, -1.77214, 1.0]], ['2, k, 19', [0.207557, -1.8143, 1.0]], ['2, k, 20', [0.079295, -0.714014, 1.0]], ['2, k, 21', [0.534109, -0.676724, 1.0]], ['2, k, 22', [0.512052, -0.666966, 1.0]], ['2, k, 23', [0.573312, -0.655319, 1.0]], ['2, k, 24', [0.562587, -0.652772, 1.0]]]
