[['2, k, 0', [0.173645, -1.03028, 1.0]], ['2, k, 1', [0.209115, -0.741331, 1.0]], ['2, k, 2', [0.24315, -0.455253, 1.0]], ['2, k, 3', [0.212829, -0.332202, 1.0]], ['2, k, 4', [0.0292393, -0.645588, 1.0]], ['2, k, 5', [-0.0478546, -0.51599, 1.0]], ['2, k, 6', [-0.351397, -0.530661, 1.0]], ['2, k, 7', [-0.440163, -0.527286, 1.0]], ['2, k, 8', [0.33626, -0.588145, 1.0]], ['2, k, 9', [0.225589, -0.449638, 1.0]], ['2, k, 10', [0.00571564, -0.487571, 1.0]], ['2, k, 11', [-0.0160751, -0.453606, 1.0]], ['2, k, 12', [0.102054, -1.0324, 1.0]], ['2, k, 13', [0.0485482, -1.4049, 1.0]], ['2, k, 14', [0.0604051, -1.67162, 1.0]], ['2, k, 15', [-0.0160371, -1.74431, 1.0]], ['2, k, 16', [0.241618, -1.00649, 1.0]], ['2, k, 17', [0.279754, -1.34082, 1.0]], ['2, k, 18', [0.286119, -1.4306, 1.0]], ['2, k, 19', [0.30015, -1.5304, 1.0]], ['2, k, 20', [0.234873, -0.526517, 1.0]], ['2, k, 21', [-0.488653, -0.518648, 1.0]], ['2, k, 22', [-0.385824, -0.554784, 1.0]], ['2, k, 23', [-0.0429999, -0.466558, 1.0]], ['2, k, 24', [0.00732758, -0.43848, 1.0]]]
[['2, k, 0', [0.193581, -1.03052, 1.0]], ['2, k, 1', [0.219197, -0.737451, 1.0]], ['2, k, 2', [0.246863, -0.450406, 1.0]], ['2, k, 3', [0.213117, -0.332784, 1.0]], ['2, k, 4', [0.0304986, -0.644625, 1.0]], ['2, k, 5', [-0.153851, -0.694434, 1.0]], ['2, k, 6', [-0.429281, -0.534248, 1.0]], ['2, k, 7', [-0.458922, -0.53072, 1.0]], ['2, k, 8', [0.338099, -0.582738, 1.0]], ['2, k, 9', [0.213853, -0.495059, 1.0]], ['2, k, 10', [0.0331782, -0.457231, 1.0]], ['2, k, 11', [-0.024208, -0.440637, 1.0]], ['2, k, 12', [0.123777, -1.03484, 1.0]], ['2, k, 13', [0.0560178, -1.34264, 1.0]], ['2, k, 14', [0.0576699, -1.67451, 1.0]], ['2, k, 15', [-0.00905982, -1.71571, 1.0]], ['2, k, 16', [0.258447, -1.00409, 1.0]], ['2, k, 17', [0.251218, -1.31871, 1.0]], ['2, k, 18', [0.309432, -1.54952, 1.0]], ['2, k, 19', [0.281409, -1.44322, 1.0]], ['2, k, 20', [0.239817, -0.521696, 1.0]], ['2, k, 21', [-0.493741, -0.524047, 1.0]], ['2, k, 22', [-0.4551, -0.509199, 1.0]], ['2, k, 23', [-0.0401512, -0.440971, 1.0]], ['2, k, 24', [0.0172375, -0.43863, 1.0]]]
[['2, k, 0', [0.17275, -1.06711, 1.0]], ['2, k, 1', [0.214829, -0.746991, 1.0]], ['2, k, 2', [0.247786, -0.447919, 1.0]], ['2, k, 3', [0.213526, -0.332887, 1.0]], ['2, k, 4', [0.0297767, -0.64386, 1.0]], ['2, k, 5', [-0.223756, -0.588645, 1.0]], ['2, k, 6', [-0.437373, -0.544626, 1.0]], ['2, k, 7', [-0.462494, -0.534741, 1.0]], ['2, k, 8', [0.354169, -0.517097, 1.0]], ['2, k, 9', [0.208316, -0.489249, 1.0]], ['2, k, 10', [0.0391698, -0.469557, 1.0]], ['2, k, 11', [-0.0570022, -0.441064, 1.0]], ['2, k, 12', [0.104706, -1.08201, 1.0]], ['2, k, 13', [0.077943, -1.39963, 1.0]], ['2, k, 14', [0.0604822, -1.67137, 1.0]], ['2, k, 15', [-0.0113095, -1.69832, 1.0]], ['2, k, 16', [0.234829, -1.03208, 1.0]], ['2, k, 17', [0.257351, -1.34942, 1.0]], ['2, k, 18', [0.345743, -1.59507, 1.0]], ['2, k, 19', [0.30525, -1.47023, 1.0]], ['2, k, 20', [0.24004, -0.521255, 1.0]], ['2, k, 21', [-0.494812, -0.532315, 1.0]], ['2, k, 22', [-0.456321, -0.513047, 1.0]], ['2, k, 23', [-0.0825808, -0.440691, 1.0]], ['2, k, 24', [-0.0195102, -0.43939, 1.0]]]
[['2, k, 0', [0.17269, -1.06705, 1.0]], ['2, k, 1', [0.213819, -0.7482, 1.0]], ['2, k, 2', [0.247659, -0.447647, 1.0]], ['2, k, 3', [0.214007, -0.331781, 1.0]], ['2, k, 4', [0.0296505, -0.644084, 1.0]], ['2, k, 5', [-0.211718, -0.594003, 1.0]], ['2, k, 6', [-0.415934, -0.555049, 1.0]], ['2, k, 7', [-0.456483, -0.539852, 1.0]], ['2, k, 8', [0.351185, -0.516898, 1.0]], ['2, k, 9', [0.211964, -0.494892, 1.0]], ['2, k, 10', [-0.00311098, -0.462322, 1.0]], ['2, k, 11', [-0.0976878, -0.439117, 1.0]], ['2, k, 12', [0.105857, -1.08097, 1.0]], ['2, k, 13', [0.0798791, -1.39452, 1.0]], ['2, k, 14', [0.0594352, -1.67806, 1.0]], ['2, k, 15', [-0.00941939, -1.7006, 1.0]], ['2, k, 16', [0.234001, -1.03153, 1.0]], ['2, k, 17', [0.259726, -1.31625, 1.0]], ['2, k, 18', [0.323387, -1.57884, 1.0]], ['2, k, 19', [0.298215, -1.45785, 1.0]], ['2, k, 20', [0.23976, -0.521313, 1.0]], ['2, k, 21', [-0.488103, -0.532171, 1.0]], ['2, k, 22', [-0.453267, -0.521656, 1.0]], ['2, k, 23', [-0.123014, -0.44164, 1.0]], ['2, k, 24', [-0.0731341, -0.433734, 1.0]]]
[['2, k, 0', [0.172552, -1.06685, 1.0]], ['2, k, 1', [0.213559, -0.747451, 1.0]], ['2, k, 2', [0.25069, -0.439086, 1.0]], ['2, k, 3', [0.214282, -0.331497, 1.0]], ['2, k, 4', [0.036123, -0.644449, 1.0]], ['2, k, 5', [-0.119428, -0.703516, 1.0]], ['2, k, 6', [-0.23735, -0.518482, 1.0]], ['2, k, 7', [-0.286664, -0.49156, 1.0]], ['2, k, 8', [0.34414, -0.511016, 1.0]], ['2, k, 9', [0.139553, -0.493767, 1.0]], ['2, k, 10', [-0.0540795, -0.455222, 1.0]], ['2, k, 11', [-0.110708, -0.435677, 1.0]], ['2, k, 12', [0.108865, -1.07951, 1.0]], ['2, k, 13', [0.0805818, -1.39315, 1.0]], ['2, k, 14', [0.0586835, -1.68561, 1.0]], ['2, k, 15', [-0.0183723, -1.70846, 1.0]], ['2, k, 16', [0.23017, -1.0302, 1.0]], ['2, k, 17', [0.254566, -1.33828, 1.0]], ['2, k, 18', [0.353097, -1.60957, 1.0]], ['2, k, 19', [0.309772, -1.48526, 1.0]], ['2, k, 20', [0.241597, -0.515673, 1.0]], ['2, k, 21', [-0.280768, -0.488721, 1.0]], ['2, k, 22', [-0.284395, -0.487669, 1.0]], ['2, k, 23', [-0.152199, -0.43099, 1.0]], ['2, k, 24', [-0.0902191, -0.44237, 1.0]]]
[['2, k, 0', [0.172602, -1.066, 1.0]], ['2, k, 1', [0.212793, -0.745196, 1.0]], ['2, k, 2', [0.249648, -0.43261, 1.0]], ['2, k, 3', [0.214773, -0.330501, 1.0]], ['2, k, 4', [0.036065, -0.643374, 1.0]], ['2, k, 5', [0.0540168, -0.773095, 1.0]], ['2, k, 6', [-0.0131114, -0.609887, 1.0]], ['2, k, 7', [-0.101649, -0.59859, 1.0]], ['2, k, 8', [0.323766, -0.520067, 1.0]], ['2, k, 9', [0.136498, -0.496776, 1.0]], ['2, k, 10', [-0.0897845, -0.455171, 1.0]], ['2, k, 11', [-0.146229, -0.437915, 1.0]], ['2, k, 12', [0.110921, -1.07728, 1.0]], ['2, k, 13', [0.0809976, -1.39507, 1.0]], ['2, k, 14', [0.0582074, -1.69559, 1.0]], ['2, k, 15', [-0.023616, -1.7182, 1.0]], ['2, k, 16', [0.228904, -1.02963, 1.0]], ['2, k, 17', [0.254711, -1.34002, 1.0]], ['2, k, 18', [0.364994, -1.61768, 1.0]], ['2, k, 19', [0.314525, -1.49034, 1.0]], ['2, k, 20', [0.240636, -0.510332, 1.0]], ['2, k, 21', [-0.096376, -0.595332, 1.0]], ['2, k, 22', [-0.100824, -0.593731, 1.0]], ['2, k, 23', [-0.190501, -0.433172, 1.0]], ['2, k, 24', [-0.127162, -0.44166, 1.0]]]
[['2, k, 0', [0.173108, -1.06471, 1.0]], ['2, k, 1', [0.213288, -0.743397, 1.0]], ['2, k, 2', [0.250525, -0.429179, 1.0]], ['2, k, 3', [0.214859, -0.330409, 1.0]], ['2, k, 4', [0.0371282, -0.640568, 1.0]], ['2, k, 5', [0.0556068, -0.769567, 1.0]], ['2, k, 6', [-0.0424718, -0.610416, 1.0]], ['2, k, 7', [-0.105804, -0.597449, 1.0]], ['2, k, 8', [0.321073, -0.520205, 1.0]], ['2, k, 9', [0.107134, -0.490787, 1.0]], ['2, k, 10', [-0.0773343, -0.462868, 1.0]], ['2, k, 11', [-0.175235, -0.441058, 1.0]], ['2, k, 12', [0.112923, -1.07522, 1.0]], ['2, k, 13', [0.0818141, -1.39756, 1.0]], ['2, k, 14', [0.0572635, -1.70323, 1.0]], ['2, k, 15', [-0.0231531, -1.72395, 1.0]], ['2, k, 16', [0.228643, -1.02895, 1.0]], ['2, k, 17', [0.255277, -1.34091, 1.0]], ['2, k, 18', [0.371306, -1.62106, 1.0]], ['2, k, 19', [0.31948, -1.49806, 1.0]], ['2, k, 20', [0.241424, -0.507371, 1.0]], ['2, k, 21', [-0.100514, -0.594184, 1.0]], ['2, k, 22', [-0.102584, -0.593237, 1.0]], ['2, k, 23', [-0.217804, -0.43505, 1.0]], ['2, k, 24', [-0.175137, -0.416701, 1.0]]]
[['2, k, 0', [0.173577, -1.0717, 1.0]], ['2, k, 1', [0.213786, -0.744409, 1.0]], ['2, k, 2', [0.251959, -0.423378, 1.0]], ['2, k, 3', [0.213966, -0.330896, 1.0]], ['2, k, 4', [0.0383589, -0.636712, 1.0]], ['2, k, 5', [0.0574785, -0.764496, 1.0]], ['2, k, 6', [0.0409124, -0.579666, 1.0]], ['2, k, 7', [-0.00662568, -0.50354, 1.0]], ['2, k, 8', [0.311691, -0.51624, 1.0]], ['2, k, 9', [0.0811005, -0.486629, 1.0]], ['2, k, 10', [-0.0962929, -0.46223, 1.0]], ['2, k, 11', [-0.208659, -0.442969, 1.0]], ['2, k, 12', [0.115103, -1.08254, 1.0]], ['2, k, 13', [0.0832812, -1.39916, 1.0]], ['2, k, 14', [0.0571092, -1.71275, 1.0]], ['2, k, 15', [-0.02322, -1.73184, 1.0]], ['2, k, 16', [0.22768, -1.03588, 1.0]], ['2, k, 17', [0.252781, -1.32465, 1.0]], ['2, k, 18', [0.344603, -1.61884, 1.0]], ['2, k, 19', [0.307609, -1.49362, 1.0]], ['2, k, 20', [0.242534, -0.503929, 1.0]], ['2, k, 21', [-0.041798, -0.497872, 1.0]], ['2, k, 22', [-0.057484, -0.498577, 1.0]], ['2, k, 23', [-0.252174, -0.44368, 1.0]], ['2, k, 24', [-0.231483, -0.433495, 1.0]]]
[['2, k, 0', [0.173824, -1.07339, 1.0]], ['2, k, 1', [0.214018, -0.744608, 1.0]], ['2, k, 2', [0.25224, -0.421364, 1.0]], ['2, k, 3', [0.214195, -0.33029, 1.0]], ['2, k, 4', [0.0387618, -0.634848, 1.0]], ['2, k, 5', [0.0580326, -0.762428, 1.0]], ['2, k, 6', [0.0241633, -0.571338, 1.0]], ['2, k, 7', [-0.0369825, -0.491543, 1.0]], ['2, k, 8', [0.308684, -0.513193, 1.0]], ['2, k, 9', [0.0667026, -0.486613, 1.0]], ['2, k, 10', [-0.116633, -0.461161, 1.0]], ['2, k, 11', [-0.228921, -0.445931, 1.0]], ['2, k, 12', [0.115641, -1.08473, 1.0]], ['2, k, 13', [0.0841241, -1.40064, 1.0]], ['2, k, 14', [0.0566169, -1.72056, 1.0]], ['2, k, 15', [-0.0265733, -1.7403, 1.0]], ['2, k, 16', [0.227724, -1.03695, 1.0]], ['2, k, 17', [0.2564, -1.33547, 1.0]], ['2, k, 18', [0.345651, -1.63761, 1.0]], ['2, k, 19', [0.311078, -1.50683, 1.0]], ['2, k, 20', [0.242843, -0.502315, 1.0]], ['2, k, 21', [-0.0680612, -0.479157, 1.0]], ['2, k, 22', [-0.0695503, -0.497965, 1.0]], ['2, k, 23', [-0.273385, -0.444525, 1.0]], ['2, k, 24', [-0.227169, -0.422142, 1.0]]]
[['2, k, 0', [0.175837, -1.06342, 1.0]], ['2, k, 1', [0.215038, -0.739308, 1.0]], ['2, k, 2', [0.252647, -0.418846, 1.0]], ['2, k, 3', [0.213356, -0.32937, 1.0]], ['2, k, 4', [0.0392975, -0.632424, 1.0]], ['2, k, 5', [0.0587066, -0.759855, 1.0]], ['2, k, 6', [-0.0772633, -0.600928, 1.0]], ['2, k, 7', [-0.139782, -0.585909, 1.0]], ['2, k, 8', [0.305077, -0.510253, 1.0]], ['2, k, 9', [0.0577998, -0.485969, 1.0]], ['2, k, 10', [-0.186072, -0.459331, 1.0]], ['2, k, 11', [-0.247796, -0.449326, 1.0]], ['2, k, 12', [0.121502, -1.06544, 1.0]], ['2, k, 13', [0.0848351, -1.40092, 1.0]], ['2, k, 14', [0.057947, -1.72451, 1.0]], ['2, k, 15', [-0.0239085, -1.74349, 1.0]], ['2, k, 16', [0.227684, -1.03333, 1.0]], ['2, k, 17', [0.256809, -1.34354, 1.0]], ['2, k, 18', [0.374307, -1.63867, 1.0]], ['2, k, 19', [0.324683, -1.51747, 1.0]], ['2, k, 20', [0.243438, -0.498915, 1.0]], ['2, k, 21', [-0.170495, -0.573258, 1.0]], ['2, k, 22', [-0.171514, -0.591712, 1.0]], ['2, k, 23', [-0.290622, -0.445442, 1.0]], ['2, k, 24', [-0.246909, -0.422571, 1.0]]]
[['2, k, 0', [0.1762, -1.06216, 1.0]], ['2, k, 1', [0.214771, -0.737711, 1.0]], ['2, k, 2', [0.251428, -0.417216, 1.0]], ['2, k, 3', [0.213623, -0.328815, 1.0]], ['2, k, 4', [0.0383592, -0.630702, 1.0]], ['2, k, 5', [0.05779, -0.758141, 1.0]], ['2, k, 6', [-0.0801057, -0.593615, 1.0]], ['2, k, 7', [-0.245259, -0.456294, 1.0]], ['2, k, 8', [0.302065, -0.508405, 1.0]], ['2, k, 9', [0.0406306, -0.492544, 1.0]], ['2, k, 10', [-0.152789, -0.465892, 1.0]], ['2, k, 11', [-0.243451, -0.454146, 1.0]], ['2, k, 12', [0.121712, -1.06418, 1.0]], ['2, k, 13', [0.0858287, -1.40306, 1.0]], ['2, k, 14', [0.0572829, -1.73189, 1.0]], ['2, k, 15', [-0.0269797, -1.75134, 1.0]], ['2, k, 16', [0.227867, -1.03262, 1.0]], ['2, k, 17', [0.2647, -1.33699, 1.0]], ['2, k, 18', [0.341075, -1.65018, 1.0]], ['2, k, 19', [0.304484, -1.52137, 1.0]], ['2, k, 20', [0.242492, -0.497169, 1.0]], ['2, k, 21', [-0.284258, -0.44233, 1.0]], ['2, k, 22', [-0.284288, -0.47149, 1.0]], ['2, k, 23', [-0.298529, -0.446618, 1.0]], ['2, k, 24', [-0.262423, -0.427982, 1.0]]]
