[['2, k, 0', [-0.714564, -1.02258, 1.0]], ['2, k, 1', [-0.728061, -0.735323, 1.0]], ['2, k, 2', [-0.738806, -0.450528, 1.0]], ['2, k, 3', [-0.757616, -0.310117, 1.0]], ['2, k, 4', [-0.891174, -0.495124, 1.0]], ['2, k, 5', [-0.982594, -0.304049, 1.0]], ['2, k, 6', [-1.05116, -0.107588, 1.0]], ['2, k, 7', [-1.08384, -0.0199946, 1.0]], ['2, k, 8', [-0.583573, -0.477559, 1.0]], ['2, k, 9', [-0.493638, -0.35098, 1.0]], ['2, k, 10', [-0.476488, -0.205242, 1.0]], ['2, k, 11', [-0.443436, -0.131926, 1.0]], ['2, k, 12', [-0.777525, -1.01668, 1.0]], ['2, k, 13', [-0.90548, -1.25589, 1.0]], ['2, k, 14', [-0.887596, -1.54159, 1.0]], ['2, k, 15', [-0.862712, -1.58001, 1.0]], ['2, k, 16', [-0.637759, -1.00867, 1.0]], ['2, k, 17', [-0.53711, -1.28417, 1.0]], ['2, k, 18', [-0.559382, -1.50023, 1.0]], ['2, k, 19', [-0.532227, -1.56152, 1.0]], ['2, k, 20', [-0.736619, -0.521506, 1.0]], ['2, k, 21', [-1.09408, 0.0425926, 1.0]], ['2, k, 22', [-1.11476, 0.0243922, 1.0]], ['2, k, 23', [-0.408746, -0.0697055, 1.0]], ['2, k, 24', [-0.459387, -0.136694, 1.0]]]
[['2, k, 0', [-0.710029, -1.02667, 1.0]], ['2, k, 1', [-0.726972, -0.736295, 1.0]], ['2, k, 2', [-0.73875, -0.450569, 1.0]], ['2, k, 3', [-0.757823, -0.310012, 1.0]], ['2, k, 4', [-0.891857, -0.496157, 1.0]], ['2, k, 5', [-1.00207, -0.257102, 1.0]], ['2, k, 6', [-1.08469, -0.0359085, 1.0]], ['2, k, 7', [-1.09951, 0.0414024, 1.0]], ['2, k, 8', [-0.583761, -0.477808, 1.0]], ['2, k, 9', [-0.489622, -0.256645, 1.0]], ['2, k, 10', [-0.407929, -0.0555373, 1.0]], ['2, k, 11', [-0.402231, -0.028494, 1.0]], ['2, k, 12', [-0.771266, -1.02264, 1.0]], ['2, k, 13', [-0.854552, -1.34315, 1.0]], ['2, k, 14', [-0.900558, -1.60988, 1.0]], ['2, k, 15', [-0.888685, -1.63349, 1.0]], ['2, k, 16', [-0.634668, -1.01115, 1.0]], ['2, k, 17', [-0.568729, -1.35802, 1.0]], ['2, k, 18', [-0.555345, -1.68249, 1.0]], ['2, k, 19', [-0.532501, -1.56196, 1.0]], ['2, k, 20', [-0.736546, -0.521626, 1.0]], ['2, k, 21', [-1.10244, 0.0932878, 1.0]], ['2, k, 22', [-1.12255, 0.040342, 1.0]], ['2, k, 23', [-0.371375, 0.00750922, 1.0]], ['2, k, 24', [-0.414767, -0.0257399, 1.0]]]
[['2, k, 0', [-0.712935, -0.997402, 1.0]], ['2, k, 1', [-0.728419, -0.726194, 1.0]], ['2, k, 2', [-0.739415, -0.449503, 1.0]], ['2, k, 3', [-0.758781, -0.308852, 1.0]], ['2, k, 4', [-0.892131, -0.495962, 1.0]], ['2, k, 5', [-1.01169, -0.280284, 1.0]], ['2, k, 6', [-1.08822, -0.042276, 1.0]], ['2, k, 7', [-1.11127, 0.0434902, 1.0]], ['2, k, 8', [-0.585016, -0.472062, 1.0]], ['2, k, 9', [-0.490265, -0.256185, 1.0]], ['2, k, 10', [-0.430088, -0.0664737, 1.0]], ['2, k, 11', [-0.414725, -0.0189016, 1.0]], ['2, k, 12', [-0.774729, -1.00062, 1.0]], ['2, k, 13', [-0.830846, -1.27594, 1.0]], ['2, k, 14', [-0.889257, -1.54644, 1.0]], ['2, k, 15', [-0.883154, -1.57068, 1.0]], ['2, k, 16', [-0.63619, -0.980052, 1.0]], ['2, k, 17', [-0.585399, -1.2529, 1.0]], ['2, k, 18', [-0.552469, -1.51202, 1.0]], ['2, k, 19', [-0.523688, -1.5544, 1.0]], ['2, k, 20', [-0.7373, -0.519651, 1.0]], ['2, k, 21', [-1.10774, 0.0919399, 1.0]], ['2, k, 22', [-1.13856, 0.0406629, 1.0]], ['2, k, 23', [-0.407336, 0.0435531, 1.0]], ['2, k, 24', [-0.427459, -0.0293921, 1.0]]]
[['2, k, 0', [-0.71286, -0.997018, 1.0]], ['2, k, 1', [-0.728729, -0.7249, 1.0]], ['2, k, 2', [-0.739893, -0.449521, 1.0]], ['2, k, 3', [-0.759722, -0.308382, 1.0]], ['2, k, 4', [-0.893119, -0.495411, 1.0]], ['2, k, 5', [-1.01641, -0.276621, 1.0]], ['2, k, 6', [-1.09893, -0.0463641, 1.0]], ['2, k, 7', [-1.12441, 0.0382189, 1.0]], ['2, k, 8', [-0.587482, -0.467795, 1.0]], ['2, k, 9', [-0.493415, -0.253855, 1.0]], ['2, k, 10', [-0.430214, -0.063335, 1.0]], ['2, k, 11', [-0.427761, -0.012524, 1.0]], ['2, k, 12', [-0.774845, -0.998703, 1.0]], ['2, k, 13', [-0.830949, -1.27685, 1.0]], ['2, k, 14', [-0.88875, -1.54765, 1.0]], ['2, k, 15', [-0.882838, -1.57199, 1.0]], ['2, k, 16', [-0.636149, -0.979579, 1.0]], ['2, k, 17', [-0.586114, -1.24839, 1.0]], ['2, k, 18', [-0.552579, -1.51189, 1.0]], ['2, k, 19', [-0.524242, -1.55372, 1.0]], ['2, k, 20', [-0.737793, -0.519322, 1.0]], ['2, k, 21', [-1.12916, 0.0789385, 1.0]], ['2, k, 22', [-1.14257, 0.0115578, 1.0]], ['2, k, 23', [-0.412838, 0.0447216, 1.0]], ['2, k, 24', [-0.433218, 0.0235638, 1.0]]]
[['2, k, 0', [-0.71282, -0.99696, 1.0]], ['2, k, 1', [-0.729108, -0.723955, 1.0]], ['2, k, 2', [-0.740793, -0.448984, 1.0]], ['2, k, 3', [-0.763658, -0.307275, 1.0]], ['2, k, 4', [-0.894671, -0.495387, 1.0]], ['2, k, 5', [-1.01975, -0.276286, 1.0]], ['2, k, 6', [-1.1113, -0.0498025, 1.0]], ['2, k, 7', [-1.14025, 0.0307177, 1.0]], ['2, k, 8', [-0.589502, -0.464929, 1.0]], ['2, k, 9', [-0.499996, -0.253599, 1.0]], ['2, k, 10', [-0.438069, -0.0618543, 1.0]], ['2, k, 11', [-0.442338, -0.0168136, 1.0]], ['2, k, 12', [-0.774965, -0.99807, 1.0]], ['2, k, 13', [-0.830465, -1.27921, 1.0]], ['2, k, 14', [-0.888771, -1.54838, 1.0]], ['2, k, 15', [-0.883974, -1.57231, 1.0]], ['2, k, 16', [-0.636115, -0.979464, 1.0]], ['2, k, 17', [-0.585575, -1.24857, 1.0]], ['2, k, 18', [-0.552274, -1.5109, 1.0]], ['2, k, 19', [-0.525003, -1.55291, 1.0]], ['2, k, 20', [-0.738568, -0.518505, 1.0]], ['2, k, 21', [-1.15052, 0.0716395, 1.0]], ['2, k, 22', [-1.1622, 0.00211177, 1.0]], ['2, k, 23', [-0.417534, 0.0446858, 1.0]], ['2, k, 24', [-0.454525, 0.00621551, 1.0]]]
[['2, k, 0', [-0.712705, -0.996988, 1.0]], ['2, k, 1', [-0.729521, -0.723274, 1.0]], ['2, k, 2', [-0.742655, -0.447937, 1.0]], ['2, k, 3', [-0.771933, -0.306466, 1.0]], ['2, k, 4', [-0.898946, -0.497291, 1.0]], ['2, k, 5', [-1.0269, -0.281967, 1.0]], ['2, k, 6', [-1.13056, -0.0786102, 1.0]], ['2, k, 7', [-1.15626, 0.00943642, 1.0]], ['2, k, 8', [-0.589494, -0.464843, 1.0]], ['2, k, 9', [-0.503579, -0.214507, 1.0]], ['2, k, 10', [-0.432918, -0.0227125, 1.0]], ['2, k, 11', [-0.462404, -0.0226399, 1.0]], ['2, k, 12', [-0.774768, -0.997814, 1.0]], ['2, k, 13', [-0.82979, -1.28057, 1.0]], ['2, k, 14', [-0.887896, -1.54939, 1.0]], ['2, k, 15', [-0.883832, -1.57331, 1.0]], ['2, k, 16', [-0.6358, -0.979497, 1.0]], ['2, k, 17', [-0.584943, -1.24902, 1.0]], ['2, k, 18', [-0.552142, -1.51119, 1.0]], ['2, k, 19', [-0.52585, -1.55327, 1.0]], ['2, k, 20', [-0.740004, -0.517336, 1.0]], ['2, k, 21', [-1.1608, 0.0606218, 1.0]], ['2, k, 22', [-1.18424, 0.00836662, 1.0]], ['2, k, 23', [-0.442652, 0.0441938, 1.0]], ['2, k, 24', [-0.472675, -0.00773924, 1.0]]]
[['2, k, 0', [-0.711672, -0.997781, 1.0]], ['2, k, 1', [-0.729414, -0.722899, 1.0]], ['2, k, 2', [-0.743633, -0.446852, 1.0]], ['2, k, 3', [-0.779566, -0.305906, 1.0]], ['2, k, 4', [-0.89909, -0.497369, 1.0]], ['2, k, 5', [-1.03097, -0.292216, 1.0]], ['2, k, 6', [-1.14692, -0.0670469, 1.0]], ['2, k, 7', [-1.16864, 0.00881307, 1.0]], ['2, k, 8', [-0.594369, -0.458839, 1.0]], ['2, k, 9', [-0.507891, -0.213716, 1.0]], ['2, k, 10', [-0.468842, 0.00891519, 1.0]], ['2, k, 11', [-0.475567, 0.121629, 1.0]], ['2, k, 12', [-0.773583, -0.99893, 1.0]], ['2, k, 13', [-0.829005, -1.28237, 1.0]], ['2, k, 14', [-0.887096, -1.54979, 1.0]], ['2, k, 15', [-0.884691, -1.57302, 1.0]], ['2, k, 16', [-0.634828, -0.979745, 1.0]], ['2, k, 17', [-0.582785, -1.25346, 1.0]], ['2, k, 18', [-0.551955, -1.5115, 1.0]], ['2, k, 19', [-0.528015, -1.55368, 1.0]], ['2, k, 20', [-0.740661, -0.5163, 1.0]], ['2, k, 21', [-1.17352, 0.0545618, 1.0]], ['2, k, 22', [-1.19316, 0.00299235, 1.0]], ['2, k, 23', [-0.484828, 0.164161, 1.0]], ['2, k, 24', [-0.522824, 0.152332, 1.0]]]
[['2, k, 0', [-0.710238, -1.00203, 1.0]], ['2, k, 1', [-0.730027, -0.723019, 1.0]], ['2, k, 2', [-0.748275, -0.443874, 1.0]], ['2, k, 3', [-0.785624, -0.303927, 1.0]], ['2, k, 4', [-0.906692, -0.498127, 1.0]], ['2, k, 5', [-1.04302, -0.295492, 1.0]], ['2, k, 6', [-1.1582, -0.06715, 1.0]], ['2, k, 7', [-1.18503, 0.000800959, 1.0]], ['2, k, 8', [-0.594255, -0.459419, 1.0]], ['2, k, 9', [-0.519177, -0.215434, 1.0]], ['2, k, 10', [-0.474687, 0.0112635, 1.0]], ['2, k, 11', [-0.488051, 0.116191, 1.0]], ['2, k, 12', [-0.772774, -1.00138, 1.0]], ['2, k, 13', [-0.827845, -1.2861, 1.0]], ['2, k, 14', [-0.884562, -1.55248, 1.0]], ['2, k, 15', [-0.882494, -1.57571, 1.0]], ['2, k, 16', [-0.633256, -0.984388, 1.0]], ['2, k, 17', [-0.581443, -1.25554, 1.0]], ['2, k, 18', [-0.552056, -1.51154, 1.0]], ['2, k, 19', [-0.529358, -1.55309, 1.0]], ['2, k, 20', [-0.743919, -0.514257, 1.0]], ['2, k, 21', [-1.1941, 0.0462447, 1.0]], ['2, k, 22', [-1.1089, 0.0396003, 1.0]], ['2, k, 23', [-0.491273, 0.16416, 1.0]], ['2, k, 24', [-0.526297, 0.149997, 1.0]]]
[['2, k, 0', [-0.709301, -1.00589, 1.0]], ['2, k, 1', [-0.730459, -0.723257, 1.0]], ['2, k, 2', [-0.750607, -0.442295, 1.0]], ['2, k, 3', [-0.794245, -0.304451, 1.0]], ['2, k, 4', [-0.916248, -0.504342, 1.0]], ['2, k, 5', [-1.05427, -0.303709, 1.0]], ['2, k, 6', [-1.17667, -0.0832617, 1.0]], ['2, k, 7', [-1.20443, -0.0198204, 1.0]], ['2, k, 8', [-0.59425, -0.459499, 1.0]], ['2, k, 9', [-0.531859, -0.214053, 1.0]], ['2, k, 10', [-0.494476, 0.0619401, 1.0]], ['2, k, 11', [-0.519393, 0.153497, 1.0]], ['2, k, 12', [-0.771891, -1.0058, 1.0]], ['2, k, 13', [-0.827627, -1.29532, 1.0]], ['2, k, 14', [-0.8845, -1.55375, 1.0]], ['2, k, 15', [-0.883675, -1.57595, 1.0]], ['2, k, 16', [-0.632494, -0.987002, 1.0]], ['2, k, 17', [-0.580597, -1.25567, 1.0]], ['2, k, 18', [-0.55343, -1.51147, 1.0]], ['2, k, 19', [-0.532616, -1.55278, 1.0]], ['2, k, 20', [-0.745699, -0.513174, 1.0]], ['2, k, 21', [-1.21307, 0.0340532, 1.0]], ['2, k, 22', [-1.17246, 0.0408265, 1.0]], ['2, k, 23', [-0.528679, 0.199293, 1.0]], ['2, k, 24', [-0.571867, 0.154384, 1.0]]]
[['2, k, 0', [-0.708458, -1.00635, 1.0]], ['2, k, 1', [-0.731306, -0.723235, 1.0]], ['2, k, 2', [-0.755408, -0.441699, 1.0]], ['2, k, 3', [-0.805869, -0.302767, 1.0]], ['2, k, 4', [-0.920989, -0.505727, 1.0]], ['2, k, 5', [-1.07027, -0.302022, 1.0]], ['2, k, 6', [-1.18866, -0.0999735, 1.0]], ['2, k, 7', [-1.22162, -0.0390762, 1.0]], ['2, k, 8', [-0.594573, -0.45917, 1.0]], ['2, k, 9', [-0.54918, -0.203974, 1.0]], ['2, k, 10', [-0.509713, 0.045983, 1.0]], ['2, k, 11', [-0.531649, 0.152074, 1.0]], ['2, k, 12', [-0.770984, -1.00548, 1.0]], ['2, k, 13', [-0.827631, -1.29536, 1.0]], ['2, k, 14', [-0.884523, -1.55418, 1.0]], ['2, k, 15', [-0.884001, -1.57604, 1.0]], ['2, k, 16', [-0.631746, -0.987975, 1.0]], ['2, k, 17', [-0.578983, -1.25682, 1.0]], ['2, k, 18', [-0.553505, -1.51311, 1.0]], ['2, k, 19', [-0.533778, -1.554, 1.0]], ['2, k, 20', [-0.749424, -0.51252, 1.0]], ['2, k, 21', [-1.23861, 0.0140219, 1.0]], ['2, k, 22', [-1.1628, 0.0124356, 1.0]], ['2, k, 23', [-0.545214, 0.20067, 1.0]], ['2, k, 24', [-0.562622, 0.165477, 1.0]]]
[['2, k, 0', [-0.707278, -1.00707, 1.0]], ['2, k, 1', [-0.732168, -0.723535, 1.0]], ['2, k, 2', [-0.759859, -0.442127, 1.0]], ['2, k, 3', [-0.810803, -0.303366, 1.0]], ['2, k, 4', [-0.924013, -0.511698, 1.0]], ['2, k, 5', [-1.07695, -0.318102, 1.0]], ['2, k, 6', [-1.22183, -0.0991474, 1.0]], ['2, k, 7', [-1.23826, -0.0423274, 1.0]], ['2, k, 8', [-0.601155, -0.459163, 1.0]], ['2, k, 9', [-0.559306, -0.190028, 1.0]], ['2, k, 10', [-0.534812, 0.0553405, 1.0]], ['2, k, 11', [-0.556903, 0.157439, 1.0]], ['2, k, 12', [-0.770093, -1.00564, 1.0]], ['2, k, 13', [-0.827915, -1.29791, 1.0]], ['2, k, 14', [-0.884623, -1.55499, 1.0]], ['2, k, 15', [-0.885419, -1.57637, 1.0]], ['2, k, 16', [-0.630337, -0.989235, 1.0]], ['2, k, 17', [-0.578203, -1.2569, 1.0]], ['2, k, 18', [-0.554253, -1.51319, 1.0]], ['2, k, 19', [-0.536601, -1.55385, 1.0]], ['2, k, 20', [-0.752971, -0.512768, 1.0]], ['2, k, 21', [-1.25045, 0.00283897, 1.0]], ['2, k, 22', [-1.18111, 0.00474411, 1.0]], ['2, k, 23', [-0.57155, 0.208922, 1.0]], ['2, k, 24', [-0.599955, 0.15263, 1.0]]]
