[['2, k, 0', [-0.0485279, -0.571255, 1.0]], ['2, k, 1', [-0.0514557, -0.267005, 1.0]], ['2, k, 2', [-0.054035, 0.0312029, 1.0]], ['2, k, 3', [-0.0315579, 0.178307, 1.0]], ['2, k, 4', [-0.235058, -0.0709785, 1.0]], ['2, k, 5', [-0.292566, -0.324248, 1.0]], ['2, k, 6', [-0.313088, -0.521858, 1.0]], ['2, k, 7', [-0.313166, -0.51108, 1.0]], ['2, k, 8', [0.128801, -0.101058, 1.0]], ['2, k, 9', [0.194964, -0.331006, 1.0]], ['2, k, 10', [0.232223, -0.522682, 1.0]], ['2, k, 11', [0.217947, -0.511873, 1.0]], ['2, k, 12', [-0.130816, -0.556505, 1.0]], ['2, k, 13', [-0.159356, -0.840622, 1.0]], ['2, k, 14', [-0.197563, -1.14757, 1.0]], ['2, k, 15', [-0.208252, -1.22461, 1.0]], ['2, k, 16', [0.0351068, -0.570277, 1.0]], ['2, k, 17', [0.0739066, -0.853093, 1.0]], ['2, k, 18', [0.123561, -1.15159, 1.0]], ['2, k, 19', [0.153076, -1.22559, 1.0]], ['2, k, 20', [-0.0534491, -0.0425498, 1.0]], ['2, k, 21', [-0.330398, -0.548272, 1.0]], ['2, k, 22', [-0.258042, -0.531707, 1.0]], ['2, k, 23', [0.236524, -0.542614, 1.0]], ['2, k, 24', [0.291568, -0.520875, 1.0]]]
[['2, k, 0', [-0.048501, -0.571239, 1.0]], ['2, k, 1', [-0.0512946, -0.26707, 1.0]], ['2, k, 2', [-0.0536223, 0.0309753, 1.0]], ['2, k, 3', [-0.0315237, 0.178394, 1.0]], ['2, k, 4', [-0.233756, -0.0686948, 1.0]], ['2, k, 5', [-0.292697, -0.324233, 1.0]], ['2, k, 6', [-0.313147, -0.522372, 1.0]], ['2, k, 7', [-0.313263, -0.512289, 1.0]], ['2, k, 8', [0.128786, -0.101032, 1.0]], ['2, k, 9', [0.194969, -0.330995, 1.0]], ['2, k, 10', [0.232354, -0.522864, 1.0]], ['2, k, 11', [0.217539, -0.511667, 1.0]], ['2, k, 12', [-0.13076, -0.556346, 1.0]], ['2, k, 13', [-0.159461, -0.841148, 1.0]], ['2, k, 14', [-0.197737, -1.14763, 1.0]], ['2, k, 15', [-0.208176, -1.22388, 1.0]], ['2, k, 16', [0.0351285, -0.570379, 1.0]], ['2, k, 17', [0.0740176, -0.853032, 1.0]], ['2, k, 18', [0.123287, -1.15019, 1.0]], ['2, k, 19', [0.153603, -1.22518, 1.0]], ['2, k, 20', [-0.05311, -0.0427288, 1.0]], ['2, k, 21', [-0.329733, -0.550386, 1.0]], ['2, k, 22', [-0.258286, -0.532075, 1.0]], ['2, k, 23', [0.244323, -0.545553, 1.0]], ['2, k, 24', [0.291639, -0.518847, 1.0]]]
[['2, k, 0', [-0.0485672, -0.571197, 1.0]], ['2, k, 1', [-0.0512689, -0.267124, 1.0]], ['2, k, 2', [-0.0535092, 0.0308225, 1.0]], ['2, k, 3', [-0.0315693, 0.178309, 1.0]], ['2, k, 4', [-0.233421, -0.068426, 1.0]], ['2, k, 5', [-0.292877, -0.324475, 1.0]], ['2, k, 6', [-0.314086, -0.522854, 1.0]], ['2, k, 7', [-0.314243, -0.51114, 1.0]], ['2, k, 8', [0.128749, -0.101102, 1.0]], ['2, k, 9', [0.194894, -0.331675, 1.0]], ['2, k, 10', [0.232675, -0.523538, 1.0]], ['2, k, 11', [0.216938, -0.511968, 1.0]], ['2, k, 12', [-0.130825, -0.556158, 1.0]], ['2, k, 13', [-0.159517, -0.84106, 1.0]], ['2, k, 14', [-0.19733, -1.14628, 1.0]], ['2, k, 15', [-0.20815, -1.22351, 1.0]], ['2, k, 16', [0.0350629, -0.570431, 1.0]], ['2, k, 17', [0.0741349, -0.852682, 1.0]], ['2, k, 18', [0.12339, -1.14963, 1.0]], ['2, k, 19', [0.152863, -1.22343, 1.0]], ['2, k, 20', [-0.0530197, -0.0428556, 1.0]], ['2, k, 21', [-0.329301, -0.550137, 1.0]], ['2, k, 22', [-0.258098, -0.532288, 1.0]], ['2, k, 23', [0.236663, -0.544588, 1.0]], ['2, k, 24', [0.290127, -0.518115, 1.0]]]
[['2, k, 0', [-0.048623, -0.570861, 1.0]], ['2, k, 1', [-0.0513382, -0.267037, 1.0]], ['2, k, 2', [-0.0535907, 0.030772, 1.0]], ['2, k, 3', [-0.0315577, 0.17822, 1.0]], ['2, k, 4', [-0.233581, -0.0686541, 1.0]], ['2, k, 5', [-0.292869, -0.324889, 1.0]], ['2, k, 6', [-0.314564, -0.523264, 1.0]], ['2, k, 7', [-0.312776, -0.511374, 1.0]], ['2, k, 8', [0.128673, -0.101038, 1.0]], ['2, k, 9', [0.194894, -0.331688, 1.0]], ['2, k, 10', [0.232606, -0.52369, 1.0]], ['2, k, 11', [0.216869, -0.511933, 1.0]], ['2, k, 12', [-0.130859, -0.555899, 1.0]], ['2, k, 13', [-0.159475, -0.840105, 1.0]], ['2, k, 14', [-0.196534, -1.1443, 1.0]], ['2, k, 15', [-0.208882, -1.22179, 1.0]], ['2, k, 16', [0.0349825, -0.570039, 1.0]], ['2, k, 17', [0.0740479, -0.852316, 1.0]], ['2, k, 18', [0.123936, -1.15026, 1.0]], ['2, k, 19', [0.152968, -1.22376, 1.0]], ['2, k, 20', [-0.0530974, -0.0428791, 1.0]], ['2, k, 21', [-0.330247, -0.548749, 1.0]], ['2, k, 22', [-0.258013, -0.531797, 1.0]], ['2, k, 23', [0.235509, -0.544437, 1.0]], ['2, k, 24', [0.2916, -0.519428, 1.0]]]
[['2, k, 0', [-0.0486735, -0.571211, 1.0]], ['2, k, 1', [-0.051345, -0.267322, 1.0]], ['2, k, 2', [-0.0535434, 0.0305398, 1.0]], ['2, k, 3', [-0.0316789, 0.178205, 1.0]], ['2, k, 4', [-0.233718, -0.0693056, 1.0]], ['2, k, 5', [-0.293183, -0.325076, 1.0]], ['2, k, 6', [-0.315322, -0.523634, 1.0]], ['2, k, 7', [-0.313836, -0.510702, 1.0]], ['2, k, 8', [0.128601, -0.10103, 1.0]], ['2, k, 9', [0.19496, -0.331552, 1.0]], ['2, k, 10', [0.232543, -0.523479, 1.0]], ['2, k, 11', [0.216976, -0.510683, 1.0]], ['2, k, 12', [-0.13091, -0.556371, 1.0]], ['2, k, 13', [-0.159411, -0.839694, 1.0]], ['2, k, 14', [-0.196092, -1.14513, 1.0]], ['2, k, 15', [-0.209906, -1.22214, 1.0]], ['2, k, 16', [0.0349289, -0.57031, 1.0]], ['2, k, 17', [0.0739311, -0.851446, 1.0]], ['2, k, 18', [0.125287, -1.15206, 1.0]], ['2, k, 19', [0.15306, -1.22488, 1.0]], ['2, k, 20', [-0.0530656, -0.0431334, 1.0]], ['2, k, 21', [-0.331526, -0.548117, 1.0]], ['2, k, 22', [-0.257752, -0.531659, 1.0]], ['2, k, 23', [0.236405, -0.542102, 1.0]], ['2, k, 24', [0.289341, -0.516741, 1.0]]]
[['2, k, 0', [-0.0489459, -0.571482, 1.0]], ['2, k, 1', [-0.0514495, -0.267447, 1.0]], ['2, k, 2', [-0.0535331, 0.0305244, 1.0]], ['2, k, 3', [-0.0317326, 0.178112, 1.0]], ['2, k, 4', [-0.233188, -0.068423, 1.0]], ['2, k, 5', [-0.293413, -0.325309, 1.0]], ['2, k, 6', [-0.315852, -0.523105, 1.0]], ['2, k, 7', [-0.312993, -0.50973, 1.0]], ['2, k, 8', [0.128557, -0.101039, 1.0]], ['2, k, 9', [0.194851, -0.331382, 1.0]], ['2, k, 10', [0.232504, -0.52338, 1.0]], ['2, k, 11', [0.216572, -0.510532, 1.0]], ['2, k, 12', [-0.131149, -0.556465, 1.0]], ['2, k, 13', [-0.159609, -0.839518, 1.0]], ['2, k, 14', [-0.1956, -1.14491, 1.0]], ['2, k, 15', [-0.209371, -1.22239, 1.0]], ['2, k, 16', [0.0345912, -0.570801, 1.0]], ['2, k, 17', [0.0739193, -0.851372, 1.0]], ['2, k, 18', [0.124945, -1.15172, 1.0]], ['2, k, 19', [0.155576, -1.22392, 1.0]], ['2, k, 20', [-0.05308, -0.0431729, 1.0]], ['2, k, 21', [-0.329316, -0.54612, 1.0]], ['2, k, 22', [-0.25519, -0.531062, 1.0]], ['2, k, 23', [0.237205, -0.542721, 1.0]], ['2, k, 24', [0.287463, -0.516301, 1.0]]]
[['2, k, 0', [-0.0486513, -0.570956, 1.0]], ['2, k, 1', [-0.0512718, -0.267309, 1.0]], ['2, k, 2', [-0.0534569, 0.0304724, 1.0]], ['2, k, 3', [-0.0318699, 0.178115, 1.0]], ['2, k, 4', [-0.233331, -0.068754, 1.0]], ['2, k, 5', [-0.29373, -0.325168, 1.0]], ['2, k, 6', [-0.316387, -0.522051, 1.0]], ['2, k, 7', [-0.31123, -0.512028, 1.0]], ['2, k, 8', [0.128548, -0.101014, 1.0]], ['2, k, 9', [0.194522, -0.330625, 1.0]], ['2, k, 10', [0.232395, -0.522092, 1.0]], ['2, k, 11', [0.218221, -0.509564, 1.0]], ['2, k, 12', [-0.130854, -0.55603, 1.0]], ['2, k, 13', [-0.15958, -0.839495, 1.0]], ['2, k, 14', [-0.195662, -1.1451, 1.0]], ['2, k, 15', [-0.209498, -1.22219, 1.0]], ['2, k, 16', [0.0348803, -0.570184, 1.0]], ['2, k, 17', [0.0741968, -0.850905, 1.0]], ['2, k, 18', [0.120665, -1.15352, 1.0]], ['2, k, 19', [0.15613, -1.2232, 1.0]], ['2, k, 20', [-0.0529811, -0.0431965, 1.0]], ['2, k, 21', [-0.328086, -0.549063, 1.0]], ['2, k, 22', [-0.25713, -0.52943, 1.0]], ['2, k, 23', [0.248863, -0.541965, 1.0]], ['2, k, 24', [0.288989, -0.51619, 1.0]]]
[['2, k, 0', [-0.0487042, -0.57108, 1.0]], ['2, k, 1', [-0.0511559, -0.267447, 1.0]], ['2, k, 2', [-0.0531855, 0.0303095, 1.0]], ['2, k, 3', [-0.0318407, 0.178116, 1.0]], ['2, k, 4', [-0.233697, -0.0690276, 1.0]], ['2, k, 5', [-0.294079, -0.324962, 1.0]], ['2, k, 6', [-0.316063, -0.520689, 1.0]], ['2, k, 7', [-0.31337, -0.508829, 1.0]], ['2, k, 8', [0.128536, -0.101, 1.0]], ['2, k, 9', [0.194475, -0.330128, 1.0]], ['2, k, 10', [0.232103, -0.520902, 1.0]], ['2, k, 11', [0.218045, -0.508613, 1.0]], ['2, k, 12', [-0.130888, -0.556179, 1.0]], ['2, k, 13', [-0.159434, -0.838851, 1.0]], ['2, k, 14', [-0.195879, -1.14294, 1.0]], ['2, k, 15', [-0.20965, -1.22129, 1.0]], ['2, k, 16', [0.0348131, -0.570273, 1.0]], ['2, k, 17', [0.0742698, -0.849119, 1.0]], ['2, k, 18', [0.121559, -1.15191, 1.0]], ['2, k, 19', [0.157083, -1.22405, 1.0]], ['2, k, 20', [-0.0527448, -0.0433517, 1.0]], ['2, k, 21', [-0.323169, -0.545602, 1.0]], ['2, k, 22', [-0.25493, -0.529375, 1.0]], ['2, k, 23', [0.244228, -0.542831, 1.0]], ['2, k, 24', [0.291564, -0.51494, 1.0]]]
[['2, k, 0', [-0.0490382, -0.571606, 1.0]], ['2, k, 1', [-0.0512378, -0.26766, 1.0]], ['2, k, 2', [-0.0530826, 0.0303227, 1.0]], ['2, k, 3', [-0.0320162, 0.178078, 1.0]], ['2, k, 4', [-0.232264, -0.0684504, 1.0]], ['2, k, 5', [-0.29441, -0.324138, 1.0]], ['2, k, 6', [-0.326556, -0.51824, 1.0]], ['2, k, 7', [-0.328913, -0.527061, 1.0]], ['2, k, 8', [0.128539, -0.100976, 1.0]], ['2, k, 9', [0.194538, -0.329819, 1.0]], ['2, k, 10', [0.232274, -0.519348, 1.0]], ['2, k, 11', [0.218902, -0.508038, 1.0]], ['2, k, 12', [-0.131209, -0.55656, 1.0]], ['2, k, 13', [-0.15923, -0.838635, 1.0]], ['2, k, 14', [-0.195973, -1.14311, 1.0]], ['2, k, 15', [-0.20955, -1.22112, 1.0]], ['2, k, 16', [0.034478, -0.570904, 1.0]], ['2, k, 17', [0.0744344, -0.849359, 1.0]], ['2, k, 18', [0.122293, -1.15206, 1.0]], ['2, k, 19', [0.156695, -1.22376, 1.0]], ['2, k, 20', [-0.0526813, -0.043386, 1.0]], ['2, k, 21', [-0.320155, -0.54825, 1.0]], ['2, k, 22', [-0.279893, -0.50967, 1.0]], ['2, k, 23', [0.243447, -0.541553, 1.0]], ['2, k, 24', [0.291079, -0.514103, 1.0]]]
[['2, k, 0', [-0.050293, -0.571871, 1.0]], ['2, k, 1', [-0.0517408, -0.267697, 1.0]], ['2, k, 2', [-0.0531677, 0.0303557, 1.0]], ['2, k, 3', [-0.0321027, 0.178036, 1.0]], ['2, k, 4', [-0.232605, -0.068675, 1.0]], ['2, k, 5', [-0.294471, -0.323965, 1.0]], ['2, k, 6', [-0.328427, -0.515837, 1.0]], ['2, k, 7', [-0.325227, -0.5252, 1.0]], ['2, k, 8', [0.128342, -0.100861, 1.0]], ['2, k, 9', [0.19486, -0.328253, 1.0]], ['2, k, 10', [0.232338, -0.516132, 1.0]], ['2, k, 11', [0.218411, -0.504546, 1.0]], ['2, k, 12', [-0.132574, -0.558089, 1.0]], ['2, k, 13', [-0.159442, -0.839481, 1.0]], ['2, k, 14', [-0.196198, -1.14357, 1.0]], ['2, k, 15', [-0.209367, -1.22181, 1.0]], ['2, k, 16', [0.0329944, -0.569976, 1.0]], ['2, k, 17', [0.074472, -0.849225, 1.0]], ['2, k, 18', [0.122311, -1.15168, 1.0]], ['2, k, 19', [0.156227, -1.224, 1.0]], ['2, k, 20', [-0.0528377, -0.0433568, 1.0]], ['2, k, 21', [-0.317082, -0.545687, 1.0]], ['2, k, 22', [-0.279526, -0.512115, 1.0]], ['2, k, 23', [0.236994, -0.537509, 1.0]], ['2, k, 24', [0.288728, -0.512821, 1.0]]]
[['2, k, 0', [-0.0505067, -0.572115, 1.0]], ['2, k, 1', [-0.051959, -0.268006, 1.0]], ['2, k, 2', [-0.0532959, 0.0300282, 1.0]], ['2, k, 3', [-0.0323024, 0.178014, 1.0]], ['2, k, 4', [-0.232938, -0.0692935, 1.0]], ['2, k, 5', [-0.294487, -0.323388, 1.0]], ['2, k, 6', [-0.324458, -0.511292, 1.0]], ['2, k, 7', [-0.322189, -0.5215, 1.0]], ['2, k, 8', [0.128257, -0.1008, 1.0]], ['2, k, 9', [0.194896, -0.327862, 1.0]], ['2, k, 10', [0.232583, -0.513053, 1.0]], ['2, k, 11', [0.217523, -0.501978, 1.0]], ['2, k, 12', [-0.132866, -0.559456, 1.0]], ['2, k, 13', [-0.159407, -0.83938, 1.0]], ['2, k, 14', [-0.196288, -1.14338, 1.0]], ['2, k, 15', [-0.209708, -1.22118, 1.0]], ['2, k, 16', [0.0328022, -0.569731, 1.0]], ['2, k, 17', [0.0744844, -0.849188, 1.0]], ['2, k, 18', [0.123139, -1.15053, 1.0]], ['2, k, 19', [0.156722, -1.2234, 1.0]], ['2, k, 20', [-0.0529979, -0.043684, 1.0]], ['2, k, 21', [-0.316708, -0.540958, 1.0]], ['2, k, 22', [-0.282002, -0.510596, 1.0]], ['2, k, 23', [0.228764, -0.534747, 1.0]], ['2, k, 24', [0.286352, -0.509439, 1.0]]]
