[['2, k, 0', [-0.389384, -0.507558, 1.0]], ['2, k, 1', [-0.38864, -0.263822, 1.0]], ['2, k, 2', [-0.386696, -0.0231157, 1.0]], ['2, k, 3', [-0.391945, 0.0966105, 1.0]], ['2, k, 4', [-0.539805, -0.12184, 1.0]], ['2, k, 5', [-0.652856, -0.203124, 1.0]], ['2, k, 6', [-0.700541, -0.239013, 1.0]], ['2, k, 7', [-0.709236, -0.257509, 1.0]], ['2, k, 8', [-0.221797, -0.129392, 1.0]], ['2, k, 9', [-0.0897329, -0.230337, 1.0]], ['2, k, 10', [-0.0017236, -0.285235, 1.0]], ['2, k, 11', [0.0135839, -0.305574, 1.0]], ['2, k, 12', [-0.458104, -0.501364, 1.0]], ['2, k, 13', [-0.415527, -0.774458, 1.0]], ['2, k, 14', [-0.581145, -0.67259, 1.0]], ['2, k, 15', [-0.526224, -0.630903, 1.0]], ['2, k, 16', [-0.313803, -0.504816, 1.0]], ['2, k, 17', [-0.222638, -0.787816, 1.0]], ['2, k, 18', [-0.226353, -1.07034, 1.0]], ['2, k, 19', [-0.223495, -1.13889, 1.0]], ['2, k, 20', [-0.387406, -0.0829128, 1.0]], ['2, k, 21', [-0.706282, -0.27468, 1.0]], ['2, k, 22', [-0.71741, -0.25651, 1.0]], ['2, k, 23', [0.0253696, -0.326764, 1.0]], ['2, k, 24', [0.0136624, -0.301005, 1.0]]]
[['2, k, 0', [-0.388048, -0.503963, 1.0]], ['2, k, 1', [-0.388847, -0.261438, 1.0]], ['2, k, 2', [-0.388367, -0.0208362, 1.0]], ['2, k, 3', [-0.392015, 0.1223, 1.0]], ['2, k, 4', [-0.539317, -0.119298, 1.0]], ['2, k, 5', [-0.653657, -0.18873, 1.0]], ['2, k, 6', [-0.699094, -0.19985, 1.0]], ['2, k, 7', [-0.684135, -0.246934, 1.0]], ['2, k, 8', [-0.223055, -0.126333, 1.0]], ['2, k, 9', [-0.0933355, -0.204636, 1.0]], ['2, k, 10', [-0.00593423, -0.234476, 1.0]], ['2, k, 11', [0.019144, -0.285938, 1.0]], ['2, k, 12', [-0.456747, -0.497754, 1.0]], ['2, k, 13', [-0.581365, -0.760031, 1.0]], ['2, k, 14', [-0.362431, -0.696659, 1.0]], ['2, k, 15', [-0.437016, -0.613031, 1.0]], ['2, k, 16', [-0.312491, -0.501238, 1.0]], ['2, k, 17', [-0.151103, -0.748646, 1.0]], ['2, k, 18', [-0.148629, -1.09059, 1.0]], ['2, k, 19', [-0.223822, -1.12587, 1.0]], ['2, k, 20', [-0.388631, -0.0806779, 1.0]], ['2, k, 21', [-0.657216, -0.24877, 1.0]], ['2, k, 22', [-0.726907, -0.242967, 1.0]], ['2, k, 23', [0.0385493, -0.296531, 1.0]], ['2, k, 24', [-0.0224292, -0.29273, 1.0]]]
[['2, k, 0', [-0.382766, -0.486465, 1.0]], ['2, k, 1', [-0.386669, -0.258218, 1.0]], ['2, k, 2', [-0.387088, -0.022156, 1.0]], ['2, k, 3', [-0.393255, 0.129515, 1.0]], ['2, k, 4', [-0.537945, -0.110032, 1.0]], ['2, k, 5', [-0.632089, -0.14275, 1.0]], ['2, k, 6', [-0.640328, -0.163392, 1.0]], ['2, k, 7', [-0.662317, -0.181576, 1.0]], ['2, k, 8', [-0.223531, -0.122632, 1.0]], ['2, k, 9', [-0.0687165, -0.181129, 1.0]], ['2, k, 10', [0.015002, -0.1933, 1.0]], ['2, k, 11', [0.0180965, -0.216515, 1.0]], ['2, k, 12', [-0.451141, -0.478394, 1.0]], ['2, k, 13', [-0.618234, -0.691869, 1.0]], ['2, k, 14', [-0.421327, -0.796929, 1.0]], ['2, k, 15', [-0.453337, -0.679083, 1.0]], ['2, k, 16', [-0.3077, -0.485909, 1.0]], ['2, k, 17', [-0.223091, -0.783228, 1.0]], ['2, k, 18', [-0.226507, -1.09327, 1.0]], ['2, k, 19', [-0.218111, -1.14449, 1.0]], ['2, k, 20', [-0.387613, -0.0809888, 1.0]], ['2, k, 21', [-0.679281, -0.18749, 1.0]], ['2, k, 22', [-0.708947, -0.174394, 1.0]], ['2, k, 23', [0.0354747, -0.215648, 1.0]], ['2, k, 24', [-0.0252001, -0.224203, 1.0]]]
[['2, k, 0', [-0.376365, -0.464452, 1.0]], ['2, k, 1', [-0.386241, -0.243633, 1.0]], ['2, k, 2', [-0.390158, -0.0188276, 1.0]], ['2, k, 3', [-0.394035, 0.127183, 1.0]], ['2, k, 4', [-0.53388, -0.0745689, 1.0]], ['2, k, 5', [-0.625648, -0.0927387, 1.0]], ['2, k, 6', [-0.649898, -0.106909, 1.0]], ['2, k, 7', [-0.678586, -0.116321, 1.0]], ['2, k, 8', [-0.237265, -0.0865961, 1.0]], ['2, k, 9', [-0.145807, -0.107081, 1.0]], ['2, k, 10', [-0.0716241, -0.126448, 1.0]], ['2, k, 11', [0.0169067, -0.146622, 1.0]], ['2, k, 12', [-0.44496, -0.457392, 1.0]], ['2, k, 13', [-0.334574, -0.710089, 1.0]], ['2, k, 14', [-0.464878, -0.941651, 1.0]], ['2, k, 15', [-0.467928, -0.819026, 1.0]], ['2, k, 16', [-0.301336, -0.463593, 1.0]], ['2, k, 17', [-0.217886, -0.812875, 1.0]], ['2, k, 18', [-0.227255, -1.11268, 1.0]], ['2, k, 19', [-0.219715, -1.12775, 1.0]], ['2, k, 20', [-0.389953, -0.0758781, 1.0]], ['2, k, 21', [-0.682914, -0.120445, 1.0]], ['2, k, 22', [-0.72345, -0.118115, 1.0]], ['2, k, 23', [0.0465194, -0.125571, 1.0]], ['2, k, 24', [-0.0256387, -0.156641, 1.0]]]
[['2, k, 0', [-0.386756, -0.479923, 1.0]], ['2, k, 1', [-0.388757, -0.246099, 1.0]], ['2, k, 2', [-0.390932, -0.0186318, 1.0]], ['2, k, 3', [-0.397226, 0.104091, 1.0]], ['2, k, 4', [-0.515398, -0.149253, 1.0]], ['2, k, 5', [-0.609734, -0.130119, 1.0]], ['2, k, 6', [-0.609441, -0.0983681, 1.0]], ['2, k, 7', [-0.662668, -0.0537179, 1.0]], ['2, k, 8', [-0.245087, -0.147275, 1.0]], ['2, k, 9', [-0.165722, -0.128207, 1.0]], ['2, k, 10', [-0.0783799, -0.111959, 1.0]], ['2, k, 11', [0.0167811, -0.079909, 1.0]], ['2, k, 12', [-0.455069, -0.476391, 1.0]], ['2, k, 13', [-0.252644, -0.663028, 1.0]], ['2, k, 14', [-0.51115, -0.66226, 1.0]], ['2, k, 15', [-0.504533, -0.574731, 1.0]], ['2, k, 16', [-0.311782, -0.475732, 1.0]], ['2, k, 17', [-0.254906, -0.832487, 1.0]], ['2, k, 18', [-0.227409, -1.09435, 1.0]], ['2, k, 19', [-0.221323, -1.14468, 1.0]], ['2, k, 20', [-0.390859, -0.0758577, 1.0]], ['2, k, 21', [-0.673905, -0.0579084, 1.0]], ['2, k, 22', [-0.716391, -0.0543927, 1.0]], ['2, k, 23', [0.0437893, -0.0763178, 1.0]], ['2, k, 24', [-0.0271514, -0.0898105, 1.0]]]
[['2, k, 0', [-0.387185, -0.483817, 1.0]], ['2, k, 1', [-0.392684, -0.255964, 1.0]], ['2, k, 2', [-0.39949, -0.0332788, 1.0]], ['2, k, 3', [-0.398083, 0.116116, 1.0]], ['2, k, 4', [-0.530061, -0.131871, 1.0]], ['2, k, 5', [-0.64334, -0.0661332, 1.0]], ['2, k, 6', [-0.654033, -0.0313266, 1.0]], ['2, k, 7', [-0.680206, 0.00968654, 1.0]], ['2, k, 8', [-0.237933, -0.13198, 1.0]], ['2, k, 9', [-0.132604, -0.101454, 1.0]], ['2, k, 10', [-0.0670298, -0.0654628, 1.0]], ['2, k, 11', [0.0121896, -0.0161847, 1.0]], ['2, k, 12', [-0.454657, -0.480444, 1.0]], ['2, k, 13', [-0.239484, -0.650153, 1.0]], ['2, k, 14', [-0.477532, -0.528328, 1.0]], ['2, k, 15', [-0.506196, -0.614286, 1.0]], ['2, k, 16', [-0.313129, -0.479614, 1.0]], ['2, k, 17', [-0.325521, -0.828555, 1.0]], ['2, k, 18', [-0.148874, -0.964361, 1.0]], ['2, k, 19', [-0.19842, -1.05746, 1.0]], ['2, k, 20', [-0.39785, -0.0886204, 1.0]], ['2, k, 21', [-0.648184, 0.000892735, 1.0]], ['2, k, 22', [-0.717306, 0.0192924, 1.0]], ['2, k, 23', [0.0477053, -0.0201204, 1.0]], ['2, k, 24', [-0.0396783, -0.0193885, 1.0]]]
[['2, k, 0', [-0.379734, -0.467746, 1.0]], ['2, k, 1', [-0.392552, -0.25078, 1.0]], ['2, k, 2', [-0.401499, -0.0317284, 1.0]], ['2, k, 3', [-0.402327, 0.118226, 1.0]], ['2, k, 4', [-0.535984, -0.101209, 1.0]], ['2, k, 5', [-0.615708, -0.0573315, 1.0]], ['2, k, 6', [-0.656195, -0.00746895, 1.0]], ['2, k, 7', [-0.673026, 0.0627941, 1.0]], ['2, k, 8', [-0.238867, -0.0921029, 1.0]], ['2, k, 9', [-0.138059, -0.0662732, 1.0]], ['2, k, 10', [-0.0710354, -0.0186842, 1.0]], ['2, k, 11', [0.0133503, 0.0440708, 1.0]], ['2, k, 12', [-0.445136, -0.463858, 1.0]], ['2, k, 13', [-0.325056, -0.709456, 1.0]], ['2, k, 14', [-0.55977, -0.617513, 1.0]], ['2, k, 15', [-0.488078, -0.615016, 1.0]], ['2, k, 16', [-0.307498, -0.463473, 1.0]], ['2, k, 17', [-0.202613, -0.704112, 1.0]], ['2, k, 18', [-0.424649, -0.679342, 1.0]], ['2, k, 19', [-0.377956, -0.771192, 1.0]], ['2, k, 20', [-0.399339, -0.0866216, 1.0]], ['2, k, 21', [-0.666271, 0.0673562, 1.0]], ['2, k, 22', [-0.701947, 0.0797506, 1.0]], ['2, k, 23', [0.046636, 0.0513026, 1.0]], ['2, k, 24', [-0.0314701, 0.041658, 1.0]]]
[['2, k, 0', [-0.364159, -0.472278, 1.0]], ['2, k, 1', [-0.384221, -0.246268, 1.0]], ['2, k, 2', [-0.397777, -0.020305, 1.0]], ['2, k, 3', [-0.402644, 0.125985, 1.0]], ['2, k, 4', [-0.536147, -0.0965831, 1.0]], ['2, k, 5', [-0.615558, -0.047804, 1.0]], ['2, k, 6', [-0.653795, 0.024365, 1.0]], ['2, k, 7', [-0.691802, 0.118357, 1.0]], ['2, k, 8', [-0.237003, -0.0892349, 1.0]], ['2, k, 9', [-0.124836, -0.0227563, 1.0]], ['2, k, 10', [-0.0589767, 0.033486, 1.0]], ['2, k, 11', [0.0121861, 0.102725, 1.0]], ['2, k, 12', [-0.429259, -0.469054, 1.0]], ['2, k, 13', [-0.151512, -0.499321, 1.0]], ['2, k, 14', [-0.396944, -0.610591, 1.0]], ['2, k, 15', [-0.479511, -0.605051, 1.0]], ['2, k, 16', [-0.292895, -0.467378, 1.0]], ['2, k, 17', [-0.182582, -0.70329, 1.0]], ['2, k, 18', [-0.358392, -0.402345, 1.0]], ['2, k, 19', [-0.335488, -0.508334, 1.0]], ['2, k, 20', [-0.394621, -0.0771409, 1.0]], ['2, k, 21', [-0.674529, 0.134002, 1.0]], ['2, k, 22', [-0.731726, 0.141959, 1.0]], ['2, k, 23', [0.0456102, 0.103361, 1.0]], ['2, k, 24', [-0.0287148, 0.0974692, 1.0]]]
[['2, k, 0', [-0.362785, -0.476459, 1.0]], ['2, k, 1', [-0.38436, -0.24629, 1.0]], ['2, k, 2', [-0.401412, -0.0170502, 1.0]], ['2, k, 3', [-0.404378, 0.106583, 1.0]], ['2, k, 4', [-0.541013, -0.0949227, 1.0]], ['2, k, 5', [-0.623559, -0.0196586, 1.0]], ['2, k, 6', [-0.663078, 0.0624734, 1.0]], ['2, k, 7', [-0.700924, 0.168763, 1.0]], ['2, k, 8', [-0.237662, -0.0879283, 1.0]], ['2, k, 9', [-0.130998, -0.00344965, 1.0]], ['2, k, 10', [-0.0692722, 0.0722341, 1.0]], ['2, k, 11', [0.00455542, 0.156405, 1.0]], ['2, k, 12', [-0.427889, -0.473521, 1.0]], ['2, k, 13', [-0.146906, -0.494179, 1.0]], ['2, k, 14', [-0.396853, -0.567904, 1.0]], ['2, k, 15', [-0.479016, -0.603608, 1.0]], ['2, k, 16', [-0.29146, -0.471451, 1.0]], ['2, k, 17', [-0.19269, -0.716057, 1.0]], ['2, k, 18', [-0.372141, -0.357552, 1.0]], ['2, k, 19', [-0.324639, -0.455068, 1.0]], ['2, k, 20', [-0.396905, -0.0749989, 1.0]], ['2, k, 21', [-0.696036, 0.183075, 1.0]], ['2, k, 22', [-0.738166, 0.15527, 1.0]], ['2, k, 23', [0.0266273, 0.164183, 1.0]], ['2, k, 24', [-0.0505371, 0.161928, 1.0]]]
[['2, k, 0', [-0.370384, -0.465298, 1.0]], ['2, k, 1', [-0.390402, -0.237588, 1.0]], ['2, k, 2', [-0.407736, -0.0108447, 1.0]], ['2, k, 3', [-0.407696, 0.116659, 1.0]], ['2, k, 4', [-0.549543, -0.0872223, 1.0]], ['2, k, 5', [-0.650698, 0.0184401, 1.0]], ['2, k, 6', [-0.690179, 0.113723, 1.0]], ['2, k, 7', [-0.7004, 0.219166, 1.0]], ['2, k, 8', [-0.237023, -0.0795075, 1.0]], ['2, k, 9', [-0.0984041, 0.0254307, 1.0]], ['2, k, 10', [-0.0236592, 0.114664, 1.0]], ['2, k, 11', [0.00538929, 0.206535, 1.0]], ['2, k, 12', [-0.434039, -0.46071, 1.0]], ['2, k, 13', [-0.316579, -0.715835, 1.0]], ['2, k, 14', [-0.577817, -0.748194, 1.0]], ['2, k, 15', [-0.472649, -0.690154, 1.0]], ['2, k, 16', [-0.300642, -0.461611, 1.0]], ['2, k, 17', [-0.196924, -0.707268, 1.0]], ['2, k, 18', [-0.324989, -0.486392, 1.0]], ['2, k, 19', [-0.272554, -0.582671, 1.0]], ['2, k, 20', [-0.403653, -0.067459, 1.0]], ['2, k, 21', [-0.699984, 0.238064, 1.0]], ['2, k, 22', [-0.748319, 0.209214, 1.0]], ['2, k, 23', [0.0148859, 0.213556, 1.0]], ['2, k, 24', [-0.0402008, 0.210367, 1.0]]]
[['2, k, 0', [-0.401275, -0.439233, 1.0]], ['2, k, 1', [-0.405369, -0.22349, 1.0]], ['2, k, 2', [-0.412917, -0.00586133, 1.0]], ['2, k, 3', [-0.408609, 0.121399, 1.0]], ['2, k, 4', [-0.553142, -0.0814575, 1.0]], ['2, k, 5', [-0.673217, 0.0460361, 1.0]], ['2, k, 6', [-0.719976, 0.178521, 1.0]], ['2, k, 7', [-0.706441, 0.263044, 1.0]], ['2, k, 8', [-0.237692, -0.0694509, 1.0]], ['2, k, 9', [-0.101243, 0.0437513, 1.0]], ['2, k, 10', [-0.0210122, 0.174817, 1.0]], ['2, k, 11', [0.00167447, 0.250345, 1.0]], ['2, k, 12', [-0.465869, -0.43873, 1.0]], ['2, k, 13', [-0.425467, -0.752959, 1.0]], ['2, k, 14', [-0.697466, -0.834165, 1.0]], ['2, k, 15', [-0.631465, -0.757634, 1.0]], ['2, k, 16', [-0.330335, -0.432485, 1.0]], ['2, k, 17', [-0.188301, -0.702951, 1.0]], ['2, k, 18', [-0.446044, -0.772641, 1.0]], ['2, k, 19', [-0.371951, -0.707912, 1.0]], ['2, k, 20', [-0.410816, -0.060482, 1.0]], ['2, k, 21', [-0.681321, 0.28749, 1.0]], ['2, k, 22', [-0.75103, 0.260446, 1.0]], ['2, k, 23', [0.0132521, 0.271238, 1.0]], ['2, k, 24', [-0.0418175, 0.258523, 1.0]]]
