[['2, k, 0', [-0.361038, -0.701322, 1.0]], ['2, k, 1', [-0.349396, -0.402934, 1.0]], ['2, k, 2', [-0.336663, -0.108373, 1.0]], ['2, k, 3', [-0.346075, 0.0245835, 1.0]], ['2, k, 4', [-0.468967, -0.152067, 1.0]], ['2, k, 5', [-0.586493, 0.0612883, 1.0]], ['2, k, 6', [-0.666617, 0.318806, 1.0]], ['2, k, 7', [-0.664271, 0.366082, 1.0]], ['2, k, 8', [-0.184778, -0.143881, 1.0]], ['2, k, 9', [-0.0219326, 0.0505852, 1.0]], ['2, k, 10', [0.0666919, 0.2423, 1.0]], ['2, k, 11', [0.0832932, 0.345507, 1.0]], ['2, k, 12', [-0.421979, -0.696156, 1.0]], ['2, k, 13', [-0.484578, -1.00211, 1.0]], ['2, k, 14', [-0.509969, -1.3498, 1.0]], ['2, k, 15', [-0.478246, -1.25179, 1.0]], ['2, k, 16', [-0.292863, -0.692432, 1.0]], ['2, k, 17', [-0.0815939, -0.928084, 1.0]], ['2, k, 18', [-0.061334, -1.18914, 1.0]], ['2, k, 19', [-0.132856, -1.06996, 1.0]], ['2, k, 20', [-0.340055, -0.181541, 1.0]], ['2, k, 21', [-0.670352, 0.419254, 1.0]], ['2, k, 22', [-0.696242, 0.37222, 1.0]], ['2, k, 23', [0.10491, 0.413163, 1.0]], ['2, k, 24', [0.110264, 0.34874, 1.0]]]
[['2, k, 0', [-0.354063, -0.687393, 1.0]], ['2, k, 1', [-0.347988, -0.400418, 1.0]], ['2, k, 2', [-0.336717, -0.108704, 1.0]], ['2, k, 3', [-0.345814, 0.0246574, 1.0]], ['2, k, 4', [-0.469158, -0.152221, 1.0]], ['2, k, 5', [-0.586367, 0.0614182, 1.0]], ['2, k, 6', [-0.665063, 0.314801, 1.0]], ['2, k, 7', [-0.663558, 0.362917, 1.0]], ['2, k, 8', [-0.184849, -0.143814, 1.0]], ['2, k, 9', [-0.0557748, 0.0110502, 1.0]], ['2, k, 10', [0.0663898, 0.253129, 1.0]], ['2, k, 11', [0.0862937, 0.338606, 1.0]], ['2, k, 12', [-0.414977, -0.682698, 1.0]], ['2, k, 13', [-0.496434, -0.962113, 1.0]], ['2, k, 14', [-0.52113, -1.35913, 1.0]], ['2, k, 15', [-0.484944, -1.27286, 1.0]], ['2, k, 16', [-0.286041, -0.678299, 1.0]], ['2, k, 17', [-0.161785, -0.974389, 1.0]], ['2, k, 18', [-0.115952, -1.29432, 1.0]], ['2, k, 19', [-0.155742, -1.14371, 1.0]], ['2, k, 20', [-0.340001, -0.181526, 1.0]], ['2, k, 21', [-0.66739, 0.416839, 1.0]], ['2, k, 22', [-0.691377, 0.337849, 1.0]], ['2, k, 23', [0.100755, 0.394625, 1.0]], ['2, k, 24', [0.112347, 0.352319, 1.0]]]
[['2, k, 0', [-0.325709, -0.630707, 1.0]], ['2, k, 1', [-0.337023, -0.374822, 1.0]], ['2, k, 2', [-0.336861, -0.108402, 1.0]], ['2, k, 3', [-0.344451, 0.0252235, 1.0]], ['2, k, 4', [-0.469767, -0.152138, 1.0]], ['2, k, 5', [-0.597884, 0.0884836, 1.0]], ['2, k, 6', [-0.661187, 0.28588, 1.0]], ['2, k, 7', [-0.666529, 0.349238, 1.0]], ['2, k, 8', [-0.184571, -0.143842, 1.0]], ['2, k, 9', [-0.0549855, 0.0151487, 1.0]], ['2, k, 10', [0.0696254, 0.26019, 1.0]], ['2, k, 11', [0.0870944, 0.348036, 1.0]], ['2, k, 12', [-0.387025, -0.626136, 1.0]], ['2, k, 13', [-0.453633, -0.905302, 1.0]], ['2, k, 14', [-0.4633, -1.17679, 1.0]], ['2, k, 15', [-0.448178, -1.2446, 1.0]], ['2, k, 16', [-0.25801, -0.622921, 1.0]], ['2, k, 17', [-0.187935, -0.904559, 1.0]], ['2, k, 18', [-0.130591, -1.17679, 1.0]], ['2, k, 19', [-0.167808, -1.03584, 1.0]], ['2, k, 20', [-0.339542, -0.179009, 1.0]], ['2, k, 21', [-0.668759, 0.418253, 1.0]], ['2, k, 22', [-0.691553, 0.344899, 1.0]], ['2, k, 23', [0.0988484, 0.404243, 1.0]], ['2, k, 24', [0.113404, 0.356114, 1.0]]]
[['2, k, 0', [-0.325466, -0.631072, 1.0]], ['2, k, 1', [-0.335917, -0.374559, 1.0]], ['2, k, 2', [-0.336325, -0.109448, 1.0]], ['2, k, 3', [-0.341864, 0.0230692, 1.0]], ['2, k, 4', [-0.470397, -0.152239, 1.0]], ['2, k, 5', [-0.598684, 0.0906024, 1.0]], ['2, k, 6', [-0.65936, 0.290011, 1.0]], ['2, k, 7', [-0.664563, 0.342263, 1.0]], ['2, k, 8', [-0.184231, -0.143296, 1.0]], ['2, k, 9', [-0.0545066, 0.017831, 1.0]], ['2, k, 10', [0.0696135, 0.265469, 1.0]], ['2, k, 11', [0.0915791, 0.359841, 1.0]], ['2, k, 12', [-0.386785, -0.626892, 1.0]], ['2, k, 13', [-0.450165, -0.891859, 1.0]], ['2, k, 14', [-0.458797, -1.15467, 1.0]], ['2, k, 15', [-0.443674, -1.21962, 1.0]], ['2, k, 16', [-0.257871, -0.623172, 1.0]], ['2, k, 17', [-0.191226, -0.890541, 1.0]], ['2, k, 18', [-0.129518, -1.17143, 1.0]], ['2, k, 19', [-0.16516, -1.03615, 1.0]], ['2, k, 20', [-0.338472, -0.179065, 1.0]], ['2, k, 21', [-0.652884, 0.402909, 1.0]], ['2, k, 22', [-0.690927, 0.343935, 1.0]], ['2, k, 23', [0.100685, 0.411261, 1.0]], ['2, k, 24', [0.114727, 0.367255, 1.0]]]
[['2, k, 0', [-0.32501, -0.631369, 1.0]], ['2, k, 1', [-0.334889, -0.373864, 1.0]], ['2, k, 2', [-0.336186, -0.109422, 1.0]], ['2, k, 3', [-0.340836, 0.023171, 1.0]], ['2, k, 4', [-0.470781, -0.152195, 1.0]], ['2, k, 5', [-0.594279, 0.0831532, 1.0]], ['2, k, 6', [-0.657758, 0.292665, 1.0]], ['2, k, 7', [-0.660657, 0.351193, 1.0]], ['2, k, 8', [-0.183893, -0.143454, 1.0]], ['2, k, 9', [-0.018252, 0.0609633, 1.0]], ['2, k, 10', [0.0771599, 0.279195, 1.0]], ['2, k, 11', [0.0940466, 0.360263, 1.0]], ['2, k, 12', [-0.386391, -0.627188, 1.0]], ['2, k, 13', [-0.449308, -0.889086, 1.0]], ['2, k, 14', [-0.458397, -1.15418, 1.0]], ['2, k, 15', [-0.444072, -1.2145, 1.0]], ['2, k, 16', [-0.257428, -0.623582, 1.0]], ['2, k, 17', [-0.191159, -0.890866, 1.0]], ['2, k, 18', [-0.138319, -1.14218, 1.0]], ['2, k, 19', [-0.107561, -1.19071, 1.0]], ['2, k, 20', [-0.337813, -0.178398, 1.0]], ['2, k, 21', [-0.662161, 0.415066, 1.0]], ['2, k, 22', [-0.689373, 0.353481, 1.0]], ['2, k, 23', [0.103129, 0.407023, 1.0]], ['2, k, 24', [0.121343, 0.382426, 1.0]]]
[['2, k, 0', [-0.32384, -0.632108, 1.0]], ['2, k, 1', [-0.3336, -0.373999, 1.0]], ['2, k, 2', [-0.335734, -0.110805, 1.0]], ['2, k, 3', [-0.340268, 0.0238729, 1.0]], ['2, k, 4', [-0.477241, -0.140929, 1.0]], ['2, k, 5', [-0.601935, 0.0979081, 1.0]], ['2, k, 6', [-0.656069, 0.29543, 1.0]], ['2, k, 7', [-0.656533, 0.351348, 1.0]], ['2, k, 8', [-0.18385, -0.143454, 1.0]], ['2, k, 9', [-0.0181063, 0.0617641, 1.0]], ['2, k, 10', [0.0760106, 0.27643, 1.0]], ['2, k, 11', [0.093818, 0.35591, 1.0]], ['2, k, 12', [-0.3857, -0.627083, 1.0]], ['2, k, 13', [-0.448685, -0.890413, 1.0]], ['2, k, 14', [-0.458184, -1.15416, 1.0]], ['2, k, 15', [-0.445456, -1.21125, 1.0]], ['2, k, 16', [-0.25561, -0.626109, 1.0]], ['2, k, 17', [-0.190242, -0.893437, 1.0]], ['2, k, 18', [-0.13842, -1.14092, 1.0]], ['2, k, 19', [-0.110031, -1.18708, 1.0]], ['2, k, 20', [-0.3369, -0.178864, 1.0]], ['2, k, 21', [-0.661401, 0.414793, 1.0]], ['2, k, 22', [-0.678944, 0.345718, 1.0]], ['2, k, 23', [0.10399, 0.406197, 1.0]], ['2, k, 24', [0.120753, 0.351928, 1.0]]]
[['2, k, 0', [-0.323208, -0.632153, 1.0]], ['2, k, 1', [-0.332402, -0.37385, 1.0]], ['2, k, 2', [-0.335209, -0.111677, 1.0]], ['2, k, 3', [-0.34017, 0.0249981, 1.0]], ['2, k, 4', [-0.47788, -0.139488, 1.0]], ['2, k, 5', [-0.59674, 0.09076, 1.0]], ['2, k, 6', [-0.655036, 0.296169, 1.0]], ['2, k, 7', [-0.654479, 0.350928, 1.0]], ['2, k, 8', [-0.183568, -0.143505, 1.0]], ['2, k, 9', [-0.0180979, 0.0614736, 1.0]], ['2, k, 10', [0.0756025, 0.274426, 1.0]], ['2, k, 11', [0.0944758, 0.35622, 1.0]], ['2, k, 12', [-0.385094, -0.626758, 1.0]], ['2, k, 13', [-0.446332, -0.892105, 1.0]], ['2, k, 14', [-0.458058, -1.15419, 1.0]], ['2, k, 15', [-0.446342, -1.21033, 1.0]], ['2, k, 16', [-0.25493, -0.626515, 1.0]], ['2, k, 17', [-0.189481, -0.894952, 1.0]], ['2, k, 18', [-0.138762, -1.13898, 1.0]], ['2, k, 19', [-0.111142, -1.18406, 1.0]], ['2, k, 20', [-0.3359, -0.179094, 1.0]], ['2, k, 21', [-0.65914, 0.413365, 1.0]], ['2, k, 22', [-0.680979, 0.35749, 1.0]], ['2, k, 23', [0.101258, 0.410962, 1.0]], ['2, k, 24', [0.120447, 0.3587, 1.0]]]
[['2, k, 0', [-0.321879, -0.633477, 1.0]], ['2, k, 1', [-0.331657, -0.373364, 1.0]], ['2, k, 2', [-0.335225, -0.110826, 1.0]], ['2, k, 3', [-0.338767, 0.0254329, 1.0]], ['2, k, 4', [-0.477994, -0.138354, 1.0]], ['2, k, 5', [-0.594719, 0.0882944, 1.0]], ['2, k, 6', [-0.653276, 0.297187, 1.0]], ['2, k, 7', [-0.648327, 0.359291, 1.0]], ['2, k, 8', [-0.183481, -0.143444, 1.0]], ['2, k, 9', [-0.0178456, 0.0615584, 1.0]], ['2, k, 10', [0.0753642, 0.273315, 1.0]], ['2, k, 11', [0.0968687, 0.358432, 1.0]], ['2, k, 12', [-0.384234, -0.627266, 1.0]], ['2, k, 13', [-0.444551, -0.895157, 1.0]], ['2, k, 14', [-0.457461, -1.15473, 1.0]], ['2, k, 15', [-0.446158, -1.21055, 1.0]], ['2, k, 16', [-0.253296, -0.628662, 1.0]], ['2, k, 17', [-0.186899, -0.896235, 1.0]], ['2, k, 18', [-0.134735, -1.15628, 1.0]], ['2, k, 19', [-0.107691, -1.20142, 1.0]], ['2, k, 20', [-0.335484, -0.177736, 1.0]], ['2, k, 21', [-0.63737, 0.409781, 1.0]], ['2, k, 22', [-0.677603, 0.353629, 1.0]], ['2, k, 23', [0.104065, 0.410186, 1.0]], ['2, k, 24', [0.0685424, 0.379026, 1.0]]]
[['2, k, 0', [-0.320368, -0.633286, 1.0]], ['2, k, 1', [-0.330521, -0.37257, 1.0]], ['2, k, 2', [-0.335137, -0.110528, 1.0]], ['2, k, 3', [-0.338366, 0.0254994, 1.0]], ['2, k, 4', [-0.477482, -0.138903, 1.0]], ['2, k, 5', [-0.593755, 0.0878209, 1.0]], ['2, k, 6', [-0.652308, 0.296743, 1.0]], ['2, k, 7', [-0.645929, 0.360519, 1.0]], ['2, k, 8', [-0.183453, -0.143429, 1.0]], ['2, k, 9', [-0.0166784, 0.0624317, 1.0]], ['2, k, 10', [0.0763411, 0.27388, 1.0]], ['2, k, 11', [0.0968803, 0.359007, 1.0]], ['2, k, 12', [-0.38293, -0.627151, 1.0]], ['2, k, 13', [-0.443803, -0.897337, 1.0]], ['2, k, 14', [-0.456447, -1.15978, 1.0]], ['2, k, 15', [-0.445024, -1.21486, 1.0]], ['2, k, 16', [-0.251697, -0.62826, 1.0]], ['2, k, 17', [-0.184121, -0.897195, 1.0]], ['2, k, 18', [-0.138491, -1.14371, 1.0]], ['2, k, 19', [-0.112794, -1.18825, 1.0]], ['2, k, 20', [-0.334993, -0.17697, 1.0]], ['2, k, 21', [-0.639193, 0.409971, 1.0]], ['2, k, 22', [-0.67721, 0.360417, 1.0]], ['2, k, 23', [0.107177, 0.409883, 1.0]], ['2, k, 24', [0.0675188, 0.380263, 1.0]]]
[['2, k, 0', [-0.317561, -0.636901, 1.0]], ['2, k, 1', [-0.32915, -0.37295, 1.0]], ['2, k, 2', [-0.334833, -0.110266, 1.0]], ['2, k, 3', [-0.338043, 0.0256052, 1.0]], ['2, k, 4', [-0.477563, -0.138413, 1.0]], ['2, k, 5', [-0.593784, 0.0893424, 1.0]], ['2, k, 6', [-0.651998, 0.297043, 1.0]], ['2, k, 7', [-0.645705, 0.360907, 1.0]], ['2, k, 8', [-0.183411, -0.143395, 1.0]], ['2, k, 9', [-0.0171223, 0.0617777, 1.0]], ['2, k, 10', [0.0760289, 0.272913, 1.0]], ['2, k, 11', [0.0963006, 0.353461, 1.0]], ['2, k, 12', [-0.381226, -0.629394, 1.0]], ['2, k, 13', [-0.44308, -0.898237, 1.0]], ['2, k, 14', [-0.455091, -1.15971, 1.0]], ['2, k, 15', [-0.443395, -1.21436, 1.0]], ['2, k, 16', [-0.247768, -0.6331, 1.0]], ['2, k, 17', [-0.18226, -0.897801, 1.0]], ['2, k, 18', [-0.159749, -1.14554, 1.0]], ['2, k, 19', [-0.14232, -1.05487, 1.0]], ['2, k, 20', [-0.334311, -0.17661, 1.0]], ['2, k, 21', [-0.638486, 0.410509, 1.0]], ['2, k, 22', [-0.678298, 0.372708, 1.0]], ['2, k, 23', [0.106931, 0.410119, 1.0]], ['2, k, 24', [0.0657518, 0.387078, 1.0]]]
[['2, k, 0', [-0.314894, -0.640036, 1.0]], ['2, k, 1', [-0.32744, -0.374545, 1.0]], ['2, k, 2', [-0.334544, -0.111372, 1.0]], ['2, k, 3', [-0.338443, 0.0255187, 1.0]], ['2, k, 4', [-0.476667, -0.140363, 1.0]], ['2, k, 5', [-0.581825, 0.0604216, 1.0]], ['2, k, 6', [-0.651737, 0.296974, 1.0]], ['2, k, 7', [-0.646692, 0.36089, 1.0]], ['2, k, 8', [-0.183495, -0.143498, 1.0]], ['2, k, 9', [-0.0406544, 0.0398854, 1.0]], ['2, k, 10', [0.075255, 0.271844, 1.0]], ['2, k, 11', [0.0947908, 0.353469, 1.0]], ['2, k, 12', [-0.379097, -0.633177, 1.0]], ['2, k, 13', [-0.441522, -0.900441, 1.0]], ['2, k, 14', [-0.454119, -1.15953, 1.0]], ['2, k, 15', [-0.442467, -1.21431, 1.0]], ['2, k, 16', [-0.24472, -0.635416, 1.0]], ['2, k, 17', [-0.181157, -0.897341, 1.0]], ['2, k, 18', [-0.143597, -1.13999, 1.0]], ['2, k, 19', [-0.18481, -1.05752, 1.0]], ['2, k, 20', [-0.333556, -0.177589, 1.0]], ['2, k, 21', [-0.642303, 0.411239, 1.0]], ['2, k, 22', [-0.667159, 0.414448, 1.0]], ['2, k, 23', [0.104186, 0.406928, 1.0]], ['2, k, 24', [0.0679496, 0.381235, 1.0]]]
