[['2, k, 0', [-0.0709786, -0.392478, 1.0]], ['2, k, 1', [-0.041389, -0.0543901, 1.0]], ['2, k, 2', [-0.0122444, 0.276814, 1.0]], ['2, k, 3', [-0.00415679, 0.426162, 1.0]], ['2, k, 4', [-0.185639, 0.190484, 1.0]], ['2, k, 5', [-0.301314, 0.109687, 1.0]], ['2, k, 6', [-0.286676, 0.0108928, 1.0]], ['2, k, 7', [-0.262313, -0.056847, 1.0]], ['2, k, 8', [0.149353, 0.172837, 1.0]], ['2, k, 9', [0.250519, 0.0727334, 1.0]], ['2, k, 10', [0.260338, -0.000401198, 1.0]], ['2, k, 11', [0.230252, -0.0597996, 1.0]], ['2, k, 12', [-0.146371, -0.383871, 1.0]], ['2, k, 13', [-0.209164, -0.720353, 1.0]], ['2, k, 14', [-0.166177, -0.71903, 1.0]], ['2, k, 15', [-0.123055, -0.788013, 1.0]], ['2, k, 16', [0.00607465, -0.391907, 1.0]], ['2, k, 17', [0.218427, -0.661841, 1.0]], ['2, k, 18', [0.0732138, -0.709667, 1.0]], ['2, k, 19', [0.0488406, -0.793376, 1.0]], ['2, k, 20', [-0.0194765, 0.194957, 1.0]], ['2, k, 21', [-0.253904, -0.0974933, 1.0]], ['2, k, 22', [-0.292189, -0.0477861, 1.0]], ['2, k, 23', [0.225712, -0.108188, 1.0]], ['2, k, 24', [0.266271, -0.0570109, 1.0]]]
[['2, k, 0', [-0.0468759, -0.39139, 1.0]], ['2, k, 1', [-0.0372331, -0.0543243, 1.0]], ['2, k, 2', [-0.0129002, 0.276663, 1.0]], ['2, k, 3', [-0.00419042, 0.426122, 1.0]], ['2, k, 4', [-0.185452, 0.189607, 1.0]], ['2, k, 5', [-0.309297, 0.130094, 1.0]], ['2, k, 6', [-0.270709, 0.0594176, 1.0]], ['2, k, 7', [-0.253091, -0.00393399, 1.0]], ['2, k, 8', [0.149214, 0.173265, 1.0]], ['2, k, 9', [0.20234, 0.0952378, 1.0]], ['2, k, 10', [0.234668, 0.0554434, 1.0]], ['2, k, 11', [0.22772, -0.0118392, 1.0]], ['2, k, 12', [-0.123518, -0.38479, 1.0]], ['2, k, 13', [-0.187972, -0.725657, 1.0]], ['2, k, 14', [-0.165614, -0.953565, 1.0]], ['2, k, 15', [-0.154514, -0.820674, 1.0]], ['2, k, 16', [0.0309567, -0.388594, 1.0]], ['2, k, 17', [0.180865, -0.700894, 1.0]], ['2, k, 18', [0.180031, -0.966515, 1.0]], ['2, k, 19', [0.108654, -0.83693, 1.0]], ['2, k, 20', [-0.0194889, 0.194939, 1.0]], ['2, k, 21', [-0.241977, -0.0274504, 1.0]], ['2, k, 22', [-0.284706, 0.00506946, 1.0]], ['2, k, 23', [0.224528, -0.0444866, 1.0]], ['2, k, 24', [0.247379, 0.0212385, 1.0]]]
[['2, k, 0', [-0.0307805, -0.328198, 1.0]], ['2, k, 1', [-0.0279717, -0.0305263, 1.0]], ['2, k, 2', [-0.0139688, 0.27711, 1.0]], ['2, k, 3', [-0.00432336, 0.425504, 1.0]], ['2, k, 4', [-0.184637, 0.188725, 1.0]], ['2, k, 5', [-0.258962, 0.134098, 1.0]], ['2, k, 6', [-0.246619, 0.0744018, 1.0]], ['2, k, 7', [-0.24201, 0.053308, 1.0]], ['2, k, 8', [0.147859, 0.173913, 1.0]], ['2, k, 9', [0.211889, 0.15067, 1.0]], ['2, k, 10', [0.222685, 0.107528, 1.0]], ['2, k, 11', [0.235236, 0.0478205, 1.0]], ['2, k, 12', [-0.106654, -0.322741, 1.0]], ['2, k, 13', [-0.177904, -0.66257, 1.0]], ['2, k, 14', [-0.191786, -0.926502, 1.0]], ['2, k, 15', [-0.15876, -0.788395, 1.0]], ['2, k, 16', [0.0458044, -0.3261, 1.0]], ['2, k, 17', [0.0805276, -0.668468, 1.0]], ['2, k, 18', [0.0893838, -0.936692, 1.0]], ['2, k, 19', [0.0641548, -0.799116, 1.0]], ['2, k, 20', [-0.0194952, 0.196978, 1.0]], ['2, k, 21', [-0.246422, 0.0293746, 1.0]], ['2, k, 22', [-0.276941, 0.0499014, 1.0]], ['2, k, 23', [0.219191, 0.0191811, 1.0]], ['2, k, 24', [0.266922, 0.0553979, 1.0]]]
[['2, k, 0', [-0.0307533, -0.328037, 1.0]], ['2, k, 1', [-0.0267237, -0.0284595, 1.0]], ['2, k, 2', [-0.0140311, 0.27716, 1.0]], ['2, k, 3', [-0.00434857, 0.425316, 1.0]], ['2, k, 4', [-0.181006, 0.191932, 1.0]], ['2, k, 5', [-0.255222, 0.141969, 1.0]], ['2, k, 6', [-0.260519, 0.134814, 1.0]], ['2, k, 7', [-0.231633, 0.11163, 1.0]], ['2, k, 8', [0.147406, 0.173784, 1.0]], ['2, k, 9', [0.2059, 0.153395, 1.0]], ['2, k, 10', [0.213569, 0.143664, 1.0]], ['2, k, 11', [0.23955, 0.112469, 1.0]], ['2, k, 12', [-0.106523, -0.321978, 1.0]], ['2, k, 13', [-0.176744, -0.656093, 1.0]], ['2, k, 14', [-0.188064, -0.924708, 1.0]], ['2, k, 15', [-0.157657, -0.789641, 1.0]], ['2, k, 16', [0.0457573, -0.3265, 1.0]], ['2, k, 17', [0.080203, -0.663424, 1.0]], ['2, k, 18', [0.0878157, -0.935808, 1.0]], ['2, k, 19', [0.0631487, -0.801272, 1.0]], ['2, k, 20', [-0.0190639, 0.198118, 1.0]], ['2, k, 21', [-0.218935, 0.0757816, 1.0]], ['2, k, 22', [-0.248407, 0.137177, 1.0]], ['2, k, 23', [0.240243, 0.0837331, 1.0]], ['2, k, 24', [0.232522, 0.144327, 1.0]]]
[['2, k, 0', [-0.0310538, -0.32812, 1.0]], ['2, k, 1', [-0.0265827, -0.0278211, 1.0]], ['2, k, 2', [-0.0144285, 0.277281, 1.0]], ['2, k, 3', [-0.0044873, 0.425392, 1.0]], ['2, k, 4', [-0.180154, 0.19094, 1.0]], ['2, k, 5', [-0.238435, 0.0842036, 1.0]], ['2, k, 6', [-0.247787, 0.0688751, 1.0]], ['2, k, 7', [-0.226602, 0.176616, 1.0]], ['2, k, 8', [0.147251, 0.174043, 1.0]], ['2, k, 9', [0.205152, 0.153106, 1.0]], ['2, k, 10', [0.216108, 0.151876, 1.0]], ['2, k, 11', [0.239, 0.172812, 1.0]], ['2, k, 12', [-0.106766, -0.32212, 1.0]], ['2, k, 13', [-0.177244, -0.657275, 1.0]], ['2, k, 14', [-0.188374, -0.931494, 1.0]], ['2, k, 15', [-0.159222, -0.796428, 1.0]], ['2, k, 16', [0.0453454, -0.326628, 1.0]], ['2, k, 17', [0.081084, -0.664545, 1.0]], ['2, k, 18', [0.0881679, -0.942852, 1.0]], ['2, k, 19', [0.0633158, -0.808306, 1.0]], ['2, k, 20', [-0.0190441, 0.198793, 1.0]], ['2, k, 21', [-0.222188, 0.176777, 1.0]], ['2, k, 22', [-0.248797, 0.203496, 1.0]], ['2, k, 23', [0.232521, 0.157697, 1.0]], ['2, k, 24', [0.246526, 0.19032, 1.0]]]
[['2, k, 0', [-0.0313551, -0.327935, 1.0]], ['2, k, 1', [-0.0265169, -0.0264293, 1.0]], ['2, k, 2', [-0.0151205, 0.278234, 1.0]], ['2, k, 3', [-0.00485811, 0.425793, 1.0]], ['2, k, 4', [-0.17671, 0.188602, 1.0]], ['2, k, 5', [-0.257886, 0.170813, 1.0]], ['2, k, 6', [-0.255574, 0.19851, 1.0]], ['2, k, 7', [-0.216483, 0.234333, 1.0]], ['2, k, 8', [0.146199, 0.175532, 1.0]], ['2, k, 9', [0.212903, 0.16237, 1.0]], ['2, k, 10', [0.262359, 0.176211, 1.0]], ['2, k, 11', [0.241034, 0.235177, 1.0]], ['2, k, 12', [-0.106972, -0.322109, 1.0]], ['2, k, 13', [-0.185013, -0.657243, 1.0]], ['2, k, 14', [-0.191557, -0.936968, 1.0]], ['2, k, 15', [-0.161933, -0.800021, 1.0]], ['2, k, 16', [0.0448684, -0.326232, 1.0]], ['2, k, 17', [0.0815623, -0.664893, 1.0]], ['2, k, 18', [0.0889016, -0.947796, 1.0]], ['2, k, 19', [0.0640315, -0.81313, 1.0]], ['2, k, 20', [-0.0191789, 0.200498, 1.0]], ['2, k, 21', [-0.208093, 0.23354, 1.0]], ['2, k, 22', [-0.235544, 0.249989, 1.0]], ['2, k, 23', [0.24465, 0.251236, 1.0]], ['2, k, 24', [0.259227, 0.252626, 1.0]]]
[['2, k, 0', [-0.0319798, -0.326887, 1.0]], ['2, k, 1', [-0.0264189, -0.0255215, 1.0]], ['2, k, 2', [-0.0153101, 0.277941, 1.0]], ['2, k, 3', [-0.00505177, 0.425671, 1.0]], ['2, k, 4', [-0.175951, 0.188716, 1.0]], ['2, k, 5', [-0.252581, 0.20205, 1.0]], ['2, k, 6', [-0.268829, 0.23861, 1.0]], ['2, k, 7', [-0.214711, 0.288004, 1.0]], ['2, k, 8', [0.1462, 0.175569, 1.0]], ['2, k, 9', [0.222611, 0.199528, 1.0]], ['2, k, 10', [0.25473, 0.233467, 1.0]], ['2, k, 11', [0.235077, 0.292546, 1.0]], ['2, k, 12', [-0.107584, -0.320524, 1.0]], ['2, k, 13', [-0.184767, -0.652984, 1.0]], ['2, k, 14', [-0.191886, -0.932023, 1.0]], ['2, k, 15', [-0.16111, -0.796363, 1.0]], ['2, k, 16', [0.0443286, -0.32564, 1.0]], ['2, k, 17', [0.0812925, -0.661407, 1.0]], ['2, k, 18', [0.0900362, -0.945505, 1.0]], ['2, k, 19', [0.062837, -0.811652, 1.0]], ['2, k, 20', [-0.0191802, 0.200545, 1.0]], ['2, k, 21', [-0.191063, 0.302499, 1.0]], ['2, k, 22', [-0.220402, 0.308465, 1.0]], ['2, k, 23', [0.234936, 0.308001, 1.0]], ['2, k, 24', [0.258536, 0.300299, 1.0]]]
[['2, k, 0', [-0.032189, -0.324668, 1.0]], ['2, k, 1', [-0.0264801, -0.0241102, 1.0]], ['2, k, 2', [-0.015995, 0.277666, 1.0]], ['2, k, 3', [-0.0052483, 0.425624, 1.0]], ['2, k, 4', [-0.175751, 0.186513, 1.0]], ['2, k, 5', [-0.262182, 0.217435, 1.0]], ['2, k, 6', [-0.242362, 0.284924, 1.0]], ['2, k, 7', [-0.207112, 0.340025, 1.0]], ['2, k, 8', [0.144365, 0.176919, 1.0]], ['2, k, 9', [0.224977, 0.204428, 1.0]], ['2, k, 10', [0.246369, 0.279702, 1.0]], ['2, k, 11', [0.240463, 0.343358, 1.0]], ['2, k, 12', [-0.107555, -0.319434, 1.0]], ['2, k, 13', [-0.185267, -0.652559, 1.0]], ['2, k, 14', [-0.189335, -0.933628, 1.0]], ['2, k, 15', [-0.161187, -0.797439, 1.0]], ['2, k, 16', [0.0437685, -0.322125, 1.0]], ['2, k, 17', [0.0807494, -0.658982, 1.0]], ['2, k, 18', [0.090109, -0.945477, 1.0]], ['2, k, 19', [0.0609122, -0.811145, 1.0]], ['2, k, 20', [-0.0194248, 0.200769, 1.0]], ['2, k, 21', [-0.185289, 0.353675, 1.0]], ['2, k, 22', [-0.222687, 0.358248, 1.0]], ['2, k, 23', [0.234424, 0.361065, 1.0]], ['2, k, 24', [0.269481, 0.352216, 1.0]]]
[['2, k, 0', [-0.0313762, -0.321563, 1.0]], ['2, k, 1', [-0.0258095, -0.02185, 1.0]], ['2, k, 2', [-0.016089, 0.277697, 1.0]], ['2, k, 3', [-0.00534691, 0.425551, 1.0]], ['2, k, 4', [-0.175313, 0.186851, 1.0]], ['2, k, 5', [-0.253487, 0.245147, 1.0]], ['2, k, 6', [-0.23944, 0.329553, 1.0]], ['2, k, 7', [-0.209308, 0.383184, 1.0]], ['2, k, 8', [0.143287, 0.178338, 1.0]], ['2, k, 9', [0.232517, 0.237199, 1.0]], ['2, k, 10', [0.248289, 0.32778, 1.0]], ['2, k, 11', [0.243757, 0.388145, 1.0]], ['2, k, 12', [-0.106486, -0.316673, 1.0]], ['2, k, 13', [-0.187777, -0.649797, 1.0]], ['2, k, 14', [-0.189879, -0.932083, 1.0]], ['2, k, 15', [-0.161906, -0.795613, 1.0]], ['2, k, 16', [0.04428, -0.319059, 1.0]], ['2, k, 17', [0.0855906, -0.655684, 1.0]], ['2, k, 18', [0.0867688, -0.94507, 1.0]], ['2, k, 19', [0.060413, -0.810145, 1.0]], ['2, k, 20', [-0.0194198, 0.201369, 1.0]], ['2, k, 21', [-0.183502, 0.406025, 1.0]], ['2, k, 22', [-0.21932, 0.406616, 1.0]], ['2, k, 23', [0.23083, 0.410286, 1.0]], ['2, k, 24', [0.270883, 0.400575, 1.0]]]
[['2, k, 0', [-0.0316638, -0.321995, 1.0]], ['2, k, 1', [-0.0259055, -0.0217369, 1.0]], ['2, k, 2', [-0.0163749, 0.277662, 1.0]], ['2, k, 3', [-0.00535625, 0.425551, 1.0]], ['2, k, 4', [-0.175004, 0.187714, 1.0]], ['2, k, 5', [-0.256277, 0.254198, 1.0]], ['2, k, 6', [-0.233874, 0.370205, 1.0]], ['2, k, 7', [-0.202691, 0.431174, 1.0]], ['2, k, 8', [0.142713, 0.181552, 1.0]], ['2, k, 9', [0.235942, 0.253566, 1.0]], ['2, k, 10', [0.252808, 0.379234, 1.0]], ['2, k, 11', [0.243769, 0.434049, 1.0]], ['2, k, 12', [-0.106793, -0.316896, 1.0]], ['2, k, 13', [-0.189509, -0.650001, 1.0]], ['2, k, 14', [-0.187944, -0.933293, 1.0]], ['2, k, 15', [-0.162465, -0.796339, 1.0]], ['2, k, 16', [0.0440313, -0.319791, 1.0]], ['2, k, 17', [0.0892998, -0.657318, 1.0]], ['2, k, 18', [0.0892751, -0.947734, 1.0]], ['2, k, 19', [0.0607101, -0.812378, 1.0]], ['2, k, 20', [-0.0196069, 0.201561, 1.0]], ['2, k, 21', [-0.17781, 0.45305, 1.0]], ['2, k, 22', [-0.225146, 0.452408, 1.0]], ['2, k, 23', [0.234447, 0.462709, 1.0]], ['2, k, 24', [0.268015, 0.444625, 1.0]]]
[['2, k, 0', [-0.0316658, -0.335408, 1.0]], ['2, k, 1', [-0.0252427, -0.0256741, 1.0]], ['2, k, 2', [-0.0162449, 0.276507, 1.0]], ['2, k, 3', [-0.0053088, 0.425336, 1.0]], ['2, k, 4', [-0.175204, 0.188024, 1.0]], ['2, k, 5', [-0.273346, 0.289529, 1.0]], ['2, k, 6', [-0.229397, 0.418474, 1.0]], ['2, k, 7', [-0.202639, 0.465932, 1.0]], ['2, k, 8', [0.142693, 0.181353, 1.0]], ['2, k, 9', [0.250076, 0.278809, 1.0]], ['2, k, 10', [0.253229, 0.417973, 1.0]], ['2, k, 11', [0.242015, 0.475687, 1.0]], ['2, k, 12', [-0.106097, -0.328981, 1.0]], ['2, k, 13', [-0.182733, -0.664804, 1.0]], ['2, k, 14', [-0.177461, -0.953637, 1.0]], ['2, k, 15', [-0.165126, -0.820487, 1.0]], ['2, k, 16', [0.0433258, -0.334625, 1.0]], ['2, k, 17', [0.0921777, -0.673007, 1.0]], ['2, k, 18', [0.0850409, -0.976105, 1.0]], ['2, k, 19', [0.0706261, -0.841031, 1.0]], ['2, k, 20', [-0.0191975, 0.200381, 1.0]], ['2, k, 21', [-0.170585, 0.496371, 1.0]], ['2, k, 22', [-0.212618, 0.495962, 1.0]], ['2, k, 23', [0.227889, 0.509756, 1.0]], ['2, k, 24', [0.278174, 0.476822, 1.0]]]
