[['2, k, 0', [0.0155907, -0.353432, 1.0]], ['2, k, 1', [0.0161744, -0.0203778, 1.0]], ['2, k, 2', [0.016673, 0.305625, 1.0]], ['2, k, 3', [0.0470309, 0.461239, 1.0]], ['2, k, 4', [-0.143709, 0.203132, 1.0]], ['2, k, 5', [-0.182777, -0.0366728, 1.0]], ['2, k, 6', [-0.10563, -0.198134, 1.0]], ['2, k, 7', [-0.0265695, -0.253165, 1.0]], ['2, k, 8', [0.191174, 0.196022, 1.0]], ['2, k, 9', [0.220198, -0.0375338, 1.0]], ['2, k, 10', [0.122362, -0.234629, 1.0]], ['2, k, 11', [0.0532395, -0.286601, 1.0]], ['2, k, 12', [-0.0608205, -0.347604, 1.0]], ['2, k, 13', [-0.127905, -0.749085, 1.0]], ['2, k, 14', [-0.137111, -1.13145, 1.0]], ['2, k, 15', [-0.170654, -1.20215, 1.0]], ['2, k, 16', [0.091621, -0.350795, 1.0]], ['2, k, 17', [0.149595, -0.743639, 1.0]], ['2, k, 18', [0.183382, -1.11658, 1.0]], ['2, k, 19', [0.144775, -1.19336, 1.0]], ['2, k, 20', [0.0165632, 0.225105, 1.0]], ['2, k, 21', [0.00545907, -0.318684, 1.0]], ['2, k, 22', [0.00667716, -0.213086, 1.0]], ['2, k, 23', [0.027797, -0.344791, 1.0]], ['2, k, 24', [0.0101345, -0.240015, 1.0]]]
[['2, k, 0', [0.011919, -0.341922, 1.0]], ['2, k, 1', [0.0152037, -0.0175904, 1.0]], ['2, k, 2', [0.0166529, 0.305553, 1.0]], ['2, k, 3', [0.046984, 0.46103, 1.0]], ['2, k, 4', [-0.143825, 0.203402, 1.0]], ['2, k, 5', [-0.182557, -0.0355828, 1.0]], ['2, k, 6', [-0.0782425, -0.200399, 1.0]], ['2, k, 7', [-0.0207326, -0.259526, 1.0]], ['2, k, 8', [0.19117, 0.196284, 1.0]], ['2, k, 9', [0.220032, -0.0375506, 1.0]], ['2, k, 10', [0.125239, -0.229979, 1.0]], ['2, k, 11', [0.0864851, -0.255275, 1.0]], ['2, k, 12', [-0.0644757, -0.336255, 1.0]], ['2, k, 13', [-0.127788, -0.748809, 1.0]], ['2, k, 14', [-0.137818, -1.12834, 1.0]], ['2, k, 15', [-0.165757, -1.19845, 1.0]], ['2, k, 16', [0.0880227, -0.339459, 1.0]], ['2, k, 17', [0.148053, -0.737625, 1.0]], ['2, k, 18', [0.183312, -1.11627, 1.0]], ['2, k, 19', [0.134347, -1.19274, 1.0]], ['2, k, 20', [0.0164672, 0.225234, 1.0]], ['2, k, 21', [0.00858708, -0.310556, 1.0]], ['2, k, 22', [0.00634946, -0.236381, 1.0]], ['2, k, 23', [0.0640675, -0.325278, 1.0]], ['2, k, 24', [0.0615208, -0.240078, 1.0]]]
[['2, k, 0', [0.0110878, -0.340816, 1.0]], ['2, k, 1', [0.0146591, -0.0167113, 1.0]], ['2, k, 2', [0.0166301, 0.305538, 1.0]], ['2, k, 3', [0.0470877, 0.460905, 1.0]], ['2, k, 4', [-0.144012, 0.203655, 1.0]], ['2, k, 5', [-0.182633, -0.0355112, 1.0]], ['2, k, 6', [-0.0752152, -0.208681, 1.0]], ['2, k, 7', [-0.0193882, -0.268113, 1.0]], ['2, k, 8', [0.191353, 0.196876, 1.0]], ['2, k, 9', [0.220046, -0.0387785, 1.0]], ['2, k, 10', [0.127611, -0.227313, 1.0]], ['2, k, 11', [0.0861593, -0.258101, 1.0]], ['2, k, 12', [-0.0652687, -0.335294, 1.0]], ['2, k, 13', [-0.127695, -0.748653, 1.0]], ['2, k, 14', [-0.137299, -1.1288, 1.0]], ['2, k, 15', [-0.165721, -1.20031, 1.0]], ['2, k, 16', [0.0871729, -0.33825, 1.0]], ['2, k, 17', [0.148191, -0.73935, 1.0]], ['2, k, 18', [0.183178, -1.11602, 1.0]], ['2, k, 19', [0.187798, -1.15751, 1.0]], ['2, k, 20', [0.0163589, 0.225342, 1.0]], ['2, k, 21', [0.0153603, -0.317716, 1.0]], ['2, k, 22', [0.0196768, -0.273749, 1.0]], ['2, k, 23', [0.0462169, -0.304543, 1.0]], ['2, k, 24', [0.0606205, -0.24101, 1.0]]]
[['2, k, 0', [0.0142943, -0.368239, 1.0]], ['2, k, 1', [0.0151334, -0.0220804, 1.0]], ['2, k, 2', [0.0166432, 0.305414, 1.0]], ['2, k, 3', [0.0470782, 0.460897, 1.0]], ['2, k, 4', [-0.144087, 0.204164, 1.0]], ['2, k, 5', [-0.182415, -0.0344431, 1.0]], ['2, k, 6', [-0.0734915, -0.22065, 1.0]], ['2, k, 7', [-0.0179604, -0.284754, 1.0]], ['2, k, 8', [0.191345, 0.19671, 1.0]], ['2, k, 9', [0.220359, -0.0382635, 1.0]], ['2, k, 10', [0.129215, -0.23341, 1.0]], ['2, k, 11', [0.0801329, -0.288678, 1.0]], ['2, k, 12', [-0.0622854, -0.359845, 1.0]], ['2, k, 13', [-0.127691, -0.74881, 1.0]], ['2, k, 14', [-0.13784, -1.13004, 1.0]], ['2, k, 15', [-0.166102, -1.20188, 1.0]], ['2, k, 16', [0.0905268, -0.36799, 1.0]], ['2, k, 17', [0.147882, -0.739322, 1.0]], ['2, k, 18', [0.183957, -1.11642, 1.0]], ['2, k, 19', [0.188423, -1.15804, 1.0]], ['2, k, 20', [0.0163895, 0.224818, 1.0]], ['2, k, 21', [0.0220333, -0.338339, 1.0]], ['2, k, 22', [0.0268573, -0.296158, 1.0]], ['2, k, 23', [0.0438376, -0.335507, 1.0]], ['2, k, 24', [0.0653844, -0.251025, 1.0]]]
[['2, k, 0', [-0.0127239, -0.322043, 1.0]], ['2, k, 1', [0.00974539, -0.0145002, 1.0]], ['2, k, 2', [0.0167607, 0.305359, 1.0]], ['2, k, 3', [0.0471076, 0.460407, 1.0]], ['2, k, 4', [-0.14396, 0.204401, 1.0]], ['2, k, 5', [-0.183587, -0.0347333, 1.0]], ['2, k, 6', [-0.071912, -0.23219, 1.0]], ['2, k, 7', [-0.0187567, -0.306208, 1.0]], ['2, k, 8', [0.191288, 0.196689, 1.0]], ['2, k, 9', [0.221426, -0.0380064, 1.0]], ['2, k, 10', [0.147809, -0.232517, 1.0]], ['2, k, 11', [0.0906047, -0.302038, 1.0]], ['2, k, 12', [-0.0888489, -0.315775, 1.0]], ['2, k, 13', [-0.127748, -0.749881, 1.0]], ['2, k, 14', [-0.139188, -1.12982, 1.0]], ['2, k, 15', [-0.165864, -1.20237, 1.0]], ['2, k, 16', [0.0636972, -0.320642, 1.0]], ['2, k, 17', [0.147696, -0.739367, 1.0]], ['2, k, 18', [0.181858, -1.11154, 1.0]], ['2, k, 19', [0.186542, -1.15289, 1.0]], ['2, k, 20', [0.0161555, 0.225262, 1.0]], ['2, k, 21', [0.0439573, -0.356671, 1.0]], ['2, k, 22', [0.0462312, -0.292428, 1.0]], ['2, k, 23', [0.0504683, -0.354173, 1.0]], ['2, k, 24', [0.0291174, -0.327747, 1.0]]]
[['2, k, 0', [-0.0103948, -0.3221, 1.0]], ['2, k, 1', [0.00895698, -0.0125947, 1.0]], ['2, k, 2', [0.0166316, 0.305253, 1.0]], ['2, k, 3', [0.0472181, 0.460332, 1.0]], ['2, k, 4', [-0.143784, 0.204359, 1.0]], ['2, k, 5', [-0.184026, -0.0364349, 1.0]], ['2, k, 6', [-0.069777, -0.253911, 1.0]], ['2, k, 7', [-0.0303732, -0.331355, 1.0]], ['2, k, 8', [0.192524, 0.18716, 1.0]], ['2, k, 9', [0.224913, -0.0399119, 1.0]], ['2, k, 10', [0.148655, -0.265495, 1.0]], ['2, k, 11', [0.0968991, -0.334611, 1.0]], ['2, k, 12', [-0.0863857, -0.314946, 1.0]], ['2, k, 13', [-0.127336, -0.749633, 1.0]], ['2, k, 14', [-0.139007, -1.13004, 1.0]], ['2, k, 15', [-0.167775, -1.201, 1.0]], ['2, k, 16', [0.0660928, -0.321648, 1.0]], ['2, k, 17', [0.146556, -0.736429, 1.0]], ['2, k, 18', [0.181274, -1.11216, 1.0]], ['2, k, 19', [0.197632, -1.19629, 1.0]], ['2, k, 20', [0.0157663, 0.225464, 1.0]], ['2, k, 21', [0.0478101, -0.398977, 1.0]], ['2, k, 22', [0.0249469, -0.341258, 1.0]], ['2, k, 23', [0.0617854, -0.399232, 1.0]], ['2, k, 24', [0.0311715, -0.348039, 1.0]]]
[['2, k, 0', [0.0149881, -0.268292, 1.0]], ['2, k, 1', [0.0147229, 0.00950984, 1.0]], ['2, k, 2', [0.0169059, 0.304926, 1.0]], ['2, k, 3', [0.0475342, 0.459081, 1.0]], ['2, k, 4', [-0.1434, 0.202763, 1.0]], ['2, k, 5', [-0.184646, -0.0380468, 1.0]], ['2, k, 6', [-0.0993112, -0.26153, 1.0]], ['2, k, 7', [-0.0585128, -0.340111, 1.0]], ['2, k, 8', [0.192487, 0.189096, 1.0]], ['2, k, 9', [0.231237, -0.0437902, 1.0]], ['2, k, 10', [0.155698, -0.27258, 1.0]], ['2, k, 11', [0.121667, -0.355933, 1.0]], ['2, k, 12', [-0.0614342, -0.265218, 1.0]], ['2, k, 13', [-0.126103, -0.746121, 1.0]], ['2, k, 14', [-0.138912, -1.12972, 1.0]], ['2, k, 15', [-0.166282, -1.2013, 1.0]], ['2, k, 16', [0.0910521, -0.26508, 1.0]], ['2, k, 17', [0.146249, -0.736549, 1.0]], ['2, k, 18', [0.180522, -1.1136, 1.0]], ['2, k, 19', [0.184677, -1.15527, 1.0]], ['2, k, 20', [0.0163773, 0.226653, 1.0]], ['2, k, 21', [-0.0164751, -0.394772, 1.0]], ['2, k, 22', [-0.0207142, -0.342816, 1.0]], ['2, k, 23', [0.0864957, -0.424565, 1.0]], ['2, k, 24', [0.0868504, -0.334111, 1.0]]]
[['2, k, 0', [0.0176676, -0.270296, 1.0]], ['2, k, 1', [0.0164409, 0.0108423, 1.0]], ['2, k, 2', [0.0173404, 0.304471, 1.0]], ['2, k, 3', [0.0479377, 0.458495, 1.0]], ['2, k, 4', [-0.14345, 0.202779, 1.0]], ['2, k, 5', [-0.187605, -0.0433209, 1.0]], ['2, k, 6', [-0.110489, -0.271973, 1.0]], ['2, k, 7', [-0.08289, -0.35844, 1.0]], ['2, k, 8', [0.193055, 0.188718, 1.0]], ['2, k, 9', [0.235843, -0.0511293, 1.0]], ['2, k, 10', [0.17598, -0.293449, 1.0]], ['2, k, 11', [0.145877, -0.376263, 1.0]], ['2, k, 12', [-0.059134, -0.266058, 1.0]], ['2, k, 13', [-0.125438, -0.750621, 1.0]], ['2, k, 14', [-0.142463, -1.13087, 1.0]], ['2, k, 15', [-0.169172, -1.20352, 1.0]], ['2, k, 16', [0.0942317, -0.268763, 1.0]], ['2, k, 17', [0.145844, -0.736812, 1.0]], ['2, k, 18', [0.179176, -1.11141, 1.0]], ['2, k, 19', [0.183261, -1.15326, 1.0]], ['2, k, 20', [0.0171682, 0.227398, 1.0]], ['2, k, 21', [-0.0556941, -0.412023, 1.0]], ['2, k, 22', [-0.0461078, -0.360505, 1.0]], ['2, k, 23', [0.116768, -0.442718, 1.0]], ['2, k, 24', [0.10328, -0.367033, 1.0]]]
[['2, k, 0', [0.0220252, -0.277851, 1.0]], ['2, k, 1', [0.0175854, 0.0108764, 1.0]], ['2, k, 2', [0.0177705, 0.304343, 1.0]], ['2, k, 3', [0.0480871, 0.458504, 1.0]], ['2, k, 4', [-0.143471, 0.202827, 1.0]], ['2, k, 5', [-0.193264, -0.051199, 1.0]], ['2, k, 6', [-0.138173, -0.298291, 1.0]], ['2, k, 7', [-0.110976, -0.374847, 1.0]], ['2, k, 8', [0.193433, 0.189124, 1.0]], ['2, k, 9', [0.236938, -0.0552165, 1.0]], ['2, k, 10', [0.192146, -0.309823, 1.0]], ['2, k, 11', [0.171975, -0.392037, 1.0]], ['2, k, 12', [-0.0550394, -0.272379, 1.0]], ['2, k, 13', [-0.125356, -0.753746, 1.0]], ['2, k, 14', [-0.141703, -1.12978, 1.0]], ['2, k, 15', [-0.173114, -1.2061, 1.0]], ['2, k, 16', [0.0985974, -0.277205, 1.0]], ['2, k, 17', [0.145292, -0.737254, 1.0]], ['2, k, 18', [0.179131, -1.11128, 1.0]], ['2, k, 19', [0.183276, -1.15348, 1.0]], ['2, k, 20', [0.017854, 0.228029, 1.0]], ['2, k, 21', [-0.092404, -0.433523, 1.0]], ['2, k, 22', [-0.0786402, -0.368401, 1.0]], ['2, k, 23', [0.150832, -0.469383, 1.0]], ['2, k, 24', [0.143266, -0.37408, 1.0]]]
[['2, k, 0', [0.0265724, -0.319768, 1.0]], ['2, k, 1', [0.0197125, 0.00342413, 1.0]], ['2, k, 2', [0.0179852, 0.303778, 1.0]], ['2, k, 3', [0.0482753, 0.45852, 1.0]], ['2, k, 4', [-0.143374, 0.200533, 1.0]], ['2, k, 5', [-0.197204, -0.0603413, 1.0]], ['2, k, 6', [-0.15247, -0.30148, 1.0]], ['2, k, 7', [-0.142162, -0.387849, 1.0]], ['2, k, 8', [0.193649, 0.189447, 1.0]], ['2, k, 9', [0.247934, -0.0647907, 1.0]], ['2, k, 10', [0.225038, -0.318281, 1.0]], ['2, k, 11', [0.202383, -0.407811, 1.0]], ['2, k, 12', [-0.0522417, -0.32706, 1.0]], ['2, k, 13', [-0.125065, -0.758419, 1.0]], ['2, k, 14', [-0.141981, -1.1297, 1.0]], ['2, k, 15', [-0.169525, -1.20262, 1.0]], ['2, k, 16', [0.103781, -0.303773, 1.0]], ['2, k, 17', [0.145273, -0.738038, 1.0]], ['2, k, 18', [0.179198, -1.11106, 1.0]], ['2, k, 19', [0.183896, -1.15369, 1.0]], ['2, k, 20', [0.0181828, 0.227503, 1.0]], ['2, k, 21', [-0.121799, -0.456238, 1.0]], ['2, k, 22', [-0.105758, -0.378276, 1.0]], ['2, k, 23', [0.188085, -0.484616, 1.0]], ['2, k, 24', [0.16164, -0.397661, 1.0]]]
[['2, k, 0', [0.0253883, -0.322176, 1.0]], ['2, k, 1', [0.0200297, -0.00191935, 1.0]], ['2, k, 2', [0.0184491, 0.301827, 1.0]], ['2, k, 3', [0.0482691, 0.458472, 1.0]], ['2, k, 4', [-0.14371, 0.198325, 1.0]], ['2, k, 5', [-0.200549, -0.0870929, 1.0]], ['2, k, 6', [-0.186685, -0.327022, 1.0]], ['2, k, 7', [-0.173668, -0.396532, 1.0]], ['2, k, 8', [0.193759, 0.18115, 1.0]], ['2, k, 9', [0.255289, -0.0907269, 1.0]], ['2, k, 10', [0.238801, -0.321191, 1.0]], ['2, k, 11', [0.226094, -0.414909, 1.0]], ['2, k, 12', [-0.0527109, -0.326024, 1.0]], ['2, k, 13', [-0.127116, -0.750593, 1.0]], ['2, k, 14', [-0.139898, -1.12488, 1.0]], ['2, k, 15', [-0.17151, -1.19617, 1.0]], ['2, k, 16', [0.100441, -0.318421, 1.0]], ['2, k, 17', [0.144521, -0.737435, 1.0]], ['2, k, 18', [0.1793, -1.10949, 1.0]], ['2, k, 19', [0.183594, -1.15147, 1.0]], ['2, k, 20', [0.0186076, 0.22573, 1.0]], ['2, k, 21', [-0.167269, -0.468214, 1.0]], ['2, k, 22', [-0.131698, -0.37229, 1.0]], ['2, k, 23', [0.215043, -0.49775, 1.0]], ['2, k, 24', [0.178849, -0.419136, 1.0]]]
