[['2, k, 0', [-0.155316, -0.225001, 1.0]], ['2, k, 1', [-0.154834, 0.105931, 1.0]], ['2, k, 2', [-0.153391, 0.42709, 1.0]], ['2, k, 3', [-0.150384, 0.585222, 1.0]], ['2, k, 4', [-0.349207, 0.312461, 1.0]], ['2, k, 5', [-0.401241, 0.0953505, 1.0]], ['2, k, 6', [-0.333561, -0.0944925, 1.0]], ['2, k, 7', [-0.267716, -0.16678, 1.0]], ['2, k, 8', [0.0330655, 0.314029, 1.0]], ['2, k, 9', [0.0928888, 0.103864, 1.0]], ['2, k, 10', [0.0312145, -0.0719908, 1.0]], ['2, k, 11', [-0.0374855, -0.145441, 1.0]], ['2, k, 12', [-0.2402, -0.221842, 1.0]], ['2, k, 13', [-0.279684, -0.628046, 1.0]], ['2, k, 14', [-0.315365, -1.00917, 1.0]], ['2, k, 15', [-0.362305, -1.08691, 1.0]], ['2, k, 16', [-0.065611, -0.2212, 1.0]], ['2, k, 17', [-0.00507125, -0.637173, 1.0]], ['2, k, 18', [0.0359364, -1.01933, 1.0]], ['2, k, 19', [0.0688477, -1.0752, 1.0]], ['2, k, 20', [-0.153918, 0.348208, 1.0]], ['2, k, 21', [-0.218262, -0.245175, 1.0]], ['2, k, 22', [-0.216216, -0.0969362, 1.0]], ['2, k, 23', [-0.0888809, -0.223733, 1.0]], ['2, k, 24', [-0.0956611, -0.0783165, 1.0]]]
[['2, k, 0', [-0.155315, -0.224705, 1.0]], ['2, k, 1', [-0.154838, 0.105978, 1.0]], ['2, k, 2', [-0.153406, 0.427055, 1.0]], ['2, k, 3', [-0.15039, 0.585214, 1.0]], ['2, k, 4', [-0.349189, 0.312506, 1.0]], ['2, k, 5', [-0.401312, 0.0954469, 1.0]], ['2, k, 6', [-0.28446, -0.126013, 1.0]], ['2, k, 7', [-0.233945, -0.206702, 1.0]], ['2, k, 8', [0.0330584, 0.314034, 1.0]], ['2, k, 9', [0.0928053, 0.103835, 1.0]], ['2, k, 10', [0.0312145, -0.0718613, 1.0]], ['2, k, 11', [-0.0373728, -0.145927, 1.0]], ['2, k, 12', [-0.240199, -0.22149, 1.0]], ['2, k, 13', [-0.279617, -0.62769, 1.0]], ['2, k, 14', [-0.316561, -1.00867, 1.0]], ['2, k, 15', [-0.362725, -1.08733, 1.0]], ['2, k, 16', [-0.0656103, -0.220951, 1.0]], ['2, k, 17', [-0.0046407, -0.63731, 1.0]], ['2, k, 18', [0.0357374, -1.01926, 1.0]], ['2, k, 19', [0.0691537, -1.07545, 1.0]], ['2, k, 20', [-0.153927, 0.348199, 1.0]], ['2, k, 21', [-0.177275, -0.279848, 1.0]], ['2, k, 22', [-0.174691, -0.139599, 1.0]], ['2, k, 23', [-0.0872164, -0.224129, 1.0]], ['2, k, 24', [-0.0951917, -0.0782618, 1.0]]]
[['2, k, 0', [-0.1553, -0.224677, 1.0]], ['2, k, 1', [-0.154865, 0.10599, 1.0]], ['2, k, 2', [-0.153489, 0.427043, 1.0]], ['2, k, 3', [-0.15039, 0.585276, 1.0]], ['2, k, 4', [-0.349198, 0.312484, 1.0]], ['2, k, 5', [-0.401438, 0.0954118, 1.0]], ['2, k, 6', [-0.329113, -0.144326, 1.0]], ['2, k, 7', [-0.257548, -0.210602, 1.0]], ['2, k, 8', [0.0329391, 0.31394, 1.0]], ['2, k, 9', [0.0927131, 0.103488, 1.0]], ['2, k, 10', [0.0312833, -0.0717764, 1.0]], ['2, k, 11', [-0.0373759, -0.145784, 1.0]], ['2, k, 12', [-0.240185, -0.221459, 1.0]], ['2, k, 13', [-0.279617, -0.627691, 1.0]], ['2, k, 14', [-0.316603, -1.00818, 1.0]], ['2, k, 15', [-0.362999, -1.08764, 1.0]], ['2, k, 16', [-0.0655965, -0.220929, 1.0]], ['2, k, 17', [-0.0046343, -0.637678, 1.0]], ['2, k, 18', [0.0357429, -1.01916, 1.0]], ['2, k, 19', [0.0687214, -1.07543, 1.0]], ['2, k, 20', [-0.153994, 0.348193, 1.0]], ['2, k, 21', [-0.213798, -0.283487, 1.0]], ['2, k, 22', [-0.206859, -0.137643, 1.0]], ['2, k, 23', [-0.0871818, -0.224011, 1.0]], ['2, k, 24', [-0.0950247, -0.078856, 1.0]]]
[['2, k, 0', [-0.1553, -0.224712, 1.0]], ['2, k, 1', [-0.154899, 0.105958, 1.0]], ['2, k, 2', [-0.153594, 0.427027, 1.0]], ['2, k, 3', [-0.150382, 0.585332, 1.0]], ['2, k, 4', [-0.349154, 0.312461, 1.0]], ['2, k, 5', [-0.401591, 0.0947088, 1.0]], ['2, k, 6', [-0.328406, -0.130849, 1.0]], ['2, k, 7', [-0.259502, -0.19879, 1.0]], ['2, k, 8', [0.0328773, 0.313723, 1.0]], ['2, k, 9', [0.0926199, 0.101816, 1.0]], ['2, k, 10', [0.0316756, -0.0736714, 1.0]], ['2, k, 11', [-0.0377627, -0.146162, 1.0]], ['2, k, 12', [-0.240184, -0.221476, 1.0]], ['2, k, 13', [-0.279589, -0.627687, 1.0]], ['2, k, 14', [-0.316805, -1.00767, 1.0]], ['2, k, 15', [-0.363414, -1.08786, 1.0]], ['2, k, 16', [-0.0655968, -0.220986, 1.0]], ['2, k, 17', [-0.00432993, -0.637957, 1.0]], ['2, k, 18', [0.0357166, -1.01921, 1.0]], ['2, k, 19', [0.0688447, -1.07541, 1.0]], ['2, k, 20', [-0.154077, 0.348171, 1.0]], ['2, k, 21', [-0.211899, -0.273313, 1.0]], ['2, k, 22', [-0.208683, -0.128377, 1.0]], ['2, k, 23', [-0.0868203, -0.22306, 1.0]], ['2, k, 24', [-0.0956315, -0.078309, 1.0]]]
[['2, k, 0', [-0.155271, -0.224735, 1.0]], ['2, k, 1', [-0.154934, 0.105926, 1.0]], ['2, k, 2', [-0.153791, 0.426969, 1.0]], ['2, k, 3', [-0.150404, 0.585365, 1.0]], ['2, k, 4', [-0.349214, 0.312484, 1.0]], ['2, k, 5', [-0.403673, 0.0924476, 1.0]], ['2, k, 6', [-0.329345, -0.129027, 1.0]], ['2, k, 7', [-0.264641, -0.198624, 1.0]], ['2, k, 8', [0.0329506, 0.313363, 1.0]], ['2, k, 9', [0.0935922, 0.0993873, 1.0]], ['2, k, 10', [0.0330505, -0.0765721, 1.0]], ['2, k, 11', [-0.0373871, -0.146678, 1.0]], ['2, k, 12', [-0.240161, -0.221476, 1.0]], ['2, k, 13', [-0.279582, -0.627747, 1.0]], ['2, k, 14', [-0.316423, -1.00749, 1.0]], ['2, k, 15', [-0.363341, -1.08781, 1.0]], ['2, k, 16', [-0.0655595, -0.221048, 1.0]], ['2, k, 17', [-0.00504844, -0.637449, 1.0]], ['2, k, 18', [0.0354232, -1.01914, 1.0]], ['2, k, 19', [0.0688237, -1.07534, 1.0]], ['2, k, 20', [-0.154224, 0.348119, 1.0]], ['2, k, 21', [-0.220685, -0.272768, 1.0]], ['2, k, 22', [-0.21236, -0.134499, 1.0]], ['2, k, 23', [-0.0866731, -0.222661, 1.0]], ['2, k, 24', [-0.0931713, -0.0785563, 1.0]]]
[['2, k, 0', [-0.155172, -0.224462, 1.0]], ['2, k, 1', [-0.15491, 0.105953, 1.0]], ['2, k, 2', [-0.153832, 0.426697, 1.0]], ['2, k, 3', [-0.150362, 0.585428, 1.0]], ['2, k, 4', [-0.349467, 0.312364, 1.0]], ['2, k, 5', [-0.407409, 0.0909101, 1.0]], ['2, k, 6', [-0.336854, -0.124609, 1.0]], ['2, k, 7', [-0.272466, -0.196572, 1.0]], ['2, k, 8', [0.0328676, 0.313147, 1.0]], ['2, k, 9', [0.0988555, 0.0973827, 1.0]], ['2, k, 10', [0.017913, -0.111274, 1.0]], ['2, k, 11', [-0.0430337, -0.158871, 1.0]], ['2, k, 12', [-0.24006, -0.221202, 1.0]], ['2, k, 13', [-0.279486, -0.627527, 1.0]], ['2, k, 14', [-0.316995, -1.00556, 1.0]], ['2, k, 15', [-0.363426, -1.08773, 1.0]], ['2, k, 16', [-0.065465, -0.220785, 1.0]], ['2, k, 17', [-0.00479179, -0.637464, 1.0]], ['2, k, 18', [0.035171, -1.01862, 1.0]], ['2, k, 19', [0.0691047, -1.07554, 1.0]], ['2, k, 20', [-0.154248, 0.347935, 1.0]], ['2, k, 21', [-0.232657, -0.268655, 1.0]], ['2, k, 22', [-0.218969, -0.134613, 1.0]], ['2, k, 23', [-0.0916718, -0.233004, 1.0]], ['2, k, 24', [-0.0984192, -0.0932286, 1.0]]]
[['2, k, 0', [-0.154777, -0.223998, 1.0]], ['2, k, 1', [-0.154814, 0.106053, 1.0]], ['2, k, 2', [-0.153925, 0.426536, 1.0]], ['2, k, 3', [-0.150362, 0.585219, 1.0]], ['2, k, 4', [-0.350239, 0.312146, 1.0]], ['2, k, 5', [-0.41882, 0.0909843, 1.0]], ['2, k, 6', [-0.340486, -0.124238, 1.0]], ['2, k, 7', [-0.284816, -0.198528, 1.0]], ['2, k, 8', [0.0329239, 0.313177, 1.0]], ['2, k, 9', [0.107965, 0.0961368, 1.0]], ['2, k, 10', [0.0205118, -0.111656, 1.0]], ['2, k, 11', [-0.0396988, -0.164582, 1.0]], ['2, k, 12', [-0.239692, -0.220825, 1.0]], ['2, k, 13', [-0.279492, -0.627485, 1.0]], ['2, k, 14', [-0.316909, -1.00465, 1.0]], ['2, k, 15', [-0.36337, -1.0874, 1.0]], ['2, k, 16', [-0.0650554, -0.220241, 1.0]], ['2, k, 17', [-0.00476064, -0.63748, 1.0]], ['2, k, 18', [0.0351772, -1.0186, 1.0]], ['2, k, 19', [0.068929, -1.07537, 1.0]], ['2, k, 20', [-0.154287, 0.347851, 1.0]], ['2, k, 21', [-0.245058, -0.271485, 1.0]], ['2, k, 22', [-0.230944, -0.138092, 1.0]], ['2, k, 23', [-0.0842076, -0.244766, 1.0]], ['2, k, 24', [0.0180117, -0.199155, 1.0]]]
[['2, k, 0', [-0.154862, -0.223831, 1.0]], ['2, k, 1', [-0.154896, 0.106132, 1.0]], ['2, k, 2', [-0.153961, 0.426344, 1.0]], ['2, k, 3', [-0.15062, 0.58471, 1.0]], ['2, k, 4', [-0.35124, 0.311937, 1.0]], ['2, k, 5', [-0.4289, 0.0939452, 1.0]], ['2, k, 6', [-0.351492, -0.124588, 1.0]], ['2, k, 7', [-0.295123, -0.200892, 1.0]], ['2, k, 8', [0.0331721, 0.3126, 1.0]], ['2, k, 9', [0.126893, 0.0940043, 1.0]], ['2, k, 10', [0.0313369, -0.109078, 1.0]], ['2, k, 11', [-0.0423485, -0.176287, 1.0]], ['2, k, 12', [-0.23978, -0.220613, 1.0]], ['2, k, 13', [-0.279503, -0.627689, 1.0]], ['2, k, 14', [-0.318079, -1.00571, 1.0]], ['2, k, 15', [-0.363313, -1.08739, 1.0]], ['2, k, 16', [-0.0651459, -0.220104, 1.0]], ['2, k, 17', [-0.00469511, -0.637374, 1.0]], ['2, k, 18', [0.0349199, -1.01858, 1.0]], ['2, k, 19', [0.068336, -1.07486, 1.0]], ['2, k, 20', [-0.154346, 0.347744, 1.0]], ['2, k, 21', [-0.250139, -0.271176, 1.0]], ['2, k, 22', [-0.238076, -0.135754, 1.0]], ['2, k, 23', [-0.083361, -0.251774, 1.0]], ['2, k, 24', [0.0119304, -0.225408, 1.0]]]
[['2, k, 0', [-0.155855, -0.223774, 1.0]], ['2, k, 1', [-0.155344, 0.105943, 1.0]], ['2, k, 2', [-0.154127, 0.425763, 1.0]], ['2, k, 3', [-0.150792, 0.583468, 1.0]], ['2, k, 4', [-0.351961, 0.311877, 1.0]], ['2, k, 5', [-0.450425, 0.105281, 1.0]], ['2, k, 6', [-0.367836, -0.125993, 1.0]], ['2, k, 7', [-0.309803, -0.201211, 1.0]], ['2, k, 8', [0.0338059, 0.312558, 1.0]], ['2, k, 9', [0.143349, 0.0986832, 1.0]], ['2, k, 10', [0.0437229, -0.107054, 1.0]], ['2, k, 11', [-0.0311694, -0.17289, 1.0]], ['2, k, 12', [-0.24084, -0.220538, 1.0]], ['2, k, 13', [-0.279582, -0.627725, 1.0]], ['2, k, 14', [-0.318242, -1.00636, 1.0]], ['2, k, 15', [-0.364537, -1.08816, 1.0]], ['2, k, 16', [-0.0661142, -0.220067, 1.0]], ['2, k, 17', [-0.00491774, -0.633467, 1.0]], ['2, k, 18', [0.0339168, -1.01853, 1.0]], ['2, k, 19', [0.0684052, -1.07488, 1.0]], ['2, k, 20', [-0.154604, 0.34728, 1.0]], ['2, k, 21', [-0.27168, -0.266411, 1.0]], ['2, k, 22', [-0.251177, -0.138558, 1.0]], ['2, k, 23', [-0.0831721, -0.252934, 1.0]], ['2, k, 24', [0.0132287, -0.23614, 1.0]]]
[['2, k, 0', [-0.157038, -0.223877, 1.0]], ['2, k, 1', [-0.155814, 0.105669, 1.0]], ['2, k, 2', [-0.15403, 0.42507, 1.0]], ['2, k, 3', [-0.150898, 0.58266, 1.0]], ['2, k, 4', [-0.352508, 0.311971, 1.0]], ['2, k, 5', [-0.465379, 0.111819, 1.0]], ['2, k, 6', [-0.382761, -0.127174, 1.0]], ['2, k, 7', [-0.32937, -0.19632, 1.0]], ['2, k, 8', [0.0348114, 0.312346, 1.0]], ['2, k, 9', [0.158234, 0.108535, 1.0]], ['2, k, 10', [0.0545136, -0.105736, 1.0]], ['2, k, 11', [-0.0124429, -0.168263, 1.0]], ['2, k, 12', [-0.242137, -0.221243, 1.0]], ['2, k, 13', [-0.279445, -0.629496, 1.0]], ['2, k, 14', [-0.319944, -1.00806, 1.0]], ['2, k, 15', [-0.364337, -1.08843, 1.0]], ['2, k, 16', [-0.0673489, -0.219638, 1.0]], ['2, k, 17', [-0.00501642, -0.633044, 1.0]], ['2, k, 18', [0.0343966, -1.01951, 1.0]], ['2, k, 19', [0.0680172, -1.07451, 1.0]], ['2, k, 20', [-0.154707, 0.346705, 1.0]], ['2, k, 21', [-0.297637, -0.255801, 1.0]], ['2, k, 22', [-0.272675, -0.143128, 1.0]], ['2, k, 23', [-0.0564337, -0.245591, 1.0]], ['2, k, 24', [0.0109903, -0.218879, 1.0]]]
[['2, k, 0', [-0.159162, -0.224055, 1.0]], ['2, k, 1', [-0.156464, 0.105408, 1.0]], ['2, k, 2', [-0.154078, 0.424689, 1.0]], ['2, k, 3', [-0.151088, 0.581481, 1.0]], ['2, k, 4', [-0.353068, 0.311997, 1.0]], ['2, k, 5', [-0.474503, 0.117276, 1.0]], ['2, k, 6', [-0.397, -0.122782, 1.0]], ['2, k, 7', [-0.344225, -0.189557, 1.0]], ['2, k, 8', [0.035597, 0.312337, 1.0]], ['2, k, 9', [0.176078, 0.123656, 1.0]], ['2, k, 10', [0.0873197, -0.086641, 1.0]], ['2, k, 11', [0.0208326, -0.151854, 1.0]], ['2, k, 12', [-0.243768, -0.221585, 1.0]], ['2, k, 13', [-0.27945, -0.629448, 1.0]], ['2, k, 14', [-0.31993, -1.00857, 1.0]], ['2, k, 15', [-0.364342, -1.08841, 1.0]], ['2, k, 16', [-0.0698619, -0.219598, 1.0]], ['2, k, 17', [-0.00527684, -0.631948, 1.0]], ['2, k, 18', [0.0331083, -1.01913, 1.0]], ['2, k, 19', [0.0680769, -1.07455, 1.0]], ['2, k, 20', [-0.154891, 0.346367, 1.0]], ['2, k, 21', [-0.321822, -0.244019, 1.0]], ['2, k, 22', [-0.28293, -0.144691, 1.0]], ['2, k, 23', [-0.0235971, -0.236227, 1.0]], ['2, k, 24', [0.069682, -0.16502, 1.0]]]
