[['2, k, 0', [-0.3862378, 0.0132187, 1.0]], ['2, k, 1', [-0.4083534, 0.3190156, 1.0]], ['2, k, 2', [-0.4267578, 0.613198, 1.0]], ['2, k, 3', [-0.4340899, 0.7451192, 1.0]], ['2, k, 4', [-0.5916142, 0.5008054, 1.0]], ['2, k, 5', [-0.6807894, 0.2816125, 1.0]], ['2, k, 6', [-0.712876, 0.08253676, 1.0]], ['2, k, 7', [-0.7046758, 0.005836233, 1.0]], ['2, k, 8', [-0.2381437, 0.5398116, 1.0]], ['2, k, 9', [-0.07664528, 0.3450318, 1.0]], ['2, k, 10', [0.08363557, 0.2106993, 1.0]], ['2, k, 11', [0.1505894, 0.150733, 1.0]], ['2, k, 12', [-0.4595175, 0.01180558, 1.0]], ['2, k, 13', [-0.4593029, -0.3557069, 1.0]], ['2, k, 14', [-0.473561, -0.6591592, 1.0]], ['2, k, 15', [-0.492016, -0.7275943, 1.0]], ['2, k, 16', [-0.300689, 0.01362923, 1.0]], ['2, k, 17', [-0.2653981, -0.3803467, 1.0]], ['2, k, 18', [-0.1972235, -0.6399236, 1.0]], ['2, k, 19', [-0.1662023, -0.7027251, 1.0]], ['2, k, 20', [-0.422751, 0.5412056, 1.0]], ['2, k, 21', [-0.6967811, -0.07626096, 1.0]], ['2, k, 22', [-0.6441124, -0.01029154, 1.0]], ['2, k, 23', [0.2045108, 0.09991357, 1.0]], ['2, k, 24', [0.1347357, 0.1579733, 1.0]]]
[['2, k, 0', [-0.385532, 0.01289886, 1.0]], ['2, k, 1', [-0.4067047, 0.3185688, 1.0]], ['2, k, 2', [-0.4239538, 0.612819, 1.0]], ['2, k, 3', [-0.4281807, 0.7442875, 1.0]], ['2, k, 4', [-0.5891769, 0.5022013, 1.0]], ['2, k, 5', [-0.693966, 0.2931719, 1.0]], ['2, k, 6', [-0.7381216, 0.104214, 1.0]], ['2, k, 7', [-0.7423631, 0.04854496, 1.0]], ['2, k, 8', [-0.2358395, 0.5375579, 1.0]], ['2, k, 9', [-0.08134209, 0.3449103, 1.0]], ['2, k, 10', [0.07453906, 0.2063994, 1.0]], ['2, k, 11', [0.1348612, 0.144296, 1.0]], ['2, k, 12', [-0.4592365, 0.01174851, 1.0]], ['2, k, 13', [-0.4598802, -0.3557274, 1.0]], ['2, k, 14', [-0.4735854, -0.6592206, 1.0]], ['2, k, 15', [-0.4921949, -0.7278363, 1.0]], ['2, k, 16', [-0.2993019, 0.01298696, 1.0]], ['2, k, 17', [-0.2651852, -0.379897, 1.0]], ['2, k, 18', [-0.1966918, -0.6407828, 1.0]], ['2, k, 19', [-0.1661793, -0.70259, 1.0]], ['2, k, 20', [-0.4202385, 0.540801, 1.0]], ['2, k, 21', [-0.7452666, -0.04405867, 1.0]], ['2, k, 22', [-0.7105725, 0.01271883, 1.0]], ['2, k, 23', [0.1896781, 0.09165466, 1.0]], ['2, k, 24', [0.1037292, 0.1511493, 1.0]]]
[['2, k, 0', [-0.3853471, 0.0129243, 1.0]], ['2, k, 1', [-0.405459, 0.3184849, 1.0]], ['2, k, 2', [-0.4208181, 0.6126363, 1.0]], ['2, k, 3', [-0.4228624, 0.743935, 1.0]], ['2, k, 4', [-0.5868534, 0.5054457, 1.0]], ['2, k, 5', [-0.701288, 0.300992, 1.0]], ['2, k, 6', [-0.7758098, 0.131052, 1.0]], ['2, k, 7', [-0.7781947, 0.07477927, 1.0]], ['2, k, 8', [-0.2337922, 0.5370058, 1.0]], ['2, k, 9', [-0.08700673, 0.3466105, 1.0]], ['2, k, 10', [0.06567335, 0.2059902, 1.0]], ['2, k, 11', [0.1221424, 0.1435045, 1.0]], ['2, k, 12', [-0.4592163, 0.01198398, 1.0]], ['2, k, 13', [-0.4617878, -0.3541143, 1.0]], ['2, k, 14', [-0.4738125, -0.6591402, 1.0]], ['2, k, 15', [-0.4921544, -0.7274739, 1.0]], ['2, k, 16', [-0.2989163, 0.01288202, 1.0]], ['2, k, 17', [-0.2667166, -0.377271, 1.0]], ['2, k, 18', [-0.1954175, -0.6414621, 1.0]], ['2, k, 19', [-0.1660494, -0.7032811, 1.0]], ['2, k, 20', [-0.4176217, 0.5406474, 1.0]], ['2, k, 21', [-0.7861555, 0.01972917, 1.0]], ['2, k, 22', [-0.734289, 0.05890854, 1.0]], ['2, k, 23', [0.1759385, 0.08804633, 1.0]], ['2, k, 24', [0.08985919, 0.1505644, 1.0]]]
[['2, k, 0', [-0.3849334, 0.01298075, 1.0]], ['2, k, 1', [-0.4035292, 0.3182807, 1.0]], ['2, k, 2', [-0.4172098, 0.6120892, 1.0]], ['2, k, 3', [-0.4177578, 0.743705, 1.0]], ['2, k, 4', [-0.5845864, 0.507923, 1.0]], ['2, k, 5', [-0.7117304, 0.3103925, 1.0]], ['2, k, 6', [-0.8020009, 0.1607291, 1.0]], ['2, k, 7', [-0.8253031, 0.1070639, 1.0]], ['2, k, 8', [-0.2301284, 0.536002, 1.0]], ['2, k, 9', [-0.08701701, 0.3466067, 1.0]], ['2, k, 10', [0.06261295, 0.2044428, 1.0]], ['2, k, 11', [0.1122499, 0.1429268, 1.0]], ['2, k, 12', [-0.4588743, 0.01223081, 1.0]], ['2, k, 13', [-0.4620475, -0.3536149, 1.0]], ['2, k, 14', [-0.4732586, -0.6587005, 1.0]], ['2, k, 15', [-0.4918661, -0.7274851, 1.0]], ['2, k, 16', [-0.2983931, 0.01280653, 1.0]], ['2, k, 17', [-0.2664746, -0.3771231, 1.0]], ['2, k, 18', [-0.1972224, -0.6375495, 1.0]], ['2, k, 19', [-0.1654198, -0.703918, 1.0]], ['2, k, 20', [-0.4144062, 0.5401943, 1.0]], ['2, k, 21', [-0.8405609, 0.02875854, 1.0]], ['2, k, 22', [-0.8150954, 0.1163924, 1.0]], ['2, k, 23', [0.1641406, 0.08425476, 1.0]], ['2, k, 24', [0.08087161, 0.1546985, 1.0]]]
[['2, k, 0', [-0.3845147, 0.01315906, 1.0]], ['2, k, 1', [-0.4018036, 0.3184795, 1.0]], ['2, k, 2', [-0.4142236, 0.6123333, 1.0]], ['2, k, 3', [-0.4119144, 0.7442131, 1.0]], ['2, k, 4', [-0.582179, 0.5095156, 1.0]], ['2, k, 5', [-0.7253261, 0.3228213, 1.0]], ['2, k, 6', [-0.8351678, 0.1938731, 1.0]], ['2, k, 7', [-0.8733255, 0.1447285, 1.0]], ['2, k, 8', [-0.2265103, 0.5362825, 1.0]], ['2, k, 9', [-0.08693548, 0.3470549, 1.0]], ['2, k, 10', [0.05908001, 0.2035926, 1.0]], ['2, k, 11', [0.1006209, 0.142673, 1.0]], ['2, k, 12', [-0.4585295, 0.01261922, 1.0]], ['2, k, 13', [-0.4623723, -0.3533969, 1.0]], ['2, k, 14', [-0.4734322, -0.6588173, 1.0]], ['2, k, 15', [-0.4911067, -0.7271261, 1.0]], ['2, k, 16', [-0.2978599, 0.01285355, 1.0]], ['2, k, 17', [-0.2670676, -0.3764506, 1.0]], ['2, k, 18', [-0.1972932, -0.6375661, 1.0]], ['2, k, 19', [-0.1652633, -0.7038052, 1.0]], ['2, k, 20', [-0.4117077, 0.5404282, 1.0]], ['2, k, 21', [-0.8938307, 0.08742525, 1.0]], ['2, k, 22', [-0.8564665, 0.1617201, 1.0]], ['2, k, 23', [0.1483137, 0.08067124, 1.0]], ['2, k, 24', [0.07020114, 0.155653, 1.0]]]
[['2, k, 0', [-0.3843901, 0.01317757, 1.0]], ['2, k, 1', [-0.4007636, 0.3184356, 1.0]], ['2, k, 2', [-0.4122387, 0.6122811, 1.0]], ['2, k, 3', [-0.4083182, 0.7442741, 1.0]], ['2, k, 4', [-0.580184, 0.5109506, 1.0]], ['2, k, 5', [-0.732629, 0.3426228, 1.0]], ['2, k, 6', [-0.8541042, 0.2346123, 1.0]], ['2, k, 7', [-0.904857, 0.1975888, 1.0]], ['2, k, 8', [-0.2240624, 0.5360769, 1.0]], ['2, k, 9', [-0.08762529, 0.3483352, 1.0]], ['2, k, 10', [0.05415263, 0.2023597, 1.0]], ['2, k, 11', [0.0863369, 0.1433912, 1.0]], ['2, k, 12', [-0.4583763, 0.01281943, 1.0]], ['2, k, 13', [-0.4623755, -0.3534339, 1.0]], ['2, k, 14', [-0.47304, -0.6585083, 1.0]], ['2, k, 15', [-0.4907919, -0.7269844, 1.0]], ['2, k, 16', [-0.2976879, 0.0127499, 1.0]], ['2, k, 17', [-0.2677548, -0.3758951, 1.0]], ['2, k, 18', [-0.1974975, -0.6398833, 1.0]], ['2, k, 19', [-0.1650752, -0.7039995, 1.0]], ['2, k, 20', [-0.409945, 0.5403752, 1.0]], ['2, k, 21', [-0.9357016, 0.1560287, 1.0]], ['2, k, 22', [-0.8727791, 0.2169617, 1.0]], ['2, k, 23', [0.1348305, 0.08017381, 1.0]], ['2, k, 24', [0.05712476, 0.1572764, 1.0]]]
[['2, k, 0', [-0.3839325, 0.01330861, 1.0]], ['2, k, 1', [-0.3991623, 0.318477, 1.0]], ['2, k, 2', [-0.4097444, 0.6122313, 1.0]], ['2, k, 3', [-0.4053305, 0.7441226, 1.0]], ['2, k, 4', [-0.579128, 0.5119147, 1.0]], ['2, k, 5', [-0.7447249, 0.3601395, 1.0]], ['2, k, 6', [-0.8767385, 0.2716024, 1.0]], ['2, k, 7', [-0.9378582, 0.248318, 1.0]], ['2, k, 8', [-0.2224954, 0.5361438, 1.0]], ['2, k, 9', [-0.08833955, 0.3494426, 1.0]], ['2, k, 10', [0.04666259, 0.2002825, 1.0]], ['2, k, 11', [0.07138912, 0.142472, 1.0]], ['2, k, 12', [-0.4580189, 0.01314402, 1.0]], ['2, k, 13', [-0.4626628, -0.3534729, 1.0]], ['2, k, 14', [-0.4723981, -0.6593209, 1.0]], ['2, k, 15', [-0.4911735, -0.7273501, 1.0]], ['2, k, 16', [-0.2970942, 0.01272241, 1.0]], ['2, k, 17', [-0.2678025, -0.375333, 1.0]], ['2, k, 18', [-0.1976006, -0.640207, 1.0]], ['2, k, 19', [-0.1652456, -0.7040358, 1.0]], ['2, k, 20', [-0.4076482, 0.54035, 1.0]], ['2, k, 21', [-0.9702842, 0.2226951, 1.0]], ['2, k, 22', [-0.9093624, 0.2700589, 1.0]], ['2, k, 23', [0.1162499, 0.07676201, 1.0]], ['2, k, 24', [0.04277484, 0.1510029, 1.0]]]
[['2, k, 0', [-0.3833373, 0.01342407, 1.0]], ['2, k, 1', [-0.3983432, 0.3184893, 1.0]], ['2, k, 2', [-0.4091217, 0.6122123, 1.0]], ['2, k, 3', [-0.4024501, 0.7441327, 1.0]], ['2, k, 4', [-0.5776209, 0.5128773, 1.0]], ['2, k, 5', [-0.7533571, 0.377064, 1.0]], ['2, k, 6', [-0.8974866, 0.3119975, 1.0]], ['2, k, 7', [-0.9636057, 0.298142, 1.0]], ['2, k, 8', [-0.2205361, 0.5357698, 1.0]], ['2, k, 9', [-0.08893813, 0.3498515, 1.0]], ['2, k, 10', [0.03392341, 0.1924131, 1.0]], ['2, k, 11', [0.05817725, 0.1295975, 1.0]], ['2, k, 12', [-0.457433, 0.01345992, 1.0]], ['2, k, 13', [-0.4627762, -0.353232, 1.0]], ['2, k, 14', [-0.4721535, -0.6594269, 1.0]], ['2, k, 15', [-0.491641, -0.7276399, 1.0]], ['2, k, 16', [-0.2965182, 0.01267656, 1.0]], ['2, k, 17', [-0.2680395, -0.3751263, 1.0]], ['2, k, 18', [-0.1976638, -0.6402926, 1.0]], ['2, k, 19', [-0.1645677, -0.7042881, 1.0]], ['2, k, 20', [-0.4069608, 0.5403366, 1.0]], ['2, k, 21', [-0.9979725, 0.2834317, 1.0]], ['2, k, 22', [-0.9193142, 0.3202626, 1.0]], ['2, k, 23', [0.09094041, 0.06496507, 1.0]], ['2, k, 24', [0.02041428, 0.1453849, 1.0]]]
[['2, k, 0', [-0.3823175, 0.01369887, 1.0]], ['2, k, 1', [-0.3967721, 0.3185402, 1.0]], ['2, k, 2', [-0.4073825, 0.612093, 1.0]], ['2, k, 3', [-0.3998104, 0.7439748, 1.0]], ['2, k, 4', [-0.5764624, 0.5143483, 1.0]], ['2, k, 5', [-0.7631658, 0.4004163, 1.0]], ['2, k, 6', [-0.9174539, 0.3508177, 1.0]], ['2, k, 7', [-0.985465, 0.3487941, 1.0]], ['2, k, 8', [-0.219392, 0.5354596, 1.0]], ['2, k, 9', [-0.09022726, 0.3498107, 1.0]], ['2, k, 10', [0.01958663, 0.1851699, 1.0]], ['2, k, 11', [0.03314657, 0.1270622, 1.0]], ['2, k, 12', [-0.4562578, 0.01406511, 1.0]], ['2, k, 13', [-0.4628934, -0.3526183, 1.0]], ['2, k, 14', [-0.472104, -0.6591517, 1.0]], ['2, k, 15', [-0.4912888, -0.7272422, 1.0]], ['2, k, 16', [-0.2957223, 0.01270363, 1.0]], ['2, k, 17', [-0.2680346, -0.3749501, 1.0]], ['2, k, 18', [-0.1975823, -0.6413842, 1.0]], ['2, k, 19', [-0.1645022, -0.704318, 1.0]], ['2, k, 20', [-0.4052428, 0.540259, 1.0]], ['2, k, 21', [-1.023409, 0.3279748, 1.0]], ['2, k, 22', [-0.9499328, 0.3758879, 1.0]], ['2, k, 23', [0.0579484, 0.06702795, 1.0]], ['2, k, 24', [-0.004096813, 0.1372965, 1.0]]]
[['2, k, 0', [-0.3812637, 0.01408762, 1.0]], ['2, k, 1', [-0.3952741, 0.318712, 1.0]], ['2, k, 2', [-0.405704, 0.612088, 1.0]], ['2, k, 3', [-0.3977025, 0.7439638, 1.0]], ['2, k, 4', [-0.5751175, 0.5157562, 1.0]], ['2, k, 5', [-0.7730619, 0.4232711, 1.0]], ['2, k, 6', [-0.9368092, 0.3911735, 1.0]], ['2, k, 7', [-1.003134, 0.3994299, 1.0]], ['2, k, 8', [-0.2186983, 0.5352182, 1.0]], ['2, k, 9', [-0.09579658, 0.3501505, 1.0]], ['2, k, 10', [0.004082893, 0.1799292, 1.0]], ['2, k, 11', [0.007385672, 0.119041, 1.0]], ['2, k, 12', [-0.4553776, 0.01454668, 1.0]], ['2, k, 13', [-0.4626214, -0.3525837, 1.0]], ['2, k, 14', [-0.4722651, -0.6594988, 1.0]], ['2, k, 15', [-0.4914706, -0.7274386, 1.0]], ['2, k, 16', [-0.2946478, 0.01299218, 1.0]], ['2, k, 17', [-0.2680171, -0.374915, 1.0]], ['2, k, 18', [-0.1985589, -0.6407074, 1.0]], ['2, k, 19', [-0.1642817, -0.7042531, 1.0]], ['2, k, 20', [-0.403595, 0.5402984, 1.0]], ['2, k, 21', [-1.057773, 0.3981837, 1.0]], ['2, k, 22', [-0.9742395, 0.4298289, 1.0]], ['2, k, 23', [0.02896351, 0.0503577, 1.0]], ['2, k, 24', [-0.03247264, 0.1303662, 1.0]]]
[['2, k, 0', [-0.3803273, 0.01442108, 1.0]], ['2, k, 1', [-0.3938802, 0.3190774, 1.0]], ['2, k, 2', [-0.4039939, 0.6125544, 1.0]], ['2, k, 3', [-0.3962452, 0.7437865, 1.0]], ['2, k, 4', [-0.5735278, 0.5182631, 1.0]], ['2, k, 5', [-0.7779127, 0.4478158, 1.0]], ['2, k, 6', [-0.9479663, 0.4305554, 1.0]], ['2, k, 7', [-1.018081, 0.448622, 1.0]], ['2, k, 8', [-0.2184043, 0.5352378, 1.0]], ['2, k, 9', [-0.09946745, 0.3490206, 1.0]], ['2, k, 10', [-0.02342712, 0.1703085, 1.0]], ['2, k, 11', [-0.01847565, 0.1075225, 1.0]], ['2, k, 12', [-0.4543823, 0.01505769, 1.0]], ['2, k, 13', [-0.4620114, -0.3524445, 1.0]], ['2, k, 14', [-0.4724307, -0.6595153, 1.0]], ['2, k, 15', [-0.491094, -0.7273791, 1.0]], ['2, k, 16', [-0.2938799, 0.0131757, 1.0]], ['2, k, 17', [-0.2744621, -0.3752226, 1.0]], ['2, k, 18', [-0.1980193, -0.6414901, 1.0]], ['2, k, 19', [-0.1642399, -0.7043717, 1.0]], ['2, k, 20', [-0.4019578, 0.5407382, 1.0]], ['2, k, 21', [-1.077156, 0.4478668, 1.0]], ['2, k, 22', [-0.9861494, 0.4793597, 1.0]], ['2, k, 23', [0.00357801, 0.05369039, 1.0]], ['2, k, 24', [-0.06176544, 0.1210277, 1.0]]]
