[['2, k, 0', [-0.173775, -0.845931, 1.0]], ['2, k, 1', [-0.164097, -0.569454, 1.0]], ['2, k, 2', [-0.153807, -0.295898, 1.0]], ['2, k, 3', [-0.151902, -0.148882, 1.0]], ['2, k, 4', [-0.339075, -0.385098, 1.0]], ['2, k, 5', [-0.46963, -0.582341, 1.0]], ['2, k, 6', [-0.479588, -0.753358, 1.0]], ['2, k, 7', [-0.460063, -0.811212, 1.0]], ['2, k, 8', [0.0249407, -0.366461, 1.0]], ['2, k, 9', [0.158939, -0.560612, 1.0]], ['2, k, 10', [0.198168, -0.745901, 1.0]], ['2, k, 11', [0.179605, -0.802263, 1.0]], ['2, k, 12', [-0.254477, -0.839963, 1.0]], ['2, k, 13', [-0.27217, -1.16701, 1.0]], ['2, k, 14', [-0.272437, -1.44609, 1.0]], ['2, k, 15', [-0.264813, -1.49642, 1.0]], ['2, k, 16', [-0.088888, -0.831579, 1.0]], ['2, k, 17', [-0.0598312, -1.15709, 1.0]], ['2, k, 18', [-0.0701405, -1.46178, 1.0]], ['2, k, 19', [-0.0772011, -1.53391, 1.0]], ['2, k, 20', [-0.156495, -0.363952, 1.0]], ['2, k, 21', [-0.432654, -0.842049, 1.0]], ['2, k, 22', [-0.516329, -0.824831, 1.0]], ['2, k, 23', [0.144298, -0.833986, 1.0]], ['2, k, 24', [0.235105, -0.801741, 1.0]]]
[['2, k, 0', [-0.173958, -0.845948, 1.0]], ['2, k, 1', [-0.164164, -0.569429, 1.0]], ['2, k, 2', [-0.153827, -0.29585, 1.0]], ['2, k, 3', [-0.151875, -0.148884, 1.0]], ['2, k, 4', [-0.339068, -0.385054, 1.0]], ['2, k, 5', [-0.469257, -0.576171, 1.0]], ['2, k, 6', [-0.479485, -0.745842, 1.0]], ['2, k, 7', [-0.456984, -0.795773, 1.0]], ['2, k, 8', [0.0249494, -0.366022, 1.0]], ['2, k, 9', [0.159037, -0.559522, 1.0]], ['2, k, 10', [0.199916, -0.737975, 1.0]], ['2, k, 11', [0.184088, -0.786134, 1.0]], ['2, k, 12', [-0.254637, -0.840023, 1.0]], ['2, k, 13', [-0.272103, -1.16606, 1.0]], ['2, k, 14', [-0.272372, -1.44574, 1.0]], ['2, k, 15', [-0.264753, -1.49597, 1.0]], ['2, k, 16', [-0.0891984, -0.831521, 1.0]], ['2, k, 17', [-0.0597801, -1.15709, 1.0]], ['2, k, 18', [-0.0692363, -1.45919, 1.0]], ['2, k, 19', [-0.0765503, -1.53321, 1.0]], ['2, k, 20', [-0.156522, -0.363912, 1.0]], ['2, k, 21', [-0.432233, -0.82278, 1.0]], ['2, k, 22', [-0.517445, -0.808251, 1.0]], ['2, k, 23', [0.14901, -0.816065, 1.0]], ['2, k, 24', [0.236079, -0.785956, 1.0]]]
[['2, k, 0', [-0.17399, -0.845791, 1.0]], ['2, k, 1', [-0.164122, -0.569344, 1.0]], ['2, k, 2', [-0.153662, -0.295788, 1.0]], ['2, k, 3', [-0.151882, -0.148893, 1.0]], ['2, k, 4', [-0.339198, -0.384855, 1.0]], ['2, k, 5', [-0.469227, -0.565134, 1.0]], ['2, k, 6', [-0.478819, -0.723155, 1.0]], ['2, k, 7', [-0.452978, -0.775221, 1.0]], ['2, k, 8', [0.0248846, -0.365661, 1.0]], ['2, k, 9', [0.160985, -0.552937, 1.0]], ['2, k, 10', [0.204538, -0.721518, 1.0]], ['2, k, 11', [0.18706, -0.772091, 1.0]], ['2, k, 12', [-0.254672, -0.839872, 1.0]], ['2, k, 13', [-0.272054, -1.16584, 1.0]], ['2, k, 14', [-0.27284, -1.44589, 1.0]], ['2, k, 15', [-0.265355, -1.4962, 1.0]], ['2, k, 16', [-0.0892291, -0.831312, 1.0]], ['2, k, 17', [-0.0596696, -1.1572, 1.0]], ['2, k, 18', [-0.0700738, -1.46097, 1.0]], ['2, k, 19', [-0.0735069, -1.53484, 1.0]], ['2, k, 20', [-0.156398, -0.363843, 1.0]], ['2, k, 21', [-0.426602, -0.800781, 1.0]], ['2, k, 22', [-0.498523, -0.777989, 1.0]], ['2, k, 23', [0.163505, -0.799243, 1.0]], ['2, k, 24', [0.244439, -0.770575, 1.0]]]
[['2, k, 0', [-0.173837, -0.845492, 1.0]], ['2, k, 1', [-0.164032, -0.569035, 1.0]], ['2, k, 2', [-0.153624, -0.29537, 1.0]], ['2, k, 3', [-0.15203, -0.148717, 1.0]], ['2, k, 4', [-0.339179, -0.38377, 1.0]], ['2, k, 5', [-0.470272, -0.550859, 1.0]], ['2, k, 6', [-0.478748, -0.702245, 1.0]], ['2, k, 7', [-0.458469, -0.752126, 1.0]], ['2, k, 8', [0.0249506, -0.365051, 1.0]], ['2, k, 9', [0.162324, -0.540794, 1.0]], ['2, k, 10', [0.206054, -0.704365, 1.0]], ['2, k, 11', [0.190691, -0.751091, 1.0]], ['2, k, 12', [-0.254508, -0.839559, 1.0]], ['2, k, 13', [-0.271953, -1.1658, 1.0]], ['2, k, 14', [-0.274081, -1.44576, 1.0]], ['2, k, 15', [-0.24059, -1.51913, 1.0]], ['2, k, 16', [-0.089078, -0.831032, 1.0]], ['2, k, 17', [-0.0594173, -1.15726, 1.0]], ['2, k, 18', [-0.0702454, -1.46119, 1.0]], ['2, k, 19', [-0.0726349, -1.53411, 1.0]], ['2, k, 20', [-0.156344, -0.363458, 1.0]], ['2, k, 21', [-0.436272, -0.77988, 1.0]], ['2, k, 22', [-0.501404, -0.755506, 1.0]], ['2, k, 23', [0.184712, -0.786677, 1.0]], ['2, k, 24', [0.239381, -0.730474, 1.0]]]
[['2, k, 0', [-0.173621, -0.845225, 1.0]], ['2, k, 1', [-0.163925, -0.568729, 1.0]], ['2, k, 2', [-0.15366, -0.295009, 1.0]], ['2, k, 3', [-0.15267, -0.147936, 1.0]], ['2, k, 4', [-0.33942, -0.382041, 1.0]], ['2, k, 5', [-0.469644, -0.534522, 1.0]], ['2, k, 6', [-0.47856, -0.676806, 1.0]], ['2, k, 7', [-0.451965, -0.73105, 1.0]], ['2, k, 8', [0.025054, -0.363831, 1.0]], ['2, k, 9', [0.162384, -0.528745, 1.0]], ['2, k, 10', [0.210088, -0.68074, 1.0]], ['2, k, 11', [0.196404, -0.729547, 1.0]], ['2, k, 12', [-0.254299, -0.839288, 1.0]], ['2, k, 13', [-0.2716, -1.16427, 1.0]], ['2, k, 14', [-0.273403, -1.4462, 1.0]], ['2, k, 15', [-0.242206, -1.52003, 1.0]], ['2, k, 16', [-0.0888536, -0.830783, 1.0]], ['2, k, 17', [-0.0593724, -1.15692, 1.0]], ['2, k, 18', [-0.0702371, -1.46121, 1.0]], ['2, k, 19', [-0.0651811, -1.53268, 1.0]], ['2, k, 20', [-0.156339, -0.36311, 1.0]], ['2, k, 21', [-0.441111, -0.753998, 1.0]], ['2, k, 22', [-0.503856, -0.735787, 1.0]], ['2, k, 23', [0.190498, -0.763193, 1.0]], ['2, k, 24', [0.243714, -0.711715, 1.0]]]
[['2, k, 0', [-0.173714, -0.844092, 1.0]], ['2, k, 1', [-0.163917, -0.567837, 1.0]], ['2, k, 2', [-0.153573, -0.294373, 1.0]], ['2, k, 3', [-0.153353, -0.147026, 1.0]], ['2, k, 4', [-0.339345, -0.380025, 1.0]], ['2, k, 5', [-0.492595, -0.513399, 1.0]], ['2, k, 6', [-0.47744, -0.655855, 1.0]], ['2, k, 7', [-0.453698, -0.703193, 1.0]], ['2, k, 8', [0.0247117, -0.361991, 1.0]], ['2, k, 9', [0.162807, -0.511519, 1.0]], ['2, k, 10', [0.211801, -0.65497, 1.0]], ['2, k, 11', [0.200022, -0.702378, 1.0]], ['2, k, 12', [-0.254367, -0.838337, 1.0]], ['2, k, 13', [-0.271616, -1.16225, 1.0]], ['2, k, 14', [-0.273408, -1.44621, 1.0]], ['2, k, 15', [-0.242655, -1.51908, 1.0]], ['2, k, 16', [-0.0889617, -0.829445, 1.0]], ['2, k, 17', [-0.0593212, -1.15422, 1.0]], ['2, k, 18', [-0.0703566, -1.46119, 1.0]], ['2, k, 19', [-0.0646507, -1.53234, 1.0]], ['2, k, 20', [-0.156269, -0.362411, 1.0]], ['2, k, 21', [-0.430294, -0.724178, 1.0]], ['2, k, 22', [-0.50374, -0.70904, 1.0]], ['2, k, 23', [0.198703, -0.735123, 1.0]], ['2, k, 24', [0.240159, -0.679828, 1.0]]]
[['2, k, 0', [-0.171947, -0.849405, 1.0]], ['2, k, 1', [-0.163669, -0.568696, 1.0]], ['2, k, 2', [-0.153828, -0.293708, 1.0]], ['2, k, 3', [-0.153921, -0.146479, 1.0]], ['2, k, 4', [-0.33861, -0.376808, 1.0]], ['2, k, 5', [-0.493632, -0.511348, 1.0]], ['2, k, 6', [-0.477425, -0.633717, 1.0]], ['2, k, 7', [-0.451365, -0.672919, 1.0]], ['2, k, 8', [0.024179, -0.358407, 1.0]], ['2, k, 9', [0.162316, -0.495928, 1.0]], ['2, k, 10', [0.213768, -0.634245, 1.0]], ['2, k, 11', [0.192136, -0.682859, 1.0]], ['2, k, 12', [-0.252529, -0.843821, 1.0]], ['2, k, 13', [-0.271254, -1.16119, 1.0]], ['2, k, 14', [-0.274098, -1.44598, 1.0]], ['2, k, 15', [-0.242477, -1.51766, 1.0]], ['2, k, 16', [-0.0872891, -0.834512, 1.0]], ['2, k, 17', [-0.0595761, -1.15088, 1.0]], ['2, k, 18', [-0.0704577, -1.4598, 1.0]], ['2, k, 19', [-0.0574795, -1.52785, 1.0]], ['2, k, 20', [-0.156419, -0.362058, 1.0]], ['2, k, 21', [-0.439089, -0.691096, 1.0]], ['2, k, 22', [-0.498057, -0.675617, 1.0]], ['2, k, 23', [0.196975, -0.708204, 1.0]], ['2, k, 24', [0.239649, -0.663383, 1.0]]]
[['2, k, 0', [-0.172651, -0.854345, 1.0]], ['2, k, 1', [-0.164013, -0.569858, 1.0]], ['2, k, 2', [-0.154198, -0.292635, 1.0]], ['2, k, 3', [-0.153987, -0.14534, 1.0]], ['2, k, 4', [-0.337699, -0.372058, 1.0]], ['2, k, 5', [-0.488815, -0.500897, 1.0]], ['2, k, 6', [-0.47763, -0.611206, 1.0]], ['2, k, 7', [-0.459053, -0.638311, 1.0]], ['2, k, 8', [0.0240471, -0.358377, 1.0]], ['2, k, 9', [0.16184, -0.480397, 1.0]], ['2, k, 10', [0.213326, -0.610979, 1.0]], ['2, k, 11', [0.193548, -0.653247, 1.0]], ['2, k, 12', [-0.253143, -0.846855, 1.0]], ['2, k, 13', [-0.27126, -1.16142, 1.0]], ['2, k, 14', [-0.27412, -1.44605, 1.0]], ['2, k, 15', [-0.242879, -1.51729, 1.0]], ['2, k, 16', [-0.0880392, -0.841786, 1.0]], ['2, k, 17', [-0.0595521, -1.15086, 1.0]], ['2, k, 18', [-0.0714299, -1.46031, 1.0]], ['2, k, 19', [-0.053406, -1.52751, 1.0]], ['2, k, 20', [-0.156729, -0.361573, 1.0]], ['2, k, 21', [-0.443433, -0.65506, 1.0]], ['2, k, 22', [-0.511118, -0.644512, 1.0]], ['2, k, 23', [0.198861, -0.674383, 1.0]], ['2, k, 24', [0.109428, -0.649901, 1.0]]]
[['2, k, 0', [-0.172332, -0.853668, 1.0]], ['2, k, 1', [-0.163944, -0.569579, 1.0]], ['2, k, 2', [-0.154361, -0.291622, 1.0]], ['2, k, 3', [-0.154194, -0.145733, 1.0]], ['2, k, 4', [-0.336151, -0.368076, 1.0]], ['2, k, 5', [-0.489907, -0.488204, 1.0]], ['2, k, 6', [-0.476836, -0.585254, 1.0]], ['2, k, 7', [-0.441126, -0.60883, 1.0]], ['2, k, 8', [0.0228374, -0.355598, 1.0]], ['2, k, 9', [0.161396, -0.470089, 1.0]], ['2, k, 10', [0.214582, -0.585297, 1.0]], ['2, k, 11', [0.202174, -0.621836, 1.0]], ['2, k, 12', [-0.252834, -0.846122, 1.0]], ['2, k, 13', [-0.271331, -1.16043, 1.0]], ['2, k, 14', [-0.272994, -1.4464, 1.0]], ['2, k, 15', [-0.243384, -1.51749, 1.0]], ['2, k, 16', [-0.087685, -0.841026, 1.0]], ['2, k, 17', [-0.0595371, -1.15089, 1.0]], ['2, k, 18', [-0.0717292, -1.46066, 1.0]], ['2, k, 19', [-0.0502305, -1.52638, 1.0]], ['2, k, 20', [-0.156815, -0.360762, 1.0]], ['2, k, 21', [-0.417328, -0.620596, 1.0]], ['2, k, 22', [-0.488119, -0.608276, 1.0]], ['2, k, 23', [0.201849, -0.64263, 1.0]], ['2, k, 24', [0.125355, -0.616956, 1.0]]]
[['2, k, 0', [-0.172075, -0.846662, 1.0]], ['2, k, 1', [-0.163866, -0.567473, 1.0]], ['2, k, 2', [-0.154422, -0.290902, 1.0]], ['2, k, 3', [-0.155003, -0.143442, 1.0]], ['2, k, 4', [-0.3348, -0.363832, 1.0]], ['2, k, 5', [-0.487304, -0.475635, 1.0]], ['2, k, 6', [-0.476422, -0.54932, 1.0]], ['2, k, 7', [-0.44705, -0.574074, 1.0]], ['2, k, 8', [0.0216241, -0.351845, 1.0]], ['2, k, 9', [0.195429, -0.460718, 1.0]], ['2, k, 10', [0.226295, -0.571653, 1.0]], ['2, k, 11', [0.20875, -0.588902, 1.0]], ['2, k, 12', [-0.252081, -0.835286, 1.0]], ['2, k, 13', [-0.271215, -1.15989, 1.0]], ['2, k, 14', [-0.272859, -1.44616, 1.0]], ['2, k, 15', [-0.244435, -1.51826, 1.0]], ['2, k, 16', [-0.0877529, -0.836902, 1.0]], ['2, k, 17', [-0.0589481, -1.14926, 1.0]], ['2, k, 18', [-0.0717829, -1.46093, 1.0]], ['2, k, 19', [-0.0510966, -1.52739, 1.0]], ['2, k, 20', [-0.156862, -0.359778, 1.0]], ['2, k, 21', [-0.427162, -0.585128, 1.0]], ['2, k, 22', [-0.493646, -0.575853, 1.0]], ['2, k, 23', [0.210993, -0.61114, 1.0]], ['2, k, 24', [0.151894, -0.58656, 1.0]]]
[['2, k, 0', [-0.170846, -0.843451, 1.0]], ['2, k, 1', [-0.163723, -0.565361, 1.0]], ['2, k, 2', [-0.1552, -0.289359, 1.0]], ['2, k, 3', [-0.155343, -0.142202, 1.0]], ['2, k, 4', [-0.334786, -0.364128, 1.0]], ['2, k, 5', [-0.49256, -0.457557, 1.0]], ['2, k, 6', [-0.47121, -0.517049, 1.0]], ['2, k, 7', [-0.454209, -0.537983, 1.0]], ['2, k, 8', [0.0195606, -0.346791, 1.0]], ['2, k, 9', [0.195331, -0.453966, 1.0]], ['2, k, 10', [0.223554, -0.542835, 1.0]], ['2, k, 11', [0.209043, -0.555972, 1.0]], ['2, k, 12', [-0.250751, -0.832115, 1.0]], ['2, k, 13', [-0.271251, -1.1597, 1.0]], ['2, k, 14', [-0.272306, -1.44802, 1.0]], ['2, k, 15', [-0.245863, -1.52059, 1.0]], ['2, k, 16', [-0.086724, -0.833994, 1.0]], ['2, k, 17', [-0.0589852, -1.14894, 1.0]], ['2, k, 18', [-0.0727388, -1.46223, 1.0]], ['2, k, 19', [-0.0476151, -1.52803, 1.0]], ['2, k, 20', [-0.157419, -0.358096, 1.0]], ['2, k, 21', [-0.436994, -0.550878, 1.0]], ['2, k, 22', [-0.507836, -0.539689, 1.0]], ['2, k, 23', [0.203489, -0.575413, 1.0]], ['2, k, 24', [0.14942, -0.551607, 1.0]]]
