[['2, k, 0', [-0.02230368, -0.2149433, 1.0]], ['2, k, 1', [-0.02754188, 0.04259909, 1.0]], ['2, k, 2', [-0.03306685, 0.2935066, 1.0]], ['2, k, 3', [-0.03129727, 0.4343277, 1.0]], ['2, k, 4', [-0.1886587, 0.2046124, 1.0]], ['2, k, 5', [-0.1781151, -0.00634769, 1.0]], ['2, k, 6', [-0.08884724, -0.1662672, 1.0]], ['2, k, 7', [-0.04495376, -0.2215343, 1.0]], ['2, k, 8', [0.1216434, 0.2051761, 1.0]], ['2, k, 9', [0.09721313, -0.01249761, 1.0]], ['2, k, 10', [0.01471989, -0.165313, 1.0]], ['2, k, 11', [-0.02091168, -0.211632, 1.0]], ['2, k, 12', [-0.1002197, -0.2121303, 1.0]], ['2, k, 13', [-0.1838996, -0.3812805, 1.0]], ['2, k, 14', [-0.2353195, -0.7175215, 1.0]], ['2, k, 15', [-0.2071742, -0.754514, 1.0]], ['2, k, 16', [0.05610355, -0.2121866, 1.0]], ['2, k, 17', [0.08682985, -0.3967883, 1.0]], ['2, k, 18', [0.1016226, -0.7335044, 1.0]], ['2, k, 19', [0.08117583, -0.7598532, 1.0]], ['2, k, 20', [-0.03163421, 0.231685, 1.0]], ['2, k, 21', [-0.02082595, -0.2677088, 1.0]], ['2, k, 22', [-0.01814516, -0.1840844, 1.0]], ['2, k, 23', [-0.0580541, -0.2649991, 1.0]], ['2, k, 24', [0.02181885, -0.2417027, 1.0]]]
[['2, k, 0', [-0.02193462, -0.2151033, 1.0]], ['2, k, 1', [-0.02747921, 0.04255516, 1.0]], ['2, k, 2', [-0.03306739, 0.2934896, 1.0]], ['2, k, 3', [-0.03138435, 0.434301, 1.0]], ['2, k, 4', [-0.1886122, 0.2045595, 1.0]], ['2, k, 5', [-0.1780131, -0.007821133, 1.0]], ['2, k, 6', [-0.08838185, -0.1662918, 1.0]], ['2, k, 7', [-0.04430135, -0.2209786, 1.0]], ['2, k, 8', [0.1214628, 0.2052056, 1.0]], ['2, k, 9', [0.09706751, -0.01091658, 1.0]], ['2, k, 10', [0.01435095, -0.165106, 1.0]], ['2, k, 11', [-0.02063434, -0.2051614, 1.0]], ['2, k, 12', [-0.09980179, -0.2123513, 1.0]], ['2, k, 13', [-0.1838638, -0.3813776, 1.0]], ['2, k, 14', [-0.2363306, -0.7185214, 1.0]], ['2, k, 15', [-0.2072694, -0.7538655, 1.0]], ['2, k, 16', [0.05644703, -0.2122915, 1.0]], ['2, k, 17', [0.08676349, -0.3965325, 1.0]], ['2, k, 18', [0.1025452, -0.733349, 1.0]], ['2, k, 19', [0.08155971, -0.7602023, 1.0]], ['2, k, 20', [-0.03162414, 0.2316638, 1.0]], ['2, k, 21', [-0.01971329, -0.268172, 1.0]], ['2, k, 22', [-0.01852667, -0.1813524, 1.0]], ['2, k, 23', [-0.05678368, -0.2617055, 1.0]], ['2, k, 24', [0.0214989, -0.2422666, 1.0]]]
[['2, k, 0', [-0.02189495, -0.2150537, 1.0]], ['2, k, 1', [-0.02745677, 0.04257517, 1.0]], ['2, k, 2', [-0.03304143, 0.2935037, 1.0]], ['2, k, 3', [-0.0314591, 0.4343492, 1.0]], ['2, k, 4', [-0.1886812, 0.2046863, 1.0]], ['2, k, 5', [-0.177612, -0.007065226, 1.0]], ['2, k, 6', [-0.0876846, -0.1660465, 1.0]], ['2, k, 7', [-0.04386337, -0.2178032, 1.0]], ['2, k, 8', [0.1213037, 0.2051976, 1.0]], ['2, k, 9', [0.09622794, -0.0113091, 1.0]], ['2, k, 10', [0.003939289, -0.166228, 1.0]], ['2, k, 11', [-0.0343205, -0.2189596, 1.0]], ['2, k, 12', [-0.09971497, -0.2123805, 1.0]], ['2, k, 13', [-0.1844966, -0.3827031, 1.0]], ['2, k, 14', [-0.2371609, -0.7191305, 1.0]], ['2, k, 15', [-0.2065881, -0.7533206, 1.0]], ['2, k, 16', [0.05647795, -0.2119794, 1.0]], ['2, k, 17', [0.08672792, -0.3965302, 1.0]], ['2, k, 18', [0.1028733, -0.7329444, 1.0]], ['2, k, 19', [0.08104023, -0.7607507, 1.0]], ['2, k, 20', [-0.03160309, 0.2316773, 1.0]], ['2, k, 21', [-0.01790995, -0.266012, 1.0]], ['2, k, 22', [-0.01841678, -0.1812817, 1.0]], ['2, k, 23', [-0.05183051, -0.2771089, 1.0]], ['2, k, 24', [0.002630484, -0.2410335, 1.0]]]
[['2, k, 0', [-0.02327109, -0.2155013, 1.0]], ['2, k, 1', [-0.02784027, 0.04245237, 1.0]], ['2, k, 2', [-0.03301179, 0.2935285, 1.0]], ['2, k, 3', [-0.03177267, 0.4350015, 1.0]], ['2, k, 4', [-0.188602, 0.2047679, 1.0]], ['2, k, 5', [-0.1527126, -0.04161233, 1.0]], ['2, k, 6', [-0.06671857, -0.1943977, 1.0]], ['2, k, 7', [-0.04575458, -0.2041098, 1.0]], ['2, k, 8', [0.1213947, 0.2058187, 1.0]], ['2, k, 9', [0.0961583, -0.01133421, 1.0]], ['2, k, 10', [0.004157189, -0.1646187, 1.0]], ['2, k, 11', [-0.03397395, -0.2137339, 1.0]], ['2, k, 12', [-0.1009332, -0.2126204, 1.0]], ['2, k, 13', [-0.1848218, -0.3838554, 1.0]], ['2, k, 14', [-0.2423222, -0.7219707, 1.0]], ['2, k, 15', [-0.2301781, -0.7692435, 1.0]], ['2, k, 16', [0.05496227, -0.2126708, 1.0]], ['2, k, 17', [0.0860978, -0.3974811, 1.0]], ['2, k, 18', [0.1028932, -0.7329458, 1.0]], ['2, k, 19', [0.08090089, -0.7607161, 1.0]], ['2, k, 20', [-0.03166126, 0.2316688, 1.0]], ['2, k, 21', [-0.01263633, -0.2700557, 1.0]], ['2, k, 22', [-0.05631602, -0.1905826, 1.0]], ['2, k, 23', [-0.05123104, -0.2676959, 1.0]], ['2, k, 24', [-0.002008443, -0.2175191, 1.0]]]
[['2, k, 0', [-0.02356817, -0.2157682, 1.0]], ['2, k, 1', [-0.02802433, 0.04240889, 1.0]], ['2, k, 2', [-0.0331763, 0.2937761, 1.0]], ['2, k, 3', [-0.03216013, 0.4353673, 1.0]], ['2, k, 4', [-0.1883086, 0.2044334, 1.0]], ['2, k, 5', [-0.1528608, -0.04139331, 1.0]], ['2, k, 6', [-0.04036658, -0.2034969, 1.0]], ['2, k, 7', [-0.03506994, -0.1929814, 1.0]], ['2, k, 8', [0.1215364, 0.2061647, 1.0]], ['2, k, 9', [0.0921104, -0.00842125, 1.0]], ['2, k, 10', [0.01050938, -0.1450147, 1.0]], ['2, k, 11', [-0.0290984, -0.1941755, 1.0]], ['2, k, 12', [-0.1012644, -0.2128995, 1.0]], ['2, k, 13', [-0.1851357, -0.3836541, 1.0]], ['2, k, 14', [-0.2410015, -0.7214414, 1.0]], ['2, k, 15', [-0.2049928, -0.7500643, 1.0]], ['2, k, 16', [0.05469185, -0.2129398, 1.0]], ['2, k, 17', [0.08612464, -0.3980201, 1.0]], ['2, k, 18', [0.1025683, -0.7327627, 1.0]], ['2, k, 19', [0.08082837, -0.7608298, 1.0]], ['2, k, 20', [-0.03184608, 0.2318061, 1.0]], ['2, k, 21', [-0.02110368, -0.2321949, 1.0]], ['2, k, 22', [-0.04413081, -0.1811427, 1.0]], ['2, k, 23', [-0.05115018, -0.2434635, 1.0]], ['2, k, 24', [-0.006706109, -0.2247689, 1.0]]]
[['2, k, 0', [-0.02480606, -0.215883, 1.0]], ['2, k, 1', [-0.02866718, 0.04250625, 1.0]], ['2, k, 2', [-0.03290627, 0.2942207, 1.0]], ['2, k, 3', [-0.03304943, 0.4361132, 1.0]], ['2, k, 4', [-0.1867798, 0.2049892, 1.0]], ['2, k, 5', [-0.1540852, 0.02772295, 1.0]], ['2, k, 6', [-0.07802721, -0.1090902, 1.0]], ['2, k, 7', [-0.0333189, -0.148205, 1.0]], ['2, k, 8', [0.1211206, 0.2063247, 1.0]], ['2, k, 9', [0.09164965, 0.03347904, 1.0]], ['2, k, 10', [0.0157729, -0.1034726, 1.0]], ['2, k, 11', [-0.03761759, -0.1588156, 1.0]], ['2, k, 12', [-0.1022887, -0.2123768, 1.0]], ['2, k, 13', [-0.1848999, -0.3816538, 1.0]], ['2, k, 14', [-0.2378035, -0.7204078, 1.0]], ['2, k, 15', [-0.2050175, -0.7504738, 1.0]], ['2, k, 16', [0.05337447, -0.2134833, 1.0]], ['2, k, 17', [0.08635136, -0.3988698, 1.0]], ['2, k, 18', [0.1023953, -0.7326472, 1.0]], ['2, k, 19', [0.07951466, -0.760561, 1.0]], ['2, k, 20', [-0.03184055, 0.2321593, 1.0]], ['2, k, 21', [-0.03239265, -0.1943465, 1.0]], ['2, k, 22', [-0.01550099, -0.1271407, 1.0]], ['2, k, 23', [-0.06254439, -0.2107967, 1.0]], ['2, k, 24', [-0.003682428, -0.1665399, 1.0]]]
[['2, k, 0', [-0.02494869, -0.2148724, 1.0]], ['2, k, 1', [-0.02872637, 0.04330419, 1.0]], ['2, k, 2', [-0.03279505, 0.294869, 1.0]], ['2, k, 3', [-0.03330116, 0.4368902, 1.0]], ['2, k, 4', [-0.1850751, 0.2052846, 1.0]], ['2, k, 5', [-0.1536839, 0.03140073, 1.0]], ['2, k, 6', [-0.07899877, -0.08642939, 1.0]], ['2, k, 7', [-0.0349196, -0.1344246, 1.0]], ['2, k, 8', [0.1207808, 0.2064441, 1.0]], ['2, k, 9', [0.09181228, 0.0330353, 1.0]], ['2, k, 10', [0.01571811, -0.1017584, 1.0]], ['2, k, 11', [-0.03875519, -0.1503303, 1.0]], ['2, k, 12', [-0.1021587, -0.2118167, 1.0]], ['2, k, 13', [-0.1849598, -0.3814906, 1.0]], ['2, k, 14', [-0.2398215, -0.7210187, 1.0]], ['2, k, 15', [-0.2055837, -0.7501413, 1.0]], ['2, k, 16', [0.05282013, -0.212053, 1.0]], ['2, k, 17', [0.08646265, -0.3986238, 1.0]], ['2, k, 18', [0.1024961, -0.7335674, 1.0]], ['2, k, 19', [0.08011768, -0.76117, 1.0]], ['2, k, 20', [-0.03177332, 0.2328483, 1.0]], ['2, k, 21', [-0.03242058, -0.1737157, 1.0]], ['2, k, 22', [-0.01333288, -0.1059725, 1.0]], ['2, k, 23', [-0.06281047, -0.1928425, 1.0]], ['2, k, 24', [-0.0116369, -0.1325588, 1.0]]]
[['2, k, 0', [-0.02720225, -0.2149394, 1.0]], ['2, k, 1', [-0.02948371, 0.04355424, 1.0]], ['2, k, 2', [-0.03229114, 0.2954672, 1.0]], ['2, k, 3', [-0.03415515, 0.4375542, 1.0]], ['2, k, 4', [-0.1843307, 0.2056295, 1.0]], ['2, k, 5', [-0.1444113, 0.02247134, 1.0]], ['2, k, 6', [-0.06254012, -0.1093206, 1.0]], ['2, k, 7', [-0.03779658, -0.1209153, 1.0]], ['2, k, 8', [0.1204113, 0.2076421, 1.0]], ['2, k, 9', [0.09121171, 0.0374543, 1.0]], ['2, k, 10', [0.02839239, -0.06556141, 1.0]], ['2, k, 11', [-0.03613632, -0.122354, 1.0]], ['2, k, 12', [-0.1038745, -0.2118475, 1.0]], ['2, k, 13', [-0.1849489, -0.3806547, 1.0]], ['2, k, 14', [-0.2365596, -0.7199, 1.0]], ['2, k, 15', [-0.2055219, -0.7525887, 1.0]], ['2, k, 16', [0.05015467, -0.2122272, 1.0]], ['2, k, 17', [0.08667145, -0.3988944, 1.0]], ['2, k, 18', [0.102677, -0.7330282, 1.0]], ['2, k, 19', [0.08011921, -0.7611051, 1.0]], ['2, k, 20', [-0.03159815, 0.2333499, 1.0]], ['2, k, 21', [-0.03803382, -0.1566615, 1.0]], ['2, k, 22', [-0.005085813, -0.1066346, 1.0]], ['2, k, 23', [-0.0607965, -0.166461, 1.0]], ['2, k, 24', [-0.04143232, -0.08588998, 1.0]]]
[['2, k, 0', [-0.02878372, -0.2143995, 1.0]], ['2, k, 1', [-0.03015246, 0.04426806, 1.0]], ['2, k, 2', [-0.03205002, 0.2963625, 1.0]], ['2, k, 3', [-0.03412445, 0.4379354, 1.0]], ['2, k, 4', [-0.183265, 0.2060374, 1.0]], ['2, k, 5', [-0.1450409, 0.05218758, 1.0]], ['2, k, 6', [-0.08319005, -0.05956286, 1.0]], ['2, k, 7', [-0.0373333, -0.1026923, 1.0]], ['2, k, 8', [0.1201023, 0.2075222, 1.0]], ['2, k, 9', [0.08752184, 0.04259906, 1.0]], ['2, k, 10', [0.02817812, -0.05537232, 1.0]], ['2, k, 11', [-0.03570718, -0.1024493, 1.0]], ['2, k, 12', [-0.1052568, -0.2103562, 1.0]], ['2, k, 13', [-0.1849392, -0.3799428, 1.0]], ['2, k, 14', [-0.2365865, -0.7199592, 1.0]], ['2, k, 15', [-0.2057439, -0.751967, 1.0]], ['2, k, 16', [0.04836378, -0.2126574, 1.0]], ['2, k, 17', [0.08659081, -0.3989079, 1.0]], ['2, k, 18', [0.102689, -0.7330527, 1.0]], ['2, k, 19', [0.08359598, -0.7606323, 1.0]], ['2, k, 20', [-0.03157558, 0.2342037, 1.0]], ['2, k, 21', [-0.04033178, -0.1341805, 1.0]], ['2, k, 22', [-0.001077044, -0.0915311, 1.0]], ['2, k, 23', [-0.06273657, -0.1462675, 1.0]], ['2, k, 24', [-0.03744012, -0.06273456, 1.0]]]
[['2, k, 0', [-0.03095536, -0.2135356, 1.0]], ['2, k, 1', [-0.03140557, 0.0450606, 1.0]], ['2, k, 2', [-0.03230274, 0.2971364, 1.0]], ['2, k, 3', [-0.03419491, 0.4383997, 1.0]], ['2, k, 4', [-0.1826403, 0.206194, 1.0]], ['2, k, 5', [-0.1425486, 0.03989409, 1.0]], ['2, k, 6', [-0.05823759, -0.07719843, 1.0]], ['2, k, 7', [-0.03623139, -0.07812351, 1.0]], ['2, k, 8', [0.1198009, 0.2074202, 1.0]], ['2, k, 9', [0.08696059, 0.04592615, 1.0]], ['2, k, 10', [0.01521091, -0.03769998, 1.0]], ['2, k, 11', [-0.03766099, -0.07801358, 1.0]], ['2, k, 12', [-0.1077096, -0.208535, 1.0]], ['2, k, 13', [-0.1847046, -0.3785755, 1.0]], ['2, k, 14', [-0.231468, -0.7194297, 1.0]], ['2, k, 15', [-0.2096335, -0.7596763, 1.0]], ['2, k, 16', [0.04655072, -0.212512, 1.0]], ['2, k, 17', [0.08661261, -0.3995737, 1.0]], ['2, k, 18', [0.103288, -0.7332081, 1.0]], ['2, k, 19', [0.08139561, -0.7602938, 1.0]], ['2, k, 20', [-0.03207986, 0.234983, 1.0]], ['2, k, 21', [-0.03469656, -0.1076523, 1.0]], ['2, k, 22', [-0.008343306, -0.06189037, 1.0]], ['2, k, 23', [-0.06434356, -0.119819, 1.0]], ['2, k, 24', [-0.02931983, -0.03995154, 1.0]]]
[['2, k, 0', [-0.03104223, -0.2121585, 1.0]], ['2, k, 1', [-0.03139953, 0.04595513, 1.0]], ['2, k, 2', [-0.03205768, 0.2975494, 1.0]], ['2, k, 3', [-0.03464001, 0.4385691, 1.0]], ['2, k, 4', [-0.1818028, 0.2066522, 1.0]], ['2, k, 5', [-0.1451453, 0.06591013, 1.0]], ['2, k, 6', [-0.07787503, -0.01822017, 1.0]], ['2, k, 7', [-0.03602812, -0.05206247, 1.0]], ['2, k, 8', [0.1191352, 0.2085747, 1.0]], ['2, k, 9', [0.0896962, 0.05780132, 1.0]], ['2, k, 10', [0.01187759, -0.01620162, 1.0]], ['2, k, 11', [-0.03593113, -0.05356289, 1.0]], ['2, k, 12', [-0.1074395, -0.207075, 1.0]], ['2, k, 13', [-0.1850634, -0.3777882, 1.0]], ['2, k, 14', [-0.2326705, -0.7188353, 1.0]], ['2, k, 15', [-0.2089863, -0.7575452, 1.0]], ['2, k, 16', [0.04621476, -0.2113749, 1.0]], ['2, k, 17', [0.08606348, -0.3964349, 1.0]], ['2, k, 18', [0.1031582, -0.7322897, 1.0]], ['2, k, 19', [0.08118604, -0.7603231, 1.0]], ['2, k, 20', [-0.03190457, 0.2355271, 1.0]], ['2, k, 21', [-0.0431226, -0.08767031, 1.0]], ['2, k, 22', [-0.01012494, -0.02912145, 1.0]], ['2, k, 23', [-0.06086909, -0.0888904, 1.0]], ['2, k, 24', [-0.04146766, -0.01269082, 1.0]]]
