[['2, k, 0', [-0.1844281, 0.07152028, 1.0]], ['2, k, 1', [-0.1989541, 0.3304261, 1.0]], ['2, k, 2', [-0.2154875, 0.5821974, 1.0]], ['2, k, 3', [-0.209355, 0.720103, 1.0]], ['2, k, 4', [-0.371387, 0.4774626, 1.0]], ['2, k, 5', [-0.4085133, 0.2595502, 1.0]], ['2, k, 6', [-0.3813924, 0.07676725, 1.0]], ['2, k, 7', [-0.3684331, 0.03414495, 1.0]], ['2, k, 8', [-0.03558453, 0.4890931, 1.0]], ['2, k, 9', [0.0254692, 0.2725891, 1.0]], ['2, k, 10', [0.06694523, 0.09420726, 1.0]], ['2, k, 11', [0.06351236, 0.02659525, 1.0]], ['2, k, 12', [-0.2459259, 0.06756917, 1.0]], ['2, k, 13', [-0.2311854, -0.2490717, 1.0]], ['2, k, 14', [-0.2189421, -0.5630489, 1.0]], ['2, k, 15', [-0.2091931, -0.6329207, 1.0]], ['2, k, 16', [-0.1189419, 0.07372332, 1.0]], ['2, k, 17', [-0.1234257, -0.247431, 1.0]], ['2, k, 18', [-0.110153, -0.5694903, 1.0]], ['2, k, 19', [-0.1183531, -0.6350418, 1.0]], ['2, k, 20', [-0.2114481, 0.5202355, 1.0]], ['2, k, 21', [-0.3641773, -0.04211758, 1.0]], ['2, k, 22', [-0.3324024, 0.04012451, 1.0]], ['2, k, 23', [0.06728648, -0.04181834, 1.0]], ['2, k, 24', [0.08933781, 0.02869842, 1.0]]]
[['2, k, 0', [-0.1863653, 0.07147162, 1.0]], ['2, k, 1', [-0.2029, 0.3299072, 1.0]], ['2, k, 2', [-0.222065, 0.5810229, 1.0]], ['2, k, 3', [-0.2192829, 0.7186159, 1.0]], ['2, k, 4', [-0.3775819, 0.4764595, 1.0]], ['2, k, 5', [-0.414057, 0.252664, 1.0]], ['2, k, 6', [-0.3816665, 0.06999489, 1.0]], ['2, k, 7', [-0.3715984, 0.02785464, 1.0]], ['2, k, 8', [-0.0431127, 0.4896135, 1.0]], ['2, k, 9', [0.01548644, 0.2629369, 1.0]], ['2, k, 10', [0.05708326, 0.08229147, 1.0]], ['2, k, 11', [0.05401347, 0.02531676, 1.0]], ['2, k, 12', [-0.2477466, 0.06697641, 1.0]], ['2, k, 13', [-0.2302839, -0.2496156, 1.0]], ['2, k, 14', [-0.2214772, -0.5571181, 1.0]], ['2, k, 15', [-0.2109004, -0.6269249, 1.0]], ['2, k, 16', [-0.1209285, 0.0742262, 1.0]], ['2, k, 17', [-0.1194989, -0.248076, 1.0]], ['2, k, 18', [-0.1056192, -0.5715894, 1.0]], ['2, k, 19', [-0.1161471, -0.6358349, 1.0]], ['2, k, 20', [-0.2173537, 0.5192474, 1.0]], ['2, k, 21', [-0.3666731, -0.04898516, 1.0]], ['2, k, 22', [-0.3350079, 0.03598225, 1.0]], ['2, k, 23', [0.06258346, -0.04284404, 1.0]], ['2, k, 24', [0.08139735, 0.01987793, 1.0]]]
[['2, k, 0', [-0.1882738, 0.07033642, 1.0]], ['2, k, 1', [-0.2063729, 0.3287888, 1.0]], ['2, k, 2', [-0.2272751, 0.5798439, 1.0]], ['2, k, 3', [-0.2263681, 0.7177982, 1.0]], ['2, k, 4', [-0.3827057, 0.4718845, 1.0]], ['2, k, 5', [-0.4162174, 0.2493679, 1.0]], ['2, k, 6', [-0.3844773, 0.066053, 1.0]], ['2, k, 7', [-0.3762828, 0.02258526, 1.0]], ['2, k, 8', [-0.04998308, 0.4900094, 1.0]], ['2, k, 9', [0.006601926, 0.2606523, 1.0]], ['2, k, 10', [0.04330733, 0.07252805, 1.0]], ['2, k, 11', [0.03660075, 0.02748269, 1.0]], ['2, k, 12', [-0.2496068, 0.06491667, 1.0]], ['2, k, 13', [-0.2311892, -0.2520354, 1.0]], ['2, k, 14', [-0.2231081, -0.55455, 1.0]], ['2, k, 15', [-0.2123866, -0.6252233, 1.0]], ['2, k, 16', [-0.1228201, 0.07391615, 1.0]], ['2, k, 17', [-0.1143895, -0.2495289, 1.0]], ['2, k, 18', [-0.09640533, -0.5691629, 1.0]], ['2, k, 19', [-0.1173709, -0.6340936, 1.0]], ['2, k, 20', [-0.2221482, 0.5180616, 1.0]], ['2, k, 21', [-0.3741719, -0.04933162, 1.0]], ['2, k, 22', [-0.337322, 0.02563488, 1.0]], ['2, k, 23', [0.05513309, -0.03418757, 1.0]], ['2, k, 24', [0.05934452, 0.03789695, 1.0]]]
[['2, k, 0', [-0.1886979, 0.07034761, 1.0]], ['2, k, 1', [-0.2096011, 0.3286163, 1.0]], ['2, k, 2', [-0.2352615, 0.5795795, 1.0]], ['2, k, 3', [-0.2338326, 0.7172883, 1.0]], ['2, k, 4', [-0.3830537, 0.4719086, 1.0]], ['2, k, 5', [-0.4208179, 0.2480982, 1.0]], ['2, k, 6', [-0.386822, 0.06435436, 1.0]], ['2, k, 7', [-0.382047, 0.01651566, 1.0]], ['2, k, 8', [-0.05485466, 0.4902112, 1.0]], ['2, k, 9', [-0.004550165, 0.2547777, 1.0]], ['2, k, 10', [0.03406478, 0.06636671, 1.0]], ['2, k, 11', [0.02215818, 0.02355799, 1.0]], ['2, k, 12', [-0.2499976, 0.06409346, 1.0]], ['2, k, 13', [-0.2326315, -0.2532599, 1.0]], ['2, k, 14', [-0.2290006, -0.5458589, 1.0]], ['2, k, 15', [-0.2175622, -0.6201023, 1.0]], ['2, k, 16', [-0.1232511, 0.07473538, 1.0]], ['2, k, 17', [-0.1034184, -0.2492688, 1.0]], ['2, k, 18', [-0.076008, -0.5675169, 1.0]], ['2, k, 19', [-0.07063548, -0.6361531, 1.0]], ['2, k, 20', [-0.2288083, 0.5178172, 1.0]], ['2, k, 21', [-0.3704734, -0.05681999, 1.0]], ['2, k, 22', [-0.3428743, 0.03612559, 1.0]], ['2, k, 23', [0.03576538, -0.03367794, 1.0]], ['2, k, 24', [0.05047202, 0.02039624, 1.0]]]
[['2, k, 0', [-0.1889493, 0.07103383, 1.0]], ['2, k, 1', [-0.2116896, 0.328741, 1.0]], ['2, k, 2', [-0.2393568, 0.579314, 1.0]], ['2, k, 3', [-0.2409583, 0.7171761, 1.0]], ['2, k, 4', [-0.3873547, 0.4701052, 1.0]], ['2, k, 5', [-0.4238219, 0.2468887, 1.0]], ['2, k, 6', [-0.3907913, 0.06270374, 1.0]], ['2, k, 7', [-0.3906339, 0.009932823, 1.0]], ['2, k, 8', [-0.05971544, 0.4909913, 1.0]], ['2, k, 9', [-0.008892247, 0.2546678, 1.0]], ['2, k, 10', [0.02293462, 0.06325809, 1.0]], ['2, k, 11', [0.008800328, 0.02453596, 1.0]], ['2, k, 12', [-0.25014, 0.06420245, 1.0]], ['2, k, 13', [-0.2442757, -0.253673, 1.0]], ['2, k, 14', [-0.2292443, -0.5283709, 1.0]], ['2, k, 15', [-0.2102729, -0.5780854, 1.0]], ['2, k, 16', [-0.1235873, 0.07613824, 1.0]], ['2, k, 17', [-0.08338609, -0.2462947, 1.0]], ['2, k, 18', [-0.05342496, -0.5168849, 1.0]], ['2, k, 19', [-0.05417895, -0.6097612, 1.0]], ['2, k, 20', [-0.2324547, 0.5176759, 1.0]], ['2, k, 21', [-0.3794886, -0.05733275, 1.0]], ['2, k, 22', [-0.3583213, 0.01741698, 1.0]], ['2, k, 23', [0.009315173, -0.0159813, 1.0]], ['2, k, 24', [0.03163437, 0.002750315, 1.0]]]
[['2, k, 0', [-0.188986, 0.07123414, 1.0]], ['2, k, 1', [-0.2137627, 0.3287013, 1.0]], ['2, k, 2', [-0.243451, 0.5789896, 1.0]], ['2, k, 3', [-0.2449971, 0.7171254, 1.0]], ['2, k, 4', [-0.3900807, 0.4681056, 1.0]], ['2, k, 5', [-0.4262864, 0.2464804, 1.0]], ['2, k, 6', [-0.3940845, 0.06201289, 1.0]], ['2, k, 7', [-0.3949227, 0.002695631, 1.0]], ['2, k, 8', [-0.06464011, 0.4914477, 1.0]], ['2, k, 9', [-0.01270221, 0.2555706, 1.0]], ['2, k, 10', [0.02073773, 0.06413463, 1.0]], ['2, k, 11', [0.008972795, 0.02142437, 1.0]], ['2, k, 12', [-0.2502141, 0.06381339, 1.0]], ['2, k, 13', [-0.2455694, -0.2540951, 1.0]], ['2, k, 14', [-0.2315749, -0.5285916, 1.0]], ['2, k, 15', [-0.2246407, -0.6124136, 1.0]], ['2, k, 16', [-0.1235691, 0.07700294, 1.0]], ['2, k, 17', [-0.06697514, -0.2421794, 1.0]], ['2, k, 18', [-0.03486272, -0.5497735, 1.0]], ['2, k, 19', [5.598739e-05, -0.6192652, 1.0]], ['2, k, 20', [-0.2361118, 0.5174259, 1.0]], ['2, k, 21', [-0.3852576, -0.06435301, 1.0]], ['2, k, 22', [-0.3660287, 0.01825852, 1.0]], ['2, k, 23', [0.02279025, -0.04237229, 1.0]], ['2, k, 24', [0.03078169, 0.02423383, 1.0]]]
[['2, k, 0', [-0.1888936, 0.07178589, 1.0]], ['2, k, 1', [-0.2147158, 0.3289984, 1.0]], ['2, k, 2', [-0.2447973, 0.5791123, 1.0]], ['2, k, 3', [-0.2494213, 0.7171639, 1.0]], ['2, k, 4', [-0.3915084, 0.4675643, 1.0]], ['2, k, 5', [-0.4286023, 0.2463124, 1.0]], ['2, k, 6', [-0.399024, 0.05976174, 1.0]], ['2, k, 7', [-0.4000031, -0.003270259, 1.0]], ['2, k, 8', [-0.06886461, 0.4922917, 1.0]], ['2, k, 9', [-0.01424898, 0.2576972, 1.0]], ['2, k, 10', [0.02045959, 0.07339714, 1.0]], ['2, k, 11', [0.01407054, 0.02643404, 1.0]], ['2, k, 12', [-0.2501544, 0.06386568, 1.0]], ['2, k, 13', [-0.2474371, -0.2542394, 1.0]], ['2, k, 14', [-0.2315671, -0.5283061, 1.0]], ['2, k, 15', [-0.2252188, -0.6120757, 1.0]], ['2, k, 16', [-0.1234024, 0.07837728, 1.0]], ['2, k, 17', [-0.05645356, -0.2388761, 1.0]], ['2, k, 18', [-0.0039323, -0.543545, 1.0]], ['2, k, 19', [0.0512085, -0.6186523, 1.0]], ['2, k, 20', [-0.2374144, 0.5175992, 1.0]], ['2, k, 21', [-0.3866918, -0.07244965, 1.0]], ['2, k, 22', [-0.3718342, 0.01869549, 1.0]], ['2, k, 23', [0.02390523, -0.04066464, 1.0]], ['2, k, 24', [0.03472918, 0.02872917, 1.0]]]
[['2, k, 0', [-0.1882998, 0.07256127, 1.0]], ['2, k, 1', [-0.2156177, 0.3292516, 1.0]], ['2, k, 2', [-0.2467537, 0.5791276, 1.0]], ['2, k, 3', [-0.2529134, 0.7174429, 1.0]], ['2, k, 4', [-0.3925975, 0.4668372, 1.0]], ['2, k, 5', [-0.4307335, 0.246505, 1.0]], ['2, k, 6', [-0.4015729, 0.05899246, 1.0]], ['2, k, 7', [-0.405882, -0.00171335, 1.0]], ['2, k, 8', [-0.07094981, 0.4922665, 1.0]], ['2, k, 9', [-0.01494231, 0.2582839, 1.0]], ['2, k, 10', [0.02107951, 0.07337239, 1.0]], ['2, k, 11', [0.01667216, 0.02321814, 1.0]], ['2, k, 12', [-0.2497997, 0.06414777, 1.0]], ['2, k, 13', [-0.2486826, -0.254013, 1.0]], ['2, k, 14', [-0.2323056, -0.5280452, 1.0]], ['2, k, 15', [-0.2254706, -0.6120573, 1.0]], ['2, k, 16', [-0.1225362, 0.0796932, 1.0]], ['2, k, 17', [-0.04289283, -0.2340491, 1.0]], ['2, k, 18', [0.03021138, -0.5237353, 1.0]], ['2, k, 19', [0.07484683, -0.5987464, 1.0]], ['2, k, 20', [-0.2390821, 0.5176829, 1.0]], ['2, k, 21', [-0.3902549, -0.07146557, 1.0]], ['2, k, 22', [-0.3760921, 0.003173553, 1.0]], ['2, k, 23', [0.02933562, -0.04104833, 1.0]], ['2, k, 24', [0.04984609, 0.002714489, 1.0]]]
[['2, k, 0', [-0.1878176, 0.0732867, 1.0]], ['2, k, 1', [-0.2167172, 0.3296267, 1.0]], ['2, k, 2', [-0.2498065, 0.5792704, 1.0]], ['2, k, 3', [-0.2547944, 0.7178913, 1.0]], ['2, k, 4', [-0.3938553, 0.4661456, 1.0]], ['2, k, 5', [-0.4323291, 0.2467509, 1.0]], ['2, k, 6', [-0.4058895, 0.05820502, 1.0]], ['2, k, 7', [-0.4072341, -0.003970773, 1.0]], ['2, k, 8', [-0.07244388, 0.4925566, 1.0]], ['2, k, 9', [-0.01559287, 0.2588114, 1.0]], ['2, k, 10', [0.02106124, 0.06987616, 1.0]], ['2, k, 11', [0.01929037, 0.01977433, 1.0]], ['2, k, 12', [-0.2496044, 0.06463502, 1.0]], ['2, k, 13', [-0.2515488, -0.2536069, 1.0]], ['2, k, 14', [-0.2338638, -0.5273809, 1.0]], ['2, k, 15', [-0.2265923, -0.6095208, 1.0]], ['2, k, 16', [-0.1217092, 0.08057559, 1.0]], ['2, k, 17', [-0.03057587, -0.2292893, 1.0]], ['2, k, 18', [0.06743825, -0.5266399, 1.0]], ['2, k, 19', [0.110754, -0.5883347, 1.0]], ['2, k, 20', [-0.2416103, 0.5179095, 1.0]], ['2, k, 21', [-0.3920904, -0.07205278, 1.0]], ['2, k, 22', [-0.3811117, 0.0006764976, 1.0]], ['2, k, 23', [0.02145285, -0.04885144, 1.0]], ['2, k, 24', [0.0539791, 0.002258774, 1.0]]]
[['2, k, 0', [-0.1865831, 0.07498637, 1.0]], ['2, k, 1', [-0.2171097, 0.3301244, 1.0]], ['2, k, 2', [-0.2506525, 0.5793903, 1.0]], ['2, k, 3', [-0.2564659, 0.7184862, 1.0]], ['2, k, 4', [-0.3949108, 0.4658051, 1.0]], ['2, k, 5', [-0.4339013, 0.2461977, 1.0]], ['2, k, 6', [-0.4089183, 0.0581421, 1.0]], ['2, k, 7', [-0.4075595, -0.003641395, 1.0]], ['2, k, 8', [-0.07337984, 0.4927818, 1.0]], ['2, k, 9', [-0.01620879, 0.2593636, 1.0]], ['2, k, 10', [0.02159443, 0.06745952, 1.0]], ['2, k, 11', [0.02153155, 0.01665465, 1.0]], ['2, k, 12', [-0.2487585, 0.06573746, 1.0]], ['2, k, 13', [-0.253188, -0.252756, 1.0]], ['2, k, 14', [-0.235238, -0.5265476, 1.0]], ['2, k, 15', [-0.2263738, -0.6131662, 1.0]], ['2, k, 16', [-0.1201143, 0.08280387, 1.0]], ['2, k, 17', [-0.01273899, -0.2200322, 1.0]], ['2, k, 18', [0.09008555, -0.5081848, 1.0]], ['2, k, 19', [0.1066317, -0.5584984, 1.0]], ['2, k, 20', [-0.2423322, 0.518114, 1.0]], ['2, k, 21', [-0.3919348, -0.0720203, 1.0]], ['2, k, 22', [-0.3817152, -0.008220826, 1.0]], ['2, k, 23', [0.02508765, -0.04951088, 1.0]], ['2, k, 24', [0.05157257, 0.006833786, 1.0]]]
[['2, k, 0', [-0.1860332, 0.07563958, 1.0]], ['2, k, 1', [-0.2172954, 0.3304859, 1.0]], ['2, k, 2', [-0.2509795, 0.579559, 1.0]], ['2, k, 3', [-0.2583576, 0.7188243, 1.0]], ['2, k, 4', [-0.3955404, 0.4654458, 1.0]], ['2, k, 5', [-0.4372142, 0.247291, 1.0]], ['2, k, 6', [-0.4127609, 0.06223573, 1.0]], ['2, k, 7', [-0.4098881, -0.002001785, 1.0]], ['2, k, 8', [-0.07379854, 0.4925452, 1.0]], ['2, k, 9', [-0.0164311, 0.2589196, 1.0]], ['2, k, 10', [0.02361588, 0.06683698, 1.0]], ['2, k, 11', [0.0231213, 0.01524535, 1.0]], ['2, k, 12', [-0.2484674, 0.06615723, 1.0]], ['2, k, 13', [-0.2560577, -0.252805, 1.0]], ['2, k, 14', [-0.2359438, -0.5260289, 1.0]], ['2, k, 15', [-0.2266422, -0.612691, 1.0]], ['2, k, 16', [-0.1192663, 0.08366728, 1.0]], ['2, k, 17', [-0.004173202, -0.2157751, 1.0]], ['2, k, 18', [0.1083504, -0.5001875, 1.0]], ['2, k, 19', [0.124748, -0.5505856, 1.0]], ['2, k, 20', [-0.2426512, 0.5183289, 1.0]], ['2, k, 21', [-0.3957767, -0.07203742, 1.0]], ['2, k, 22', [-0.3800564, 0.01067385, 1.0]], ['2, k, 23', [0.02704717, -0.04996924, 1.0]], ['2, k, 24', [0.05452317, 0.008428384, 1.0]]]
