[['2, k, 0', [-0.326227, -0.365823, 1.0]], ['2, k, 1', [-0.345657, -0.0867824, 1.0]], ['2, k, 2', [-0.362411, 0.186604, 1.0]], ['2, k, 3', [-0.382635, 0.274465, 1.0]], ['2, k, 4', [-0.51731, 0.0644765, 1.0]], ['2, k, 5', [-0.631513, -0.0381354, 1.0]], ['2, k, 6', [-0.527832, 0.13169, 1.0]], ['2, k, 7', [-0.488692, 0.193963, 1.0]], ['2, k, 8', [-0.218352, 0.126217, 1.0]], ['2, k, 9', [-0.109218, 0.0303111, 1.0]], ['2, k, 10', [-0.103508, -0.1233, 1.0]], ['2, k, 11', [-0.148788, -0.156034, 1.0]], ['2, k, 12', [-0.389773, -0.374824, 1.0]], ['2, k, 13', [-0.442924, -0.649158, 1.0]], ['2, k, 14', [-0.456708, -1.00782, 1.0]], ['2, k, 15', [-0.463135, -1.08887, 1.0]], ['2, k, 16', [-0.253738, -0.346809, 1.0]], ['2, k, 17', [-0.202467, -0.56855, 1.0]], ['2, k, 18', [-0.189714, -0.97539, 1.0]], ['2, k, 19', [-0.172756, -1.02224, 1.0]], ['2, k, 20', [-0.358685, 0.119136, 1.0]], ['2, k, 21', [-0.458791, 0.260538, 1.0]], ['2, k, 22', [-0.434031, 0.223412, 1.0]], ['2, k, 23', [-0.140863, -0.24178, 1.0]], ['2, k, 24', [-0.16582, -0.17648, 1.0]]]
[['2, k, 0', [-0.318069, -0.401225, 1.0]], ['2, k, 1', [-0.344478, -0.0957319, 1.0]], ['2, k, 2', [-0.362838, 0.186573, 1.0]], ['2, k, 3', [-0.381846, 0.274491, 1.0]], ['2, k, 4', [-0.51723, 0.0645253, 1.0]], ['2, k, 5', [-0.632071, -0.0391498, 1.0]], ['2, k, 6', [-0.433012, -0.0184187, 1.0]], ['2, k, 7', [-0.354827, -0.029284, 1.0]], ['2, k, 8', [-0.218407, 0.12625, 1.0]], ['2, k, 9', [-0.107661, 0.0284656, 1.0]], ['2, k, 10', [-0.122766, -0.127972, 1.0]], ['2, k, 11', [-0.160036, -0.166796, 1.0]], ['2, k, 12', [-0.38168, -0.409524, 1.0]], ['2, k, 13', [-0.443684, -0.652196, 1.0]], ['2, k, 14', [-0.456804, -1.00809, 1.0]], ['2, k, 15', [-0.462856, -1.08899, 1.0]], ['2, k, 16', [-0.245489, -0.381628, 1.0]], ['2, k, 17', [-0.186799, -0.642253, 1.0]], ['2, k, 18', [-0.189632, -0.976666, 1.0]], ['2, k, 19', [-0.173036, -1.02188, 1.0]], ['2, k, 20', [-0.358994, 0.11865, 1.0]], ['2, k, 21', [-0.296615, -0.0477033, 1.0]], ['2, k, 22', [-0.340477, -0.0767201, 1.0]], ['2, k, 23', [-0.161919, -0.249804, 1.0]], ['2, k, 24', [-0.19022, -0.161645, 1.0]]]
[['2, k, 0', [-0.330602, -0.347449, 1.0]], ['2, k, 1', [-0.348716, -0.0847377, 1.0]], ['2, k, 2', [-0.364852, 0.187769, 1.0]], ['2, k, 3', [-0.375205, 0.277079, 1.0]], ['2, k, 4', [-0.513982, 0.0700054, 1.0]], ['2, k, 5', [-0.626315, -0.0380205, 1.0]], ['2, k, 6', [-0.426706, -0.0180354, 1.0]], ['2, k, 7', [-0.353976, -0.0267769, 1.0]], ['2, k, 8', [-0.216798, 0.127277, 1.0]], ['2, k, 9', [-0.109279, 0.019635, 1.0]], ['2, k, 10', [-0.122181, -0.138068, 1.0]], ['2, k, 11', [-0.160366, -0.167316, 1.0]], ['2, k, 12', [-0.394386, -0.354473, 1.0]], ['2, k, 13', [-0.42943, -0.690826, 1.0]], ['2, k, 14', [-0.455035, -1.03341, 1.0]], ['2, k, 15', [-0.464953, -1.09485, 1.0]], ['2, k, 16', [-0.257656, -0.330812, 1.0]], ['2, k, 17', [-0.203875, -0.667407, 1.0]], ['2, k, 18', [-0.189463, -0.97719, 1.0]], ['2, k, 19', [-0.173432, -1.02095, 1.0]], ['2, k, 20', [-0.361084, 0.120532, 1.0]], ['2, k, 21', [-0.301972, -0.0472159, 1.0]], ['2, k, 22', [-0.350965, -0.0780127, 1.0]], ['2, k, 23', [-0.163097, -0.25009, 1.0]], ['2, k, 24', [-0.188824, -0.192943, 1.0]]]
[['2, k, 0', [-0.330054, -0.347253, 1.0]], ['2, k, 1', [-0.348955, -0.0827662, 1.0]], ['2, k, 2', [-0.365847, 0.188046, 1.0]], ['2, k, 3', [-0.373635, 0.278882, 1.0]], ['2, k, 4', [-0.513708, 0.0701703, 1.0]], ['2, k, 5', [-0.624435, -0.0399348, 1.0]], ['2, k, 6', [-0.425613, -0.023255, 1.0]], ['2, k, 7', [-0.353187, -0.0323979, 1.0]], ['2, k, 8', [-0.216404, 0.127218, 1.0]], ['2, k, 9', [-0.109217, 0.00934873, 1.0]], ['2, k, 10', [-0.121386, -0.149209, 1.0]], ['2, k, 11', [-0.158274, -0.181583, 1.0]], ['2, k, 12', [-0.393823, -0.354376, 1.0]], ['2, k, 13', [-0.427847, -0.693466, 1.0]], ['2, k, 14', [-0.460536, -1.04173, 1.0]], ['2, k, 15', [-0.46621, -1.09825, 1.0]], ['2, k, 16', [-0.257217, -0.330635, 1.0]], ['2, k, 17', [-0.202463, -0.670905, 1.0]], ['2, k, 18', [-0.186274, -0.992107, 1.0]], ['2, k, 19', [-0.163098, -1.05663, 1.0]], ['2, k, 20', [-0.361871, 0.121065, 1.0]], ['2, k, 21', [-0.308532, -0.047113, 1.0]], ['2, k, 22', [-0.342538, -0.0829665, 1.0]], ['2, k, 23', [-0.154793, -0.263767, 1.0]], ['2, k, 24', [-0.188504, -0.205736, 1.0]]]
[['2, k, 0', [-0.328863, -0.345959, 1.0]], ['2, k, 1', [-0.347951, -0.0799071, 1.0]], ['2, k, 2', [-0.365636, 0.188329, 1.0]], ['2, k, 3', [-0.370769, 0.28036, 1.0]], ['2, k, 4', [-0.512132, 0.0719573, 1.0]], ['2, k, 5', [-0.624575, -0.0329283, 1.0]], ['2, k, 6', [-0.428835, -0.0219503, 1.0]], ['2, k, 7', [-0.351357, -0.0236296, 1.0]], ['2, k, 8', [-0.215876, 0.127185, 1.0]], ['2, k, 9', [-0.109728, 0.00627082, 1.0]], ['2, k, 10', [-0.118172, -0.152073, 1.0]], ['2, k, 11', [-0.152799, -0.186663, 1.0]], ['2, k, 12', [-0.392467, -0.352787, 1.0]], ['2, k, 13', [-0.427086, -0.693924, 1.0]], ['2, k, 14', [-0.45902, -1.0406, 1.0]], ['2, k, 15', [-0.46663, -1.09893, 1.0]], ['2, k, 16', [-0.256194, -0.329601, 1.0]], ['2, k, 17', [-0.201518, -0.670507, 1.0]], ['2, k, 18', [-0.18771, -0.983582, 1.0]], ['2, k, 19', [-0.159016, -1.05012, 1.0]], ['2, k, 20', [-0.361555, 0.12174, 1.0]], ['2, k, 21', [-0.295721, -0.03805, 1.0]], ['2, k, 22', [-0.351768, -0.0825084, 1.0]], ['2, k, 23', [-0.149476, -0.264167, 1.0]], ['2, k, 24', [-0.183309, -0.199317, 1.0]]]
[['2, k, 0', [-0.326228, -0.342514, 1.0]], ['2, k, 1', [-0.346672, -0.07961, 1.0]], ['2, k, 2', [-0.364374, 0.174844, 1.0]], ['2, k, 3', [-0.36616, 0.276326, 1.0]], ['2, k, 4', [-0.509511, 0.0749112, 1.0]], ['2, k, 5', [-0.620622, -0.0311481, 1.0]], ['2, k, 6', [-0.421351, -0.0215822, 1.0]], ['2, k, 7', [-0.0172616, 0.0513966, 1.0]], ['2, k, 8', [-0.212244, 0.127706, 1.0]], ['2, k, 9', [-0.102422, 0.010608, 1.0]], ['2, k, 10', [-0.114779, -0.14741, 1.0]], ['2, k, 11', [-0.149636, -0.179416, 1.0]], ['2, k, 12', [-0.38982, -0.348945, 1.0]], ['2, k, 13', [-0.424753, -0.695532, 1.0]], ['2, k, 14', [-0.458165, -1.0416, 1.0]], ['2, k, 15', [-0.467289, -1.10013, 1.0]], ['2, k, 16', [-0.253798, -0.326768, 1.0]], ['2, k, 17', [-0.198856, -0.66804, 1.0]], ['2, k, 18', [-0.187695, -0.982309, 1.0]], ['2, k, 19', [-0.158907, -1.04998, 1.0]], ['2, k, 20', [-0.360152, 0.114348, 1.0]], ['2, k, 21', [0.0121523, 0.0841043, 1.0]], ['2, k, 22', [-0.0102423, 0.00427727, 1.0]], ['2, k, 23', [-0.144326, -0.26279, 1.0]], ['2, k, 24', [-0.183095, -0.177994, 1.0]]]
[['2, k, 0', [-0.322969, -0.340228, 1.0]], ['2, k, 1', [-0.342754, -0.0737325, 1.0]], ['2, k, 2', [-0.358363, 0.192743, 1.0]], ['2, k, 3', [-0.362083, 0.285977, 1.0]], ['2, k, 4', [-0.48934, 0.0925184, 1.0]], ['2, k, 5', [-0.601959, -0.0137706, 1.0]], ['2, k, 6', [-0.401707, -0.0351148, 1.0]], ['2, k, 7', [-0.360526, 0.0135429, 1.0]], ['2, k, 8', [-0.20642, 0.129288, 1.0]], ['2, k, 9', [-0.0983651, 0.00793652, 1.0]], ['2, k, 10', [-0.112759, -0.151383, 1.0]], ['2, k, 11', [-0.148406, -0.183873, 1.0]], ['2, k, 12', [-0.386551, -0.345601, 1.0]], ['2, k, 13', [-0.422262, -0.696574, 1.0]], ['2, k, 14', [-0.457047, -1.04488, 1.0]], ['2, k, 15', [-0.467686, -1.10092, 1.0]], ['2, k, 16', [-0.250578, -0.32546, 1.0]], ['2, k, 17', [-0.195225, -0.664839, 1.0]], ['2, k, 18', [-0.187755, -0.977117, 1.0]], ['2, k, 19', [-0.157928, -1.04683, 1.0]], ['2, k, 20', [-0.355402, 0.125569, 1.0]], ['2, k, 21', [-0.318076, 0.0318918, 1.0]], ['2, k, 22', [-0.33804, -0.0466176, 1.0]], ['2, k, 23', [-0.143474, -0.263516, 1.0]], ['2, k, 24', [-0.181216, -0.199504, 1.0]]]
[['2, k, 0', [-0.320092, -0.338075, 1.0]], ['2, k, 1', [-0.338727, -0.069992, 1.0]], ['2, k, 2', [-0.354781, 0.195475, 1.0]], ['2, k, 3', [-0.35678, 0.289363, 1.0]], ['2, k, 4', [-0.487444, 0.0935683, 1.0]], ['2, k, 5', [-0.608577, 0.00149422, 1.0]], ['2, k, 6', [-0.406004, 0.00318312, 1.0]], ['2, k, 7', [-0.353575, 0.0509225, 1.0]], ['2, k, 8', [-0.203248, 0.129856, 1.0]], ['2, k, 9', [-0.112319, -0.0247054, 1.0]], ['2, k, 10', [-0.101802, -0.181434, 1.0]], ['2, k, 11', [-0.134646, -0.22514, 1.0]], ['2, k, 12', [-0.383641, -0.342889, 1.0]], ['2, k, 13', [-0.419661, -0.695985, 1.0]], ['2, k, 14', [-0.456217, -1.04672, 1.0]], ['2, k, 15', [-0.468178, -1.10156, 1.0]], ['2, k, 16', [-0.247881, -0.323969, 1.0]], ['2, k, 17', [-0.190367, -0.650927, 1.0]], ['2, k, 18', [-0.187947, -0.976036, 1.0]], ['2, k, 19', [-0.157959, -1.04694, 1.0]], ['2, k, 20', [-0.351187, 0.129292, 1.0]], ['2, k, 21', [-0.299764, 0.0631597, 1.0]], ['2, k, 22', [-0.338365, -0.010823, 1.0]], ['2, k, 23', [-0.125626, -0.291783, 1.0]], ['2, k, 24', [-0.158606, -0.244376, 1.0]]]
[['2, k, 0', [-0.317106, -0.336788, 1.0]], ['2, k, 1', [-0.33722, -0.0720465, 1.0]], ['2, k, 2', [-0.356073, 0.181602, 1.0]], ['2, k, 3', [-0.347253, 0.291507, 1.0]], ['2, k, 4', [-0.489535, 0.0912312, 1.0]], ['2, k, 5', [-0.613017, 0.00467559, 1.0]], ['2, k, 6', [-0.410815, 0.00401288, 1.0]], ['2, k, 7', [-0.371476, 0.0329674, 1.0]], ['2, k, 8', [-0.198867, 0.130391, 1.0]], ['2, k, 9', [-0.0865744, 0.00824834, 1.0]], ['2, k, 10', [-0.104904, -0.151349, 1.0]], ['2, k, 11', [-0.139597, -0.187841, 1.0]], ['2, k, 12', [-0.380534, -0.341879, 1.0]], ['2, k, 13', [-0.418277, -0.695528, 1.0]], ['2, k, 14', [-0.462325, -1.05664, 1.0]], ['2, k, 15', [-0.468475, -1.10465, 1.0]], ['2, k, 16', [-0.245153, -0.322554, 1.0]], ['2, k, 17', [-0.189043, -0.647065, 1.0]], ['2, k, 18', [-0.1924, -0.956612, 1.0]], ['2, k, 19', [-0.161452, -1.03391, 1.0]], ['2, k, 20', [-0.351323, 0.120073, 1.0]], ['2, k, 21', [-0.321729, 0.042467, 1.0]], ['2, k, 22', [-0.349235, -0.0298856, 1.0]], ['2, k, 23', [-0.134396, -0.270225, 1.0]], ['2, k, 24', [-0.176012, -0.199708, 1.0]]]
[['2, k, 0', [-0.314218, -0.33561, 1.0]], ['2, k, 1', [-0.332951, -0.0671169, 1.0]], ['2, k, 2', [-0.34743, 0.199913, 1.0]], ['2, k, 3', [-0.338158, 0.299578, 1.0]], ['2, k, 4', [-0.479814, 0.118712, 1.0]], ['2, k, 5', [-0.591402, 0.00981699, 1.0]], ['2, k, 6', [-0.386584, 0.00770908, 1.0]], ['2, k, 7', [-0.000564515, 0.0433528, 1.0]], ['2, k, 8', [-0.195097, 0.131691, 1.0]], ['2, k, 9', [-0.0693746, 0.0305558, 1.0]], ['2, k, 10', [-0.102878, -0.141367, 1.0]], ['2, k, 11', [-0.138594, -0.182223, 1.0]], ['2, k, 12', [-0.377682, -0.340332, 1.0]], ['2, k, 13', [-0.417064, -0.696054, 1.0]], ['2, k, 14', [-0.463045, -1.05737, 1.0]], ['2, k, 15', [-0.468248, -1.10479, 1.0]], ['2, k, 16', [-0.242257, -0.321798, 1.0]], ['2, k, 17', [-0.188156, -0.646329, 1.0]], ['2, k, 18', [-0.190836, -0.959456, 1.0]], ['2, k, 19', [-0.159739, -1.03661, 1.0]], ['2, k, 20', [-0.344499, 0.132918, 1.0]], ['2, k, 21', [0.0365046, 0.0669052, 1.0]], ['2, k, 22', [0.00762658, -0.00792894, 1.0]], ['2, k, 23', [-0.141582, -0.259702, 1.0]], ['2, k, 24', [-0.17442, -0.180063, 1.0]]]
[['2, k, 0', [-0.312039, -0.335522, 1.0]], ['2, k, 1', [-0.328016, -0.0634386, 1.0]], ['2, k, 2', [-0.340096, 0.207441, 1.0]], ['2, k, 3', [-0.324865, 0.306866, 1.0]], ['2, k, 4', [-0.47502, 0.121027, 1.0]], ['2, k, 5', [-0.593656, 0.0129272, 1.0]], ['2, k, 6', [-0.384455, 0.00823738, 1.0]], ['2, k, 7', [0.00487036, 0.0455533, 1.0]], ['2, k, 8', [-0.190508, 0.132033, 1.0]], ['2, k, 9', [-0.0656435, 0.0291122, 1.0]], ['2, k, 10', [-0.101435, -0.142809, 1.0]], ['2, k, 11', [-0.136524, -0.182612, 1.0]], ['2, k, 12', [-0.375814, -0.339926, 1.0]], ['2, k, 13', [-0.415275, -0.697568, 1.0]], ['2, k, 14', [-0.463517, -1.05851, 1.0]], ['2, k, 15', [-0.468392, -1.10511, 1.0]], ['2, k, 16', [-0.239713, -0.322134, 1.0]], ['2, k, 17', [-0.186851, -0.649485, 1.0]], ['2, k, 18', [-0.189939, -0.960255, 1.0]], ['2, k, 19', [-0.159004, -1.03754, 1.0]], ['2, k, 20', [-0.337375, 0.140144, 1.0]], ['2, k, 21', [0.0433562, 0.0563616, 1.0]], ['2, k, 22', [0.00628771, -0.00870134, 1.0]], ['2, k, 23', [-0.138662, -0.261065, 1.0]], ['2, k, 24', [-0.174438, -0.181787, 1.0]]]
