Exercise,Video,Repetition,Start,End,Incomplete
Exercise_2,V1,1,0:00:01.70,0:00:06.86,0
Exercise_2,V1,2,0:00:06.86,0:00:11.50,0
Exercise_2,V1,3,0:00:11.50,0:00:15.74,0
Exercise_2,V1,4,0:00:15.74,0:00:19.82,0
Exercise_2,V1,5,0:00:19.82,0:00:22.46,1
Exercise_2,V2,1,0:00:01.26,0:00:08.22,0
Exercise_2,V2,2,0:00:08.22,0:00:14.34,0
Exercise_2,V2,3,0:00:14.34,0:00:20.74,0
Exercise_2,V3,1,0:00:00.00,0:00:08.78,0
Exercise_2,V3,2,0:00:08.78,0:00:16.06,0
Exercise_2,V4,1,0:00:01.98,0:00:06.86,0
Exercise_2,V4,2,0:00:06.86,0:00:11.22,0
Exercise_2,V4,3,0:00:11.22,0:00:15.62,0
Exercise_2,V4,4,0:00:15.62,0:00:20.10,0
Exercise_2,V4,5,0:00:20.10,0:00:23.90,1
Exercise_2,V5,1,0:00:01.58,0:00:15.34,0
Exercise_2,V5,2,0:00:15.34,0:00:22.94,0
Exercise_2,V5,3,0:00:22.94,0:00:29.26,0
Exercise_2,V5,4,0:00:29.26,0:00:35.14,0
Exercise_2,V5,5,0:00:35.14,0:00:41.22,1
Exercise_2,V6,1,0:00:01.54,0:00:07.06,0
Exercise_2,V6,2,0:00:07.06,0:00:12.54,0
Exercise_2,V6,3,0:00:12.54,0:00:18.10,0
Exercise_2,V6,4,0:00:18.10,0:00:23.06,1
Exercise_2,V7,1,0:00:00.66,0:00:04.58,0
Exercise_2,V7,2,0:00:04.58,0:00:09.18,0
Exercise_2,V7,3,0:00:09.18,0:00:13.34,0
Exercise_2,V7,4,0:00:13.34,0:00:18.22,0
Exercise_2,V7,5,0:00:18.22,0:00:21.06,1
Exercise_2,V8,1,0:00:06.66,0:00:11.74,0
Exercise_2,V8,2,0:00:11.74,0:00:16.50,0
Exercise_2,V8,3,0:00:16.50,0:00:20.86,0
Exercise_2,V8,4,0:00:20.86,0:00:25.42,0
Exercise_2,V8,5,0:00:25.42,0:00:30.02,0
Exercise_2,V9,1,0:00:00.00,0:00:04.22,0
Exercise_2,V9,2,0:00:04.22,0:00:08.14,0
Exercise_2,V9,3,0:00:08.14,0:00:11.74,0
Exercise_2,V9,4,0:00:11.74,0:00:15.18,0
Exercise_2,V10,1,0:00:01.78,0:00:09.94,0
Exercise_2,V10,2,0:00:09.94,0:00:17.74,0
Exercise_2,V10,3,0:00:17.74,0:00:25.26,0
Exercise_2,V10,4,0:00:25.26,0:00:33.18,0
Exercise_2,V10,5,0:00:33.18,0:00:40.58,0
Exercise_2,V10,6,0:00:40.58,0:00:47.90,0
Exercise_2,V10,7,0:00:47.90,0:00:54.62,0
Exercise_2,V11,1,0:00:03.85,0:00:11.18,0
Exercise_2,V11,2,0:00:11.18,0:00:18.52,0
Exercise_2,V11,3,0:00:18.52,0:00:25.60,0
Exercise_2,V11,4,0:00:25.60,0:00:32.97,0
Exercise_2,V11,5,0:00:32.97,0:00:38.39,1
Exercise_2,V12,1,0:00:01.82,0:00:10.70,0
Exercise_2,V12,2,0:00:10.70,0:00:18.62,0
Exercise_2,V12,3,0:00:18.62,0:00:26.22,0
Exercise_2,V13,1,0:00:01.82,0:00:08.30,0
Exercise_2,V13,2,0:00:08.30,0:00:14.70,0
Exercise_2,V13,3,0:00:14.70,0:00:21.06,0
Exercise_2,V13,4,0:00:21.06,0:00:27.58,0
Exercise_2,V13,5,0:00:27.58,0:00:33.58,0
Exercise_2,V14,1,0:00:02.30,0:00:08.02,0
Exercise_2,V14,2,0:00:08.02,0:00:13.42,0
Exercise_2,V14,3,0:00:13.42,0:00:19.02,0
Exercise_2,V14,4,0:00:19.02,0:00:24.58,0
Exercise_2,V15,1,0:00:02.22,0:00:07.66,0
Exercise_2,V15,2,0:00:07.66,0:00:13.50,0
Exercise_2,V15,3,0:00:13.50,0:00:19.02,0
Exercise_2,V15,4,0:00:19.02,0:00:24.94,0
Exercise_2,V16,1,0:00:01.10,0:00:06.34,0
Exercise_2,V16,2,0:00:06.34,0:00:11.42,0
Exercise_2,V16,3,0:00:11.42,0:00:16.10,0
Exercise_2,V16,4,0:00:16.10,0:00:20.70,0
Exercise_2,V16,5,0:00:20.70,0:00:25.18,0
Exercise_2,V17,1,0:00:01.98,0:00:06.54,0
Exercise_2,V17,2,0:00:06.54,0:00:10.94,0
Exercise_2,V17,3,0:00:10.94,0:00:15.26,0
Exercise_2,V17,4,0:00:15.26,0:00:19.54,0
Exercise_2,V18,1,0:00:03.86,0:00:08.26,0
Exercise_2,V18,2,0:00:08.26,0:00:12.34,0
Exercise_2,V18,3,0:00:12.34,0:00:16.18,0
Exercise_2,V18,4,0:00:16.18,0:00:20.22,0
Exercise_2,V18,5,0:00:20.22,0:00:25.02,0
Exercise_2,V18,6,0:00:25.02,0:00:29.42,1
Exercise_2,V19,1,0:00:03.22,0:00:10.46,0
Exercise_2,V19,2,0:00:10.46,0:00:18.14,0
Exercise_2,V19,3,0:00:18.14,0:00:25.66,0
Exercise_2,V19,4,0:00:25.66,0:00:33.02,0
Exercise_2,V19,5,0:00:33.02,0:00:40.10,0
Exercise_2,V20,1,0:00:06.86,0:00:13.58,0
Exercise_2,V20,2,0:00:13.58,0:00:21.02,0
Exercise_2,V20,3,0:00:21.02,0:00:28.50,0
Exercise_2,V20,4,0:00:28.50,0:00:36.06,0
Exercise_2,V20,5,0:00:36.06,0:00:42.34,0
Exercise_2,V21,1,0:00:05.90,0:00:13.18,0
Exercise_2,V21,2,0:00:13.18,0:00:19.94,0
Exercise_2,V21,3,0:00:19.94,0:00:26.78,0
Exercise_2,V21,4,0:00:26.78,0:00:33.62,0
Exercise_2,V21,5,0:00:33.62,0:00:39.98,0
Exercise_2,V22,1,0:00:05.34,0:00:10.58,0
Exercise_2,V22,2,0:00:10.58,0:00:15.38,0
Exercise_2,V22,3,0:00:15.38,0:00:20.38,0
Exercise_2,V22,4,0:00:20.38,0:00:25.38,0
Exercise_2,V22,5,0:00:25.38,0:00:30.58,0
Exercise_2,V23,1,0:00:00.78,0:00:04.46,0
Exercise_2,V23,2,0:00:04.46,0:00:08.62,0
Exercise_2,V23,3,0:00:08.62,0:00:12.78,0
Exercise_2,V23,4,0:00:12.78,0:00:16.70,0
Exercise_2,V23,5,0:00:16.70,0:00:20.70,0
Exercise_2,V24,1,0:00:02.46,0:00:10.34,0
Exercise_2,V24,2,0:00:10.34,0:00:17.34,0
Exercise_2,V24,3,0:00:17.34,0:00:25.06,0
Exercise_2,V24,4,0:00:25.06,0:00:32.50,0
Exercise_2,V24,5,0:00:32.50,0:00:39.62,0
Exercise_2,V25,1,0:00:01.42,0:00:07.86,0
Exercise_2,V25,2,0:00:07.86,0:00:13.98,0
Exercise_2,V25,3,0:00:13.98,0:00:20.26,0
Exercise_2,V26,1,0:00:11.24,0:00:18.32,0
Exercise_2,V26,2,0:00:18.32,0:00:25.36,0
Exercise_2,V26,3,0:00:25.36,0:00:32.16,0
Exercise_2,V26,4,0:00:32.16,0:00:39.04,0
Exercise_2,V26,5,0:00:39.04,0:00:45.88,0
Exercise_2,V27,1,0:00:10.28,0:00:18.12,0
Exercise_2,V27,2,0:00:18.12,0:00:25.52,0
Exercise_2,V27,3,0:00:25.52,0:00:32.68,0
Exercise_2,V27,4,0:00:32.68,0:00:39.44,0
Exercise_2,V27,5,0:00:39.44,0:00:44.36,0
Exercise_2,V28,1,0:00:02.80,0:00:07.98,0
Exercise_2,V28,2,0:00:08.60,0:00:14.40,0
Exercise_2,V28,3,0:00:14.68,0:00:20.80,0
Exercise_2,V29,1,0:00:01.20,0:00:07.76,0
Exercise_2,V29,2,0:00:07.76,0:00:13.40,0
Exercise_2,V29,3,0:00:13.40,0:00:19.36,0
Exercise_2,V29,4,0:00:19.36,0:00:25.16,0
Exercise_2,V29,5,0:00:25.16,0:00:31.12,0
Exercise_2,V29,6,0:00:31.12,0:00:37.04,0
Exercise_2,V30,1,0:00:09.04,0:00:15.32,0
Exercise_2,V30,2,0:00:15.98,0:00:22.28,0
Exercise_2,V30,3,0:00:22.28,0:00:28.48,0
Exercise_2,V30,4,0:00:28.48,0:00:34.32,0
Exercise_2,V30,5,0:00:34.32,0:00:40.48,0
Exercise_2,V31,1,0:00:02.84,0:00:08.88,0
Exercise_2,V31,2,0:00:08.88,0:00:14.84,0
Exercise_2,V31,3,0:00:14.84,0:00:20.64,0
Exercise_2,V31,4,0:00:20.64,0:00:26.76,0
