[['2, k, 0', [-0.127501, -0.786203, 1.0]], ['2, k, 1', [-0.130265, -0.468789, 1.0]], ['2, k, 2', [-0.132469, -0.155707, 1.0]], ['2, k, 3', [-0.135813, -0.01861, 1.0]], ['2, k, 4', [-0.302739, -0.267502, 1.0]], ['2, k, 5', [-0.404131, -0.43499, 1.0]], ['2, k, 6', [-0.474304, -0.576644, 1.0]], ['2, k, 7', [-0.49313, -0.61616, 1.0]], ['2, k, 8', [0.0453189, -0.289346, 1.0]], ['2, k, 9', [0.149104, -0.437685, 1.0]], ['2, k, 10', [0.172344, -0.566362, 1.0]], ['2, k, 11', [0.173865, -0.605633, 1.0]], ['2, k, 12', [-0.205259, -0.772795, 1.0]], ['2, k, 13', [-0.311135, -1.06706, 1.0]], ['2, k, 14', [-0.267671, -1.14568, 1.0]], ['2, k, 15', [-0.294454, -1.22421, 1.0]], ['2, k, 16', [-0.0470025, -0.782687, 1.0]], ['2, k, 17', [-0.0131791, -1.02941, 1.0]], ['2, k, 18', [-0.035217, -1.15359, 1.0]], ['2, k, 19', [-0.0179375, -1.23349, 1.0]], ['2, k, 20', [-0.132018, -0.233461, 1.0]], ['2, k, 21', [-0.50342, -0.64341, 1.0]], ['2, k, 22', [-0.448137, -0.633776, 1.0]], ['2, k, 23', [0.186951, -0.629426, 1.0]], ['2, k, 24', [0.21102, -0.605546, 1.0]]]
[['2, k, 0', [-0.125292, -0.766046, 1.0]], ['2, k, 1', [-0.130031, -0.463822, 1.0]], ['2, k, 2', [-0.132534, -0.155683, 1.0]], ['2, k, 3', [-0.135832, -0.0184578, 1.0]], ['2, k, 4', [-0.302718, -0.267307, 1.0]], ['2, k, 5', [-0.404997, -0.44594, 1.0]], ['2, k, 6', [-0.475698, -0.600419, 1.0]], ['2, k, 7', [-0.488392, -0.644726, 1.0]], ['2, k, 8', [0.0453446, -0.289317, 1.0]], ['2, k, 9', [0.14842, -0.443335, 1.0]], ['2, k, 10', [0.174893, -0.590327, 1.0]], ['2, k, 11', [0.176946, -0.632576, 1.0]], ['2, k, 12', [-0.202987, -0.752069, 1.0]], ['2, k, 13', [-0.305033, -1.06378, 1.0]], ['2, k, 14', [-0.267561, -1.14554, 1.0]], ['2, k, 15', [-0.29418, -1.22437, 1.0]], ['2, k, 16', [-0.0449267, -0.76364, 1.0]], ['2, k, 17', [-0.0243379, -1.05228, 1.0]], ['2, k, 18', [-0.0352246, -1.15258, 1.0]], ['2, k, 19', [-0.0178028, -1.23294, 1.0]], ['2, k, 20', [-0.132095, -0.233111, 1.0]], ['2, k, 21', [-0.499905, -0.675403, 1.0]], ['2, k, 22', [-0.432441, -0.66473, 1.0]], ['2, k, 23', [0.191653, -0.660663, 1.0]], ['2, k, 24', [0.208686, -0.621708, 1.0]]]
[['2, k, 0', [-0.14507, -0.741695, 1.0]], ['2, k, 1', [-0.138305, -0.4506, 1.0]], ['2, k, 2', [-0.132958, -0.155529, 1.0]], ['2, k, 3', [-0.136626, -0.0182665, 1.0]], ['2, k, 4', [-0.30492, -0.267955, 1.0]], ['2, k, 5', [-0.401877, -0.45369, 1.0]], ['2, k, 6', [-0.472875, -0.617487, 1.0]], ['2, k, 7', [-0.488658, -0.670079, 1.0]], ['2, k, 8', [0.0447066, -0.288302, 1.0]], ['2, k, 9', [0.143824, -0.45193, 1.0]], ['2, k, 10', [0.177375, -0.596953, 1.0]], ['2, k, 11', [0.174234, -0.654467, 1.0]], ['2, k, 12', [-0.222698, -0.730878, 1.0]], ['2, k, 13', [-0.262017, -1.06302, 1.0]], ['2, k, 14', [-0.286751, -1.32124, 1.0]], ['2, k, 15', [-0.280495, -1.18542, 1.0]], ['2, k, 16', [-0.0643376, -0.736631, 1.0]], ['2, k, 17', [-0.0250819, -1.07082, 1.0]], ['2, k, 18', [-0.0181975, -1.33234, 1.0]], ['2, k, 19', [-0.0260835, -1.19035, 1.0]], ['2, k, 20', [-0.1336, -0.231483, 1.0]], ['2, k, 21', [-0.507849, -0.706695, 1.0]], ['2, k, 22', [-0.448965, -0.694178, 1.0]], ['2, k, 23', [0.15916, -0.68775, 1.0]], ['2, k, 24', [0.209653, -0.645823, 1.0]]]
[['2, k, 0', [-0.144852, -0.741425, 1.0]], ['2, k, 1', [-0.138187, -0.448808, 1.0]], ['2, k, 2', [-0.132959, -0.155049, 1.0]], ['2, k, 3', [-0.136571, -0.0181321, 1.0]], ['2, k, 4', [-0.306761, -0.269299, 1.0]], ['2, k, 5', [-0.399707, -0.461333, 1.0]], ['2, k, 6', [-0.473049, -0.635039, 1.0]], ['2, k, 7', [-0.487045, -0.691262, 1.0]], ['2, k, 8', [0.0446569, -0.288183, 1.0]], ['2, k, 9', [0.147642, -0.460174, 1.0]], ['2, k, 10', [0.172901, -0.616395, 1.0]], ['2, k, 11', [0.171068, -0.668863, 1.0]], ['2, k, 12', [-0.222383, -0.730582, 1.0]], ['2, k, 13', [-0.260879, -1.0636, 1.0]], ['2, k, 14', [-0.289071, -1.33558, 1.0]], ['2, k, 15', [-0.279573, -1.19198, 1.0]], ['2, k, 16', [-0.0641506, -0.736413, 1.0]], ['2, k, 17', [-0.0263707, -1.07166, 1.0]], ['2, k, 18', [-0.0179208, -1.34693, 1.0]], ['2, k, 19', [-0.0241988, -1.20097, 1.0]], ['2, k, 20', [-0.133792, -0.229683, 1.0]], ['2, k, 21', [-0.511549, -0.730152, 1.0]], ['2, k, 22', [-0.426493, -0.710485, 1.0]], ['2, k, 23', [0.162951, -0.701079, 1.0]], ['2, k, 24', [0.200783, -0.649778, 1.0]]]
[['2, k, 0', [-0.144556, -0.741264, 1.0]], ['2, k, 1', [-0.138285, -0.448048, 1.0]], ['2, k, 2', [-0.133654, -0.154906, 1.0]], ['2, k, 3', [-0.136408, -0.0179505, 1.0]], ['2, k, 4', [-0.307648, -0.269945, 1.0]], ['2, k, 5', [-0.399708, -0.465312, 1.0]], ['2, k, 6', [-0.472427, -0.642001, 1.0]], ['2, k, 7', [-0.487229, -0.701827, 1.0]], ['2, k, 8', [0.0441457, -0.287512, 1.0]], ['2, k, 9', [0.147785, -0.463861, 1.0]], ['2, k, 10', [0.175559, -0.618216, 1.0]], ['2, k, 11', [0.175794, -0.680548, 1.0]], ['2, k, 12', [-0.222162, -0.730507, 1.0]], ['2, k, 13', [-0.254758, -1.06499, 1.0]], ['2, k, 14', [-0.29137, -1.34514, 1.0]], ['2, k, 15', [-0.280504, -1.20116, 1.0]], ['2, k, 16', [-0.063748, -0.736192, 1.0]], ['2, k, 17', [-0.0270096, -1.07221, 1.0]], ['2, k, 18', [-0.0173756, -1.3558, 1.0]], ['2, k, 19', [-0.0237542, -1.21015, 1.0]], ['2, k, 20', [-0.134576, -0.228841, 1.0]], ['2, k, 21', [-0.502147, -0.74086, 1.0]], ['2, k, 22', [-0.446673, -0.724856, 1.0]], ['2, k, 23', [0.18833, -0.713316, 1.0]], ['2, k, 24', [0.213233, -0.678184, 1.0]]]
[['2, k, 0', [-0.14427, -0.741196, 1.0]], ['2, k, 1', [-0.138216, -0.447521, 1.0]], ['2, k, 2', [-0.133742, -0.154495, 1.0]], ['2, k, 3', [-0.13628, -0.0176495, 1.0]], ['2, k, 4', [-0.308028, -0.27042, 1.0]], ['2, k, 5', [-0.398667, -0.469565, 1.0]], ['2, k, 6', [-0.470243, -0.646362, 1.0]], ['2, k, 7', [-0.483719, -0.711502, 1.0]], ['2, k, 8', [0.0438893, -0.286583, 1.0]], ['2, k, 9', [0.1523, -0.468926, 1.0]], ['2, k, 10', [0.178921, -0.623102, 1.0]], ['2, k, 11', [0.178699, -0.688228, 1.0]], ['2, k, 12', [-0.221906, -0.730533, 1.0]], ['2, k, 13', [-0.258516, -1.06448, 1.0]], ['2, k, 14', [-0.29276, -1.35059, 1.0]], ['2, k, 15', [-0.280715, -1.20735, 1.0]], ['2, k, 16', [-0.0631955, -0.736006, 1.0]], ['2, k, 17', [-0.0273322, -1.07266, 1.0]], ['2, k, 18', [-0.0157197, -1.36151, 1.0]], ['2, k, 19', [-0.0235207, -1.21616, 1.0]], ['2, k, 20', [-0.134689, -0.22813, 1.0]], ['2, k, 21', [-0.497131, -0.750294, 1.0]], ['2, k, 22', [-0.438507, -0.735254, 1.0]], ['2, k, 23', [0.185465, -0.72778, 1.0]], ['2, k, 24', [0.208787, -0.675055, 1.0]]]
[['2, k, 0', [-0.143655, -0.74096, 1.0]], ['2, k, 1', [-0.137048, -0.446947, 1.0]], ['2, k, 2', [-0.131393, -0.154246, 1.0]], ['2, k, 3', [-0.135742, -0.0177159, 1.0]], ['2, k, 4', [-0.30843, -0.271266, 1.0]], ['2, k, 5', [-0.398681, -0.475821, 1.0]], ['2, k, 6', [-0.469987, -0.649967, 1.0]], ['2, k, 7', [-0.484714, -0.714465, 1.0]], ['2, k, 8', [0.0440844, -0.286196, 1.0]], ['2, k, 9', [0.152002, -0.472379, 1.0]], ['2, k, 10', [0.180137, -0.626254, 1.0]], ['2, k, 11', [0.177195, -0.69326, 1.0]], ['2, k, 12', [-0.221442, -0.730435, 1.0]], ['2, k, 13', [-0.258663, -1.06463, 1.0]], ['2, k, 14', [-0.29319, -1.35431, 1.0]], ['2, k, 15', [-0.281231, -1.2112, 1.0]], ['2, k, 16', [-0.0623403, -0.73558, 1.0]], ['2, k, 17', [-0.0281722, -1.07279, 1.0]], ['2, k, 18', [-0.0153591, -1.36555, 1.0]], ['2, k, 19', [-0.023562, -1.22034, 1.0]], ['2, k, 20', [-0.132683, -0.227566, 1.0]], ['2, k, 21', [-0.506023, -0.755082, 1.0]], ['2, k, 22', [-0.440384, -0.740972, 1.0]], ['2, k, 23', [0.181089, -0.729522, 1.0]], ['2, k, 24', [0.213222, -0.68139, 1.0]]]
[['2, k, 0', [-0.143478, -0.740947, 1.0]], ['2, k, 1', [-0.136852, -0.446988, 1.0]], ['2, k, 2', [-0.130915, -0.154793, 1.0]], ['2, k, 3', [-0.135156, -0.0177917, 1.0]], ['2, k, 4', [-0.308443, -0.272255, 1.0]], ['2, k, 5', [-0.398206, -0.477041, 1.0]], ['2, k, 6', [-0.470171, -0.650829, 1.0]], ['2, k, 7', [-0.48505, -0.714812, 1.0]], ['2, k, 8', [0.0447406, -0.284138, 1.0]], ['2, k, 9', [0.152622, -0.474565, 1.0]], ['2, k, 10', [0.180997, -0.62706, 1.0]], ['2, k, 11', [0.180055, -0.694587, 1.0]], ['2, k, 12', [-0.221306, -0.730594, 1.0]], ['2, k, 13', [-0.259093, -1.0648, 1.0]], ['2, k, 14', [-0.293847, -1.35677, 1.0]], ['2, k, 15', [-0.281515, -1.21415, 1.0]], ['2, k, 16', [-0.0620627, -0.735272, 1.0]], ['2, k, 17', [-0.0288176, -1.07283, 1.0]], ['2, k, 18', [-0.0139135, -1.36839, 1.0]], ['2, k, 19', [-0.0233332, -1.2233, 1.0]], ['2, k, 20', [-0.132315, -0.227871, 1.0]], ['2, k, 21', [-0.503303, -0.754396, 1.0]], ['2, k, 22', [-0.441797, -0.739158, 1.0]], ['2, k, 23', [0.186032, -0.729552, 1.0]], ['2, k, 24', [0.109511, -0.715014, 1.0]]]
[['2, k, 0', [-0.143398, -0.740841, 1.0]], ['2, k, 1', [-0.13673, -0.446858, 1.0]], ['2, k, 2', [-0.130463, -0.154695, 1.0]], ['2, k, 3', [-0.134681, -0.0176914, 1.0]], ['2, k, 4', [-0.308447, -0.272244, 1.0]], ['2, k, 5', [-0.397651, -0.477271, 1.0]], ['2, k, 6', [-0.470037, -0.650241, 1.0]], ['2, k, 7', [-0.482226, -0.712835, 1.0]], ['2, k, 8', [0.045029, -0.284162, 1.0]], ['2, k, 9', [0.153898, -0.474377, 1.0]], ['2, k, 10', [0.181168, -0.626895, 1.0]], ['2, k, 11', [0.177858, -0.690286, 1.0]], ['2, k, 12', [-0.221292, -0.730555, 1.0]], ['2, k, 13', [-0.259507, -1.06457, 1.0]], ['2, k, 14', [-0.290063, -1.35909, 1.0]], ['2, k, 15', [-0.280843, -1.2166, 1.0]], ['2, k, 16', [-0.0619751, -0.735231, 1.0]], ['2, k, 17', [-0.0291411, -1.07304, 1.0]], ['2, k, 18', [-0.013992, -1.37092, 1.0]], ['2, k, 19', [-0.0225615, -1.22581, 1.0]], ['2, k, 20', [-0.131997, -0.227719, 1.0]], ['2, k, 21', [-0.506723, -0.751518, 1.0]], ['2, k, 22', [-0.42348, -0.733996, 1.0]], ['2, k, 23', [0.182944, -0.722068, 1.0]], ['2, k, 24', [0.108849, -0.714387, 1.0]]]
[['2, k, 0', [-0.142704, -0.740901, 1.0]], ['2, k, 1', [-0.136603, -0.446671, 1.0]], ['2, k, 2', [-0.130475, -0.154407, 1.0]], ['2, k, 3', [-0.13421, -0.0173807, 1.0]], ['2, k, 4', [-0.308384, -0.272181, 1.0]], ['2, k, 5', [-0.397805, -0.475568, 1.0]], ['2, k, 6', [-0.47046, -0.646865, 1.0]], ['2, k, 7', [-0.48652, -0.701696, 1.0]], ['2, k, 8', [0.0454803, -0.283752, 1.0]], ['2, k, 9', [0.15605, -0.471445, 1.0]], ['2, k, 10', [0.182561, -0.624104, 1.0]], ['2, k, 11', [0.181052, -0.68125, 1.0]], ['2, k, 12', [-0.220865, -0.730659, 1.0]], ['2, k, 13', [-0.258818, -1.06483, 1.0]], ['2, k, 14', [-0.292304, -1.36074, 1.0]], ['2, k, 15', [-0.281431, -1.21817, 1.0]], ['2, k, 16', [-0.0611801, -0.735245, 1.0]], ['2, k, 17', [-0.0298141, -1.0734, 1.0]], ['2, k, 18', [-0.0143835, -1.37319, 1.0]], ['2, k, 19', [-0.0210937, -1.22798, 1.0]], ['2, k, 20', [-0.131977, -0.227415, 1.0]], ['2, k, 21', [-0.5124, -0.739878, 1.0]], ['2, k, 22', [-0.443197, -0.722902, 1.0]], ['2, k, 23', [0.183912, -0.715092, 1.0]], ['2, k, 24', [0.115227, -0.698929, 1.0]]]
[['2, k, 0', [-0.142435, -0.741062, 1.0]], ['2, k, 1', [-0.13646, -0.446598, 1.0]], ['2, k, 2', [-0.130253, -0.154221, 1.0]], ['2, k, 3', [-0.134234, -0.0173494, 1.0]], ['2, k, 4', [-0.308294, -0.272289, 1.0]], ['2, k, 5', [-0.396751, -0.468862, 1.0]], ['2, k, 6', [-0.467481, -0.62724, 1.0]], ['2, k, 7', [-0.48097, -0.679502, 1.0]], ['2, k, 8', [0.0456558, -0.28374, 1.0]], ['2, k, 9', [0.156622, -0.466023, 1.0]], ['2, k, 10', [0.185189, -0.606684, 1.0]], ['2, k, 11', [0.181763, -0.65731, 1.0]], ['2, k, 12', [-0.220697, -0.73072, 1.0]], ['2, k, 13', [-0.257189, -1.06516, 1.0]], ['2, k, 14', [-0.292689, -1.36259, 1.0]], ['2, k, 15', [-0.28116, -1.21995, 1.0]], ['2, k, 16', [-0.0609182, -0.735544, 1.0]], ['2, k, 17', [-0.0303343, -1.07386, 1.0]], ['2, k, 18', [-0.0142239, -1.37522, 1.0]], ['2, k, 19', [-0.0209945, -1.23008, 1.0]], ['2, k, 20', [-0.131791, -0.227223, 1.0]], ['2, k, 21', [-0.508447, -0.717209, 1.0]], ['2, k, 22', [-0.412553, -0.699528, 1.0]], ['2, k, 23', [0.169654, -0.693958, 1.0]], ['2, k, 24', [0.121664, -0.680214, 1.0]]]
