[['2, k, 0', [0.008727935, -0.2838817, 1.0]], ['2, k, 1', [0.005426928, 0.004742882, 1.0]], ['2, k, 2', [0.001255335, 0.2862461, 1.0]], ['2, k, 3', [-0.002901898, 0.412008, 1.0]], ['2, k, 4', [-0.1692698, 0.1926721, 1.0]], ['2, k, 5', [-0.2219714, -0.01960447, 1.0]], ['2, k, 6', [-0.1693738, -0.1151368, 1.0]], ['2, k, 7', [-0.1300637, -0.1476512, 1.0]], ['2, k, 8', [0.1726328, 0.2012624, 1.0]], ['2, k, 9', [0.2263448, -0.01125327, 1.0]], ['2, k, 10', [0.1863708, -0.1258647, 1.0]], ['2, k, 11', [0.146896, -0.1659453, 1.0]], ['2, k, 12', [-0.07872359, -0.2815683, 1.0]], ['2, k, 13', [-0.1179606, -0.2590267, 1.0]], ['2, k, 14', [-0.1087489, -0.6166271, 1.0]], ['2, k, 15', [-0.09053782, -0.6949875, 1.0]], ['2, k, 16', [0.09593834, -0.2792684, 1.0]], ['2, k, 17', [0.1678033, -0.262007, 1.0]], ['2, k, 18', [0.09542736, -0.6156834, 1.0]], ['2, k, 19', [0.1246832, -0.6997724, 1.0]], ['2, k, 20', [0.002422506, 0.2168124, 1.0]], ['2, k, 21', [-0.1118015, -0.1836135, 1.0]], ['2, k, 22', [-0.1501805, -0.169786, 1.0]], ['2, k, 23', [0.1396897, -0.2081147, 1.0]], ['2, k, 24', [0.1068203, -0.1540805, 1.0]]]
[['2, k, 0', [0.008729417, -0.2840106, 1.0]], ['2, k, 1', [0.005216138, 0.004623146, 1.0]], ['2, k, 2', [0.0008158882, 0.2861805, 1.0]], ['2, k, 3', [-0.003056822, 0.4119664, 1.0]], ['2, k, 4', [-0.1698336, 0.1912367, 1.0]], ['2, k, 5', [-0.2220318, -0.02116657, 1.0]], ['2, k, 6', [-0.1694697, -0.1151389, 1.0]], ['2, k, 7', [-0.1305213, -0.1469409, 1.0]], ['2, k, 8', [0.1723586, 0.201085, 1.0]], ['2, k, 9', [0.2252506, -0.01167139, 1.0]], ['2, k, 10', [0.1873056, -0.1238234, 1.0]], ['2, k, 11', [0.1478557, -0.1647872, 1.0]], ['2, k, 12', [-0.07874839, -0.2817736, 1.0]], ['2, k, 13', [-0.1178468, -0.2592678, 1.0]], ['2, k, 14', [-0.111372, -0.617383, 1.0]], ['2, k, 15', [-0.08950524, -0.6953992, 1.0]], ['2, k, 16', [0.09595977, -0.2793244, 1.0]], ['2, k, 17', [0.1679873, -0.2623349, 1.0]], ['2, k, 18', [0.09634981, -0.6166876, 1.0]], ['2, k, 19', [0.1233845, -0.7016724, 1.0]], ['2, k, 20', [0.002032691, 0.2167254, 1.0]], ['2, k, 21', [-0.1157451, -0.1840559, 1.0]], ['2, k, 22', [-0.1503693, -0.1649069, 1.0]], ['2, k, 23', [0.1405118, -0.2086859, 1.0]], ['2, k, 24', [0.1026508, -0.1578339, 1.0]]]
[['2, k, 0', [0.008289762, -0.2844355, 1.0]], ['2, k, 1', [0.004833777, 0.004300407, 1.0]], ['2, k, 2', [0.0006124863, 0.2860078, 1.0]], ['2, k, 3', [-0.003353073, 0.4119534, 1.0]], ['2, k, 4', [-0.1703816, 0.1904885, 1.0]], ['2, k, 5', [-0.2221164, -0.0220329, 1.0]], ['2, k, 6', [-0.1693491, -0.1149713, 1.0]], ['2, k, 7', [-0.1317016, -0.1465209, 1.0]], ['2, k, 8', [0.1722557, 0.2009662, 1.0]], ['2, k, 9', [0.2245653, -0.01193369, 1.0]], ['2, k, 10', [0.1874913, -0.1236159, 1.0]], ['2, k, 11', [0.1498488, -0.1621137, 1.0]], ['2, k, 12', [-0.07918189, -0.282187, 1.0]], ['2, k, 13', [-0.1179047, -0.258879, 1.0]], ['2, k, 14', [-0.1098835, -0.6169057, 1.0]], ['2, k, 15', [-0.07990112, -0.6867973, 1.0]], ['2, k, 16', [0.09554186, -0.2797098, 1.0]], ['2, k, 17', [0.1689105, -0.2624241, 1.0]], ['2, k, 18', [0.09970985, -0.617944, 1.0]], ['2, k, 19', [0.1245294, -0.7016599, 1.0]], ['2, k, 20', [0.001784138, 0.2165202, 1.0]], ['2, k, 21', [-0.1129037, -0.1843964, 1.0]], ['2, k, 22', [-0.1496676, -0.1653054, 1.0]], ['2, k, 23', [0.1380618, -0.207526, 1.0]], ['2, k, 24', [0.1081608, -0.1519719, 1.0]]]
[['2, k, 0', [0.008218495, -0.2846091, 1.0]], ['2, k, 1', [0.004725041, 0.004138443, 1.0]], ['2, k, 2', [0.0005500157, 0.2859157, 1.0]], ['2, k, 3', [-0.003592151, 0.4116828, 1.0]], ['2, k, 4', [-0.1706294, 0.190039, 1.0]], ['2, k, 5', [-0.2218767, -0.02263318, 1.0]], ['2, k, 6', [-0.1693469, -0.1153717, 1.0]], ['2, k, 7', [-0.1299797, -0.1455435, 1.0]], ['2, k, 8', [0.1721087, 0.2010103, 1.0]], ['2, k, 9', [0.2243758, -0.01190016, 1.0]], ['2, k, 10', [0.1874608, -0.1236344, 1.0]], ['2, k, 11', [0.1466004, -0.1603142, 1.0]], ['2, k, 12', [-0.07929468, -0.2824695, 1.0]], ['2, k, 13', [-0.1177362, -0.2590207, 1.0]], ['2, k, 14', [-0.1095166, -0.6167703, 1.0]], ['2, k, 15', [-0.08230814, -0.6876594, 1.0]], ['2, k, 16', [0.09550662, -0.2797865, 1.0]], ['2, k, 17', [0.1698036, -0.2630442, 1.0]], ['2, k, 18', [0.1275669, -0.6232884, 1.0]], ['2, k, 19', [0.1196346, -0.7087566, 1.0]], ['2, k, 20', [0.001703564, 0.2164087, 1.0]], ['2, k, 21', [-0.1118816, -0.183038, 1.0]], ['2, k, 22', [-0.1497983, -0.1741802, 1.0]], ['2, k, 23', [0.1391467, -0.2031267, 1.0]], ['2, k, 24', [0.1035529, -0.154461, 1.0]]]
[['2, k, 0', [0.00798674, -0.2847022, 1.0]], ['2, k, 1', [0.00455203, 0.004037851, 1.0]], ['2, k, 2', [0.0005042552, 0.2858768, 1.0]], ['2, k, 3', [-0.003657624, 0.4116691, 1.0]], ['2, k, 4', [-0.1712098, 0.1893423, 1.0]], ['2, k, 5', [-0.2214758, -0.02360639, 1.0]], ['2, k, 6', [-0.168915, -0.1153711, 1.0]], ['2, k, 7', [-0.1296762, -0.1462781, 1.0]], ['2, k, 8', [0.1718775, 0.2011583, 1.0]], ['2, k, 9', [0.2406932, -0.01805372, 1.0]], ['2, k, 10', [0.1806817, -0.1250444, 1.0]], ['2, k, 11', [0.1451662, -0.1629538, 1.0]], ['2, k, 12', [-0.07956041, -0.2826593, 1.0]], ['2, k, 13', [-0.1176701, -0.2591771, 1.0]], ['2, k, 14', [-0.1086824, -0.6165708, 1.0]], ['2, k, 15', [-0.08369137, -0.6886598, 1.0]], ['2, k, 16', [0.09531777, -0.2797702, 1.0]], ['2, k, 17', [0.1706372, -0.2631179, 1.0]], ['2, k, 18', [0.1242214, -0.6240433, 1.0]], ['2, k, 19', [0.1350098, -0.6914063, 1.0]], ['2, k, 20', [0.001629859, 0.2163545, 1.0]], ['2, k, 21', [-0.1135165, -0.1839728, 1.0]], ['2, k, 22', [-0.1523964, -0.1653655, 1.0]], ['2, k, 23', [0.1340435, -0.2107971, 1.0]], ['2, k, 24', [0.1023705, -0.1575282, 1.0]]]
[['2, k, 0', [0.00797739, -0.2847116, 1.0]], ['2, k, 1', [0.004300919, 0.003992598, 1.0]], ['2, k, 2', [-1.017816e-05, 0.2858155, 1.0]], ['2, k, 3', [-0.00386867, 0.4118432, 1.0]], ['2, k, 4', [-0.170522, 0.190308, 1.0]], ['2, k, 5', [-0.2212671, -0.02247281, 1.0]], ['2, k, 6', [-0.1690349, -0.1153049, 1.0]], ['2, k, 7', [-0.1280569, -0.1474709, 1.0]], ['2, k, 8', [0.1716583, 0.2011673, 1.0]], ['2, k, 9', [0.2359421, -0.01751063, 1.0]], ['2, k, 10', [0.182137, -0.124268, 1.0]], ['2, k, 11', [0.1478589, -0.1545359, 1.0]], ['2, k, 12', [-0.07956838, -0.2826472, 1.0]], ['2, k, 13', [-0.1173691, -0.2591679, 1.0]], ['2, k, 14', [-0.1074185, -0.6168035, 1.0]], ['2, k, 15', [-0.08329241, -0.6899124, 1.0]], ['2, k, 16', [0.09530836, -0.2797993, 1.0]], ['2, k, 17', [0.1721879, -0.2641705, 1.0]], ['2, k, 18', [0.1472031, -0.6296762, 1.0]], ['2, k, 19', [0.1371101, -0.6983508, 1.0]], ['2, k, 20', [0.001167633, 0.2162921, 1.0]], ['2, k, 21', [-0.1109519, -0.1852109, 1.0]], ['2, k, 22', [-0.1505372, -0.167588, 1.0]], ['2, k, 23', [0.1418985, -0.2021657, 1.0]], ['2, k, 24', [0.1052541, -0.1542826, 1.0]]]
[['2, k, 0', [0.007860932, -0.2847074, 1.0]], ['2, k, 1', [0.004261862, 0.004011874, 1.0]], ['2, k, 2', [5.059394e-06, 0.2858381, 1.0]], ['2, k, 3', [-0.004339383, 0.4120273, 1.0]], ['2, k, 4', [-0.1709064, 0.1899407, 1.0]], ['2, k, 5', [-0.221323, -0.02302274, 1.0]], ['2, k, 6', [-0.1684606, -0.1159746, 1.0]], ['2, k, 7', [-0.128216, -0.1490342, 1.0]], ['2, k, 8', [0.1713587, 0.2013652, 1.0]], ['2, k, 9', [0.2410984, -0.01995847, 1.0]], ['2, k, 10', [0.1788731, -0.1244438, 1.0]], ['2, k, 11', [0.1440868, -0.1594049, 1.0]], ['2, k, 12', [-0.07971489, -0.2826775, 1.0]], ['2, k, 13', [-0.117412, -0.2591576, 1.0]], ['2, k, 14', [-0.1076843, -0.6168069, 1.0]], ['2, k, 15', [-0.07794964, -0.6863318, 1.0]], ['2, k, 16', [0.0952258, -0.2797517, 1.0]], ['2, k, 17', [0.1737751, -0.2612225, 1.0]], ['2, k, 18', [0.1474451, -0.626128, 1.0]], ['2, k, 19', [0.1519909, -0.6916868, 1.0]], ['2, k, 20', [0.001171872, 0.2163095, 1.0]], ['2, k, 21', [-0.1095743, -0.1848595, 1.0]], ['2, k, 22', [-0.1563089, -0.1688356, 1.0]], ['2, k, 23', [0.135878, -0.2066312, 1.0]], ['2, k, 24', [0.09751733, -0.1688177, 1.0]]]
[['2, k, 0', [0.007799254, -0.2848389, 1.0]], ['2, k, 1', [0.004041011, 0.003843238, 1.0]], ['2, k, 2', [-0.0002810557, 0.285686, 1.0]], ['2, k, 3', [-0.004795022, 0.4121809, 1.0]], ['2, k, 4', [-0.1711083, 0.1898286, 1.0]], ['2, k, 5', [-0.2213534, -0.02316921, 1.0]], ['2, k, 6', [-0.1681749, -0.1158722, 1.0]], ['2, k, 7', [-0.1280772, -0.1485632, 1.0]], ['2, k, 8', [0.1710023, 0.2016981, 1.0]], ['2, k, 9', [0.231666, -0.01162895, 1.0]], ['2, k, 10', [0.1857566, -0.1185098, 1.0]], ['2, k, 11', [0.1480732, -0.1537545, 1.0]], ['2, k, 12', [-0.07977603, -0.2828102, 1.0]], ['2, k, 13', [-0.1172294, -0.2588861, 1.0]], ['2, k, 14', [-0.1075483, -0.6163942, 1.0]], ['2, k, 15', [-0.08097702, -0.6877913, 1.0]], ['2, k, 16', [0.09517083, -0.2798551, 1.0]], ['2, k, 17', [0.1774433, -0.2608909, 1.0]], ['2, k, 18', [0.1547856, -0.6265168, 1.0]], ['2, k, 19', [0.159885, -0.6887836, 1.0]], ['2, k, 20', [0.0008851906, 0.216147, 1.0]], ['2, k, 21', [-0.1119625, -0.1860932, 1.0]], ['2, k, 22', [-0.1577414, -0.171943, 1.0]], ['2, k, 23', [0.1444611, -0.198467, 1.0]], ['2, k, 24', [0.10482, -0.1572413, 1.0]]]
[['2, k, 0', [0.007582965, -0.2849302, 1.0]], ['2, k, 1', [0.003717232, 0.003873399, 1.0]], ['2, k, 2', [-0.0005979341, 0.2858515, 1.0]], ['2, k, 3', [-0.005528014, 0.4121957, 1.0]], ['2, k, 4', [-0.1714175, 0.1894072, 1.0]], ['2, k, 5', [-0.2213866, -0.02366522, 1.0]], ['2, k, 6', [-0.1677346, -0.1157655, 1.0]], ['2, k, 7', [-0.1281651, -0.1478465, 1.0]], ['2, k, 8', [0.1709552, 0.2016931, 1.0]], ['2, k, 9', [0.2298926, -0.01047107, 1.0]], ['2, k, 10', [0.1873347, -0.1167116, 1.0]], ['2, k, 11', [0.1484836, -0.1524617, 1.0]], ['2, k, 12', [-0.08000802, -0.2829145, 1.0]], ['2, k, 13', [-0.1173734, -0.2585971, 1.0]], ['2, k, 14', [-0.1079036, -0.6162836, 1.0]], ['2, k, 15', [-0.07971229, -0.6867714, 1.0]], ['2, k, 16', [0.09499341, -0.2799092, 1.0]], ['2, k, 17', [0.1811986, -0.2587492, 1.0]], ['2, k, 18', [0.1704597, -0.6260207, 1.0]], ['2, k, 19', [0.169645, -0.6846431, 1.0]], ['2, k, 20', [0.0005516945, 0.2162804, 1.0]], ['2, k, 21', [-0.1082055, -0.1851377, 1.0]], ['2, k, 22', [-0.1487073, -0.1688002, 1.0]], ['2, k, 23', [0.1387519, -0.2032345, 1.0]], ['2, k, 24', [0.1074415, -0.1495368, 1.0]]]
[['2, k, 0', [0.007375435, -0.2849081, 1.0]], ['2, k, 1', [0.00357995, 0.003873653, 1.0]], ['2, k, 2', [-0.0006182597, 0.2858481, 1.0]], ['2, k, 3', [-0.005739529, 0.4123548, 1.0]], ['2, k, 4', [-0.1704299, 0.190872, 1.0]], ['2, k, 5', [-0.2210245, -0.02197138, 1.0]], ['2, k, 6', [-0.1679598, -0.1167869, 1.0]], ['2, k, 7', [-0.1276127, -0.1471937, 1.0]], ['2, k, 8', [0.170949, 0.2017224, 1.0]], ['2, k, 9', [0.2293866, -0.009940424, 1.0]], ['2, k, 10', [0.1871436, -0.1155213, 1.0]], ['2, k, 11', [0.1500061, -0.1514006, 1.0]], ['2, k, 12', [-0.08022056, -0.2828348, 1.0]], ['2, k, 13', [-0.1173469, -0.2565666, 1.0]], ['2, k, 14', [-0.1073672, -0.6143185, 1.0]], ['2, k, 15', [-0.08135628, -0.686105, 1.0]], ['2, k, 16', [0.09479568, -0.279939, 1.0]], ['2, k, 17', [0.1853208, -0.2577878, 1.0]], ['2, k, 18', [0.1836059, -0.625107, 1.0]], ['2, k, 19', [0.1932616, -0.6834868, 1.0]], ['2, k, 20', [0.0004986615, 0.2162757, 1.0]], ['2, k, 21', [-0.1112948, -0.1829779, 1.0]], ['2, k, 22', [-0.1496687, -0.17346, 1.0]], ['2, k, 23', [0.1428373, -0.2010399, 1.0]], ['2, k, 24', [0.1027875, -0.1566696, 1.0]]]
[['2, k, 0', [0.0073127, -0.2851906, 1.0]], ['2, k, 1', [0.003389953, 0.003428668, 1.0]], ['2, k, 2', [-0.0008875972, 0.2853008, 1.0]], ['2, k, 3', [-0.005972064, 0.4123237, 1.0]], ['2, k, 4', [-0.171341, 0.1897605, 1.0]], ['2, k, 5', [-0.2218598, -0.02311972, 1.0]], ['2, k, 6', [-0.1462336, -0.1121413, 1.0]], ['2, k, 7', [-0.1105296, -0.1452338, 1.0]], ['2, k, 8', [0.1707015, 0.2016814, 1.0]], ['2, k, 9', [0.2286158, -0.009721993, 1.0]], ['2, k, 10', [0.1874675, -0.1143812, 1.0]], ['2, k, 11', [0.1482245, -0.1340879, 1.0]], ['2, k, 12', [-0.08027571, -0.2832106, 1.0]], ['2, k, 13', [-0.1169365, -0.2543768, 1.0]], ['2, k, 14', [-0.1073404, -0.6121054, 1.0]], ['2, k, 15', [-0.08779961, -0.6892861, 1.0]], ['2, k, 16', [0.09473068, -0.280123, 1.0]], ['2, k, 17', [0.191071, -0.2550753, 1.0]], ['2, k, 18', [0.1920723, -0.6238412, 1.0]], ['2, k, 19', [0.2010036, -0.6859801, 1.0]], ['2, k, 20', [0.0002365723, 0.2157444, 1.0]], ['2, k, 21', [-0.08511185, -0.185245, 1.0]], ['2, k, 22', [-0.155745, -0.1408664, 1.0]], ['2, k, 23', [0.1518345, -0.1730763, 1.0]], ['2, k, 24', [0.1058958, -0.1557681, 1.0]]]
