[['2, k, 0', [-0.249446, -0.480291, 1.0]], ['2, k, 1', [-0.234848, -0.157365, 1.0]], ['2, k, 2', [-0.219459, 0.159267, 1.0]], ['2, k, 3', [-0.195794, 0.311822, 1.0]], ['2, k, 4', [-0.397637, 0.0752874, 1.0]], ['2, k, 5', [-0.470752, -0.226233, 1.0]], ['2, k, 6', [-0.506908, -0.475848, 1.0]], ['2, k, 7', [-0.510644, -0.534009, 1.0]], ['2, k, 8', [-0.0575663, 0.0595867, 1.0]], ['2, k, 9', [-0.000694044, -0.223392, 1.0]], ['2, k, 10', [0.0265246, -0.473701, 1.0]], ['2, k, 11', [0.0199067, -0.533374, 1.0]], ['2, k, 12', [-0.323839, -0.47085, 1.0]], ['2, k, 13', [-0.348062, -0.924694, 1.0]], ['2, k, 14', [-0.393472, -1.30236, 1.0]], ['2, k, 15', [-0.390137, -1.36914, 1.0]], ['2, k, 16', [-0.168945, -0.477959, 1.0]], ['2, k, 17', [-0.177713, -0.997372, 1.0]], ['2, k, 18', [-0.184866, -1.33281, 1.0]], ['2, k, 19', [-0.158936, -1.35938, 1.0]], ['2, k, 20', [-0.22346, 0.0809682, 1.0]], ['2, k, 21', [-0.510414, -0.61452, 1.0]], ['2, k, 22', [-0.542344, -0.51798, 1.0]], ['2, k, 23', [0.00208242, -0.613629, 1.0]], ['2, k, 24', [0.051487, -0.550808, 1.0]]]
[['2, k, 0', [-0.249547, -0.480258, 1.0]], ['2, k, 1', [-0.235295, -0.157388, 1.0]], ['2, k, 2', [-0.22053, 0.159103, 1.0]], ['2, k, 3', [-0.195766, 0.312168, 1.0]], ['2, k, 4', [-0.397903, 0.0749277, 1.0]], ['2, k, 5', [-0.470794, -0.225904, 1.0]], ['2, k, 6', [-0.506641, -0.475295, 1.0]], ['2, k, 7', [-0.506057, -0.530441, 1.0]], ['2, k, 8', [-0.0574468, 0.0596175, 1.0]], ['2, k, 9', [-0.000630593, -0.22306, 1.0]], ['2, k, 10', [0.0262343, -0.473224, 1.0]], ['2, k, 11', [0.0174193, -0.538237, 1.0]], ['2, k, 12', [-0.323936, -0.470862, 1.0]], ['2, k, 13', [-0.344962, -0.932508, 1.0]], ['2, k, 14', [-0.389634, -1.30205, 1.0]], ['2, k, 15', [-0.405966, -1.36159, 1.0]], ['2, k, 16', [-0.169062, -0.47787, 1.0]], ['2, k, 17', [-0.177697, -0.997058, 1.0]], ['2, k, 18', [-0.184201, -1.32917, 1.0]], ['2, k, 19', [-0.156751, -1.35968, 1.0]], ['2, k, 20', [-0.22435, 0.0808476, 1.0]], ['2, k, 21', [-0.507284, -0.613959, 1.0]], ['2, k, 22', [-0.540246, -0.517584, 1.0]], ['2, k, 23', [0.000245043, -0.614891, 1.0]], ['2, k, 24', [0.052732, -0.551963, 1.0]]]
[['2, k, 0', [-0.249522, -0.480207, 1.0]], ['2, k, 1', [-0.235239, -0.157327, 1.0]], ['2, k, 2', [-0.220411, 0.159189, 1.0]], ['2, k, 3', [-0.195651, 0.31265, 1.0]], ['2, k, 4', [-0.39787, 0.0748875, 1.0]], ['2, k, 5', [-0.470721, -0.225645, 1.0]], ['2, k, 6', [-0.506313, -0.475081, 1.0]], ['2, k, 7', [-0.505444, -0.531662, 1.0]], ['2, k, 8', [-0.0569303, 0.0576166, 1.0]], ['2, k, 9', [-0.0005808, -0.225822, 1.0]], ['2, k, 10', [0.0264843, -0.475856, 1.0]], ['2, k, 11', [0.0171266, -0.536038, 1.0]], ['2, k, 12', [-0.323905, -0.470673, 1.0]], ['2, k, 13', [-0.345455, -0.933058, 1.0]], ['2, k, 14', [-0.389364, -1.30327, 1.0]], ['2, k, 15', [-0.394059, -1.36588, 1.0]], ['2, k, 16', [-0.169035, -0.477895, 1.0]], ['2, k, 17', [-0.175271, -0.922217, 1.0]], ['2, k, 18', [-0.186018, -1.3291, 1.0]], ['2, k, 19', [-0.159679, -1.35867, 1.0]], ['2, k, 20', [-0.224251, 0.0809257, 1.0]], ['2, k, 21', [-0.49946, -0.616522, 1.0]], ['2, k, 22', [-0.530999, -0.532321, 1.0]], ['2, k, 23', [0.00104968, -0.619335, 1.0]], ['2, k, 24', [0.0528632, -0.540257, 1.0]]]
[['2, k, 0', [-0.249415, -0.480424, 1.0]], ['2, k, 1', [-0.235132, -0.157484, 1.0]], ['2, k, 2', [-0.220255, 0.159053, 1.0]], ['2, k, 3', [-0.195597, 0.312536, 1.0]], ['2, k, 4', [-0.398471, 0.0740971, 1.0]], ['2, k, 5', [-0.470538, -0.226403, 1.0]], ['2, k, 6', [-0.504254, -0.478276, 1.0]], ['2, k, 7', [-0.502715, -0.534564, 1.0]], ['2, k, 8', [-0.0568655, 0.056787, 1.0]], ['2, k, 9', [-0.000789049, -0.228271, 1.0]], ['2, k, 10', [0.0263675, -0.478419, 1.0]], ['2, k, 11', [0.0143615, -0.53437, 1.0]], ['2, k, 12', [-0.323824, -0.470842, 1.0]], ['2, k, 13', [-0.342461, -0.939507, 1.0]], ['2, k, 14', [-0.389612, -1.30359, 1.0]], ['2, k, 15', [-0.405065, -1.36967, 1.0]], ['2, k, 16', [-0.168899, -0.47817, 1.0]], ['2, k, 17', [-0.176367, -0.932482, 1.0]], ['2, k, 18', [-0.185361, -1.33322, 1.0]], ['2, k, 19', [-0.158767, -1.36409, 1.0]], ['2, k, 20', [-0.224113, 0.0807864, 1.0]], ['2, k, 21', [-0.502049, -0.617261, 1.0]], ['2, k, 22', [-0.530813, -0.539061, 1.0]], ['2, k, 23', [-1.49457e-07, -0.621636, 1.0]], ['2, k, 24', [0.0514081, -0.548307, 1.0]]]
[['2, k, 0', [-0.24941, -0.480383, 1.0]], ['2, k, 1', [-0.235231, -0.157513, 1.0]], ['2, k, 2', [-0.220689, 0.158791, 1.0]], ['2, k, 3', [-0.195504, 0.312571, 1.0]], ['2, k, 4', [-0.39845, 0.07392, 1.0]], ['2, k, 5', [-0.470501, -0.226634, 1.0]], ['2, k, 6', [-0.503735, -0.479736, 1.0]], ['2, k, 7', [-0.502197, -0.533652, 1.0]], ['2, k, 8', [-0.056941, 0.0568187, 1.0]], ['2, k, 9', [-0.000651538, -0.22695, 1.0]], ['2, k, 10', [0.0262461, -0.477168, 1.0]], ['2, k, 11', [0.0176603, -0.537577, 1.0]], ['2, k, 12', [-0.323824, -0.470824, 1.0]], ['2, k, 13', [-0.348721, -0.968573, 1.0]], ['2, k, 14', [-0.3858, -1.30202, 1.0]], ['2, k, 15', [-0.39981, -1.35569, 1.0]], ['2, k, 16', [-0.168883, -0.478081, 1.0]], ['2, k, 17', [-0.175762, -0.937858, 1.0]], ['2, k, 18', [-0.178659, -1.32474, 1.0]], ['2, k, 19', [-0.158841, -1.36317, 1.0]], ['2, k, 20', [-0.224444, 0.080601, 1.0]], ['2, k, 21', [-0.499812, -0.608865, 1.0]], ['2, k, 22', [-0.530993, -0.529626, 1.0]], ['2, k, 23', [0.00288485, -0.612547, 1.0]], ['2, k, 24', [0.0522533, -0.54468, 1.0]]]
[['2, k, 0', [-0.24939, -0.480323, 1.0]], ['2, k, 1', [-0.235304, -0.157471, 1.0]], ['2, k, 2', [-0.220952, 0.158843, 1.0]], ['2, k, 3', [-0.195297, 0.312892, 1.0]], ['2, k, 4', [-0.398361, 0.0735766, 1.0]], ['2, k, 5', [-0.470521, -0.226626, 1.0]], ['2, k, 6', [-0.502683, -0.47665, 1.0]], ['2, k, 7', [-0.502468, -0.535664, 1.0]], ['2, k, 8', [-0.0569609, 0.0564755, 1.0]], ['2, k, 9', [-0.00073512, -0.226647, 1.0]], ['2, k, 10', [0.0261943, -0.476783, 1.0]], ['2, k, 11', [0.0176181, -0.53443, 1.0]], ['2, k, 12', [-0.323812, -0.470758, 1.0]], ['2, k, 13', [-0.344549, -0.964963, 1.0]], ['2, k, 14', [-0.385849, -1.30021, 1.0]], ['2, k, 15', [-0.39131, -1.36151, 1.0]], ['2, k, 16', [-0.168856, -0.478033, 1.0]], ['2, k, 17', [-0.176969, -1.00133, 1.0]], ['2, k, 18', [-0.18113, -1.32175, 1.0]], ['2, k, 19', [-0.157211, -1.3621, 1.0]], ['2, k, 20', [-0.224651, 0.0806507, 1.0]], ['2, k, 21', [-0.502132, -0.614414, 1.0]], ['2, k, 22', [-0.540464, -0.496251, 1.0]], ['2, k, 23', [0.00210679, -0.613426, 1.0]], ['2, k, 24', [0.0530499, -0.563742, 1.0]]]
[['2, k, 0', [-0.249451, -0.480691, 1.0]], ['2, k, 1', [-0.235513, -0.157625, 1.0]], ['2, k, 2', [-0.221337, 0.158871, 1.0]], ['2, k, 3', [-0.195224, 0.31288, 1.0]], ['2, k, 4', [-0.398328, 0.073507, 1.0]], ['2, k, 5', [-0.470303, -0.22758, 1.0]], ['2, k, 6', [-0.502958, -0.477453, 1.0]], ['2, k, 7', [-0.502932, -0.537577, 1.0]], ['2, k, 8', [-0.0569172, 0.0565553, 1.0]], ['2, k, 9', [-0.000783405, -0.2283, 1.0]], ['2, k, 10', [0.026292, -0.478483, 1.0]], ['2, k, 11', [0.0164901, -0.535205, 1.0]], ['2, k, 12', [-0.323897, -0.471189, 1.0]], ['2, k, 13', [-0.342608, -0.961015, 1.0]], ['2, k, 14', [-0.385743, -1.30146, 1.0]], ['2, k, 15', [-0.377013, -1.36502, 1.0]], ['2, k, 16', [-0.168898, -0.478367, 1.0]], ['2, k, 17', [-0.176585, -0.998926, 1.0]], ['2, k, 18', [-0.180198, -1.32055, 1.0]], ['2, k, 19', [-0.0939941, -1.37402, 1.0]], ['2, k, 20', [-0.224984, 0.0806247, 1.0]], ['2, k, 21', [-0.497989, -0.617589, 1.0]], ['2, k, 22', [-0.533445, -0.527185, 1.0]], ['2, k, 23', [0.000252441, -0.614555, 1.0]], ['2, k, 24', [0.049867, -0.550168, 1.0]]]
[['2, k, 0', [-0.249325, -0.480682, 1.0]], ['2, k, 1', [-0.235169, -0.157721, 1.0]], ['2, k, 2', [-0.220544, 0.158616, 1.0]], ['2, k, 3', [-0.195144, 0.312655, 1.0]], ['2, k, 4', [-0.398299, 0.0733694, 1.0]], ['2, k, 5', [-0.470267, -0.227483, 1.0]], ['2, k, 6', [-0.503528, -0.47714, 1.0]], ['2, k, 7', [-0.503757, -0.537796, 1.0]], ['2, k, 8', [-0.0566776, 0.0560676, 1.0]], ['2, k, 9', [-0.000733922, -0.228688, 1.0]], ['2, k, 10', [0.025371, -0.478877, 1.0]], ['2, k, 11', [0.0169613, -0.537086, 1.0]], ['2, k, 12', [-0.323757, -0.471127, 1.0]], ['2, k, 13', [-0.340666, -0.957083, 1.0]], ['2, k, 14', [-0.373508, -1.30471, 1.0]], ['2, k, 15', [-0.429199, -1.36328, 1.0]], ['2, k, 16', [-0.168784, -0.478395, 1.0]], ['2, k, 17', [-0.176927, -0.998105, 1.0]], ['2, k, 18', [-0.181583, -1.31447, 1.0]], ['2, k, 19', [-0.156207, -1.36081, 1.0]], ['2, k, 20', [-0.224331, 0.0804151, 1.0]], ['2, k, 21', [-0.502738, -0.615085, 1.0]], ['2, k, 22', [-0.529495, -0.548442, 1.0]], ['2, k, 23', [0.00357959, -0.619722, 1.0]], ['2, k, 24', [0.0510413, -0.53844, 1.0]]]
[['2, k, 0', [-0.24933, -0.480761, 1.0]], ['2, k, 1', [-0.235131, -0.15774, 1.0]], ['2, k, 2', [-0.220392, 0.158676, 1.0]], ['2, k, 3', [-0.195088, 0.312661, 1.0]], ['2, k, 4', [-0.398115, 0.0729895, 1.0]], ['2, k, 5', [-0.469961, -0.228022, 1.0]], ['2, k, 6', [-0.502477, -0.478306, 1.0]], ['2, k, 7', [-0.503011, -0.538178, 1.0]], ['2, k, 8', [-0.0565963, 0.0553895, 1.0]], ['2, k, 9', [-0.000968194, -0.227868, 1.0]], ['2, k, 10', [0.0247641, -0.478124, 1.0]], ['2, k, 11', [0.015776, -0.537296, 1.0]], ['2, k, 12', [-0.323775, -0.471189, 1.0]], ['2, k, 13', [-0.346969, -0.876726, 1.0]], ['2, k, 14', [-0.378816, -1.28991, 1.0]], ['2, k, 15', [-0.381104, -1.36133, 1.0]], ['2, k, 16', [-0.168778, -0.478508, 1.0]], ['2, k, 17', [-0.175231, -0.954901, 1.0]], ['2, k, 18', [-0.183577, -1.31621, 1.0]], ['2, k, 19', [-0.156917, -1.36106, 1.0]], ['2, k, 20', [-0.224221, 0.0804461, 1.0]], ['2, k, 21', [-0.501535, -0.61911, 1.0]], ['2, k, 22', [-0.533151, -0.561778, 1.0]], ['2, k, 23', [-0.00288982, -0.620677, 1.0]], ['2, k, 24', [0.0444518, -0.567056, 1.0]]]
[['2, k, 0', [-0.249391, -0.480728, 1.0]], ['2, k, 1', [-0.235088, -0.157746, 1.0]], ['2, k, 2', [-0.220016, 0.158608, 1.0]], ['2, k, 3', [-0.195055, 0.312606, 1.0]], ['2, k, 4', [-0.397835, 0.0729191, 1.0]], ['2, k, 5', [-0.469656, -0.227576, 1.0]], ['2, k, 6', [-0.502027, -0.477306, 1.0]], ['2, k, 7', [-0.5022, -0.537709, 1.0]], ['2, k, 8', [-0.0563107, 0.0550018, 1.0]], ['2, k, 9', [-0.000892508, -0.227905, 1.0]], ['2, k, 10', [0.025205, -0.478076, 1.0]], ['2, k, 11', [0.0180564, -0.53858, 1.0]], ['2, k, 12', [-0.323943, -0.470512, 1.0]], ['2, k, 13', [-0.339612, -0.949427, 1.0]], ['2, k, 14', [-0.380704, -1.30279, 1.0]], ['2, k, 15', [-0.381537, -1.36241, 1.0]], ['2, k, 16', [-0.168881, -0.478792, 1.0]], ['2, k, 17', [-0.173152, -0.930349, 1.0]], ['2, k, 18', [-0.176492, -1.31804, 1.0]], ['2, k, 19', [-0.156813, -1.36166, 1.0]], ['2, k, 20', [-0.223965, 0.0803992, 1.0]], ['2, k, 21', [-0.49882, -0.616009, 1.0]], ['2, k, 22', [-0.53041, -0.537593, 1.0]], ['2, k, 23', [-0.00288354, -0.619612, 1.0]], ['2, k, 24', [0.0471813, -0.558143, 1.0]]]
[['2, k, 0', [-0.25216, -0.500392, 1.0]], ['2, k, 1', [-0.236726, -0.16314, 1.0]], ['2, k, 2', [-0.22057, 0.158627, 1.0]], ['2, k, 3', [-0.19531, 0.312947, 1.0]], ['2, k, 4', [-0.397845, 0.0685704, 1.0]], ['2, k, 5', [-0.471065, -0.230791, 1.0]], ['2, k, 6', [-0.502981, -0.488798, 1.0]], ['2, k, 7', [-0.50519, -0.536944, 1.0]], ['2, k, 8', [-0.0551694, 0.0519391, 1.0]], ['2, k, 9', [0.00137286, -0.253093, 1.0]], ['2, k, 10', [0.028874, -0.510978, 1.0]], ['2, k, 11', [0.0169094, -0.537703, 1.0]], ['2, k, 12', [-0.326791, -0.490868, 1.0]], ['2, k, 13', [-0.343279, -0.947126, 1.0]], ['2, k, 14', [-0.386, -1.3012, 1.0]], ['2, k, 15', [-0.372123, -1.36564, 1.0]], ['2, k, 16', [-0.171284, -0.497458, 1.0]], ['2, k, 17', [-0.173712, -0.927651, 1.0]], ['2, k, 18', [-0.17315, -1.31168, 1.0]], ['2, k, 19', [-0.164028, -1.35722, 1.0]], ['2, k, 20', [-0.224697, 0.0798663, 1.0]], ['2, k, 21', [-0.497288, -0.616732, 1.0]], ['2, k, 22', [-0.534318, -0.532811, 1.0]], ['2, k, 23', [0.00620948, -0.605166, 1.0]], ['2, k, 24', [0.0534265, -0.530799, 1.0]]]
