[['2, k, 0', [0.3140246, -0.2068447, 1.0]], ['2, k, 1', [0.3390146, 0.07864564, 1.0]], ['2, k, 2', [0.3623293, 0.3573843, 1.0]], ['2, k, 3', [0.3597732, 0.4913721, 1.0]], ['2, k, 4', [0.1870254, 0.2531292, 1.0]], ['2, k, 5', [0.1175659, 0.02588075, 1.0]], ['2, k, 6', [0.07533254, -0.1551698, 1.0]], ['2, k, 7', [0.06765411, -0.1882032, 1.0]], ['2, k, 8', [0.5190228, 0.2380809, 1.0]], ['2, k, 9', [0.596023, -0.03525638, 1.0]], ['2, k, 10', [0.6500744, -0.2491069, 1.0]], ['2, k, 11', [0.6596168, -0.3122224, 1.0]], ['2, k, 12', [0.2239911, -0.1986488, 1.0]], ['2, k, 13', [0.1226005, -0.2571437, 1.0]], ['2, k, 14', [0.2022902, -0.5913966, 1.0]], ['2, k, 15', [0.1691194, -0.6526096, 1.0]], ['2, k, 16', [0.3964103, -0.2100982, 1.0]], ['2, k, 17', [0.413673, -0.2654128, 1.0]], ['2, k, 18', [0.3833761, -0.6009072, 1.0]], ['2, k, 19', [0.3591839, -0.6382484, 1.0]], ['2, k, 20', [0.3566269, 0.2885934, 1.0]], ['2, k, 21', [0.06538905, -0.212482, 1.0]], ['2, k, 22', [0.04716712, -0.2137903, 1.0]], ['2, k, 23', [0.6658015, -0.3865988, 1.0]], ['2, k, 24', [0.631049, -0.316671, 1.0]]]
[['2, k, 0', [0.3137964, -0.2067544, 1.0]], ['2, k, 1', [0.3390057, 0.07868251, 1.0]], ['2, k, 2', [0.362511, 0.3575168, 1.0]], ['2, k, 3', [0.3602209, 0.4915697, 1.0]], ['2, k, 4', [0.1874247, 0.2532405, 1.0]], ['2, k, 5', [0.1187576, 0.02440688, 1.0]], ['2, k, 6', [0.07790078, -0.1563634, 1.0]], ['2, k, 7', [0.06823169, -0.1858941, 1.0]], ['2, k, 8', [0.5193053, 0.2378909, 1.0]], ['2, k, 9', [0.5920428, -0.03525636, 1.0]], ['2, k, 10', [0.648082, -0.2399381, 1.0]], ['2, k, 11', [0.6595983, -0.3169734, 1.0]], ['2, k, 12', [0.2237589, -0.1984598, 1.0]], ['2, k, 13', [0.1228009, -0.2574317, 1.0]], ['2, k, 14', [0.2015739, -0.5918468, 1.0]], ['2, k, 15', [0.1657198, -0.6529325, 1.0]], ['2, k, 16', [0.396185, -0.2100908, 1.0]], ['2, k, 17', [0.4136263, -0.2651874, 1.0]], ['2, k, 18', [0.3833963, -0.600683, 1.0]], ['2, k, 19', [0.3591709, -0.6380235, 1.0]], ['2, k, 20', [0.3567506, 0.2887023, 1.0]], ['2, k, 21', [0.05666036, -0.2229408, 1.0]], ['2, k, 22', [0.0590216, -0.186983, 1.0]], ['2, k, 23', [0.6626514, -0.3891883, 1.0]], ['2, k, 24', [0.6223099, -0.2674151, 1.0]]]
[['2, k, 0', [0.313922, -0.206607, 1.0]], ['2, k, 1', [0.3390708, 0.0787015, 1.0]], ['2, k, 2', [0.3625599, 0.3574612, 1.0]], ['2, k, 3', [0.3609908, 0.4915309, 1.0]], ['2, k, 4', [0.1882274, 0.2533815, 1.0]], ['2, k, 5', [0.1193737, 0.02573952, 1.0]], ['2, k, 6', [0.07919315, -0.1564272, 1.0]], ['2, k, 7', [0.071572, -0.1806939, 1.0]], ['2, k, 8', [0.5198575, 0.2379914, 1.0]], ['2, k, 9', [0.5951413, -0.03405195, 1.0]], ['2, k, 10', [0.6488376, -0.279945, 1.0]], ['2, k, 11', [0.6558948, -0.3296671, 1.0]], ['2, k, 12', [0.2240402, -0.1982479, 1.0]], ['2, k, 13', [0.1229397, -0.2575123, 1.0]], ['2, k, 14', [0.2010375, -0.5920952, 1.0]], ['2, k, 15', [0.1619731, -0.653461, 1.0]], ['2, k, 16', [0.3962288, -0.2099617, 1.0]], ['2, k, 17', [0.4135563, -0.2653042, 1.0]], ['2, k, 18', [0.3833463, -0.6002223, 1.0]], ['2, k, 19', [0.358784, -0.6375672, 1.0]], ['2, k, 20', [0.3568103, 0.2886678, 1.0]], ['2, k, 21', [0.06636608, -0.2063447, 1.0]], ['2, k, 22', [0.05573701, -0.2101771, 1.0]], ['2, k, 23', [0.6546739, -0.3950839, 1.0]], ['2, k, 24', [0.636116, -0.3594505, 1.0]]]
[['2, k, 0', [0.3138947, -0.2065199, 1.0]], ['2, k, 1', [0.3390809, 0.07875466, 1.0]], ['2, k, 2', [0.3625792, 0.3574903, 1.0]], ['2, k, 3', [0.3614253, 0.491503, 1.0]], ['2, k, 4', [0.18889, 0.2537889, 1.0]], ['2, k, 5', [0.1198142, 0.02663284, 1.0]], ['2, k, 6', [0.08185194, -0.1556213, 1.0]], ['2, k, 7', [0.06895539, -0.1796043, 1.0]], ['2, k, 8', [0.5203105, 0.2380223, 1.0]], ['2, k, 9', [0.5953772, -0.03386616, 1.0]], ['2, k, 10', [0.6445288, -0.262456, 1.0]], ['2, k, 11', [0.6470607, -0.3309894, 1.0]], ['2, k, 12', [0.2239906, -0.1980891, 1.0]], ['2, k, 13', [0.1231498, -0.2575092, 1.0]], ['2, k, 14', [0.1990978, -0.5924273, 1.0]], ['2, k, 15', [0.158994, -0.6532533, 1.0]], ['2, k, 16', [0.3962168, -0.2099262, 1.0]], ['2, k, 17', [0.4135123, -0.2652425, 1.0]], ['2, k, 18', [0.3833464, -0.6002266, 1.0]], ['2, k, 19', [0.3588346, -0.6375711, 1.0]], ['2, k, 20', [0.3568349, 0.2887035, 1.0]], ['2, k, 21', [0.06043269, -0.2134642, 1.0]], ['2, k, 22', [0.05195687, -0.2008985, 1.0]], ['2, k, 23', [0.6369844, -0.3993974, 1.0]], ['2, k, 24', [0.625495, -0.3212312, 1.0]]]
[['2, k, 0', [0.3137569, -0.206335, 1.0]], ['2, k, 1', [0.3394405, 0.07896224, 1.0]], ['2, k, 2', [0.3643534, 0.3578314, 1.0]], ['2, k, 3', [0.3623886, 0.491988, 1.0]], ['2, k, 4', [0.1898025, 0.2541369, 1.0]], ['2, k, 5', [0.1195546, 0.02982051, 1.0]], ['2, k, 6', [0.09407973, -0.1219978, 1.0]], ['2, k, 7', [0.08578537, -0.1563415, 1.0]], ['2, k, 8', [0.5211403, 0.2377606, 1.0]], ['2, k, 9', [0.5944437, -0.0335044, 1.0]], ['2, k, 10', [0.6310331, -0.280653, 1.0]], ['2, k, 11', [0.6264338, -0.3372759, 1.0]], ['2, k, 12', [0.2237942, -0.1977498, 1.0]], ['2, k, 13', [0.1233537, -0.2575216, 1.0]], ['2, k, 14', [0.1990991, -0.592568, 1.0]], ['2, k, 15', [0.1578975, -0.6530386, 1.0]], ['2, k, 16', [0.3961224, -0.2098391, 1.0]], ['2, k, 17', [0.4136556, -0.2654688, 1.0]], ['2, k, 18', [0.3835703, -0.6004929, 1.0]], ['2, k, 19', [0.4223572, -0.6546282, 1.0]], ['2, k, 20', [0.3582121, 0.2890278, 1.0]], ['2, k, 21', [0.05722062, -0.2194336, 1.0]], ['2, k, 22', [0.04413103, -0.210678, 1.0]], ['2, k, 23', [0.6165594, -0.4061757, 1.0]], ['2, k, 24', [0.5840743, -0.319703, 1.0]]]
[['2, k, 0', [0.3135325, -0.2061963, 1.0]], ['2, k, 1', [0.3394291, 0.07900711, 1.0]], ['2, k, 2', [0.3644778, 0.357785, 1.0]], ['2, k, 3', [0.3636605, 0.4924436, 1.0]], ['2, k, 4', [0.1903275, 0.2545692, 1.0]], ['2, k, 5', [0.1195081, 0.03088774, 1.0]], ['2, k, 6', [0.09444541, -0.1111163, 1.0]], ['2, k, 7', [0.08873835, -0.1414082, 1.0]], ['2, k, 8', [0.5226697, 0.2366841, 1.0]], ['2, k, 9', [0.5891719, -0.03772596, 1.0]], ['2, k, 10', [0.6078309, -0.3141581, 1.0]], ['2, k, 11', [0.6174831, -0.3357042, 1.0]], ['2, k, 12', [0.2235684, -0.1974772, 1.0]], ['2, k, 13', [0.1234305, -0.2576672, 1.0]], ['2, k, 14', [0.1991045, -0.5930108, 1.0]], ['2, k, 15', [0.1694797, -0.6510323, 1.0]], ['2, k, 16', [0.3958736, -0.2097964, 1.0]], ['2, k, 17', [0.4138738, -0.2656366, 1.0]], ['2, k, 18', [0.3834513, -0.6007265, 1.0]], ['2, k, 19', [0.3591943, -0.6380686, 1.0]], ['2, k, 20', [0.3583098, 0.2890132, 1.0]], ['2, k, 21', [0.102355, -0.1602796, 1.0]], ['2, k, 22', [0.05949382, -0.196351, 1.0]], ['2, k, 23', [0.6134194, -0.4084086, 1.0]], ['2, k, 24', [0.588742, -0.3475001, 1.0]]]
[['2, k, 0', [0.3133949, -0.2060091, 1.0]], ['2, k, 1', [0.3395322, 0.07911801, 1.0]], ['2, k, 2', [0.3648754, 0.3578562, 1.0]], ['2, k, 3', [0.3645304, 0.4925846, 1.0]], ['2, k, 4', [0.1906005, 0.2548043, 1.0]], ['2, k, 5', [0.1208835, 0.03495828, 1.0]], ['2, k, 6', [0.1009296, -0.09685264, 1.0]], ['2, k, 7', [0.09458516, -0.1357137, 1.0]], ['2, k, 8', [0.5231332, 0.2364613, 1.0]], ['2, k, 9', [0.5889025, -0.02173623, 1.0]], ['2, k, 10', [0.6149318, -0.2973326, 1.0]], ['2, k, 11', [0.620102, -0.3402241, 1.0]], ['2, k, 12', [0.2233951, -0.1971345, 1.0]], ['2, k, 13', [0.123356, -0.2572768, 1.0]], ['2, k, 14', [0.1975968, -0.5933909, 1.0]], ['2, k, 15', [0.1699133, -0.6506311, 1.0]], ['2, k, 16', [0.3957155, -0.2096573, 1.0]], ['2, k, 17', [0.4140435, -0.2657853, 1.0]], ['2, k, 18', [0.383829, -0.6004049, 1.0]], ['2, k, 19', [0.359652, -0.637756, 1.0]], ['2, k, 20', [0.358645, 0.2891023, 1.0]], ['2, k, 21', [0.07132834, -0.1957406, 1.0]], ['2, k, 22', [0.05404585, -0.1633884, 1.0]], ['2, k, 23', [0.6065843, -0.4093599, 1.0]], ['2, k, 24', [0.5939803, -0.3522543, 1.0]]]
[['2, k, 0', [0.3132804, -0.2059493, 1.0]], ['2, k, 1', [0.3396474, 0.07903614, 1.0]], ['2, k, 2', [0.3655252, 0.3572892, 1.0]], ['2, k, 3', [0.3653041, 0.4927571, 1.0]], ['2, k, 4', [0.1912076, 0.2556803, 1.0]], ['2, k, 5', [0.1211201, 0.03792259, 1.0]], ['2, k, 6', [0.1089261, -0.09840285, 1.0]], ['2, k, 7', [0.1015232, -0.1377034, 1.0]], ['2, k, 8', [0.5233902, 0.2361795, 1.0]], ['2, k, 9', [0.5835077, -0.04136547, 1.0]], ['2, k, 10', [0.6119288, -0.2974261, 1.0]], ['2, k, 11', [0.6146036, -0.3423095, 1.0]], ['2, k, 12', [0.2233401, -0.1970308, 1.0]], ['2, k, 13', [0.1232506, -0.2571255, 1.0]], ['2, k, 14', [0.1975202, -0.5932552, 1.0]], ['2, k, 15', [0.1699723, -0.6508343, 1.0]], ['2, k, 16', [0.3955098, -0.2096611, 1.0]], ['2, k, 17', [0.4143394, -0.2667427, 1.0]], ['2, k, 18', [0.3840727, -0.6015533, 1.0]], ['2, k, 19', [0.3597723, -0.6388948, 1.0]], ['2, k, 20', [0.3591579, 0.2886872, 1.0]], ['2, k, 21', [0.09474189, -0.1830134, 1.0]], ['2, k, 22', [0.06185622, -0.1739847, 1.0]], ['2, k, 23', [0.605628, -0.4056447, 1.0]], ['2, k, 24', [0.5874102, -0.3381828, 1.0]]]
[['2, k, 0', [0.3133942, -0.2057456, 1.0]], ['2, k, 1', [0.3399495, 0.07924802, 1.0]], ['2, k, 2', [0.3660381, 0.357524, 1.0]], ['2, k, 3', [0.3664065, 0.4930863, 1.0]], ['2, k, 4', [0.1914956, 0.2559523, 1.0]], ['2, k, 5', [0.1211299, 0.04075692, 1.0]], ['2, k, 6', [0.1199855, -0.09959558, 1.0]], ['2, k, 7', [0.1158724, -0.1418928, 1.0]], ['2, k, 8', [0.5237871, 0.2361064, 1.0]], ['2, k, 9', [0.5813207, -0.04219823, 1.0]], ['2, k, 10', [0.6093507, -0.279819, 1.0]], ['2, k, 11', [0.6096567, -0.335152, 1.0]], ['2, k, 12', [0.2234597, -0.196822, 1.0]], ['2, k, 13', [0.1231763, -0.2571794, 1.0]], ['2, k, 14', [0.1969457, -0.5933002, 1.0]], ['2, k, 15', [0.1673976, -0.6516511, 1.0]], ['2, k, 16', [0.3956272, -0.209473, 1.0]], ['2, k, 17', [0.41393, -0.2664085, 1.0]], ['2, k, 18', [0.3837805, -0.6011354, 1.0]], ['2, k, 19', [0.3594972, -0.6384982, 1.0]], ['2, k, 20', [0.3596573, 0.2889194, 1.0]], ['2, k, 21', [0.09790647, -0.1953486, 1.0]], ['2, k, 22', [0.06845085, -0.1452461, 1.0]], ['2, k, 23', [0.5978938, -0.402551, 1.0]], ['2, k, 24', [0.580047, -0.3417014, 1.0]]]
[['2, k, 0', [0.3133678, -0.2056015, 1.0]], ['2, k, 1', [0.3401868, 0.07941972, 1.0]], ['2, k, 2', [0.3666423, 0.3576483, 1.0]], ['2, k, 3', [0.3675933, 0.4934135, 1.0]], ['2, k, 4', [0.1913968, 0.2563546, 1.0]], ['2, k, 5', [0.1207536, 0.04676347, 1.0]], ['2, k, 6', [0.1234143, -0.100192, 1.0]], ['2, k, 7', [0.1276782, -0.1402317, 1.0]], ['2, k, 8', [0.5241296, 0.2357416, 1.0]], ['2, k, 9', [0.5769318, -0.04377535, 1.0]], ['2, k, 10', [0.605135, -0.2680876, 1.0]], ['2, k, 11', [0.605188, -0.3196584, 1.0]], ['2, k, 12', [0.2234223, -0.1965518, 1.0]], ['2, k, 13', [0.1231073, -0.2571853, 1.0]], ['2, k, 14', [0.1965662, -0.5933664, 1.0]], ['2, k, 15', [0.1666223, -0.6524358, 1.0]], ['2, k, 16', [0.3956061, -0.2093807, 1.0]], ['2, k, 17', [0.4138424, -0.2665879, 1.0]], ['2, k, 18', [0.3836971, -0.6014093, 1.0]], ['2, k, 19', [0.3594028, -0.6387814, 1.0]], ['2, k, 20', [0.3601912, 0.2890615, 1.0]], ['2, k, 21', [0.1045255, -0.1958545, 1.0]], ['2, k, 22', [0.08758491, -0.1146794, 1.0]], ['2, k, 23', [0.5937904, -0.3917186, 1.0]], ['2, k, 24', [0.570783, -0.330967, 1.0]]]
[['2, k, 0', [0.3133273, -0.2053855, 1.0]], ['2, k, 1', [0.3403337, 0.07959605, 1.0]], ['2, k, 2', [0.3669507, 0.3577645, 1.0]], ['2, k, 3', [0.369288, 0.494176, 1.0]], ['2, k, 4', [0.1910537, 0.257032, 1.0]], ['2, k, 5', [0.1167669, 0.0534541, 1.0]], ['2, k, 6', [0.1363927, -0.07095922, 1.0]], ['2, k, 7', [0.1500565, -0.1227587, 1.0]], ['2, k, 8', [0.5242623, 0.2356137, 1.0]], ['2, k, 9', [0.5690243, -0.01487486, 1.0]], ['2, k, 10', [0.5942268, -0.2430816, 1.0]], ['2, k, 11', [0.6003447, -0.2984447, 1.0]], ['2, k, 12', [0.2233802, -0.1962808, 1.0]], ['2, k, 13', [0.123086, -0.2573066, 1.0]], ['2, k, 14', [0.1966566, -0.5934207, 1.0]], ['2, k, 15', [0.1650522, -0.6524193, 1.0]], ['2, k, 16', [0.3955711, -0.2092125, 1.0]], ['2, k, 17', [0.4138332, -0.2666574, 1.0]], ['2, k, 18', [0.3837151, -0.6011575, 1.0]], ['2, k, 19', [0.3593813, -0.6385437, 1.0]], ['2, k, 20', [0.3604789, 0.2891971, 1.0]], ['2, k, 21', [0.1339638, -0.177633, 1.0]], ['2, k, 22', [0.1037969, -0.1138651, 1.0]], ['2, k, 23', [0.5942321, -0.3643603, 1.0]], ['2, k, 24', [0.5632778, -0.3071372, 1.0]]]
