[['2, k, 0', [-24.62052, 89.47815, 1.0]], ['2, k, 1', [-23.84756071964873, 119.63217170334515, 1.0]], ['2, k, 2', [-23.194704337830238, 142.4444317453523, 1.0]], ['2, k, 3', [-22.989129056076386, 148.92949405902442, 1.0]], ['2, k, 4', [-7.019668146390746, 139.8564477020572, 1.0]], ['2, k, 5', [18.108130333609314, 139.837758323983, 1.0]], ['2, k, 6', [30.37527109025803, 156.87217906426667, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-41.84229982915605, 139.12316995033842, 1.0]], ['2, k, 9', [-64.9066453775361, 138.80127649671698, 1.0]], ['2, k, 10', [-76.80337867911538, 155.86828076717552, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-16.51738670076209, 89.49329795345761, 1.0]], ['2, k, 13', [1.6505274334494011, 55.53557459695425, 1.0]], ['2, k, 14', [22.84553281213649, 14.519689846356329, 1.0]], ['2, k, 15', [27.866550263806026, 6.306500511188213, 1.0]], ['2, k, 16', [-32.08506783642756, 89.35661918503952, 1.0]], ['2, k, 17', [-49.803445042646864, 55.60031240731069, 1.0]], ['2, k, 18', [-66.80930623546797, 15.656057407863678, 1.0]], ['2, k, 19', [-72.71422502954053, 7.904457075754491, 1.0]], ['2, k, 20', [-23.194704337830238, 142.4444317453523, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-24.62919333333333, 89.46674333333334, 1.0]], ['2, k, 1', [-23.86606607754343, 119.61666039782173, 1.0]], ['2, k, 2', [-23.232245841021474, 142.42059318115707, 1.0]], ['2, k, 3', [-23.035185030277002, 148.9016554417351, 1.0]], ['2, k, 4', [-7.024439140874353, 139.83451120468666, 1.0]], ['2, k, 5', [18.100955308486487, 139.67724254789547, 1.0]], ['2, k, 6', [30.485103438498363, 156.61227186510718, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-41.81576745531118, 139.10788931691945, 1.0]], ['2, k, 9', [-64.99410602537, 138.56665642561853, 1.0]], ['2, k, 10', [-77.18425563189518, 156.0285725020114, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-16.52629965831246, 89.47656928259069, 1.0]], ['2, k, 13', [1.6304307895985595, 55.54429430593448, 1.0]], ['2, k, 14', [22.83300166033014, 14.523405268736418, 1.0]], ['2, k, 15', [27.875189645562553, 6.281453322786639, 1.0]], ['2, k, 16', [-32.093130987959455, 89.35002116100418, 1.0]], ['2, k, 17', [-49.79091044848726, 55.60286987634471, 1.0]], ['2, k, 18', [-66.78595457266192, 15.636650509728085, 1.0]], ['2, k, 19', [-72.67281206515652, 7.8916106307589295, 1.0]], ['2, k, 20', [-23.232245841021474, 142.42059318115707, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-24.653553999999996, 89.445082, 1.0]], ['2, k, 1', [-23.89888516887667, 119.59265846326718, 1.0]], ['2, k, 2', [-23.281236247433334, 142.3901658947513, 1.0]], ['2, k, 3', [-23.091258984066975, 148.86799865152332, 1.0]], ['2, k, 4', [-7.040159459833825, 139.78995616793551, 1.0]], ['2, k, 5', [18.100953797531915, 139.50223089483933, 1.0]], ['2, k, 6', [30.65242343981255, 156.4404834902222, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-41.84002432890237, 139.0911404688787, 1.0]], ['2, k, 9', [-65.08181054425495, 138.28570301921258, 1.0]], ['2, k, 10', [-77.61617024653336, 155.8665033655513, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-16.54789280882683, 89.45038622127748, 1.0]], ['2, k, 13', [1.6463486567858752, 55.51811854506118, 1.0]], ['2, k, 14', [22.887272877776518, 14.539394650684699, 1.0]], ['2, k, 15', [27.834706151983458, 6.2787351586749995, 1.0]], ['2, k, 16', [-32.11953649519525, 89.3333315081069, 1.0]], ['2, k, 17', [-49.81598834701836, 55.60116856720969, 1.0]], ['2, k, 18', [-66.81176978765247, 15.62714211888867, 1.0]], ['2, k, 19', [-72.69672809896173, 7.89271811179277, 1.0]], ['2, k, 20', [-23.281236247433334, 142.3901658947513, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-24.683908, 89.424308, 1.0]], ['2, k, 1', [-23.96761803567439, 119.5618605819761, 1.0]], ['2, k, 2', [-23.39839873889072, 142.3436946542953, 1.0]], ['2, k, 3', [-23.225590758366838, 148.81472806489032, 1.0]], ['2, k, 4', [-7.099723273638318, 139.7253997973857, 1.0]], ['2, k, 5', [18.045353309134928, 139.33000219201122, 1.0]], ['2, k, 6', [30.76477519231664, 156.22175667084815, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-41.914473733544064, 139.1016656877067, 1.0]], ['2, k, 9', [-65.20718380701877, 138.2040925615745, 1.0]], ['2, k, 10', [-77.96511956264247, 155.7882931378908, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-16.576927434252553, 89.42799269764866, 1.0]], ['2, k, 13', [1.6702233532943254, 55.513143661524296, 1.0]], ['2, k, 14', [22.977828601168586, 14.596035159232386, 1.0]], ['2, k, 15', [27.94607765231423, 6.349826094125039, 1.0]], ['2, k, 16', [-32.15397149412193, 89.31176796307868, 1.0]], ['2, k, 17', [-49.857749665302066, 55.6040022419595, 1.0]], ['2, k, 18', [-66.85712721256647, 15.573291160802235, 1.0]], ['2, k, 19', [-72.70716285652716, 7.900242897540807, 1.0]], ['2, k, 20', [-23.39839873889072, 142.3436946542953, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-24.729314, 89.388294, 1.0]], ['2, k, 1', [-24.061313937662803, 119.5115730924399, 1.0]], ['2, k, 2', [-23.545530739735373, 142.27278387855537, 1.0]], ['2, k, 3', [-23.39013975165515, 148.73549447894234, 1.0]], ['2, k, 4', [-7.182552810347715, 139.614569389404, 1.0]], ['2, k, 5', [17.990584211186693, 139.1581728958094, 1.0]], ['2, k, 6', [30.837153189906807, 156.03483916286194, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-42.011649954426744, 139.0474349605721, 1.0]], ['2, k, 9', [-65.37364032301002, 138.23243404659488, 1.0]], ['2, k, 10', [-78.21611048940682, 155.82161448189726, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-16.617248102797245, 89.387036288843, 1.0]], ['2, k, 13', [1.774231919533932, 55.55383792132663, 1.0]], ['2, k, 14', [23.267690373694354, 14.771653734263651, 1.0]], ['2, k, 15', [28.286047447611512, 6.544950905117908, 1.0]], ['2, k, 16', [-32.20701604494721, 89.27030377783454, 1.0]], ['2, k, 17', [-49.99698005363578, 55.638403924954936, 1.0]], ['2, k, 18', [-66.99480095223929, 15.582322924633935, 1.0]], ['2, k, 19', [-72.82888814488867, 7.968935699354179, 1.0]], ['2, k, 20', [-23.545530739735373, 142.27278387855537, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-24.808192000000002, 89.32278799999999, 1.0]], ['2, k, 1', [-24.179555992031673, 119.42283489588988, 1.0]], ['2, k, 2', [-23.71094572042138, 142.15766448770006, 1.0]], ['2, k, 3', [-23.571413488588433, 148.61002441845736, 1.0]], ['2, k, 4', [-7.286601138110031, 139.44355832768835, 1.0]], ['2, k, 5', [17.909069366236153, 138.980664953773, 1.0]], ['2, k, 6', [30.833066733846135, 155.83722074060913, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-42.12770307243251, 138.9700723345657, 1.0]], ['2, k, 9', [-65.55749418787244, 138.29173232787704, 1.0]], ['2, k, 10', [-78.35067427645754, 155.65337879753898, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-16.6775654965727, 89.30855702725617, 1.0]], ['2, k, 13', [2.0761705149702117, 55.71256303459795, 1.0]], ['2, k, 14', [23.986380526693548, 15.175647237288743, 1.0]], ['2, k, 15', [29.104123144676382, 7.012661429692342, 1.0]], ['2, k, 16', [-32.29687495706775, 89.19288690698748, 1.0]], ['2, k, 17', [-50.23831908623539, 55.68481555155357, 1.0]], ['2, k, 18', [-67.21402589048826, 15.623610491945712, 1.0]], ['2, k, 19', [-73.04043388106554, 8.08322884541782, 1.0]], ['2, k, 20', [-23.71094572042138, 142.15766448770006, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-24.977418, 89.21404199999999, 1.0]], ['2, k, 1', [-24.381272599083534, 119.27256222721456, 1.0]], ['2, k, 2', [-23.960711032973496, 141.96148743657116, 1.0]], ['2, k, 3', [-23.83764881294663, 148.39520517607153, 1.0]], ['2, k, 4', [-7.479283284644474, 139.22090958278292, 1.0]], ['2, k, 5', [17.721971016817744, 138.65705788573942, 1.0]], ['2, k, 6', [30.71525709300048, 155.45105058578307, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-42.315707115683495, 138.84273197959936, 1.0]], ['2, k, 9', [-65.85348346906082, 138.34681720802948, 1.0]], ['2, k, 10', [-78.46890224183625, 155.39728244217085, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-16.814641128854, 89.17182477856129, 1.0]], ['2, k, 13', [2.533581801452595, 55.992276514288285, 1.0]], ['2, k, 14', [25.20624955943922, 15.876158400440787, 1.0]], ['2, k, 15', [30.514477127096026, 7.783495302654554, 1.0]], ['2, k, 16', [-32.46145529090746, 89.0638076961025, 1.0]], ['2, k, 17', [-50.687269749670236, 55.83836789956035, 1.0]], ['2, k, 18', [-67.66471566919277, 15.767868137659669, 1.0]], ['2, k, 19', [-73.49066922436293, 8.279143600550766, 1.0]], ['2, k, 20', [-23.960711032973496, 141.96148743657116, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-25.244462000000002, 89.053684, 1.0]], ['2, k, 1', [-24.674622139096062, 119.05137764571307, 1.0]], ['2, k, 2', [-24.282781618203472, 141.67551295579108, 1.0]], ['2, k, 3', [-24.16900043756795, 148.08479369105774, 1.0]], ['2, k, 4', [-7.74922914287095, 138.91718128603318, 1.0]], ['2, k, 5', [17.474499748907533, 138.23286540435723, 1.0]], ['2, k, 6', [30.465243829844333, 155.03362087495046, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-42.58072067528029, 138.58922615155223, 1.0]], ['2, k, 9', [-66.14145058770323, 138.48600002402338, 1.0]], ['2, k, 10', [-78.65766699879379, 155.4391348228081, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-17.046351762259796, 88.9748150266995, 1.0]], ['2, k, 13', [3.112194929181886, 56.41995499348376, 1.0]], ['2, k, 14', [26.92304862020512, 16.855710776305038, 1.0]], ['2, k, 15', [32.443984445793944, 8.88948457408387, 1.0]], ['2, k, 16', [-32.71690305206626, 88.87721600189914, 1.0]], ['2, k, 17', [-51.32600644935864, 56.09062106743308, 1.0]], ['2, k, 18', [-68.34458075752566, 16.024729236099382, 1.0]], ['2, k, 19', [-74.1686304794472, 8.545009337400302, 1.0]], ['2, k, 20', [-24.282781618203472, 141.67551295579108, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-25.697184, 88.79169399999999, 1.0]], ['2, k, 1', [-25.057423343585842, 118.67029236299356, 1.0]], ['2, k, 2', [-24.621364334242273, 141.1877217862926, 1.0]], ['2, k, 3', [-24.503189668316907, 147.55979239967783, 1.0]], ['2, k, 4', [-8.0196310167851, 138.58316120704163, 1.0]], ['2, k, 5', [17.26956481107176, 137.86744214718976, 1.0]], ['2, k, 6', [30.113241018497046, 154.77999777340742, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-42.842325291759266, 138.23699411078093, 1.0]], ['2, k, 9', [-66.42372250786421, 138.62857265142642, 1.0]], ['2, k, 10', [-78.86052635666653, 155.51361862452285, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-17.44942368298914, 88.62452978323088, 1.0]], ['2, k, 13', [4.124831945424983, 57.223906592162294, 1.0]], ['2, k, 14', [29.87721538046729, 18.70978772070766, 1.0]], ['2, k, 15', [35.74374349588312, 11.02030112484135, 1.0]], ['2, k, 16', [-33.155770401095666, 88.58890129871008, 1.0]], ['2, k, 17', [-52.59629143888004, 56.87101204355797, 1.0]], ['2, k, 18', [-69.97794227193944, 16.891690527525988, 1.0]], ['2, k, 19', [-75.93095697305793, 9.453734511076172, 1.0]], ['2, k, 20', [-24.621364334242273, 141.1877217862926, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-26.325385999999998, 88.43603799999998, 1.0]], ['2, k, 1', [-25.70927645810534, 118.16291729954075, 1.0]], ['2, k, 2', [-25.25944740933122, 140.52746711664648, 1.0]], ['2, k, 3', [-25.13425761502972, 146.84762219212777, 1.0]], ['2, k, 4', [-8.59071158065129, 138.62518068021373, 1.0]], ['2, k, 5', [16.6885095337111, 137.69140743633062, 1.0]], ['2, k, 6', [29.46780334461426, 154.77252594980285, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-43.45723958685748, 138.4582564752982, 1.0]], ['2, k, 9', [-67.11320722362956, 138.77910865648872, 1.0]], ['2, k, 10', [-79.38936309181906, 155.80031121890875, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-18.06847504245166, 88.20147300930961, 1.0]], ['2, k, 13', [4.775466775905244, 58.0226317892872, 1.0]], ['2, k, 14', [32.54237856166243, 20.620915654638985, 1.0]], ['2, k, 15', [38.741025635940176, 13.233639877847665, 1.0]], ['2, k, 16', [-33.77534960055371, 88.19338324844612, 1.0]], ['2, k, 17', [-55.331719057110696, 58.760228973754046, 1.0]], ['2, k, 18', [-72.62500104861962, 18.525360102990675, 1.0]], ['2, k, 19', [-78.82737303607996, 11.3198276287788, 1.0]], ['2, k, 20', [-25.25944740933122, 140.52746711664648, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-27.168128000000003, 87.969562, 1.0]], ['2, k, 1', [-26.517663805728162, 117.48398703446802, 1.0]], ['2, k, 2', [-26.049491494567363, 139.64414447151952, 1.0]], ['2, k, 3', [-25.917609369868302, 145.89798212309162, 1.0]], ['2, k, 4', [-9.338819804357415, 138.25548115619603, 1.0]], ['2, k, 5', [15.97205221171608, 137.19935110004872, 1.0]], ['2, k, 6', [28.71306579763155, 154.5292742157477, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-44.21564060526697, 138.15994517871448, 1.0]], ['2, k, 9', [-67.79035599760158, 138.91820097921985, 1.0]], ['2, k, 10', [-79.88050189191216, 156.13450564556953, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-18.89279525569896, 87.67516365013921, 1.0]], ['2, k, 13', [5.936959842791111, 59.47095698343537, 1.0]], ['2, k, 14', [35.647948545650735, 23.256092974633646, 1.0]], ['2, k, 15', [42.31539188322667, 16.253211913542074, 1.0]], ['2, k, 16', [-34.60554131666679, 87.71385628409708, 1.0]], ['2, k, 17', [-58.32946777451544, 61.130378001116256, 1.0]], ['2, k, 18', [-75.62934996443569, 20.616972333185586, 1.0]], ['2, k, 19', [-82.06498062465042, 13.731997897575127, 1.0]], ['2, k, 20', [-26.049491494567363, 139.64414447151952, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
