[['2, k, 0', [-0.0703597, -0.232299, 1.0]], ['2, k, 1', [-0.115717, 0.108233, 1.0]], ['2, k, 2', [-0.158864, 0.43763, 1.0]], ['2, k, 3', [-0.19156, 0.594673, 1.0]], ['2, k, 4', [-0.346506, 0.345504, 1.0]], ['2, k, 5', [-0.50282, 0.522198, 1.0]], ['2, k, 6', [-0.586252, 0.698731, 1.0]], ['2, k, 7', [-0.60483, 0.797326, 1.0]], ['2, k, 8', [0.0135492, 0.388185, 1.0]], ['2, k, 9', [0.0900178, 0.620675, 1.0]], ['2, k, 10', [0.0769255, 0.849702, 1.0]], ['2, k, 11', [0.0521541, 0.920773, 1.0]], ['2, k, 12', [-0.151503, -0.237947, 1.0]], ['2, k, 13', [-0.266676, -0.562137, 1.0]], ['2, k, 14', [-0.218491, -0.695899, 1.0]], ['2, k, 15', [-0.245857, -0.827756, 1.0]], ['2, k, 16', [0.0132385, -0.218703, 1.0]], ['2, k, 17', [0.0573072, -0.561929, 1.0]], ['2, k, 18', [0.0640147, -0.888398, 1.0]], ['2, k, 19', [0.0478939, -0.953893, 1.0]], ['2, k, 20', [-0.148414, 0.35689, 1.0]], ['2, k, 21', [-0.617457, 0.861332, 1.0]], ['2, k, 22', [-0.644347, 0.77164, 1.0]], ['2, k, 23', [0.0205191, 0.988118, 1.0]], ['2, k, 24', [0.0849192, 0.94543, 1.0]]]
[['2, k, 0', [-0.0958303, -0.230806, 1.0]], ['2, k, 1', [-0.125819, 0.10874, 1.0]], ['2, k, 2', [-0.161823, 0.437631, 1.0]], ['2, k, 3', [-0.196919, 0.593341, 1.0]], ['2, k, 4', [-0.34701, 0.34515, 1.0]], ['2, k, 5', [-0.509624, 0.520242, 1.0]], ['2, k, 6', [-0.61941, 0.703875, 1.0]], ['2, k, 7', [-0.636209, 0.79935, 1.0]], ['2, k, 8', [0.0125848, 0.387823, 1.0]], ['2, k, 9', [0.0824692, 0.621207, 1.0]], ['2, k, 10', [0.0585988, 0.852663, 1.0]], ['2, k, 11', [0.0226373, 0.918777, 1.0]], ['2, k, 12', [-0.176811, -0.236563, 1.0]], ['2, k, 13', [-0.223861, -0.553079, 1.0]], ['2, k, 14', [-0.218223, -0.69635, 1.0]], ['2, k, 15', [-0.230913, -0.763242, 1.0]], ['2, k, 16', [-0.0114979, -0.217087, 1.0]], ['2, k, 17', [0.0617835, -0.554175, 1.0]], ['2, k, 18', [0.0633921, -0.886712, 1.0]], ['2, k, 19', [0.0463661, -0.951077, 1.0]], ['2, k, 20', [-0.152249, 0.356958, 1.0]], ['2, k, 21', [-0.641913, 0.862332, 1.0]], ['2, k, 22', [-0.677274, 0.780677, 1.0]], ['2, k, 23', [-0.00886594, 0.984632, 1.0]], ['2, k, 24', [0.0496659, 0.953409, 1.0]]]
[['2, k, 0', [-0.0897778, -0.168236, 1.0]], ['2, k, 1', [-0.131645, 0.124699, 1.0]], ['2, k, 2', [-0.168581, 0.43416, 1.0]], ['2, k, 3', [-0.215013, 0.583963, 1.0]], ['2, k, 4', [-0.36554, 0.336754, 1.0]], ['2, k, 5', [-0.536293, 0.511632, 1.0]], ['2, k, 6', [-0.627767, 0.712532, 1.0]], ['2, k, 7', [-0.664293, 0.784259, 1.0]], ['2, k, 8', [-0.000534397, 0.386489, 1.0]], ['2, k, 9', [0.0629231, 0.630042, 1.0]], ['2, k, 10', [0.00358986, 0.875524, 1.0]], ['2, k, 11', [-0.0200577, 0.929591, 1.0]], ['2, k, 12', [-0.169162, -0.17705, 1.0]], ['2, k, 13', [-0.18998, -0.520264, 1.0]], ['2, k, 14', [-0.241333, -0.787518, 1.0]], ['2, k, 15', [-0.257892, -0.851092, 1.0]], ['2, k, 16', [-0.00730644, -0.153743, 1.0]], ['2, k, 17', [0.0482733, -0.597853, 1.0]], ['2, k, 18', [0.0591391, -0.900847, 1.0]], ['2, k, 19', [0.095327, -1.02478, 1.0]], ['2, k, 20', [-0.157512, 0.356824, 1.0]], ['2, k, 21', [-0.669354, 0.841352, 1.0]], ['2, k, 22', [-0.574764, 0.816579, 1.0]], ['2, k, 23', [-0.0603668, 0.982275, 1.0]], ['2, k, 24', [0.00548953, 0.964529, 1.0]]]
[['2, k, 0', [-0.0926713, -0.165612, 1.0]], ['2, k, 1', [-0.137839, 0.12984, 1.0]], ['2, k, 2', [-0.179597, 0.429437, 1.0]], ['2, k, 3', [-0.232518, 0.577287, 1.0]], ['2, k, 4', [-0.365598, 0.336555, 1.0]], ['2, k, 5', [-0.549556, 0.496189, 1.0]], ['2, k, 6', [-0.672218, 0.688911, 1.0]], ['2, k, 7', [-0.694056, 0.764597, 1.0]], ['2, k, 8', [-0.00105118, 0.385844, 1.0]], ['2, k, 9', [0.0421147, 0.630608, 1.0]], ['2, k, 10', [-0.0486119, 0.89763, 1.0]], ['2, k, 11', [-0.0455584, 0.924446, 1.0]], ['2, k, 12', [-0.172869, -0.173766, 1.0]], ['2, k, 13', [-0.189086, -0.514145, 1.0]], ['2, k, 14', [-0.238099, -0.771082, 1.0]], ['2, k, 15', [-0.254281, -0.833861, 1.0]], ['2, k, 16', [-0.00947062, -0.151862, 1.0]], ['2, k, 17', [0.0483806, -0.597619, 1.0]], ['2, k, 18', [0.0564145, -0.902188, 1.0]], ['2, k, 19', [0.0937899, -1.02341, 1.0]], ['2, k, 20', [-0.168054, 0.355539, 1.0]], ['2, k, 21', [-0.699817, 0.822862, 1.0]], ['2, k, 22', [-0.608582, 0.799312, 1.0]], ['2, k, 23', [-0.062689, 0.980933, 1.0]], ['2, k, 24', [-0.0146818, 0.932236, 1.0]]]
[['2, k, 0', [-0.0946348, -0.163247, 1.0]], ['2, k, 1', [-0.145138, 0.134263, 1.0]], ['2, k, 2', [-0.195631, 0.428551, 1.0]], ['2, k, 3', [-0.250476, 0.571409, 1.0]], ['2, k, 4', [-0.37404, 0.332454, 1.0]], ['2, k, 5', [-0.565145, 0.477716, 1.0]], ['2, k, 6', [-0.689104, 0.645247, 1.0]], ['2, k, 7', [-0.719912, 0.747105, 1.0]], ['2, k, 8', [-0.0336292, 0.370365, 1.0]], ['2, k, 9', [0.0083784, 0.645942, 1.0]], ['2, k, 10', [-0.0506603, 0.855514, 1.0]], ['2, k, 11', [-0.0841685, 0.917278, 1.0]], ['2, k, 12', [-0.174969, -0.170822, 1.0]], ['2, k, 13', [-0.188402, -0.509541, 1.0]], ['2, k, 14', [-0.235193, -0.760328, 1.0]], ['2, k, 15', [-0.255964, -0.823484, 1.0]], ['2, k, 16', [-0.0113208, -0.150081, 1.0]], ['2, k, 17', [0.0483909, -0.597367, 1.0]], ['2, k, 18', [0.0552848, -0.901706, 1.0]], ['2, k, 19', [0.0934643, -1.0229, 1.0]], ['2, k, 20', [-0.182673, 0.356552, 1.0]], ['2, k, 21', [-0.72645, 0.805491, 1.0]], ['2, k, 22', [-0.629937, 0.781223, 1.0]], ['2, k, 23', [-0.131867, 0.973142, 1.0]], ['2, k, 24', [-0.0575883, 0.938811, 1.0]]]
[['2, k, 0', [-0.0956999, -0.13996, 1.0]], ['2, k, 1', [-0.151724, 0.141451, 1.0]], ['2, k, 2', [-0.209749, 0.424632, 1.0]], ['2, k, 3', [-0.269617, 0.566472, 1.0]], ['2, k, 4', [-0.404823, 0.314502, 1.0]], ['2, k, 5', [-0.579236, 0.441196, 1.0]], ['2, k, 6', [-0.694715, 0.618714, 1.0]], ['2, k, 7', [-0.745623, 0.727639, 1.0]], ['2, k, 8', [-0.0425117, 0.369164, 1.0]], ['2, k, 9', [-0.00925063, 0.645648, 1.0]], ['2, k, 10', [-0.0722664, 0.848414, 1.0]], ['2, k, 11', [-0.130858, 0.924871, 1.0]], ['2, k, 12', [-0.174648, -0.150878, 1.0]], ['2, k, 13', [-0.188144, -0.503726, 1.0]], ['2, k, 14', [-0.232069, -0.7509, 1.0]], ['2, k, 15', [-0.2556, -0.814596, 1.0]], ['2, k, 16', [-0.0138125, -0.124285, 1.0]], ['2, k, 17', [0.047014, -0.584282, 1.0]], ['2, k, 18', [0.0551789, -0.90177, 1.0]], ['2, k, 19', [0.0938538, -1.02376, 1.0]], ['2, k, 20', [-0.194075, 0.355787, 1.0]], ['2, k, 21', [-0.760423, 0.782571, 1.0]], ['2, k, 22', [-0.662002, 0.765451, 1.0]], ['2, k, 23', [-0.185952, 0.97257, 1.0]], ['2, k, 24', [-0.103703, 0.954999, 1.0]]]
[['2, k, 0', [-0.0859093, -0.181553, 1.0]], ['2, k, 1', [-0.154281, 0.13292, 1.0]], ['2, k, 2', [-0.216315, 0.421981, 1.0]], ['2, k, 3', [-0.286519, 0.562012, 1.0]], ['2, k, 4', [-0.407111, 0.312775, 1.0]], ['2, k, 5', [-0.628672, 0.42654, 1.0]], ['2, k, 6', [-0.716787, 0.621599, 1.0]], ['2, k, 7', [-0.77146, 0.702408, 1.0]], ['2, k, 8', [-0.0457292, 0.368229, 1.0]], ['2, k, 9', [-0.0503352, 0.650812, 1.0]], ['2, k, 10', [-0.116509, 0.851783, 1.0]], ['2, k, 11', [-0.165556, 0.926247, 1.0]], ['2, k, 12', [-0.164643, -0.191077, 1.0]], ['2, k, 13', [-0.189693, -0.523829, 1.0]], ['2, k, 14', [-0.231823, -0.770823, 1.0]], ['2, k, 15', [-0.255241, -0.834194, 1.0]], ['2, k, 16', [-0.0043216, -0.166393, 1.0]], ['2, k, 17', [0.0480197, -0.568267, 1.0]], ['2, k, 18', [0.055208, -0.902795, 1.0]], ['2, k, 19', [0.093233, -1.0241, 1.0]], ['2, k, 20', [-0.200376, 0.351556, 1.0]], ['2, k, 21', [-0.778349, 0.762566, 1.0]], ['2, k, 22', [-0.708448, 0.734901, 1.0]], ['2, k, 23', [-0.206502, 0.973413, 1.0]], ['2, k, 24', [-0.141079, 0.952931, 1.0]]]
[['2, k, 0', [-0.0855666, -0.186088, 1.0]], ['2, k, 1', [-0.156001, 0.127013, 1.0]], ['2, k, 2', [-0.220294, 0.421147, 1.0]], ['2, k, 3', [-0.30543, 0.557498, 1.0]], ['2, k, 4', [-0.409663, 0.307972, 1.0]], ['2, k, 5', [-0.612571, 0.397659, 1.0]], ['2, k, 6', [-0.740461, 0.5615, 1.0]], ['2, k, 7', [-0.785134, 0.698053, 1.0]], ['2, k, 8', [-0.0507222, 0.367344, 1.0]], ['2, k, 9', [-0.064542, 0.646893, 1.0]], ['2, k, 10', [-0.137676, 0.842837, 1.0]], ['2, k, 11', [-0.195392, 0.91816, 1.0]], ['2, k, 12', [-0.164096, -0.197587, 1.0]], ['2, k, 13', [-0.189538, -0.525465, 1.0]], ['2, k, 14', [-0.231065, -0.772238, 1.0]], ['2, k, 15', [-0.255144, -0.83565, 1.0]], ['2, k, 16', [-0.00414039, -0.169255, 1.0]], ['2, k, 17', [0.048554, -0.567463, 1.0]], ['2, k, 18', [0.0551364, -0.903355, 1.0]], ['2, k, 19', [0.0930007, -1.02458, 1.0]], ['2, k, 20', [-0.203983, 0.349604, 1.0]], ['2, k, 21', [-0.79261, 0.743843, 1.0]], ['2, k, 22', [-0.685781, 0.732722, 1.0]], ['2, k, 23', [-0.23969, 0.974714, 1.0]], ['2, k, 24', [-0.163394, 0.933132, 1.0]]]
[['2, k, 0', [-0.0862882, -0.18974, 1.0]], ['2, k, 1', [-0.157757, 0.123378, 1.0]], ['2, k, 2', [-0.223497, 0.420389, 1.0]], ['2, k, 3', [-0.321352, 0.553117, 1.0]], ['2, k, 4', [-0.41075, 0.298705, 1.0]], ['2, k, 5', [-0.612359, 0.388308, 1.0]], ['2, k, 6', [-0.749088, 0.543829, 1.0]], ['2, k, 7', [-0.817563, 0.654036, 1.0]], ['2, k, 8', [-0.0522573, 0.367365, 1.0]], ['2, k, 9', [-0.0822504, 0.639469, 1.0]], ['2, k, 10', [-0.189264, 0.841011, 1.0]], ['2, k, 11', [-0.246158, 0.917659, 1.0]], ['2, k, 12', [-0.164829, -0.203333, 1.0]], ['2, k, 13', [-0.188436, -0.526945, 1.0]], ['2, k, 14', [-0.229147, -0.773358, 1.0]], ['2, k, 15', [-0.253547, -0.8369, 1.0]], ['2, k, 16', [-0.00473346, -0.170944, 1.0]], ['2, k, 17', [0.0487974, -0.567012, 1.0]], ['2, k, 18', [0.0540678, -0.902193, 1.0]], ['2, k, 19', [0.0922096, -1.02303, 1.0]], ['2, k, 20', [-0.207027, 0.348041, 1.0]], ['2, k, 21', [-0.837335, 0.708956, 1.0]], ['2, k, 22', [-0.738569, 0.697032, 1.0]], ['2, k, 23', [-0.30273, 0.966385, 1.0]], ['2, k, 24', [-0.217625, 0.946846, 1.0]]]
[['2, k, 0', [-0.0854612, -0.190368, 1.0]], ['2, k, 1', [-0.158265, 0.12201, 1.0]], ['2, k, 2', [-0.226817, 0.418934, 1.0]], ['2, k, 3', [-0.340794, 0.544951, 1.0]], ['2, k, 4', [-0.413124, 0.276333, 1.0]], ['2, k, 5', [-0.61295, 0.370471, 1.0]], ['2, k, 6', [-0.799021, 0.558033, 1.0]], ['2, k, 7', [-0.839055, 0.632499, 1.0]], ['2, k, 8', [-0.0547374, 0.367081, 1.0]], ['2, k, 9', [-0.101137, 0.63567, 1.0]], ['2, k, 10', [-0.257513, 0.877471, 1.0]], ['2, k, 11', [-0.296065, 0.917761, 1.0]], ['2, k, 12', [-0.160204, -0.201549, 1.0]], ['2, k, 13', [-0.18559, -0.523335, 1.0]], ['2, k, 14', [-0.22767, -0.77006, 1.0]], ['2, k, 15', [-0.25262, -0.833621, 1.0]], ['2, k, 16', [-0.00534822, -0.17302, 1.0]], ['2, k, 17', [0.0501789, -0.567006, 1.0]], ['2, k, 18', [0.0530006, -0.902085, 1.0]], ['2, k, 19', [0.0913228, -1.02135, 1.0]], ['2, k, 20', [-0.209587, 0.346462, 1.0]], ['2, k, 21', [-0.866936, 0.67846, 1.0]], ['2, k, 22', [-0.757051, 0.678462, 1.0]], ['2, k, 23', [-0.331483, 0.96365, 1.0]], ['2, k, 24', [-0.255746, 0.941464, 1.0]]]
[['2, k, 0', [-0.0838505, -0.216983, 1.0]], ['2, k, 1', [-0.167441, 0.108068, 1.0]], ['2, k, 2', [-0.250905, 0.414026, 1.0]], ['2, k, 3', [-0.361704, 0.533955, 1.0]], ['2, k, 4', [-0.425242, 0.235886, 1.0]], ['2, k, 5', [-0.62059, 0.335604, 1.0]], ['2, k, 6', [-0.815196, 0.534227, 1.0]], ['2, k, 7', [-0.85869, 0.605584, 1.0]], ['2, k, 8', [-0.0857863, 0.37074, 1.0]], ['2, k, 9', [-0.124047, 0.632424, 1.0]], ['2, k, 10', [-0.26474, 0.87097, 1.0]], ['2, k, 11', [-0.321164, 0.908789, 1.0]], ['2, k, 12', [-0.158379, -0.237665, 1.0]], ['2, k, 13', [-0.185521, -0.541384, 1.0]], ['2, k, 14', [-0.228761, -0.786663, 1.0]], ['2, k, 15', [-0.256953, -0.850615, 1.0]], ['2, k, 16', [-0.00571579, -0.203415, 1.0]], ['2, k, 17', [0.07329, -0.619696, 1.0]], ['2, k, 18', [0.0533518, -0.902555, 1.0]], ['2, k, 19', [0.0915244, -1.02165, 1.0]], ['2, k, 20', [-0.229186, 0.338978, 1.0]], ['2, k, 21', [-0.886388, 0.653651, 1.0]], ['2, k, 22', [-0.767812, 0.660932, 1.0]], ['2, k, 23', [-0.377246, 0.947421, 1.0]], ['2, k, 24', [-0.291655, 0.939065, 1.0]]]
