[['2, k, 0', [-0.06224107, 0.03058346, 1.0]], ['2, k, 1', [-0.07360443, 0.323933, 1.0]], ['2, k, 2', [-0.08354165, 0.6079013, 1.0]], ['2, k, 3', [-0.0550818, 0.7318259, 1.0]], ['2, k, 4', [-0.2379662, 0.4880771, 1.0]], ['2, k, 5', [-0.2514471, 0.2555884, 1.0]], ['2, k, 6', [-0.2309065, 0.03510206, 1.0]], ['2, k, 7', [-0.2431532, -0.02437934, 1.0]], ['2, k, 8', [0.08056878, 0.4802485, 1.0]], ['2, k, 9', [0.1085299, 0.2441802, 1.0]], ['2, k, 10', [0.1092767, 0.009028348, 1.0]], ['2, k, 11', [0.09273475, -0.05705172, 1.0]], ['2, k, 12', [-0.1281131, 0.02874167, 1.0]], ['2, k, 13', [-0.1515748, -0.2938246, 1.0]], ['2, k, 14', [-0.1504884, -0.6315817, 1.0]], ['2, k, 15', [-0.1356523, -0.7066007, 1.0]], ['2, k, 16', [0.005427762, 0.03146925, 1.0]], ['2, k, 17', [-0.03132643, -0.2921453, 1.0]], ['2, k, 18', [-0.03783481, -0.5972515, 1.0]], ['2, k, 19', [-0.04309088, -0.6931578, 1.0]], ['2, k, 20', [-0.08112361, 0.5381966, 1.0]], ['2, k, 21', [-0.2450515, -0.08410754, 1.0]], ['2, k, 22', [-0.2090447, -0.05097267, 1.0]], ['2, k, 23', [0.07718684, -0.1315394, 1.0]], ['2, k, 24', [0.1312793, -0.08209053, 1.0]]]
[['2, k, 0', [-0.06182619, 0.03059352, 1.0]], ['2, k, 1', [-0.07353907, 0.3238831, 1.0]], ['2, k, 2', [-0.08417149, 0.6078691, 1.0]], ['2, k, 3', [-0.05690976, 0.7319289, 1.0]], ['2, k, 4', [-0.2377544, 0.4877627, 1.0]], ['2, k, 5', [-0.2490017, 0.2630658, 1.0]], ['2, k, 6', [-0.2399269, 0.07508504, 1.0]], ['2, k, 7', [-0.2425791, 0.002168561, 1.0]], ['2, k, 8', [0.08022963, 0.4806604, 1.0]], ['2, k, 9', [0.1085577, 0.2445312, 1.0]], ['2, k, 10', [0.1090393, 0.009432388, 1.0]], ['2, k, 11', [0.09319913, -0.05614107, 1.0]], ['2, k, 12', [-0.1275198, 0.02873397, 1.0]], ['2, k, 13', [-0.1515417, -0.2936004, 1.0]], ['2, k, 14', [-0.1508689, -0.6300246, 1.0]], ['2, k, 15', [-0.1346459, -0.705245, 1.0]], ['2, k, 16', [0.005693893, 0.03151553, 1.0]], ['2, k, 17', [-0.03002847, -0.2921434, 1.0]], ['2, k, 18', [-0.03798043, -0.5964478, 1.0]], ['2, k, 19', [-0.04299613, -0.6931671, 1.0]], ['2, k, 20', [-0.08155444, 0.5381507, 1.0]], ['2, k, 21', [-0.2405469, -0.06429704, 1.0]], ['2, k, 22', [-0.2055872, -0.005490618, 1.0]], ['2, k, 23', [0.08019178, -0.1300032, 1.0]], ['2, k, 24', [0.1287891, -0.08615872, 1.0]]]
[['2, k, 0', [-0.06179694, 0.03066359, 1.0]], ['2, k, 1', [-0.07345191, 0.3237369, 1.0]], ['2, k, 2', [-0.08409866, 0.6073998, 1.0]], ['2, k, 3', [-0.05773701, 0.7316333, 1.0]], ['2, k, 4', [-0.2377219, 0.4877698, 1.0]], ['2, k, 5', [-0.2503485, 0.3045783, 1.0]], ['2, k, 6', [-0.2356329, 0.1116906, 1.0]], ['2, k, 7', [-0.2399055, 0.04179358, 1.0]], ['2, k, 8', [0.0800133, 0.4809507, 1.0]], ['2, k, 9', [0.1089004, 0.2447468, 1.0]], ['2, k, 10', [0.1092292, 0.009701048, 1.0]], ['2, k, 11', [0.09289367, -0.05461188, 1.0]], ['2, k, 12', [-0.1274672, 0.02879008, 1.0]], ['2, k, 13', [-0.1508319, -0.2934187, 1.0]], ['2, k, 14', [-0.1512863, -0.6287426, 1.0]], ['2, k, 15', [-0.1358319, -0.7049285, 1.0]], ['2, k, 16', [0.005651308, 0.03161267, 1.0]], ['2, k, 17', [-0.03190287, -0.2917271, 1.0]], ['2, k, 18', [-0.0378973, -0.5964355, 1.0]], ['2, k, 19', [-0.04275554, -0.6933813, 1.0]], ['2, k, 20', [-0.08148433, 0.5377612, 1.0]], ['2, k, 21', [-0.2410379, -0.02213904, 1.0]], ['2, k, 22', [-0.2046004, 0.02959153, 1.0]], ['2, k, 23', [0.07874417, -0.1263404, 1.0]], ['2, k, 24', [0.1295223, -0.07814294, 1.0]]]
[['2, k, 0', [-0.06158877, 0.03081441, 1.0]], ['2, k, 1', [-0.07342636, 0.323776, 1.0]], ['2, k, 2', [-0.08470672, 0.6072403, 1.0]], ['2, k, 3', [-0.05911296, 0.7314465, 1.0]], ['2, k, 4', [-0.2374804, 0.4878092, 1.0]], ['2, k, 5', [-0.2526293, 0.3169827, 1.0]], ['2, k, 6', [-0.2383224, 0.1582448, 1.0]], ['2, k, 7', [-0.2366263, 0.08782446, 1.0]], ['2, k, 8', [0.07980562, 0.481056, 1.0]], ['2, k, 9', [0.1097575, 0.2450144, 1.0]], ['2, k, 10', [0.1099951, 0.01014329, 1.0]], ['2, k, 11', [0.0930084, -0.05247435, 1.0]], ['2, k, 12', [-0.1271771, 0.02904745, 1.0]], ['2, k, 13', [-0.1497312, -0.2932724, 1.0]], ['2, k, 14', [-0.1504273, -0.6307715, 1.0]], ['2, k, 15', [-0.1357365, -0.7063046, 1.0]], ['2, k, 16', [0.005809615, 0.03170118, 1.0]], ['2, k, 17', [-0.03159926, -0.2917441, 1.0]], ['2, k, 18', [-0.03782819, -0.5966465, 1.0]], ['2, k, 19', [-0.04183089, -0.6937222, 1.0]], ['2, k, 20', [-0.08190519, 0.5376565, 1.0]], ['2, k, 21', [-0.2499903, 0.03099918, 1.0]], ['2, k, 22', [-0.200078, 0.05377223, 1.0]], ['2, k, 23', [0.08081225, -0.1258174, 1.0]], ['2, k, 24', [0.1288894, -0.06571103, 1.0]]]
[['2, k, 0', [-0.06208067, 0.03112654, 1.0]], ['2, k, 1', [-0.07412235, 0.3239381, 1.0]], ['2, k, 2', [-0.08552683, 0.6072261, 1.0]], ['2, k, 3', [-0.06032884, 0.7314316, 1.0]], ['2, k, 4', [-0.2367529, 0.4885809, 1.0]], ['2, k, 5', [-0.2580688, 0.3648132, 1.0]], ['2, k, 6', [-0.2384533, 0.2417831, 1.0]], ['2, k, 7', [-0.229682, 0.1207904, 1.0]], ['2, k, 8', [0.07958867, 0.4813736, 1.0]], ['2, k, 9', [0.1097714, 0.2452029, 1.0]], ['2, k, 10', [0.1098709, 0.01039958, 1.0]], ['2, k, 11', [0.09223188, -0.05306436, 1.0]], ['2, k, 12', [-0.1275272, 0.0294642, 1.0]], ['2, k, 13', [-0.1497586, -0.2928014, 1.0]], ['2, k, 14', [-0.1490568, -0.632153, 1.0]], ['2, k, 15', [-0.135537, -0.7073437, 1.0]], ['2, k, 16', [0.005015895, 0.03192278, 1.0]], ['2, k, 17', [-0.03200403, -0.2918587, 1.0]], ['2, k, 18', [-0.03817627, -0.6016534, 1.0]], ['2, k, 19', [-0.04183486, -0.6938682, 1.0]], ['2, k, 20', [-0.08272535, 0.5376861, 1.0]], ['2, k, 21', [-0.2162878, 0.05243612, 1.0]], ['2, k, 22', [-0.1970655, 0.09146712, 1.0]], ['2, k, 23', [0.08432707, -0.1215196, 1.0]], ['2, k, 24', [0.1277533, -0.06008503, 1.0]]]
[['2, k, 0', [-0.0625238, 0.03151954, 1.0]], ['2, k, 1', [-0.07450184, 0.3241998, 1.0]], ['2, k, 2', [-0.08566997, 0.6073292, 1.0]], ['2, k, 3', [-0.06149924, 0.7312934, 1.0]], ['2, k, 4', [-0.2353358, 0.4896628, 1.0]], ['2, k, 5', [-0.2655746, 0.3905166, 1.0]], ['2, k, 6', [-0.2319319, 0.2657348, 1.0]], ['2, k, 7', [-0.2241071, 0.1846833, 1.0]], ['2, k, 8', [0.07931697, 0.4819435, 1.0]], ['2, k, 9', [0.1097927, 0.2455719, 1.0]], ['2, k, 10', [0.1102382, 0.01096468, 1.0]], ['2, k, 11', [0.09244873, -0.05157623, 1.0]], ['2, k, 12', [-0.1279128, 0.02988274, 1.0]], ['2, k, 13', [-0.1497812, -0.2919538, 1.0]], ['2, k, 14', [-0.1481515, -0.6337788, 1.0]], ['2, k, 15', [-0.1353742, -0.7086031, 1.0]], ['2, k, 16', [0.004405766, 0.03236971, 1.0]], ['2, k, 17', [-0.03191337, -0.2916831, 1.0]], ['2, k, 18', [-0.03809253, -0.6013324, 1.0]], ['2, k, 19', [-0.04135192, -0.6946119, 1.0]], ['2, k, 20', [-0.08296464, 0.5378352, 1.0]], ['2, k, 21', [-0.2206193, 0.1278161, 1.0]], ['2, k, 22', [-0.1933855, 0.154686, 1.0]], ['2, k, 23', [0.08698164, -0.1200979, 1.0]], ['2, k, 24', [0.1251337, -0.07712236, 1.0]]]
[['2, k, 0', [-0.06381264, 0.0325584, 1.0]], ['2, k, 1', [-0.07538123, 0.3246299, 1.0]], ['2, k, 2', [-0.08626864, 0.6072876, 1.0]], ['2, k, 3', [-0.06283175, 0.7311664, 1.0]], ['2, k, 4', [-0.2214332, 0.501624, 1.0]], ['2, k, 5', [-0.2690183, 0.4323575, 1.0]], ['2, k, 6', [-0.2313544, 0.3650012, 1.0]], ['2, k, 7', [-0.2213221, 0.2684803, 1.0]], ['2, k, 8', [0.0790538, 0.4820899, 1.0]], ['2, k, 9', [0.1098515, 0.2456788, 1.0]], ['2, k, 10', [0.1103374, 0.01124006, 1.0]], ['2, k, 11', [0.09076577, -0.0502057, 1.0]], ['2, k, 12', [-0.1292049, 0.03132941, 1.0]], ['2, k, 13', [-0.1497227, -0.2906447, 1.0]], ['2, k, 14', [-0.1503294, -0.6333438, 1.0]], ['2, k, 15', [-0.1347661, -0.7076762, 1.0]], ['2, k, 16', [0.002994963, 0.0331224, 1.0]], ['2, k, 17', [-0.02980814, -0.2914653, 1.0]], ['2, k, 18', [-0.03845987, -0.6014863, 1.0]], ['2, k, 19', [-0.04170188, -0.6942776, 1.0]], ['2, k, 20', [-0.08365288, 0.5379188, 1.0]], ['2, k, 21', [-0.2115487, 0.2121903, 1.0]], ['2, k, 22', [-0.1865805, 0.2385303, 1.0]], ['2, k, 23', [0.0776357, -0.125184, 1.0]], ['2, k, 24', [0.1236283, -0.06355679, 1.0]]]
[['2, k, 0', [-0.06432991, 0.0327723, 1.0]], ['2, k, 1', [-0.07546508, 0.3246666, 1.0]], ['2, k, 2', [-0.08553521, 0.6071447, 1.0]], ['2, k, 3', [-0.06441793, 0.7310367, 1.0]], ['2, k, 4', [-0.2213731, 0.5013273, 1.0]], ['2, k, 5', [-0.285968, 0.5366508, 1.0]], ['2, k, 6', [-0.2411614, 0.4375616, 1.0]], ['2, k, 7', [-0.2136677, 0.3396216, 1.0]], ['2, k, 8', [0.07806629, 0.4833819, 1.0]], ['2, k, 9', [0.110078, 0.2469738, 1.0]], ['2, k, 10', [0.1101391, 0.01254549, 1.0]], ['2, k, 11', [0.09074923, -0.05172377, 1.0]], ['2, k, 12', [-0.1297049, 0.03164239, 1.0]], ['2, k, 13', [-0.1495491, -0.2906419, 1.0]], ['2, k, 14', [-0.1504525, -0.6334426, 1.0]], ['2, k, 15', [-0.1348753, -0.7075398, 1.0]], ['2, k, 16', [0.002523125, 0.03320817, 1.0]], ['2, k, 17', [-0.02963692, -0.2915393, 1.0]], ['2, k, 18', [-0.0390678, -0.6020893, 1.0]], ['2, k, 19', [-0.04169539, -0.6943267, 1.0]], ['2, k, 20', [-0.08315773, 0.537815, 1.0]], ['2, k, 21', [-0.2071183, 0.2866734, 1.0]], ['2, k, 22', [-0.1800926, 0.3206969, 1.0]], ['2, k, 23', [0.07593227, -0.1237697, 1.0]], ['2, k, 24', [0.1279345, -0.06144768, 1.0]]]
[['2, k, 0', [-0.06462427, 0.0322257, 1.0]], ['2, k, 1', [-0.07541694, 0.3241568, 1.0]], ['2, k, 2', [-0.0851619, 0.606865, 1.0]], ['2, k, 3', [-0.06681094, 0.7297419, 1.0]], ['2, k, 4', [-0.2188427, 0.4920994, 1.0]], ['2, k, 5', [-0.3033129, 0.4255724, 1.0]], ['2, k, 6', [-0.2374147, 0.3563209, 1.0]], ['2, k, 7', [-0.2084591, 0.4222597, 1.0]], ['2, k, 8', [0.07775725, 0.4835393, 1.0]], ['2, k, 9', [0.1100504, 0.2470992, 1.0]], ['2, k, 10', [0.1099168, 0.01276026, 1.0]], ['2, k, 11', [0.09063983, -0.0521495, 1.0]], ['2, k, 12', [-0.129886, 0.0313854, 1.0]], ['2, k, 13', [-0.1495107, -0.2909835, 1.0]], ['2, k, 14', [-0.1506185, -0.6335839, 1.0]], ['2, k, 15', [-0.1348507, -0.7074997, 1.0]], ['2, k, 16', [0.002133753, 0.0322431, 1.0]], ['2, k, 17', [-0.02940545, -0.2927736, 1.0]], ['2, k, 18', [-0.03904161, -0.6024293, 1.0]], ['2, k, 19', [-0.04153743, -0.6945985, 1.0]], ['2, k, 20', [-0.08285726, 0.5374671, 1.0]], ['2, k, 21', [-0.2031559, 0.4001938, 1.0]], ['2, k, 22', [-0.1823253, 0.4149787, 1.0]], ['2, k, 23', [0.0831951, -0.1220795, 1.0]], ['2, k, 24', [0.1282488, -0.04756522, 1.0]]]
[['2, k, 0', [-0.06512437, 0.03324907, 1.0]], ['2, k, 1', [-0.07548682, 0.3246973, 1.0]], ['2, k, 2', [-0.08489928, 0.6070583, 1.0]], ['2, k, 3', [-0.0692388, 0.7306197, 1.0]], ['2, k, 4', [-0.2145503, 0.4883952, 1.0]], ['2, k, 5', [-0.2572752, 0.4978731, 1.0]], ['2, k, 6', [-0.2225677, 0.5012811, 1.0]], ['2, k, 7', [-0.2039101, 0.504917, 1.0]], ['2, k, 8', [0.0720796, 0.4870608, 1.0]], ['2, k, 9', [0.1095551, 0.2527535, 1.0]], ['2, k, 10', [0.1097987, 0.0182004, 1.0]], ['2, k, 11', [0.09072945, -0.04618775, 1.0]], ['2, k, 12', [-0.1305251, 0.03283082, 1.0]], ['2, k, 13', [-0.1489014, -0.2897967, 1.0]], ['2, k, 14', [-0.1505449, -0.6335209, 1.0]], ['2, k, 15', [-0.1348918, -0.707571, 1.0]], ['2, k, 16', [0.001740977, 0.03297482, 1.0]], ['2, k, 17', [-0.02813128, -0.2924353, 1.0]], ['2, k, 18', [-0.03954442, -0.6027118, 1.0]], ['2, k, 19', [-0.04129197, -0.6939908, 1.0]], ['2, k, 20', [-0.08267186, 0.537738, 1.0]], ['2, k, 21', [-0.1848747, 0.5008497, 1.0]], ['2, k, 22', [-0.1847645, 0.5311598, 1.0]], ['2, k, 23', [0.07866794, -0.1183928, 1.0]], ['2, k, 24', [0.1268464, -0.0468381, 1.0]]]
[['2, k, 0', [-0.06542058, 0.03379781, 1.0]], ['2, k, 1', [-0.07583259, 0.3248828, 1.0]], ['2, k, 2', [-0.08544719, 0.6070177, 1.0]], ['2, k, 3', [-0.07097016, 0.7306455, 1.0]], ['2, k, 4', [-0.2131074, 0.4877275, 1.0]], ['2, k, 5', [-0.2501929, 0.526428, 1.0]], ['2, k, 6', [-0.2126262, 0.5688398, 1.0]], ['2, k, 7', [-0.2042851, 0.5857368, 1.0]], ['2, k, 8', [0.07037738, 0.4878056, 1.0]], ['2, k, 9', [0.1102304, 0.2543493, 1.0]], ['2, k, 10', [0.1097479, 0.01967245, 1.0]], ['2, k, 11', [0.09060491, -0.04684515, 1.0]], ['2, k, 12', [-0.1311261, 0.03327884, 1.0]], ['2, k, 13', [-0.1494756, -0.2892454, 1.0]], ['2, k, 14', [-0.1494258, -0.6347131, 1.0]], ['2, k, 15', [-0.134794, -0.7089083, 1.0]], ['2, k, 16', [0.001728314, 0.03366528, 1.0]], ['2, k, 17', [-0.02842274, -0.2919393, 1.0]], ['2, k, 18', [-0.0397356, -0.6037104, 1.0]], ['2, k, 19', [-0.04137747, -0.6940267, 1.0]], ['2, k, 20', [-0.08314491, 0.5377548, 1.0]], ['2, k, 21', [-0.1970251, 0.5893482, 1.0]], ['2, k, 22', [-0.1606193, 0.5874358, 1.0]], ['2, k, 23', [0.0749893, -0.1188936, 1.0]], ['2, k, 24', [0.127562, -0.05518539, 1.0]]]
