[['2, k, 0', [0.07524143, -0.3568166, 1.0]], ['2, k, 1', [0.0638667, -0.1115858, 1.0]], ['2, k, 2', [0.05289306, 0.1285809, 1.0]], ['2, k, 3', [0.04082249, 0.2614909, 1.0]], ['2, k, 4', [-0.0925017, 0.04524726, 1.0]], ['2, k, 5', [-0.1059603, -0.1288864, 1.0]], ['2, k, 6', [-0.1248835, -0.1616565, 1.0]], ['2, k, 7', [-0.118465, -0.1041855, 1.0]], ['2, k, 8', [0.2099783, 0.0685965, 1.0]], ['2, k, 9', [0.2489127, -0.1605368, 1.0]], ['2, k, 10', [0.1859111, -0.01296089, 1.0]], ['2, k, 11', [0.1665088, 0.03608371, 1.0]], ['2, k, 12', [-0.001006623, -0.3566053, 1.0]], ['2, k, 13', [-0.1070571, -0.2972499, 1.0]], ['2, k, 14', [-0.1153414, -0.6216234, 1.0]], ['2, k, 15', [-0.1696412, -0.6688889, 1.0]], ['2, k, 16', [0.149235, -0.3439462, 1.0]], ['2, k, 17', [0.1758345, -0.3238586, 1.0]], ['2, k, 18', [0.1575543, -0.6309925, 1.0]], ['2, k, 19', [0.1413133, -0.6758721, 1.0]], ['2, k, 20', [0.05592863, 0.06937585, 1.0]], ['2, k, 21', [-0.1193165, -0.1275794, 1.0]], ['2, k, 22', [-0.1245181, -0.05986318, 1.0]], ['2, k, 23', [0.145489, 0.07605064, 1.0]], ['2, k, 24', [0.2216351, 0.06323282, 1.0]]]
[['2, k, 0', [0.07755432, -0.3505025, 1.0]], ['2, k, 1', [0.06474318, -0.1087472, 1.0]], ['2, k, 2', [0.05295608, 0.1290751, 1.0]], ['2, k, 3', [0.04018723, 0.2618519, 1.0]], ['2, k, 4', [-0.08705286, 0.05235925, 1.0]], ['2, k, 5', [-0.1337122, -0.1774656, 1.0]], ['2, k, 6', [-0.122031, -0.1134025, 1.0]], ['2, k, 7', [-0.1098449, -0.04747933, 1.0]], ['2, k, 8', [0.2100174, 0.08473752, 1.0]], ['2, k, 9', [0.2467121, -0.1499353, 1.0]], ['2, k, 10', [0.2038842, -0.05692656, 1.0]], ['2, k, 11', [0.1678055, -0.004150533, 1.0]], ['2, k, 12', [0.0008047578, -0.3508076, 1.0]], ['2, k, 13', [-0.1113905, -0.2963722, 1.0]], ['2, k, 14', [-0.1203594, -0.6293592, 1.0]], ['2, k, 15', [-0.1709285, -0.674798, 1.0]], ['2, k, 16', [0.1518567, -0.3375219, 1.0]], ['2, k, 17', [0.1755809, -0.3237691, 1.0]], ['2, k, 18', [0.1571776, -0.6314651, 1.0]], ['2, k, 19', [0.1422617, -0.6766381, 1.0]], ['2, k, 20', [0.05608269, 0.07028187, 1.0]], ['2, k, 21', [-0.09294763, -0.03242492, 1.0]], ['2, k, 22', [-0.1298751, 0.006894214, 1.0]], ['2, k, 23', [0.1435424, 0.03398399, 1.0]], ['2, k, 24', [0.2241614, 0.02644391, 1.0]]]
[['2, k, 0', [0.07936464, -0.3496487, 1.0]], ['2, k, 1', [0.06547232, -0.1080283, 1.0]], ['2, k, 2', [0.05306257, 0.1294353, 1.0]], ['2, k, 3', [0.04015346, 0.2625446, 1.0]], ['2, k, 4', [-0.08826704, 0.05308554, 1.0]], ['2, k, 5', [-0.1334336, -0.1770775, 1.0]], ['2, k, 6', [-0.1130787, -0.04526975, 1.0]], ['2, k, 7', [-0.09628428, 0.04078819, 1.0]], ['2, k, 8', [0.2090504, 0.08443637, 1.0]], ['2, k, 9', [0.2485535, -0.1476553, 1.0]], ['2, k, 10', [0.1629422, -0.05508034, 1.0]], ['2, k, 11', [0.1623806, -0.04905163, 1.0]], ['2, k, 12', [0.003922638, -0.3490851, 1.0]], ['2, k, 13', [-0.1152921, -0.2948934, 1.0]], ['2, k, 14', [-0.120322, -0.6263312, 1.0]], ['2, k, 15', [-0.1276621, -0.6718794, 1.0]], ['2, k, 16', [0.1531347, -0.3370813, 1.0]], ['2, k, 17', [0.1754423, -0.3238097, 1.0]], ['2, k, 18', [0.1572217, -0.6313645, 1.0]], ['2, k, 19', [0.1440697, -0.6768696, 1.0]], ['2, k, 20', [0.05630411, 0.07073404, 1.0]], ['2, k, 21', [-0.07007103, 0.07679988, 1.0]], ['2, k, 22', [-0.1277767, 0.0895638, 1.0]], ['2, k, 23', [0.1476059, -0.02131749, 1.0]], ['2, k, 24', [0.2151458, -0.03257738, 1.0]]]
[['2, k, 0', [0.07944665, -0.349769, 1.0]], ['2, k, 1', [0.06528127, -0.1074407, 1.0]], ['2, k, 2', [0.05151977, 0.1316073, 1.0]], ['2, k, 3', [0.04177778, 0.2639269, 1.0]], ['2, k, 4', [-0.08394428, 0.04100709, 1.0]], ['2, k, 5', [-0.136674, -0.1909674, 1.0]], ['2, k, 6', [-0.09955233, 0.009759782, 1.0]], ['2, k, 7', [-0.0894832, 0.1197376, 1.0]], ['2, k, 8', [0.2077603, 0.07831284, 1.0]], ['2, k, 9', [0.2757854, -0.1008728, 1.0]], ['2, k, 10', [0.2039058, -0.1199555, 1.0]], ['2, k, 11', [0.1694067, -0.09977882, 1.0]], ['2, k, 12', [0.003929764, -0.3492613, 1.0]], ['2, k, 13', [-0.11851, -0.2940181, 1.0]], ['2, k, 14', [-0.1225968, -0.6289961, 1.0]], ['2, k, 15', [-0.125558, -0.6748923, 1.0]], ['2, k, 16', [0.1534025, -0.3375474, 1.0]], ['2, k, 17', [0.1753019, -0.3238466, 1.0]], ['2, k, 18', [0.1575254, -0.6313163, 1.0]], ['2, k, 19', [0.1487045, -0.6771995, 1.0]], ['2, k, 20', [0.05514303, 0.07254405, 1.0]], ['2, k, 21', [-0.08281049, 0.1729803, 1.0]], ['2, k, 22', [-0.1355278, 0.1350966, 1.0]], ['2, k, 23', [0.149134, -0.08598751, 1.0]], ['2, k, 24', [0.2245163, -0.07195518, 1.0]]]
[['2, k, 0', [0.07901102, -0.3503815, 1.0]], ['2, k, 1', [0.06505326, -0.1074594, 1.0]], ['2, k, 2', [0.05105433, 0.1315639, 1.0]], ['2, k, 3', [0.04542563, 0.2643242, 1.0]], ['2, k, 4', [-0.08038618, 0.0391005, 1.0]], ['2, k, 5', [-0.1384363, -0.1832605, 1.0]], ['2, k, 6', [-0.09602042, 0.03171998, 1.0]], ['2, k, 7', [-0.08762253, 0.1835039, 1.0]], ['2, k, 8', [0.207506, 0.0685288, 1.0]], ['2, k, 9', [0.2663935, -0.1148466, 1.0]], ['2, k, 10', [0.2401933, -0.155568, 1.0]], ['2, k, 11', [0.1789411, -0.1528735, 1.0]], ['2, k, 12', [0.00312953, -0.3496001, 1.0]], ['2, k, 13', [-0.1214221, -0.2934016, 1.0]], ['2, k, 14', [-0.123261, -0.629523, 1.0]], ['2, k, 15', [-0.1242705, -0.6753582, 1.0]], ['2, k, 16', [0.1530999, -0.3389765, 1.0]], ['2, k, 17', [0.1750542, -0.3233936, 1.0]], ['2, k, 18', [0.1568525, -0.6314377, 1.0]], ['2, k, 19', [0.1499859, -0.6772593, 1.0]], ['2, k, 20', [0.05474395, 0.07253505, 1.0]], ['2, k, 21', [-0.08709721, 0.2420248, 1.0]], ['2, k, 22', [-0.1390045, 0.1692937, 1.0]], ['2, k, 23', [0.1678216, -0.1387558, 1.0]], ['2, k, 24', [0.2320504, -0.1247121, 1.0]]]
[['2, k, 0', [0.07820158, -0.3507175, 1.0]], ['2, k, 1', [0.06388032, -0.1065725, 1.0]], ['2, k, 2', [0.04950881, 0.1335606, 1.0]], ['2, k, 3', [0.04768403, 0.2641478, 1.0]], ['2, k, 4', [-0.07382356, 0.04097417, 1.0]], ['2, k, 5', [-0.1445564, -0.1830467, 1.0]], ['2, k, 6', [-0.1068853, 0.03353124, 1.0]], ['2, k, 7', [-0.1075603, 0.1170943, 1.0]], ['2, k, 8', [0.2081668, 0.06481803, 1.0]], ['2, k, 9', [0.256941, -0.1415499, 1.0]], ['2, k, 10', [0.235119, -0.2049266, 1.0]], ['2, k, 11', [0.2027748, -0.2372795, 1.0]], ['2, k, 12', [0.00177709, -0.3493581, 1.0]], ['2, k, 13', [-0.122404, -0.2936877, 1.0]], ['2, k, 14', [-0.1241595, -0.6301997, 1.0]], ['2, k, 15', [-0.1248695, -0.6764035, 1.0]], ['2, k, 16', [0.1524048, -0.3400139, 1.0]], ['2, k, 17', [0.1755273, -0.3180059, 1.0]], ['2, k, 18', [0.1563734, -0.6310264, 1.0]], ['2, k, 19', [0.1498, -0.6772159, 1.0]], ['2, k, 20', [0.05319997, 0.07431836, 1.0]], ['2, k, 21', [-0.09135482, 0.176614, 1.0]], ['2, k, 22', [-0.08943076, 0.06421003, 1.0]], ['2, k, 23', [0.1710517, -0.2681673, 1.0]], ['2, k, 24', [0.236977, -0.1805421, 1.0]]]
[['2, k, 0', [0.07759559, -0.3505594, 1.0]], ['2, k, 1', [0.06345431, -0.1053721, 1.0]], ['2, k, 2', [0.04959617, 0.1353828, 1.0]], ['2, k, 3', [0.05089648, 0.2642618, 1.0]], ['2, k, 4', [-0.07281993, 0.05517282, 1.0]], ['2, k, 5', [-0.1346144, -0.05211239, 1.0]], ['2, k, 6', [-0.1000274, 0.1832537, 1.0]], ['2, k, 7', [-0.09140503, 0.2272248, 1.0]], ['2, k, 8', [0.2095988, 0.0616026, 1.0]], ['2, k, 9', [0.2534976, -0.1536624, 1.0]], ['2, k, 10', [0.2269044, -0.2421134, 1.0]], ['2, k, 11', [0.1758786, -0.2737394, 1.0]], ['2, k, 12', [0.0005335773, -0.3483035, 1.0]], ['2, k, 13', [-0.1227495, -0.2937127, 1.0]], ['2, k, 14', [-0.12396, -0.6283906, 1.0]], ['2, k, 15', [-0.1180075, -0.6748946, 1.0]], ['2, k, 16', [0.1519435, -0.340419, 1.0]], ['2, k, 17', [0.1753242, -0.3159098, 1.0]], ['2, k, 18', [0.1559109, -0.6305611, 1.0]], ['2, k, 19', [0.1560108, -0.6770419, 1.0]], ['2, k, 20', [0.05311771, 0.07603646, 1.0]], ['2, k, 21', [-0.07988237, 0.2608256, 1.0]], ['2, k, 22', [-0.1428815, 0.1984474, 1.0]], ['2, k, 23', [0.1559927, -0.31453, 1.0]], ['2, k, 24', [0.2057189, -0.2804969, 1.0]]]
[['2, k, 0', [0.07675161, -0.3498529, 1.0]], ['2, k, 1', [0.06333588, -0.1038029, 1.0]], ['2, k, 2', [0.05048103, 0.1372922, 1.0]], ['2, k, 3', [0.05700548, 0.2658798, 1.0]], ['2, k, 4', [-0.07265817, 0.06215553, 1.0]], ['2, k, 5', [-0.1336268, -0.05043089, 1.0]], ['2, k, 6', [-0.0928747, 0.1778452, 1.0]], ['2, k, 7', [-0.08529295, 0.2194418, 1.0]], ['2, k, 8', [0.2121267, 0.05792633, 1.0]], ['2, k, 9', [0.2509027, -0.1394071, 1.0]], ['2, k, 10', [0.2402086, -0.2275307, 1.0]], ['2, k, 11', [0.192692, -0.2556782, 1.0]], ['2, k, 12', [-0.0009635283, -0.3460666, 1.0]], ['2, k, 13', [-0.1230586, -0.2938089, 1.0]], ['2, k, 14', [-0.1243243, -0.6286346, 1.0]], ['2, k, 15', [-0.1169487, -0.6751982, 1.0]], ['2, k, 16', [0.1514088, -0.3404991, 1.0]], ['2, k, 17', [0.1751793, -0.3142719, 1.0]], ['2, k, 18', [0.1556481, -0.6301524, 1.0]], ['2, k, 19', [0.1571697, -0.6766971, 1.0]], ['2, k, 20', [0.05371421, 0.07788304, 1.0]], ['2, k, 21', [-0.06441085, 0.2499955, 1.0]], ['2, k, 22', [-0.1361922, 0.1964909, 1.0]], ['2, k, 23', [0.157717, -0.2834466, 1.0]], ['2, k, 24', [0.2176535, -0.2545856, 1.0]]]
[['2, k, 0', [0.07641112, -0.3496108, 1.0]], ['2, k, 1', [0.06387316, -0.1026409, 1.0]], ['2, k, 2', [0.05302677, 0.1395516, 1.0]], ['2, k, 3', [0.06385791, 0.2664611, 1.0]], ['2, k, 4', [-0.07191204, 0.0635735, 1.0]], ['2, k, 5', [-0.1400943, -0.1009822, 1.0]], ['2, k, 6', [-0.1066829, 0.1399441, 1.0]], ['2, k, 7', [-0.08886406, 0.1961873, 1.0]], ['2, k, 8', [0.2152855, 0.05423005, 1.0]], ['2, k, 9', [0.2515146, -0.137731, 1.0]], ['2, k, 10', [0.2170621, -0.2231247, 1.0]], ['2, k, 11', [0.2012553, -0.2484704, 1.0]], ['2, k, 12', [-0.001591675, -0.3450441, 1.0]], ['2, k, 13', [-0.1232404, -0.2937078, 1.0]], ['2, k, 14', [-0.1243523, -0.6283453, 1.0]], ['2, k, 15', [-0.1162707, -0.6749775, 1.0]], ['2, k, 16', [0.1511678, -0.3407079, 1.0]], ['2, k, 17', [0.1752275, -0.3124516, 1.0]], ['2, k, 18', [0.1547943, -0.6308864, 1.0]], ['2, k, 19', [0.1570416, -0.677492, 1.0]], ['2, k, 20', [0.0556391, 0.07986695, 1.0]], ['2, k, 21', [-0.07188608, 0.2486337, 1.0]], ['2, k, 22', [-0.09961065, 0.2338944, 1.0]], ['2, k, 23', [0.1832539, -0.2708112, 1.0]], ['2, k, 24', [0.2428829, -0.3024139, 1.0]]]
[['2, k, 0', [0.08097366, -0.3492165, 1.0]], ['2, k, 1', [0.06791905, -0.1012586, 1.0]], ['2, k, 2', [0.05564083, 0.1407668, 1.0]], ['2, k, 3', [0.0696692, 0.2659634, 1.0]], ['2, k, 4', [-0.06986613, 0.06453683, 1.0]], ['2, k, 5', [-0.125855, -0.03784606, 1.0]], ['2, k, 6', [-0.08448126, 0.1852449, 1.0]], ['2, k, 7', [-0.06702537, 0.2218351, 1.0]], ['2, k, 8', [0.2165434, 0.05356919, 1.0]], ['2, k, 9', [0.2505181, -0.1635224, 1.0]], ['2, k, 10', [0.223353, -0.2083803, 1.0]], ['2, k, 11', [0.1960501, -0.2452262, 1.0]], ['2, k, 12', [0.002079754, -0.344613, 1.0]], ['2, k, 13', [-0.1234288, -0.2936637, 1.0]], ['2, k, 14', [-0.1245427, -0.6281678, 1.0]], ['2, k, 15', [-0.1149309, -0.6746713, 1.0]], ['2, k, 16', [0.156867, -0.3408053, 1.0]], ['2, k, 17', [0.174921, -0.3100809, 1.0]], ['2, k, 18', [0.1535582, -0.6306002, 1.0]], ['2, k, 19', [0.1573539, -0.6770644, 1.0]], ['2, k, 20', [0.05864877, 0.0811729, 1.0]], ['2, k, 21', [-0.01767565, 0.2446148, 1.0]], ['2, k, 22', [-0.1003311, 0.2305327, 1.0]], ['2, k, 23', [0.172073, -0.2692168, 1.0]], ['2, k, 24', [0.1473763, -0.2702562, 1.0]]]
[['2, k, 0', [0.08120377, -0.3493598, 1.0]], ['2, k, 1', [0.06864396, -0.1010755, 1.0]], ['2, k, 2', [0.05695402, 0.1412738, 1.0]], ['2, k, 3', [0.0748546, 0.2657282, 1.0]], ['2, k, 4', [-0.06892348, 0.06125722, 1.0]], ['2, k, 5', [-0.1241761, -0.04046825, 1.0]], ['2, k, 6', [-0.07569411, 0.1829716, 1.0]], ['2, k, 7', [-0.05966367, 0.2192405, 1.0]], ['2, k, 8', [0.2185839, 0.05194731, 1.0]], ['2, k, 9', [0.2515922, -0.1644281, 1.0]], ['2, k, 10', [0.2213192, -0.2054113, 1.0]], ['2, k, 11', [0.1884616, -0.2464835, 1.0]], ['2, k, 12', [0.002183749, -0.3446407, 1.0]], ['2, k, 13', [-0.123686, -0.2936139, 1.0]], ['2, k, 14', [-0.1245467, -0.6281457, 1.0]], ['2, k, 15', [-0.1157042, -0.6746905, 1.0]], ['2, k, 16', [0.1573279, -0.3412662, 1.0]], ['2, k, 17', [0.1745719, -0.3080338, 1.0]], ['2, k, 18', [0.1530738, -0.6306752, 1.0]], ['2, k, 19', [0.1561101, -0.677179, 1.0]], ['2, k, 20', [0.05982889, 0.08160305, 1.0]], ['2, k, 21', [-0.02422491, 0.2454866, 1.0]], ['2, k, 22', [-0.1046751, 0.215184, 1.0]], ['2, k, 23', [0.1674667, -0.2693493, 1.0]], ['2, k, 24', [0.1308126, -0.2260773, 1.0]]]
