[['2, k, 0', [0.02854628, -0.04262931, 1.0]], ['2, k, 1', [0.02573868, 0.2081434, 1.0]], ['2, k, 2', [0.02324762, 0.4500583, 1.0]], ['2, k, 3', [0.04432613, 0.5828544, 1.0]], ['2, k, 4', [-0.1642858, 0.4231711, 1.0]], ['2, k, 5', [-0.2881868, 0.2303658, 1.0]], ['2, k, 6', [-0.2252572, 0.03321208, 1.0]], ['2, k, 7', [-0.2052383, -0.01125626, 1.0]], ['2, k, 8', [0.2199149, 0.3831703, 1.0]], ['2, k, 9', [0.331875, 0.1959618, 1.0]], ['2, k, 10', [0.2574401, 0.003035911, 1.0]], ['2, k, 11', [0.2326393, -0.03791489, 1.0]], ['2, k, 12', [-0.04848397, -0.03976791, 1.0]], ['2, k, 13', [-0.1241535, -0.1485206, 1.0]], ['2, k, 14', [-0.06753237, -0.5178159, 1.0]], ['2, k, 15', [-0.07781018, -0.5927337, 1.0]], ['2, k, 16', [0.1050107, -0.04403695, 1.0]], ['2, k, 17', [0.1693072, -0.1992681, 1.0]], ['2, k, 18', [0.1118607, -0.5995465, 1.0]], ['2, k, 19', [0.1062355, -0.6519138, 1.0]], ['2, k, 20', [0.02385078, 0.3907709, 1.0]], ['2, k, 21', [-0.1678371, -0.08306811, 1.0]], ['2, k, 22', [-0.208125, 0.0563371, 1.0]], ['2, k, 23', [0.2173521, -0.1073335, 1.0]], ['2, k, 24', [0.248853, -0.08501144, 1.0]]]
[['2, k, 0', [0.02856392, -0.04261508, 1.0]], ['2, k, 1', [0.025877, 0.2081652, 1.0]], ['2, k, 2', [0.02355875, 0.4500902, 1.0]], ['2, k, 3', [0.04548785, 0.5829339, 1.0]], ['2, k, 4', [-0.1637558, 0.4235783, 1.0]], ['2, k, 5', [-0.2876219, 0.2303232, 1.0]], ['2, k, 6', [-0.2252865, 0.03341071, 1.0]], ['2, k, 7', [-0.2045337, -0.01241156, 1.0]], ['2, k, 8', [0.2207005, 0.3827316, 1.0]], ['2, k, 9', [0.331993, 0.1951191, 1.0]], ['2, k, 10', [0.257482, 0.002983387, 1.0]], ['2, k, 11', [0.2323887, -0.0387107, 1.0]], ['2, k, 12', [-0.04846005, -0.0396839, 1.0]], ['2, k, 13', [-0.1241425, -0.1484931, 1.0]], ['2, k, 14', [-0.06748792, -0.5178486, 1.0]], ['2, k, 15', [-0.07782017, -0.5926738, 1.0]], ['2, k, 16', [0.1050199, -0.04406956, 1.0]], ['2, k, 17', [0.1693262, -0.1993279, 1.0]], ['2, k, 18', [0.1120023, -0.5993949, 1.0]], ['2, k, 19', [0.1058031, -0.6515136, 1.0]], ['2, k, 20', [0.02411661, 0.3908012, 1.0]], ['2, k, 21', [-0.1680074, -0.08395486, 1.0]], ['2, k, 22', [-0.2547038, 0.01159613, 1.0]], ['2, k, 23', [0.2179316, -0.1091379, 1.0]], ['2, k, 24', [0.2834785, -0.007029878, 1.0]]]
[['2, k, 0', [0.02856442, -0.04249772, 1.0]], ['2, k, 1', [0.02616558, 0.2083501, 1.0]], ['2, k, 2', [0.02426902, 0.4503756, 1.0]], ['2, k, 3', [0.04677065, 0.5832147, 1.0]], ['2, k, 4', [-0.1630426, 0.4241801, 1.0]], ['2, k, 5', [-0.2874861, 0.2303645, 1.0]], ['2, k, 6', [-0.2251923, 0.03358622, 1.0]], ['2, k, 7', [-0.2048694, -0.01178311, 1.0]], ['2, k, 8', [0.2213505, 0.3825, 1.0]], ['2, k, 9', [0.3324659, 0.1947301, 1.0]], ['2, k, 10', [0.2574367, 0.002888795, 1.0]], ['2, k, 11', [0.2323107, -0.03957596, 1.0]], ['2, k, 12', [-0.04842956, -0.03941088, 1.0]], ['2, k, 13', [-0.124015, -0.1483368, 1.0]], ['2, k, 14', [-0.06698897, -0.5184155, 1.0]], ['2, k, 15', [-0.07802944, -0.5930383, 1.0]], ['2, k, 16', [0.1049886, -0.04405196, 1.0]], ['2, k, 17', [0.1693553, -0.1992741, 1.0]], ['2, k, 18', [0.1126533, -0.5990049, 1.0]], ['2, k, 19', [0.1057509, -0.6509533, 1.0]], ['2, k, 20', [0.02471189, 0.3910611, 1.0]], ['2, k, 21', [-0.1686678, -0.08401733, 1.0]], ['2, k, 22', [-0.2078946, 0.0558625, 1.0]], ['2, k, 23', [0.2175743, -0.1083882, 1.0]], ['2, k, 24', [0.2492255, -0.08420269, 1.0]]]
[['2, k, 0', [0.02860419, -0.0424083, 1.0]], ['2, k, 1', [0.02638009, 0.2084925, 1.0]], ['2, k, 2', [0.02466179, 0.4505681, 1.0]], ['2, k, 3', [0.04812809, 0.5834543, 1.0]], ['2, k, 4', [-0.1626985, 0.4244691, 1.0]], ['2, k, 5', [-0.2872174, 0.2307128, 1.0]], ['2, k, 6', [-0.2252388, 0.0343936, 1.0]], ['2, k, 7', [-0.2059276, -0.01141447, 1.0]], ['2, k, 8', [0.2222726, 0.3820837, 1.0]], ['2, k, 9', [0.3330424, 0.1940135, 1.0]], ['2, k, 10', [0.2574384, 0.002870565, 1.0]], ['2, k, 11', [0.2319747, -0.03985434, 1.0]], ['2, k, 12', [-0.048377, -0.03920352, 1.0]], ['2, k, 13', [-0.1239806, -0.148167, 1.0]], ['2, k, 14', [-0.06784953, -0.5182588, 1.0]], ['2, k, 15', [-0.07804436, -0.5938172, 1.0]], ['2, k, 16', [0.1050034, -0.04405031, 1.0]], ['2, k, 17', [0.1693451, -0.199213, 1.0]], ['2, k, 18', [0.1128888, -0.5992675, 1.0]], ['2, k, 19', [0.1069018, -0.6510274, 1.0]], ['2, k, 20', [0.02506331, 0.3912428, 1.0]], ['2, k, 21', [-0.1738351, -0.08576319, 1.0]], ['2, k, 22', [-0.2061011, 0.05545083, 1.0]], ['2, k, 23', [0.21626, -0.1071286, 1.0]], ['2, k, 24', [0.275247, -0.004621329, 1.0]]]
[['2, k, 0', [0.02856548, -0.04238331, 1.0]], ['2, k, 1', [0.02669654, 0.2084735, 1.0]], ['2, k, 2', [0.02579948, 0.4504354, 1.0]], ['2, k, 3', [0.0491747, 0.5837029, 1.0]], ['2, k, 4', [-0.1619268, 0.4248502, 1.0]], ['2, k, 5', [-0.2867907, 0.2307939, 1.0]], ['2, k, 6', [-0.2252731, 0.0344372, 1.0]], ['2, k, 7', [-0.2053109, -0.01117507, 1.0]], ['2, k, 8', [0.2225719, 0.3817719, 1.0]], ['2, k, 9', [0.333295, 0.1936872, 1.0]], ['2, k, 10', [0.2574978, 0.002739071, 1.0]], ['2, k, 11', [0.2320122, -0.04014457, 1.0]], ['2, k, 12', [-0.04843307, -0.03909886, 1.0]], ['2, k, 13', [-0.1239507, -0.1480667, 1.0]], ['2, k, 14', [-0.06835407, -0.51732, 1.0]], ['2, k, 15', [-0.07951914, -0.5922204, 1.0]], ['2, k, 16', [0.1049521, -0.04410682, 1.0]], ['2, k, 17', [0.1693401, -0.1992099, 1.0]], ['2, k, 18', [0.1130321, -0.5994511, 1.0]], ['2, k, 19', [0.1059778, -0.6507253, 1.0]], ['2, k, 20', [0.02595725, 0.3911475, 1.0]], ['2, k, 21', [-0.1681971, -0.08171609, 1.0]], ['2, k, 22', [-0.2005907, 0.04938027, 1.0]], ['2, k, 23', [0.2180814, -0.1066083, 1.0]], ['2, k, 24', [0.2776862, -0.004440315, 1.0]]]
[['2, k, 0', [0.02868216, -0.04230981, 1.0]], ['2, k, 1', [0.0273558, 0.208652, 1.0]], ['2, k, 2', [0.02708566, 0.4507215, 1.0]], ['2, k, 3', [0.0503564, 0.5841347, 1.0]], ['2, k, 4', [-0.1611584, 0.4252205, 1.0]], ['2, k, 5', [-0.2858019, 0.2311208, 1.0]], ['2, k, 6', [-0.2251465, 0.03458489, 1.0]], ['2, k, 7', [-0.205554, -0.01142197, 1.0]], ['2, k, 8', [0.2232078, 0.3816771, 1.0]], ['2, k, 9', [0.3335274, 0.1932985, 1.0]], ['2, k, 10', [0.2574996, 0.002521505, 1.0]], ['2, k, 11', [0.2323941, -0.04081142, 1.0]], ['2, k, 12', [-0.04817986, -0.03886823, 1.0]], ['2, k, 13', [-0.1240001, -0.1480905, 1.0]], ['2, k, 14', [-0.06879229, -0.5155092, 1.0]], ['2, k, 15', [-0.08035655, -0.5922663, 1.0]], ['2, k, 16', [0.1049919, -0.04411214, 1.0]], ['2, k, 17', [0.1693477, -0.1992295, 1.0]], ['2, k, 18', [0.1131566, -0.5989538, 1.0]], ['2, k, 19', [0.1058207, -0.6503147, 1.0]], ['2, k, 20', [0.02709505, 0.3914078, 1.0]], ['2, k, 21', [-0.170141, -0.08301975, 1.0]], ['2, k, 22', [-0.2151408, 0.05928989, 1.0]], ['2, k, 23', [0.2159888, -0.1050019, 1.0]], ['2, k, 24', [0.2463588, -0.08922006, 1.0]]]
[['2, k, 0', [0.02879661, -0.04225205, 1.0]], ['2, k, 1', [0.027897, 0.2087438, 1.0]], ['2, k, 2', [0.02801822, 0.4508224, 1.0]], ['2, k, 3', [0.05155067, 0.5844988, 1.0]], ['2, k, 4', [-0.1606435, 0.4253442, 1.0]], ['2, k, 5', [-0.2851009, 0.2314195, 1.0]], ['2, k, 6', [-0.2203744, 0.006582159, 1.0]], ['2, k, 7', [-0.2050518, -0.0510168, 1.0]], ['2, k, 8', [0.2234933, 0.38172, 1.0]], ['2, k, 9', [0.3335583, 0.193298, 1.0]], ['2, k, 10', [0.2574916, 0.002454768, 1.0]], ['2, k, 11', [0.2318041, -0.04048008, 1.0]], ['2, k, 12', [-0.0480497, -0.03876484, 1.0]], ['2, k, 13', [-0.1239342, -0.1479659, 1.0]], ['2, k, 14', [-0.07065419, -0.5154135, 1.0]], ['2, k, 15', [-0.08108625, -0.5918927, 1.0]], ['2, k, 16', [0.1050642, -0.0441056, 1.0]], ['2, k, 17', [0.1693537, -0.199247, 1.0]], ['2, k, 18', [0.1115427, -0.5999014, 1.0]], ['2, k, 19', [0.1057581, -0.6509558, 1.0]], ['2, k, 20', [0.02794195, 0.3915083, 1.0]], ['2, k, 21', [-0.1796852, -0.09174728, 1.0]], ['2, k, 22', [-0.1486713, -0.04412647, 1.0]], ['2, k, 23', [0.2156341, -0.1054646, 1.0]], ['2, k, 24', [0.2738068, -0.01104932, 1.0]]]
[['2, k, 0', [0.02886403, -0.04222176, 1.0]], ['2, k, 1', [0.0282611, 0.2088161, 1.0]], ['2, k, 2', [0.02864625, 0.4509388, 1.0]], ['2, k, 3', [0.05283348, 0.5846828, 1.0]], ['2, k, 4', [-0.1594631, 0.425786, 1.0]], ['2, k, 5', [-0.2837316, 0.2318424, 1.0]], ['2, k, 6', [-0.2228287, 0.02868211, 1.0]], ['2, k, 7', [-0.2060478, -0.01242802, 1.0]], ['2, k, 8', [0.224152, 0.3814833, 1.0]], ['2, k, 9', [0.3338735, 0.1928058, 1.0]], ['2, k, 10', [0.2574873, 0.002449978, 1.0]], ['2, k, 11', [0.2316332, -0.04003818, 1.0]], ['2, k, 12', [-0.04793818, -0.03865115, 1.0]], ['2, k, 13', [-0.1240358, -0.147873, 1.0]], ['2, k, 14', [-0.07220974, -0.5159011, 1.0]], ['2, k, 15', [-0.08274001, -0.5906221, 1.0]], ['2, k, 16', [0.105104, -0.04413324, 1.0]], ['2, k, 17', [0.1693566, -0.1992715, 1.0]], ['2, k, 18', [0.1100772, -0.6010278, 1.0]], ['2, k, 19', [0.1056552, -0.6525254, 1.0]], ['2, k, 20', [0.02851163, 0.3916132, 1.0]], ['2, k, 21', [-0.1672391, -0.08156855, 1.0]], ['2, k, 22', [-0.2037047, 0.05170146, 1.0]], ['2, k, 23', [0.2169804, -0.1059866, 1.0]], ['2, k, 24', [0.2784915, -0.004075082, 1.0]]]
[['2, k, 0', [0.02895825, -0.04212371, 1.0]], ['2, k, 1', [0.02898345, 0.2090749, 1.0]], ['2, k, 2', [0.03019576, 0.451386, 1.0]], ['2, k, 3', [0.05419073, 0.585023, 1.0]], ['2, k, 4', [-0.1581544, 0.4263986, 1.0]], ['2, k, 5', [-0.2830775, 0.2312873, 1.0]], ['2, k, 6', [-0.2194121, 0.01055498, 1.0]], ['2, k, 7', [-0.2152156, 0.008316686, 1.0]], ['2, k, 8', [0.2260294, 0.3807053, 1.0]], ['2, k, 9', [0.3353951, 0.1918501, 1.0]], ['2, k, 10', [0.25756, 0.002327051, 1.0]], ['2, k, 11', [0.2322543, -0.04027402, 1.0]], ['2, k, 12', [-0.04773685, -0.03836877, 1.0]], ['2, k, 13', [-0.1240417, -0.1476834, 1.0]], ['2, k, 14', [-0.07334566, -0.5178031, 1.0]], ['2, k, 15', [-0.08293443, -0.592011, 1.0]], ['2, k, 16', [0.1051227, -0.04413627, 1.0]], ['2, k, 17', [0.1693559, -0.199167, 1.0]], ['2, k, 18', [0.1101622, -0.6006527, 1.0]], ['2, k, 19', [0.1064221, -0.6532785, 1.0]], ['2, k, 20', [0.02984784, 0.3920118, 1.0]], ['2, k, 21', [-0.2028202, -0.04115096, 1.0]], ['2, k, 22', [-0.2548125, 0.02305404, 1.0]], ['2, k, 23', [0.2156953, -0.104858, 1.0]], ['2, k, 24', [0.2745052, -0.01100717, 1.0]]]
[['2, k, 0', [0.02907231, -0.04204674, 1.0]], ['2, k, 1', [0.02954583, 0.2091919, 1.0]], ['2, k, 2', [0.03117109, 0.4514997, 1.0]], ['2, k, 3', [0.05532315, 0.5853581, 1.0]], ['2, k, 4', [-0.1575645, 0.4264261, 1.0]], ['2, k, 5', [-0.2827578, 0.2316354, 1.0]], ['2, k, 6', [-0.2218032, 0.02363401, 1.0]], ['2, k, 7', [-0.2079907, -0.009410597, 1.0]], ['2, k, 8', [0.2262928, 0.3808667, 1.0]], ['2, k, 9', [0.3353904, 0.1919888, 1.0]], ['2, k, 10', [0.2575597, 0.002323432, 1.0]], ['2, k, 11', [0.2322256, -0.04101291, 1.0]], ['2, k, 12', [-0.04757955, -0.03821771, 1.0]], ['2, k, 13', [-0.1239671, -0.1478311, 1.0]], ['2, k, 14', [-0.07437796, -0.5184742, 1.0]], ['2, k, 15', [-0.08376256, -0.5941117, 1.0]], ['2, k, 16', [0.1051736, -0.04412789, 1.0]], ['2, k, 17', [0.1693644, -0.1991495, 1.0]], ['2, k, 18', [0.1103689, -0.6002466, 1.0]], ['2, k, 19', [0.1067825, -0.6532163, 1.0]], ['2, k, 20', [0.03073022, 0.3921294, 1.0]], ['2, k, 21', [-0.1663805, -0.08054588, 1.0]], ['2, k, 22', [-0.2317823, -0.08630326, 1.0]], ['2, k, 23', [0.2170435, -0.1082398, 1.0]], ['2, k, 24', [0.248345, -0.0852408, 1.0]]]
[['2, k, 0', [0.02920527, -0.04193707, 1.0]], ['2, k, 1', [0.02981148, 0.2092999, 1.0]], ['2, k, 2', [0.03143433, 0.4515889, 1.0]], ['2, k, 3', [0.05641764, 0.5855091, 1.0]], ['2, k, 4', [-0.1570782, 0.4266011, 1.0]], ['2, k, 5', [-0.2812507, 0.2321884, 1.0]], ['2, k, 6', [-0.2222887, 0.02975293, 1.0]], ['2, k, 7', [-0.2057158, -0.01248423, 1.0]], ['2, k, 8', [0.226963, 0.3809091, 1.0]], ['2, k, 9', [0.335581, 0.1917439, 1.0]], ['2, k, 10', [0.2575583, 0.002240957, 1.0]], ['2, k, 11', [0.2321224, -0.0411312, 1.0]], ['2, k, 12', [-0.04739476, -0.03795514, 1.0]], ['2, k, 13', [-0.1236468, -0.148441, 1.0]], ['2, k, 14', [-0.07617344, -0.5185819, 1.0]], ['2, k, 15', [-0.08532938, -0.5937543, 1.0]], ['2, k, 16', [0.1052376, -0.04412462, 1.0]], ['2, k, 17', [0.169299, -0.1990804, 1.0]], ['2, k, 18', [0.1145363, -0.5895083, 1.0]], ['2, k, 19', [0.1065296, -0.6471146, 1.0]], ['2, k, 20', [0.03100327, 0.3922244, 1.0]], ['2, k, 21', [-0.1686159, -0.08273959, 1.0]], ['2, k, 22', [-0.2200956, -0.0729031, 1.0]], ['2, k, 23', [0.2151948, -0.1060302, 1.0]], ['2, k, 24', [0.2782311, -0.003933389, 1.0]]]
