[['2, k, 0', [0.08733849, -0.4841992, 1.0]], ['2, k, 1', [0.1149883, -0.2548018, 1.0]], ['2, k, 2', [0.1409046, -0.02934658, 1.0]], ['2, k, 3', [0.1568672, 0.1080557, 1.0]], ['2, k, 4', [-0.0249321, -0.09973835, 1.0]], ['2, k, 5', [-0.04200578, -0.2617341, 1.0]], ['2, k, 6', [0.1325006, -0.3346117, 1.0]], ['2, k, 7', [0.1852187, -0.3699279, 1.0]], ['2, k, 8', [0.3071909, -0.1371363, 1.0]], ['2, k, 9', [0.3687723, -0.3252282, 1.0]], ['2, k, 10', [0.3025299, -0.3451619, 1.0]], ['2, k, 11', [0.2902831, -0.3463038, 1.0]], ['2, k, 12', [0.008467517, -0.4614974, 1.0]], ['2, k, 13', [-0.04757056, -0.5197145, 1.0]], ['2, k, 14', [-0.04333458, -0.9061838, 1.0]], ['2, k, 15', [-0.01886752, -0.9416407, 1.0]], ['2, k, 16', [0.1639473, -0.4941387, 1.0]], ['2, k, 17', [0.2346947, -0.5234644, 1.0]], ['2, k, 18', [0.2132526, -0.9305183, 1.0]], ['2, k, 19', [0.2340099, -0.9659543, 1.0]], ['2, k, 20', [0.1345049, -0.08521967, 1.0]], ['2, k, 21', [0.2502891, -0.4091922, 1.0]], ['2, k, 22', [0.2462778, -0.3329504, 1.0]], ['2, k, 23', [0.280898, -0.3531312, 1.0]], ['2, k, 24', [0.2634299, -0.2879826, 1.0]]]
[['2, k, 0', [0.08766991, -0.4842746, 1.0]], ['2, k, 1', [0.1152536, -0.2549093, 1.0]], ['2, k, 2', [0.1411235, -0.02952151, 1.0]], ['2, k, 3', [0.1571111, 0.1080401, 1.0]], ['2, k, 4', [-0.02402095, -0.0992586, 1.0]], ['2, k, 5', [-0.04201326, -0.2610894, 1.0]], ['2, k, 6', [0.1321429, -0.3344449, 1.0]], ['2, k, 7', [0.184705, -0.3697475, 1.0]], ['2, k, 8', [0.3073321, -0.1374983, 1.0]], ['2, k, 9', [0.3629969, -0.3267099, 1.0]], ['2, k, 10', [0.3059441, -0.3362018, 1.0]], ['2, k, 11', [0.285364, -0.3509258, 1.0]], ['2, k, 12', [0.008731066, -0.4615614, 1.0]], ['2, k, 13', [-0.04753885, -0.5197151, 1.0]], ['2, k, 14', [-0.04326409, -0.9053956, 1.0]], ['2, k, 15', [-0.01913808, -0.9409084, 1.0]], ['2, k, 16', [0.1643341, -0.4942187, 1.0]], ['2, k, 17', [0.2347575, -0.523452, 1.0]], ['2, k, 18', [0.2134852, -0.9305442, 1.0]], ['2, k, 19', [0.2338988, -0.9660381, 1.0]], ['2, k, 20', [0.1347437, -0.08537746, 1.0]], ['2, k, 21', [0.2496519, -0.4103728, 1.0]], ['2, k, 22', [0.2509726, -0.3354052, 1.0]], ['2, k, 23', [0.2746285, -0.3497012, 1.0]], ['2, k, 24', [0.3075279, -0.3209285, 1.0]]]
[['2, k, 0', [0.08815382, -0.4847567, 1.0]], ['2, k, 1', [0.115404, -0.2550819, 1.0]], ['2, k, 2', [0.1411657, -0.02960189, 1.0]], ['2, k, 3', [0.1574302, 0.1079445, 1.0]], ['2, k, 4', [-0.02328825, -0.09886541, 1.0]], ['2, k, 5', [-0.04187351, -0.2604795, 1.0]], ['2, k, 6', [0.1316765, -0.3352398, 1.0]], ['2, k, 7', [0.1837754, -0.3701613, 1.0]], ['2, k, 8', [0.307145, -0.1375826, 1.0]], ['2, k, 9', [0.3506854, -0.3097498, 1.0]], ['2, k, 10', [0.2911119, -0.3795337, 1.0]], ['2, k, 11', [0.2779998, -0.3589827, 1.0]], ['2, k, 12', [0.009391936, -0.4622472, 1.0]], ['2, k, 13', [-0.04752195, -0.5197155, 1.0]], ['2, k, 14', [-0.04288404, -0.9056444, 1.0]], ['2, k, 15', [-0.01906036, -0.9411648, 1.0]], ['2, k, 16', [0.1646547, -0.4945261, 1.0]], ['2, k, 17', [0.2347776, -0.5234091, 1.0]], ['2, k, 18', [0.213518, -0.9303378, 1.0]], ['2, k, 19', [0.2336341, -0.9658421, 1.0]], ['2, k, 20', [0.1348072, -0.08546808, 1.0]], ['2, k, 21', [0.248564, -0.4118584, 1.0]], ['2, k, 22', [0.249799, -0.3359489, 1.0]], ['2, k, 23', [0.2762137, -0.3460429, 1.0]], ['2, k, 24', [0.2742575, -0.3024305, 1.0]]]
[['2, k, 0', [0.08795781, -0.48424, 1.0]], ['2, k, 1', [0.1153831, -0.2548846, 1.0]], ['2, k, 2', [0.1412678, -0.02965689, 1.0]], ['2, k, 3', [0.1582803, 0.1076095, 1.0]], ['2, k, 4', [-0.0228757, -0.09880287, 1.0]], ['2, k, 5', [-0.04196736, -0.2602694, 1.0]], ['2, k, 6', [0.1314624, -0.3349846, 1.0]], ['2, k, 7', [0.1827988, -0.3691183, 1.0]], ['2, k, 8', [0.3081783, -0.1377316, 1.0]], ['2, k, 9', [0.3577749, -0.3351923, 1.0]], ['2, k, 10', [0.2880864, -0.3418997, 1.0]], ['2, k, 11', [0.2807947, -0.3372729, 1.0]], ['2, k, 12', [0.008964716, -0.4615511, 1.0]], ['2, k, 13', [-0.04733781, -0.5198446, 1.0]], ['2, k, 14', [-0.04270534, -0.9053632, 1.0]], ['2, k, 15', [-0.01915866, -0.9409418, 1.0]], ['2, k, 16', [0.1646389, -0.4941215, 1.0]], ['2, k, 17', [0.2347986, -0.5233725, 1.0]], ['2, k, 18', [0.2135188, -0.9300802, 1.0]], ['2, k, 19', [0.2333598, -0.9656465, 1.0]], ['2, k, 20', [0.1348969, -0.0854736, 1.0]], ['2, k, 21', [0.2480688, -0.408233, 1.0]], ['2, k, 22', [0.2487954, -0.3362556, 1.0]], ['2, k, 23', [0.2692916, -0.3438958, 1.0]], ['2, k, 24', [0.2591414, -0.2831159, 1.0]]]
[['2, k, 0', [0.08789857, -0.4841345, 1.0]], ['2, k, 1', [0.1153975, -0.2548834, 1.0]], ['2, k, 2', [0.14148, -0.02985364, 1.0]], ['2, k, 3', [0.1587756, 0.107604, 1.0]], ['2, k, 4', [-0.02242879, -0.09885075, 1.0]], ['2, k, 5', [-0.04221046, -0.260213, 1.0]], ['2, k, 6', [0.1387091, -0.3372421, 1.0]], ['2, k, 7', [0.1871098, -0.3737749, 1.0]], ['2, k, 8', [0.3079945, -0.138034, 1.0]], ['2, k, 9', [0.3547311, -0.3078086, 1.0]], ['2, k, 10', [0.3361236, -0.366562, 1.0]], ['2, k, 11', [0.2797335, -0.3453006, 1.0]], ['2, k, 12', [0.008643078, -0.4612268, 1.0]], ['2, k, 13', [-0.04733813, -0.5198509, 1.0]], ['2, k, 14', [-0.04265212, -0.9052684, 1.0]], ['2, k, 15', [-0.01930383, -0.9408612, 1.0]], ['2, k, 16', [0.1646714, -0.4940959, 1.0]], ['2, k, 17', [0.2348209, -0.5233332, 1.0]], ['2, k, 18', [0.2135662, -0.9299772, 1.0]], ['2, k, 19', [0.2332089, -0.9655585, 1.0]], ['2, k, 20', [0.135042, -0.08559047, 1.0]], ['2, k, 21', [0.2501666, -0.4002563, 1.0]], ['2, k, 22', [0.2329293, -0.3259802, 1.0]], ['2, k, 23', [0.2684602, -0.3397402, 1.0]], ['2, k, 24', [0.2545251, -0.2821443, 1.0]]]
[['2, k, 0', [0.09026614, -0.4824041, 1.0]], ['2, k, 1', [0.1163472, -0.254538, 1.0]], ['2, k, 2', [0.1418044, -0.03011297, 1.0]], ['2, k, 3', [0.1591073, 0.1075307, 1.0]], ['2, k, 4', [-0.02244292, -0.09890833, 1.0]], ['2, k, 5', [-0.04238554, -0.2600916, 1.0]], ['2, k, 6', [0.138219, -0.3372939, 1.0]], ['2, k, 7', [0.1863083, -0.3732696, 1.0]], ['2, k, 8', [0.3077527, -0.1379966, 1.0]], ['2, k, 9', [0.3577945, -0.3253115, 1.0]], ['2, k, 10', [0.2918828, -0.3380465, 1.0]], ['2, k, 11', [0.277164, -0.332931, 1.0]], ['2, k, 12', [0.009690665, -0.4599664, 1.0]], ['2, k, 13', [-0.04728984, -0.5200433, 1.0]], ['2, k, 14', [-0.04255417, -0.9054022, 1.0]], ['2, k, 15', [-0.01935547, -0.9411632, 1.0]], ['2, k, 16', [0.1689211, -0.4918925, 1.0]], ['2, k, 17', [0.2348235, -0.5232643, 1.0]], ['2, k, 18', [0.2136343, -0.9300382, 1.0]], ['2, k, 19', [0.2331277, -0.9657918, 1.0]], ['2, k, 20', [0.1354629, -0.08573683, 1.0]], ['2, k, 21', [0.2507509, -0.4159637, 1.0]], ['2, k, 22', [0.252093, -0.3349321, 1.0]], ['2, k, 23', [0.2659234, -0.3357224, 1.0]], ['2, k, 24', [0.2506029, -0.2721804, 1.0]]]
[['2, k, 0', [0.0901282, -0.4816216, 1.0]], ['2, k, 1', [0.1163664, -0.2543481, 1.0]], ['2, k, 2', [0.1418521, -0.03021238, 1.0]], ['2, k, 3', [0.1595053, 0.1076496, 1.0]], ['2, k, 4', [-0.02229909, -0.09891681, 1.0]], ['2, k, 5', [-0.04256476, -0.2600811, 1.0]], ['2, k, 6', [0.1374032, -0.3378015, 1.0]], ['2, k, 7', [0.1865195, -0.3734372, 1.0]], ['2, k, 8', [0.3079006, -0.1378263, 1.0]], ['2, k, 9', [0.3561514, -0.3081951, 1.0]], ['2, k, 10', [0.329244, -0.3608561, 1.0]], ['2, k, 11', [0.2755921, -0.3333361, 1.0]], ['2, k, 12', [0.009472705, -0.45903, 1.0]], ['2, k, 13', [-0.04731644, -0.5200843, 1.0]], ['2, k, 14', [-0.0425708, -0.9049565, 1.0]], ['2, k, 15', [-0.0194972, -0.9407997, 1.0]], ['2, k, 16', [0.1687955, -0.4912949, 1.0]], ['2, k, 17', [0.234771, -0.52316, 1.0]], ['2, k, 18', [0.2134846, -0.9302707, 1.0]], ['2, k, 19', [0.2328555, -0.9661031, 1.0]], ['2, k, 20', [0.1355011, -0.08577216, 1.0]], ['2, k, 21', [0.2538403, -0.4164996, 1.0]], ['2, k, 22', [0.2527771, -0.3367724, 1.0]], ['2, k, 23', [0.2643358, -0.332273, 1.0]], ['2, k, 24', [0.2625432, -0.2886679, 1.0]]]
[['2, k, 0', [0.09140345, -0.4808773, 1.0]], ['2, k, 1', [0.1169211, -0.2541187, 1.0]], ['2, k, 2', [0.1420064, -0.03034444, 1.0]], ['2, k, 3', [0.1597708, 0.1076593, 1.0]], ['2, k, 4', [-0.02234879, -0.0990266, 1.0]], ['2, k, 5', [-0.04424104, -0.2601861, 1.0]], ['2, k, 6', [0.08960613, -0.3868171, 1.0]], ['2, k, 7', [0.1231087, -0.3730494, 1.0]], ['2, k, 8', [0.3077995, -0.1377805, 1.0]], ['2, k, 9', [0.3418943, -0.3102639, 1.0]], ['2, k, 10', [0.296865, -0.3465895, 1.0]], ['2, k, 11', [0.2728302, -0.3267271, 1.0]], ['2, k, 12', [0.01019239, -0.4584995, 1.0]], ['2, k, 13', [-0.04731304, -0.520087, 1.0]], ['2, k, 14', [-0.04256501, -0.9048188, 1.0]], ['2, k, 15', [-0.01963646, -0.9407018, 1.0]], ['2, k, 16', [0.1705978, -0.4903977, 1.0]], ['2, k, 17', [0.2347587, -0.5231279, 1.0]], ['2, k, 18', [0.2134617, -0.9302734, 1.0]], ['2, k, 19', [0.2326877, -0.9661446, 1.0]], ['2, k, 20', [0.1357381, -0.08583298, 1.0]], ['2, k, 21', [0.1918583, -0.4184894, 1.0]], ['2, k, 22', [0.163948, -0.3208471, 1.0]], ['2, k, 23', [0.2601904, -0.3285352, 1.0]], ['2, k, 24', [0.2926652, -0.3009254, 1.0]]]
[['2, k, 0', [0.09289274, -0.4800825, 1.0]], ['2, k, 1', [0.1176684, -0.253908, 1.0]], ['2, k, 2', [0.142259, -0.03059155, 1.0]], ['2, k, 3', [0.1602577, 0.1074484, 1.0]], ['2, k, 4', [-0.02233791, -0.09905235, 1.0]], ['2, k, 5', [-0.04492965, -0.2604386, 1.0]], ['2, k, 6', [0.1202004, -0.3434986, 1.0]], ['2, k, 7', [0.1693211, -0.3834924, 1.0]], ['2, k, 8', [0.3078463, -0.137753, 1.0]], ['2, k, 9', [0.3474279, -0.310924, 1.0]], ['2, k, 10', [0.3003117, -0.3227194, 1.0]], ['2, k, 11', [0.2713841, -0.3239333, 1.0]], ['2, k, 12', [0.0112817, -0.4578436, 1.0]], ['2, k, 13', [-0.04732315, -0.5202876, 1.0]], ['2, k, 14', [-0.0431352, -0.9034469, 1.0]], ['2, k, 15', [-0.02021214, -0.9394014, 1.0]], ['2, k, 16', [0.1723411, -0.4895415, 1.0]], ['2, k, 17', [0.2347084, -0.5230394, 1.0]], ['2, k, 18', [0.2133928, -0.9304998, 1.0]], ['2, k, 19', [0.2326056, -0.9664339, 1.0]], ['2, k, 20', [0.1360932, -0.08598216, 1.0]], ['2, k, 21', [0.2327869, -0.420692, 1.0]], ['2, k, 22', [0.2187578, -0.3351448, 1.0]], ['2, k, 23', [0.2630304, -0.3206961, 1.0]], ['2, k, 24', [0.2920414, -0.2973385, 1.0]]]
[['2, k, 0', [0.09379762, -0.4795301, 1.0]], ['2, k, 1', [0.118351, -0.2536233, 1.0]], ['2, k, 2', [0.142588, -0.03066781, 1.0]], ['2, k, 3', [0.1603347, 0.1073841, 1.0]], ['2, k, 4', [-0.02227468, -0.09881084, 1.0]], ['2, k, 5', [-0.04624993, -0.260321, 1.0]], ['2, k, 6', [0.09934931, -0.367025, 1.0]], ['2, k, 7', [0.153988, -0.3946772, 1.0]], ['2, k, 8', [0.3080672, -0.1379594, 1.0]], ['2, k, 9', [0.3501055, -0.3084078, 1.0]], ['2, k, 10', [0.3007981, -0.3214709, 1.0]], ['2, k, 11', [0.271968, -0.3189476, 1.0]], ['2, k, 12', [0.01219279, -0.4570319, 1.0]], ['2, k, 13', [-0.04734815, -0.5202864, 1.0]], ['2, k, 14', [-0.04323792, -0.9031891, 1.0]], ['2, k, 15', [-0.020348, -0.9392033, 1.0]], ['2, k, 16', [0.1731976, -0.4892113, 1.0]], ['2, k, 17', [0.2346867, -0.5230429, 1.0]], ['2, k, 18', [0.2137184, -0.9308495, 1.0]], ['2, k, 19', [0.2328923, -0.9668416, 1.0]], ['2, k, 20', [0.1365166, -0.08598395, 1.0]], ['2, k, 21', [0.2217699, -0.4242263, 1.0]], ['2, k, 22', [0.201427, -0.3290054, 1.0]], ['2, k, 23', [0.2589431, -0.3148607, 1.0]], ['2, k, 24', [0.2656934, -0.2890334, 1.0]]]
[['2, k, 0', [0.09449963, -0.4793305, 1.0]], ['2, k, 1', [0.1189329, -0.2535277, 1.0]], ['2, k, 2', [0.1429401, -0.03080634, 1.0]], ['2, k, 3', [0.1605546, 0.1074419, 1.0]], ['2, k, 4', [-0.02209656, -0.09894229, 1.0]], ['2, k, 5', [-0.04768923, -0.2609883, 1.0]], ['2, k, 6', [0.1146174, -0.3497973, 1.0]], ['2, k, 7', [0.1678537, -0.3822024, 1.0]], ['2, k, 8', [0.3080868, -0.1379999, 1.0]], ['2, k, 9', [0.350692, -0.3082778, 1.0]], ['2, k, 10', [0.2964821, -0.3319085, 1.0]], ['2, k, 11', [0.274494, -0.3116453, 1.0]], ['2, k, 12', [0.01263379, -0.4568632, 1.0]], ['2, k, 13', [-0.04736632, -0.5201901, 1.0]], ['2, k, 14', [-0.04322374, -0.9031299, 1.0]], ['2, k, 15', [-0.02040731, -0.9391815, 1.0]], ['2, k, 16', [0.1741353, -0.4890099, 1.0]], ['2, k, 17', [0.2346461, -0.5228997, 1.0]], ['2, k, 18', [0.2136351, -0.9306195, 1.0]], ['2, k, 19', [0.2327364, -0.9666505, 1.0]], ['2, k, 20', [0.1369402, -0.08606426, 1.0]], ['2, k, 21', [0.235051, -0.4154897, 1.0]], ['2, k, 22', [0.2106026, -0.3338686, 1.0]], ['2, k, 23', [0.266454, -0.306654, 1.0]], ['2, k, 24', [0.3056945, -0.2955282, 1.0]]]
