[['2, k, 0', [-0.4323968, 0.009324869, 1.0]], ['2, k, 1', [-0.4388397, 0.302359, 1.0]], ['2, k, 2', [-0.4441147, 0.5858672, 1.0]], ['2, k, 3', [-0.453214, 0.7128099, 1.0]], ['2, k, 4', [-0.6122437, 0.4959933, 1.0]], ['2, k, 5', [-0.6813629, 0.2614751, 1.0]], ['2, k, 6', [-0.6351021, 0.04177187, 1.0]], ['2, k, 7', [-0.6243739, -0.01876846, 1.0]], ['2, k, 8', [-0.2623823, 0.5168933, 1.0]], ['2, k, 9', [-0.1443913, 0.3123117, 1.0]], ['2, k, 10', [-0.032025, 0.1329346, 1.0]], ['2, k, 11', [-0.006454293, 0.0761029, 1.0]], ['2, k, 12', [-0.50828, 0.004479602, 1.0]], ['2, k, 13', [-0.4866926, -0.3574467, 1.0]], ['2, k, 14', [-0.4704877, -0.6634525, 1.0]], ['2, k, 15', [-0.4930406, -0.7275459, 1.0]], ['2, k, 16', [-0.3431613, 0.01398023, 1.0]], ['2, k, 17', [-0.3151247, -0.3618503, 1.0]], ['2, k, 18', [-0.3034228, -0.6484439, 1.0]], ['2, k, 19', [-0.2875857, -0.7040949, 1.0]], ['2, k, 20', [-0.4432338, 0.5164203, 1.0]], ['2, k, 21', [-0.6060372, -0.1061471, 1.0]], ['2, k, 22', [-0.5977564, 0.01005106, 1.0]], ['2, k, 23', [0.03507611, 0.02454817, 1.0]], ['2, k, 24', [0.009895625, 0.01879819, 1.0]]]
[['2, k, 0', [-0.4340297, 0.009859099, 1.0]], ['2, k, 1', [-0.4397067, 0.3027325, 1.0]], ['2, k, 2', [-0.444245, 0.5860773, 1.0]], ['2, k, 3', [-0.4523956, 0.7132432, 1.0]], ['2, k, 4', [-0.6121446, 0.4962581, 1.0]], ['2, k, 5', [-0.6807486, 0.261456, 1.0]], ['2, k, 6', [-0.6352809, 0.04217844, 1.0]], ['2, k, 7', [-0.6227897, -0.01927185, 1.0]], ['2, k, 8', [-0.2623406, 0.51685, 1.0]], ['2, k, 9', [-0.1443811, 0.312293, 1.0]], ['2, k, 10', [-0.03194593, 0.1329878, 1.0]], ['2, k, 11', [-0.02059026, 0.09874764, 1.0]], ['2, k, 12', [-0.5097655, 0.004761221, 1.0]], ['2, k, 13', [-0.4886173, -0.3565955, 1.0]], ['2, k, 14', [-0.4709202, -0.6650231, 1.0]], ['2, k, 15', [-0.4927478, -0.7273283, 1.0]], ['2, k, 16', [-0.3448817, 0.0147568, 1.0]], ['2, k, 17', [-0.3196909, -0.3609441, 1.0]], ['2, k, 18', [-0.3117106, -0.6492085, 1.0]], ['2, k, 19', [-0.3024373, -0.7104608, 1.0]], ['2, k, 20', [-0.4435332, 0.5166677, 1.0]], ['2, k, 21', [-0.6032766, -0.1060481, 1.0]], ['2, k, 22', [-0.5932685, 0.007331185, 1.0]], ['2, k, 23', [0.04089089, -0.0060472, 1.0]], ['2, k, 24', [-0.02726661, 0.05850688, 1.0]]]
[['2, k, 0', [-0.4352915, 0.01017956, 1.0]], ['2, k, 1', [-0.4403265, 0.3030696, 1.0]], ['2, k, 2', [-0.443967, 0.5864356, 1.0]], ['2, k, 3', [-0.4514418, 0.7138301, 1.0]], ['2, k, 4', [-0.6121072, 0.4963234, 1.0]], ['2, k, 5', [-0.6807645, 0.2611773, 1.0]], ['2, k, 6', [-0.6352948, 0.04231165, 1.0]], ['2, k, 7', [-0.6205602, -0.01739226, 1.0]], ['2, k, 8', [-0.2623222, 0.5166076, 1.0]], ['2, k, 9', [-0.1444023, 0.3124363, 1.0]], ['2, k, 10', [-0.03205277, 0.1331005, 1.0]], ['2, k, 11', [-0.02035434, 0.09909306, 1.0]], ['2, k, 12', [-0.5112486, 0.004906834, 1.0]], ['2, k, 13', [-0.4900783, -0.3562427, 1.0]], ['2, k, 14', [-0.4716315, -0.668211, 1.0]], ['2, k, 15', [-0.4932505, -0.7276203, 1.0]], ['2, k, 16', [-0.3459067, 0.01520042, 1.0]], ['2, k, 17', [-0.327949, -0.3601269, 1.0]], ['2, k, 18', [-0.3183471, -0.653394, 1.0]], ['2, k, 19', [-0.3142676, -0.7136017, 1.0]], ['2, k, 20', [-0.4435281, 0.5170247, 1.0]], ['2, k, 21', [-0.6008508, -0.1018582, 1.0]], ['2, k, 22', [-0.5930901, 0.01696465, 1.0]], ['2, k, 23', [0.04357749, -0.00601871, 1.0]], ['2, k, 24', [-0.02780291, 0.06064967, 1.0]]]
[['2, k, 0', [-0.4365803, 0.01077346, 1.0]], ['2, k, 1', [-0.4409251, 0.3035378, 1.0]], ['2, k, 2', [-0.443949, 0.5868185, 1.0]], ['2, k, 3', [-0.4510261, 0.7142283, 1.0]], ['2, k, 4', [-0.6117745, 0.496545, 1.0]], ['2, k, 5', [-0.6803996, 0.2608522, 1.0]], ['2, k, 6', [-0.6352773, 0.04249068, 1.0]], ['2, k, 7', [-0.6193128, -0.0190242, 1.0]], ['2, k, 8', [-0.2623097, 0.516443, 1.0]], ['2, k, 9', [-0.1448421, 0.3125836, 1.0]], ['2, k, 10', [-0.03241081, 0.1332685, 1.0]], ['2, k, 11', [-0.020609, 0.09926332, 1.0]], ['2, k, 12', [-0.5125659, 0.005405543, 1.0]], ['2, k, 13', [-0.4927951, -0.354613, 1.0]], ['2, k, 14', [-0.4713469, -0.6686628, 1.0]], ['2, k, 15', [-0.4916552, -0.7274891, 1.0]], ['2, k, 16', [-0.3471006, 0.01585388, 1.0]], ['2, k, 17', [-0.33368, -0.3604071, 1.0]], ['2, k, 18', [-0.3233568, -0.6528434, 1.0]], ['2, k, 19', [-0.3227754, -0.7144083, 1.0]], ['2, k, 20', [-0.4436583, 0.5174212, 1.0]], ['2, k, 21', [-0.5998918, -0.1021352, 1.0]], ['2, k, 22', [-0.5951332, 0.02048294, 1.0]], ['2, k, 23', [0.02767594, 0.01766326, 1.0]], ['2, k, 24', [-0.0253925, 0.05919528, 1.0]]]
[['2, k, 0', [-0.438163, 0.0112628, 1.0]], ['2, k, 1', [-0.4413869, 0.303931, 1.0]], ['2, k, 2', [-0.4431121, 0.5872653, 1.0]], ['2, k, 3', [-0.4501756, 0.7146512, 1.0]], ['2, k, 4', [-0.6117251, 0.4968615, 1.0]], ['2, k, 5', [-0.6798848, 0.2607045, 1.0]], ['2, k, 6', [-0.6352659, 0.04255723, 1.0]], ['2, k, 7', [-0.6191961, -0.01784129, 1.0]], ['2, k, 8', [-0.2617189, 0.5165488, 1.0]], ['2, k, 9', [-0.144635, 0.3123159, 1.0]], ['2, k, 10', [-0.03248652, 0.1328004, 1.0]], ['2, k, 11', [-0.02078911, 0.09793197, 1.0]], ['2, k, 12', [-0.5142953, 0.005853886, 1.0]], ['2, k, 13', [-0.4950112, -0.3535497, 1.0]], ['2, k, 14', [-0.4712117, -0.669145, 1.0]], ['2, k, 15', [-0.4918053, -0.7279005, 1.0]], ['2, k, 16', [-0.3484772, 0.01635339, 1.0]], ['2, k, 17', [-0.338143, -0.3600404, 1.0]], ['2, k, 18', [-0.3281184, -0.6544654, 1.0]], ['2, k, 19', [-0.325083, -0.7146217, 1.0]], ['2, k, 20', [-0.443249, 0.5178577, 1.0]], ['2, k, 21', [-0.5958322, -0.0973922, 1.0]], ['2, k, 22', [-0.5920044, 0.01486102, 1.0]], ['2, k, 23', [0.04074933, -0.006027277, 1.0]], ['2, k, 24', [-0.03317553, 0.06679803, 1.0]]]
[['2, k, 0', [-0.4392816, 0.01155582, 1.0]], ['2, k, 1', [-0.4419165, 0.3041434, 1.0]], ['2, k, 2', [-0.4430252, 0.5873635, 1.0]], ['2, k, 3', [-0.4493757, 0.7151351, 1.0]], ['2, k, 4', [-0.6114913, 0.4969697, 1.0]], ['2, k, 5', [-0.6796613, 0.2605834, 1.0]], ['2, k, 6', [-0.6352389, 0.04256866, 1.0]], ['2, k, 7', [-0.6171057, -0.01616643, 1.0]], ['2, k, 8', [-0.2618189, 0.5168267, 1.0]], ['2, k, 9', [-0.1451772, 0.3125348, 1.0]], ['2, k, 10', [-0.03266864, 0.1332155, 1.0]], ['2, k, 11', [-0.02148985, 0.1002999, 1.0]], ['2, k, 12', [-0.5154923, 0.006074649, 1.0]], ['2, k, 13', [-0.4969966, -0.3529827, 1.0]], ['2, k, 14', [-0.4721979, -0.6698503, 1.0]], ['2, k, 15', [-0.4916272, -0.7284685, 1.0]], ['2, k, 16', [-0.349477, 0.01669971, 1.0]], ['2, k, 17', [-0.3447893, -0.3601827, 1.0]], ['2, k, 18', [-0.3336408, -0.6579546, 1.0]], ['2, k, 19', [-0.3274385, -0.7145549, 1.0]], ['2, k, 20', [-0.4433238, 0.5179935, 1.0]], ['2, k, 21', [-0.5977669, -0.1017145, 1.0]], ['2, k, 22', [-0.5882051, -0.0109179, 1.0]], ['2, k, 23', [0.03245122, 0.02249454, 1.0]], ['2, k, 24', [0.01660589, 0.0150489, 1.0]]]
[['2, k, 0', [-0.4405182, 0.01193359, 1.0]], ['2, k, 1', [-0.4424969, 0.3044929, 1.0]], ['2, k, 2', [-0.4430636, 0.587718, 1.0]], ['2, k, 3', [-0.4484614, 0.7157544, 1.0]], ['2, k, 4', [-0.611261, 0.4971306, 1.0]], ['2, k, 5', [-0.679479, 0.2605045, 1.0]], ['2, k, 6', [-0.635224, 0.04279615, 1.0]], ['2, k, 7', [-0.6170431, -0.01590381, 1.0]], ['2, k, 8', [-0.261947, 0.5170456, 1.0]], ['2, k, 9', [-0.1452224, 0.3122596, 1.0]], ['2, k, 10', [-0.03256628, 0.132942, 1.0]], ['2, k, 11', [-0.0210809, 0.09756928, 1.0]], ['2, k, 12', [-0.5168282, 0.006356316, 1.0]], ['2, k, 13', [-0.4987513, -0.3528043, 1.0]], ['2, k, 14', [-0.4726785, -0.6705631, 1.0]], ['2, k, 15', [-0.4916636, -0.7286302, 1.0]], ['2, k, 16', [-0.3505965, 0.01715772, 1.0]], ['2, k, 17', [-0.347771, -0.3603206, 1.0]], ['2, k, 18', [-0.3341211, -0.6565663, 1.0]], ['2, k, 19', [-0.3284661, -0.7142918, 1.0]], ['2, k, 20', [-0.443492, 0.5183431, 1.0]], ['2, k, 21', [-0.5991679, -0.09774981, 1.0]], ['2, k, 22', [-0.5857967, 0.01530948, 1.0]], ['2, k, 23', [0.03595348, -0.002202774, 1.0]], ['2, k, 24', [-0.02400159, 0.05330914, 1.0]]]
[['2, k, 0', [-0.4411781, 0.01220287, 1.0]], ['2, k, 1', [-0.4428284, 0.3048777, 1.0]], ['2, k, 2', [-0.4426536, 0.5882528, 1.0]], ['2, k, 3', [-0.4474355, 0.7163262, 1.0]], ['2, k, 4', [-0.6109565, 0.4974904, 1.0]], ['2, k, 5', [-0.6789611, 0.2605778, 1.0]], ['2, k, 6', [-0.6352437, 0.04298926, 1.0]], ['2, k, 7', [-0.6179721, -0.01584507, 1.0]], ['2, k, 8', [-0.2615278, 0.516652, 1.0]], ['2, k, 9', [-0.1453703, 0.312446, 1.0]], ['2, k, 10', [-0.03696368, 0.1307378, 1.0]], ['2, k, 11', [-0.02015631, 0.09741515, 1.0]], ['2, k, 12', [-0.517486, 0.006690778, 1.0]], ['2, k, 13', [-0.5000529, -0.3532007, 1.0]], ['2, k, 14', [-0.4721673, -0.6707291, 1.0]], ['2, k, 15', [-0.4919376, -0.7288706, 1.0]], ['2, k, 16', [-0.3512712, 0.0173672, 1.0]], ['2, k, 17', [-0.3495409, -0.3593226, 1.0]], ['2, k, 18', [-0.3334827, -0.6552441, 1.0]], ['2, k, 19', [-0.3267911, -0.7147062, 1.0]], ['2, k, 20', [-0.4433034, 0.5188508, 1.0]], ['2, k, 21', [-0.6001499, -0.09707499, 1.0]], ['2, k, 22', [-0.5866381, 0.0165867, 1.0]], ['2, k, 23', [0.03502869, 0.001167357, 1.0]], ['2, k, 24', [-0.03140326, 0.06089025, 1.0]]]
[['2, k, 0', [-0.4416127, 0.01246237, 1.0]], ['2, k, 1', [-0.443197, 0.3053195, 1.0]], ['2, k, 2', [-0.4426753, 0.5888206, 1.0]], ['2, k, 3', [-0.4465794, 0.7170337, 1.0]], ['2, k, 4', [-0.610028, 0.4982316, 1.0]], ['2, k, 5', [-0.6788881, 0.2607286, 1.0]], ['2, k, 6', [-0.6352318, 0.0430822, 1.0]], ['2, k, 7', [-0.6190921, -0.01561284, 1.0]], ['2, k, 8', [-0.261346, 0.5165962, 1.0]], ['2, k, 9', [-0.1457362, 0.31286, 1.0]], ['2, k, 10', [-0.03644429, 0.1317452, 1.0]], ['2, k, 11', [-0.02182518, 0.09858945, 1.0]], ['2, k, 12', [-0.5178461, 0.006886344, 1.0]], ['2, k, 13', [-0.5006166, -0.3538308, 1.0]], ['2, k, 14', [-0.4729229, -0.6718636, 1.0]], ['2, k, 15', [-0.4922539, -0.7293058, 1.0]], ['2, k, 16', [-0.3517996, 0.01771051, 1.0]], ['2, k, 17', [-0.3494149, -0.3598791, 1.0]], ['2, k, 18', [-0.332892, -0.6550785, 1.0]], ['2, k, 19', [-0.323362, -0.7140783, 1.0]], ['2, k, 20', [-0.4434129, 0.5193998, 1.0]], ['2, k, 21', [-0.6023142, -0.1015473, 1.0]], ['2, k, 22', [-0.586024, 0.01909691, 1.0]], ['2, k, 23', [0.02524051, 0.01935077, 1.0]], ['2, k, 24', [-0.03024794, 0.06519794, 1.0]]]
[['2, k, 0', [-0.4417624, 0.01256674, 1.0]], ['2, k, 1', [-0.4433778, 0.3056539, 1.0]], ['2, k, 2', [-0.4426904, 0.5893766, 1.0]], ['2, k, 3', [-0.4453115, 0.7179657, 1.0]], ['2, k, 4', [-0.6096342, 0.4988174, 1.0]], ['2, k, 5', [-0.678886, 0.2634856, 1.0]], ['2, k, 6', [-0.6353143, 0.04327271, 1.0]], ['2, k, 7', [-0.6191873, -0.01458691, 1.0]], ['2, k, 8', [-0.2613661, 0.5166568, 1.0]], ['2, k, 9', [-0.1466263, 0.3128147, 1.0]], ['2, k, 10', [-0.03615383, 0.1321739, 1.0]], ['2, k, 11', [-0.02015403, 0.0957423, 1.0]], ['2, k, 12', [-0.5179416, 0.006955938, 1.0]], ['2, k, 13', [-0.5012601, -0.3542136, 1.0]], ['2, k, 14', [-0.4729302, -0.6726324, 1.0]], ['2, k, 15', [-0.4928902, -0.7295624, 1.0]], ['2, k, 16', [-0.3520672, 0.01789521, 1.0]], ['2, k, 17', [-0.3483958, -0.360839, 1.0]], ['2, k, 18', [-0.326078, -0.651781, 1.0]], ['2, k, 19', [-0.3116088, -0.7120658, 1.0]], ['2, k, 20', [-0.4434643, 0.5199083, 1.0]], ['2, k, 21', [-0.6019261, -0.09700108, 1.0]], ['2, k, 22', [-0.5861605, 0.0127884, 1.0]], ['2, k, 23', [0.04358106, -0.006016809, 1.0]], ['2, k, 24', [-0.02971082, 0.0637773, 1.0]]]
[['2, k, 0', [-0.4417427, 0.01268653, 1.0]], ['2, k, 1', [-0.4432875, 0.3060797, 1.0]], ['2, k, 2', [-0.4423879, 0.590104, 1.0]], ['2, k, 3', [-0.4440474, 0.719328, 1.0]], ['2, k, 4', [-0.6090081, 0.4991613, 1.0]], ['2, k, 5', [-0.6788012, 0.2635102, 1.0]], ['2, k, 6', [-0.6357899, 0.04364187, 1.0]], ['2, k, 7', [-0.6211712, -0.01546955, 1.0]], ['2, k, 8', [-0.2611705, 0.5171226, 1.0]], ['2, k, 9', [-0.1471536, 0.3130249, 1.0]], ['2, k, 10', [-0.03628949, 0.1325263, 1.0]], ['2, k, 11', [-0.01965252, 0.09529673, 1.0]], ['2, k, 12', [-0.5178818, 0.007085307, 1.0]], ['2, k, 13', [-0.5017624, -0.3537545, 1.0]], ['2, k, 14', [-0.4729538, -0.672951, 1.0]], ['2, k, 15', [-0.4939634, -0.7296355, 1.0]], ['2, k, 16', [-0.3520601, 0.01806099, 1.0]], ['2, k, 17', [-0.3459798, -0.3620281, 1.0]], ['2, k, 18', [-0.3174872, -0.6541156, 1.0]], ['2, k, 19', [-0.2999458, -0.7103319, 1.0]], ['2, k, 20', [-0.4431966, 0.5205716, 1.0]], ['2, k, 21', [-0.6062543, -0.1012328, 1.0]], ['2, k, 22', [-0.582726, 0.002714479, 1.0]], ['2, k, 23', [0.04665896, -0.00604287, 1.0]], ['2, k, 24', [-0.0285686, 0.06075814, 1.0]]]
