[['2, k, 0', [-34.61232, 87.0821, 1.0]], ['2, k, 1', [-35.17557906171444, 117.23992891107719, 1.0]], ['2, k, 2', [-35.45830029006222, 139.97407800829382, 1.0]], ['2, k, 3', [-35.48029364755702, 146.4199725146249, 1.0]], ['2, k, 4', [-16.47542188084357, 137.39565513674333, 1.0]], ['2, k, 5', [3.032645651874663, 130.88081504660678, 1.0]], ['2, k, 6', [18.848873734182234, 147.35294916242427, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-50.087254512971604, 135.22836899390913, 1.0]], ['2, k, 9', [-76.36307702712432, 142.58798931045044, 1.0]], ['2, k, 10', [-80.00172786154589, 165.43365231790858, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-28.182299630060534, 86.69717268350195, 1.0]], ['2, k, 13', [-12.952936597351737, 50.38222666410587, 1.0]], ['2, k, 14', [-0.07604228168304239, 15.001935727642724, 1.0]], ['2, k, 15', [6.675319722805576, 11.664107953434524, 1.0]], ['2, k, 16', [-40.09016523964386, 87.20060166881781, 1.0]], ['2, k, 17', [-53.575541461701484, 51.18066089950299, 1.0]], ['2, k, 18', [-72.37627256685687, 14.962840101265165, 1.0]], ['2, k, 19', [-65.77396887759674, 11.508561083789198, 1.0]], ['2, k, 20', [-35.45830029006222, 139.97407800829382, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-34.62736, 87.08173333333333, 1.0]], ['2, k, 1', [-35.19172425979973, 117.2408962309178, 1.0]], ['2, k, 2', [-35.4733527986198, 139.97688410014504, 1.0]], ['2, k, 3', [-35.49523358359404, 146.4230914915944, 1.0]], ['2, k, 4', [-16.495665441014832, 137.39379131840155, 1.0]], ['2, k, 5', [3.007169402193636, 130.90488093248374, 1.0]], ['2, k, 6', [18.845645215947336, 147.3591371983057, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-50.14248167654859, 135.24662754755147, 1.0]], ['2, k, 9', [-76.35937228373824, 142.56975133100468, 1.0]], ['2, k, 10', [-79.99545865343397, 165.42873214327636, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-28.20541394411405, 86.69613242522428, 1.0]], ['2, k, 13', [-12.95063000887387, 50.41137244741122, 1.0]], ['2, k, 14', [-0.03995470724487937, 15.037277023550857, 1.0]], ['2, k, 15', [6.724689799787419, 11.700468221166837, 1.0]], ['2, k, 16', [-40.09788838657776, 87.19790230558847, 1.0]], ['2, k, 17', [-53.601144250541886, 51.18161869749273, 1.0]], ['2, k, 18', [-72.42112957826873, 14.984590978240242, 1.0]], ['2, k, 19', [-65.80954381722366, 11.530084893121456, 1.0]], ['2, k, 20', [-35.4733527986198, 139.97688410014504, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-34.63579, 87.07492400000001, 1.0]], ['2, k, 1', [-35.19873045535933, 117.23731625189366, 1.0]], ['2, k, 2', [-35.480275768355156, 139.97583683865906, 1.0]], ['2, k, 3', [-35.50223965210289, 146.42160719254824, 1.0]], ['2, k, 4', [-16.492232698157245, 137.36400023872335, 1.0]], ['2, k, 5', [3.0028607784314687, 130.941276516913, 1.0]], ['2, k, 6', [18.876574616258324, 147.35702785209386, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-50.114324829059534, 135.23403350780893, 1.0]], ['2, k, 9', [-76.39546729726719, 142.58806161161058, 1.0]], ['2, k, 10', [-79.98271486719369, 165.43117400928566, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-28.224066338693092, 86.68514320337079, 1.0]], ['2, k, 13', [-12.96679574598068, 50.43323989554695, 1.0]], ['2, k, 14', [-0.03594365419347234, 15.057447243723054, 1.0]], ['2, k, 15', [6.740731868162985, 11.719223616639969, 1.0]], ['2, k, 16', [-40.09923624638131, 87.1930101959089, 1.0]], ['2, k, 17', [-53.62367687795539, 51.17292289973585, 1.0]], ['2, k, 18', [-72.47504432440908, 14.997602472400082, 1.0]], ['2, k, 19', [-65.8544124465885, 11.541652895094135, 1.0]], ['2, k, 20', [-35.480275768355156, 139.97583683865906, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-34.63725, 87.05882399999999, 1.0]], ['2, k, 1', [-35.190092364286194, 117.21565669628265, 1.0]], ['2, k, 2', [-35.457432048325096, 139.94564216771155, 1.0]], ['2, k, 3', [-35.474162204574526, 146.3875549089518, 1.0]], ['2, k, 4', [-16.434644757543634, 137.28634116598658, 1.0]], ['2, k, 5', [3.028375774673183, 130.89802484076307, 1.0]], ['2, k, 6', [18.947405457431067, 147.2709803428102, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-50.04069310225211, 135.1799530165385, 1.0]], ['2, k, 9', [-76.34371494570959, 142.58957758497777, 1.0]], ['2, k, 10', [-79.89368297825038, 165.28966615134524, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-28.22970465510251, 86.6619585190942, 1.0]], ['2, k, 13', [-12.896466000579547, 50.42861962290389, 1.0]], ['2, k, 14', [0.009321349354189934, 15.087382623020183, 1.0]], ['2, k, 15', [6.796556901249727, 11.744991750708882, 1.0]], ['2, k, 16', [-40.09632980096913, 87.17684285094639, 1.0]], ['2, k, 17', [-53.604882316991926, 51.15716160073668, 1.0]], ['2, k, 18', [-72.52813434997648, 15.028075858457044, 1.0]], ['2, k, 19', [-65.90426430016107, 11.56531534219204, 1.0]], ['2, k, 20', [-35.457432048325096, 139.94564216771155, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-34.6298, 87.032958, 1.0]], ['2, k, 1', [-35.15187063655024, 117.18513428888724, 1.0]], ['2, k, 2', [-35.38570962049136, 139.90360521309591, 1.0]], ['2, k, 3', [-35.391753247378624, 146.34109176834238, 1.0]], ['2, k, 4', [-16.326706516189823, 137.22185099952324, 1.0]], ['2, k, 5', [3.1241409901455057, 130.87510395832513, 1.0]], ['2, k, 6', [19.10440194346153, 147.19013385106118, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-49.893424507893485, 135.1270603950782, 1.0]], ['2, k, 9', [-76.27756727997271, 142.61909501618106, 1.0]], ['2, k, 10', [-79.79639827197182, 165.19865647853223, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-28.228331965819482, 86.62511714361405, 1.0]], ['2, k, 13', [-12.76317490254589, 50.39708180757371, 1.0]], ['2, k, 14', [0.07913189560275136, 15.12599225494666, 1.0]], ['2, k, 15', [6.8812127248280355, 11.773981141647738, 1.0]], ['2, k, 16', [-40.07746986553707, 87.15097440926814, 1.0]], ['2, k, 17', [-53.453322485498276, 51.08106693328545, 1.0]], ['2, k, 18', [-72.52621369157973, 15.0773984065641, 1.0]], ['2, k, 19', [-65.90332582141261, 11.604706419086169, 1.0]], ['2, k, 20', [-35.38570962049136, 139.90360521309591, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-34.59673600000001, 86.983128, 1.0]], ['2, k, 1', [-35.07932916392869, 117.11952723047862, 1.0]], ['2, k, 2', [-35.272162657634176, 139.81566784731845, 1.0]], ['2, k, 3', [-35.265574119566296, 146.24538016916173, 1.0]], ['2, k, 4', [-16.17811720334768, 137.1827443648512, 1.0]], ['2, k, 5', [3.276999863038597, 130.8294762654817, 1.0]], ['2, k, 6', [19.35868203570184, 147.0315698292289, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-49.71209912533705, 135.08530923530205, 1.0]], ['2, k, 9', [-76.18179164637468, 142.67124175146077, 1.0]], ['2, k, 10', [-79.67541692547658, 165.12481327041854, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-28.199314513812002, 86.56419245640193, 1.0]], ['2, k, 13', [-12.48260771148678, 50.38624587164321, 1.0]], ['2, k, 14', [0.2574172854976631, 15.203534265868214, 1.0]], ['2, k, 15', [7.083231403500572, 11.836849729129925, 1.0]], ['2, k, 16', [-40.03379488647498, 87.09753246707386, 1.0]], ['2, k, 17', [-53.14283684716082, 50.91438919365032, 1.0]], ['2, k, 18', [-72.48482810113268, 15.164138887254843, 1.0]], ['2, k, 19', [-65.8682256579767, 11.677410874074234, 1.0]], ['2, k, 20', [-35.272162657634176, 139.81566784731845, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-34.539632000000005, 86.90025, 1.0]], ['2, k, 1', [-34.97588888655205, 117.00581747379317, 1.0]], ['2, k, 2', [-35.126460535809215, 139.6688880097083, 1.0]], ['2, k, 3', [-35.10723172332878, 146.08806116089542, 1.0]], ['2, k, 4', [-16.01727457287073, 137.1390642563724, 1.0]], ['2, k, 5', [3.4470262292607394, 130.7731080347159, 1.0]], ['2, k, 6', [19.64104131894723, 146.84488480440064, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-49.52177684720125, 135.0672526794377, 1.0]], ['2, k, 9', [-76.04240669196929, 142.70998049163862, 1.0]], ['2, k, 10', [-79.482859498734, 165.06238482840428, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-28.13939066988963, 86.47164280227153, 1.0]], ['2, k, 13', [-12.037988180474102, 50.476082252503296, 1.0]], ['2, k, 14', [0.5726479645273628, 15.34431276922566, 1.0]], ['2, k, 15', [7.422281343657391, 11.960890235469584, 1.0]], ['2, k, 16', [-39.975085814551115, 87.00682143766858, 1.0]], ['2, k, 17', [-52.70597162258962, 50.72918260537152, 1.0]], ['2, k, 18', [-72.41539310317025, 15.322784476166888, 1.0]], ['2, k, 19', [-65.81703584848337, 11.81873946000833, 1.0]], ['2, k, 20', [-35.126460535809215, 139.6688880097083, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-34.422399999999996, 86.773146, 1.0]], ['2, k, 1', [-34.848624021557335, 116.83841834472473, 1.0]], ['2, k, 2', [-34.98659402339133, 139.45974728778705, 1.0]], ['2, k, 3', [-34.96324350740955, 145.86567951566005, 1.0]], ['2, k, 4', [-15.859702186465636, 137.03943979050456, 1.0]], ['2, k, 5', [3.597425662614402, 130.7610998699139, 1.0]], ['2, k, 6', [19.92724123025539, 146.67957814880694, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-49.32147873198132, 135.0122888019819, 1.0]], ['2, k, 9', [-75.91664267150281, 142.75921362104106, 1.0]], ['2, k, 10', [-79.2257848638615, 165.0719462268015, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-28.024823483395135, 86.3435044980619, 1.0]], ['2, k, 13', [-11.296749523484959, 50.69551745079315, 1.0]], ['2, k, 14', [1.1880868625683956, 15.612406772079872, 1.0]], ['2, k, 15', [8.071374208114317, 12.220134131031042, 1.0]], ['2, k, 16', [-39.8899661526286, 86.86606040314601, 1.0]], ['2, k, 17', [-52.152573727951705, 50.4869569259203, 1.0]], ['2, k, 18', [-72.31924557685846, 15.479524549913101, 1.0]], ['2, k, 19', [-65.74911273618719, 11.960949842012035, 1.0]], ['2, k, 20', [-34.98659402339133, 139.45974728778705, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-34.17925, 86.562228, 1.0]], ['2, k, 1', [-34.58954142717074, 116.55614030447532, 1.0]], ['2, k, 2', [-34.71544159171684, 139.11417953156823, 1.0]], ['2, k, 3', [-34.68886789048754, 145.5005297283095, 1.0]], ['2, k, 4', [-15.578331005890014, 136.78457949699532, 1.0]], ['2, k, 5', [3.906702299516656, 130.69269893757973, 1.0]], ['2, k, 6', [20.32622760260943, 146.49691803966155, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-49.01152632900512, 134.8478124386925, 1.0]], ['2, k, 9', [-75.65538365480681, 142.66266628312388, 1.0]], ['2, k, 10', [-78.95209063829356, 164.95931339295134, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-27.78536853585871, 86.14129902993577, 1.0]], ['2, k, 13', [-10.515092038580608, 50.92914590843875, 1.0]], ['2, k, 14', [1.7261604643973882, 15.857555347077763, 1.0]], ['2, k, 15', [8.61950319087398, 12.45366270960048, 1.0]], ['2, k, 16', [-39.666049443873455, 86.64789809162218, 1.0]], ['2, k, 17', [-51.23376494472609, 50.078022075387004, 1.0]], ['2, k, 18', [-71.97013036962275, 15.549235079167374, 1.0]], ['2, k, 19', [-65.43267360029846, 12.013195930550333, 1.0]], ['2, k, 20', [-34.71544159171684, 139.11417953156823, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-33.861005999999996, 86.281682, 1.0]], ['2, k, 1', [-34.26707143679354, 116.1661626965178, 1.0]], ['2, k, 2', [-34.390448242842254, 138.63910801086465, 1.0]], ['2, k, 3', [-34.36352497393244, 145.00001749816764, 1.0]], ['2, k, 4', [-15.220441774711148, 136.34003953792052, 1.0]], ['2, k, 5', [4.270212380215291, 130.55230519554755, 1.0]], ['2, k, 6', [20.773081588816964, 146.2637437826203, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-48.64511701348364, 134.52520263314247, 1.0]], ['2, k, 9', [-75.24599995679274, 142.4044577115167, 1.0]], ['2, k, 10', [-78.52699910480608, 164.70299656540413, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-27.46890821618132, 85.88003652801349, 1.0]], ['2, k, 13', [-9.66803032652841, 51.239344269884604, 1.0]], ['2, k, 14', [2.3480416363096346, 16.13512133754307, 1.0]], ['2, k, 15', [9.232191248521204, 12.720753482802722, 1.0]], ['2, k, 16', [-39.37432444500591, 86.36383833717629, 1.0]], ['2, k, 17', [-50.20345930717431, 49.728806501486204, 1.0]], ['2, k, 18', [-71.63687990749787, 15.776269370327732, 1.0]], ['2, k, 19', [-65.14687491271407, 12.223799988768443, 1.0]], ['2, k, 20', [-34.390448242842254, 138.63910801086465, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-33.429658, 85.905286, 1.0]], ['2, k, 1', [-33.8527524025437, 115.68890470584928, 1.0]], ['2, k, 2', [-33.988957954170566, 138.08713169632162, 1.0]], ['2, k, 3', [-33.96594350064856, 144.42603124416613, 1.0]], ['2, k, 4', [-14.80939790378746, 135.89069107550984, 1.0]], ['2, k, 5', [4.6993901347763725, 130.36106269396663, 1.0]], ['2, k, 6', [21.346415983582926, 145.89033000319208, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-48.258306708005534, 134.13705447315226, 1.0]], ['2, k, 9', [-74.81402987224797, 142.07669551465204, 1.0]], ['2, k, 10', [-78.04514772321903, 164.37448364502367, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-27.05039282736012, 85.53166386338373, 1.0]], ['2, k, 13', [-8.716414862945104, 51.51422785168698, 1.0]], ['2, k, 14', [3.098482261798676, 16.373697933447325, 1.0]], ['2, k, 15', [9.989398433504824, 12.95279274058084, 1.0]], ['2, k, 16', [-38.9677416199287, 85.98005447177009, 1.0]], ['2, k, 17', [-49.16047080925675, 49.434268147002754, 1.0]], ['2, k, 18', [-71.33702076499505, 16.103433121229997, 1.0]], ['2, k, 19', [-64.89199567314134, 12.53523607789338, 1.0]], ['2, k, 20', [-33.988957954170566, 138.08713169632162, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
