[['2, k, 0', [-0.1677864, 0.216693, 1.0]], ['2, k, 1', [-0.1681118, 0.4936173, 1.0]], ['2, k, 2', [-0.1684576, 0.762454, 1.0]], ['2, k, 3', [-0.1548437, 0.9133788, 1.0]], ['2, k, 4', [-0.3113799, 0.6458611, 1.0]], ['2, k, 5', [-0.3787192, 0.3893383, 1.0]], ['2, k, 6', [-0.4046682, 0.5684477, 1.0]], ['2, k, 7', [-0.3687707, 0.6280965, 1.0]], ['2, k, 8', [0.01226654, 0.6290468, 1.0]], ['2, k, 9', [0.03268111, 0.3715544, 1.0]], ['2, k, 10', [0.04525542, 0.1242293, 1.0]], ['2, k, 11', [0.02957841, 0.05769169, 1.0]], ['2, k, 12', [-0.2310662, 0.2156022, 1.0]], ['2, k, 13', [-0.2620886, -0.2164587, 1.0]], ['2, k, 14', [-0.2407917, -0.5306925, 1.0]], ['2, k, 15', [-0.2353975, -0.6185379, 1.0]], ['2, k, 16', [-0.1004806, 0.2123501, 1.0]], ['2, k, 17', [-0.09618901, -0.2256092, 1.0]], ['2, k, 18', [-0.1132532, -0.5361649, 1.0]], ['2, k, 19', [-0.1135398, -0.6241676, 1.0]], ['2, k, 20', [-0.1684522, 0.6964487, 1.0]], ['2, k, 21', [-0.3658802, 0.6678664, 1.0]], ['2, k, 22', [-0.4111493, 0.6165581, 1.0]], ['2, k, 23', [0.02804745, -0.02533234, 1.0]], ['2, k, 24', [0.06257816, 0.0561003, 1.0]]]
[['2, k, 0', [-0.1680517, 0.2166696, 1.0]], ['2, k, 1', [-0.1683336, 0.4936562, 1.0]], ['2, k, 2', [-0.1685904, 0.7625288, 1.0]], ['2, k, 3', [-0.1552548, 0.913337, 1.0]], ['2, k, 4', [-0.3115075, 0.6458414, 1.0]], ['2, k, 5', [-0.3811235, 0.4084182, 1.0]], ['2, k, 6', [-0.4047004, 0.5818011, 1.0]], ['2, k, 7', [-0.3659732, 0.6423922, 1.0]], ['2, k, 8', [0.01216475, 0.6291198, 1.0]], ['2, k, 9', [0.03259054, 0.3699371, 1.0]], ['2, k, 10', [0.04865273, 0.1238241, 1.0]], ['2, k, 11', [0.04708596, 0.04747142, 1.0]], ['2, k, 12', [-0.2312731, 0.2155197, 1.0]], ['2, k, 13', [-0.2619878, -0.2165448, 1.0]], ['2, k, 14', [-0.2406275, -0.5310014, 1.0]], ['2, k, 15', [-0.2348801, -0.6187909, 1.0]], ['2, k, 16', [-0.1008245, 0.2124091, 1.0]], ['2, k, 17', [-0.09657877, -0.2255772, 1.0]], ['2, k, 18', [-0.1140033, -0.5364145, 1.0]], ['2, k, 19', [-0.1115574, -0.6249802, 1.0]], ['2, k, 20', [-0.1686089, 0.6965168, 1.0]], ['2, k, 21', [-0.3606192, 0.6844553, 1.0]], ['2, k, 22', [-0.4073445, 0.6354296, 1.0]], ['2, k, 23', [0.04374914, -0.03424192, 1.0]], ['2, k, 24', [0.07847074, 0.06383782, 1.0]]]
[['2, k, 0', [-0.1688152, 0.2166557, 1.0]], ['2, k, 1', [-0.1687543, 0.4937365, 1.0]], ['2, k, 2', [-0.1687156, 0.7626187, 1.0]], ['2, k, 3', [-0.1562285, 0.9137132, 1.0]], ['2, k, 4', [-0.3119924, 0.6458049, 1.0]], ['2, k, 5', [-0.381672, 0.4116525, 1.0]], ['2, k, 6', [-0.4039324, 0.5837075, 1.0]], ['2, k, 7', [-0.3661503, 0.6431972, 1.0]], ['2, k, 8', [0.0118933, 0.6291857, 1.0]], ['2, k, 9', [0.03527616, 0.3596323, 1.0]], ['2, k, 10', [0.06272776, 0.1167362, 1.0]], ['2, k, 11', [0.06923275, 0.04146184, 1.0]], ['2, k, 12', [-0.2319175, 0.2157063, 1.0]], ['2, k, 13', [-0.2631306, -0.2170042, 1.0]], ['2, k, 14', [-0.244334, -0.5599248, 1.0]], ['2, k, 15', [-0.2335414, -0.636827, 1.0]], ['2, k, 16', [-0.1017332, 0.2121717, 1.0]], ['2, k, 17', [-0.09685528, -0.2257967, 1.0]], ['2, k, 18', [-0.113994, -0.5366607, 1.0]], ['2, k, 19', [-0.1114039, -0.6251048, 1.0]], ['2, k, 20', [-0.1687939, 0.6966102, 1.0]], ['2, k, 21', [-0.356093, 0.6861994, 1.0]], ['2, k, 22', [-0.4089056, 0.62722, 1.0]], ['2, k, 23', [0.06568168, -0.03539298, 1.0]], ['2, k, 24', [0.1006524, 0.07626504, 1.0]]]
[['2, k, 0', [-0.1695106, 0.216277, 1.0]], ['2, k, 1', [-0.1694053, 0.4936327, 1.0]], ['2, k, 2', [-0.1692442, 0.762726, 1.0]], ['2, k, 3', [-0.1569316, 0.913738, 1.0]], ['2, k, 4', [-0.3123299, 0.645714, 1.0]], ['2, k, 5', [-0.3827439, 0.4154749, 1.0]], ['2, k, 6', [-0.4035275, 0.5862292, 1.0]], ['2, k, 7', [-0.3639183, 0.6475996, 1.0]], ['2, k, 8', [0.01148998, 0.6293293, 1.0]], ['2, k, 9', [0.04044297, 0.3530997, 1.0]], ['2, k, 10', [0.09244996, 0.1062373, 1.0]], ['2, k, 11', [0.09718644, 0.0382934, 1.0]], ['2, k, 12', [-0.232525, 0.2153978, 1.0]], ['2, k, 13', [-0.2619254, -0.2173703, 1.0]], ['2, k, 14', [-0.2416574, -0.5312693, 1.0]], ['2, k, 15', [-0.2341605, -0.6187419, 1.0]], ['2, k, 16', [-0.1024621, 0.2117518, 1.0]], ['2, k, 17', [-0.09474014, -0.2264047, 1.0]], ['2, k, 18', [-0.1138397, -0.5369194, 1.0]], ['2, k, 19', [-0.1114845, -0.6253795, 1.0]], ['2, k, 20', [-0.1693584, 0.6966705, 1.0]], ['2, k, 21', [-0.3471874, 0.6892645, 1.0]], ['2, k, 22', [-0.4084247, 0.6282787, 1.0]], ['2, k, 23', [0.09858381, -0.03270502, 1.0]], ['2, k, 24', [0.1349334, 0.05545559, 1.0]]]
[['2, k, 0', [-0.1735984, 0.2167462, 1.0]], ['2, k, 1', [-0.1720482, 0.4939989, 1.0]], ['2, k, 2', [-0.1705427, 0.7629609, 1.0]], ['2, k, 3', [-0.1584581, 0.9133679, 1.0]], ['2, k, 4', [-0.3205384, 0.6464173, 1.0]], ['2, k, 5', [-0.3835829, 0.4172716, 1.0]], ['2, k, 6', [-0.4034432, 0.5874233, 1.0]], ['2, k, 7', [-0.3660996, 0.6482716, 1.0]], ['2, k, 8', [0.005963524, 0.6293824, 1.0]], ['2, k, 9', [0.06177766, 0.3458407, 1.0]], ['2, k, 10', [0.1687118, 0.1165355, 1.0]], ['2, k, 11', [0.180782, 0.0622187, 1.0]], ['2, k, 12', [-0.2366785, 0.2158264, 1.0]], ['2, k, 13', [-0.2623381, -0.2171056, 1.0]], ['2, k, 14', [-0.2409785, -0.5310179, 1.0]], ['2, k, 15', [-0.2343384, -0.6186919, 1.0]], ['2, k, 16', [-0.1063674, 0.2122755, 1.0]], ['2, k, 17', [-0.09268485, -0.2257947, 1.0]], ['2, k, 18', [-0.1133077, -0.5543472, 1.0]], ['2, k, 19', [-0.1111952, -0.6270684, 1.0]], ['2, k, 20', [-0.1709701, 0.6969401, 1.0]], ['2, k, 21', [-0.3584539, 0.6918946, 1.0]], ['2, k, 22', [-0.408482, 0.6359423, 1.0]], ['2, k, 23', [0.1850191, -0.0121383, 1.0]], ['2, k, 24', [0.2250258, 0.09863979, 1.0]]]
[['2, k, 0', [-0.176415, 0.2168935, 1.0]], ['2, k, 1', [-0.1743577, 0.4939864, 1.0]], ['2, k, 2', [-0.1721304, 0.7628214, 1.0]], ['2, k, 3', [-0.1598905, 0.913295, 1.0]], ['2, k, 4', [-0.3265096, 0.6452223, 1.0]], ['2, k, 5', [-0.3842317, 0.4184426, 1.0]], ['2, k, 6', [-0.4028609, 0.5870444, 1.0]], ['2, k, 7', [-0.3681015, 0.6487274, 1.0]], ['2, k, 8', [0.002940404, 0.6302792, 1.0]], ['2, k, 9', [0.09105506, 0.3904125, 1.0]], ['2, k, 10', [0.2201433, 0.1856882, 1.0]], ['2, k, 11', [0.2660332, 0.113505, 1.0]], ['2, k, 12', [-0.2394694, 0.2156609, 1.0]], ['2, k, 13', [-0.2630083, -0.2170314, 1.0]], ['2, k, 14', [-0.2407051, -0.5311094, 1.0]], ['2, k, 15', [-0.2335612, -0.6194453, 1.0]], ['2, k, 16', [-0.1091241, 0.2127433, 1.0]], ['2, k, 17', [-0.09242838, -0.2252219, 1.0]], ['2, k, 18', [-0.1132744, -0.5547026, 1.0]], ['2, k, 19', [-0.11119, -0.6271086, 1.0]], ['2, k, 20', [-0.1727553, 0.6968277, 1.0]], ['2, k, 21', [-0.3588103, 0.6934448, 1.0]], ['2, k, 22', [-0.4139533, 0.6424361, 1.0]], ['2, k, 23', [0.305354, 0.0418643, 1.0]], ['2, k, 24', [0.307252, 0.1412417, 1.0]]]
[['2, k, 0', [-0.1777391, 0.2165949, 1.0]], ['2, k, 1', [-0.1764373, 0.4937999, 1.0]], ['2, k, 2', [-0.1749873, 0.762784, 1.0]], ['2, k, 3', [-0.1614424, 0.9128712, 1.0]], ['2, k, 4', [-0.3304465, 0.6409382, 1.0]], ['2, k, 5', [-0.386162, 0.4199637, 1.0]], ['2, k, 6', [-0.4030973, 0.5873667, 1.0]], ['2, k, 7', [-0.3687951, 0.6485798, 1.0]], ['2, k, 8', [0.0006014907, 0.6316507, 1.0]], ['2, k, 9', [0.09630321, 0.397037, 1.0]], ['2, k, 10', [0.2414823, 0.2184584, 1.0]], ['2, k, 11', [0.309925, 0.148035, 1.0]], ['2, k, 12', [-0.2412992, 0.2149627, 1.0]], ['2, k, 13', [-0.2643091, -0.2174531, 1.0]], ['2, k, 14', [-0.2407158, -0.5314491, 1.0]], ['2, k, 15', [-0.2335683, -0.6202749, 1.0]], ['2, k, 16', [-0.110038, 0.2127227, 1.0]], ['2, k, 17', [-0.09249919, -0.2251976, 1.0]], ['2, k, 18', [-0.1139726, -0.5553585, 1.0]], ['2, k, 19', [-0.1111461, -0.6271015, 1.0]], ['2, k, 20', [-0.1754296, 0.6967508, 1.0]], ['2, k, 21', [-0.3560383, 0.6924457, 1.0]], ['2, k, 22', [-0.4179358, 0.6304076, 1.0]], ['2, k, 23', [0.3567984, 0.08458191, 1.0]], ['2, k, 24', [0.3464641, 0.1635762, 1.0]]]
[['2, k, 0', [-0.1797641, 0.2168665, 1.0]], ['2, k, 1', [-0.1779827, 0.4939631, 1.0]], ['2, k, 2', [-0.1759591, 0.7628381, 1.0]], ['2, k, 3', [-0.1624151, 0.9127746, 1.0]], ['2, k, 4', [-0.3327184, 0.6419492, 1.0]], ['2, k, 5', [-0.3874463, 0.4202223, 1.0]], ['2, k, 6', [-0.4037761, 0.5864849, 1.0]], ['2, k, 7', [-0.3685284, 0.6487843, 1.0]], ['2, k, 8', [-0.0008552196, 0.6318989, 1.0]], ['2, k, 9', [0.1064924, 0.4057209, 1.0]], ['2, k, 10', [0.278074, 0.2543423, 1.0]], ['2, k, 11', [0.3518246, 0.1900376, 1.0]], ['2, k, 12', [-0.2431724, 0.2151568, 1.0]], ['2, k, 13', [-0.2647634, -0.217297, 1.0]], ['2, k, 14', [-0.2403202, -0.531176, 1.0]], ['2, k, 15', [-0.2334527, -0.6202217, 1.0]], ['2, k, 16', [-0.1121289, 0.2131038, 1.0]], ['2, k, 17', [-0.09244537, -0.2248856, 1.0]], ['2, k, 18', [-0.1139878, -0.5553931, 1.0]], ['2, k, 19', [-0.1111051, -0.6270477, 1.0]], ['2, k, 20', [-0.1765484, 0.6968312, 1.0]], ['2, k, 21', [-0.3589757, 0.6934017, 1.0]], ['2, k, 22', [-0.413478, 0.636594, 1.0]], ['2, k, 23', [0.4076475, 0.1300561, 1.0]], ['2, k, 24', [0.3810313, 0.2067919, 1.0]]]
[['2, k, 0', [-0.1806352, 0.2171185, 1.0]], ['2, k, 1', [-0.1793633, 0.4940302, 1.0]], ['2, k, 2', [-0.1778326, 0.7626109, 1.0]], ['2, k, 3', [-0.164736, 0.9121533, 1.0]], ['2, k, 4', [-0.3369897, 0.6425421, 1.0]], ['2, k, 5', [-0.3889544, 0.4214086, 1.0]], ['2, k, 6', [-0.4040495, 0.5869092, 1.0]], ['2, k, 7', [-0.369573, 0.6488437, 1.0]], ['2, k, 8', [-0.001374666, 0.6322126, 1.0]], ['2, k, 9', [0.1254907, 0.4335613, 1.0]], ['2, k, 10', [0.30615, 0.2878338, 1.0]], ['2, k, 11', [0.3871147, 0.2364611, 1.0]], ['2, k, 12', [-0.2440233, 0.2154807, 1.0]], ['2, k, 13', [-0.2647151, -0.2167238, 1.0]], ['2, k, 14', [-0.2401956, -0.5306888, 1.0]], ['2, k, 15', [-0.2315228, -0.6203376, 1.0]], ['2, k, 16', [-0.1130522, 0.2133257, 1.0]], ['2, k, 17', [-0.09238396, -0.2246312, 1.0]], ['2, k, 18', [-0.1140729, -0.5576124, 1.0]], ['2, k, 19', [-0.1104662, -0.6286283, 1.0]], ['2, k, 20', [-0.1783082, 0.696688, 1.0]], ['2, k, 21', [-0.356922, 0.6934313, 1.0]], ['2, k, 22', [-0.4180722, 0.6318525, 1.0]], ['2, k, 23', [0.4414282, 0.1799145, 1.0]], ['2, k, 24', [0.4250697, 0.2439489, 1.0]]]
[['2, k, 0', [-0.181967, 0.2171667, 1.0]], ['2, k, 1', [-0.180534, 0.4940571, 1.0]], ['2, k, 2', [-0.17874, 0.7626181, 1.0]], ['2, k, 3', [-0.1669286, 0.9118426, 1.0]], ['2, k, 4', [-0.3379127, 0.6411939, 1.0]], ['2, k, 5', [-0.3900943, 0.4210533, 1.0]], ['2, k, 6', [-0.4051199, 0.5855343, 1.0]], ['2, k, 7', [-0.3689891, 0.6483698, 1.0]], ['2, k, 8', [-0.001508481, 0.6321591, 1.0]], ['2, k, 9', [0.1416741, 0.4482386, 1.0]], ['2, k, 10', [0.3524272, 0.3172337, 1.0]], ['2, k, 11', [0.4317901, 0.2824219, 1.0]], ['2, k, 12', [-0.2453278, 0.2156092, 1.0]], ['2, k, 13', [-0.2646238, -0.2162156, 1.0]], ['2, k, 14', [-0.2405621, -0.5305271, 1.0]], ['2, k, 15', [-0.2316768, -0.620191, 1.0]], ['2, k, 16', [-0.1144029, 0.2133086, 1.0]], ['2, k, 17', [-0.09181752, -0.2245879, 1.0]], ['2, k, 18', [-0.1142785, -0.5581338, 1.0]], ['2, k, 19', [-0.1107249, -0.6286771, 1.0]], ['2, k, 20', [-0.1792885, 0.6967002, 1.0]], ['2, k, 21', [-0.3595403, 0.6934127, 1.0]], ['2, k, 22', [-0.4147246, 0.6361356, 1.0]], ['2, k, 23', [0.4945434, 0.230923, 1.0]], ['2, k, 24', [0.4622589, 0.2927983, 1.0]]]
[['2, k, 0', [-0.1829307, 0.2170904, 1.0]], ['2, k, 1', [-0.1814966, 0.4941975, 1.0]], ['2, k, 2', [-0.1796727, 0.7629905, 1.0]], ['2, k, 3', [-0.1685851, 0.9122671, 1.0]], ['2, k, 4', [-0.3387191, 0.6409096, 1.0]], ['2, k, 5', [-0.3911166, 0.4196889, 1.0]], ['2, k, 6', [-0.4310098, 0.5763802, 1.0]], ['2, k, 7', [-0.3874625, 0.6372958, 1.0]], ['2, k, 8', [-0.001509904, 0.6321139, 1.0]], ['2, k, 9', [0.1615857, 0.4725246, 1.0]], ['2, k, 10', [0.3670762, 0.3751703, 1.0]], ['2, k, 11', [0.4591076, 0.3407918, 1.0]], ['2, k, 12', [-0.2461805, 0.2156165, 1.0]], ['2, k, 13', [-0.2666834, -0.2156778, 1.0]], ['2, k, 14', [-0.2397371, -0.5301814, 1.0]], ['2, k, 15', [-0.233761, -0.619473, 1.0]], ['2, k, 16', [-0.1154587, 0.2131469, 1.0]], ['2, k, 17', [-0.09193722, -0.2247537, 1.0]], ['2, k, 18', [-0.1142833, -0.558133, 1.0]], ['2, k, 19', [-0.1106455, -0.6288339, 1.0]], ['2, k, 20', [-0.1802325, 0.6970125, 1.0]], ['2, k, 21', [-0.3809657, 0.6841971, 1.0]], ['2, k, 22', [-0.4252535, 0.6117544, 1.0]], ['2, k, 23', [0.5261222, 0.3005336, 1.0]], ['2, k, 24', [0.4925337, 0.34835, 1.0]]]
