[['2, k, 0', [0.04645272, 0.0195498, 1.0]], ['2, k, 1', [0.0387469, 0.3332238, 1.0]], ['2, k, 2', [0.0301867, 0.6327986, 1.0]], ['2, k, 3', [0.001921402, 0.7558084, 1.0]], ['2, k, 4', [-0.1293862, 0.511609, 1.0]], ['2, k, 5', [-0.1802143, 0.2716625, 1.0]], ['2, k, 6', [-0.1741084, 0.05455881, 1.0]], ['2, k, 7', [-0.1819666, 0.02592206, 1.0]], ['2, k, 8', [0.1933989, 0.5394887, 1.0]], ['2, k, 9', [0.2974334, 0.2721183, 1.0]], ['2, k, 10', [0.3753896, 0.03730566, 1.0]], ['2, k, 11', [0.4092949, -0.01729961, 1.0]], ['2, k, 12', [-0.02624401, 0.02078147, 1.0]], ['2, k, 13', [-0.05228677, -0.3752542, 1.0]], ['2, k, 14', [-0.06155614, -0.6936809, 1.0]], ['2, k, 15', [-0.09039534, -0.7472429, 1.0]], ['2, k, 16', [0.1178247, 0.01816454, 1.0]], ['2, k, 17', [0.1618337, -0.4334534, 1.0]], ['2, k, 18', [0.2185818, -0.7055503, 1.0]], ['2, k, 19', [0.2350676, -0.7450269, 1.0]], ['2, k, 20', [0.03237807, 0.5598874, 1.0]], ['2, k, 21', [-0.1946066, -0.006540171, 1.0]], ['2, k, 22', [-0.2015948, 0.04963336, 1.0]], ['2, k, 23', [0.4509463, -0.07360091, 1.0]], ['2, k, 24', [0.3841762, -0.05093737, 1.0]]]
[['2, k, 0', [0.04638786, 0.01964125, 1.0]], ['2, k, 1', [0.03870834, 0.3332013, 1.0]], ['2, k, 2', [0.03029186, 0.632654, 1.0]], ['2, k, 3', [0.002269924, 0.7558215, 1.0]], ['2, k, 4', [-0.1296875, 0.5117095, 1.0]], ['2, k, 5', [-0.1804862, 0.2717307, 1.0]], ['2, k, 6', [-0.1742839, 0.0549113, 1.0]], ['2, k, 7', [-0.1813893, 0.02545079, 1.0]], ['2, k, 8', [0.1941813, 0.5400139, 1.0]], ['2, k, 9', [0.3148435, 0.2778462, 1.0]], ['2, k, 10', [0.4171229, 0.07114826, 1.0]], ['2, k, 11', [0.4591246, -0.004181744, 1.0]], ['2, k, 12', [-0.02627976, 0.02080169, 1.0]], ['2, k, 13', [-0.05251553, -0.3752661, 1.0]], ['2, k, 14', [-0.06204068, -0.6950516, 1.0]], ['2, k, 15', [-0.09031282, -0.747215, 1.0]], ['2, k, 16', [0.117704, 0.01828833, 1.0]], ['2, k, 17', [0.1610913, -0.4298957, 1.0]], ['2, k, 18', [0.2446184, -0.7420506, 1.0]], ['2, k, 19', [0.2102913, -0.750021, 1.0]], ['2, k, 20', [0.03244398, 0.5597694, 1.0]], ['2, k, 21', [-0.1982175, -0.007490652, 1.0]], ['2, k, 22', [-0.2060658, 0.04838255, 1.0]], ['2, k, 23', [0.4912021, -0.06961396, 1.0]], ['2, k, 24', [0.4188651, -0.02282588, 1.0]]]
[['2, k, 0', [0.04611299, 0.01984382, 1.0]], ['2, k, 1', [0.03842402, 0.3332413, 1.0]], ['2, k, 2', [0.03013745, 0.6325994, 1.0]], ['2, k, 3', [0.002832367, 0.7555172, 1.0]], ['2, k, 4', [-0.1299568, 0.5118611, 1.0]], ['2, k, 5', [-0.1808901, 0.2719238, 1.0]], ['2, k, 6', [-0.1741159, 0.05532586, 1.0]], ['2, k, 7', [-0.1805774, 0.0249416, 1.0]], ['2, k, 8', [0.1946247, 0.5402458, 1.0]], ['2, k, 9', [0.3351581, 0.2879026, 1.0]], ['2, k, 10', [0.4456864, 0.07516797, 1.0]], ['2, k, 11', [0.5035707, 0.01737847, 1.0]], ['2, k, 12', [-0.02660165, 0.02095923, 1.0]], ['2, k, 13', [-0.05353961, -0.3747989, 1.0]], ['2, k, 14', [-0.05953072, -0.6928641, 1.0]], ['2, k, 15', [-0.09032813, -0.7468817, 1.0]], ['2, k, 16', [0.1174597, 0.01846174, 1.0]], ['2, k, 17', [0.1607511, -0.4297696, 1.0]], ['2, k, 18', [0.2244101, -0.7156572, 1.0]], ['2, k, 19', [0.237822, -0.7571263, 1.0]], ['2, k, 20', [0.03225421, 0.5597292, 1.0]], ['2, k, 21', [-0.1883893, -0.01072558, 1.0]], ['2, k, 22', [-0.1901484, 0.04287428, 1.0]], ['2, k, 23', [0.5371805, -0.0438041, 1.0]], ['2, k, 24', [0.478681, -0.01970348, 1.0]]]
[['2, k, 0', [0.04531188, 0.02016121, 1.0]], ['2, k, 1', [0.03824993, 0.3332388, 1.0]], ['2, k, 2', [0.03029176, 0.6324759, 1.0]], ['2, k, 3', [0.003872421, 0.7554581, 1.0]], ['2, k, 4', [-0.1302589, 0.511798, 1.0]], ['2, k, 5', [-0.1813508, 0.2722368, 1.0]], ['2, k, 6', [-0.1738348, 0.05482075, 1.0]], ['2, k, 7', [-0.1802679, 0.02478639, 1.0]], ['2, k, 8', [0.1951039, 0.5404063, 1.0]], ['2, k, 9', [0.3498974, 0.3031287, 1.0]], ['2, k, 10', [0.4967187, 0.1275793, 1.0]], ['2, k, 11', [0.5432011, 0.05614373, 1.0]], ['2, k, 12', [-0.02757044, 0.02121491, 1.0]], ['2, k, 13', [-0.05402347, -0.3747107, 1.0]], ['2, k, 14', [-0.06617133, -0.6944328, 1.0]], ['2, k, 15', [-0.09084283, -0.7462493, 1.0]], ['2, k, 16', [0.1167686, 0.01874545, 1.0]], ['2, k, 17', [0.1609567, -0.4289946, 1.0]], ['2, k, 18', [0.2172825, -0.7116654, 1.0]], ['2, k, 19', [0.2383756, -0.7500749, 1.0]], ['2, k, 20', [0.03233176, 0.5596401, 1.0]], ['2, k, 21', [-0.1853501, -0.01361604, 1.0]], ['2, k, 22', [-0.1918997, 0.03919378, 1.0]], ['2, k, 23', [0.5901098, -0.01107829, 1.0]], ['2, k, 24', [0.516327, 0.02209967, 1.0]]]
[['2, k, 0', [0.04470124, 0.02026175, 1.0]], ['2, k, 1', [0.03805082, 0.3331545, 1.0]], ['2, k, 2', [0.03037091, 0.6323413, 1.0]], ['2, k, 3', [0.005550157, 0.7547704, 1.0]], ['2, k, 4', [-0.1306006, 0.5121369, 1.0]], ['2, k, 5', [-0.1821939, 0.2725363, 1.0]], ['2, k, 6', [-0.1741208, 0.05493203, 1.0]], ['2, k, 7', [-0.1806514, 0.02357944, 1.0]], ['2, k, 8', [0.1954315, 0.5405266, 1.0]], ['2, k, 9', [0.3624097, 0.3197311, 1.0]], ['2, k, 10', [0.5154573, 0.1599905, 1.0]], ['2, k, 11', [0.5767102, 0.09235681, 1.0]], ['2, k, 12', [-0.02823896, 0.02120581, 1.0]], ['2, k, 13', [-0.05619245, -0.369345, 1.0]], ['2, k, 14', [-0.06012425, -0.6912462, 1.0]], ['2, k, 15', [-0.09008743, -0.7462285, 1.0]], ['2, k, 16', [0.116191, 0.01886746, 1.0]], ['2, k, 17', [0.1602552, -0.4295979, 1.0]], ['2, k, 18', [0.2210232, -0.711953, 1.0]], ['2, k, 19', [0.2369746, -0.7513543, 1.0]], ['2, k, 20', [0.03236062, 0.5595171, 1.0]], ['2, k, 21', [-0.148891, -0.03136456, 1.0]], ['2, k, 22', [-0.2096759, 0.01560209, 1.0]], ['2, k, 23', [0.6393426, 0.02440686, 1.0]], ['2, k, 24', [0.5573651, 0.04944432, 1.0]]]
[['2, k, 0', [0.04189144, 0.02193637, 1.0]], ['2, k, 1', [0.03710391, 0.3334717, 1.0]], ['2, k, 2', [0.0303255, 0.6322457, 1.0]], ['2, k, 3', [0.006861536, 0.7547846, 1.0]], ['2, k, 4', [-0.1307955, 0.512127, 1.0]], ['2, k, 5', [-0.1832913, 0.2726416, 1.0]], ['2, k, 6', [-0.1738906, 0.05389944, 1.0]], ['2, k, 7', [-0.1821534, 0.02158331, 1.0]], ['2, k, 8', [0.1959581, 0.5415133, 1.0]], ['2, k, 9', [0.369561, 0.3438232, 1.0]], ['2, k, 10', [0.53377, 0.2031904, 1.0]], ['2, k, 11', [0.6011871, 0.1376697, 1.0]], ['2, k, 12', [-0.03005517, 0.02150064, 1.0]], ['2, k, 13', [-0.05738632, -0.3698254, 1.0]], ['2, k, 14', [-0.05839831, -0.6909292, 1.0]], ['2, k, 15', [-0.09016825, -0.7462441, 1.0]], ['2, k, 16', [0.1119562, 0.02248328, 1.0]], ['2, k, 17', [0.1590552, -0.4300344, 1.0]], ['2, k, 18', [0.2262533, -0.710738, 1.0]], ['2, k, 19', [0.2315809, -0.7530088, 1.0]], ['2, k, 20', [0.03221709, 0.5594541, 1.0]], ['2, k, 21', [-0.1725183, -0.08330389, 1.0]], ['2, k, 22', [-0.2063103, -0.005627854, 1.0]], ['2, k, 23', [0.6680838, 0.06911231, 1.0]], ['2, k, 24', [0.5928586, 0.08993088, 1.0]]]
[['2, k, 0', [0.04006122, 0.02226334, 1.0]], ['2, k, 1', [0.03649911, 0.3333959, 1.0]], ['2, k, 2', [0.03044498, 0.6319668, 1.0]], ['2, k, 3', [0.008195935, 0.7545118, 1.0]], ['2, k, 4', [-0.1312062, 0.512475, 1.0]], ['2, k, 5', [-0.1844714, 0.2743056, 1.0]], ['2, k, 6', [-0.1740767, 0.055855, 1.0]], ['2, k, 7', [-0.1799698, 0.02482555, 1.0]], ['2, k, 8', [0.1962835, 0.5420953, 1.0]], ['2, k, 9', [0.3769877, 0.3654197, 1.0]], ['2, k, 10', [0.5812817, 0.2143646, 1.0]], ['2, k, 11', [0.634034, 0.1662502, 1.0]], ['2, k, 12', [-0.03265853, 0.02203909, 1.0]], ['2, k, 13', [-0.06041359, -0.3730613, 1.0]], ['2, k, 14', [-0.05818718, -0.69052, 1.0]], ['2, k, 15', [-0.09007241, -0.7461632, 1.0]], ['2, k, 16', [0.1109243, 0.02247976, 1.0]], ['2, k, 17', [0.157264, -0.4293233, 1.0]], ['2, k, 18', [0.2306884, -0.7114753, 1.0]], ['2, k, 19', [0.2273575, -0.7527983, 1.0]], ['2, k, 20', [0.03220465, 0.5592446, 1.0]], ['2, k, 21', [-0.1991069, -0.007782761, 1.0]], ['2, k, 22', [-0.2007641, 0.04201401, 1.0]], ['2, k, 23', [0.7031963, 0.101268, 1.0]], ['2, k, 24', [0.6271108, 0.1182521, 1.0]]]
[['2, k, 0', [0.03915742, 0.02236078, 1.0]], ['2, k, 1', [0.0359262, 0.3334568, 1.0]], ['2, k, 2', [0.03036752, 0.631929, 1.0]], ['2, k, 3', [0.009009795, 0.7541128, 1.0]], ['2, k, 4', [-0.1315187, 0.5125884, 1.0]], ['2, k, 5', [-0.1852689, 0.2745193, 1.0]], ['2, k, 6', [-0.1741728, 0.05568381, 1.0]], ['2, k, 7', [-0.1816472, 0.02269333, 1.0]], ['2, k, 8', [0.196235, 0.5428807, 1.0]], ['2, k, 9', [0.3853142, 0.3857989, 1.0]], ['2, k, 10', [0.566845, 0.2691076, 1.0]], ['2, k, 11', [0.6434175, 0.2137114, 1.0]], ['2, k, 12', [-0.03355306, 0.02216482, 1.0]], ['2, k, 13', [-0.0627973, -0.3717614, 1.0]], ['2, k, 14', [-0.05826737, -0.6903924, 1.0]], ['2, k, 15', [-0.09082908, -0.7463931, 1.0]], ['2, k, 16', [0.1100434, 0.02243342, 1.0]], ['2, k, 17', [0.1554739, -0.429457, 1.0]], ['2, k, 18', [0.2311182, -0.7116956, 1.0]], ['2, k, 19', [0.2285867, -0.7534394, 1.0]], ['2, k, 20', [0.03201889, 0.5592218, 1.0]], ['2, k, 21', [-0.1728404, -0.08345944, 1.0]], ['2, k, 22', [-0.2117186, 0.01166159, 1.0]], ['2, k, 23', [0.702979, 0.154849, 1.0]], ['2, k, 24', [0.6504974, 0.1568041, 1.0]]]
[['2, k, 0', [0.03842312, 0.02261023, 1.0]], ['2, k, 1', [0.03533477, 0.3335068, 1.0]], ['2, k, 2', [0.03018284, 0.6317415, 1.0]], ['2, k, 3', [0.009365558, 0.7540493, 1.0]], ['2, k, 4', [-0.1318549, 0.5127127, 1.0]], ['2, k, 5', [-0.1862057, 0.2744203, 1.0]], ['2, k, 6', [-0.174045, 0.05446103, 1.0]], ['2, k, 7', [-0.1806153, 0.02346702, 1.0]], ['2, k, 8', [0.1958076, 0.5443521, 1.0]], ['2, k, 9', [0.3943889, 0.4033289, 1.0]], ['2, k, 10', [0.5777254, 0.2896414, 1.0]], ['2, k, 11', [0.6616689, 0.2502529, 1.0]], ['2, k, 12', [-0.03434165, 0.02231522, 1.0]], ['2, k, 13', [-0.06369528, -0.3727745, 1.0]], ['2, k, 14', [-0.05819122, -0.690011, 1.0]], ['2, k, 15', [-0.09024159, -0.7459881, 1.0]], ['2, k, 16', [0.1094355, 0.02267157, 1.0]], ['2, k, 17', [0.1549876, -0.4292594, 1.0]], ['2, k, 18', [0.2279358, -0.7161406, 1.0]], ['2, k, 19', [0.2287751, -0.7474449, 1.0]], ['2, k, 20', [0.03172062, 0.5590828, 1.0]], ['2, k, 21', [-0.1733036, -0.08368312, 1.0]], ['2, k, 22', [-0.2057728, 0.02324766, 1.0]], ['2, k, 23', [0.722251, 0.2001183, 1.0]], ['2, k, 24', [0.67098, 0.1955074, 1.0]]]
[['2, k, 0', [0.03555441, 0.02328686, 1.0]], ['2, k, 1', [0.03372529, 0.3336746, 1.0]], ['2, k, 2', [0.0297877, 0.6315272, 1.0]], ['2, k, 3', [0.009598003, 0.75387, 1.0]], ['2, k, 4', [-0.1322688, 0.5129243, 1.0]], ['2, k, 5', [-0.1871184, 0.2745256, 1.0]], ['2, k, 6', [-0.1741013, 0.05450829, 1.0]], ['2, k, 7', [-0.1805206, 0.0220522, 1.0]], ['2, k, 8', [0.1953837, 0.5455503, 1.0]], ['2, k, 9', [0.3964334, 0.4240097, 1.0]], ['2, k, 10', [0.5909915, 0.3319249, 1.0]], ['2, k, 11', [0.673583, 0.2891699, 1.0]], ['2, k, 12', [-0.03749714, 0.0233171, 1.0]], ['2, k, 13', [-0.06399522, -0.3726729, 1.0]], ['2, k, 14', [-0.05856441, -0.6905179, 1.0]], ['2, k, 15', [-0.09054796, -0.7461253, 1.0]], ['2, k, 16', [0.1070198, 0.02290017, 1.0]], ['2, k, 17', [0.1539188, -0.4299774, 1.0]], ['2, k, 18', [0.2322821, -0.7163187, 1.0]], ['2, k, 19', [0.2193936, -0.7491835, 1.0]], ['2, k, 20', [0.03105981, 0.5589309, 1.0]], ['2, k, 21', [-0.1839074, -0.01816628, 1.0]], ['2, k, 22', [-0.1949994, 0.03633496, 1.0]], ['2, k, 23', [0.7345901, 0.2418732, 1.0]], ['2, k, 24', [0.6906053, 0.2315599, 1.0]]]
[['2, k, 0', [0.03423953, 0.02389601, 1.0]], ['2, k, 1', [0.03190246, 0.3340024, 1.0]], ['2, k, 2', [0.02783867, 0.631281, 1.0]], ['2, k, 3', [0.009349989, 0.7536553, 1.0]], ['2, k, 4', [-0.1334754, 0.5135122, 1.0]], ['2, k, 5', [-0.1880458, 0.2747619, 1.0]], ['2, k, 6', [-0.1741581, 0.05450438, 1.0]], ['2, k, 7', [-0.1818043, 0.02430544, 1.0]], ['2, k, 8', [0.1947443, 0.5466781, 1.0]], ['2, k, 9', [0.4087286, 0.4754395, 1.0]], ['2, k, 10', [0.6092735, 0.3975165, 1.0]], ['2, k, 11', [0.6929523, 0.3648737, 1.0]], ['2, k, 12', [-0.03876488, 0.02384701, 1.0]], ['2, k, 13', [-0.06521875, -0.3720949, 1.0]], ['2, k, 14', [-0.06670435, -0.6960852, 1.0]], ['2, k, 15', [-0.09033805, -0.7459332, 1.0]], ['2, k, 16', [0.1057776, 0.02345827, 1.0]], ['2, k, 17', [0.152422, -0.4303515, 1.0]], ['2, k, 18', [0.2342285, -0.7171943, 1.0]], ['2, k, 19', [0.2176441, -0.7507029, 1.0]], ['2, k, 20', [0.02905333, 0.5588543, 1.0]], ['2, k, 21', [-0.1992646, -0.007787447, 1.0]], ['2, k, 22', [-0.2023254, 0.03215302, 1.0]], ['2, k, 23', [0.7535422, 0.3298523, 1.0]], ['2, k, 24', [0.7193295, 0.3089607, 1.0]]]
