[['2, k, 0', [0.01986079, -0.2602932, 1.0]], ['2, k, 1', [0.008092734, 0.03691999, 1.0]], ['2, k, 2', [-0.003596419, 0.3245149, 1.0]], ['2, k, 3', [-0.01092628, 0.4545212, 1.0]], ['2, k, 4', [-0.1706606, 0.1964287, 1.0]], ['2, k, 5', [-0.2241163, -0.0373035, 1.0]], ['2, k, 6', [-0.263596, -0.1987273, 1.0]], ['2, k, 7', [-0.2914131, -0.2538366, 1.0]], ['2, k, 8', [0.1781906, 0.222677, 1.0]], ['2, k, 9', [0.2657134, -0.01319094, 1.0]], ['2, k, 10', [0.26271, -0.1354822, 1.0]], ['2, k, 11', [0.2574813, -0.1851349, 1.0]], ['2, k, 12', [-0.06776484, -0.2607774, 1.0]], ['2, k, 13', [-0.1268124, -0.2711277, 1.0]], ['2, k, 14', [-0.1165902, -0.6131475, 1.0]], ['2, k, 15', [-0.1529272, -0.6990362, 1.0]], ['2, k, 16', [0.1064722, -0.2536846, 1.0]], ['2, k, 17', [0.1724195, -0.2757881, 1.0]], ['2, k, 18', [0.1419767, -0.6189464, 1.0]], ['2, k, 19', [0.1860174, -0.7014222, 1.0]], ['2, k, 20', [-0.0008488133, 0.253709, 1.0]], ['2, k, 21', [-0.3166849, -0.3268431, 1.0]], ['2, k, 22', [-0.2839262, -0.2910227, 1.0]], ['2, k, 23', [0.2431029, -0.2176839, 1.0]], ['2, k, 24', [0.2365488, -0.172534, 1.0]]]
[['2, k, 0', [0.01942852, -0.2608172, 1.0]], ['2, k, 1', [0.008330956, 0.03646422, 1.0]], ['2, k, 2', [-0.001952964, 0.3241296, 1.0]], ['2, k, 3', [-0.008004133, 0.4541101, 1.0]], ['2, k, 4', [-0.1695236, 0.1969925, 1.0]], ['2, k, 5', [-0.2324664, -0.05084608, 1.0]], ['2, k, 6', [-0.2984394, -0.2306683, 1.0]], ['2, k, 7', [-0.3329873, -0.3026662, 1.0]], ['2, k, 8', [0.1784871, 0.2213044, 1.0]], ['2, k, 9', [0.263638, -0.007411577, 1.0]], ['2, k, 10', [0.2512762, -0.1249987, 1.0]], ['2, k, 11', [0.2200438, -0.1623061, 1.0]], ['2, k, 12', [-0.0682611, -0.2610274, 1.0]], ['2, k, 13', [-0.127291, -0.2734981, 1.0]], ['2, k, 14', [-0.111566, -0.6144338, 1.0]], ['2, k, 15', [-0.1509487, -0.6992075, 1.0]], ['2, k, 16', [0.1061058, -0.2544583, 1.0]], ['2, k, 17', [0.1724931, -0.2755698, 1.0]], ['2, k, 18', [0.1418999, -0.6188071, 1.0]], ['2, k, 19', [0.1859905, -0.7012565, 1.0]], ['2, k, 20', [0.0003628734, 0.2532637, 1.0]], ['2, k, 21', [-0.353468, -0.3754513, 1.0]], ['2, k, 22', [-0.3142672, -0.3067487, 1.0]], ['2, k, 23', [0.2358012, -0.2222307, 1.0]], ['2, k, 24', [0.1799474, -0.1581105, 1.0]]]
[['2, k, 0', [0.01898511, -0.2612702, 1.0]], ['2, k, 1', [0.008520892, 0.03607476, 1.0]], ['2, k, 2', [-0.0007185826, 0.3237796, 1.0]], ['2, k, 3', [-0.003946437, 0.4524057, 1.0]], ['2, k, 4', [-0.1685924, 0.1979146, 1.0]], ['2, k, 5', [-0.2415789, -0.04936394, 1.0]], ['2, k, 6', [-0.3291923, -0.2483727, 1.0]], ['2, k, 7', [-0.3679772, -0.3158539, 1.0]], ['2, k, 8', [0.1790601, 0.2207137, 1.0]], ['2, k, 9', [0.262023, 0.001259647, 1.0]], ['2, k, 10', [0.2392274, -0.13629, 1.0]], ['2, k, 11', [0.2069458, -0.161964, 1.0]], ['2, k, 12', [-0.06895643, -0.2613279, 1.0]], ['2, k, 13', [-0.1270167, -0.2745848, 1.0]], ['2, k, 14', [-0.1125899, -0.6158946, 1.0]], ['2, k, 15', [-0.1515985, -0.7006794, 1.0]], ['2, k, 16', [0.1056345, -0.255224, 1.0]], ['2, k, 17', [0.1723959, -0.2753344, 1.0]], ['2, k, 18', [0.1419048, -0.6185929, 1.0]], ['2, k, 19', [0.186203, -0.7009371, 1.0]], ['2, k, 20', [0.001304794, 0.2528763, 1.0]], ['2, k, 21', [-0.3895156, -0.3794518, 1.0]], ['2, k, 22', [-0.3435798, -0.3217648, 1.0]], ['2, k, 23', [0.2265471, -0.2080064, 1.0]], ['2, k, 24', [0.1692359, -0.1538088, 1.0]]]
[['2, k, 0', [0.01876525, -0.2618093, 1.0]], ['2, k, 1', [0.008635743, 0.03568672, 1.0]], ['2, k, 2', [-0.0003632633, 0.3236566, 1.0]], ['2, k, 3', [-0.002436797, 0.4529562, 1.0]], ['2, k, 4', [-0.1679217, 0.1977719, 1.0]], ['2, k, 5', [-0.2534775, -0.04595317, 1.0]], ['2, k, 6', [-0.3658525, -0.2552345, 1.0]], ['2, k, 7', [-0.4035588, -0.3122677, 1.0]], ['2, k, 8', [0.1793924, 0.2205558, 1.0]], ['2, k, 9', [0.259421, 0.003506481, 1.0]], ['2, k, 10', [0.2305525, -0.1171608, 1.0]], ['2, k, 11', [0.206398, -0.1432462, 1.0]], ['2, k, 12', [-0.06936304, -0.2619994, 1.0]], ['2, k, 13', [-0.1271831, -0.2750139, 1.0]], ['2, k, 14', [-0.1135058, -0.6162676, 1.0]], ['2, k, 15', [-0.1517853, -0.7015374, 1.0]], ['2, k, 16', [0.1055217, -0.2558912, 1.0]], ['2, k, 17', [0.1724266, -0.2749926, 1.0]], ['2, k, 18', [0.1425558, -0.6183937, 1.0]], ['2, k, 19', [0.1862727, -0.7010298, 1.0]], ['2, k, 20', [0.001625855, 0.252685, 1.0]], ['2, k, 21', [-0.4259937, -0.3786196, 1.0]], ['2, k, 22', [-0.3773617, -0.323754, 1.0]], ['2, k, 23', [0.2279468, -0.2006641, 1.0]], ['2, k, 24', [0.1569347, -0.1414333, 1.0]]]
[['2, k, 0', [0.01851761, -0.2618032, 1.0]], ['2, k, 1', [0.008998523, 0.03553778, 1.0]], ['2, k, 2', [0.001868443, 0.3233505, 1.0]], ['2, k, 3', [-0.001054452, 0.4533205, 1.0]], ['2, k, 4', [-0.1669402, 0.1999999, 1.0]], ['2, k, 5', [-0.2702215, -0.03611899, 1.0]], ['2, k, 6', [-0.3988078, -0.2507636, 1.0]], ['2, k, 7', [-0.4417956, -0.2980419, 1.0]], ['2, k, 8', [0.1803155, 0.2205995, 1.0]], ['2, k, 9', [0.2612875, 0.00544897, 1.0]], ['2, k, 10', [0.232892, -0.1167463, 1.0]], ['2, k, 11', [0.2061118, -0.1421837, 1.0]], ['2, k, 12', [-0.06963272, -0.2617346, 1.0]], ['2, k, 13', [-0.1274134, -0.275349, 1.0]], ['2, k, 14', [-0.1138727, -0.6164876, 1.0]], ['2, k, 15', [-0.1515037, -0.7020547, 1.0]], ['2, k, 16', [0.1052765, -0.2559393, 1.0]], ['2, k, 17', [0.1723783, -0.2749848, 1.0]], ['2, k, 18', [0.1427054, -0.6184195, 1.0]], ['2, k, 19', [0.1865068, -0.70101, 1.0]], ['2, k, 20', [0.003336952, 0.2524133, 1.0]], ['2, k, 21', [-0.4718525, -0.3603064, 1.0]], ['2, k, 22', [-0.4123184, -0.3153671, 1.0]], ['2, k, 23', [0.2286181, -0.1968774, 1.0]], ['2, k, 24', [0.1584007, -0.1379112, 1.0]]]
[['2, k, 0', [0.01823623, -0.2620888, 1.0]], ['2, k, 1', [0.009301837, 0.03512831, 1.0]], ['2, k, 2', [0.003039198, 0.3229131, 1.0]], ['2, k, 3', [-0.0003391475, 0.4534377, 1.0]], ['2, k, 4', [-0.1667837, 0.2011906, 1.0]], ['2, k, 5', [-0.2857725, -0.02607609, 1.0]], ['2, k, 6', [-0.4280384, -0.2286704, 1.0]], ['2, k, 7', [-0.4771783, -0.2708829, 1.0]], ['2, k, 8', [0.1811583, 0.2206035, 1.0]], ['2, k, 9', [0.2634359, 0.007767361, 1.0]], ['2, k, 10', [0.2343308, -0.1163324, 1.0]], ['2, k, 11', [0.2057567, -0.1428184, 1.0]], ['2, k, 12', [-0.06981809, -0.2618224, 1.0]], ['2, k, 13', [-0.1275473, -0.275392, 1.0]], ['2, k, 14', [-0.11657, -0.6167594, 1.0]], ['2, k, 15', [-0.1520946, -0.7031352, 1.0]], ['2, k, 16', [0.1049953, -0.256289, 1.0]], ['2, k, 17', [0.1722055, -0.2747061, 1.0]], ['2, k, 18', [0.1427312, -0.6181782, 1.0]], ['2, k, 19', [0.1865618, -0.7007586, 1.0]], ['2, k, 20', [0.00431826, 0.251959, 1.0]], ['2, k, 21', [-0.5052822, -0.335574, 1.0]], ['2, k, 22', [-0.4321701, -0.2718585, 1.0]], ['2, k, 23', [0.2305739, -0.2021291, 1.0]], ['2, k, 24', [0.1582987, -0.1273875, 1.0]]]
[['2, k, 0', [0.01786524, -0.2621309, 1.0]], ['2, k, 1', [0.009707368, 0.0348907, 1.0]], ['2, k, 2', [0.005004175, 0.3224128, 1.0]], ['2, k, 3', [0.0006179087, 0.4532062, 1.0]], ['2, k, 4', [-0.1657032, 0.2041541, 1.0]], ['2, k, 5', [-0.3040246, -0.01023315, 1.0]], ['2, k, 6', [-0.4604804, -0.2012739, 1.0]], ['2, k, 7', [-0.5131346, -0.2440554, 1.0]], ['2, k, 8', [0.1836211, 0.2204175, 1.0]], ['2, k, 9', [0.2694389, 0.01264695, 1.0]], ['2, k, 10', [0.2388871, -0.1162827, 1.0]], ['2, k, 11', [0.2050518, -0.1365995, 1.0]], ['2, k, 12', [-0.07023487, -0.261587, 1.0]], ['2, k, 13', [-0.1278451, -0.2756936, 1.0]], ['2, k, 14', [-0.1177151, -0.6170424, 1.0]], ['2, k, 15', [-0.1524445, -0.703711, 1.0]], ['2, k, 16', [0.1045415, -0.2564305, 1.0]], ['2, k, 17', [0.1720959, -0.2746161, 1.0]], ['2, k, 18', [0.1427354, -0.6181095, 1.0]], ['2, k, 19', [0.1865992, -0.7006714, 1.0]], ['2, k, 20', [0.005884414, 0.2515247, 1.0]], ['2, k, 21', [-0.555523, -0.2999457, 1.0]], ['2, k, 22', [-0.4718817, -0.2534628, 1.0]], ['2, k, 23', [0.2242247, -0.1909944, 1.0]], ['2, k, 24', [0.1660703, -0.1245459, 1.0]]]
[['2, k, 0', [0.01763961, -0.2622659, 1.0]], ['2, k, 1', [0.009991336, 0.03475771, 1.0]], ['2, k, 2', [0.005846635, 0.3224741, 1.0]], ['2, k, 3', [0.001515498, 0.4527851, 1.0]], ['2, k, 4', [-0.1657135, 0.204797, 1.0]], ['2, k, 5', [-0.3258791, 0.008982054, 1.0]], ['2, k, 6', [-0.4957387, -0.1621679, 1.0]], ['2, k, 7', [-0.549815, -0.2088394, 1.0]], ['2, k, 8', [0.185121, 0.2202828, 1.0]], ['2, k, 9', [0.2760156, 0.01824524, 1.0]], ['2, k, 10', [0.2368876, -0.1110856, 1.0]], ['2, k, 11', [0.1971468, -0.1315693, 1.0]], ['2, k, 12', [-0.07050584, -0.2616343, 1.0]], ['2, k, 13', [-0.1279608, -0.2757123, 1.0]], ['2, k, 14', [-0.1185116, -0.6170866, 1.0]], ['2, k, 15', [-0.1113918, -0.6525059, 1.0]], ['2, k, 16', [0.1042893, -0.2566367, 1.0]], ['2, k, 17', [0.1720305, -0.2745428, 1.0]], ['2, k, 18', [0.1420766, -0.6181182, 1.0]], ['2, k, 19', [0.1864062, -0.7004519, 1.0]], ['2, k, 20', [0.0066239, 0.251527, 1.0]], ['2, k, 21', [-0.5854852, -0.2594067, 1.0]], ['2, k, 22', [-0.5189396, -0.2340002, 1.0]], ['2, k, 23', [0.2224909, -0.189352, 1.0]], ['2, k, 24', [0.1587779, -0.125596, 1.0]]]
[['2, k, 0', [0.01730764, -0.2622386, 1.0]], ['2, k, 1', [0.01028022, 0.03474722, 1.0]], ['2, k, 2', [0.006980016, 0.3226202, 1.0]], ['2, k, 3', [0.002395455, 0.4525001, 1.0]], ['2, k, 4', [-0.1651655, 0.2085484, 1.0]], ['2, k, 5', [-0.3395487, 0.02649205, 1.0]], ['2, k, 6', [-0.526157, -0.129752, 1.0]], ['2, k, 7', [-0.5845727, -0.1691398, 1.0]], ['2, k, 8', [0.1855178, 0.2202474, 1.0]], ['2, k, 9', [0.2784103, 0.02053695, 1.0]], ['2, k, 10', [0.2370472, -0.1093292, 1.0]], ['2, k, 11', [0.1939939, -0.1339444, 1.0]], ['2, k, 12', [-0.07098421, -0.2613944, 1.0]], ['2, k, 13', [-0.1280082, -0.2755834, 1.0]], ['2, k, 14', [-0.1189541, -0.6170779, 1.0]], ['2, k, 15', [-0.1133295, -0.6525139, 1.0]], ['2, k, 16', [0.1038126, -0.2566322, 1.0]], ['2, k, 17', [0.1719444, -0.2745013, 1.0]], ['2, k, 18', [0.1442026, -0.6185081, 1.0]], ['2, k, 19', [0.1870956, -0.7015437, 1.0]], ['2, k, 20', [0.007565646, 0.2516342, 1.0]], ['2, k, 21', [-0.6217669, -0.2285399, 1.0]], ['2, k, 22', [-0.5408858, -0.1713284, 1.0]], ['2, k, 23', [0.2124279, -0.1849547, 1.0]], ['2, k, 24', [0.1551262, -0.1247256, 1.0]]]
[['2, k, 0', [0.01707951, -0.2624062, 1.0]], ['2, k, 1', [0.01057918, 0.03445741, 1.0]], ['2, k, 2', [0.007715762, 0.3222781, 1.0]], ['2, k, 3', [0.003309795, 0.45219, 1.0]], ['2, k, 4', [-0.1653213, 0.2086779, 1.0]], ['2, k, 5', [-0.3581607, 0.05218241, 1.0]], ['2, k, 6', [-0.5564877, -0.0874129, 1.0]], ['2, k, 7', [-0.6173142, -0.1182829, 1.0]], ['2, k, 8', [0.1879203, 0.2200151, 1.0]], ['2, k, 9', [0.2800734, 0.02214774, 1.0]], ['2, k, 10', [0.2320282, -0.1093204, 1.0]], ['2, k, 11', [0.1932622, -0.1353373, 1.0]], ['2, k, 12', [-0.07114345, -0.2614783, 1.0]], ['2, k, 13', [-0.1280276, -0.2755561, 1.0]], ['2, k, 14', [-0.1192588, -0.6171451, 1.0]], ['2, k, 15', [-0.1131271, -0.6525595, 1.0]], ['2, k, 16', [0.1035513, -0.2568607, 1.0]], ['2, k, 17', [0.171886, -0.2745117, 1.0]], ['2, k, 18', [0.1443084, -0.6185234, 1.0]], ['2, k, 19', [0.1871609, -0.7015795, 1.0]], ['2, k, 20', [0.008223703, 0.2513012, 1.0]], ['2, k, 21', [-0.6735088, -0.1593925, 1.0]], ['2, k, 22', [-0.609069, -0.1565522, 1.0]], ['2, k, 23', [0.2077609, -0.1883881, 1.0]], ['2, k, 24', [0.1550958, -0.1232754, 1.0]]]
[['2, k, 0', [0.01688551, -0.2625022, 1.0]], ['2, k, 1', [0.0108442, 0.03422103, 1.0]], ['2, k, 2', [0.008386164, 0.3219698, 1.0]], ['2, k, 3', [0.004591922, 0.4520048, 1.0]], ['2, k, 4', [-0.1654725, 0.2086295, 1.0]], ['2, k, 5', [-0.3715702, 0.07321869, 1.0]], ['2, k, 6', [-0.5682892, -0.03293271, 1.0]], ['2, k, 7', [-0.6428223, -0.06638303, 1.0]], ['2, k, 8', [0.1895336, 0.2199175, 1.0]], ['2, k, 9', [0.2816563, 0.02269085, 1.0]], ['2, k, 10', [0.2319403, -0.1101471, 1.0]], ['2, k, 11', [0.1921605, -0.1365996, 1.0]], ['2, k, 12', [-0.07127515, -0.2615221, 1.0]], ['2, k, 13', [-0.1282512, -0.2752966, 1.0]], ['2, k, 14', [-0.1197411, -0.6169545, 1.0]], ['2, k, 15', [-0.1133785, -0.6523538, 1.0]], ['2, k, 16', [0.1032646, -0.2570022, 1.0]], ['2, k, 17', [0.1718398, -0.2745109, 1.0]], ['2, k, 18', [0.1431425, -0.6183043, 1.0]], ['2, k, 19', [0.1870113, -0.7008594, 1.0]], ['2, k, 20', [0.008818015, 0.2510112, 1.0]], ['2, k, 21', [-0.7017887, -0.100591, 1.0]], ['2, k, 22', [-0.6350314, -0.09986462, 1.0]], ['2, k, 23', [0.2179302, -0.1906292, 1.0]], ['2, k, 24', [0.1561322, -0.1301013, 1.0]]]
