[['2, k, 0', [-0.398347, -0.259495, 1.0]], ['2, k, 1', [-0.38234, 0.0660601, 1.0]], ['2, k, 2', [-0.364297, 0.382837, 1.0]], ['2, k, 3', [-0.356104, 0.539543, 1.0]], ['2, k, 4', [-0.53579, 0.283889, 1.0]], ['2, k, 5', [-0.690305, 0.288098, 1.0]], ['2, k, 6', [-0.656662, 0.348342, 1.0]], ['2, k, 7', [-0.646079, 0.388021, 1.0]], ['2, k, 8', [-0.184101, 0.30196, 1.0]], ['2, k, 9', [0.00572371, 0.327711, 1.0]], ['2, k, 10', [0.00627638, 0.384085, 1.0]], ['2, k, 11', [-0.0103872, 0.400509, 1.0]], ['2, k, 12', [-0.472617, -0.259724, 1.0]], ['2, k, 13', [-0.507368, -0.579081, 1.0]], ['2, k, 14', [-0.542117, -1.02587, 1.0]], ['2, k, 15', [-0.553223, -1.08984, 1.0]], ['2, k, 16', [-0.312245, -0.251569, 1.0]], ['2, k, 17', [-0.284147, -0.638759, 1.0]], ['2, k, 18', [-0.280045, -1.02815, 1.0]], ['2, k, 19', [-0.251709, -1.09766, 1.0]], ['2, k, 20', [-0.36917, 0.304944, 1.0]], ['2, k, 21', [-0.622006, 0.410443, 1.0]], ['2, k, 22', [-0.679504, 0.432235, 1.0]], ['2, k, 23', [-0.0310271, 0.408197, 1.0]], ['2, k, 24', [-0.0312998, 0.445459, 1.0]]]
[['2, k, 0', [-0.403216, -0.281487, 1.0]], ['2, k, 1', [-0.383863, 0.060853, 1.0]], ['2, k, 2', [-0.364461, 0.382988, 1.0]], ['2, k, 3', [-0.356017, 0.538862, 1.0]], ['2, k, 4', [-0.536022, 0.28451, 1.0]], ['2, k, 5', [-0.689742, 0.289229, 1.0]], ['2, k, 6', [-0.659619, 0.34838, 1.0]], ['2, k, 7', [-0.647338, 0.39285, 1.0]], ['2, k, 8', [-0.184024, 0.301924, 1.0]], ['2, k, 9', [0.00483244, 0.328759, 1.0]], ['2, k, 10', [-0.0172811, 0.391498, 1.0]], ['2, k, 11', [-0.0134778, 0.40667, 1.0]], ['2, k, 12', [-0.477085, -0.27873, 1.0]], ['2, k, 13', [-0.507447, -0.579426, 1.0]], ['2, k, 14', [-0.542068, -1.02556, 1.0]], ['2, k, 15', [-0.553137, -1.0883, 1.0]], ['2, k, 16', [-0.317145, -0.275919, 1.0]], ['2, k, 17', [-0.28437, -0.639573, 1.0]], ['2, k, 18', [-0.280094, -1.02837, 1.0]], ['2, k, 19', [-0.251869, -1.09729, 1.0]], ['2, k, 20', [-0.369472, 0.304793, 1.0]], ['2, k, 21', [-0.610601, 0.414098, 1.0]], ['2, k, 22', [-0.677285, 0.412059, 1.0]], ['2, k, 23', [-0.0280079, 0.414752, 1.0]], ['2, k, 24', [-0.0392548, 0.452497, 1.0]]]
[['2, k, 0', [-0.394301, -0.24594, 1.0]], ['2, k, 1', [-0.381851, 0.0690119, 1.0]], ['2, k, 2', [-0.364366, 0.383148, 1.0]], ['2, k, 3', [-0.355675, 0.538491, 1.0]], ['2, k, 4', [-0.535927, 0.284475, 1.0]], ['2, k, 5', [-0.684266, 0.298785, 1.0]], ['2, k, 6', [-0.659878, 0.354391, 1.0]], ['2, k, 7', [-0.648423, 0.399835, 1.0]], ['2, k, 8', [-0.183958, 0.301747, 1.0]], ['2, k, 9', [0.00511085, 0.329495, 1.0]], ['2, k, 10', [0.00443105, 0.403832, 1.0]], ['2, k, 11', [-0.00842646, 0.412443, 1.0]], ['2, k, 12', [-0.468619, -0.245391, 1.0]], ['2, k, 13', [-0.508724, -0.654749, 1.0]], ['2, k, 14', [-0.541886, -1.02544, 1.0]], ['2, k, 15', [-0.552965, -1.08849, 1.0]], ['2, k, 16', [-0.308005, -0.239026, 1.0]], ['2, k, 17', [-0.291859, -0.666459, 1.0]], ['2, k, 18', [-0.281029, -1.00664, 1.0]], ['2, k, 19', [-0.253867, -1.09176, 1.0]], ['2, k, 20', [-0.369279, 0.30546, 1.0]], ['2, k, 21', [-0.624077, 0.42245, 1.0]], ['2, k, 22', [-0.681147, 0.449063, 1.0]], ['2, k, 23', [-0.0277249, 0.423422, 1.0]], ['2, k, 24', [-0.0517973, 0.399281, 1.0]]]
[['2, k, 0', [-0.394165, -0.246109, 1.0]], ['2, k, 1', [-0.38152, 0.0697713, 1.0]], ['2, k, 2', [-0.364346, 0.383247, 1.0]], ['2, k, 3', [-0.355336, 0.537654, 1.0]], ['2, k, 4', [-0.535536, 0.284811, 1.0]], ['2, k, 5', [-0.684368, 0.299331, 1.0]], ['2, k, 6', [-0.661286, 0.359229, 1.0]], ['2, k, 7', [-0.647214, 0.405073, 1.0]], ['2, k, 8', [-0.183991, 0.301756, 1.0]], ['2, k, 9', [0.00508892, 0.330801, 1.0]], ['2, k, 10', [0.00505146, 0.405759, 1.0]], ['2, k, 11', [-0.00895514, 0.419067, 1.0]], ['2, k, 12', [-0.468507, -0.245659, 1.0]], ['2, k, 13', [-0.508452, -0.655119, 1.0]], ['2, k, 14', [-0.541576, -1.02553, 1.0]], ['2, k, 15', [-0.552833, -1.08874, 1.0]], ['2, k, 16', [-0.307935, -0.239162, 1.0]], ['2, k, 17', [-0.291346, -0.685561, 1.0]], ['2, k, 18', [-0.280136, -1.03536, 1.0]], ['2, k, 19', [-0.253914, -1.09654, 1.0]], ['2, k, 20', [-0.36921, 0.305772, 1.0]], ['2, k, 21', [-0.619904, 0.428183, 1.0]], ['2, k, 22', [-0.679769, 0.450569, 1.0]], ['2, k, 23', [-0.0232468, 0.430702, 1.0]], ['2, k, 24', [-0.0670673, 0.41084, 1.0]]]
[['2, k, 0', [-0.394721, -0.246713, 1.0]], ['2, k, 1', [-0.381648, 0.070058, 1.0]], ['2, k, 2', [-0.364409, 0.383348, 1.0]], ['2, k, 3', [-0.355262, 0.537116, 1.0]], ['2, k, 4', [-0.535721, 0.285791, 1.0]], ['2, k, 5', [-0.682995, 0.303101, 1.0]], ['2, k, 6', [-0.661699, 0.363098, 1.0]], ['2, k, 7', [-0.647774, 0.410586, 1.0]], ['2, k, 8', [-0.184125, 0.302345, 1.0]], ['2, k, 9', [0.00533829, 0.333246, 1.0]], ['2, k, 10', [0.0053086, 0.40959, 1.0]], ['2, k, 11', [-0.00823291, 0.425655, 1.0]], ['2, k, 12', [-0.469068, -0.246303, 1.0]], ['2, k, 13', [-0.508409, -0.654928, 1.0]], ['2, k, 14', [-0.541339, -1.02549, 1.0]], ['2, k, 15', [-0.552671, -1.0889, 1.0]], ['2, k, 16', [-0.308521, -0.239737, 1.0]], ['2, k, 17', [-0.291098, -0.696862, 1.0]], ['2, k, 18', [-0.280021, -1.03594, 1.0]], ['2, k, 19', [-0.254267, -1.09656, 1.0]], ['2, k, 20', [-0.369288, 0.305979, 1.0]], ['2, k, 21', [-0.615113, 0.434269, 1.0]], ['2, k, 22', [-0.679081, 0.458799, 1.0]], ['2, k, 23', [-0.0224547, 0.438348, 1.0]], ['2, k, 24', [-0.0357477, 0.46642, 1.0]]]
[['2, k, 0', [-0.3949, -0.247079, 1.0]], ['2, k, 1', [-0.381702, 0.0702671, 1.0]], ['2, k, 2', [-0.364525, 0.38348, 1.0]], ['2, k, 3', [-0.355232, 0.536051, 1.0]], ['2, k, 4', [-0.535712, 0.285835, 1.0]], ['2, k, 5', [-0.68216, 0.305648, 1.0]], ['2, k, 6', [-0.662122, 0.373029, 1.0]], ['2, k, 7', [-0.646515, 0.417127, 1.0]], ['2, k, 8', [-0.184378, 0.302567, 1.0]], ['2, k, 9', [0.00537225, 0.335647, 1.0]], ['2, k, 10', [0.00426709, 0.414876, 1.0]], ['2, k, 11', [-0.00766425, 0.431294, 1.0]], ['2, k, 12', [-0.469269, -0.246789, 1.0]], ['2, k, 13', [-0.508381, -0.654979, 1.0]], ['2, k, 14', [-0.541295, -1.0258, 1.0]], ['2, k, 15', [-0.552349, -1.08877, 1.0]], ['2, k, 16', [-0.308709, -0.240005, 1.0]], ['2, k, 17', [-0.291102, -0.696787, 1.0]], ['2, k, 18', [-0.280163, -1.03715, 1.0]], ['2, k, 19', [-0.254468, -1.0965, 1.0]], ['2, k, 20', [-0.369362, 0.306132, 1.0]], ['2, k, 21', [-0.607698, 0.440991, 1.0]], ['2, k, 22', [-0.684693, 0.451099, 1.0]], ['2, k, 23', [-0.0277377, 0.444346, 1.0]], ['2, k, 24', [-0.045866, 0.409375, 1.0]]]
[['2, k, 0', [-0.395015, -0.247225, 1.0]], ['2, k, 1', [-0.381792, 0.0705468, 1.0]], ['2, k, 2', [-0.364636, 0.383602, 1.0]], ['2, k, 3', [-0.355103, 0.534879, 1.0]], ['2, k, 4', [-0.535711, 0.285985, 1.0]], ['2, k, 5', [-0.679101, 0.306361, 1.0]], ['2, k, 6', [-0.661223, 0.378086, 1.0]], ['2, k, 7', [-0.645755, 0.421931, 1.0]], ['2, k, 8', [-0.18441, 0.302901, 1.0]], ['2, k, 9', [0.00587581, 0.338344, 1.0]], ['2, k, 10', [0.0036831, 0.419712, 1.0]], ['2, k, 11', [-0.00711455, 0.43731, 1.0]], ['2, k, 12', [-0.469397, -0.246994, 1.0]], ['2, k, 13', [-0.508713, -0.654339, 1.0]], ['2, k, 14', [-0.541067, -1.02599, 1.0]], ['2, k, 15', [-0.552376, -1.08877, 1.0]], ['2, k, 16', [-0.308831, -0.240107, 1.0]], ['2, k, 17', [-0.291056, -0.696423, 1.0]], ['2, k, 18', [-0.280153, -1.03714, 1.0]], ['2, k, 19', [-0.254774, -1.09582, 1.0]], ['2, k, 20', [-0.369478, 0.306341, 1.0]], ['2, k, 21', [-0.616077, 0.445127, 1.0]], ['2, k, 22', [-0.683664, 0.451503, 1.0]], ['2, k, 23', [-0.0213233, 0.451982, 1.0]], ['2, k, 24', [-0.0301636, 0.415084, 1.0]]]
[['2, k, 0', [-0.395428, -0.252665, 1.0]], ['2, k, 1', [-0.381873, 0.0703968, 1.0]], ['2, k, 2', [-0.365219, 0.384576, 1.0]], ['2, k, 3', [-0.35495, 0.533985, 1.0]], ['2, k, 4', [-0.535341, 0.287455, 1.0]], ['2, k, 5', [-0.678131, 0.305961, 1.0]], ['2, k, 6', [-0.660978, 0.381826, 1.0]], ['2, k, 7', [-0.645575, 0.428814, 1.0]], ['2, k, 8', [-0.184409, 0.302933, 1.0]], ['2, k, 9', [0.0118237, 0.333589, 1.0]], ['2, k, 10', [0.000122175, 0.424771, 1.0]], ['2, k, 11', [-0.0082986, 0.443861, 1.0]], ['2, k, 12', [-0.469806, -0.251956, 1.0]], ['2, k, 13', [-0.509034, -0.652399, 1.0]], ['2, k, 14', [-0.540473, -1.0256, 1.0]], ['2, k, 15', [-0.552496, -1.08852, 1.0]], ['2, k, 16', [-0.309261, -0.245927, 1.0]], ['2, k, 17', [-0.291123, -0.696865, 1.0]], ['2, k, 18', [-0.279255, -1.0388, 1.0]], ['2, k, 19', [-0.255457, -1.09607, 1.0]], ['2, k, 20', [-0.369751, 0.306745, 1.0]], ['2, k, 21', [-0.612466, 0.452783, 1.0]], ['2, k, 22', [-0.686482, 0.45025, 1.0]], ['2, k, 23', [-0.0242155, 0.459771, 1.0]], ['2, k, 24', [-0.0492565, 0.429139, 1.0]]]
[['2, k, 0', [-0.395362, -0.253163, 1.0]], ['2, k, 1', [-0.381926, 0.0704654, 1.0]], ['2, k, 2', [-0.36588, 0.385817, 1.0]], ['2, k, 3', [-0.354787, 0.532422, 1.0]], ['2, k, 4', [-0.535219, 0.287655, 1.0]], ['2, k, 5', [-0.66909, 0.311311, 1.0]], ['2, k, 6', [-0.66038, 0.386717, 1.0]], ['2, k, 7', [-0.646166, 0.434167, 1.0]], ['2, k, 8', [-0.18435, 0.303127, 1.0]], ['2, k, 9', [0.0120414, 0.333573, 1.0]], ['2, k, 10', [-0.000900607, 0.428128, 1.0]], ['2, k, 11', [-0.00901177, 0.449075, 1.0]], ['2, k, 12', [-0.469721, -0.252578, 1.0]], ['2, k, 13', [-0.508965, -0.652672, 1.0]], ['2, k, 14', [-0.540481, -1.02721, 1.0]], ['2, k, 15', [-0.551994, -1.08888, 1.0]], ['2, k, 16', [-0.309212, -0.246292, 1.0]], ['2, k, 17', [-0.291084, -0.696854, 1.0]], ['2, k, 18', [-0.27916, -1.03885, 1.0]], ['2, k, 19', [-0.255505, -1.096, 1.0]], ['2, k, 20', [-0.370203, 0.307659, 1.0]], ['2, k, 21', [-0.608566, 0.459227, 1.0]], ['2, k, 22', [-0.687176, 0.462101, 1.0]], ['2, k, 23', [-0.020678, 0.464049, 1.0]], ['2, k, 24', [-0.0499611, 0.437481, 1.0]]]
[['2, k, 0', [-0.394807, -0.252721, 1.0]], ['2, k, 1', [-0.381909, 0.0709753, 1.0]], ['2, k, 2', [-0.366687, 0.386777, 1.0]], ['2, k, 3', [-0.354936, 0.531133, 1.0]], ['2, k, 4', [-0.53481, 0.289389, 1.0]], ['2, k, 5', [-0.668512, 0.311982, 1.0]], ['2, k, 6', [-0.661248, 0.389553, 1.0]], ['2, k, 7', [-0.646168, 0.441153, 1.0]], ['2, k, 8', [-0.184279, 0.303195, 1.0]], ['2, k, 9', [0.00712792, 0.344501, 1.0]], ['2, k, 10', [0.000224714, 0.4329, 1.0]], ['2, k, 11', [-0.00829769, 0.453152, 1.0]], ['2, k, 12', [-0.46883, -0.249999, 1.0]], ['2, k, 13', [-0.509837, -0.653651, 1.0]], ['2, k, 14', [-0.540557, -1.02828, 1.0]], ['2, k, 15', [-0.551764, -1.08919, 1.0]], ['2, k, 16', [-0.308559, -0.246853, 1.0]], ['2, k, 17', [-0.29108, -0.696862, 1.0]], ['2, k, 18', [-0.279293, -1.03918, 1.0]], ['2, k, 19', [-0.255509, -1.09603, 1.0]], ['2, k, 20', [-0.370662, 0.308449, 1.0]], ['2, k, 21', [-0.610073, 0.467893, 1.0]], ['2, k, 22', [-0.684435, 0.462373, 1.0]], ['2, k, 23', [-0.0193064, 0.470783, 1.0]], ['2, k, 24', [-0.0276443, 0.432509, 1.0]]]
[['2, k, 0', [-0.394002, -0.252211, 1.0]], ['2, k, 1', [-0.381736, 0.0718189, 1.0]], ['2, k, 2', [-0.36715, 0.387739, 1.0]], ['2, k, 3', [-0.354955, 0.529592, 1.0]], ['2, k, 4', [-0.534853, 0.289531, 1.0]], ['2, k, 5', [-0.666308, 0.313646, 1.0]], ['2, k, 6', [-0.662371, 0.391372, 1.0]], ['2, k, 7', [-0.64567, 0.445353, 1.0]], ['2, k, 8', [-0.183906, 0.303368, 1.0]], ['2, k, 9', [0.00727812, 0.346157, 1.0]], ['2, k, 10', [1.00569e-05, 0.43681, 1.0]], ['2, k, 11', [-0.0099954, 0.457106, 1.0]], ['2, k, 12', [-0.467894, -0.248431, 1.0]], ['2, k, 13', [-0.510023, -0.652259, 1.0]], ['2, k, 14', [-0.540557, -1.02833, 1.0]], ['2, k, 15', [-0.551708, -1.08937, 1.0]], ['2, k, 16', [-0.307762, -0.247238, 1.0]], ['2, k, 17', [-0.29107, -0.69691, 1.0]], ['2, k, 18', [-0.279308, -1.03944, 1.0]], ['2, k, 19', [-0.256225, -1.09611, 1.0]], ['2, k, 20', [-0.371006, 0.309505, 1.0]], ['2, k, 21', [-0.620599, 0.472074, 1.0]], ['2, k, 22', [-0.678108, 0.460238, 1.0]], ['2, k, 23', [-0.020098, 0.472547, 1.0]], ['2, k, 24', [-0.0631541, 0.450404, 1.0]]]
