[['2, k, 0', [-0.355986, -0.549952, 1.0]], ['2, k, 1', [-0.346979, -0.262261, 1.0]], ['2, k, 2', [-0.336239, 0.0204216, 1.0]], ['2, k, 3', [-0.305226, 0.148783, 1.0]], ['2, k, 4', [-0.492907, -0.0697745, 1.0]], ['2, k, 5', [-0.59619, -0.208592, 1.0]], ['2, k, 6', [-0.594184, -0.331609, 1.0]], ['2, k, 7', [-0.583676, -0.380177, 1.0]], ['2, k, 8', [-0.169647, -0.0883762, 1.0]], ['2, k, 9', [-0.0708985, -0.207556, 1.0]], ['2, k, 10', [-0.0191452, -0.28858, 1.0]], ['2, k, 11', [-0.0153972, -0.330558, 1.0]], ['2, k, 12', [-0.424922, -0.538482, 1.0]], ['2, k, 13', [-0.404335, -0.858542, 1.0]], ['2, k, 14', [-0.433214, -1.06105, 1.0]], ['2, k, 15', [-0.450171, -1.12629, 1.0]], ['2, k, 16', [-0.277719, -0.547022, 1.0]], ['2, k, 17', [-0.27216, -0.867336, 1.0]], ['2, k, 18', [-0.24181, -1.05319, 1.0]], ['2, k, 19', [-0.232373, -1.11268, 1.0]], ['2, k, 20', [-0.339235, -0.0495521, 1.0]], ['2, k, 21', [-0.546873, -0.402044, 1.0]], ['2, k, 22', [-0.484154, -0.383909, 1.0]], ['2, k, 23', [-0.0088773, -0.355863, 1.0]], ['2, k, 24', [0.0540787, -0.326891, 1.0]]]
[['2, k, 0', [-0.355883, -0.551125, 1.0]], ['2, k, 1', [-0.347012, -0.264248, 1.0]], ['2, k, 2', [-0.336478, 0.0174276, 1.0]], ['2, k, 3', [-0.305349, 0.14505, 1.0]], ['2, k, 4', [-0.49302, -0.0730407, 1.0]], ['2, k, 5', [-0.598114, -0.213605, 1.0]], ['2, k, 6', [-0.593016, -0.33869, 1.0]], ['2, k, 7', [-0.589696, -0.390066, 1.0]], ['2, k, 8', [-0.169916, -0.0903883, 1.0]], ['2, k, 9', [-0.0711602, -0.207661, 1.0]], ['2, k, 10', [-0.0192511, -0.289671, 1.0]], ['2, k, 11', [-0.019185, -0.339658, 1.0]], ['2, k, 12', [-0.424823, -0.539873, 1.0]], ['2, k, 13', [-0.401112, -0.859636, 1.0]], ['2, k, 14', [-0.430367, -1.06243, 1.0]], ['2, k, 15', [-0.451674, -1.12447, 1.0]], ['2, k, 16', [-0.277628, -0.548002, 1.0]], ['2, k, 17', [-0.27292, -0.868326, 1.0]], ['2, k, 18', [-0.240744, -1.05332, 1.0]], ['2, k, 19', [-0.232672, -1.11298, 1.0]], ['2, k, 20', [-0.339416, -0.0522794, 1.0]], ['2, k, 21', [-0.559228, -0.416043, 1.0]], ['2, k, 22', [-0.486297, -0.387335, 1.0]], ['2, k, 23', [-0.00901273, -0.362385, 1.0]], ['2, k, 24', [-0.105159, -0.360375, 1.0]]]
[['2, k, 0', [-0.355963, -0.553949, 1.0]], ['2, k, 1', [-0.347655, -0.269529, 1.0]], ['2, k, 2', [-0.337918, 0.00915626, 1.0]], ['2, k, 3', [-0.306539, 0.13766, 1.0]], ['2, k, 4', [-0.494642, -0.0819245, 1.0]], ['2, k, 5', [-0.610262, -0.2275, 1.0]], ['2, k, 6', [-0.591233, -0.357031, 1.0]], ['2, k, 7', [-0.587767, -0.402314, 1.0]], ['2, k, 8', [-0.170603, -0.0963735, 1.0]], ['2, k, 9', [-0.0453269, -0.2204, 1.0]], ['2, k, 10', [-0.0188018, -0.304563, 1.0]], ['2, k, 11', [-0.0213369, -0.349082, 1.0]], ['2, k, 12', [-0.424931, -0.543176, 1.0]], ['2, k, 13', [-0.398742, -0.861935, 1.0]], ['2, k, 14', [-0.430024, -1.06225, 1.0]], ['2, k, 15', [-0.453569, -1.12738, 1.0]], ['2, k, 16', [-0.277713, -0.550358, 1.0]], ['2, k, 17', [-0.274619, -0.869751, 1.0]], ['2, k, 18', [-0.240123, -1.05351, 1.0]], ['2, k, 19', [-0.232421, -1.11313, 1.0]], ['2, k, 20', [-0.340639, -0.0597689, 1.0]], ['2, k, 21', [-0.556027, -0.427188, 1.0]], ['2, k, 22', [-0.488349, -0.400883, 1.0]], ['2, k, 23', [-0.0166801, -0.37145, 1.0]], ['2, k, 24', [-0.105005, -0.370868, 1.0]]]
[['2, k, 0', [-0.356552, -0.559465, 1.0]], ['2, k, 1', [-0.348673, -0.277381, 1.0]], ['2, k, 2', [-0.339255, -0.000576199, 1.0]], ['2, k, 3', [-0.308456, 0.127436, 1.0]], ['2, k, 4', [-0.496531, -0.0911428, 1.0]], ['2, k, 5', [-0.597585, -0.240495, 1.0]], ['2, k, 6', [-0.591372, -0.362931, 1.0]], ['2, k, 7', [-0.589452, -0.416151, 1.0]], ['2, k, 8', [-0.172533, -0.105071, 1.0]], ['2, k, 9', [-0.045013, -0.220523, 1.0]], ['2, k, 10', [-0.0218535, -0.312055, 1.0]], ['2, k, 11', [-0.0218263, -0.357573, 1.0]], ['2, k, 12', [-0.425555, -0.548894, 1.0]], ['2, k, 13', [-0.39553, -0.866354, 1.0]], ['2, k, 14', [-0.430602, -1.06457, 1.0]], ['2, k, 15', [-0.455236, -1.12626, 1.0]], ['2, k, 16', [-0.278288, -0.555585, 1.0]], ['2, k, 17', [-0.276275, -0.874026, 1.0]], ['2, k, 18', [-0.238947, -1.05363, 1.0]], ['2, k, 19', [-0.232708, -1.11454, 1.0]], ['2, k, 20', [-0.341911, -0.0690921, 1.0]], ['2, k, 21', [-0.56574, -0.442718, 1.0]], ['2, k, 22', [-0.494132, -0.418905, 1.0]], ['2, k, 23', [-0.0211692, -0.38176, 1.0]], ['2, k, 24', [-0.105087, -0.380394, 1.0]]]
[['2, k, 0', [-0.356365, -0.56816, 1.0]], ['2, k, 1', [-0.348985, -0.286803, 1.0]], ['2, k, 2', [-0.339989, -0.0103255, 1.0]], ['2, k, 3', [-0.309913, 0.11839, 1.0]], ['2, k, 4', [-0.49834, -0.100178, 1.0]], ['2, k, 5', [-0.62017, -0.249093, 1.0]], ['2, k, 6', [-0.593987, -0.376105, 1.0]], ['2, k, 7', [-0.589355, -0.430208, 1.0]], ['2, k, 8', [-0.173869, -0.112449, 1.0]], ['2, k, 9', [-0.0452237, -0.223758, 1.0]], ['2, k, 10', [-0.0231066, -0.343141, 1.0]], ['2, k, 11', [-0.0246299, -0.368961, 1.0]], ['2, k, 12', [-0.425404, -0.558007, 1.0]], ['2, k, 13', [-0.391125, -0.8738, 1.0]], ['2, k, 14', [-0.429872, -1.06414, 1.0]], ['2, k, 15', [-0.455869, -1.12729, 1.0]], ['2, k, 16', [-0.2781, -0.563666, 1.0]], ['2, k, 17', [-0.278883, -0.880906, 1.0]], ['2, k, 18', [-0.238692, -1.05547, 1.0]], ['2, k, 19', [-0.23353, -1.11753, 1.0]], ['2, k, 20', [-0.342546, -0.0787909, 1.0]], ['2, k, 21', [-0.561043, -0.456723, 1.0]], ['2, k, 22', [-0.50404, -0.431251, 1.0]], ['2, k, 23', [-0.0220081, -0.393951, 1.0]], ['2, k, 24', [-0.105353, -0.389207, 1.0]]]
[['2, k, 0', [-0.356414, -0.574443, 1.0]], ['2, k, 1', [-0.349128, -0.295181, 1.0]], ['2, k, 2', [-0.340178, -0.0212071, 1.0]], ['2, k, 3', [-0.312304, 0.108615, 1.0]], ['2, k, 4', [-0.500498, -0.109907, 1.0]], ['2, k, 5', [-0.602863, -0.266682, 1.0]], ['2, k, 6', [-0.596698, -0.39195, 1.0]], ['2, k, 7', [-0.589329, -0.444295, 1.0]], ['2, k, 8', [-0.175654, -0.12087, 1.0]], ['2, k, 9', [-0.0465351, -0.232844, 1.0]], ['2, k, 10', [-0.0236913, -0.344766, 1.0]], ['2, k, 11', [-0.0265749, -0.381498, 1.0]], ['2, k, 12', [-0.425493, -0.564431, 1.0]], ['2, k, 13', [-0.38822, -0.878856, 1.0]], ['2, k, 14', [-0.433504, -1.06744, 1.0]], ['2, k, 15', [-0.455577, -1.12791, 1.0]], ['2, k, 16', [-0.278142, -0.569683, 1.0]], ['2, k, 17', [-0.281714, -0.885397, 1.0]], ['2, k, 18', [-0.239017, -1.05775, 1.0]], ['2, k, 19', [-0.232016, -1.11859, 1.0]], ['2, k, 20', [-0.342728, -0.0890186, 1.0]], ['2, k, 21', [-0.56262, -0.469509, 1.0]], ['2, k, 22', [-0.501064, -0.441471, 1.0]], ['2, k, 23', [-0.031815, -0.406582, 1.0]], ['2, k, 24', [-0.106054, -0.400661, 1.0]]]
[['2, k, 0', [-0.359461, -0.595318, 1.0]], ['2, k, 1', [-0.352043, -0.309617, 1.0]], ['2, k, 2', [-0.342703, -0.0299222, 1.0]], ['2, k, 3', [-0.314259, 0.098655, 1.0]], ['2, k, 4', [-0.50209, -0.119888, 1.0]], ['2, k, 5', [-0.613589, -0.269111, 1.0]], ['2, k, 6', [-0.597256, -0.400473, 1.0]], ['2, k, 7', [-0.589184, -0.455068, 1.0]], ['2, k, 8', [-0.177428, -0.128507, 1.0]], ['2, k, 9', [-0.0503141, -0.243195, 1.0]], ['2, k, 10', [-0.0252727, -0.347638, 1.0]], ['2, k, 11', [-0.0303675, -0.389956, 1.0]], ['2, k, 12', [-0.428655, -0.586122, 1.0]], ['2, k, 13', [-0.382842, -0.897126, 1.0]], ['2, k, 14', [-0.43296, -1.06799, 1.0]], ['2, k, 15', [-0.455885, -1.12706, 1.0]], ['2, k, 16', [-0.281017, -0.589237, 1.0]], ['2, k, 17', [-0.283584, -0.902654, 1.0]], ['2, k, 18', [-0.238834, -1.05742, 1.0]], ['2, k, 19', [-0.23189, -1.1197, 1.0]], ['2, k, 20', [-0.34537, -0.0990645, 1.0]], ['2, k, 21', [-0.562535, -0.482041, 1.0]], ['2, k, 22', [-0.498262, -0.452733, 1.0]], ['2, k, 23', [-0.0349834, -0.414992, 1.0]], ['2, k, 24', [-0.110231, -0.411287, 1.0]]]
[['2, k, 0', [-0.361468, -0.607548, 1.0]], ['2, k, 1', [-0.354016, -0.319485, 1.0]], ['2, k, 2', [-0.344624, -0.0371551, 1.0]], ['2, k, 3', [-0.316377, 0.0928273, 1.0]], ['2, k, 4', [-0.502363, -0.121812, 1.0]], ['2, k, 5', [-0.604592, -0.280099, 1.0]], ['2, k, 6', [-0.597938, -0.415039, 1.0]], ['2, k, 7', [-0.596699, -0.464607, 1.0]], ['2, k, 8', [-0.179733, -0.135599, 1.0]], ['2, k, 9', [-0.051099, -0.248806, 1.0]], ['2, k, 10', [-0.0282739, -0.355222, 1.0]], ['2, k, 11', [-0.0334765, -0.399525, 1.0]], ['2, k, 12', [-0.430459, -0.596248, 1.0]], ['2, k, 13', [-0.379647, -0.903573, 1.0]], ['2, k, 14', [-0.430876, -1.06619, 1.0]], ['2, k, 15', [-0.45711, -1.12744, 1.0]], ['2, k, 16', [-0.283204, -0.603491, 1.0]], ['2, k, 17', [-0.28546, -0.913806, 1.0]], ['2, k, 18', [-0.240169, -1.05771, 1.0]], ['2, k, 19', [-0.230922, -1.11999, 1.0]], ['2, k, 20', [-0.347303, -0.106957, 1.0]], ['2, k, 21', [-0.568453, -0.493821, 1.0]], ['2, k, 22', [-0.512561, -0.469185, 1.0]], ['2, k, 23', [-0.0355826, -0.42494, 1.0]], ['2, k, 24', [-0.112761, -0.422927, 1.0]]]
[['2, k, 0', [-0.362998, -0.613658, 1.0]], ['2, k, 1', [-0.354448, -0.322587, 1.0]], ['2, k, 2', [-0.344537, -0.0380245, 1.0]], ['2, k, 3', [-0.31761, 0.0877369, 1.0]], ['2, k, 4', [-0.503963, -0.129973, 1.0]], ['2, k, 5', [-0.605953, -0.287935, 1.0]], ['2, k, 6', [-0.599114, -0.421805, 1.0]], ['2, k, 7', [-0.597021, -0.474453, 1.0]], ['2, k, 8', [-0.181821, -0.140901, 1.0]], ['2, k, 9', [-0.0521651, -0.25499, 1.0]], ['2, k, 10', [-0.0290339, -0.358696, 1.0]], ['2, k, 11', [-0.0343611, -0.406581, 1.0]], ['2, k, 12', [-0.432122, -0.603269, 1.0]], ['2, k, 13', [-0.376993, -0.908129, 1.0]], ['2, k, 14', [-0.431109, -1.06688, 1.0]], ['2, k, 15', [-0.457091, -1.12735, 1.0]], ['2, k, 16', [-0.284532, -0.608453, 1.0]], ['2, k, 17', [-0.28767, -0.918446, 1.0]], ['2, k, 18', [-0.239838, -1.05819, 1.0]], ['2, k, 19', [-0.2294, -1.12096, 1.0]], ['2, k, 20', [-0.347294, -0.108263, 1.0]], ['2, k, 21', [-0.570761, -0.503321, 1.0]], ['2, k, 22', [-0.518885, -0.478547, 1.0]], ['2, k, 23', [-0.0361599, -0.428955, 1.0]], ['2, k, 24', [-0.111564, -0.429148, 1.0]]]
[['2, k, 0', [-0.363012, -0.613705, 1.0]], ['2, k, 1', [-0.354445, -0.322993, 1.0]], ['2, k, 2', [-0.344524, -0.0390129, 1.0]], ['2, k, 3', [-0.319178, 0.0823849, 1.0]], ['2, k, 4', [-0.505755, -0.137463, 1.0]], ['2, k, 5', [-0.605817, -0.293479, 1.0]], ['2, k, 6', [-0.6027, -0.42704, 1.0]], ['2, k, 7', [-0.600006, -0.482761, 1.0]], ['2, k, 8', [-0.18205, -0.141705, 1.0]], ['2, k, 9', [-0.0547487, -0.261545, 1.0]], ['2, k, 10', [-0.0309396, -0.363624, 1.0]], ['2, k, 11', [-0.0361862, -0.41388, 1.0]], ['2, k, 12', [-0.432126, -0.603377, 1.0]], ['2, k, 13', [-0.376736, -0.908286, 1.0]], ['2, k, 14', [-0.432319, -1.06795, 1.0]], ['2, k, 15', [-0.458292, -1.12726, 1.0]], ['2, k, 16', [-0.28448, -0.60834, 1.0]], ['2, k, 17', [-0.28884, -0.918243, 1.0]], ['2, k, 18', [-0.239369, -1.061, 1.0]], ['2, k, 19', [-0.229328, -1.1216, 1.0]], ['2, k, 20', [-0.347288, -0.109144, 1.0]], ['2, k, 21', [-0.569699, -0.508688, 1.0]], ['2, k, 22', [-0.504629, -0.479898, 1.0]], ['2, k, 23', [-0.0419291, -0.439685, 1.0]], ['2, k, 24', [-0.117146, -0.435296, 1.0]]]
[['2, k, 0', [-0.362671, -0.613866, 1.0]], ['2, k, 1', [-0.354775, -0.325463, 1.0]], ['2, k, 2', [-0.346998, -0.0460075, 1.0]], ['2, k, 3', [-0.320526, 0.0795363, 1.0]], ['2, k, 4', [-0.507274, -0.140297, 1.0]], ['2, k, 5', [-0.606331, -0.297973, 1.0]], ['2, k, 6', [-0.602466, -0.432235, 1.0]], ['2, k, 7', [-0.597692, -0.485274, 1.0]], ['2, k, 8', [-0.184587, -0.147354, 1.0]], ['2, k, 9', [-0.0561401, -0.265753, 1.0]], ['2, k, 10', [-0.032164, -0.36714, 1.0]], ['2, k, 11', [-0.0381535, -0.418917, 1.0]], ['2, k, 12', [-0.431832, -0.603765, 1.0]], ['2, k, 13', [-0.376725, -0.908397, 1.0]], ['2, k, 14', [-0.433166, -1.0684, 1.0]], ['2, k, 15', [-0.457116, -1.12702, 1.0]], ['2, k, 16', [-0.284005, -0.608292, 1.0]], ['2, k, 17', [-0.289582, -0.918038, 1.0]], ['2, k, 18', [-0.239738, -1.06179, 1.0]], ['2, k, 19', [-0.230533, -1.12165, 1.0]], ['2, k, 20', [-0.349111, -0.11494, 1.0]], ['2, k, 21', [-0.572756, -0.512919, 1.0]], ['2, k, 22', [-0.502628, -0.483556, 1.0]], ['2, k, 23', [-0.0446606, -0.447107, 1.0]], ['2, k, 24', [-0.11708, -0.439809, 1.0]]]
