[['2, k, 0', [-0.0651639, -0.548305, 1.0]], ['2, k, 1', [-0.0666263, -0.243217, 1.0]], ['2, k, 2', [-0.0677269, 0.0561273, 1.0]], ['2, k, 3', [-0.0504173, 0.199379, 1.0]], ['2, k, 4', [-0.251264, -0.0461087, 1.0]], ['2, k, 5', [-0.338014, -0.273972, 1.0]], ['2, k, 6', [-0.401271, -0.457621, 1.0]], ['2, k, 7', [-0.409374, -0.474699, 1.0]], ['2, k, 8', [0.114354, -0.0780621, 1.0]], ['2, k, 9', [0.207508, -0.288879, 1.0]], ['2, k, 10', [0.278367, -0.465556, 1.0]], ['2, k, 11', [0.274621, -0.471848, 1.0]], ['2, k, 12', [-0.147598, -0.533985, 1.0]], ['2, k, 13', [-0.168596, -0.810848, 1.0]], ['2, k, 14', [-0.191879, -1.12115, 1.0]], ['2, k, 15', [-0.20874, -1.20215, 1.0]], ['2, k, 16', [0.018949, -0.548619, 1.0]], ['2, k, 17', [0.0478616, -0.814423, 1.0]], ['2, k, 18', [0.0862519, -1.14196, 1.0]], ['2, k, 19', [0.118958, -1.21484, 1.0]], ['2, k, 20', [-0.067515, -0.0179453, 1.0]], ['2, k, 21', [-0.427747, -0.5146, 1.0]], ['2, k, 22', [-0.353704, -0.493555, 1.0]], ['2, k, 23', [0.30276, -0.501132, 1.0]], ['2, k, 24', [0.304184, -0.448791, 1.0]]]
[['2, k, 0', [-0.0652669, -0.548306, 1.0]], ['2, k, 1', [-0.0666973, -0.243242, 1.0]], ['2, k, 2', [-0.0677737, 0.0560863, 1.0]], ['2, k, 3', [-0.0504053, 0.199384, 1.0]], ['2, k, 4', [-0.25128, -0.0460856, 1.0]], ['2, k, 5', [-0.338031, -0.274153, 1.0]], ['2, k, 6', [-0.401705, -0.457642, 1.0]], ['2, k, 7', [-0.408576, -0.474157, 1.0]], ['2, k, 8', [0.114033, -0.0786607, 1.0]], ['2, k, 9', [0.207426, -0.288715, 1.0]], ['2, k, 10', [0.278328, -0.465295, 1.0]], ['2, k, 11', [0.275223, -0.471687, 1.0]], ['2, k, 12', [-0.147686, -0.533914, 1.0]], ['2, k, 13', [-0.168573, -0.810873, 1.0]], ['2, k, 14', [-0.192207, -1.12036, 1.0]], ['2, k, 15', [-0.208759, -1.20215, 1.0]], ['2, k, 16', [0.0188229, -0.548695, 1.0]], ['2, k, 17', [0.0480387, -0.814966, 1.0]], ['2, k, 18', [0.0864701, -1.14057, 1.0]], ['2, k, 19', [0.117922, -1.214, 1.0]], ['2, k, 20', [-0.0675672, -0.0179827, 1.0]], ['2, k, 21', [-0.428826, -0.514832, 1.0]], ['2, k, 22', [-0.353952, -0.494329, 1.0]], ['2, k, 23', [0.301366, -0.502221, 1.0]], ['2, k, 24', [0.305419, -0.44887, 1.0]]]
[['2, k, 0', [-0.0653142, -0.548271, 1.0]], ['2, k, 1', [-0.0666977, -0.24328, 1.0]], ['2, k, 2', [-0.0677037, 0.0559095, 1.0]], ['2, k, 3', [-0.0504115, 0.199368, 1.0]], ['2, k, 4', [-0.251374, -0.0461288, 1.0]], ['2, k, 5', [-0.338058, -0.274222, 1.0]], ['2, k, 6', [-0.403292, -0.457058, 1.0]], ['2, k, 7', [-0.409032, -0.474796, 1.0]], ['2, k, 8', [0.11387, -0.0783709, 1.0]], ['2, k, 9', [0.207292, -0.288551, 1.0]], ['2, k, 10', [0.278278, -0.46518, 1.0]], ['2, k, 11', [0.274594, -0.471692, 1.0]], ['2, k, 12', [-0.14773, -0.53392, 1.0]], ['2, k, 13', [-0.168398, -0.810782, 1.0]], ['2, k, 14', [-0.192181, -1.12026, 1.0]], ['2, k, 15', [-0.208768, -1.20223, 1.0]], ['2, k, 16', [0.0187672, -0.548604, 1.0]], ['2, k, 17', [0.0481256, -0.815173, 1.0]], ['2, k, 18', [0.0871903, -1.14101, 1.0]], ['2, k, 19', [0.117597, -1.21379, 1.0]], ['2, k, 20', [-0.0675208, -0.018114, 1.0]], ['2, k, 21', [-0.430953, -0.513312, 1.0]], ['2, k, 22', [-0.355263, -0.496246, 1.0]], ['2, k, 23', [0.299796, -0.500654, 1.0]], ['2, k, 24', [0.304182, -0.446866, 1.0]]]
[['2, k, 0', [-0.0660806, -0.54876, 1.0]], ['2, k, 1', [-0.0672092, -0.243474, 1.0]], ['2, k, 2', [-0.0680446, 0.0559123, 1.0]], ['2, k, 3', [-0.050468, 0.199379, 1.0]], ['2, k, 4', [-0.251506, -0.0461766, 1.0]], ['2, k, 5', [-0.338131, -0.274271, 1.0]], ['2, k, 6', [-0.403146, -0.457224, 1.0]], ['2, k, 7', [-0.409407, -0.475046, 1.0]], ['2, k, 8', [0.113783, -0.0781789, 1.0]], ['2, k, 9', [0.207151, -0.28851, 1.0]], ['2, k, 10', [0.278246, -0.465108, 1.0]], ['2, k, 11', [0.275086, -0.471689, 1.0]], ['2, k, 12', [-0.14859, -0.534592, 1.0]], ['2, k, 13', [-0.168263, -0.811809, 1.0]], ['2, k, 14', [-0.19255, -1.12075, 1.0]], ['2, k, 15', [-0.208615, -1.20259, 1.0]], ['2, k, 16', [0.018098, -0.548936, 1.0]], ['2, k, 17', [0.048157, -0.815183, 1.0]], ['2, k, 18', [0.087128, -1.14128, 1.0]], ['2, k, 19', [0.115284, -1.21189, 1.0]], ['2, k, 20', [-0.0678957, -0.0181537, 1.0]], ['2, k, 21', [-0.429288, -0.514527, 1.0]], ['2, k, 22', [-0.354389, -0.497247, 1.0]], ['2, k, 23', [0.303024, -0.501025, 1.0]], ['2, k, 24', [0.305288, -0.448685, 1.0]]]
[['2, k, 0', [-0.0661096, -0.548959, 1.0]], ['2, k, 1', [-0.0672309, -0.243767, 1.0]], ['2, k, 2', [-0.0680496, 0.055528, 1.0]], ['2, k, 3', [-0.050561, 0.199389, 1.0]], ['2, k, 4', [-0.251562, -0.0461862, 1.0]], ['2, k, 5', [-0.33831, -0.274706, 1.0]], ['2, k, 6', [-0.403024, -0.457636, 1.0]], ['2, k, 7', [-0.409011, -0.475044, 1.0]], ['2, k, 8', [0.113727, -0.0781022, 1.0]], ['2, k, 9', [0.207064, -0.288464, 1.0]], ['2, k, 10', [0.278215, -0.465024, 1.0]], ['2, k, 11', [0.274372, -0.471054, 1.0]], ['2, k, 12', [-0.148616, -0.534823, 1.0]], ['2, k, 13', [-0.168077, -0.811907, 1.0]], ['2, k, 14', [-0.192426, -1.121, 1.0]], ['2, k, 15', [-0.208658, -1.20267, 1.0]], ['2, k, 16', [0.0180691, -0.549098, 1.0]], ['2, k, 17', [0.0481617, -0.81535, 1.0]], ['2, k, 18', [0.0872061, -1.14078, 1.0]], ['2, k, 19', [0.11522, -1.2119, 1.0]], ['2, k, 20', [-0.0679055, -0.0185165, 1.0]], ['2, k, 21', [-0.432854, -0.514123, 1.0]], ['2, k, 22', [-0.353932, -0.494358, 1.0]], ['2, k, 23', [0.29897, -0.500754, 1.0]], ['2, k, 24', [0.305877, -0.449808, 1.0]]]
[['2, k, 0', [-0.0661912, -0.548975, 1.0]], ['2, k, 1', [-0.0673323, -0.243799, 1.0]], ['2, k, 2', [-0.0681715, 0.0554844, 1.0]], ['2, k, 3', [-0.0504608, 0.199311, 1.0]], ['2, k, 4', [-0.251512, -0.0461237, 1.0]], ['2, k, 5', [-0.338361, -0.274828, 1.0]], ['2, k, 6', [-0.403722, -0.457494, 1.0]], ['2, k, 7', [-0.409155, -0.474954, 1.0]], ['2, k, 8', [0.112403, -0.079275, 1.0]], ['2, k, 9', [0.207052, -0.28849, 1.0]], ['2, k, 10', [0.278192, -0.465049, 1.0]], ['2, k, 11', [0.275064, -0.471038, 1.0]], ['2, k, 12', [-0.148696, -0.534737, 1.0]], ['2, k, 13', [-0.168078, -0.811947, 1.0]], ['2, k, 14', [-0.192487, -1.12067, 1.0]], ['2, k, 15', [-0.208608, -1.20236, 1.0]], ['2, k, 16', [0.0179179, -0.549237, 1.0]], ['2, k, 17', [0.0482116, -0.815459, 1.0]], ['2, k, 18', [0.0871999, -1.1408, 1.0]], ['2, k, 19', [0.11545, -1.21214, 1.0]], ['2, k, 20', [-0.0680222, -0.0185579, 1.0]], ['2, k, 21', [-0.429673, -0.514885, 1.0]], ['2, k, 22', [-0.353956, -0.494257, 1.0]], ['2, k, 23', [0.300198, -0.501232, 1.0]], ['2, k, 24', [0.304956, -0.448361, 1.0]]]
[['2, k, 0', [-0.0666515, -0.549007, 1.0]], ['2, k, 1', [-0.0675191, -0.243852, 1.0]], ['2, k, 2', [-0.0682216, 0.0554, 1.0]], ['2, k, 3', [-0.0504915, 0.199344, 1.0]], ['2, k, 4', [-0.251485, -0.0462328, 1.0]], ['2, k, 5', [-0.338356, -0.274952, 1.0]], ['2, k, 6', [-0.40365, -0.45764, 1.0]], ['2, k, 7', [-0.410009, -0.473989, 1.0]], ['2, k, 8', [0.11163, -0.0797706, 1.0]], ['2, k, 9', [0.207053, -0.288493, 1.0]], ['2, k, 10', [0.278199, -0.465074, 1.0]], ['2, k, 11', [0.273747, -0.471072, 1.0]], ['2, k, 12', [-0.14907, -0.534711, 1.0]], ['2, k, 13', [-0.168161, -0.811707, 1.0]], ['2, k, 14', [-0.192557, -1.12063, 1.0]], ['2, k, 15', [-0.208666, -1.20239, 1.0]], ['2, k, 16', [0.0173704, -0.549335, 1.0]], ['2, k, 17', [0.0482003, -0.815481, 1.0]], ['2, k, 18', [0.08732, -1.14069, 1.0]], ['2, k, 19', [0.115415, -1.21186, 1.0]], ['2, k, 20', [-0.0681076, -0.0186314, 1.0]], ['2, k, 21', [-0.42946, -0.513831, 1.0]], ['2, k, 22', [-0.361606, -0.490911, 1.0]], ['2, k, 23', [0.298686, -0.501305, 1.0]], ['2, k, 24', [0.30548, -0.447226, 1.0]]]
[['2, k, 0', [-0.0667517, -0.549125, 1.0]], ['2, k, 1', [-0.0675724, -0.243976, 1.0]], ['2, k, 2', [-0.0682023, 0.0552626, 1.0]], ['2, k, 3', [-0.0505842, 0.199373, 1.0]], ['2, k, 4', [-0.25154, -0.0462861, 1.0]], ['2, k, 5', [-0.338383, -0.274968, 1.0]], ['2, k, 6', [-0.403398, -0.457739, 1.0]], ['2, k, 7', [-0.410464, -0.473914, 1.0]], ['2, k, 8', [0.111646, -0.0795842, 1.0]], ['2, k, 9', [0.206801, -0.288246, 1.0]], ['2, k, 10', [0.278064, -0.464815, 1.0]], ['2, k, 11', [0.274112, -0.471709, 1.0]], ['2, k, 12', [-0.149167, -0.534869, 1.0]], ['2, k, 13', [-0.168081, -0.811604, 1.0]], ['2, k, 14', [-0.192921, -1.11975, 1.0]], ['2, k, 15', [-0.208637, -1.20246, 1.0]], ['2, k, 16', [0.017269, -0.549418, 1.0]], ['2, k, 17', [0.0483488, -0.815697, 1.0]], ['2, k, 18', [0.0873305, -1.14073, 1.0]], ['2, k, 19', [0.11513, -1.21169, 1.0]], ['2, k, 20', [-0.0681099, -0.0187669, 1.0]], ['2, k, 21', [-0.433906, -0.514015, 1.0]], ['2, k, 22', [-0.356503, -0.493787, 1.0]], ['2, k, 23', [0.298764, -0.500435, 1.0]], ['2, k, 24', [0.305178, -0.447774, 1.0]]]
[['2, k, 0', [-0.0671577, -0.549343, 1.0]], ['2, k, 1', [-0.0676593, -0.244186, 1.0]], ['2, k, 2', [-0.0680645, 0.0549284, 1.0]], ['2, k, 3', [-0.0505745, 0.19932, 1.0]], ['2, k, 4', [-0.251647, -0.0463668, 1.0]], ['2, k, 5', [-0.338626, -0.275196, 1.0]], ['2, k, 6', [-0.403394, -0.457894, 1.0]], ['2, k, 7', [-0.409007, -0.475686, 1.0]], ['2, k, 8', [0.111678, -0.0794723, 1.0]], ['2, k, 9', [0.206598, -0.287926, 1.0]], ['2, k, 10', [0.27787, -0.46452, 1.0]], ['2, k, 11', [0.274934, -0.471844, 1.0]], ['2, k, 12', [-0.149584, -0.535155, 1.0]], ['2, k, 13', [-0.168063, -0.811559, 1.0]], ['2, k, 14', [-0.192785, -1.11944, 1.0]], ['2, k, 15', [-0.208342, -1.20143, 1.0]], ['2, k, 16', [0.0168956, -0.549568, 1.0]], ['2, k, 17', [0.0483942, -0.816145, 1.0]], ['2, k, 18', [0.087453, -1.1408, 1.0]], ['2, k, 19', [0.115105, -1.21154, 1.0]], ['2, k, 20', [-0.0680421, -0.0190527, 1.0]], ['2, k, 21', [-0.430642, -0.515233, 1.0]], ['2, k, 22', [-0.354871, -0.495144, 1.0]], ['2, k, 23', [0.305533, -0.50158, 1.0]], ['2, k, 24', [0.30397, -0.446038, 1.0]]]
[['2, k, 0', [-0.068147, -0.549417, 1.0]], ['2, k, 1', [-0.0678743, -0.244201, 1.0]], ['2, k, 2', [-0.068045, 0.0549374, 1.0]], ['2, k, 3', [-0.0505663, 0.19927, 1.0]], ['2, k, 4', [-0.251847, -0.0462888, 1.0]], ['2, k, 5', [-0.338741, -0.275337, 1.0]], ['2, k, 6', [-0.403191, -0.458104, 1.0]], ['2, k, 7', [-0.40792, -0.475303, 1.0]], ['2, k, 8', [0.112027, -0.0793092, 1.0]], ['2, k, 9', [0.206256, -0.287636, 1.0]], ['2, k, 10', [0.277755, -0.464155, 1.0]], ['2, k, 11', [0.274607, -0.471051, 1.0]], ['2, k, 12', [-0.150665, -0.536061, 1.0]], ['2, k, 13', [-0.168088, -0.811536, 1.0]], ['2, k, 14', [-0.192842, -1.11942, 1.0]], ['2, k, 15', [-0.208432, -1.20172, 1.0]], ['2, k, 16', [0.0156332, -0.548789, 1.0]], ['2, k, 17', [0.048523, -0.816126, 1.0]], ['2, k, 18', [0.0876579, -1.14074, 1.0]], ['2, k, 19', [0.115135, -1.21155, 1.0]], ['2, k, 20', [-0.0680446, -0.019049, 1.0]], ['2, k, 21', [-0.4262, -0.515383, 1.0]], ['2, k, 22', [-0.353269, -0.497213, 1.0]], ['2, k, 23', [0.298591, -0.499762, 1.0]], ['2, k, 24', [0.304895, -0.44772, 1.0]]]
[['2, k, 0', [-0.0684697, -0.549504, 1.0]], ['2, k, 1', [-0.0680443, -0.244421, 1.0]], ['2, k, 2', [-0.0680244, 0.0544672, 1.0]], ['2, k, 3', [-0.050578, 0.199227, 1.0]], ['2, k, 4', [-0.251851, -0.0462966, 1.0]], ['2, k, 5', [-0.338802, -0.27561, 1.0]], ['2, k, 6', [-0.402916, -0.458379, 1.0]], ['2, k, 7', [-0.408303, -0.475153, 1.0]], ['2, k, 8', [0.111212, -0.0796726, 1.0]], ['2, k, 9', [0.206023, -0.287191, 1.0]], ['2, k, 10', [0.277572, -0.463801, 1.0]], ['2, k, 11', [0.273987, -0.471898, 1.0]], ['2, k, 12', [-0.151143, -0.536909, 1.0]], ['2, k, 13', [-0.16787, -0.810631, 1.0]], ['2, k, 14', [-0.192855, -1.11904, 1.0]], ['2, k, 15', [-0.208092, -1.20134, 1.0]], ['2, k, 16', [0.0151976, -0.548364, 1.0]], ['2, k, 17', [0.0485459, -0.816489, 1.0]], ['2, k, 18', [0.0876257, -1.14072, 1.0]], ['2, k, 19', [0.114511, -1.2112, 1.0]], ['2, k, 20', [-0.0680864, -0.0194404, 1.0]], ['2, k, 21', [-0.427767, -0.514683, 1.0]], ['2, k, 22', [-0.354039, -0.495606, 1.0]], ['2, k, 23', [0.298531, -0.502578, 1.0]], ['2, k, 24', [0.304809, -0.445953, 1.0]]]
