[['2, k, 0', [0.00168018, -0.41605, 1.0]], ['2, k, 1', [-0.00683684, -0.115051, 1.0]], ['2, k, 2', [-0.0151593, 0.180513, 1.0]], ['2, k, 3', [0.00979424, 0.331502, 1.0]], ['2, k, 4', [-0.167775, 0.0946215, 1.0]], ['2, k, 5', [-0.250431, -0.158849, 1.0]], ['2, k, 6', [-0.333758, -0.392787, 1.0]], ['2, k, 7', [-0.35152, -0.443047, 1.0]], ['2, k, 8', [0.15722, 0.0822704, 1.0]], ['2, k, 9', [0.247591, -0.161193, 1.0]], ['2, k, 10', [0.333771, -0.384439, 1.0]], ['2, k, 11', [0.34179, -0.444839, 1.0]], ['2, k, 12', [-0.0722478, -0.408711, 1.0]], ['2, k, 13', [-0.111811, -0.856371, 1.0]], ['2, k, 14', [-0.124337, -1.22106, 1.0]], ['2, k, 15', [-0.0668204, -1.27016, 1.0]], ['2, k, 16', [0.0755637, -0.414283, 1.0]], ['2, k, 17', [0.107907, -0.85138, 1.0]], ['2, k, 18', [0.144618, -1.20231, 1.0]], ['2, k, 19', [0.159123, -1.25886, 1.0]], ['2, k, 20', [-0.013107, 0.107359, 1.0]], ['2, k, 21', [-0.380978, -0.481755, 1.0]], ['2, k, 22', [-0.281852, -0.461552, 1.0]], ['2, k, 23', [0.384911, -0.487725, 1.0]], ['2, k, 24', [0.374831, -0.410559, 1.0]]]
[['2, k, 0', [0.00097758, -0.412252, 1.0]], ['2, k, 1', [-0.00695575, -0.113839, 1.0]], ['2, k, 2', [-0.0150707, 0.180608, 1.0]], ['2, k, 3', [0.0100504, 0.332616, 1.0]], ['2, k, 4', [-0.167707, 0.0943999, 1.0]], ['2, k, 5', [-0.250917, -0.159649, 1.0]], ['2, k, 6', [-0.333866, -0.39272, 1.0]], ['2, k, 7', [-0.35113, -0.441829, 1.0]], ['2, k, 8', [0.157008, 0.0823895, 1.0]], ['2, k, 9', [0.247531, -0.160989, 1.0]], ['2, k, 10', [0.334172, -0.384737, 1.0]], ['2, k, 11', [0.345386, -0.447655, 1.0]], ['2, k, 12', [-0.07288, -0.405533, 1.0]], ['2, k, 13', [-0.112141, -0.857803, 1.0]], ['2, k, 14', [-0.126829, -1.23572, 1.0]], ['2, k, 15', [-0.064463, -1.28032, 1.0]], ['2, k, 16', [0.0748052, -0.409913, 1.0]], ['2, k, 17', [0.109704, -0.86126, 1.0]], ['2, k, 18', [0.143705, -1.20414, 1.0]], ['2, k, 19', [0.143311, -1.25971, 1.0]], ['2, k, 20', [-0.0130485, 0.107617, 1.0]], ['2, k, 21', [-0.381225, -0.478852, 1.0]], ['2, k, 22', [-0.281984, -0.461177, 1.0]], ['2, k, 23', [0.381865, -0.48648, 1.0]], ['2, k, 24', [0.379203, -0.415274, 1.0]]]
[['2, k, 0', [0.000648111, -0.410114, 1.0]], ['2, k, 1', [-0.00737839, -0.112804, 1.0]], ['2, k, 2', [-0.0153906, 0.180795, 1.0]], ['2, k, 3', [0.00978785, 0.332961, 1.0]], ['2, k, 4', [-0.167601, 0.0949722, 1.0]], ['2, k, 5', [-0.250817, -0.159216, 1.0]], ['2, k, 6', [-0.333957, -0.392717, 1.0]], ['2, k, 7', [-0.349682, -0.442126, 1.0]], ['2, k, 8', [0.15507, 0.0816463, 1.0]], ['2, k, 9', [0.247207, -0.161236, 1.0]], ['2, k, 10', [0.334101, -0.384719, 1.0]], ['2, k, 11', [0.347376, -0.444999, 1.0]], ['2, k, 12', [-0.0732752, -0.402167, 1.0]], ['2, k, 13', [-0.112828, -0.860447, 1.0]], ['2, k, 14', [-0.128181, -1.22891, 1.0]], ['2, k, 15', [-0.0661464, -1.28031, 1.0]], ['2, k, 16', [0.0745539, -0.408773, 1.0]], ['2, k, 17', [0.109833, -0.861005, 1.0]], ['2, k, 18', [0.140007, -1.20414, 1.0]], ['2, k, 19', [0.143525, -1.25955, 1.0]], ['2, k, 20', [-0.0133951, 0.107959, 1.0]], ['2, k, 21', [-0.385539, -0.481805, 1.0]], ['2, k, 22', [-0.275711, -0.461133, 1.0]], ['2, k, 23', [0.379394, -0.485976, 1.0]], ['2, k, 24', [0.406073, -0.437329, 1.0]]]
[['2, k, 0', [0.000554758, -0.407245, 1.0]], ['2, k, 1', [-0.00752809, -0.111344, 1.0]], ['2, k, 2', [-0.0155003, 0.181084, 1.0]], ['2, k, 3', [0.00979551, 0.333442, 1.0]], ['2, k, 4', [-0.167224, 0.0962087, 1.0]], ['2, k, 5', [-0.250759, -0.159153, 1.0]], ['2, k, 6', [-0.334053, -0.392304, 1.0]], ['2, k, 7', [-0.349826, -0.441062, 1.0]], ['2, k, 8', [0.155072, 0.081656, 1.0]], ['2, k, 9', [0.24699, -0.160562, 1.0]], ['2, k, 10', [0.329261, -0.371671, 1.0]], ['2, k, 11', [0.345367, -0.444312, 1.0]], ['2, k, 12', [-0.073297, -0.398691, 1.0]], ['2, k, 13', [-0.114858, -0.864126, 1.0]], ['2, k, 14', [-0.129524, -1.22212, 1.0]], ['2, k, 15', [-0.104181, -1.27846, 1.0]], ['2, k, 16', [0.0744102, -0.406662, 1.0]], ['2, k, 17', [0.110828, -0.868708, 1.0]], ['2, k, 18', [0.141364, -1.20538, 1.0]], ['2, k, 19', [0.149729, -1.27229, 1.0]], ['2, k, 20', [-0.0135208, 0.108478, 1.0]], ['2, k, 21', [-0.381703, -0.480288, 1.0]], ['2, k, 22', [-0.271506, -0.460015, 1.0]], ['2, k, 23', [0.380124, -0.484665, 1.0]], ['2, k, 24', [0.389141, -0.424229, 1.0]]]
[['2, k, 0', [0.000230331, -0.406082, 1.0]], ['2, k, 1', [-0.00773003, -0.110695, 1.0]], ['2, k, 2', [-0.0155906, 0.181193, 1.0]], ['2, k, 3', [0.00992353, 0.333654, 1.0]], ['2, k, 4', [-0.167224, 0.0962572, 1.0]], ['2, k, 5', [-0.250969, -0.159091, 1.0]], ['2, k, 6', [-0.334476, -0.391374, 1.0]], ['2, k, 7', [-0.350395, -0.437842, 1.0]], ['2, k, 8', [0.154787, 0.0817045, 1.0]], ['2, k, 9', [0.24672, -0.159821, 1.0]], ['2, k, 10', [0.331881, -0.376519, 1.0]], ['2, k, 11', [0.349676, -0.443832, 1.0]], ['2, k, 12', [-0.0735493, -0.397733, 1.0]], ['2, k, 13', [-0.115157, -0.867845, 1.0]], ['2, k, 14', [-0.130082, -1.22534, 1.0]], ['2, k, 15', [-0.100274, -1.27906, 1.0]], ['2, k, 16', [0.0740131, -0.405372, 1.0]], ['2, k, 17', [0.112388, -0.871406, 1.0]], ['2, k, 18', [0.142181, -1.20662, 1.0]], ['2, k, 19', [0.169777, -1.27961, 1.0]], ['2, k, 20', [-0.0136337, 0.108703, 1.0]], ['2, k, 21', [-0.375877, -0.476264, 1.0]], ['2, k, 22', [-0.276362, -0.458693, 1.0]], ['2, k, 23', [0.38627, -0.484753, 1.0]], ['2, k, 24', [0.393691, -0.423802, 1.0]]]
[['2, k, 0', [0.00034018, -0.405203, 1.0]], ['2, k, 1', [-0.00756378, -0.110266, 1.0]], ['2, k, 2', [-0.0154325, 0.18122, 1.0]], ['2, k, 3', [0.0099259, 0.333951, 1.0]], ['2, k, 4', [-0.167156, 0.0964568, 1.0]], ['2, k, 5', [-0.251906, -0.156929, 1.0]], ['2, k, 6', [-0.334477, -0.38673, 1.0]], ['2, k, 7', [-0.351063, -0.436767, 1.0]], ['2, k, 8', [0.154986, 0.0816985, 1.0]], ['2, k, 9', [0.246668, -0.159799, 1.0]], ['2, k, 10', [0.333557, -0.377584, 1.0]], ['2, k, 11', [0.348107, -0.442285, 1.0]], ['2, k, 12', [-0.0733987, -0.396857, 1.0]], ['2, k, 13', [-0.115151, -0.869079, 1.0]], ['2, k, 14', [-0.130928, -1.22207, 1.0]], ['2, k, 15', [-0.108918, -1.27545, 1.0]], ['2, k, 16', [0.074078, -0.404558, 1.0]], ['2, k, 17', [0.112535, -0.871935, 1.0]], ['2, k, 18', [0.141367, -1.20982, 1.0]], ['2, k, 19', [0.137306, -1.26227, 1.0]], ['2, k, 20', [-0.0134797, 0.10881, 1.0]], ['2, k, 21', [-0.375304, -0.477522, 1.0]], ['2, k, 22', [-0.278636, -0.458308, 1.0]], ['2, k, 23', [0.388389, -0.486028, 1.0]], ['2, k, 24', [0.384708, -0.415372, 1.0]]]
[['2, k, 0', [0.000196657, -0.403455, 1.0]], ['2, k, 1', [-0.00775994, -0.109371, 1.0]], ['2, k, 2', [-0.0155528, 0.181344, 1.0]], ['2, k, 3', [0.00990626, 0.334367, 1.0]], ['2, k, 4', [-0.166945, 0.0983473, 1.0]], ['2, k, 5', [-0.252012, -0.157092, 1.0]], ['2, k, 6', [-0.336459, -0.387147, 1.0]], ['2, k, 7', [-0.349228, -0.436563, 1.0]], ['2, k, 8', [0.15465, 0.0827919, 1.0]], ['2, k, 9', [0.247063, -0.159979, 1.0]], ['2, k, 10', [0.334146, -0.378349, 1.0]], ['2, k, 11', [0.349395, -0.441351, 1.0]], ['2, k, 12', [-0.0734823, -0.395117, 1.0]], ['2, k, 13', [-0.114657, -0.870918, 1.0]], ['2, k, 14', [-0.12117, -1.23057, 1.0]], ['2, k, 15', [-0.145001, -1.27457, 1.0]], ['2, k, 16', [0.0738797, -0.40292, 1.0]], ['2, k, 17', [0.112738, -0.872715, 1.0]], ['2, k, 18', [0.141574, -1.21009, 1.0]], ['2, k, 19', [0.165061, -1.27883, 1.0]], ['2, k, 20', [-0.013629, 0.109086, 1.0]], ['2, k, 21', [-0.38349, -0.477744, 1.0]], ['2, k, 22', [-0.273282, -0.45958, 1.0]], ['2, k, 23', [0.378734, -0.481094, 1.0]], ['2, k, 24', [0.404617, -0.42814, 1.0]]]
[['2, k, 0', [-0.000390451, -0.402205, 1.0]], ['2, k, 1', [-0.00785763, -0.108838, 1.0]], ['2, k, 2', [-0.0154808, 0.181377, 1.0]], ['2, k, 3', [0.010142, 0.334319, 1.0]], ['2, k, 4', [-0.166693, 0.0987557, 1.0]], ['2, k, 5', [-0.252359, -0.15682, 1.0]], ['2, k, 6', [-0.337282, -0.387395, 1.0]], ['2, k, 7', [-0.354212, -0.433914, 1.0]], ['2, k, 8', [0.154531, 0.0825173, 1.0]], ['2, k, 9', [0.247511, -0.15933, 1.0]], ['2, k, 10', [0.335543, -0.374813, 1.0]], ['2, k, 11', [0.352165, -0.441793, 1.0]], ['2, k, 12', [-0.0740659, -0.393525, 1.0]], ['2, k, 13', [-0.114594, -0.870908, 1.0]], ['2, k, 14', [-0.132024, -1.23658, 1.0]], ['2, k, 15', [-0.120074, -1.28055, 1.0]], ['2, k, 16', [0.0733022, -0.402007, 1.0]], ['2, k, 17', [0.111581, -0.872301, 1.0]], ['2, k, 18', [0.142231, -1.21131, 1.0]], ['2, k, 19', [0.0953761, -1.28263, 1.0]], ['2, k, 20', [-0.013576, 0.109199, 1.0]], ['2, k, 21', [-0.378694, -0.47565, 1.0]], ['2, k, 22', [-0.282487, -0.455205, 1.0]], ['2, k, 23', [0.393687, -0.482707, 1.0]], ['2, k, 24', [0.267773, -0.459641, 1.0]]]
[['2, k, 0', [-0.000412496, -0.401999, 1.0]], ['2, k, 1', [-0.00790573, -0.108622, 1.0]], ['2, k, 2', [-0.0155107, 0.181429, 1.0]], ['2, k, 3', [0.0102097, 0.334219, 1.0]], ['2, k, 4', [-0.166396, 0.0989612, 1.0]], ['2, k, 5', [-0.252906, -0.156593, 1.0]], ['2, k, 6', [-0.338587, -0.387661, 1.0]], ['2, k, 7', [-0.355968, -0.434029, 1.0]], ['2, k, 8', [0.153139, 0.0837463, 1.0]], ['2, k, 9', [0.247881, -0.158745, 1.0]], ['2, k, 10', [0.335727, -0.371151, 1.0]], ['2, k, 11', [0.34855, -0.438738, 1.0]], ['2, k, 12', [-0.0740664, -0.393389, 1.0]], ['2, k, 13', [-0.112138, -0.86162, 1.0]], ['2, k, 14', [-0.132613, -1.22193, 1.0]], ['2, k, 15', [-0.116469, -1.27766, 1.0]], ['2, k, 16', [0.0732424, -0.401625, 1.0]], ['2, k, 17', [0.111046, -0.867561, 1.0]], ['2, k, 18', [0.141874, -1.21058, 1.0]], ['2, k, 19', [0.0886055, -1.27414, 1.0]], ['2, k, 20', [-0.0136149, 0.109305, 1.0]], ['2, k, 21', [-0.377898, -0.476762, 1.0]], ['2, k, 22', [-0.278643, -0.458128, 1.0]], ['2, k, 23', [0.374296, -0.4791, 1.0]], ['2, k, 24', [0.267957, -0.459918, 1.0]]]
[['2, k, 0', [-0.000315875, -0.402185, 1.0]], ['2, k, 1', [-0.00788344, -0.108597, 1.0]], ['2, k, 2', [-0.0154817, 0.181521, 1.0]], ['2, k, 3', [0.0102363, 0.334219, 1.0]], ['2, k, 4', [-0.166353, 0.0989516, 1.0]], ['2, k, 5', [-0.253082, -0.154697, 1.0]], ['2, k, 6', [-0.337528, -0.387645, 1.0]], ['2, k, 7', [-0.351193, -0.434019, 1.0]], ['2, k, 8', [0.152858, 0.084265, 1.0]], ['2, k, 9', [0.24792, -0.157714, 1.0]], ['2, k, 10', [0.336477, -0.369176, 1.0]], ['2, k, 11', [0.351215, -0.439661, 1.0]], ['2, k, 12', [-0.0738758, -0.393295, 1.0]], ['2, k, 13', [-0.111301, -0.87458, 1.0]], ['2, k, 14', [-0.127062, -1.22188, 1.0]], ['2, k, 15', [-0.109651, -1.27798, 1.0]], ['2, k, 16', [0.0731439, -0.40273, 1.0]], ['2, k, 17', [0.11117, -0.872911, 1.0]], ['2, k, 18', [0.142478, -1.21085, 1.0]], ['2, k, 19', [0.18248, -1.27949, 1.0]], ['2, k, 20', [-0.0135872, 0.109392, 1.0]], ['2, k, 21', [-0.379401, -0.473768, 1.0]], ['2, k, 22', [-0.28011, -0.45692, 1.0]], ['2, k, 23', [0.380875, -0.476988, 1.0]], ['2, k, 24', [0.267604, -0.459986, 1.0]]]
[['2, k, 0', [-0.000652449, -0.403516, 1.0]], ['2, k, 1', [-0.00797071, -0.108901, 1.0]], ['2, k, 2', [-0.0154802, 0.181461, 1.0]], ['2, k, 3', [0.00885429, 0.33567, 1.0]], ['2, k, 4', [-0.163926, 0.089247, 1.0]], ['2, k, 5', [-0.257303, -0.162325, 1.0]], ['2, k, 6', [-0.338296, -0.397404, 1.0]], ['2, k, 7', [-0.354712, -0.437511, 1.0]], ['2, k, 8', [0.152681, 0.0831876, 1.0]], ['2, k, 9', [0.249049, -0.159257, 1.0]], ['2, k, 10', [0.336615, -0.369164, 1.0]], ['2, k, 11', [0.349791, -0.437698, 1.0]], ['2, k, 12', [-0.0742759, -0.396343, 1.0]], ['2, k, 13', [-0.113697, -0.871925, 1.0]], ['2, k, 14', [-0.132987, -1.19569, 1.0]], ['2, k, 15', [-0.101392, -1.26308, 1.0]], ['2, k, 16', [0.072945, -0.403002, 1.0]], ['2, k, 17', [0.111168, -0.87298, 1.0]], ['2, k, 18', [0.144832, -1.20842, 1.0]], ['2, k, 19', [0.167808, -1.27042, 1.0]], ['2, k, 20', [-0.0135967, 0.109319, 1.0]], ['2, k, 21', [-0.380825, -0.475201, 1.0]], ['2, k, 22', [-0.288322, -0.456904, 1.0]], ['2, k, 23', [0.380095, -0.47788, 1.0]], ['2, k, 24', [0.27332, -0.460276, 1.0]]]
