[['2, k, 0', [0.3718053, -0.2029299, 1.0]], ['2, k, 1', [0.3656814, 0.08097658, 1.0]], ['2, k, 2', [0.3644752, 0.3581642, 1.0]], ['2, k, 3', [0.376887, 0.4997883, 1.0]], ['2, k, 4', [0.1884411, 0.2569955, 1.0]], ['2, k, 5', [0.1175988, 0.0562102, 1.0]], ['2, k, 6', [0.1484733, -0.09403816, 1.0]], ['2, k, 7', [0.1582012, -0.133092, 1.0]], ['2, k, 8', [0.5250768, 0.2409328, 1.0]], ['2, k, 9', [0.5785065, 0.03654871, 1.0]], ['2, k, 10', [0.4581257, -0.09517831, 1.0]], ['2, k, 11', [0.4301419, -0.1030152, 1.0]], ['2, k, 12', [0.2820517, -0.204326, 1.0]], ['2, k, 13', [0.112942, -0.2566325, 1.0]], ['2, k, 14', [0.1178943, -0.6320459, 1.0]], ['2, k, 15', [0.0394038, -0.6889974, 1.0]], ['2, k, 16', [0.452222, -0.1982045, 1.0]], ['2, k, 17', [0.345988, -0.263053, 1.0]], ['2, k, 18', [0.2752434, -0.6321602, 1.0]], ['2, k, 19', [0.2529847, -0.6909837, 1.0]], ['2, k, 20', [0.364809, 0.2897266, 1.0]], ['2, k, 21', [0.1589265, -0.1882806, 1.0]], ['2, k, 22', [0.105799, -0.1266779, 1.0]], ['2, k, 23', [0.4144033, -0.1279653, 1.0]], ['2, k, 24', [0.3963324, -0.08591834, 1.0]]]
[['2, k, 0', [0.3711464, -0.2029589, 1.0]], ['2, k, 1', [0.3671476, 0.08103104, 1.0]], ['2, k, 2', [0.3689655, 0.3584676, 1.0]], ['2, k, 3', [0.3814363, 0.4975367, 1.0]], ['2, k, 4', [0.1924859, 0.2585034, 1.0]], ['2, k, 5', [0.1187845, 0.0570433, 1.0]], ['2, k, 6', [0.1446079, -0.08839119, 1.0]], ['2, k, 7', [0.1513183, -0.1273419, 1.0]], ['2, k, 8', [0.5279537, 0.2393574, 1.0]], ['2, k, 9', [0.5799226, 0.03881971, 1.0]], ['2, k, 10', [0.4597581, -0.08766662, 1.0]], ['2, k, 11', [0.4207316, -0.1127368, 1.0]], ['2, k, 12', [0.2811881, -0.2033962, 1.0]], ['2, k, 13', [0.09427961, -0.2410125, 1.0]], ['2, k, 14', [0.09652413, -0.6161299, 1.0]], ['2, k, 15', [0.03607184, -0.6820986, 1.0]], ['2, k, 16', [0.4513328, -0.1989353, 1.0]], ['2, k, 17', [0.3517107, -0.2561195, 1.0]], ['2, k, 18', [0.2785083, -0.6249832, 1.0]], ['2, k, 19', [0.2544705, -0.6923005, 1.0]], ['2, k, 20', [0.3685388, 0.2899726, 1.0]], ['2, k, 21', [0.1447295, -0.1815927, 1.0]], ['2, k, 22', [0.1034715, -0.116407, 1.0]], ['2, k, 23', [0.3639004, -0.1479207, 1.0]], ['2, k, 24', [0.3907093, -0.0924568, 1.0]]]
[['2, k, 0', [0.3699128, -0.2032528, 1.0]], ['2, k, 1', [0.3681375, 0.08065177, 1.0]], ['2, k, 2', [0.3725362, 0.3576325, 1.0]], ['2, k, 3', [0.3866188, 0.4965435, 1.0]], ['2, k, 4', [0.1970142, 0.2619513, 1.0]], ['2, k, 5', [0.1179269, 0.05868302, 1.0]], ['2, k, 6', [0.1249604, -0.06481823, 1.0]], ['2, k, 7', [0.1499777, -0.1163307, 1.0]], ['2, k, 8', [0.5299432, 0.2384768, 1.0]], ['2, k, 9', [0.5838288, 0.03596928, 1.0]], ['2, k, 10', [0.45954, -0.08800144, 1.0]], ['2, k, 11', [0.4182248, -0.1158075, 1.0]], ['2, k, 12', [0.2800974, -0.2026037, 1.0]], ['2, k, 13', [0.07797836, -0.2258361, 1.0]], ['2, k, 14', [0.08335969, -0.600451, 1.0]], ['2, k, 15', [0.02308835, -0.670873, 1.0]], ['2, k, 16', [0.4497701, -0.2003383, 1.0]], ['2, k, 17', [0.3623156, -0.2474884, 1.0]], ['2, k, 18', [0.2835886, -0.6152573, 1.0]], ['2, k, 19', [0.26118, -0.652, 1.0]], ['2, k, 20', [0.3714473, 0.2892628, 1.0]], ['2, k, 21', [0.1234284, -0.1642748, 1.0]], ['2, k, 22', [0.09737726, -0.1110678, 1.0]], ['2, k, 23', [0.3590875, -0.1553108, 1.0]], ['2, k, 24', [0.4024899, -0.08936156, 1.0]]]
[['2, k, 0', [0.3684379, -0.2039173, 1.0]], ['2, k, 1', [0.3686182, 0.08005661, 1.0]], ['2, k, 2', [0.373976, 0.3564848, 1.0]], ['2, k, 3', [0.3909417, 0.4946153, 1.0]], ['2, k, 4', [0.1982197, 0.2622888, 1.0]], ['2, k, 5', [0.1185513, 0.05885285, 1.0]], ['2, k, 6', [0.1318048, -0.09483697, 1.0]], ['2, k, 7', [0.1382723, -0.1449725, 1.0]], ['2, k, 8', [0.5316009, 0.2378967, 1.0]], ['2, k, 9', [0.5834637, 0.03338358, 1.0]], ['2, k, 10', [0.4655164, -0.09613435, 1.0]], ['2, k, 11', [0.4318502, -0.1077218, 1.0]], ['2, k, 12', [0.2790997, -0.2023873, 1.0]], ['2, k, 13', [0.06141992, -0.2234272, 1.0]], ['2, k, 14', [0.05144472, -0.5981344, 1.0]], ['2, k, 15', [-0.004871521, -0.6699332, 1.0]], ['2, k, 16', [0.4480048, -0.2020752, 1.0]], ['2, k, 17', [0.3666313, -0.2447025, 1.0]], ['2, k, 18', [0.2861406, -0.6120648, 1.0]], ['2, k, 19', [0.2638802, -0.6488705, 1.0]], ['2, k, 20', [0.3726864, 0.2882475, 1.0]], ['2, k, 21', [0.09417734, -0.1893998, 1.0]], ['2, k, 22', [0.08240062, -0.1088405, 1.0]], ['2, k, 23', [0.3740728, -0.1445909, 1.0]], ['2, k, 24', [0.3845868, -0.1057386, 1.0]]]
[['2, k, 0', [0.3668981, -0.2043735, 1.0]], ['2, k, 1', [0.3694462, 0.07959622, 1.0]], ['2, k, 2', [0.377477, 0.3557862, 1.0]], ['2, k, 3', [0.3948343, 0.4942154, 1.0]], ['2, k, 4', [0.19926, 0.2638493, 1.0]], ['2, k, 5', [0.1183557, 0.05928155, 1.0]], ['2, k, 6', [0.1289105, -0.06600931, 1.0]], ['2, k, 7', [0.1395268, -0.1216642, 1.0]], ['2, k, 8', [0.5342637, 0.23596, 1.0]], ['2, k, 9', [0.5827748, 0.03022224, 1.0]], ['2, k, 10', [0.4652536, -0.09950528, 1.0]], ['2, k, 11', [0.4302391, -0.1079896, 1.0]], ['2, k, 12', [0.2774438, -0.2018034, 1.0]], ['2, k, 13', [0.03878132, -0.2141196, 1.0]], ['2, k, 14', [0.01823259, -0.5874347, 1.0]], ['2, k, 15', [-0.03385424, -0.6609694, 1.0]], ['2, k, 16', [0.4466174, -0.2033596, 1.0]], ['2, k, 17', [0.3691301, -0.2439084, 1.0]], ['2, k, 18', [0.2867604, -0.610672, 1.0]], ['2, k, 19', [0.2648602, -0.6475176, 1.0]], ['2, k, 20', [0.375469, 0.2875924, 1.0]], ['2, k, 21', [0.09764977, -0.1640086, 1.0]], ['2, k, 22', [0.07208136, -0.09856459, 1.0]], ['2, k, 23', [0.3810093, -0.1518106, 1.0]], ['2, k, 24', [0.3899214, -0.1076498, 1.0]]]
[['2, k, 0', [0.3648516, -0.2054933, 1.0]], ['2, k, 1', [0.3697268, 0.07907217, 1.0]], ['2, k, 2', [0.3787146, 0.3551303, 1.0]], ['2, k, 3', [0.3992085, 0.4930507, 1.0]], ['2, k, 4', [0.2009525, 0.2646776, 1.0]], ['2, k, 5', [0.1175486, 0.06044118, 1.0]], ['2, k, 6', [0.1282821, -0.06600995, 1.0]], ['2, k, 7', [0.135455, -0.1216852, 1.0]], ['2, k, 8', [0.5366219, 0.2343571, 1.0]], ['2, k, 9', [0.583493, 0.02870527, 1.0]], ['2, k, 10', [0.4661339, -0.09424178, 1.0]], ['2, k, 11', [0.4184496, -0.1196516, 1.0]], ['2, k, 12', [0.2753478, -0.2017201, 1.0]], ['2, k, 13', [0.02267037, -0.2133758, 1.0]], ['2, k, 14', [-0.005208536, -0.5881715, 1.0]], ['2, k, 15', [-0.05805404, -0.6530703, 1.0]], ['2, k, 16', [0.4448765, -0.2053982, 1.0]], ['2, k, 17', [0.3708631, -0.2443327, 1.0]], ['2, k, 18', [0.2872749, -0.6108254, 1.0]], ['2, k, 19', [0.2657652, -0.6477144, 1.0]], ['2, k, 20', [0.3764769, 0.2869495, 1.0]], ['2, k, 21', [0.09627412, -0.1652757, 1.0]], ['2, k, 22', [0.07051422, -0.09432715, 1.0]], ['2, k, 23', [0.3632538, -0.1661086, 1.0]], ['2, k, 24', [0.3834621, -0.1107673, 1.0]]]
[['2, k, 0', [0.3623523, -0.2067867, 1.0]], ['2, k, 1', [0.3699854, 0.07831609, 1.0]], ['2, k, 2', [0.3806274, 0.353943, 1.0]], ['2, k, 3', [0.4038927, 0.490927, 1.0]], ['2, k, 4', [0.2021572, 0.2670984, 1.0]], ['2, k, 5', [0.1163558, 0.06090716, 1.0]], ['2, k, 6', [0.1275399, -0.06692471, 1.0]], ['2, k, 7', [0.1360262, -0.1186746, 1.0]], ['2, k, 8', [0.538192, 0.2330043, 1.0]], ['2, k, 9', [0.5851648, 0.02815304, 1.0]], ['2, k, 10', [0.4738475, -0.1027164, 1.0]], ['2, k, 11', [0.4378421, -0.1082322, 1.0]], ['2, k, 12', [0.2730195, -0.2018181, 1.0]], ['2, k, 13', [0.001599903, -0.2115807, 1.0]], ['2, k, 14', [-0.01780504, -0.5870361, 1.0]], ['2, k, 15', [-0.08607286, -0.6454885, 1.0]], ['2, k, 16', [0.4424812, -0.2080154, 1.0]], ['2, k, 17', [0.3733084, -0.2440184, 1.0]], ['2, k, 18', [0.288463, -0.6102817, 1.0]], ['2, k, 19', [0.2673812, -0.6472444, 1.0]], ['2, k, 20', [0.377922, 0.285857, 1.0]], ['2, k, 21', [0.09269146, -0.1542915, 1.0]], ['2, k, 22', [0.07736967, -0.08220932, 1.0]], ['2, k, 23', [0.4234267, -0.1291301, 1.0]], ['2, k, 24', [0.4126443, -0.09448447, 1.0]]]
[['2, k, 0', [0.3580018, -0.2071876, 1.0]], ['2, k, 1', [0.3698902, 0.07800974, 1.0]], ['2, k, 2', [0.3815034, 0.3534434, 1.0]], ['2, k, 3', [0.4070715, 0.4902953, 1.0]], ['2, k, 4', [0.2027294, 0.2684865, 1.0]], ['2, k, 5', [0.1127857, 0.06504654, 1.0]], ['2, k, 6', [0.1256902, -0.06510495, 1.0]], ['2, k, 7', [0.130946, -0.1191812, 1.0]], ['2, k, 8', [0.5389894, 0.2322441, 1.0]], ['2, k, 9', [0.5864667, 0.02712733, 1.0]], ['2, k, 10', [0.4751718, -0.1026566, 1.0]], ['2, k, 11', [0.4374101, -0.109171, 1.0]], ['2, k, 12', [0.2683667, -0.2005706, 1.0]], ['2, k, 13', [-0.01810683, -0.192888, 1.0]], ['2, k, 14', [-0.08777653, -0.5606351, 1.0]], ['2, k, 15', [-0.1036688, -0.5986034, 1.0]], ['2, k, 16', [0.4386653, -0.2095338, 1.0]], ['2, k, 17', [0.3758266, -0.2428987, 1.0]], ['2, k, 18', [0.2940592, -0.6096614, 1.0]], ['2, k, 19', [0.2730588, -0.6466791, 1.0]], ['2, k, 20', [0.3784674, 0.2854473, 1.0]], ['2, k, 21', [0.1090582, -0.1503482, 1.0]], ['2, k, 22', [0.05726748, -0.1016791, 1.0]], ['2, k, 23', [0.3906312, -0.150485, 1.0]], ['2, k, 24', [0.3817522, -0.1162241, 1.0]]]
[['2, k, 0', [0.3562309, -0.2072259, 1.0]], ['2, k, 1', [0.3699201, 0.07793262, 1.0]], ['2, k, 2', [0.3832476, 0.3534252, 1.0]], ['2, k, 3', [0.4096777, 0.490012, 1.0]], ['2, k, 4', [0.2029994, 0.2694638, 1.0]], ['2, k, 5', [0.1093262, 0.06827126, 1.0]], ['2, k, 6', [0.1225891, -0.05995962, 1.0]], ['2, k, 7', [0.1176143, -0.1174783, 1.0]], ['2, k, 8', [0.5394635, 0.2316573, 1.0]], ['2, k, 9', [0.5867453, 0.02618098, 1.0]], ['2, k, 10', [0.4778675, -0.1053948, 1.0]], ['2, k, 11', [0.4435231, -0.1062173, 1.0]], ['2, k, 12', [0.2663143, -0.1998732, 1.0]], ['2, k, 13', [-0.02974037, -0.1892299, 1.0]], ['2, k, 14', [-0.1116958, -0.5557929, 1.0]], ['2, k, 15', [-0.1270306, -0.5939338, 1.0]], ['2, k, 16', [0.4372413, -0.2100688, 1.0]], ['2, k, 17', [0.3803098, -0.236626, 1.0]], ['2, k, 18', [0.2977707, -0.603023, 1.0]], ['2, k, 19', [0.2769755, -0.64016, 1.0]], ['2, k, 20', [0.3796782, 0.2853648, 1.0]], ['2, k, 21', [0.08007232, -0.1608229, 1.0]], ['2, k, 22', [0.05148996, -0.08988798, 1.0]], ['2, k, 23', [0.429489, -0.128948, 1.0]], ['2, k, 24', [0.4252595, -0.08874626, 1.0]]]
[['2, k, 0', [0.3527952, -0.207564, 1.0]], ['2, k, 1', [0.3697927, 0.07734956, 1.0]], ['2, k, 2', [0.3848243, 0.3521883, 1.0]], ['2, k, 3', [0.4117606, 0.4882104, 1.0]], ['2, k, 4', [0.2035985, 0.2704861, 1.0]], ['2, k, 5', [0.1061149, 0.07081097, 1.0]], ['2, k, 6', [0.100144, -0.06648538, 1.0]], ['2, k, 7', [0.09375401, -0.1042102, 1.0]], ['2, k, 8', [0.5403869, 0.2308391, 1.0]], ['2, k, 9', [0.5873687, 0.02413699, 1.0]], ['2, k, 10', [0.4783957, -0.1047105, 1.0]], ['2, k, 11', [0.4433421, -0.1083601, 1.0]], ['2, k, 12', [0.2631125, -0.1991675, 1.0]], ['2, k, 13', [-0.037552, -0.1596282, 1.0]], ['2, k, 14', [-0.1433532, -0.5198105, 1.0]], ['2, k, 15', [-0.1581793, -0.5585291, 1.0]], ['2, k, 16', [0.4337274, -0.2113178, 1.0]], ['2, k, 17', [0.387998, -0.2386862, 1.0]], ['2, k, 18', [0.3026709, -0.6043813, 1.0]], ['2, k, 19', [0.2819371, -0.6415626, 1.0]], ['2, k, 20', [0.3807242, 0.2843759, 1.0]], ['2, k, 21', [0.0662111, -0.1743673, 1.0]], ['2, k, 22', [0.03937113, -0.0923283, 1.0]], ['2, k, 23', [0.4295302, -0.1304581, 1.0]], ['2, k, 24', [0.4250504, -0.09325312, 1.0]]]
[['2, k, 0', [0.3506163, -0.2078572, 1.0]], ['2, k, 1', [0.3693255, 0.07707667, 1.0]], ['2, k, 2', [0.3848463, 0.3521924, 1.0]], ['2, k, 3', [0.4132219, 0.4877492, 1.0]], ['2, k, 4', [0.2005762, 0.2681921, 1.0]], ['2, k, 5', [0.1048174, 0.07050559, 1.0]], ['2, k, 6', [0.1011019, -0.06514581, 1.0]], ['2, k, 7', [0.08958791, -0.1071773, 1.0]], ['2, k, 8', [0.5407447, 0.2302077, 1.0]], ['2, k, 9', [0.5873049, 0.02308658, 1.0]], ['2, k, 10', [0.4781287, -0.1038442, 1.0]], ['2, k, 11', [0.4421112, -0.1058875, 1.0]], ['2, k, 12', [0.260837, -0.1991065, 1.0]], ['2, k, 13', [-0.04327693, -0.1594487, 1.0]], ['2, k, 14', [-0.1641641, -0.5156883, 1.0]], ['2, k, 15', [-0.1790524, -0.5545295, 1.0]], ['2, k, 16', [0.4318202, -0.2118246, 1.0]], ['2, k, 17', [0.3879684, -0.2380096, 1.0]], ['2, k, 18', [0.3035998, -0.603864, 1.0]], ['2, k, 19', [0.2825359, -0.6410742, 1.0]], ['2, k, 20', [0.3807286, 0.2843705, 1.0]], ['2, k, 21', [0.07136595, -0.1420497, 1.0]], ['2, k, 22', [0.04375413, -0.09419127, 1.0]], ['2, k, 23', [0.4281138, -0.129843, 1.0]], ['2, k, 24', [0.4188081, -0.09504742, 1.0]]]
