[['2, k, 0', [-0.317888, -0.703654, 1.0]], ['2, k, 1', [-0.366606, -0.417615, 1.0]], ['2, k, 2', [-0.412731, -0.135918, 1.0]], ['2, k, 3', [-0.413817, 0.011871, 1.0]], ['2, k, 4', [-0.539296, -0.23647, 1.0]], ['2, k, 5', [-0.618378, -0.393963, 1.0]], ['2, k, 6', [-0.640297, -0.422596, 1.0]], ['2, k, 7', [-0.630311, -0.458511, 1.0]], ['2, k, 8', [-0.23732, -0.232225, 1.0]], ['2, k, 9', [-0.115647, -0.375111, 1.0]], ['2, k, 10', [-0.0110807, -0.435103, 1.0]], ['2, k, 11', [0.0277838, -0.482807, 1.0]], ['2, k, 12', [-0.382847, -0.696301, 1.0]], ['2, k, 13', [-0.604539, -0.304056, 1.0]], ['2, k, 14', [-0.402156, -0.604099, 1.0]], ['2, k, 15', [-0.349837, -0.618065, 1.0]], ['2, k, 16', [-0.245434, -0.694429, 1.0]], ['2, k, 17', [-0.148112, -0.273449, 1.0]], ['2, k, 18', [-0.226924, -0.681884, 1.0]], ['2, k, 19', [-0.279137, -0.749265, 1.0]], ['2, k, 20', [-0.401626, -0.205825, 1.0]], ['2, k, 21', [-0.624685, -0.464416, 1.0]], ['2, k, 22', [-0.565808, -0.464497, 1.0]], ['2, k, 23', [0.056264, -0.494755, 1.0]], ['2, k, 24', [0.0801717, -0.476739, 1.0]]]
[['2, k, 0', [-0.387037, -0.624047, 1.0]], ['2, k, 1', [-0.400487, -0.377024, 1.0]], ['2, k, 2', [-0.41212, -0.135607, 1.0]], ['2, k, 3', [-0.412403, 0.011516, 1.0]], ['2, k, 4', [-0.538112, -0.235242, 1.0]], ['2, k, 5', [-0.59884, -0.372985, 1.0]], ['2, k, 6', [-0.630551, -0.365483, 1.0]], ['2, k, 7', [-0.6241, -0.394432, 1.0]], ['2, k, 8', [-0.237453, -0.232226, 1.0]], ['2, k, 9', [-0.111967, -0.352363, 1.0]], ['2, k, 10', [-0.0131945, -0.397984, 1.0]], ['2, k, 11', [0.0325814, -0.428912, 1.0]], ['2, k, 12', [-0.451441, -0.616377, 1.0]], ['2, k, 13', [-0.57999, -0.254601, 1.0]], ['2, k, 14', [-0.511322, -0.651386, 1.0]], ['2, k, 15', [-0.480156, -0.678348, 1.0]], ['2, k, 16', [-0.314252, -0.6182, 1.0]], ['2, k, 17', [-0.270807, -0.304687, 1.0]], ['2, k, 18', [-0.216628, -0.614775, 1.0]], ['2, k, 19', [-0.244019, -0.702147, 1.0]], ['2, k, 20', [-0.403437, -0.202066, 1.0]], ['2, k, 21', [-0.62457, -0.400115, 1.0]], ['2, k, 22', [-0.554132, -0.402525, 1.0]], ['2, k, 23', [0.0613725, -0.434649, 1.0]], ['2, k, 24', [0.0927021, -0.427211, 1.0]]]
[['2, k, 0', [-0.373796, -0.60823, 1.0]], ['2, k, 1', [-0.396545, -0.372211, 1.0]], ['2, k, 2', [-0.411782, -0.135073, 1.0]], ['2, k, 3', [-0.411728, 0.0117559, 1.0]], ['2, k, 4', [-0.535908, -0.231435, 1.0]], ['2, k, 5', [-0.597582, -0.309404, 1.0]], ['2, k, 6', [-0.606317, -0.325876, 1.0]], ['2, k, 7', [-0.614258, -0.328807, 1.0]], ['2, k, 8', [-0.237374, -0.231063, 1.0]], ['2, k, 9', [-0.109256, -0.336479, 1.0]], ['2, k, 10', [-0.0207411, -0.357608, 1.0]], ['2, k, 11', [0.0397482, -0.372576, 1.0]], ['2, k, 12', [-0.437793, -0.600431, 1.0]], ['2, k, 13', [-0.489273, -0.344321, 1.0]], ['2, k, 14', [-0.289054, -0.524973, 1.0]], ['2, k, 15', [-0.247936, -0.526771, 1.0]], ['2, k, 16', [-0.301795, -0.603106, 1.0]], ['2, k, 17', [-0.36988, -0.36777, 1.0]], ['2, k, 18', [-0.248763, -0.605047, 1.0]], ['2, k, 19', [-0.200575, -0.641072, 1.0]], ['2, k, 20', [-0.403933, -0.198222, 1.0]], ['2, k, 21', [-0.614721, -0.334172, 1.0]], ['2, k, 22', [-0.567023, -0.339406, 1.0]], ['2, k, 23', [0.0676089, -0.381673, 1.0]], ['2, k, 24', [0.0830395, -0.359307, 1.0]]]
[['2, k, 0', [-0.373559, -0.608867, 1.0]], ['2, k, 1', [-0.396009, -0.371859, 1.0]], ['2, k, 2', [-0.411549, -0.134173, 1.0]], ['2, k, 3', [-0.41132, 0.0116585, 1.0]], ['2, k, 4', [-0.529642, -0.224112, 1.0]], ['2, k, 5', [-0.589009, -0.268084, 1.0]], ['2, k, 6', [-0.59401, -0.268056, 1.0]], ['2, k, 7', [-0.603492, -0.267116, 1.0]], ['2, k, 8', [-0.241119, -0.227293, 1.0]], ['2, k, 9', [-0.0830211, -0.293064, 1.0]], ['2, k, 10', [0.00212117, -0.312017, 1.0]], ['2, k, 11', [0.043034, -0.315108, 1.0]], ['2, k, 12', [-0.437574, -0.60122, 1.0]], ['2, k, 13', [-0.612143, -0.359002, 1.0]], ['2, k, 14', [-0.579746, -0.733575, 1.0]], ['2, k, 15', [-0.468226, -0.758519, 1.0]], ['2, k, 16', [-0.301712, -0.603873, 1.0]], ['2, k, 17', [-0.374064, -0.353286, 1.0]], ['2, k, 18', [-0.252647, -0.596352, 1.0]], ['2, k, 19', [-0.204984, -0.629981, 1.0]], ['2, k, 20', [-0.404376, -0.196477, 1.0]], ['2, k, 21', [-0.615173, -0.266679, 1.0]], ['2, k, 22', [-0.555548, -0.27692, 1.0]], ['2, k, 23', [0.0709752, -0.319092, 1.0]], ['2, k, 24', [0.0883622, -0.302582, 1.0]]]
[['2, k, 0', [-0.372437, -0.590016, 1.0]], ['2, k, 1', [-0.394691, -0.362053, 1.0]], ['2, k, 2', [-0.411723, -0.132037, 1.0]], ['2, k, 3', [-0.411329, 0.012315, 1.0]], ['2, k, 4', [-0.526936, -0.210406, 1.0]], ['2, k, 5', [-0.578755, -0.280934, 1.0]], ['2, k, 6', [-0.586533, -0.239328, 1.0]], ['2, k, 7', [-0.602681, -0.210267, 1.0]], ['2, k, 8', [-0.251761, -0.216374, 1.0]], ['2, k, 9', [-0.115779, -0.244714, 1.0]], ['2, k, 10', [-0.0194848, -0.251713, 1.0]], ['2, k, 11', [0.0453883, -0.259767, 1.0]], ['2, k, 12', [-0.435885, -0.582081, 1.0]], ['2, k, 13', [-0.478899, -0.294562, 1.0]], ['2, k, 14', [-0.569109, -0.67218, 1.0]], ['2, k, 15', [-0.481568, -0.733385, 1.0]], ['2, k, 16', [-0.301378, -0.585758, 1.0]], ['2, k, 17', [-0.285565, -0.292905, 1.0]], ['2, k, 18', [-0.23016, -0.680991, 1.0]], ['2, k, 19', [-0.268175, -0.744416, 1.0]], ['2, k, 20', [-0.40557, -0.191012, 1.0]], ['2, k, 21', [-0.59506, -0.20503, 1.0]], ['2, k, 22', [-0.537765, -0.218123, 1.0]], ['2, k, 23', [0.0714041, -0.263324, 1.0]], ['2, k, 24', [0.0976342, -0.260453, 1.0]]]
[['2, k, 0', [-0.371203, -0.582384, 1.0]], ['2, k, 1', [-0.39325, -0.358044, 1.0]], ['2, k, 2', [-0.41132, -0.131718, 1.0]], ['2, k, 3', [-0.410716, 0.0109588, 1.0]], ['2, k, 4', [-0.515175, -0.252257, 1.0]], ['2, k, 5', [-0.632537, -0.276211, 1.0]], ['2, k, 6', [-0.624063, -0.217214, 1.0]], ['2, k, 7', [-0.618055, -0.156856, 1.0]], ['2, k, 8', [-0.250939, -0.21589, 1.0]], ['2, k, 9', [-0.0805274, -0.27384, 1.0]], ['2, k, 10', [-0.00531435, -0.234697, 1.0]], ['2, k, 11', [0.0498591, -0.203425, 1.0]], ['2, k, 12', [-0.433326, -0.579294, 1.0]], ['2, k, 13', [-0.473775, -0.289252, 1.0]], ['2, k, 14', [-0.576512, -0.661723, 1.0]], ['2, k, 15', [-0.485461, -0.715613, 1.0]], ['2, k, 16', [-0.302365, -0.568311, 1.0]], ['2, k, 17', [-0.314323, -0.285561, 1.0]], ['2, k, 18', [-0.229501, -0.681016, 1.0]], ['2, k, 19', [-0.268476, -0.745258, 1.0]], ['2, k, 20', [-0.405323, -0.189873, 1.0]], ['2, k, 21', [-0.625441, -0.123804, 1.0]], ['2, k, 22', [-0.555252, -0.159669, 1.0]], ['2, k, 23', [0.075391, -0.199549, 1.0]], ['2, k, 24', [0.10444, -0.206617, 1.0]]]
[['2, k, 0', [-0.369664, -0.577068, 1.0]], ['2, k, 1', [-0.391905, -0.351155, 1.0]], ['2, k, 2', [-0.411195, -0.126471, 1.0]], ['2, k, 3', [-0.410099, 0.01093, 1.0]], ['2, k, 4', [-0.515385, -0.251212, 1.0]], ['2, k, 5', [-0.610117, -0.217918, 1.0]], ['2, k, 6', [-0.613508, -0.155663, 1.0]], ['2, k, 7', [-0.618537, -0.109623, 1.0]], ['2, k, 8', [-0.237836, -0.231336, 1.0]], ['2, k, 9', [-0.076652, -0.238393, 1.0]], ['2, k, 10', [-0.0019272, -0.190108, 1.0]], ['2, k, 11', [0.0460819, -0.149019, 1.0]], ['2, k, 12', [-0.430827, -0.572701, 1.0]], ['2, k, 13', [-0.466404, -0.280769, 1.0]], ['2, k, 14', [-0.574142, -0.666933, 1.0]], ['2, k, 15', [-0.482357, -0.724682, 1.0]], ['2, k, 16', [-0.301489, -0.565838, 1.0]], ['2, k, 17', [-0.251812, -0.270603, 1.0]], ['2, k, 18', [-0.226457, -0.674199, 1.0]], ['2, k, 19', [-0.264491, -0.740091, 1.0]], ['2, k, 20', [-0.405542, -0.182935, 1.0]], ['2, k, 21', [-0.609697, -0.0779794, 1.0]], ['2, k, 22', [-0.550043, -0.10661, 1.0]], ['2, k, 23', [0.0761139, -0.147248, 1.0]], ['2, k, 24', [0.108282, -0.149087, 1.0]]]
[['2, k, 0', [-0.370307, -0.573857, 1.0]], ['2, k, 1', [-0.389424, -0.351396, 1.0]], ['2, k, 2', [-0.39983, -0.136419, 1.0]], ['2, k, 3', [-0.409781, 0.0148147, 1.0]], ['2, k, 4', [-0.516513, -0.247508, 1.0]], ['2, k, 5', [-0.61737, -0.172921, 1.0]], ['2, k, 6', [-0.620955, -0.106451, 1.0]], ['2, k, 7', [-0.623766, -0.0636122, 1.0]], ['2, k, 8', [-0.228, -0.217999, 1.0]], ['2, k, 9', [-0.0778384, -0.179682, 1.0]], ['2, k, 10', [0.0191463, -0.126925, 1.0]], ['2, k, 11', [0.0448318, -0.0977989, 1.0]], ['2, k, 12', [-0.431099, -0.571141, 1.0]], ['2, k, 13', [-0.454774, -0.28061, 1.0]], ['2, k, 14', [-0.500853, -0.549153, 1.0]], ['2, k, 15', [-0.477948, -0.594635, 1.0]], ['2, k, 16', [-0.302467, -0.562312, 1.0]], ['2, k, 17', [-0.252619, -0.279386, 1.0]], ['2, k, 18', [-0.224629, -0.667918, 1.0]], ['2, k, 19', [-0.261729, -0.737189, 1.0]], ['2, k, 20', [-0.398097, -0.188833, 1.0]], ['2, k, 21', [-0.616254, -0.0301403, 1.0]], ['2, k, 22', [-0.56304, -0.0607586, 1.0]], ['2, k, 23', [0.0691209, -0.0932267, 1.0]], ['2, k, 24', [0.101286, -0.0953995, 1.0]]]
[['2, k, 0', [-0.372643, -0.571374, 1.0]], ['2, k, 1', [-0.389778, -0.350864, 1.0]], ['2, k, 2', [-0.40009, -0.136237, 1.0]], ['2, k, 3', [-0.40881, 0.0203267, 1.0]], ['2, k, 4', [-0.524825, -0.232442, 1.0]], ['2, k, 5', [-0.618837, -0.161878, 1.0]], ['2, k, 6', [-0.626251, -0.0672484, 1.0]], ['2, k, 7', [-0.628011, -0.020414, 1.0]], ['2, k, 8', [-0.227706, -0.212655, 1.0]], ['2, k, 9', [-0.0748016, -0.17086, 1.0]], ['2, k, 10', [0.0218859, -0.0887428, 1.0]], ['2, k, 11', [0.0409878, -0.0517358, 1.0]], ['2, k, 12', [-0.433569, -0.568931, 1.0]], ['2, k, 13', [-0.457646, -0.280507, 1.0]], ['2, k, 14', [-0.547745, -0.675931, 1.0]], ['2, k, 15', [-0.455828, -0.746978, 1.0]], ['2, k, 16', [-0.304549, -0.560549, 1.0]], ['2, k, 17', [-0.238978, -0.277459, 1.0]], ['2, k, 18', [-0.226842, -0.671564, 1.0]], ['2, k, 19', [-0.263439, -0.740585, 1.0]], ['2, k, 20', [-0.39831, -0.188693, 1.0]], ['2, k, 21', [-0.606944, 0.0176563, 1.0]], ['2, k, 22', [-0.577637, -0.0221471, 1.0]], ['2, k, 23', [0.0706019, -0.0443331, 1.0]], ['2, k, 24', [0.0927984, -0.0500783, 1.0]]]
[['2, k, 0', [-0.364135, -0.580449, 1.0]], ['2, k, 1', [-0.38587, -0.354017, 1.0]], ['2, k, 2', [-0.40002, -0.136093, 1.0]], ['2, k, 3', [-0.407268, 0.0185326, 1.0]], ['2, k, 4', [-0.524722, -0.232511, 1.0]], ['2, k, 5', [-0.621041, -0.148664, 1.0]], ['2, k, 6', [-0.62493, -0.0344054, 1.0]], ['2, k, 7', [-0.62544, 0.0177336, 1.0]], ['2, k, 8', [-0.227633, -0.213292, 1.0]], ['2, k, 9', [-0.0729107, -0.130089, 1.0]], ['2, k, 10', [0.0174083, -0.0411075, 1.0]], ['2, k, 11', [0.0369064, -0.00794091, 1.0]], ['2, k, 12', [-0.42758, -0.578578, 1.0]], ['2, k, 13', [-0.448067, -0.281284, 1.0]], ['2, k, 14', [-0.476717, -0.547095, 1.0]], ['2, k, 15', [-0.449996, -0.581866, 1.0]], ['2, k, 16', [-0.291759, -0.57251, 1.0]], ['2, k, 17', [-0.248226, -0.277744, 1.0]], ['2, k, 18', [-0.229596, -0.673153, 1.0]], ['2, k, 19', [-0.26385, -0.746787, 1.0]], ['2, k, 20', [-0.397796, -0.188855, 1.0]], ['2, k, 21', [-0.607814, 0.0501101, 1.0]], ['2, k, 22', [-0.551995, 0.0265496, 1.0]], ['2, k, 23', [0.0667602, 0.00465173, 1.0]], ['2, k, 24', [0.0754745, -0.0155637, 1.0]]]
[['2, k, 0', [-0.380654, -0.5138, 1.0]], ['2, k, 1', [-0.393805, -0.318808, 1.0]], ['2, k, 2', [-0.403915, -0.126595, 1.0]], ['2, k, 3', [-0.407645, 0.000792643, 1.0]], ['2, k, 4', [-0.530364, -0.207622, 1.0]], ['2, k, 5', [-0.624231, -0.113682, 1.0]], ['2, k, 6', [-0.634489, -0.0132489, 1.0]], ['2, k, 7', [-0.629701, 0.0550526, 1.0]], ['2, k, 8', [-0.227891, -0.200833, 1.0]], ['2, k, 9', [-0.0921163, -0.139503, 1.0]], ['2, k, 10', [-0.00229454, -0.0391825, 1.0]], ['2, k, 11', [0.0352735, 0.0323619, 1.0]], ['2, k, 12', [-0.441493, -0.509736, 1.0]], ['2, k, 13', [-0.422939, -0.204625, 1.0]], ['2, k, 14', [-0.550865, -0.667955, 1.0]], ['2, k, 15', [-0.46788, -0.734742, 1.0]], ['2, k, 16', [-0.310862, -0.505764, 1.0]], ['2, k, 17', [-0.149988, -0.228535, 1.0]], ['2, k, 18', [-0.22928, -0.674977, 1.0]], ['2, k, 19', [-0.211264, -0.703026, 1.0]], ['2, k, 20', [-0.401914, -0.176303, 1.0]], ['2, k, 21', [-0.620987, 0.0886014, 1.0]], ['2, k, 22', [-0.554946, 0.0664196, 1.0]], ['2, k, 23', [0.065928, 0.0505142, 1.0]], ['2, k, 24', [-0.0227795, 0.0430393, 1.0]]]
