[['2, k, 0', [0.0377507, -0.451163, 1.0]], ['2, k, 1', [0.0301378, -0.119005, 1.0]], ['2, k, 2', [0.0225468, 0.206658, 1.0]], ['2, k, 3', [0.0306951, 0.354101, 1.0]], ['2, k, 4', [-0.14818, 0.10436, 1.0]], ['2, k, 5', [-0.208681, -0.166055, 1.0]], ['2, k, 6', [-0.227903, -0.400676, 1.0]], ['2, k, 7', [-0.225118, -0.46332, 1.0]], ['2, k, 8', [0.199532, 0.0945446, 1.0]], ['2, k, 9', [0.278006, -0.156919, 1.0]], ['2, k, 10', [0.278619, -0.385686, 1.0]], ['2, k, 11', [0.283091, -0.448078, 1.0]], ['2, k, 12', [-0.0418356, -0.443533, 1.0]], ['2, k, 13', [0.0144575, -0.901491, 1.0]], ['2, k, 14', [-0.0690587, -1.21454, 1.0]], ['2, k, 15', [-0.163537, -1.28526, 1.0]], ['2, k, 16', [0.116432, -0.447994, 1.0]], ['2, k, 17', [0.0939117, -0.919294, 1.0]], ['2, k, 18', [0.146395, -1.23535, 1.0]], ['2, k, 19', [0.152974, -1.28938, 1.0]], ['2, k, 20', [0.0244468, 0.126141, 1.0]], ['2, k, 21', [-0.231457, -0.526262, 1.0]], ['2, k, 22', [-0.168288, -0.493172, 1.0]], ['2, k, 23', [0.299193, -0.499087, 1.0]], ['2, k, 24', [0.240022, -0.467836, 1.0]]]
[['2, k, 0', [0.0377181, -0.451596, 1.0]], ['2, k, 1', [0.0301723, -0.119074, 1.0]], ['2, k, 2', [0.0226464, 0.206713, 1.0]], ['2, k, 3', [0.0305676, 0.354327, 1.0]], ['2, k, 4', [-0.148162, 0.104342, 1.0]], ['2, k, 5', [-0.208765, -0.166469, 1.0]], ['2, k, 6', [-0.227826, -0.40049, 1.0]], ['2, k, 7', [-0.227791, -0.463961, 1.0]], ['2, k, 8', [0.199655, 0.095114, 1.0]], ['2, k, 9', [0.27815, -0.157324, 1.0]], ['2, k, 10', [0.278685, -0.385259, 1.0]], ['2, k, 11', [0.284778, -0.447072, 1.0]], ['2, k, 12', [-0.0418799, -0.444195, 1.0]], ['2, k, 13', [0.0108162, -0.904714, 1.0]], ['2, k, 14', [-0.059771, -1.22804, 1.0]], ['2, k, 15', [-0.0339355, -1.28418, 1.0]], ['2, k, 16', [0.116409, -0.448252, 1.0]], ['2, k, 17', [0.091597, -0.915139, 1.0]], ['2, k, 18', [0.145413, -1.23408, 1.0]], ['2, k, 19', [0.0924275, -1.28018, 1.0]], ['2, k, 20', [0.0245129, 0.126156, 1.0]], ['2, k, 21', [-0.230981, -0.525855, 1.0]], ['2, k, 22', [-0.169964, -0.49022, 1.0]], ['2, k, 23', [0.306762, -0.49627, 1.0]], ['2, k, 24', [0.239786, -0.465234, 1.0]]]
[['2, k, 0', [0.0382569, -0.441677, 1.0]], ['2, k, 1', [0.0305945, -0.116297, 1.0]], ['2, k, 2', [0.02279, 0.206769, 1.0]], ['2, k, 3', [0.0303535, 0.354204, 1.0]], ['2, k, 4', [-0.14762, 0.104647, 1.0]], ['2, k, 5', [-0.209561, -0.166181, 1.0]], ['2, k, 6', [-0.227935, -0.399723, 1.0]], ['2, k, 7', [-0.226792, -0.463617, 1.0]], ['2, k, 8', [0.199754, 0.096297, 1.0]], ['2, k, 9', [0.278096, -0.157354, 1.0]], ['2, k, 10', [0.278703, -0.385314, 1.0]], ['2, k, 11', [0.283833, -0.450474, 1.0]], ['2, k, 12', [-0.0413769, -0.435263, 1.0]], ['2, k, 13', [0.00975211, -0.905833, 1.0]], ['2, k, 14', [-0.102139, -1.24911, 1.0]], ['2, k, 15', [-0.0355773, -1.28465, 1.0]], ['2, k, 16', [0.116978, -0.437507, 1.0]], ['2, k, 17', [0.088906, -0.916208, 1.0]], ['2, k, 18', [0.144905, -1.23702, 1.0]], ['2, k, 19', [0.182568, -1.2914, 1.0]], ['2, k, 20', [0.0247268, 0.126513, 1.0]], ['2, k, 21', [-0.23314, -0.525173, 1.0]], ['2, k, 22', [-0.170587, -0.484934, 1.0]], ['2, k, 23', [0.308373, -0.493181, 1.0]], ['2, k, 24', [0.238201, -0.448591, 1.0]]]
[['2, k, 0', [0.0384389, -0.445422, 1.0]], ['2, k, 1', [0.0306565, -0.116767, 1.0]], ['2, k, 2', [0.0228218, 0.20675, 1.0]], ['2, k, 3', [0.030335, 0.354276, 1.0]], ['2, k, 4', [-0.147335, 0.104647, 1.0]], ['2, k, 5', [-0.209542, -0.166183, 1.0]], ['2, k, 6', [-0.227942, -0.399666, 1.0]], ['2, k, 7', [-0.227097, -0.463106, 1.0]], ['2, k, 8', [0.19988, 0.0960375, 1.0]], ['2, k, 9', [0.277773, -0.159376, 1.0]], ['2, k, 10', [0.27845, -0.385523, 1.0]], ['2, k, 11', [0.282432, -0.448961, 1.0]], ['2, k, 12', [-0.0411858, -0.438313, 1.0]], ['2, k, 13', [0.00919712, -0.905935, 1.0]], ['2, k, 14', [-0.0499255, -1.24808, 1.0]], ['2, k, 15', [-0.0282397, -1.28832, 1.0]], ['2, k, 16', [0.117143, -0.441961, 1.0]], ['2, k, 17', [0.0685999, -0.921655, 1.0]], ['2, k, 18', [0.137888, -1.23791, 1.0]], ['2, k, 19', [0.170332, -1.29015, 1.0]], ['2, k, 20', [0.0247554, 0.126468, 1.0]], ['2, k, 21', [-0.235206, -0.525046, 1.0]], ['2, k, 22', [-0.169262, -0.490639, 1.0]], ['2, k, 23', [0.298522, -0.497613, 1.0]], ['2, k, 24', [0.236315, -0.441994, 1.0]]]
[['2, k, 0', [0.0380353, -0.45151, 1.0]], ['2, k, 1', [0.0308135, -0.11861, 1.0]], ['2, k, 2', [0.0231429, 0.206392, 1.0]], ['2, k, 3', [0.0300848, 0.354053, 1.0]], ['2, k, 4', [-0.146516, 0.102054, 1.0]], ['2, k, 5', [-0.209895, -0.166159, 1.0]], ['2, k, 6', [-0.227518, -0.398476, 1.0]], ['2, k, 7', [-0.226155, -0.463224, 1.0]], ['2, k, 8', [0.199685, 0.0961393, 1.0]], ['2, k, 9', [0.277792, -0.159565, 1.0]], ['2, k, 10', [0.278834, -0.386229, 1.0]], ['2, k, 11', [0.282087, -0.446671, 1.0]], ['2, k, 12', [-0.0416256, -0.445865, 1.0]], ['2, k, 13', [0.0077773, -0.906363, 1.0]], ['2, k, 14', [-0.0660474, -1.24284, 1.0]], ['2, k, 15', [-0.029236, -1.28609, 1.0]], ['2, k, 16', [0.116789, -0.446585, 1.0]], ['2, k, 17', [0.0758411, -0.916967, 1.0]], ['2, k, 18', [0.14388, -1.23021, 1.0]], ['2, k, 19', [0.0936507, -1.28794, 1.0]], ['2, k, 20', [0.0250336, 0.125942, 1.0]], ['2, k, 21', [-0.228485, -0.52368, 1.0]], ['2, k, 22', [-0.169667, -0.48938, 1.0]], ['2, k, 23', [0.294448, -0.497361, 1.0]], ['2, k, 24', [0.23505, -0.43834, 1.0]]]
[['2, k, 0', [0.0381686, -0.451556, 1.0]], ['2, k, 1', [0.0308047, -0.118664, 1.0]], ['2, k, 2', [0.0229878, 0.206335, 1.0]], ['2, k, 3', [0.0300496, 0.353991, 1.0]], ['2, k, 4', [-0.146396, 0.101839, 1.0]], ['2, k, 5', [-0.209933, -0.166179, 1.0]], ['2, k, 6', [-0.227025, -0.397964, 1.0]], ['2, k, 7', [-0.242173, -0.469219, 1.0]], ['2, k, 8', [0.199964, 0.0972253, 1.0]], ['2, k, 9', [0.277472, -0.158099, 1.0]], ['2, k, 10', [0.278998, -0.386018, 1.0]], ['2, k, 11', [0.284577, -0.447394, 1.0]], ['2, k, 12', [-0.0414591, -0.445982, 1.0]], ['2, k, 13', [0.00618593, -0.909762, 1.0]], ['2, k, 14', [-0.058898, -1.24448, 1.0]], ['2, k, 15', [-0.037603, -1.28616, 1.0]], ['2, k, 16', [0.116908, -0.446561, 1.0]], ['2, k, 17', [0.0808296, -0.914261, 1.0]], ['2, k, 18', [0.144827, -1.234, 1.0]], ['2, k, 19', [0.0885137, -1.2866, 1.0]], ['2, k, 20', [0.0249337, 0.125892, 1.0]], ['2, k, 21', [-0.2793, -0.511131, 1.0]], ['2, k, 22', [-0.202377, -0.46901, 1.0]], ['2, k, 23', [0.305371, -0.499008, 1.0]], ['2, k, 24', [0.237267, -0.448617, 1.0]]]
[['2, k, 0', [0.0373854, -0.448496, 1.0]], ['2, k, 1', [0.0304665, -0.118186, 1.0]], ['2, k, 2', [0.0228117, 0.206217, 1.0]], ['2, k, 3', [0.0300009, 0.353966, 1.0]], ['2, k, 4', [-0.146368, 0.101846, 1.0]], ['2, k, 5', [-0.210106, -0.166642, 1.0]], ['2, k, 6', [-0.226876, -0.398008, 1.0]], ['2, k, 7', [-0.22674, -0.464076, 1.0]], ['2, k, 8', [0.199788, 0.0969831, 1.0]], ['2, k, 9', [0.278861, -0.159567, 1.0]], ['2, k, 10', [0.279088, -0.386589, 1.0]], ['2, k, 11', [0.283531, -0.447844, 1.0]], ['2, k, 12', [-0.0422824, -0.442149, 1.0]], ['2, k, 13', [0.00614133, -0.909744, 1.0]], ['2, k, 14', [-0.0562976, -1.24194, 1.0]], ['2, k, 15', [-0.0379108, -1.28451, 1.0]], ['2, k, 16', [0.116171, -0.444147, 1.0]], ['2, k, 17', [0.0620898, -0.921169, 1.0]], ['2, k, 18', [0.145867, -1.23575, 1.0]], ['2, k, 19', [0.0867787, -1.28802, 1.0]], ['2, k, 20', [0.024779, 0.125882, 1.0]], ['2, k, 21', [-0.23162, -0.525725, 1.0]], ['2, k, 22', [-0.169682, -0.493023, 1.0]], ['2, k, 23', [0.304522, -0.499128, 1.0]], ['2, k, 24', [0.237097, -0.448004, 1.0]]]
[['2, k, 0', [0.0374043, -0.4494, 1.0]], ['2, k, 1', [0.0305245, -0.118371, 1.0]], ['2, k, 2', [0.0230126, 0.206212, 1.0]], ['2, k, 3', [0.0300193, 0.354046, 1.0]], ['2, k, 4', [-0.146339, 0.103119, 1.0]], ['2, k, 5', [-0.210131, -0.166572, 1.0]], ['2, k, 6', [-0.226724, -0.397621, 1.0]], ['2, k, 7', [-0.228992, -0.464673, 1.0]], ['2, k, 8', [0.199718, 0.0971009, 1.0]], ['2, k, 9', [0.27873, -0.159783, 1.0]], ['2, k, 10', [0.279159, -0.386594, 1.0]], ['2, k, 11', [0.283873, -0.446942, 1.0]], ['2, k, 12', [-0.0422287, -0.442784, 1.0]], ['2, k, 13', [0.00634839, -0.910199, 1.0]], ['2, k, 14', [-0.0565414, -1.24252, 1.0]], ['2, k, 15', [-0.0372498, -1.28779, 1.0]], ['2, k, 16', [0.116146, -0.445401, 1.0]], ['2, k, 17', [0.0690985, -0.916553, 1.0]], ['2, k, 18', [0.146097, -1.23561, 1.0]], ['2, k, 19', [0.0999537, -1.27822, 1.0]], ['2, k, 20', [0.0249152, 0.125838, 1.0]], ['2, k, 21', [-0.233416, -0.52577, 1.0]], ['2, k, 22', [-0.169801, -0.493066, 1.0]], ['2, k, 23', [0.29959, -0.499603, 1.0]], ['2, k, 24', [0.234451, -0.438956, 1.0]]]
[['2, k, 0', [0.0375304, -0.450782, 1.0]], ['2, k, 1', [0.0306337, -0.118741, 1.0]], ['2, k, 2', [0.0232538, 0.206247, 1.0]], ['2, k, 3', [0.0300412, 0.354319, 1.0]], ['2, k, 4', [-0.14559, 0.101394, 1.0]], ['2, k, 5', [-0.210249, -0.166602, 1.0]], ['2, k, 6', [-0.226292, -0.397978, 1.0]], ['2, k, 7', [-0.228782, -0.464047, 1.0]], ['2, k, 8', [0.19971, 0.0965878, 1.0]], ['2, k, 9', [0.278216, -0.159674, 1.0]], ['2, k, 10', [0.27902, -0.386981, 1.0]], ['2, k, 11', [0.280879, -0.448649, 1.0]], ['2, k, 12', [-0.0420551, -0.444407, 1.0]], ['2, k, 13', [0.0041215, -0.909485, 1.0]], ['2, k, 14', [-0.0878899, -1.27391, 1.0]], ['2, k, 15', [-0.0150015, -1.29962, 1.0]], ['2, k, 16', [0.116227, -0.446514, 1.0]], ['2, k, 17', [0.0626006, -0.920697, 1.0]], ['2, k, 18', [0.145914, -1.23558, 1.0]], ['2, k, 19', [0.0975342, -1.28906, 1.0]], ['2, k, 20', [0.0251025, 0.125777, 1.0]], ['2, k, 21', [-0.229795, -0.524552, 1.0]], ['2, k, 22', [-0.171177, -0.493823, 1.0]], ['2, k, 23', [0.30884, -0.501078, 1.0]], ['2, k, 24', [0.238051, -0.459112, 1.0]]]
[['2, k, 0', [0.0378904, -0.450978, 1.0]], ['2, k, 1', [0.0308454, -0.118927, 1.0]], ['2, k, 2', [0.0233928, 0.206105, 1.0]], ['2, k, 3', [0.029887, 0.353795, 1.0]], ['2, k, 4', [-0.145018, 0.100342, 1.0]], ['2, k, 5', [-0.210328, -0.166599, 1.0]], ['2, k, 6', [-0.226186, -0.397699, 1.0]], ['2, k, 7', [-0.226783, -0.466303, 1.0]], ['2, k, 8', [0.199807, 0.0966154, 1.0]], ['2, k, 9', [0.278176, -0.159667, 1.0]], ['2, k, 10', [0.279074, -0.387409, 1.0]], ['2, k, 11', [0.281154, -0.446664, 1.0]], ['2, k, 12', [-0.0416052, -0.444906, 1.0]], ['2, k, 13', [0.00751156, -0.904666, 1.0]], ['2, k, 14', [-0.103237, -1.24715, 1.0]], ['2, k, 15', [0.0353476, -1.28308, 1.0]], ['2, k, 16', [0.116585, -0.446483, 1.0]], ['2, k, 17', [0.0692821, -0.917288, 1.0]], ['2, k, 18', [0.145708, -1.2348, 1.0]], ['2, k, 19', [0.174683, -1.29297, 1.0]], ['2, k, 20', [0.0252598, 0.125633, 1.0]], ['2, k, 21', [-0.230875, -0.525802, 1.0]], ['2, k, 22', [-0.1683, -0.493207, 1.0]], ['2, k, 23', [0.29484, -0.502104, 1.0]], ['2, k, 24', [0.234718, -0.442749, 1.0]]]
[['2, k, 0', [0.0372567, -0.449018, 1.0]], ['2, k, 1', [0.0306262, -0.118667, 1.0]], ['2, k, 2', [0.023273, 0.205935, 1.0]], ['2, k, 3', [0.0300945, 0.354023, 1.0]], ['2, k, 4', [-0.1456, 0.0967647, 1.0]], ['2, k, 5', [-0.210114, -0.169842, 1.0]], ['2, k, 6', [-0.226182, -0.397709, 1.0]], ['2, k, 7', [-0.228301, -0.464449, 1.0]], ['2, k, 8', [0.199854, 0.0955243, 1.0]], ['2, k, 9', [0.277832, -0.160565, 1.0]], ['2, k, 10', [0.279311, -0.385677, 1.0]], ['2, k, 11', [0.280738, -0.447493, 1.0]], ['2, k, 12', [-0.0421352, -0.443402, 1.0]], ['2, k, 13', [0.0088536, -0.901031, 1.0]], ['2, k, 14', [-0.0590874, -1.20754, 1.0]], ['2, k, 15', [-0.0283661, -1.27441, 1.0]], ['2, k, 16', [0.115821, -0.443988, 1.0]], ['2, k, 17', [0.0719562, -0.919461, 1.0]], ['2, k, 18', [0.144704, -1.23388, 1.0]], ['2, k, 19', [0.180129, -1.29297, 1.0]], ['2, k, 20', [0.0251707, 0.125585, 1.0]], ['2, k, 21', [-0.231815, -0.523982, 1.0]], ['2, k, 22', [-0.171721, -0.489741, 1.0]], ['2, k, 23', [0.296664, -0.500037, 1.0]], ['2, k, 24', [0.235033, -0.442099, 1.0]]]
