[['2, k, 0', [-0.122261, 0.08083852, 1.0]], ['2, k, 1', [-0.1214041, 0.3895297, 1.0]], ['2, k, 2', [-0.121094, 0.6881188, 1.0]], ['2, k, 3', [-0.1469707, 0.837998, 1.0]], ['2, k, 4', [-0.3023042, 0.5520644, 1.0]], ['2, k, 5', [-0.343685, 0.3015885, 1.0]], ['2, k, 6', [-0.3430984, 0.07431815, 1.0]], ['2, k, 7', [-0.3280718, 0.02378559, 1.0]], ['2, k, 8', [0.0546793, 0.5593788, 1.0]], ['2, k, 9', [0.1019065, 0.2942924, 1.0]], ['2, k, 10', [0.1109279, 0.04882148, 1.0]], ['2, k, 11', [0.1088478, -0.01683952, 1.0]], ['2, k, 12', [-0.2002306, 0.08006236, 1.0]], ['2, k, 13', [-0.2175266, -0.3062944, 1.0]], ['2, k, 14', [-0.2238052, -0.6351629, 1.0]], ['2, k, 15', [-0.2363754, -0.7015066, 1.0]], ['2, k, 16', [-0.04067975, 0.07930108, 1.0]], ['2, k, 17', [-0.02342359, -0.2997293, 1.0]], ['2, k, 18', [-0.04192443, -0.6296604, 1.0]], ['2, k, 19', [-0.01177642, -0.7019957, 1.0]], ['2, k, 20', [-0.1212494, 0.6148925, 1.0]], ['2, k, 21', [-0.3146973, -0.05737907, 1.0]], ['2, k, 22', [-0.2854141, 0.04588778, 1.0]], ['2, k, 23', [0.1101411, -0.09804162, 1.0]], ['2, k, 24', [0.1474588, -0.00318225, 1.0]]]
[['2, k, 0', [-0.1222811, 0.08086684, 1.0]], ['2, k, 1', [-0.1219016, 0.3896035, 1.0]], ['2, k, 2', [-0.1223646, 0.6881333, 1.0]], ['2, k, 3', [-0.1478552, 0.8379701, 1.0]], ['2, k, 4', [-0.3030166, 0.5519166, 1.0]], ['2, k, 5', [-0.3437716, 0.301621, 1.0]], ['2, k, 6', [-0.3432804, 0.0743546, 1.0]], ['2, k, 7', [-0.3274991, 0.02516109, 1.0]], ['2, k, 8', [0.05341507, 0.5601337, 1.0]], ['2, k, 9', [0.1020194, 0.3004643, 1.0]], ['2, k, 10', [0.1164486, 0.06229317, 1.0]], ['2, k, 11', [0.1172525, -0.01147596, 1.0]], ['2, k, 12', [-0.2002899, 0.08007285, 1.0]], ['2, k, 13', [-0.2175461, -0.3063287, 1.0]], ['2, k, 14', [-0.2238557, -0.6350598, 1.0]], ['2, k, 15', [-0.2364031, -0.7017342, 1.0]], ['2, k, 16', [-0.04068514, 0.07934023, 1.0]], ['2, k, 17', [-0.02345814, -0.2996138, 1.0]], ['2, k, 18', [-0.04190398, -0.6296328, 1.0]], ['2, k, 19', [-0.01287906, -0.701583, 1.0]], ['2, k, 20', [-0.1223149, 0.6149415, 1.0]], ['2, k, 21', [-0.3147771, -0.05736234, 1.0]], ['2, k, 22', [-0.2848409, 0.02784075, 1.0]], ['2, k, 23', [0.1212489, -0.08589389, 1.0]], ['2, k, 24', [0.1528152, -0.0225455, 1.0]]]
[['2, k, 0', [-0.1222281, 0.08090413, 1.0]], ['2, k, 1', [-0.1222444, 0.3897665, 1.0]], ['2, k, 2', [-0.1233487, 0.6885067, 1.0]], ['2, k, 3', [-0.149496, 0.8384321, 1.0]], ['2, k, 4', [-0.3039075, 0.5511603, 1.0]], ['2, k, 5', [-0.3440181, 0.3016454, 1.0]], ['2, k, 6', [-0.3439901, 0.07440252, 1.0]], ['2, k, 7', [-0.328225, 0.02304674, 1.0]], ['2, k, 8', [0.05243137, 0.5609515, 1.0]], ['2, k, 9', [0.1043996, 0.3115969, 1.0]], ['2, k, 10', [0.1218564, 0.06792729, 1.0]], ['2, k, 11', [0.123683, -0.004941921, 1.0]], ['2, k, 12', [-0.2001952, 0.07998868, 1.0]], ['2, k, 13', [-0.2176307, -0.3066256, 1.0]], ['2, k, 14', [-0.2234324, -0.6360821, 1.0]], ['2, k, 15', [-0.2362179, -0.7022536, 1.0]], ['2, k, 16', [-0.04064505, 0.07944501, 1.0]], ['2, k, 17', [-0.02348328, -0.2996082, 1.0]], ['2, k, 18', [-0.04180716, -0.6295578, 1.0]], ['2, k, 19', [-0.01358976, -0.7018201, 1.0]], ['2, k, 20', [-0.1231237, 0.6152657, 1.0]], ['2, k, 21', [-0.3150767, -0.05736715, 1.0]], ['2, k, 22', [-0.2806623, 0.0131752, 1.0]], ['2, k, 23', [0.1250109, -0.07761619, 1.0]], ['2, k, 24', [0.1582721, -0.03811389, 1.0]]]
[['2, k, 0', [-0.1222077, 0.08104152, 1.0]], ['2, k, 1', [-0.1230819, 0.3900447, 1.0]], ['2, k, 2', [-0.1255016, 0.6888756, 1.0]], ['2, k, 3', [-0.1514564, 0.8391437, 1.0]], ['2, k, 4', [-0.3057826, 0.5509033, 1.0]], ['2, k, 5', [-0.3445421, 0.3016246, 1.0]], ['2, k, 6', [-0.3442782, 0.07440649, 1.0]], ['2, k, 7', [-0.3277352, 0.02433294, 1.0]], ['2, k, 8', [0.05076354, 0.5619788, 1.0]], ['2, k, 9', [0.1078951, 0.3266455, 1.0]], ['2, k, 10', [0.1305362, 0.08827853, 1.0]], ['2, k, 11', [0.1308738, 0.01455375, 1.0]], ['2, k, 12', [-0.2001643, 0.0800125, 1.0]], ['2, k, 13', [-0.217683, -0.3064815, 1.0]], ['2, k, 14', [-0.2234458, -0.635843, 1.0]], ['2, k, 15', [-0.2366445, -0.7020533, 1.0]], ['2, k, 16', [-0.04063074, 0.07971738, 1.0]], ['2, k, 17', [-0.02299789, -0.2988984, 1.0]], ['2, k, 18', [-0.04164089, -0.6288112, 1.0]], ['2, k, 19', [-0.0128496, -0.701398, 1.0]], ['2, k, 20', [-0.1249253, 0.6156295, 1.0]], ['2, k, 21', [-0.313114, -0.05808837, 1.0]], ['2, k, 22', [-0.2870803, 0.04563567, 1.0]], ['2, k, 23', [0.1436609, -0.0586716, 1.0]], ['2, k, 24', [0.1659546, 0.03663649, 1.0]]]
[['2, k, 0', [-0.1222438, 0.081116, 1.0]], ['2, k, 1', [-0.1236043, 0.3902308, 1.0]], ['2, k, 2', [-0.126434, 0.6890703, 1.0]], ['2, k, 3', [-0.1526449, 0.8390735, 1.0]], ['2, k, 4', [-0.306694, 0.550902, 1.0]], ['2, k, 5', [-0.3447961, 0.3014936, 1.0]], ['2, k, 6', [-0.3448665, 0.07431299, 1.0]], ['2, k, 7', [-0.3269457, 0.02218263, 1.0]], ['2, k, 8', [0.04975108, 0.5623609, 1.0]], ['2, k, 9', [0.1088903, 0.3407449, 1.0]], ['2, k, 10', [0.1377947, 0.109475, 1.0]], ['2, k, 11', [0.1376858, 0.03635545, 1.0]], ['2, k, 12', [-0.2001986, 0.08001295, 1.0]], ['2, k, 13', [-0.217752, -0.3063745, 1.0]], ['2, k, 14', [-0.2234154, -0.6358017, 1.0]], ['2, k, 15', [-0.2371674, -0.70207, 1.0]], ['2, k, 16', [-0.04067747, 0.07992412, 1.0]], ['2, k, 17', [-0.0220662, -0.2968033, 1.0]], ['2, k, 18', [-0.04110362, -0.6286274, 1.0]], ['2, k, 19', [-0.01249611, -0.7011494, 1.0]], ['2, k, 20', [-0.1257739, 0.6158336, 1.0]], ['2, k, 21', [-0.3122207, -0.06186375, 1.0]], ['2, k, 22', [-0.2846356, 0.0332852, 1.0]], ['2, k, 23', [0.1493194, -0.03739262, 1.0]], ['2, k, 24', [0.1753526, 0.07604609, 1.0]]]
[['2, k, 0', [-0.1220915, 0.0811308, 1.0]], ['2, k, 1', [-0.124043, 0.3902934, 1.0]], ['2, k, 2', [-0.1281056, 0.6891896, 1.0]], ['2, k, 3', [-0.1546036, 0.8398423, 1.0]], ['2, k, 4', [-0.3083531, 0.5501409, 1.0]], ['2, k, 5', [-0.3448929, 0.3013293, 1.0]], ['2, k, 6', [-0.3447782, 0.07416524, 1.0]], ['2, k, 7', [-0.3273462, 0.02678163, 1.0]], ['2, k, 8', [0.04742955, 0.5635431, 1.0]], ['2, k, 9', [0.1144433, 0.3482757, 1.0]], ['2, k, 10', [0.1423573, 0.1392806, 1.0]], ['2, k, 11', [0.1457445, 0.06877387, 1.0]], ['2, k, 12', [-0.2000402, 0.07979356, 1.0]], ['2, k, 13', [-0.2178162, -0.3063545, 1.0]], ['2, k, 14', [-0.2234761, -0.6358278, 1.0]], ['2, k, 15', [-0.2372672, -0.7019796, 1.0]], ['2, k, 16', [-0.04039802, 0.08020658, 1.0]], ['2, k, 17', [-0.02207272, -0.296797, 1.0]], ['2, k, 18', [-0.04036541, -0.6285645, 1.0]], ['2, k, 19', [-0.01273668, -0.7009568, 1.0]], ['2, k, 20', [-0.1270946, 0.6159443, 1.0]], ['2, k, 21', [-0.3097039, -0.05725856, 1.0]], ['2, k, 22', [-0.2865859, 0.04815168, 1.0]], ['2, k, 23', [0.1531482, -0.005033887, 1.0]], ['2, k, 24', [0.1836261, 0.07959079, 1.0]]]
[['2, k, 0', [-0.1219812, 0.08122607, 1.0]], ['2, k, 1', [-0.124376, 0.3904185, 1.0]], ['2, k, 2', [-0.1288556, 0.6892636, 1.0]], ['2, k, 3', [-0.1557904, 0.8398218, 1.0]], ['2, k, 4', [-0.3086991, 0.550077, 1.0]], ['2, k, 5', [-0.3451741, 0.3012808, 1.0]], ['2, k, 6', [-0.3448784, 0.07409683, 1.0]], ['2, k, 7', [-0.3270697, 0.02645415, 1.0]], ['2, k, 8', [0.04539402, 0.565914, 1.0]], ['2, k, 9', [0.1166964, 0.3553418, 1.0]], ['2, k, 10', [0.1539316, 0.1814591, 1.0]], ['2, k, 11', [0.1513452, 0.1057213, 1.0]], ['2, k, 12', [-0.199993, 0.07969751, 1.0]], ['2, k, 13', [-0.2179276, -0.3064544, 1.0]], ['2, k, 14', [-0.2233935, -0.635959, 1.0]], ['2, k, 15', [-0.2375311, -0.7019373, 1.0]], ['2, k, 16', [-0.04012218, 0.08072408, 1.0]], ['2, k, 17', [-0.02208921, -0.2968168, 1.0]], ['2, k, 18', [-0.04028162, -0.6285455, 1.0]], ['2, k, 19', [-0.01254602, -0.6996377, 1.0]], ['2, k, 20', [-0.1277563, 0.6160411, 1.0]], ['2, k, 21', [-0.3118142, -0.05793393, 1.0]], ['2, k, 22', [-0.2852446, 0.03878802, 1.0]], ['2, k, 23', [0.1600869, 0.03114904, 1.0]], ['2, k, 24', [0.1896636, 0.1180004, 1.0]]]
[['2, k, 0', [-0.1216041, 0.08137346, 1.0]], ['2, k, 1', [-0.1245624, 0.3904504, 1.0]], ['2, k, 2', [-0.1295266, 0.6890795, 1.0]], ['2, k, 3', [-0.1568698, 0.8401408, 1.0]], ['2, k, 4', [-0.3092897, 0.5499346, 1.0]], ['2, k, 5', [-0.3454737, 0.3010288, 1.0]], ['2, k, 6', [-0.3451217, 0.0739048, 1.0]], ['2, k, 7', [-0.3283558, 0.02911642, 1.0]], ['2, k, 8', [0.04155821, 0.5690893, 1.0]], ['2, k, 9', [0.1270104, 0.3771354, 1.0]], ['2, k, 10', [0.1532884, 0.2090042, 1.0]], ['2, k, 11', [0.1583032, 0.1443194, 1.0]], ['2, k, 12', [-0.1997174, 0.07952564, 1.0]], ['2, k, 13', [-0.2180467, -0.3064606, 1.0]], ['2, k, 14', [-0.2239284, -0.6353969, 1.0]], ['2, k, 15', [-0.2375336, -0.7023761, 1.0]], ['2, k, 16', [-0.03955818, 0.08133139, 1.0]], ['2, k, 17', [-0.02160442, -0.2952805, 1.0]], ['2, k, 18', [-0.03936423, -0.6289865, 1.0]], ['2, k, 19', [-0.01250929, -0.6996395, 1.0]], ['2, k, 20', [-0.1283065, 0.6159238, 1.0]], ['2, k, 21', [-0.3157069, -0.0514848, 1.0]], ['2, k, 22', [-0.2868357, 0.05491205, 1.0]], ['2, k, 23', [0.1704327, 0.06901684, 1.0]], ['2, k, 24', [0.194396, 0.1639554, 1.0]]]
[['2, k, 0', [-0.1212212, 0.08152556, 1.0]], ['2, k, 1', [-0.1247333, 0.3906193, 1.0]], ['2, k, 2', [-0.1301892, 0.6892664, 1.0]], ['2, k, 3', [-0.1584981, 0.8399456, 1.0]], ['2, k, 4', [-0.3102749, 0.5495206, 1.0]], ['2, k, 5', [-0.3456105, 0.3009356, 1.0]], ['2, k, 6', [-0.3449657, 0.07381071, 1.0]], ['2, k, 7', [-0.3280299, 0.03156976, 1.0]], ['2, k, 8', [0.03918358, 0.5710495, 1.0]], ['2, k, 9', [0.1321337, 0.3888077, 1.0]], ['2, k, 10', [0.1615164, 0.2525237, 1.0]], ['2, k, 11', [0.1618592, 0.1898742, 1.0]], ['2, k, 12', [-0.1993858, 0.07932267, 1.0]], ['2, k, 13', [-0.2180638, -0.3064141, 1.0]], ['2, k, 14', [-0.2236619, -0.6362835, 1.0]], ['2, k, 15', [-0.2375398, -0.7023003, 1.0]], ['2, k, 16', [-0.03904882, 0.08189127, 1.0]], ['2, k, 17', [-0.02133715, -0.2944284, 1.0]], ['2, k, 18', [-0.03922204, -0.6290386, 1.0]], ['2, k, 19', [-0.01361945, -0.6995344, 1.0]], ['2, k, 20', [-0.1288478, 0.6161097, 1.0]], ['2, k, 21', [-0.3123442, -0.0513725, 1.0]], ['2, k, 22', [-0.285237, 0.04386044, 1.0]], ['2, k, 23', [0.1711195, 0.1162358, 1.0]], ['2, k, 24', [0.1975515, 0.1974752, 1.0]]]
[['2, k, 0', [-0.1211306, 0.08177108, 1.0]], ['2, k, 1', [-0.1250304, 0.3911248, 1.0]], ['2, k, 2', [-0.1307711, 0.6900195, 1.0]], ['2, k, 3', [-0.1591429, 0.839816, 1.0]], ['2, k, 4', [-0.3108535, 0.549314, 1.0]], ['2, k, 5', [-0.346156, 0.301242, 1.0]], ['2, k, 6', [-0.3455575, 0.07423381, 1.0]], ['2, k, 7', [-0.3277401, 0.02941488, 1.0]], ['2, k, 8', [0.03505423, 0.5760639, 1.0]], ['2, k, 9', [0.1386025, 0.4065146, 1.0]], ['2, k, 10', [0.1637158, 0.3260419, 1.0]], ['2, k, 11', [0.1654253, 0.2446226, 1.0]], ['2, k, 12', [-0.1993682, 0.07933974, 1.0]], ['2, k, 13', [-0.2177519, -0.3059798, 1.0]], ['2, k, 14', [-0.2239272, -0.6357386, 1.0]], ['2, k, 15', [-0.2374435, -0.702085, 1.0]], ['2, k, 16', [-0.03884445, 0.08258013, 1.0]], ['2, k, 17', [-0.02083517, -0.2925839, 1.0]], ['2, k, 18', [-0.03893775, -0.6288387, 1.0]], ['2, k, 19', [-0.01488642, -0.6994492, 1.0]], ['2, k, 20', [-0.1293774, 0.6168049, 1.0]], ['2, k, 21', [-0.3165085, -0.05183244, 1.0]], ['2, k, 22', [-0.2860439, 0.04429137, 1.0]], ['2, k, 23', [0.1696527, 0.17608, 1.0]], ['2, k, 24', [0.1989428, 0.2633323, 1.0]]]
[['2, k, 0', [-0.1210894, 0.08202397, 1.0]], ['2, k, 1', [-0.1254137, 0.3913621, 1.0]], ['2, k, 2', [-0.1314914, 0.6900361, 1.0]], ['2, k, 3', [-0.1597116, 0.8397667, 1.0]], ['2, k, 4', [-0.3114779, 0.5489559, 1.0]], ['2, k, 5', [-0.3464469, 0.301002, 1.0]], ['2, k, 6', [-0.3454708, 0.07398578, 1.0]], ['2, k, 7', [-0.3290607, 0.03053198, 1.0]], ['2, k, 8', [0.03242348, 0.5792242, 1.0]], ['2, k, 9', [0.1458329, 0.424278, 1.0]], ['2, k, 10', [0.1547156, 0.3781081, 1.0]], ['2, k, 11', [0.1652993, 0.2988315, 1.0]], ['2, k, 12', [-0.1993657, 0.07935098, 1.0]], ['2, k, 13', [-0.2176314, -0.3058962, 1.0]], ['2, k, 14', [-0.2239671, -0.6357033, 1.0]], ['2, k, 15', [-0.2373624, -0.7021376, 1.0]], ['2, k, 16', [-0.03877204, 0.08326056, 1.0]], ['2, k, 17', [-0.02088192, -0.2922102, 1.0]], ['2, k, 18', [-0.0387303, -0.6284972, 1.0]], ['2, k, 19', [-0.01403869, -0.69822, 1.0]], ['2, k, 20', [-0.1300272, 0.6168927, 1.0]], ['2, k, 21', [-0.3179848, -0.05184797, 1.0]], ['2, k, 22', [-0.2851394, 0.03137512, 1.0]], ['2, k, 23', [0.1707087, 0.235238, 1.0]], ['2, k, 24', [0.2005903, 0.2857862, 1.0]]]
