[['2, k, 0', [-8.44673, 79.554, 1.0]], ['2, k, 1', [-7.1749782756593365, 111.89241614841214, 1.0]], ['2, k, 2', [-6.185028555055809, 136.16271051687224, 1.0]], ['2, k, 3', [-5.891178744832163, 143.01329227284893, 1.0]], ['2, k, 4', [9.267215911762392, 129.95619391194637, 1.0]], ['2, k, 5', [16.289345735505446, 102.07812219104505, 1.0]], ['2, k, 6', [19.2521449309395, 80.71615737449363, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-22.445472100476206, 130.0081197190188, 1.0]], ['2, k, 9', [-27.209116830201992, 101.92402958670112, 1.0]], ['2, k, 10', [-30.520039740588587, 78.77621190189602, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-0.9027484323995276, 79.2799367111333, 1.0]], ['2, k, 13', [0.9643095984881436, 47.30364597394271, 1.0]], ['2, k, 14', [-0.2055453518853383, 11.85961886592711, 1.0]], ['2, k, 15', [-0.21484082216422112, 3.5654236634826795, 1.0]], ['2, k, 16', [-15.687692420122627, 79.8326561968523, 1.0]], ['2, k, 17', [-17.385315793699682, 48.21152904780216, 1.0]], ['2, k, 18', [-18.408077865404568, 13.082606672552465, 1.0]], ['2, k, 19', [-19.145775826663208, 3.40377015209625, 1.0]], ['2, k, 20', [-6.185028555055809, 136.16271051687224, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-8.44673, 79.554, 1.0]], ['2, k, 1', [-7.1691419577603614, 111.89223433114248, 1.0]], ['2, k, 2', [-6.171338926416333, 136.16214255806292, 1.0]], ['2, k, 3', [-5.875398639783565, 143.01256122844006, 1.0]], ['2, k, 4', [9.269441852191385, 129.96355563925061, 1.0]], ['2, k, 5', [16.29752724686825, 102.08715549126936, 1.0]], ['2, k, 6', [19.213083736667404, 80.7065188430084, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-22.440516983018533, 129.98883287688412, 1.0]], ['2, k, 9', [-27.164795133749344, 101.85870562248164, 1.0]], ['2, k, 10', [-30.52469695002923, 78.65342427801559, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-0.9068783093512787, 79.27900189266968, 1.0]], ['2, k, 13', [0.9604856502180701, 47.30883721367774, 1.0]], ['2, k, 14', [-0.21429209874929467, 11.867606153829293, 1.0]], ['2, k, 15', [-0.2412084103614789, 3.563805456105589, 1.0]], ['2, k, 16', [-15.691201635853648, 79.83455472376082, 1.0]], ['2, k, 17', [-17.386567449581083, 48.19709303465716, 1.0]], ['2, k, 18', [-18.45364357371163, 12.935388036539521, 1.0]], ['2, k, 19', [-19.11224939919393, 6.721081188609335, 1.0]], ['2, k, 20', [-6.171338926416333, 136.16214255806292, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-8.44673, 79.55548, 1.0]], ['2, k, 1', [-7.164552181803984, 111.8936605713259, 1.0]], ['2, k, 2', [-6.160624717729709, 136.16363639736284, 1.0]], ['2, k, 3', [-5.863044479832878, 143.01405880728416, 1.0]], ['2, k, 4', [9.27458110769513, 129.9767153603296, 1.0]], ['2, k, 5', [16.306692473650557, 102.10130325778292, 1.0]], ['2, k, 6', [19.16854419996622, 80.68803325919994, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-22.426638177681696, 129.97851802057792, 1.0]], ['2, k, 9', [-27.130231843601024, 101.84192474843204, 1.0]], ['2, k, 10', [-30.517144814691342, 78.63438553417107, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-0.9086375112167477, 79.28046351235749, 1.0]], ['2, k, 13', [0.9544020490351262, 47.29195543128516, 1.0]], ['2, k, 14', [-0.2148569884742122, 11.841463245397044, 1.0]], ['2, k, 15', [-0.03128370540716108, 3.492698048427547, 1.0]], ['2, k, 16', [-15.69265816036415, 79.83807090977992, 1.0]], ['2, k, 17', [-17.387072423533848, 48.14092654906783, 1.0]], ['2, k, 18', [-18.443175605715567, 12.78114668234597, 1.0]], ['2, k, 19', [-19.155279854478444, 6.336380475970849, 1.0]], ['2, k, 20', [-6.160624717729709, 136.16363639736284, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-8.445762, 79.55720000000001, 1.0]], ['2, k, 1', [-7.164628087194593, 111.89557835256224, 1.0]], ['2, k, 2', [-6.1598902389364465, 136.16600047329382, 1.0]], ['2, k, 3', [-5.862086305016007, 143.01626319372357, 1.0]], ['2, k, 4', [9.268325088379953, 129.98351076861277, 1.0]], ['2, k, 5', [16.299783034192423, 102.1078804724535, 1.0]], ['2, k, 6', [19.14511318245691, 80.67480846641433, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-22.426262976729667, 129.97082469208584, 1.0]], ['2, k, 9', [-27.142742966824475, 101.81644822088697, 1.0]], ['2, k, 10', [-30.642299145794354, 78.6297280257804, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-0.9079440698337811, 79.28352891782077, 1.0]], ['2, k, 13', [0.9412638362148598, 47.28620533830248, 1.0]], ['2, k, 14', [-0.22233595353824298, 11.812675318753897, 1.0]], ['2, k, 15', [0.15447263756434737, 3.485863775936009, 1.0]], ['2, k, 16', [-15.693055496265607, 79.84077304709477, 1.0]], ['2, k, 17', [-17.388143859740723, 48.105152498096345, 1.0]], ['2, k, 18', [-18.439367556805482, 12.58995678383102, 1.0]], ['2, k, 19', [-19.061013480460225, 6.753707416574612, 1.0]], ['2, k, 20', [-6.1598902389364465, 136.16600047329382, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-8.437004, 79.559332, 1.0]], ['2, k, 1', [-7.167276117964397, 111.89826462292172, 1.0]], ['2, k, 2', [-6.16641466027631, 136.1692318585044, 1.0]], ['2, k, 3', [-5.869586724356246, 143.01905279554097, 1.0]], ['2, k, 4', [9.25292327152371, 129.99305897345684, 1.0]], ['2, k, 5', [16.285069743938664, 102.11763107101318, 1.0]], ['2, k, 6', [19.119356603913854, 80.66913866188733, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-22.405782106811643, 129.98463331410755, 1.0]], ['2, k, 9', [-27.171575957566795, 101.81808114471646, 1.0]], ['2, k, 10', [-30.982031447995688, 78.75891895315948, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-0.8975116932878819, 79.28750039277467, 1.0]], ['2, k, 13', [0.9209312320955667, 47.29240227144146, 1.0]], ['2, k, 14', [-0.23913044418627005, 11.83156171448774, 1.0]], ['2, k, 15', [0.1749886251809067, 4.5882024950324904, 1.0]], ['2, k, 16', [-15.688094285708374, 79.8413083805516, 1.0]], ['2, k, 17', [-17.40836848818627, 48.08296207289764, 1.0]], ['2, k, 18', [-18.459355078098643, 12.44877434002953, 1.0]], ['2, k, 19', [-18.994081046667535, 7.132329205069297, 1.0]], ['2, k, 20', [-6.16641466027631, 136.1692318585044, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-8.410308, 79.557918, 1.0]], ['2, k, 1', [-7.17584246173986, 111.89907863021725, 1.0]], ['2, k, 2', [-6.1901145774510615, 136.1709054321495, 1.0]], ['2, k, 3', [-5.896051788602015, 143.02003552005303, 1.0]], ['2, k, 4', [9.222638400106167, 129.9959840067727, 1.0]], ['2, k, 5', [16.24652647654332, 102.1183734099845, 1.0]], ['2, k, 6', [19.07072389264079, 80.67170221107098, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-22.403828270688752, 130.01534006585462, 1.0]], ['2, k, 9', [-27.476463308344258, 101.88612207225431, 1.0]], ['2, k, 10', [-32.32305733353335, 79.15492122396991, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-0.8635123816816774, 79.29130217370093, 1.0]], ['2, k, 13', [0.8927194428775882, 47.304896222042615, 1.0]], ['2, k, 14', [-0.23871567864869103, 11.834845321734619, 1.0]], ['2, k, 15', [0.09921470706459284, 4.482412265498679, 1.0]], ['2, k, 16', [-15.66676407060954, 79.83308766256562, 1.0]], ['2, k, 17', [-17.454922361374695, 48.066114929320946, 1.0]], ['2, k, 18', [-18.50112509357593, 12.340645797516295, 1.0]], ['2, k, 19', [-18.977442564242754, 7.368453356550811, 1.0]], ['2, k, 20', [-6.1901145774510615, 136.1709054321495, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-8.371086, 79.55951999999999, 1.0]], ['2, k, 1', [-7.172414072482607, 111.89811625683939, 1.0]], ['2, k, 2', [-6.208250603430658, 136.16723602586038, 1.0]], ['2, k, 3', [-5.919408929500836, 143.0155207426539, 1.0]], ['2, k, 4', [9.177736894208486, 129.9906543091531, 1.0]], ['2, k, 5', [16.239392359163418, 102.1222499169425, 1.0]], ['2, k, 6', [19.02671227871163, 80.67825471703647, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-22.415386380651512, 130.0541203930488, 1.0]], ['2, k, 9', [-28.22729345828954, 102.04039764499369, 1.0]], ['2, k, 10', [-34.56151179540458, 79.8209060021077, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-0.8157580292630957, 79.3001607252994, 1.0]], ['2, k, 13', [0.8715873573285282, 47.32842502413503, 1.0]], ['2, k, 14', [-0.2536568228492826, 11.831560292465028, 1.0]], ['2, k, 15', [0.0392563084763477, 4.716281127855965, 1.0]], ['2, k, 16', [-15.632557848457132, 79.82726707354244, 1.0]], ['2, k, 17', [-17.503751472870547, 48.07638703852754, 1.0]], ['2, k, 18', [-18.5528711095239, 12.14121266752651, 1.0]], ['2, k, 19', [-19.109232837566026, 6.760333500792888, 1.0]], ['2, k, 20', [-6.208250603430658, 136.16723602586038, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-8.291902, 79.557886, 1.0]], ['2, k, 1', [-7.120653716038512, 111.8896388192488, 1.0]], ['2, k, 2', [-6.1778790572111175, 136.15501734403955, 1.0]], ['2, k, 3', [-5.895347604207822, 143.00215509864236, 1.0]], ['2, k, 4', [9.177202880355093, 129.9847716224607, 1.0]], ['2, k, 5', [16.22873417830641, 102.11360286374246, 1.0]], ['2, k, 6', [18.955702706508696, 80.67576395456219, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-22.385182938408107, 130.10085989021843, 1.0]], ['2, k, 9', [-29.36420638077849, 102.55780112677705, 1.0]], ['2, k, 10', [-37.433526844857, 81.08065596192631, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-0.7206899977530465, 79.29888110195967, 1.0]], ['2, k, 13', [0.8929418975283718, 47.34728848358915, 1.0]], ['2, k, 14', [-0.24882211506804852, 11.700071336745985, 1.0]], ['2, k, 15', [-0.02529344196180533, 5.223596640864213, 1.0]], ['2, k, 16', [-15.562692450642881, 79.82342822740287, 1.0]], ['2, k, 17', [-17.535499058589117, 48.11196980332193, 1.0]], ['2, k, 18', [-18.57162007251764, 12.176815790058683, 1.0]], ['2, k, 19', [-19.242296687778367, 6.229225790791092, 1.0]], ['2, k, 20', [-6.1778790572111175, 136.15501734403955, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-8.181651999999998, 79.562766, 1.0]], ['2, k, 1', [-7.015349377853473, 111.88217755499991, 1.0]], ['2, k, 2', [-6.07200731358847, 136.14088283090152, 1.0]], ['2, k, 3', [-5.789177543401035, 142.98653675237642, 1.0]], ['2, k, 4', [9.25550772580804, 129.9914044765998, 1.0]], ['2, k, 5', [16.27770390751363, 102.11301215389277, 1.0]], ['2, k, 6', [19.005418369205948, 80.67485034135228, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-22.279362896928465, 130.1782703069167, 1.0]], ['2, k, 9', [-30.697308870218368, 103.39993622957405, 1.0]], ['2, k, 10', [-40.552965209236625, 82.69897027914746, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-0.5964590522995943, 79.29512799308038, 1.0]], ['2, k, 13', [0.9419617838065122, 47.36401328555819, 1.0]], ['2, k, 14', [-0.2167890543506248, 11.824659696454653, 1.0]], ['2, k, 15', [0.09426056019777224, 5.125416146597858, 1.0]], ['2, k, 16', [-15.464752950446375, 79.83417711480816, 1.0]], ['2, k, 17', [-17.52756607960396, 48.267995003585206, 1.0]], ['2, k, 18', [-18.552009074207213, 12.388099478415782, 1.0]], ['2, k, 19', [-19.35092541161207, 5.671962466498796, 1.0]], ['2, k, 20', [-6.07200731358847, 136.14088283090152, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-8.050594, 79.570712, 1.0]], ['2, k, 1', [-6.87164581100481, 111.87466484343722, 1.0]], ['2, k, 2', [-5.9157415922888905, 136.1238947896308, 1.0]], ['2, k, 3', [-5.629588781240236, 142.96759652303055, 1.0]], ['2, k, 4', [9.383457948706951, 130.00475033586778, 1.0]], ['2, k, 5', [16.344043600459848, 102.11545213406195, 1.0]], ['2, k, 6', [19.099247657950592, 80.6394489999266, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-22.169134925600073, 130.27541732187746, 1.0]], ['2, k, 9', [-32.141528746156496, 104.41881549917898, 1.0]], ['2, k, 10', [-43.997284415589384, 84.73312187099424, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-0.4519570830391233, 79.28854704989838, 1.0]], ['2, k, 13', [1.0186356166296278, 47.36273477643594, 1.0]], ['2, k, 14', [-0.18344403252673813, 11.87565404128928, 1.0]], ['2, k, 15', [0.35942864995453594, 4.5992982455139675, 1.0]], ['2, k, 16', [-15.343834622100747, 79.85359535811207, 1.0]], ['2, k, 17', [-17.49935860998695, 48.43569426768018, 1.0]], ['2, k, 18', [-18.519288504387074, 12.58722068957119, 1.0]], ['2, k, 19', [-19.26819449492492, 6.190019136145213, 1.0]], ['2, k, 20', [-5.9157415922888905, 136.1238947896308, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-7.916316, 79.57477600000001, 1.0]], ['2, k, 1', [-6.724104566228043, 111.85798855759037, 1.0]], ['2, k, 2', [-5.757628107163601, 136.09417115173505, 1.0]], ['2, k, 3', [-5.468986093786441, 142.93556959966563, 1.0]], ['2, k, 4', [9.501264932820789, 130.00662642380956, 1.0]], ['2, k, 5', [16.368103248821384, 102.15010352433654, 1.0]], ['2, k, 6', [19.162532925428696, 80.5797255572256, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-22.064924750367908, 130.3836537887258, 1.0]], ['2, k, 9', [-33.573506593691384, 105.66090678925235, 1.0]], ['2, k, 10', [-47.321982805285316, 87.12182324440568, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-0.30851798304671973, 79.28075043022493, 1.0]], ['2, k, 13', [1.098489797494927, 47.3445067562056, 1.0]], ['2, k, 14', [-0.15628150259689066, 11.750157152461483, 1.0]], ['2, k, 15', [0.3270078132266451, 4.819898223747863, 1.0]], ['2, k, 16', [-15.221753012186259, 79.86877452361063, 1.0]], ['2, k, 17', [-17.465523696436634, 48.64827249882963, 1.0]], ['2, k, 18', [-18.48377797653873, 12.782587325158651, 1.0]], ['2, k, 19', [-19.335750091064533, 6.063605654336132, 1.0]], ['2, k, 20', [-5.757628107163601, 136.09417115173505, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
