[['2, k, 0', [-0.0147218, -0.383151, 1.0]], ['2, k, 1', [-0.0221024, -0.0872587, 1.0]], ['2, k, 2', [-0.0292535, 0.20333, 1.0]], ['2, k, 3', [-0.0252605, 0.358559, 1.0]], ['2, k, 4', [-0.170362, 0.119489, 1.0]], ['2, k, 5', [-0.241153, 0.0182285, 1.0]], ['2, k, 6', [-0.307923, -0.0867698, 1.0]], ['2, k, 7', [-0.338334, -0.155493, 1.0]], ['2, k, 8', [0.124958, 0.110129, 1.0]], ['2, k, 9', [0.213278, -0.0256408, 1.0]], ['2, k, 10', [0.256164, -0.161181, 1.0]], ['2, k, 11', [0.275297, -0.213782, 1.0]], ['2, k, 12', [-0.0816888, -0.376921, 1.0]], ['2, k, 13', [-0.141798, -0.809015, 1.0]], ['2, k, 14', [-0.15163, -1.1805, 1.0]], ['2, k, 15', [-0.171283, -1.25966, 1.0]], ['2, k, 16', [0.0525588, -0.381168, 1.0]], ['2, k, 17', [0.111055, -0.767968, 1.0]], ['2, k, 18', [0.149154, -1.17055, 1.0]], ['2, k, 19', [0.158432, -1.23095, 1.0]], ['2, k, 20', [-0.0275016, 0.131411, 1.0]], ['2, k, 21', [-0.348715, -0.199397, 1.0]], ['2, k, 22', [-0.374332, -0.140742, 1.0]], ['2, k, 23', [0.258666, -0.261311, 1.0]], ['2, k, 24', [0.240569, -0.202024, 1.0]]]
[['2, k, 0', [-0.0139169, -0.390171, 1.0]], ['2, k, 1', [-0.0212809, -0.0891204, 1.0]], ['2, k, 2', [-0.028909, 0.203195, 1.0]], ['2, k, 3', [-0.0252147, 0.358174, 1.0]], ['2, k, 4', [-0.170266, 0.119459, 1.0]], ['2, k, 5', [-0.244941, 0.0337829, 1.0]], ['2, k, 6', [-0.318769, -0.0307669, 1.0]], ['2, k, 7', [-0.340825, -0.0880632, 1.0]], ['2, k, 8', [0.12499, 0.11014, 1.0]], ['2, k, 9', [0.209545, -0.0176366, 1.0]], ['2, k, 10', [0.25117, -0.109661, 1.0]], ['2, k, 11', [0.274814, -0.157539, 1.0]], ['2, k, 12', [-0.0809748, -0.383443, 1.0]], ['2, k, 13', [-0.139888, -0.775423, 1.0]], ['2, k, 14', [-0.149849, -1.18533, 1.0]], ['2, k, 15', [-0.126711, -1.2594, 1.0]], ['2, k, 16', [0.0534481, -0.388383, 1.0]], ['2, k, 17', [0.114149, -0.822911, 1.0]], ['2, k, 18', [0.151907, -1.17922, 1.0]], ['2, k, 19', [0.145699, -1.23544, 1.0]], ['2, k, 20', [-0.0272591, 0.13124, 1.0]], ['2, k, 21', [-0.340155, -0.135717, 1.0]], ['2, k, 22', [-0.374337, -0.0947023, 1.0]], ['2, k, 23', [0.256814, -0.205967, 1.0]], ['2, k, 24', [0.245403, -0.166975, 1.0]]]
[['2, k, 0', [-0.0136079, -0.389908, 1.0]], ['2, k, 1', [-0.0210787, -0.0891939, 1.0]], ['2, k, 2', [-0.0288591, 0.203288, 1.0]], ['2, k, 3', [-0.0253341, 0.358104, 1.0]], ['2, k, 4', [-0.167315, 0.120228, 1.0]], ['2, k, 5', [-0.250033, 0.0764556, 1.0]], ['2, k, 6', [-0.325645, 0.0217655, 1.0]], ['2, k, 7', [-0.340094, -0.0303497, 1.0]], ['2, k, 8', [0.122814, 0.108421, 1.0]], ['2, k, 9', [0.188983, 0.00491246, 1.0]], ['2, k, 10', [0.242484, -0.029772, 1.0]], ['2, k, 11', [0.275076, -0.0845285, 1.0]], ['2, k, 12', [-0.0806014, -0.382756, 1.0]], ['2, k, 13', [-0.127824, -0.86272, 1.0]], ['2, k, 14', [-0.145948, -1.19416, 1.0]], ['2, k, 15', [-0.173082, -1.26133, 1.0]], ['2, k, 16', [0.0537014, -0.388483, 1.0]], ['2, k, 17', [0.110782, -0.870142, 1.0]], ['2, k, 18', [0.152818, -1.18996, 1.0]], ['2, k, 19', [0.109704, -1.25152, 1.0]], ['2, k, 20', [-0.0272477, 0.131248, 1.0]], ['2, k, 21', [-0.332572, -0.0709727, 1.0]], ['2, k, 22', [-0.377637, -0.0291863, 1.0]], ['2, k, 23', [0.274586, -0.124339, 1.0]], ['2, k, 24', [0.243223, -0.0930512, 1.0]]]
[['2, k, 0', [-0.0131171, -0.389213, 1.0]], ['2, k, 1', [-0.0203097, -0.0892057, 1.0]], ['2, k, 2', [-0.0279967, 0.203036, 1.0]], ['2, k, 3', [-0.0252301, 0.358127, 1.0]], ['2, k, 4', [-0.167235, 0.120342, 1.0]], ['2, k, 5', [-0.247705, 0.0778095, 1.0]], ['2, k, 6', [-0.302273, 0.0745839, 1.0]], ['2, k, 7', [-0.338339, 0.0406232, 1.0]], ['2, k, 8', [0.122498, 0.108355, 1.0]], ['2, k, 9', [0.181189, 0.0544987, 1.0]], ['2, k, 10', [0.247374, 0.0150569, 1.0]], ['2, k, 11', [0.273555, -0.023052, 1.0]], ['2, k, 12', [-0.0799327, -0.381839, 1.0]], ['2, k, 13', [-0.126699, -0.862491, 1.0]], ['2, k, 14', [-0.144299, -1.19969, 1.0]], ['2, k, 15', [-0.184077, -1.26631, 1.0]], ['2, k, 16', [0.0540187, -0.388014, 1.0]], ['2, k, 17', [0.107355, -0.81825, 1.0]], ['2, k, 18', [0.146094, -1.20344, 1.0]], ['2, k, 19', [0.102115, -1.26615, 1.0]], ['2, k, 20', [-0.0266105, 0.131067, 1.0]], ['2, k, 21', [-0.328411, 0.00318918, 1.0]], ['2, k, 22', [-0.373966, 0.0432391, 1.0]], ['2, k, 23', [0.28473, -0.0592733, 1.0]], ['2, k, 24', [0.234006, -0.0326823, 1.0]]]
[['2, k, 0', [-0.0123649, -0.38876, 1.0]], ['2, k, 1', [-0.0196589, -0.0892836, 1.0]], ['2, k, 2', [-0.0275251, 0.20284, 1.0]], ['2, k, 3', [-0.0251536, 0.358148, 1.0]], ['2, k, 4', [-0.166843, 0.120164, 1.0]], ['2, k, 5', [-0.251575, 0.0889716, 1.0]], ['2, k, 6', [-0.314143, 0.100468, 1.0]], ['2, k, 7', [-0.344341, 0.104928, 1.0]], ['2, k, 8', [0.12092, 0.107432, 1.0]], ['2, k, 9', [0.179349, 0.0876419, 1.0]], ['2, k, 10', [0.239517, 0.0580608, 1.0]], ['2, k, 11', [0.278508, 0.0405562, 1.0]], ['2, k, 12', [-0.0791375, -0.381337, 1.0]], ['2, k, 13', [-0.126415, -0.862474, 1.0]], ['2, k, 14', [-0.141133, -1.2012, 1.0]], ['2, k, 15', [-0.105713, -1.26855, 1.0]], ['2, k, 16', [0.0546875, -0.387638, 1.0]], ['2, k, 17', [0.111301, -0.866155, 1.0]], ['2, k, 18', [0.144395, -1.20484, 1.0]], ['2, k, 19', [0.108415, -1.26968, 1.0]], ['2, k, 20', [-0.0261838, 0.130905, 1.0]], ['2, k, 21', [-0.338146, 0.072643, 1.0]], ['2, k, 22', [-0.372926, 0.0990274, 1.0]], ['2, k, 23', [0.275031, 0.0126144, 1.0]], ['2, k, 24', [0.248731, 0.0186405, 1.0]]]
[['2, k, 0', [-0.0123115, -0.387173, 1.0]], ['2, k, 1', [-0.0195342, -0.0888888, 1.0]], ['2, k, 2', [-0.0273442, 0.202788, 1.0]], ['2, k, 3', [-0.0251689, 0.358161, 1.0]], ['2, k, 4', [-0.166643, 0.120456, 1.0]], ['2, k, 5', [-0.244311, 0.143894, 1.0]], ['2, k, 6', [-0.297531, 0.159678, 1.0]], ['2, k, 7', [-0.341477, 0.174623, 1.0]], ['2, k, 8', [0.118569, 0.109342, 1.0]], ['2, k, 9', [0.175179, 0.0888433, 1.0]], ['2, k, 10', [0.224198, 0.0848638, 1.0]], ['2, k, 11', [0.281483, 0.10261, 1.0]], ['2, k, 12', [-0.078991, -0.380073, 1.0]], ['2, k, 13', [-0.125964, -0.860148, 1.0]], ['2, k, 14', [-0.141135, -1.20143, 1.0]], ['2, k, 15', [-0.112623, -1.26892, 1.0]], ['2, k, 16', [0.0546249, -0.385773, 1.0]], ['2, k, 17', [0.111083, -0.864908, 1.0]], ['2, k, 18', [0.143832, -1.20575, 1.0]], ['2, k, 19', [0.114855, -1.27328, 1.0]], ['2, k, 20', [-0.0260697, 0.130896, 1.0]], ['2, k, 21', [-0.334375, 0.146396, 1.0]], ['2, k, 22', [-0.372023, 0.181059, 1.0]], ['2, k, 23', [0.27755, 0.0723619, 1.0]], ['2, k, 24', [0.257331, 0.0758642, 1.0]]]
[['2, k, 0', [-0.0120842, -0.387191, 1.0]], ['2, k, 1', [-0.0196656, -0.0891014, 1.0]], ['2, k, 2', [-0.0279709, 0.202339, 1.0]], ['2, k, 3', [-0.0251431, 0.357921, 1.0]], ['2, k, 4', [-0.166246, 0.120909, 1.0]], ['2, k, 5', [-0.240652, 0.147698, 1.0]], ['2, k, 6', [-0.283072, 0.185843, 1.0]], ['2, k, 7', [-0.329645, 0.245297, 1.0]], ['2, k, 8', [0.118596, 0.109407, 1.0]], ['2, k, 9', [0.172889, 0.0889577, 1.0]], ['2, k, 10', [0.223532, 0.142785, 1.0]], ['2, k, 11', [0.279517, 0.177616, 1.0]], ['2, k, 12', [-0.0787262, -0.38005, 1.0]], ['2, k, 13', [-0.125245, -0.860158, 1.0]], ['2, k, 14', [-0.141733, -1.20455, 1.0]], ['2, k, 15', [-0.113779, -1.2699, 1.0]], ['2, k, 16', [0.0548019, -0.385848, 1.0]], ['2, k, 17', [0.106798, -0.811816, 1.0]], ['2, k, 18', [0.143554, -1.20443, 1.0]], ['2, k, 19', [0.133845, -1.26969, 1.0]], ['2, k, 20', [-0.0263282, 0.130618, 1.0]], ['2, k, 21', [-0.325735, 0.214571, 1.0]], ['2, k, 22', [-0.351613, 0.258903, 1.0]], ['2, k, 23', [0.302276, 0.154545, 1.0]], ['2, k, 24', [0.300807, 0.150395, 1.0]]]
[['2, k, 0', [-0.0113395, -0.385255, 1.0]], ['2, k, 1', [-0.0194755, -0.0881675, 1.0]], ['2, k, 2', [-0.0279813, 0.202504, 1.0]], ['2, k, 3', [-0.0251356, 0.357943, 1.0]], ['2, k, 4', [-0.162988, 0.12179, 1.0]], ['2, k, 5', [-0.255744, 0.182498, 1.0]], ['2, k, 6', [-0.284355, 0.25193, 1.0]], ['2, k, 7', [-0.324589, 0.311313, 1.0]], ['2, k, 8', [0.116669, 0.110052, 1.0]], ['2, k, 9', [0.187646, 0.149351, 1.0]], ['2, k, 10', [0.238799, 0.219689, 1.0]], ['2, k, 11', [0.266043, 0.248876, 1.0]], ['2, k, 12', [-0.0777448, -0.378051, 1.0]], ['2, k, 13', [-0.131107, -0.756367, 1.0]], ['2, k, 14', [-0.148811, -1.08594, 1.0]], ['2, k, 15', [-0.152195, -1.13756, 1.0]], ['2, k, 16', [0.055304, -0.384034, 1.0]], ['2, k, 17', [0.106058, -0.755507, 1.0]], ['2, k, 18', [0.146084, -1.13218, 1.0]], ['2, k, 19', [0.139797, -1.18346, 1.0]], ['2, k, 20', [-0.0262881, 0.130851, 1.0]], ['2, k, 21', [-0.323377, 0.277553, 1.0]], ['2, k, 22', [-0.322529, 0.331531, 1.0]], ['2, k, 23', [0.280021, 0.237123, 1.0]], ['2, k, 24', [0.294338, 0.235704, 1.0]]]
[['2, k, 0', [-0.0101746, -0.382719, 1.0]], ['2, k, 1', [-0.0193027, -0.0873909, 1.0]], ['2, k, 2', [-0.0280524, 0.202515, 1.0]], ['2, k, 3', [-0.025201, 0.358253, 1.0]], ['2, k, 4', [-0.163003, 0.121999, 1.0]], ['2, k, 5', [-0.253781, 0.198737, 1.0]], ['2, k, 6', [-0.285291, 0.299568, 1.0]], ['2, k, 7', [-0.315162, 0.372523, 1.0]], ['2, k, 8', [0.116887, 0.110216, 1.0]], ['2, k, 9', [0.190139, 0.168046, 1.0]], ['2, k, 10', [0.235756, 0.267124, 1.0]], ['2, k, 11', [0.262222, 0.314285, 1.0]], ['2, k, 12', [-0.0763268, -0.375501, 1.0]], ['2, k, 13', [-0.130772, -0.745014, 1.0]], ['2, k, 14', [-0.146246, -1.06723, 1.0]], ['2, k, 15', [-0.1503, -1.11932, 1.0]], ['2, k, 16', [0.0562003, -0.381574, 1.0]], ['2, k, 17', [0.104819, -0.744765, 1.0]], ['2, k, 18', [0.143756, -1.11993, 1.0]], ['2, k, 19', [0.136845, -1.17162, 1.0]], ['2, k, 20', [-0.0263278, 0.130912, 1.0]], ['2, k, 21', [-0.316914, 0.388498, 1.0]], ['2, k, 22', [-0.347207, 0.375493, 1.0]], ['2, k, 23', [0.266597, 0.321915, 1.0]], ['2, k, 24', [0.287698, 0.297825, 1.0]]]
[['2, k, 0', [-0.0097773, -0.380619, 1.0]], ['2, k, 1', [-0.019082, -0.0868879, 1.0]], ['2, k, 2', [-0.0280105, 0.202206, 1.0]], ['2, k, 3', [-0.025155, 0.358068, 1.0]], ['2, k, 4', [-0.162612, 0.121953, 1.0]], ['2, k, 5', [-0.252704, 0.230265, 1.0]], ['2, k, 6', [-0.286924, 0.370218, 1.0]], ['2, k, 7', [-0.30868, 0.423091, 1.0]], ['2, k, 8', [0.115135, 0.110461, 1.0]], ['2, k, 9', [0.191635, 0.198111, 1.0]], ['2, k, 10', [0.231669, 0.314637, 1.0]], ['2, k, 11', [0.254811, 0.378403, 1.0]], ['2, k, 12', [-0.0758403, -0.374164, 1.0]], ['2, k, 13', [-0.128547, -0.736415, 1.0]], ['2, k, 14', [-0.146886, -1.07076, 1.0]], ['2, k, 15', [-0.151128, -1.1216, 1.0]], ['2, k, 16', [0.0565234, -0.378614, 1.0]], ['2, k, 17', [0.102766, -0.735564, 1.0]], ['2, k, 18', [0.14349, -1.12088, 1.0]], ['2, k, 19', [0.136393, -1.17134, 1.0]], ['2, k, 20', [-0.0261913, 0.130641, 1.0]], ['2, k, 21', [-0.308643, 0.44166, 1.0]], ['2, k, 22', [-0.340832, 0.422308, 1.0]], ['2, k, 23', [0.257441, 0.393611, 1.0]], ['2, k, 24', [0.286296, 0.371363, 1.0]]]
[['2, k, 0', [-0.01012, -0.378275, 1.0]], ['2, k, 1', [-0.0189078, -0.0858135, 1.0]], ['2, k, 2', [-0.0274837, 0.201951, 1.0]], ['2, k, 3', [-0.0247497, 0.356796, 1.0]], ['2, k, 4', [-0.162543, 0.122093, 1.0]], ['2, k, 5', [-0.253133, 0.24686, 1.0]], ['2, k, 6', [-0.281576, 0.40095, 1.0]], ['2, k, 7', [-0.301395, 0.477998, 1.0]], ['2, k, 8', [0.115613, 0.110538, 1.0]], ['2, k, 9', [0.179522, 0.237134, 1.0]], ['2, k, 10', [0.232621, 0.381358, 1.0]], ['2, k, 11', [0.244016, 0.429365, 1.0]], ['2, k, 12', [-0.0759557, -0.372339, 1.0]], ['2, k, 13', [-0.126748, -0.729231, 1.0]], ['2, k, 14', [-0.14742, -1.07203, 1.0]], ['2, k, 15', [-0.151948, -1.12179, 1.0]], ['2, k, 16', [0.0559261, -0.375809, 1.0]], ['2, k, 17', [0.102361, -0.731365, 1.0]], ['2, k, 18', [0.143786, -1.12111, 1.0]], ['2, k, 19', [0.136398, -1.1705, 1.0]], ['2, k, 20', [-0.0256146, 0.130676, 1.0]], ['2, k, 21', [-0.287689, 0.508383, 1.0]], ['2, k, 22', [-0.332384, 0.474331, 1.0]], ['2, k, 23', [0.242383, 0.457372, 1.0]], ['2, k, 24', [0.277838, 0.436588, 1.0]]]
