[['2, k, 0', [0.0582143, -0.438272, 1.0]], ['2, k, 1', [0.0503105, -0.146482, 1.0]], ['2, k, 2', [0.0423576, 0.140488, 1.0]], ['2, k, 3', [0.0576131, 0.281857, 1.0]], ['2, k, 4', [-0.0829057, 0.0744725, 1.0]], ['2, k, 5', [-0.16685, 0.192312, 1.0]], ['2, k, 6', [-0.203271, 0.381659, 1.0]], ['2, k, 7', [-0.216112, 0.417954, 1.0]], ['2, k, 8', [0.197643, 0.0916301, 1.0]], ['2, k, 9', [0.293779, 0.265658, 1.0]], ['2, k, 10', [0.347047, 0.460028, 1.0]], ['2, k, 11', [0.36256, 0.524435, 1.0]], ['2, k, 12', [-0.00614473, -0.437656, 1.0]], ['2, k, 13', [-0.144799, -0.689529, 1.0]], ['2, k, 14', [-0.059967, -0.88157, 1.0]], ['2, k, 15', [-0.0600072, -0.992089, 1.0]], ['2, k, 16', [0.121357, -0.429794, 1.0]], ['2, k, 17', [0.135369, -0.712182, 1.0]], ['2, k, 18', [0.137928, -0.878106, 1.0]], ['2, k, 19', [0.142235, -0.987986, 1.0]], ['2, k, 20', [0.0443609, 0.0693979, 1.0]], ['2, k, 21', [-0.237662, 0.465037, 1.0]], ['2, k, 22', [-0.196099, 0.436846, 1.0]], ['2, k, 23', [0.389036, 0.566294, 1.0]], ['2, k, 24', [0.322433, 0.548406, 1.0]]]
[['2, k, 0', [0.0567082, -0.435521, 1.0]], ['2, k, 1', [0.0496553, -0.146497, 1.0]], ['2, k, 2', [0.0420909, 0.13982, 1.0]], ['2, k, 3', [0.0579016, 0.28121, 1.0]], ['2, k, 4', [-0.0828766, 0.0744906, 1.0]], ['2, k, 5', [-0.166006, 0.19348, 1.0]], ['2, k, 6', [-0.206012, 0.382929, 1.0]], ['2, k, 7', [-0.220759, 0.426848, 1.0]], ['2, k, 8', [0.197617, 0.0915026, 1.0]], ['2, k, 9', [0.293842, 0.26569, 1.0]], ['2, k, 10', [0.347208, 0.460214, 1.0]], ['2, k, 11', [0.365401, 0.534922, 1.0]], ['2, k, 12', [-0.0076918, -0.434581, 1.0]], ['2, k, 13', [-0.144033, -0.69275, 1.0]], ['2, k, 14', [-0.0602043, -0.88147, 1.0]], ['2, k, 15', [-0.0649312, -0.991592, 1.0]], ['2, k, 16', [0.11992, -0.427409, 1.0]], ['2, k, 17', [0.138245, -0.715801, 1.0]], ['2, k, 18', [0.138148, -0.877879, 1.0]], ['2, k, 19', [0.184912, -0.943192, 1.0]], ['2, k, 20', [0.0440959, 0.0689181, 1.0]], ['2, k, 21', [-0.240265, 0.482644, 1.0]], ['2, k, 22', [-0.194352, 0.42839, 1.0]], ['2, k, 23', [0.394762, 0.583893, 1.0]], ['2, k, 24', [0.322825, 0.55086, 1.0]]]
[['2, k, 0', [0.0445562, -0.421626, 1.0]], ['2, k, 1', [0.0459966, -0.142742, 1.0]], ['2, k, 2', [0.0420212, 0.139653, 1.0]], ['2, k, 3', [0.0577047, 0.28079, 1.0]], ['2, k, 4', [-0.0829413, 0.074787, 1.0]], ['2, k, 5', [-0.164674, 0.196362, 1.0]], ['2, k, 6', [-0.203967, 0.387883, 1.0]], ['2, k, 7', [-0.220779, 0.433695, 1.0]], ['2, k, 8', [0.197896, 0.0918457, 1.0]], ['2, k, 9', [0.294558, 0.267885, 1.0]], ['2, k, 10', [0.347679, 0.464371, 1.0]], ['2, k, 11', [0.366919, 0.541973, 1.0]], ['2, k, 12', [-0.018755, -0.422078, 1.0]], ['2, k, 13', [-0.0762464, -0.66978, 1.0]], ['2, k, 14', [-0.0589063, -0.88386, 1.0]], ['2, k, 15', [-0.0648831, -0.991152, 1.0]], ['2, k, 16', [0.106921, -0.412347, 1.0]], ['2, k, 17', [0.146005, -0.661041, 1.0]], ['2, k, 18', [0.149735, -0.895504, 1.0]], ['2, k, 19', [0.15984, -0.942683, 1.0]], ['2, k, 20', [0.043811, 0.0689265, 1.0]], ['2, k, 21', [-0.236164, 0.490115, 1.0]], ['2, k, 22', [-0.189905, 0.432879, 1.0]], ['2, k, 23', [0.388429, 0.591313, 1.0]], ['2, k, 24', [0.323106, 0.549829, 1.0]]]
[['2, k, 0', [0.0439685, -0.421287, 1.0]], ['2, k, 1', [0.0451522, -0.142574, 1.0]], ['2, k, 2', [0.0426169, 0.137914, 1.0]], ['2, k, 3', [0.0574358, 0.280416, 1.0]], ['2, k, 4', [-0.0829651, 0.0750483, 1.0]], ['2, k, 5', [-0.164547, 0.197816, 1.0]], ['2, k, 6', [-0.204638, 0.390501, 1.0]], ['2, k, 7', [-0.220939, 0.435699, 1.0]], ['2, k, 8', [0.198153, 0.0913534, 1.0]], ['2, k, 9', [0.294651, 0.269023, 1.0]], ['2, k, 10', [0.348362, 0.466669, 1.0]], ['2, k, 11', [0.372236, 0.538752, 1.0]], ['2, k, 12', [-0.0196547, -0.42122, 1.0]], ['2, k, 13', [-0.0771645, -0.67903, 1.0]], ['2, k, 14', [-0.0588456, -0.888759, 1.0]], ['2, k, 15', [-0.0666037, -0.996445, 1.0]], ['2, k, 16', [0.106561, -0.412405, 1.0]], ['2, k, 17', [0.14628, -0.671096, 1.0]], ['2, k, 18', [0.149743, -0.895534, 1.0]], ['2, k, 19', [0.154493, -1.00267, 1.0]], ['2, k, 20', [0.0439539, 0.0678383, 1.0]], ['2, k, 21', [-0.23903, 0.500022, 1.0]], ['2, k, 22', [-0.19237, 0.43127, 1.0]], ['2, k, 23', [0.400019, 0.591623, 1.0]], ['2, k, 24', [0.356747, 0.580334, 1.0]]]
[['2, k, 0', [0.044036, -0.422129, 1.0]], ['2, k, 1', [0.0450199, -0.142672, 1.0]], ['2, k, 2', [0.04264, 0.137783, 1.0]], ['2, k, 3', [0.0573107, 0.280439, 1.0]], ['2, k, 4', [-0.0830333, 0.0753079, 1.0]], ['2, k, 5', [-0.163754, 0.199678, 1.0]], ['2, k, 6', [-0.203504, 0.393536, 1.0]], ['2, k, 7', [-0.243529, 0.60095, 1.0]], ['2, k, 8', [0.198492, 0.0887021, 1.0]], ['2, k, 9', [0.294781, 0.268761, 1.0]], ['2, k, 10', [0.348006, 0.467944, 1.0]], ['2, k, 11', [0.37465, 0.553893, 1.0]], ['2, k, 12', [-0.0196862, -0.421384, 1.0]], ['2, k, 13', [-0.0774499, -0.68475, 1.0]], ['2, k, 14', [-0.0572109, -0.889857, 1.0]], ['2, k, 15', [-0.0696372, -1.00515, 1.0]], ['2, k, 16', [0.106925, -0.414612, 1.0]], ['2, k, 17', [0.137371, -0.680061, 1.0]], ['2, k, 18', [0.148955, -0.895942, 1.0]], ['2, k, 19', [0.158791, -0.947173, 1.0]], ['2, k, 20', [0.0439211, 0.0677806, 1.0]], ['2, k, 21', [-0.257405, 0.644656, 1.0]], ['2, k, 22', [-0.195377, 0.622186, 1.0]], ['2, k, 23', [0.401184, 0.606369, 1.0]], ['2, k, 24', [0.376703, 0.580355, 1.0]]]
[['2, k, 0', [0.0439463, -0.422087, 1.0]], ['2, k, 1', [0.044795, -0.142662, 1.0]], ['2, k, 2', [0.0426097, 0.136941, 1.0]], ['2, k, 3', [0.0572285, 0.280326, 1.0]], ['2, k, 4', [-0.0831525, 0.0756739, 1.0]], ['2, k, 5', [-0.148897, 0.221466, 1.0]], ['2, k, 6', [-0.193186, 0.414804, 1.0]], ['2, k, 7', [-0.226284, 0.490666, 1.0]], ['2, k, 8', [0.198568, 0.0886297, 1.0]], ['2, k, 9', [0.295427, 0.269259, 1.0]], ['2, k, 10', [0.350073, 0.468892, 1.0]], ['2, k, 11', [0.373829, 0.552026, 1.0]], ['2, k, 12', [-0.0198811, -0.421212, 1.0]], ['2, k, 13', [-0.0714648, -0.672526, 1.0]], ['2, k, 14', [-0.0555675, -0.891156, 1.0]], ['2, k, 15', [-0.0663007, -1.00454, 1.0]], ['2, k, 16', [0.106819, -0.41468, 1.0]], ['2, k, 17', [0.131742, -0.667917, 1.0]], ['2, k, 18', [0.147698, -0.896332, 1.0]], ['2, k, 19', [0.150476, -1.01096, 1.0]], ['2, k, 20', [0.0437977, 0.0674561, 1.0]], ['2, k, 21', [-0.246363, 0.54607, 1.0]], ['2, k, 22', [-0.205165, 0.527505, 1.0]], ['2, k, 23', [0.394985, 0.602306, 1.0]], ['2, k, 24', [0.387834, 0.536503, 1.0]]]
[['2, k, 0', [0.0435804, -0.422833, 1.0]], ['2, k, 1', [0.0446487, -0.142744, 1.0]], ['2, k, 2', [0.0427521, 0.136828, 1.0]], ['2, k, 3', [0.0570118, 0.280237, 1.0]], ['2, k, 4', [-0.0814126, 0.0706469, 1.0]], ['2, k, 5', [-0.164417, 0.20068, 1.0]], ['2, k, 6', [-0.180713, 0.375439, 1.0]], ['2, k, 7', [-0.190669, 0.428804, 1.0]], ['2, k, 8', [0.199825, 0.0811559, 1.0]], ['2, k, 9', [0.294705, 0.266066, 1.0]], ['2, k, 10', [0.351214, 0.465924, 1.0]], ['2, k, 11', [0.373532, 0.54029, 1.0]], ['2, k, 12', [-0.020386, -0.421899, 1.0]], ['2, k, 13', [-0.0686355, -0.664863, 1.0]], ['2, k, 14', [-0.0555157, -0.891153, 1.0]], ['2, k, 15', [-0.0670456, -0.97103, 1.0]], ['2, k, 16', [0.106556, -0.415509, 1.0]], ['2, k, 17', [0.129063, -0.660093, 1.0]], ['2, k, 18', [0.147736, -0.896298, 1.0]], ['2, k, 19', [0.155236, -0.94446, 1.0]], ['2, k, 20', [0.0438013, 0.0674305, 1.0]], ['2, k, 21', [-0.21086, 0.484406, 1.0]], ['2, k, 22', [-0.16981, 0.466101, 1.0]], ['2, k, 23', [0.391966, 0.591457, 1.0]], ['2, k, 24', [0.338434, 0.536343, 1.0]]]
[['2, k, 0', [0.0434516, -0.423903, 1.0]], ['2, k, 1', [0.0446125, -0.142775, 1.0]], ['2, k, 2', [0.042889, 0.136853, 1.0]], ['2, k, 3', [0.0567494, 0.280262, 1.0]], ['2, k, 4', [-0.0819744, 0.0714545, 1.0]], ['2, k, 5', [-0.164239, 0.201628, 1.0]], ['2, k, 6', [-0.17983, 0.370993, 1.0]], ['2, k, 7', [-0.185219, 0.42769, 1.0]], ['2, k, 8', [0.200139, 0.0833434, 1.0]], ['2, k, 9', [0.29566, 0.26724, 1.0]], ['2, k, 10', [0.356361, 0.465321, 1.0]], ['2, k, 11', [0.379475, 0.547669, 1.0]], ['2, k, 12', [-0.0206022, -0.423014, 1.0]], ['2, k, 13', [-0.0668986, -0.659447, 1.0]], ['2, k, 14', [-0.055593, -0.891197, 1.0]], ['2, k, 15', [-0.117114, -0.946871, 1.0]], ['2, k, 16', [0.10652, -0.416422, 1.0]], ['2, k, 17', [0.130918, -0.656651, 1.0]], ['2, k, 18', [0.148127, -0.899475, 1.0]], ['2, k, 19', [0.156048, -0.947513, 1.0]], ['2, k, 20', [0.0438071, 0.067432, 1.0]], ['2, k, 21', [-0.205428, 0.483296, 1.0]], ['2, k, 22', [-0.166685, 0.465464, 1.0]], ['2, k, 23', [0.407423, 0.595925, 1.0]], ['2, k, 24', [0.342476, 0.55245, 1.0]]]
[['2, k, 0', [0.0427076, -0.423898, 1.0]], ['2, k, 1', [0.0440865, -0.142713, 1.0]], ['2, k, 2', [0.0426586, 0.136569, 1.0]], ['2, k, 3', [0.0559113, 0.280351, 1.0]], ['2, k, 4', [-0.0828385, 0.0726318, 1.0]], ['2, k, 5', [-0.164582, 0.201823, 1.0]], ['2, k, 6', [-0.210048, 0.385281, 1.0]], ['2, k, 7', [-0.210537, 0.401091, 1.0]], ['2, k, 8', [0.199931, 0.0828316, 1.0]], ['2, k, 9', [0.296513, 0.26626, 1.0]], ['2, k, 10', [0.358458, 0.460734, 1.0]], ['2, k, 11', [0.383121, 0.542986, 1.0]], ['2, k, 12', [-0.0215942, -0.422557, 1.0]], ['2, k, 13', [-0.0668525, -0.664717, 1.0]], ['2, k, 14', [-0.0555869, -0.891345, 1.0]], ['2, k, 15', [-0.104645, -0.960124, 1.0]], ['2, k, 16', [0.105892, -0.41675, 1.0]], ['2, k, 17', [0.135488, -0.659999, 1.0]], ['2, k, 18', [0.150537, -0.900629, 1.0]], ['2, k, 19', [0.155633, -1.01475, 1.0]], ['2, k, 20', [0.04352, 0.0673131, 1.0]], ['2, k, 21', [-0.236924, 0.454184, 1.0]], ['2, k, 22', [-0.187928, 0.420279, 1.0]], ['2, k, 23', [0.412479, 0.590783, 1.0]], ['2, k, 24', [0.360619, 0.578934, 1.0]]]
[['2, k, 0', [0.0429929, -0.424737, 1.0]], ['2, k, 1', [0.0440969, -0.142783, 1.0]], ['2, k, 2', [0.0429196, 0.136617, 1.0]], ['2, k, 3', [0.0557795, 0.2804, 1.0]], ['2, k, 4', [-0.0821376, 0.071808, 1.0]], ['2, k, 5', [-0.165306, 0.201757, 1.0]], ['2, k, 6', [-0.2096, 0.383758, 1.0]], ['2, k, 7', [-0.223858, 0.447899, 1.0]], ['2, k, 8', [0.200276, 0.0840029, 1.0]], ['2, k, 9', [0.298171, 0.26541, 1.0]], ['2, k, 10', [0.359144, 0.458877, 1.0]], ['2, k, 11', [0.389299, 0.565227, 1.0]], ['2, k, 12', [-0.0213498, -0.422831, 1.0]], ['2, k, 13', [-0.0659044, -0.659605, 1.0]], ['2, k, 14', [-0.0552903, -0.892989, 1.0]], ['2, k, 15', [-0.0873892, -0.973295, 1.0]], ['2, k, 16', [0.106255, -0.418332, 1.0]], ['2, k, 17', [0.130434, -0.656932, 1.0]], ['2, k, 18', [0.150449, -0.900367, 1.0]], ['2, k, 19', [0.159022, -0.951579, 1.0]], ['2, k, 20', [0.0436054, 0.067327, 1.0]], ['2, k, 21', [-0.236755, 0.511244, 1.0]], ['2, k, 22', [-0.221154, 0.512332, 1.0]], ['2, k, 23', [0.420577, 0.598888, 1.0]], ['2, k, 24', [0.326959, 0.576785, 1.0]]]
[['2, k, 0', [0.0417294, -0.425705, 1.0]], ['2, k, 1', [0.0429104, -0.143004, 1.0]], ['2, k, 2', [0.0418753, 0.136673, 1.0]], ['2, k, 3', [0.0545927, 0.279649, 1.0]], ['2, k, 4', [-0.083007, 0.0735662, 1.0]], ['2, k, 5', [-0.14854, 0.216916, 1.0]], ['2, k, 6', [-0.194086, 0.39774, 1.0]], ['2, k, 7', [-0.236536, 0.552624, 1.0]], ['2, k, 8', [0.199572, 0.0830562, 1.0]], ['2, k, 9', [0.2999, 0.261318, 1.0]], ['2, k, 10', [0.360099, 0.452348, 1.0]], ['2, k, 11', [0.392539, 0.545887, 1.0]], ['2, k, 12', [-0.0223653, -0.422989, 1.0]], ['2, k, 13', [-0.0657145, -0.658109, 1.0]], ['2, k, 14', [-0.0561721, -0.892883, 1.0]], ['2, k, 15', [-0.0606206, -1.01147, 1.0]], ['2, k, 16', [0.104797, -0.420388, 1.0]], ['2, k, 17', [0.12534, -0.71432, 1.0]], ['2, k, 18', [0.154936, -0.935251, 1.0]], ['2, k, 19', [0.161071, -0.985823, 1.0]], ['2, k, 20', [0.0424507, 0.0673133, 1.0]], ['2, k, 21', [-0.247781, 0.592416, 1.0]], ['2, k, 22', [-0.173653, 0.567922, 1.0]], ['2, k, 23', [0.423749, 0.586984, 1.0]], ['2, k, 24', [0.364061, 0.569481, 1.0]]]
