[['2, k, 0', [-0.3805821, 0.008953178, 1.0]], ['2, k, 1', [-0.4068137, 0.3180874, 1.0]], ['2, k, 2', [-0.4300006, 0.6154908, 1.0]], ['2, k, 3', [-0.4440552, 0.750295, 1.0]], ['2, k, 4', [-0.601098, 0.4999654, 1.0]], ['2, k, 5', [-0.6771548, 0.293181, 1.0]], ['2, k, 6', [-0.6100245, 0.09337856, 1.0]], ['2, k, 7', [-0.5958892, 0.02937037, 1.0]], ['2, k, 8', [-0.2486613, 0.5339963, 1.0]], ['2, k, 9', [-0.1561728, 0.3239677, 1.0]], ['2, k, 10', [-0.1695682, 0.1354849, 1.0]], ['2, k, 11', [-0.1776822, 0.08511947, 1.0]], ['2, k, 12', [-0.4547597, 0.006841994, 1.0]], ['2, k, 13', [-0.4584133, -0.3530506, 1.0]], ['2, k, 14', [-0.4712783, -0.6519879, 1.0]], ['2, k, 15', [-0.4906688, -0.7272795, 1.0]], ['2, k, 16', [-0.294267, 0.01035195, 1.0]], ['2, k, 17', [-0.2594261, -0.3919059, 1.0]], ['2, k, 18', [-0.1874009, -0.6647576, 1.0]], ['2, k, 19', [-0.1592859, -0.7118418, 1.0]], ['2, k, 20', [-0.4246708, 0.5427124, 1.0]], ['2, k, 21', [-0.5986623, -0.04132006, 1.0]], ['2, k, 22', [-0.6226319, 0.06478098, 1.0]], ['2, k, 23', [-0.1267198, 0.01736545, 1.0]], ['2, k, 24', [-0.2428797, 0.03176742, 1.0]]]
[['2, k, 0', [-0.3805288, 0.008901527, 1.0]], ['2, k, 1', [-0.4068585, 0.3180425, 1.0]], ['2, k, 2', [-0.430152, 0.6154591, 1.0]], ['2, k, 3', [-0.4440241, 0.7502855, 1.0]], ['2, k, 4', [-0.6014007, 0.5000616, 1.0]], ['2, k, 5', [-0.6773456, 0.2925964, 1.0]], ['2, k, 6', [-0.6098962, 0.08987541, 1.0]], ['2, k, 7', [-0.5919044, 0.02583745, 1.0]], ['2, k, 8', [-0.248537, 0.5337157, 1.0]], ['2, k, 9', [-0.156273, 0.3238719, 1.0]], ['2, k, 10', [-0.1451164, 0.1497991, 1.0]], ['2, k, 11', [-0.1343899, 0.1063283, 1.0]], ['2, k, 12', [-0.4546332, 0.006723446, 1.0]], ['2, k, 13', [-0.4584002, -0.3533849, 1.0]], ['2, k, 14', [-0.471359, -0.6519067, 1.0]], ['2, k, 15', [-0.4911044, -0.7276796, 1.0]], ['2, k, 16', [-0.2942911, 0.01039916, 1.0]], ['2, k, 17', [-0.2592036, -0.3921581, 1.0]], ['2, k, 18', [-0.1876329, -0.6647834, 1.0]], ['2, k, 19', [-0.1574228, -0.7122209, 1.0]], ['2, k, 20', [-0.4247871, 0.5426772, 1.0]], ['2, k, 21', [-0.5924902, -0.04840083, 1.0]], ['2, k, 22', [-0.6188383, 0.06013335, 1.0]], ['2, k, 23', [-0.1025365, 0.0358154, 1.0]], ['2, k, 24', [-0.1755798, 0.08492719, 1.0]]]
[['2, k, 0', [-0.3805949, 0.0088759, 1.0]], ['2, k, 1', [-0.4070157, 0.3180203, 1.0]], ['2, k, 2', [-0.4304822, 0.6154958, 1.0]], ['2, k, 3', [-0.443951, 0.7503197, 1.0]], ['2, k, 4', [-0.6015839, 0.500413, 1.0]], ['2, k, 5', [-0.6772887, 0.2918234, 1.0]], ['2, k, 6', [-0.6086132, 0.0833411, 1.0]], ['2, k, 7', [-0.5882624, 0.01966612, 1.0]], ['2, k, 8', [-0.2485001, 0.5339396, 1.0]], ['2, k, 9', [-0.156227, 0.3273938, 1.0]], ['2, k, 10', [-0.1357934, 0.1679625, 1.0]], ['2, k, 11', [-0.1186658, 0.133801, 1.0]], ['2, k, 12', [-0.454649, 0.006690423, 1.0]], ['2, k, 13', [-0.4583632, -0.3535432, 1.0]], ['2, k, 14', [-0.471331, -0.651818, 1.0]], ['2, k, 15', [-0.4914725, -0.7278179, 1.0]], ['2, k, 16', [-0.2944495, 0.01043844, 1.0]], ['2, k, 17', [-0.259128, -0.3921452, 1.0]], ['2, k, 18', [-0.1886913, -0.6629174, 1.0]], ['2, k, 19', [-0.1585735, -0.7107295, 1.0]], ['2, k, 20', [-0.4250672, 0.5426942, 1.0]], ['2, k, 21', [-0.5893664, -0.05114203, 1.0]], ['2, k, 22', [-0.6144985, 0.05599407, 1.0]], ['2, k, 23', [-0.07339025, 0.0626526, 1.0]], ['2, k, 24', [-0.1517482, 0.1042576, 1.0]]]
[['2, k, 0', [-0.3803918, 0.008982318, 1.0]], ['2, k, 1', [-0.4070846, 0.3180179, 1.0]], ['2, k, 2', [-0.4306943, 0.6154901, 1.0]], ['2, k, 3', [-0.443809, 0.7503566, 1.0]], ['2, k, 4', [-0.6017142, 0.500456, 1.0]], ['2, k, 5', [-0.6776935, 0.2915982, 1.0]], ['2, k, 6', [-0.6071974, 0.07801876, 1.0]], ['2, k, 7', [-0.5970013, 0.01505415, 1.0]], ['2, k, 8', [-0.248301, 0.5341251, 1.0]], ['2, k, 9', [-0.1550598, 0.3365715, 1.0]], ['2, k, 10', [-0.1238314, 0.205933, 1.0]], ['2, k, 11', [-0.1066486, 0.176428, 1.0]], ['2, k, 12', [-0.4543769, 0.006684032, 1.0]], ['2, k, 13', [-0.4583002, -0.3536915, 1.0]], ['2, k, 14', [-0.4709456, -0.6519468, 1.0]], ['2, k, 15', [-0.4909803, -0.7275992, 1.0]], ['2, k, 16', [-0.2943423, 0.01074067, 1.0]], ['2, k, 17', [-0.2623059, -0.3905844, 1.0]], ['2, k, 18', [-0.1883262, -0.6574641, 1.0]], ['2, k, 19', [-0.1592637, -0.7093052, 1.0]], ['2, k, 20', [-0.4252326, 0.5426887, 1.0]], ['2, k, 21', [-0.5882637, -0.05352074, 1.0]], ['2, k, 22', [-0.608476, 0.04696636, 1.0]], ['2, k, 23', [-0.05405541, 0.1068407, 1.0]], ['2, k, 24', [-0.1388362, 0.145199, 1.0]]]
[['2, k, 0', [-0.3803263, 0.009025784, 1.0]], ['2, k, 1', [-0.4072913, 0.3180886, 1.0]], ['2, k, 2', [-0.4313011, 0.6157089, 1.0]], ['2, k, 3', [-0.4434966, 0.7505229, 1.0]], ['2, k, 4', [-0.6019904, 0.5005314, 1.0]], ['2, k, 5', [-0.6768819, 0.2897606, 1.0]], ['2, k, 6', [-0.6066549, 0.07555714, 1.0]], ['2, k, 7', [-0.5955331, 0.01004804, 1.0]], ['2, k, 8', [-0.2486133, 0.534499, 1.0]], ['2, k, 9', [-0.156422, 0.3499411, 1.0]], ['2, k, 10', [-0.1230734, 0.2504241, 1.0]], ['2, k, 11', [-0.1006168, 0.2333067, 1.0]], ['2, k, 12', [-0.4543055, 0.006718932, 1.0]], ['2, k, 13', [-0.4582797, -0.3538403, 1.0]], ['2, k, 14', [-0.4712801, -0.6522592, 1.0]], ['2, k, 15', [-0.4907444, -0.7274996, 1.0]], ['2, k, 16', [-0.2943338, 0.01081658, 1.0]], ['2, k, 17', [-0.261493, -0.3898043, 1.0]], ['2, k, 18', [-0.1893677, -0.6510602, 1.0]], ['2, k, 19', [-0.1593665, -0.7092606, 1.0]], ['2, k, 20', [-0.4257209, 0.5428585, 1.0]], ['2, k, 21', [-0.5843415, -0.05749119, 1.0]], ['2, k, 22', [-0.6077859, 0.04815585, 1.0]], ['2, k, 23', [-0.04887127, 0.1718546, 1.0]], ['2, k, 24', [-0.143484, 0.2099457, 1.0]]]
[['2, k, 0', [-0.3806875, 0.009040021, 1.0]], ['2, k, 1', [-0.4076653, 0.3181288, 1.0]], ['2, k, 2', [-0.4316312, 0.615815, 1.0]], ['2, k, 3', [-0.4432712, 0.7505864, 1.0]], ['2, k, 4', [-0.6023738, 0.50062, 1.0]], ['2, k, 5', [-0.6768057, 0.2891913, 1.0]], ['2, k, 6', [-0.6063706, 0.07279512, 1.0]], ['2, k, 7', [-0.5958386, 0.007219202, 1.0]], ['2, k, 8', [-0.2488836, 0.5345947, 1.0]], ['2, k, 9', [-0.155676, 0.3658864, 1.0]], ['2, k, 10', [-0.1237138, 0.3079263, 1.0]], ['2, k, 11', [-0.09361193, 0.3051215, 1.0]], ['2, k, 12', [-0.4545005, 0.006672541, 1.0]], ['2, k, 13', [-0.4583139, -0.3540463, 1.0]], ['2, k, 14', [-0.4710077, -0.6519174, 1.0]], ['2, k, 15', [-0.4905077, -0.7276214, 1.0]], ['2, k, 16', [-0.2948887, 0.01097393, 1.0]], ['2, k, 17', [-0.2610802, -0.3898204, 1.0]], ['2, k, 18', [-0.1897077, -0.6502315, 1.0]], ['2, k, 19', [-0.1589545, -0.7096349, 1.0]], ['2, k, 20', [-0.42607, 0.5429507, 1.0]], ['2, k, 21', [-0.5817562, -0.06253827, 1.0]], ['2, k, 22', [-0.6058862, 0.03947939, 1.0]], ['2, k, 23', [-0.04784479, 0.2781348, 1.0]], ['2, k, 24', [-0.0591762, 0.3405507, 1.0]]]
[['2, k, 0', [-0.3808674, 0.009006682, 1.0]], ['2, k, 1', [-0.4079384, 0.3181168, 1.0]], ['2, k, 2', [-0.4319787, 0.6158644, 1.0]], ['2, k, 3', [-0.4430378, 0.7506211, 1.0]], ['2, k, 4', [-0.6026939, 0.5004452, 1.0]], ['2, k, 5', [-0.6772658, 0.2880107, 1.0]], ['2, k, 6', [-0.6065166, 0.07085047, 1.0]], ['2, k, 7', [-0.5970088, 0.005346294, 1.0]], ['2, k, 8', [-0.2492965, 0.5350788, 1.0]], ['2, k, 9', [-0.1565344, 0.3525282, 1.0]], ['2, k, 10', [-0.1243411, 0.3664263, 1.0]], ['2, k, 11', [-0.09241799, 0.3857534, 1.0]], ['2, k, 12', [-0.4545401, 0.006645485, 1.0]], ['2, k, 13', [-0.457812, -0.3541092, 1.0]], ['2, k, 14', [-0.4710194, -0.6519229, 1.0]], ['2, k, 15', [-0.4901482, -0.7273741, 1.0]], ['2, k, 16', [-0.2952814, 0.01100189, 1.0]], ['2, k, 17', [-0.2611816, -0.3899527, 1.0]], ['2, k, 18', [-0.1894265, -0.6477996, 1.0]], ['2, k, 19', [-0.1590987, -0.7094043, 1.0]], ['2, k, 20', [-0.4264027, 0.5429845, 1.0]], ['2, k, 21', [-0.583568, -0.06527336, 1.0]], ['2, k, 22', [-0.6040179, 0.03725267, 1.0]], ['2, k, 23', [-0.05383721, 0.3758977, 1.0]], ['2, k, 24', [-0.05441351, 0.4131337, 1.0]]]
[['2, k, 0', [-0.3810955, 0.008927876, 1.0]], ['2, k, 1', [-0.4081625, 0.3180848, 1.0]], ['2, k, 2', [-0.4321703, 0.6158985, 1.0]], ['2, k, 3', [-0.4428647, 0.7506474, 1.0]], ['2, k, 4', [-0.6026355, 0.5004659, 1.0]], ['2, k, 5', [-0.6778181, 0.2873002, 1.0]], ['2, k, 6', [-0.6078033, 0.0702302, 1.0]], ['2, k, 7', [-0.6003484, 0.005194355, 1.0]], ['2, k, 8', [-0.2498803, 0.5352889, 1.0]], ['2, k, 9', [-0.1519767, 0.3257086, 1.0]], ['2, k, 10', [-0.126114, 0.425195, 1.0]], ['2, k, 11', [-0.1125451, 0.4702215, 1.0]], ['2, k, 12', [-0.4545938, 0.006594872, 1.0]], ['2, k, 13', [-0.4571815, -0.3543131, 1.0]], ['2, k, 14', [-0.4709139, -0.6517386, 1.0]], ['2, k, 15', [-0.4907127, -0.7279137, 1.0]], ['2, k, 16', [-0.2958147, 0.01095908, 1.0]], ['2, k, 17', [-0.2612488, -0.3898615, 1.0]], ['2, k, 18', [-0.1893279, -0.6475617, 1.0]], ['2, k, 19', [-0.1598246, -0.7087984, 1.0]], ['2, k, 20', [-0.4266081, 0.5430043, 1.0]], ['2, k, 21', [-0.5841737, -0.06527119, 1.0]], ['2, k, 22', [-0.6109098, 0.04006848, 1.0]], ['2, k, 23', [-0.06852124, 0.4963973, 1.0]], ['2, k, 24', [-0.07516564, 0.4881527, 1.0]]]
[['2, k, 0', [-0.3812528, 0.009039767, 1.0]], ['2, k, 1', [-0.4082722, 0.3180637, 1.0]], ['2, k, 2', [-0.4322226, 0.6158491, 1.0]], ['2, k, 3', [-0.4425598, 0.7507076, 1.0]], ['2, k, 4', [-0.6027107, 0.5004656, 1.0]], ['2, k, 5', [-0.677859, 0.2871268, 1.0]], ['2, k, 6', [-0.6089789, 0.06989146, 1.0]], ['2, k, 7', [-0.6035753, 0.004658562, 1.0]], ['2, k, 8', [-0.2500421, 0.5359861, 1.0]], ['2, k, 9', [-0.1295288, 0.3629704, 1.0]], ['2, k, 10', [-0.1323339, 0.5160035, 1.0]], ['2, k, 11', [-0.1313457, 0.5632135, 1.0]], ['2, k, 12', [-0.4546012, 0.006614326, 1.0]], ['2, k, 13', [-0.4567298, -0.3536775, 1.0]], ['2, k, 14', [-0.4707469, -0.6515482, 1.0]], ['2, k, 15', [-0.4903978, -0.728042, 1.0]], ['2, k, 16', [-0.296218, 0.01117395, 1.0]], ['2, k, 17', [-0.2625291, -0.3874339, 1.0]], ['2, k, 18', [-0.1893007, -0.6476004, 1.0]], ['2, k, 19', [-0.1602144, -0.708395, 1.0]], ['2, k, 20', [-0.4266773, 0.5429571, 1.0]], ['2, k, 21', [-0.5870574, -0.06699306, 1.0]], ['2, k, 22', [-0.6107375, 0.03927146, 1.0]], ['2, k, 23', [-0.1193953, 0.616801, 1.0]], ['2, k, 24', [-0.08748311, 0.593739, 1.0]]]
[['2, k, 0', [-0.3813022, 0.009075908, 1.0]], ['2, k, 1', [-0.4084004, 0.3180683, 1.0]], ['2, k, 2', [-0.4324419, 0.6158122, 1.0]], ['2, k, 3', [-0.4423684, 0.7505876, 1.0]], ['2, k, 4', [-0.6025847, 0.5004652, 1.0]], ['2, k, 5', [-0.6780538, 0.2873154, 1.0]], ['2, k, 6', [-0.6120772, 0.07049469, 1.0]], ['2, k, 7', [-0.6058158, 0.002684806, 1.0]], ['2, k, 8', [-0.2500294, 0.5360176, 1.0]], ['2, k, 9', [-0.128736, 0.3634083, 1.0]], ['2, k, 10', [-0.1453826, 0.5753596, 1.0]], ['2, k, 11', [-0.1575952, 0.6210303, 1.0]], ['2, k, 12', [-0.4546855, 0.006665817, 1.0]], ['2, k, 13', [-0.4570414, -0.3521989, 1.0]], ['2, k, 14', [-0.4707409, -0.6515777, 1.0]], ['2, k, 15', [-0.4899374, -0.7277491, 1.0]], ['2, k, 16', [-0.2962486, 0.01121644, 1.0]], ['2, k, 17', [-0.2633657, -0.3841803, 1.0]], ['2, k, 18', [-0.188693, -0.6466538, 1.0]], ['2, k, 19', [-0.1603161, -0.7081711, 1.0]], ['2, k, 20', [-0.4268805, 0.5429319, 1.0]], ['2, k, 21', [-0.5899408, -0.06619596, 1.0]], ['2, k, 22', [-0.6139662, 0.03208077, 1.0]], ['2, k, 23', [-0.1699335, 0.6839313, 1.0]], ['2, k, 24', [-0.1376099, 0.6646347, 1.0]]]
[['2, k, 0', [-0.3814057, 0.009320734, 1.0]], ['2, k, 1', [-0.4084902, 0.3182418, 1.0]], ['2, k, 2', [-0.4325181, 0.6159663, 1.0]], ['2, k, 3', [-0.4422416, 0.7506256, 1.0]], ['2, k, 4', [-0.6027096, 0.5005172, 1.0]], ['2, k, 5', [-0.6783686, 0.2876018, 1.0]], ['2, k, 6', [-0.616163, 0.07106746, 1.0]], ['2, k, 7', [-0.6101796, 0.003098472, 1.0]], ['2, k, 8', [-0.2498306, 0.5366208, 1.0]], ['2, k, 9', [-0.1054362, 0.3787692, 1.0]], ['2, k, 10', [-0.1433973, 0.5648475, 1.0]], ['2, k, 11', [-0.1760883, 0.6375009, 1.0]], ['2, k, 12', [-0.4547928, 0.006921027, 1.0]], ['2, k, 13', [-0.4566064, -0.3514294, 1.0]], ['2, k, 14', [-0.470741, -0.6509906, 1.0]], ['2, k, 15', [-0.489916, -0.7271246, 1.0]], ['2, k, 16', [-0.2963552, 0.0115456, 1.0]], ['2, k, 17', [-0.2626823, -0.3818581, 1.0]], ['2, k, 18', [-0.1897428, -0.6437507, 1.0]], ['2, k, 19', [-0.1606988, -0.7079134, 1.0]], ['2, k, 20', [-0.4269681, 0.5430917, 1.0]], ['2, k, 21', [-0.5896327, -0.06794756, 1.0]], ['2, k, 22', [-0.6178747, 0.04587635, 1.0]], ['2, k, 23', [-0.2245889, 0.6999456, 1.0]], ['2, k, 24', [-0.2073414, 0.6006233, 1.0]]]
