[['2, k, 0', [0.1501954, -0.008177675, 1.0]], ['2, k, 1', [0.1556887, 0.3069738, 1.0]], ['2, k, 2', [0.1605845, 0.6118718, 1.0]], ['2, k, 3', [0.1471489, 0.7532835, 1.0]], ['2, k, 4', [-0.01918318, 0.4986825, 1.0]], ['2, k, 5', [-0.06197544, 0.2516079, 1.0]], ['2, k, 6', [-0.05830207, 0.003963704, 1.0]], ['2, k, 7', [-0.04231108, -0.05879861, 1.0]], ['2, k, 8', [0.3334177, 0.4897058, 1.0]], ['2, k, 9', [0.3758206, 0.2340013, 1.0]], ['2, k, 10', [0.3632106, -0.02257729, 1.0]], ['2, k, 11', [0.3536881, -0.09857262, 1.0]], ['2, k, 12', [0.06904323, -0.006567335, 1.0]], ['2, k, 13', [0.07308795, -0.3234951, 1.0]], ['2, k, 14', [0.1016525, -0.646989, 1.0]], ['2, k, 15', [0.02113342, -0.7075195, 1.0]], ['2, k, 16', [0.2267366, -0.009442842, 1.0]], ['2, k, 17', [0.2428527, -0.3434594, 1.0]], ['2, k, 18', [0.2300307, -0.6541198, 1.0]], ['2, k, 19', [0.2188845, -0.7273027, 1.0]], ['2, k, 20', [0.159495, 0.5370626, 1.0]], ['2, k, 21', [-0.04459211, -0.1393935, 1.0]], ['2, k, 22', [-0.003790505, -0.07730018, 1.0]], ['2, k, 23', [0.3522178, -0.1766309, 1.0]], ['2, k, 24', [0.3975312, -0.111069, 1.0]]]
[['2, k, 0', [0.1504274, -0.007940415, 1.0]], ['2, k, 1', [0.155649, 0.3075875, 1.0]], ['2, k, 2', [0.1602429, 0.6127897, 1.0]], ['2, k, 3', [0.1474469, 0.7545521, 1.0]], ['2, k, 4', [-0.01924762, 0.4986268, 1.0]], ['2, k, 5', [-0.06125947, 0.251226, 1.0]], ['2, k, 6', [-0.05814242, 0.003561948, 1.0]], ['2, k, 7', [-0.0424477, -0.05869129, 1.0]], ['2, k, 8', [0.332789, 0.4902048, 1.0]], ['2, k, 9', [0.3748909, 0.235127, 1.0]], ['2, k, 10', [0.3634002, -0.01959688, 1.0]], ['2, k, 11', [0.3589815, -0.1006844, 1.0]], ['2, k, 12', [0.06960056, -0.006129378, 1.0]], ['2, k, 13', [0.07301893, -0.3234552, 1.0]], ['2, k, 14', [0.1016549, -0.6470332, 1.0]], ['2, k, 15', [0.06045849, -0.7227419, 1.0]], ['2, k, 16', [0.2267327, -0.009370538, 1.0]], ['2, k, 17', [0.2428435, -0.3434508, 1.0]], ['2, k, 18', [0.2301662, -0.6540551, 1.0]], ['2, k, 19', [0.2188827, -0.7275339, 1.0]], ['2, k, 20', [0.1592406, 0.5379018, 1.0]], ['2, k, 21', [-0.04121619, -0.1396142, 1.0]], ['2, k, 22', [-0.003784874, -0.06273182, 1.0]], ['2, k, 23', [0.3572003, -0.1735402, 1.0]], ['2, k, 24', [0.4034629, -0.1140492, 1.0]]]
[['2, k, 0', [0.1507304, -0.007693059, 1.0]], ['2, k, 1', [0.1557402, 0.3080978, 1.0]], ['2, k, 2', [0.1600497, 0.6135521, 1.0]], ['2, k, 3', [0.1474746, 0.7556581, 1.0]], ['2, k, 4', [-0.01891823, 0.4986972, 1.0]], ['2, k, 5', [-0.0607926, 0.2511165, 1.0]], ['2, k, 6', [-0.05796355, 0.00339141, 1.0]], ['2, k, 7', [-0.04261754, -0.05721376, 1.0]], ['2, k, 8', [0.3314222, 0.4915522, 1.0]], ['2, k, 9', [0.3731445, 0.2401406, 1.0]], ['2, k, 10', [0.3663012, -0.01333673, 1.0]], ['2, k, 11', [0.361435, -0.08838325, 1.0]], ['2, k, 12', [0.07010914, -0.005927455, 1.0]], ['2, k, 13', [0.07299765, -0.3230329, 1.0]], ['2, k, 14', [0.1018476, -0.6469606, 1.0]], ['2, k, 15', [0.05866863, -0.7232771, 1.0]], ['2, k, 16', [0.2268387, -0.009118184, 1.0]], ['2, k, 17', [0.243013, -0.3430698, 1.0]], ['2, k, 18', [0.2302622, -0.6538706, 1.0]], ['2, k, 19', [0.2167354, -0.7274505, 1.0]], ['2, k, 20', [0.1591275, 0.5386069, 1.0]], ['2, k, 21', [-0.04164324, -0.138691, 1.0]], ['2, k, 22', [-0.003982222, -0.05785456, 1.0]], ['2, k, 23', [0.360121, -0.1602791, 1.0]], ['2, k, 24', [0.4043495, -0.09245128, 1.0]]]
[['2, k, 0', [0.1507732, -0.007159445, 1.0]], ['2, k, 1', [0.155689, 0.308571, 1.0]], ['2, k, 2', [0.1599223, 0.6138732, 1.0]], ['2, k, 3', [0.1473165, 0.7564249, 1.0]], ['2, k, 4', [-0.01893854, 0.4994047, 1.0]], ['2, k, 5', [-0.06051802, 0.250485, 1.0]], ['2, k, 6', [-0.05799187, 0.003739862, 1.0]], ['2, k, 7', [-0.04286692, -0.05927644, 1.0]], ['2, k, 8', [0.32961, 0.492424, 1.0]], ['2, k, 9', [0.3711183, 0.2470813, 1.0]], ['2, k, 10', [0.3651884, -0.001171496, 1.0]], ['2, k, 11', [0.3649868, -0.07683859, 1.0]], ['2, k, 12', [0.07042619, -0.005486077, 1.0]], ['2, k, 13', [0.0729724, -0.323097, 1.0]], ['2, k, 14', [0.1018739, -0.646946, 1.0]], ['2, k, 15', [0.05855221, -0.7232192, 1.0]], ['2, k, 16', [0.2265901, -0.008519057, 1.0]], ['2, k, 17', [0.2429577, -0.3430762, 1.0]], ['2, k, 18', [0.230103, -0.6536444, 1.0]], ['2, k, 19', [0.2176228, -0.7276239, 1.0]], ['2, k, 20', [0.1590154, 0.538973, 1.0]], ['2, k, 21', [-0.04299087, -0.1383078, 1.0]], ['2, k, 22', [-0.003940362, -0.04695541, 1.0]], ['2, k, 23', [0.3693865, -0.1464218, 1.0]], ['2, k, 24', [0.4063129, -0.08223025, 1.0]]]
[['2, k, 0', [0.1502653, -0.006998954, 1.0]], ['2, k, 1', [0.1556514, 0.3091376, 1.0]], ['2, k, 2', [0.1603332, 0.6148645, 1.0]], ['2, k, 3', [0.1472456, 0.7567331, 1.0]], ['2, k, 4', [-0.01893657, 0.4995163, 1.0]], ['2, k, 5', [-0.06042939, 0.2509908, 1.0]], ['2, k, 6', [-0.05836226, 0.004723952, 1.0]], ['2, k, 7', [-0.0430982, -0.05904574, 1.0]], ['2, k, 8', [0.3272615, 0.4923304, 1.0]], ['2, k, 9', [0.3690566, 0.2609402, 1.0]], ['2, k, 10', [0.3667212, 0.03815383, 1.0]], ['2, k, 11', [0.3643614, -0.04362574, 1.0]], ['2, k, 12', [0.07000504, -0.005336719, 1.0]], ['2, k, 13', [0.07294153, -0.3230858, 1.0]], ['2, k, 14', [0.1021621, -0.6461859, 1.0]], ['2, k, 15', [0.04946413, -0.7236845, 1.0]], ['2, k, 16', [0.2260161, -0.008369929, 1.0]], ['2, k, 17', [0.2429115, -0.3431426, 1.0]], ['2, k, 18', [0.2297681, -0.6528734, 1.0]], ['2, k, 19', [0.2106169, -0.7292945, 1.0]], ['2, k, 20', [0.1593087, 0.5398632, 1.0]], ['2, k, 21', [-0.04107033, -0.1444258, 1.0]], ['2, k, 22', [-0.004113601, -0.04544476, 1.0]], ['2, k, 23', [0.3716365, -0.1188701, 1.0]], ['2, k, 24', [0.4105041, -0.0653499, 1.0]]]
[['2, k, 0', [0.1500662, -0.006416506, 1.0]], ['2, k, 1', [0.1554132, 0.3103125, 1.0]], ['2, k, 2', [0.1599909, 0.6165833, 1.0]], ['2, k, 3', [0.1461424, 0.7585952, 1.0]], ['2, k, 4', [-0.01888231, 0.500326, 1.0]], ['2, k, 5', [-0.05999991, 0.2510774, 1.0]], ['2, k, 6', [-0.05824333, 0.005623692, 1.0]], ['2, k, 7', [-0.04182424, -0.05637995, 1.0]], ['2, k, 8', [0.321888, 0.4951501, 1.0]], ['2, k, 9', [0.37905, 0.3273317, 1.0]], ['2, k, 10', [0.3712144, 0.174362, 1.0]], ['2, k, 11', [0.3604307, 0.1102168, 1.0]], ['2, k, 12', [0.06989939, -0.00475832, 1.0]], ['2, k, 13', [0.07260008, -0.3226593, 1.0]], ['2, k, 14', [0.1024325, -0.6458914, 1.0]], ['2, k, 15', [0.05197166, -0.724045, 1.0]], ['2, k, 16', [0.2257682, -0.007867266, 1.0]], ['2, k, 17', [0.2429585, -0.342915, 1.0]], ['2, k, 18', [0.2322647, -0.6494144, 1.0]], ['2, k, 19', [0.2157457, -0.7261508, 1.0]], ['2, k, 20', [0.1590006, 0.5414678, 1.0]], ['2, k, 21', [-0.04230829, -0.1436396, 1.0]], ['2, k, 22', [-0.0004795511, -0.0799052, 1.0]], ['2, k, 23', [0.357453, 0.05429389, 1.0]], ['2, k, 24', [0.3991997, 0.08783094, 1.0]]]
[['2, k, 0', [0.1500639, -0.005851008, 1.0]], ['2, k, 1', [0.1548848, 0.3112304, 1.0]], ['2, k, 2', [0.1585528, 0.6178353, 1.0]], ['2, k, 3', [0.1453373, 0.7588695, 1.0]], ['2, k, 4', [-0.01926525, 0.5012152, 1.0]], ['2, k, 5', [-0.05935539, 0.251051, 1.0]], ['2, k, 6', [-0.05844744, 0.00678692, 1.0]], ['2, k, 7', [-0.04079686, -0.05575392, 1.0]], ['2, k, 8', [0.3155991, 0.5020632, 1.0]], ['2, k, 9', [0.385373, 0.3668266, 1.0]], ['2, k, 10', [0.3690918, 0.3187236, 1.0]], ['2, k, 11', [0.3542389, 0.2392802, 1.0]], ['2, k, 12', [0.07001363, -0.004220814, 1.0]], ['2, k, 13', [0.07411841, -0.3237859, 1.0]], ['2, k, 14', [0.1024875, -0.6489391, 1.0]], ['2, k, 15', [0.05638712, -0.7250641, 1.0]], ['2, k, 16', [0.2256559, -0.007235604, 1.0]], ['2, k, 17', [0.2422729, -0.3431324, 1.0]], ['2, k, 18', [0.2323084, -0.6499901, 1.0]], ['2, k, 19', [0.2186442, -0.7265856, 1.0]], ['2, k, 20', [0.1578283, 0.5426513, 1.0]], ['2, k, 21', [-0.04571639, -0.1321857, 1.0]], ['2, k, 22', [-0.002997845, -0.05754101, 1.0]], ['2, k, 23', [0.3666974, 0.2004761, 1.0]], ['2, k, 24', [0.3887273, 0.2242272, 1.0]]]
[['2, k, 0', [0.1504734, -0.005137645, 1.0]], ['2, k, 1', [0.1551557, 0.3121534, 1.0]], ['2, k, 2', [0.1585975, 0.6188788, 1.0]], ['2, k, 3', [0.1454746, 0.7597731, 1.0]], ['2, k, 4', [-0.01920424, 0.5012286, 1.0]], ['2, k, 5', [-0.05886743, 0.2515703, 1.0]], ['2, k, 6', [-0.05886463, 0.008413492, 1.0]], ['2, k, 7', [-0.04116062, -0.05686098, 1.0]], ['2, k, 8', [0.3123205, 0.5051368, 1.0]], ['2, k, 9', [0.388044, 0.3792693, 1.0]], ['2, k, 10', [0.3653762, 0.3748959, 1.0]], ['2, k, 11', [0.3489056, 0.3075824, 1.0]], ['2, k, 12', [0.07061202, -0.00362855, 1.0]], ['2, k, 13', [0.0741329, -0.3236063, 1.0]], ['2, k, 14', [0.1023409, -0.6492599, 1.0]], ['2, k, 15', [0.05506992, -0.7253039, 1.0]], ['2, k, 16', [0.2259375, -0.006338613, 1.0]], ['2, k, 17', [0.2428275, -0.3492133, 1.0]], ['2, k, 18', [0.2318984, -0.6521063, 1.0]], ['2, k, 19', [0.2197888, -0.727881, 1.0]], ['2, k, 20', [0.1579351, 0.5436837, 1.0]], ['2, k, 21', [-0.04350547, -0.1400261, 1.0]], ['2, k, 22', [-0.00233325, -0.06276112, 1.0]], ['2, k, 23', [0.354893, 0.2811312, 1.0]], ['2, k, 24', [0.3815692, 0.28635, 1.0]]]
[['2, k, 0', [0.1504447, -0.004638927, 1.0]], ['2, k, 1', [0.1551555, 0.3126515, 1.0]], ['2, k, 2', [0.1587043, 0.6193032, 1.0]], ['2, k, 3', [0.1449391, 0.7602057, 1.0]], ['2, k, 4', [-0.01895042, 0.5016536, 1.0]], ['2, k, 5', [-0.058954, 0.2519434, 1.0]], ['2, k, 6', [-0.05878403, 0.008767199, 1.0]], ['2, k, 7', [-0.04256447, -0.05471472, 1.0]], ['2, k, 8', [0.3129199, 0.5049758, 1.0]], ['2, k, 9', [0.4038999, 0.4141465, 1.0]], ['2, k, 10', [0.3399557, 0.4288929, 1.0]], ['2, k, 11', [0.3423663, 0.4367158, 1.0]], ['2, k, 12', [0.07062674, -0.00316742, 1.0]], ['2, k, 13', [0.0740826, -0.3235784, 1.0]], ['2, k, 14', [0.1025414, -0.6498997, 1.0]], ['2, k, 15', [0.05446307, -0.7258319, 1.0]], ['2, k, 16', [0.2258019, -0.005542934, 1.0]], ['2, k, 17', [0.2425861, -0.3543405, 1.0]], ['2, k, 18', [0.2304136, -0.651601, 1.0]], ['2, k, 19', [0.2226659, -0.7271529, 1.0]], ['2, k, 20', [0.1580028, 0.5441548, 1.0]], ['2, k, 21', [-0.04036168, -0.1326813, 1.0]], ['2, k, 22', [-0.005153583, -0.05291266, 1.0]], ['2, k, 23', [0.3655069, 0.4212147, 1.0]], ['2, k, 24', [0.3810756, 0.4137305, 1.0]]]
[['2, k, 0', [0.1502904, -0.003682257, 1.0]], ['2, k, 1', [0.1548865, 0.3132609, 1.0]], ['2, k, 2', [0.1583144, 0.6196043, 1.0]], ['2, k, 3', [0.1450403, 0.7604327, 1.0]], ['2, k, 4', [-0.01834547, 0.5026127, 1.0]], ['2, k, 5', [-0.05844359, 0.2519465, 1.0]], ['2, k, 6', [-0.05887787, 0.008974702, 1.0]], ['2, k, 7', [-0.04322497, -0.05333655, 1.0]], ['2, k, 8', [0.3134675, 0.5044435, 1.0]], ['2, k, 9', [0.3863361, 0.4983741, 1.0]], ['2, k, 10', [0.3476583, 0.4819247, 1.0]], ['2, k, 11', [0.3388996, 0.4963536, 1.0]], ['2, k, 12', [0.07057189, -0.002175971, 1.0]], ['2, k, 13', [0.07354675, -0.321362, 1.0]], ['2, k, 14', [0.1022602, -0.6500608, 1.0]], ['2, k, 15', [0.0544307, -0.7261251, 1.0]], ['2, k, 16', [0.2254919, -0.004517035, 1.0]], ['2, k, 17', [0.2421887, -0.3562325, 1.0]], ['2, k, 18', [0.2308158, -0.6519986, 1.0]], ['2, k, 19', [0.2232853, -0.7274747, 1.0]], ['2, k, 20', [0.1576433, 0.5445376, 1.0]], ['2, k, 21', [-0.04393456, -0.1335809, 1.0]], ['2, k, 22', [-0.003651083, -0.07316681, 1.0]], ['2, k, 23', [0.3688465, 0.4833058, 1.0]], ['2, k, 24', [0.3742576, 0.4829484, 1.0]]]
[['2, k, 0', [0.1502989, -0.003279803, 1.0]], ['2, k, 1', [0.1546073, 0.3134103, 1.0]], ['2, k, 2', [0.157408, 0.6193531, 1.0]], ['2, k, 3', [0.1448704, 0.7606226, 1.0]], ['2, k, 4', [-0.01822387, 0.5031174, 1.0]], ['2, k, 5', [-0.05752725, 0.2511787, 1.0]], ['2, k, 6', [-0.05892107, 0.0106712, 1.0]], ['2, k, 7', [-0.0439927, -0.05057894, 1.0]], ['2, k, 8', [0.3134951, 0.5035283, 1.0]], ['2, k, 9', [0.38916, 0.4981231, 1.0]], ['2, k, 10', [0.347331, 0.5393475, 1.0]], ['2, k, 11', [0.3338175, 0.553405, 1.0]], ['2, k, 12', [0.0705781, -0.001851855, 1.0]], ['2, k, 13', [0.07342917, -0.3215958, 1.0]], ['2, k, 14', [0.102698, -0.6510452, 1.0]], ['2, k, 15', [0.05396473, -0.7264983, 1.0]], ['2, k, 16', [0.2254893, -0.004044682, 1.0]], ['2, k, 17', [0.2421889, -0.3562255, 1.0]], ['2, k, 18', [0.2308414, -0.6520073, 1.0]], ['2, k, 19', [0.2240123, -0.7268435, 1.0]], ['2, k, 20', [0.1569305, 0.5444267, 1.0]], ['2, k, 21', [-0.04471542, -0.1328975, 1.0]], ['2, k, 22', [-0.006915816, -0.03984836, 1.0]], ['2, k, 23', [0.341589, 0.5561365, 1.0]], ['2, k, 24', [0.3677097, 0.5364786, 1.0]]]
