[['2, k, 0', [0.212205, -1.11582, 1.0]], ['2, k, 1', [0.217632, -0.839189, 1.0]], ['2, k, 2', [0.221988, -0.564744, 1.0]], ['2, k, 3', [0.233521, -0.423824, 1.0]], ['2, k, 4', [0.0568046, -0.667866, 1.0]], ['2, k, 5', [-0.0909144, -0.811749, 1.0]], ['2, k, 6', [-0.0177411, -0.9663, 1.0]], ['2, k, 7', [0.0204161, -0.976785, 1.0]], ['2, k, 8', [0.391661, -0.660554, 1.0]], ['2, k, 9', [0.547666, -0.810881, 1.0]], ['2, k, 10', [0.436942, -0.940185, 1.0]], ['2, k, 11', [0.385402, -0.96175, 1.0]], ['2, k, 12', [0.133468, -1.1042, 1.0]], ['2, k, 13', [0.134586, -1.35132, 1.0]], ['2, k, 14', [0.138172, -1.7142, 1.0]], ['2, k, 15', [0.118857, -1.74914, 1.0]], ['2, k, 16', [0.28594, -1.10105, 1.0]], ['2, k, 17', [0.326201, -1.35239, 1.0]], ['2, k, 18', [0.383801, -1.70221, 1.0]], ['2, k, 19', [0.3755, -1.74031, 1.0]], ['2, k, 20', [0.221088, -0.633205, 1.0]], ['2, k, 21', [0.0341387, -1.03337, 1.0]], ['2, k, 22', [0.0567851, -0.93578, 1.0]], ['2, k, 23', [0.35615, -1.0148, 1.0]], ['2, k, 24', [0.349635, -0.910244, 1.0]]]
[['2, k, 0', [0.212296, -1.11602, 1.0]], ['2, k, 1', [0.217689, -0.839317, 1.0]], ['2, k, 2', [0.222025, -0.564829, 1.0]], ['2, k, 3', [0.233354, -0.423685, 1.0]], ['2, k, 4', [0.0567682, -0.667888, 1.0]], ['2, k, 5', [-0.0909069, -0.811805, 1.0]], ['2, k, 6', [-0.00951992, -0.962515, 1.0]], ['2, k, 7', [0.00572593, -0.964404, 1.0]], ['2, k, 8', [0.391747, -0.660552, 1.0]], ['2, k, 9', [0.547786, -0.810698, 1.0]], ['2, k, 10', [0.43696, -0.939959, 1.0]], ['2, k, 11', [0.382973, -0.966361, 1.0]], ['2, k, 12', [0.133545, -1.10441, 1.0]], ['2, k, 13', [0.13528, -1.37306, 1.0]], ['2, k, 14', [0.140113, -1.79663, 1.0]], ['2, k, 15', [0.120598, -1.82581, 1.0]], ['2, k, 16', [0.286042, -1.10124, 1.0]], ['2, k, 17', [0.328706, -1.36576, 1.0]], ['2, k, 18', [0.397847, -1.78317, 1.0]], ['2, k, 19', [0.388617, -1.81612, 1.0]], ['2, k, 20', [0.221129, -0.633297, 1.0]], ['2, k, 21', [0.0317983, -1.02941, 1.0]], ['2, k, 22', [0.0576291, -0.929216, 1.0]], ['2, k, 23', [0.345602, -1.02385, 1.0]], ['2, k, 24', [0.346911, -0.906578, 1.0]]]
[['2, k, 0', [0.21251, -1.11615, 1.0]], ['2, k, 1', [0.217845, -0.839403, 1.0]], ['2, k, 2', [0.222138, -0.564881, 1.0]], ['2, k, 3', [0.233302, -0.423685, 1.0]], ['2, k, 4', [0.0566652, -0.667758, 1.0]], ['2, k, 5', [-0.0910387, -0.811797, 1.0]], ['2, k, 6', [-0.0120857, -0.963493, 1.0]], ['2, k, 7', [0.024679, -0.979456, 1.0]], ['2, k, 8', [0.391793, -0.660266, 1.0]], ['2, k, 9', [0.548914, -0.80739, 1.0]], ['2, k, 10', [0.439362, -0.937274, 1.0]], ['2, k, 11', [0.387861, -0.960711, 1.0]], ['2, k, 12', [0.133754, -1.10455, 1.0]], ['2, k, 13', [0.135334, -1.35414, 1.0]], ['2, k, 14', [0.140145, -1.76543, 1.0]], ['2, k, 15', [0.12094, -1.80029, 1.0]], ['2, k, 16', [0.286257, -1.10135, 1.0]], ['2, k, 17', [0.326432, -1.3522, 1.0]], ['2, k, 18', [0.39238, -1.75239, 1.0]], ['2, k, 19', [0.384217, -1.79109, 1.0]], ['2, k, 20', [0.221251, -0.633358, 1.0]], ['2, k, 21', [0.0460413, -1.02564, 1.0]], ['2, k, 22', [0.0636066, -0.927461, 1.0]], ['2, k, 23', [0.351312, -1.01566, 1.0]], ['2, k, 24', [0.349523, -0.908851, 1.0]]]
[['2, k, 0', [0.212538, -1.11619, 1.0]], ['2, k, 1', [0.217928, -0.839489, 1.0]], ['2, k, 2', [0.222359, -0.565073, 1.0]], ['2, k, 3', [0.23326, -0.423736, 1.0]], ['2, k, 4', [0.0566541, -0.667572, 1.0]], ['2, k, 5', [-0.0913652, -0.811787, 1.0]], ['2, k, 6', [-0.00724646, -0.960343, 1.0]], ['2, k, 7', [0.00326347, -0.960709, 1.0]], ['2, k, 8', [0.391727, -0.660039, 1.0]], ['2, k, 9', [0.548634, -0.807429, 1.0]], ['2, k, 10', [0.439243, -0.937691, 1.0]], ['2, k, 11', [0.387136, -0.959894, 1.0]], ['2, k, 12', [0.133766, -1.10457, 1.0]], ['2, k, 13', [0.135542, -1.37313, 1.0]], ['2, k, 14', [0.140442, -1.7966, 1.0]], ['2, k, 15', [0.121121, -1.82545, 1.0]], ['2, k, 16', [0.28632, -1.10144, 1.0]], ['2, k, 17', [0.328844, -1.36583, 1.0]], ['2, k, 18', [0.397786, -1.7831, 1.0]], ['2, k, 19', [0.388693, -1.816, 1.0]], ['2, k, 20', [0.22143, -0.633518, 1.0]], ['2, k, 21', [0.0351845, -1.02341, 1.0]], ['2, k, 22', [0.0599841, -0.922316, 1.0]], ['2, k, 23', [0.351135, -1.01513, 1.0]], ['2, k, 24', [0.348299, -0.905471, 1.0]]]
[['2, k, 0', [0.21267, -1.11643, 1.0]], ['2, k, 1', [0.218029, -0.83968, 1.0]], ['2, k, 2', [0.222445, -0.565256, 1.0]], ['2, k, 3', [0.233248, -0.423714, 1.0]], ['2, k, 4', [0.0566874, -0.667643, 1.0]], ['2, k, 5', [-0.0912478, -0.811917, 1.0]], ['2, k, 6', [-0.00563, -0.959221, 1.0]], ['2, k, 7', [0.00476538, -0.958336, 1.0]], ['2, k, 8', [0.391907, -0.659846, 1.0]], ['2, k, 9', [0.549277, -0.806028, 1.0]], ['2, k, 10', [0.441486, -0.937725, 1.0]], ['2, k, 11', [0.390282, -0.958321, 1.0]], ['2, k, 12', [0.133884, -1.10489, 1.0]], ['2, k, 13', [0.135892, -1.3848, 1.0]], ['2, k, 14', [0.140947, -1.81013, 1.0]], ['2, k, 15', [0.121817, -1.84068, 1.0]], ['2, k, 16', [0.286493, -1.10165, 1.0]], ['2, k, 17', [0.330888, -1.37716, 1.0]], ['2, k, 18', [0.400154, -1.79616, 1.0]], ['2, k, 19', [0.39155, -1.83103, 1.0]], ['2, k, 20', [0.221518, -0.6337, 1.0]], ['2, k, 21', [0.0343577, -1.01875, 1.0]], ['2, k, 22', [0.063191, -0.924433, 1.0]], ['2, k, 23', [0.354681, -1.01114, 1.0]], ['2, k, 24', [0.350583, -0.907119, 1.0]]]
[['2, k, 0', [0.213416, -1.11641, 1.0]], ['2, k, 1', [0.218383, -0.83984, 1.0]], ['2, k, 2', [0.222576, -0.565552, 1.0]], ['2, k, 3', [0.233202, -0.423794, 1.0]], ['2, k, 4', [0.0568106, -0.66771, 1.0]], ['2, k, 5', [-0.0910053, -0.812018, 1.0]], ['2, k, 6', [-0.00467722, -0.957675, 1.0]], ['2, k, 7', [0.0257297, -0.98029, 1.0]], ['2, k, 8', [0.39236, -0.659292, 1.0]], ['2, k, 9', [0.549944, -0.805104, 1.0]], ['2, k, 10', [0.442968, -0.93747, 1.0]], ['2, k, 11', [0.392993, -0.958548, 1.0]], ['2, k, 12', [0.134547, -1.105, 1.0]], ['2, k, 13', [0.13658, -1.39245, 1.0]], ['2, k, 14', [0.14156, -1.81897, 1.0]], ['2, k, 15', [0.122676, -1.8505, 1.0]], ['2, k, 16', [0.287317, -1.10147, 1.0]], ['2, k, 17', [0.332187, -1.38451, 1.0]], ['2, k, 18', [0.400578, -1.80482, 1.0]], ['2, k, 19', [0.392206, -1.84078, 1.0]], ['2, k, 20', [0.221696, -0.633956, 1.0]], ['2, k, 21', [0.0329422, -1.06045, 1.0]], ['2, k, 22', [0.0589155, -0.950504, 1.0]], ['2, k, 23', [0.358071, -1.01525, 1.0]], ['2, k, 24', [0.350015, -0.90961, 1.0]]]
[['2, k, 0', [0.21437, -1.1166, 1.0]], ['2, k, 1', [0.218755, -0.840021, 1.0]], ['2, k, 2', [0.222622, -0.56568, 1.0]], ['2, k, 3', [0.233099, -0.423859, 1.0]], ['2, k, 4', [0.0569899, -0.667624, 1.0]], ['2, k, 5', [-0.0907599, -0.812524, 1.0]], ['2, k, 6', [-0.00397134, -0.958104, 1.0]], ['2, k, 7', [0.0260797, -0.979952, 1.0]], ['2, k, 8', [0.392616, -0.659192, 1.0]], ['2, k, 9', [0.549964, -0.80556, 1.0]], ['2, k, 10', [0.443135, -0.937424, 1.0]], ['2, k, 11', [0.392432, -0.959068, 1.0]], ['2, k, 12', [0.135333, -1.10516, 1.0]], ['2, k, 13', [0.136854, -1.38185, 1.0]], ['2, k, 14', [0.141295, -1.80898, 1.0]], ['2, k, 15', [0.122513, -1.83832, 1.0]], ['2, k, 16', [0.288424, -1.1017, 1.0]], ['2, k, 17', [0.332123, -1.37389, 1.0]], ['2, k, 18', [0.401464, -1.79445, 1.0]], ['2, k, 19', [0.393221, -1.829, 1.0]], ['2, k, 20', [0.221798, -0.634097, 1.0]], ['2, k, 21', [0.0348376, -1.05638, 1.0]], ['2, k, 22', [0.0593942, -0.951341, 1.0]], ['2, k, 23', [0.358272, -1.01275, 1.0]], ['2, k, 24', [0.357759, -0.907568, 1.0]]]
[['2, k, 0', [0.216702, -1.1173, 1.0]], ['2, k, 1', [0.219679, -0.840438, 1.0]], ['2, k, 2', [0.222744, -0.565859, 1.0]], ['2, k, 3', [0.233105, -0.423878, 1.0]], ['2, k, 4', [0.0571131, -0.667693, 1.0]], ['2, k, 5', [-0.0889218, -0.812467, 1.0]], ['2, k, 6', [-0.00472715, -0.960336, 1.0]], ['2, k, 7', [0.0261195, -0.980359, 1.0]], ['2, k, 8', [0.394059, -0.65915, 1.0]], ['2, k, 9', [0.550183, -0.805873, 1.0]], ['2, k, 10', [0.443522, -0.939277, 1.0]], ['2, k, 11', [0.394224, -0.958253, 1.0]], ['2, k, 12', [0.13754, -1.10592, 1.0]], ['2, k, 13', [0.136672, -1.37441, 1.0]], ['2, k, 14', [0.13765, -1.79992, 1.0]], ['2, k, 15', [0.118975, -1.82756, 1.0]], ['2, k, 16', [0.290818, -1.10231, 1.0]], ['2, k, 17', [0.331468, -1.36665, 1.0]], ['2, k, 18', [0.397986, -1.78593, 1.0]], ['2, k, 19', [0.389677, -1.81901, 1.0]], ['2, k, 20', [0.222053, -0.634326, 1.0]], ['2, k, 21', [0.0377295, -1.05529, 1.0]], ['2, k, 22', [0.0592333, -0.953618, 1.0]], ['2, k, 23', [0.362182, -1.0151, 1.0]], ['2, k, 24', [0.352604, -0.908543, 1.0]]]
[['2, k, 0', [0.220348, -1.11811, 1.0]], ['2, k, 1', [0.22163, -0.840945, 1.0]], ['2, k, 2', [0.223303, -0.566085, 1.0]], ['2, k, 3', [0.233357, -0.423977, 1.0]], ['2, k, 4', [0.0575818, -0.667661, 1.0]], ['2, k, 5', [-0.0876745, -0.812599, 1.0]], ['2, k, 6', [-0.00233205, -0.960038, 1.0]], ['2, k, 7', [0.0276311, -0.978488, 1.0]], ['2, k, 8', [0.395657, -0.659228, 1.0]], ['2, k, 9', [0.551227, -0.805414, 1.0]], ['2, k, 10', [0.445729, -0.936997, 1.0]], ['2, k, 11', [0.395578, -0.963332, 1.0]], ['2, k, 12', [0.140978, -1.10667, 1.0]], ['2, k, 13', [0.137209, -1.36863, 1.0]], ['2, k, 14', [0.133784, -1.79293, 1.0]], ['2, k, 15', [0.115067, -1.81887, 1.0]], ['2, k, 16', [0.294562, -1.10317, 1.0]], ['2, k, 17', [0.332056, -1.36137, 1.0]], ['2, k, 18', [0.395151, -1.77993, 1.0]], ['2, k, 19', [0.386636, -1.81152, 1.0]], ['2, k, 20', [0.222903, -0.634619, 1.0]], ['2, k, 21', [0.0407531, -1.04341, 1.0]], ['2, k, 22', [0.0596837, -0.949784, 1.0]], ['2, k, 23', [0.361374, -1.013, 1.0]], ['2, k, 24', [0.359827, -0.91203, 1.0]]]
[['2, k, 0', [0.22174, -1.11831, 1.0]], ['2, k, 1', [0.222878, -0.841237, 1.0]], ['2, k, 2', [0.224078, -0.566403, 1.0]], ['2, k, 3', [0.233656, -0.424117, 1.0]], ['2, k, 4', [0.0585476, -0.667688, 1.0]], ['2, k, 5', [-0.0864608, -0.812626, 1.0]], ['2, k, 6', [-0.00125914, -0.960175, 1.0]], ['2, k, 7', [0.0315686, -0.981137, 1.0]], ['2, k, 8', [0.396384, -0.659327, 1.0]], ['2, k, 9', [0.552824, -0.804399, 1.0]], ['2, k, 10', [0.447145, -0.935585, 1.0]], ['2, k, 11', [0.39886, -0.956034, 1.0]], ['2, k, 12', [0.142392, -1.10734, 1.0]], ['2, k, 13', [0.138149, -1.36407, 1.0]], ['2, k, 14', [0.133952, -1.78737, 1.0]], ['2, k, 15', [0.115213, -1.81225, 1.0]], ['2, k, 16', [0.296055, -1.10288, 1.0]], ['2, k, 17', [0.332696, -1.35584, 1.0]], ['2, k, 18', [0.394331, -1.76521, 1.0]], ['2, k, 19', [0.387032, -1.80439, 1.0]], ['2, k, 20', [0.223824, -0.634942, 1.0]], ['2, k, 21', [0.0432351, -1.05106, 1.0]], ['2, k, 22', [0.062058, -0.949792, 1.0]], ['2, k, 23', [0.366168, -1.01168, 1.0]], ['2, k, 24', [0.362375, -0.90567, 1.0]]]
[['2, k, 0', [0.223496, -1.11832, 1.0]], ['2, k, 1', [0.224194, -0.841358, 1.0]], ['2, k, 2', [0.224802, -0.566561, 1.0]], ['2, k, 3', [0.233783, -0.424152, 1.0]], ['2, k, 4', [0.0592836, -0.66738, 1.0]], ['2, k, 5', [-0.0854621, -0.8128, 1.0]], ['2, k, 6', [-0.000693545, -0.960633, 1.0]], ['2, k, 7', [0.0307613, -0.978959, 1.0]], ['2, k, 8', [0.39813, -0.659362, 1.0]], ['2, k, 9', [0.553293, -0.803553, 1.0]], ['2, k, 10', [0.448826, -0.935501, 1.0]], ['2, k, 11', [0.40075, -0.956398, 1.0]], ['2, k, 12', [0.144156, -1.10767, 1.0]], ['2, k, 13', [0.138632, -1.36013, 1.0]], ['2, k, 14', [0.132487, -1.77377, 1.0]], ['2, k, 15', [0.113885, -1.80632, 1.0]], ['2, k, 16', [0.297821, -1.10254, 1.0]], ['2, k, 17', [0.333356, -1.35218, 1.0]], ['2, k, 18', [0.39375, -1.75935, 1.0]], ['2, k, 19', [0.386766, -1.79832, 1.0]], ['2, k, 20', [0.224709, -0.635101, 1.0]], ['2, k, 21', [0.0450865, -1.05211, 1.0]], ['2, k, 22', [0.0618567, -0.953133, 1.0]], ['2, k, 23', [0.366305, -1.01376, 1.0]], ['2, k, 24', [0.364943, -0.908612, 1.0]]]
