[['2, k, 0', [-0.258651, -0.474012, 1.0]], ['2, k, 1', [-0.263422, -0.179654, 1.0]], ['2, k, 2', [-0.266436, 0.108365, 1.0]], ['2, k, 3', [-0.284031, 0.255705, 1.0]], ['2, k, 4', [-0.460757, 0.0202642, 1.0]], ['2, k, 5', [-0.574345, -0.132322, 1.0]], ['2, k, 6', [-0.410367, -0.168164, 1.0]], ['2, k, 7', [-0.345854, -0.176998, 1.0]], ['2, k, 8', [-0.0790104, 0.0212204, 1.0]], ['2, k, 9', [0.08207, -0.09229, 1.0]], ['2, k, 10', [-0.000829089, -0.263295, 1.0]], ['2, k, 11', [-0.0517396, -0.296759, 1.0]], ['2, k, 12', [-0.341943, -0.467209, 1.0]], ['2, k, 13', [-0.41367, -0.771653, 1.0]], ['2, k, 14', [-0.470296, -1.08442, 1.0]], ['2, k, 15', [-0.530802, -1.14534, 1.0]], ['2, k, 16', [-0.167776, -0.466987, 1.0]], ['2, k, 17', [-0.0981064, -0.784354, 1.0]], ['2, k, 18', [-0.0296182, -1.1055, 1.0]], ['2, k, 19', [0.0214822, -1.15148, 1.0]], ['2, k, 20', [-0.265984, 0.0372562, 1.0]], ['2, k, 21', [-0.298817, -0.189029, 1.0]], ['2, k, 22', [-0.326767, -0.110045, 1.0]], ['2, k, 23', [-0.0592645, -0.383444, 1.0]], ['2, k, 24', [-0.0841319, -0.271636, 1.0]]]
[['2, k, 0', [-0.258407, -0.473837, 1.0]], ['2, k, 1', [-0.26324, -0.179591, 1.0]], ['2, k, 2', [-0.266303, 0.108357, 1.0]], ['2, k, 3', [-0.284016, 0.255735, 1.0]], ['2, k, 4', [-0.460682, 0.0202779, 1.0]], ['2, k, 5', [-0.574491, -0.131896, 1.0]], ['2, k, 6', [-0.410443, -0.168098, 1.0]], ['2, k, 7', [-0.347308, -0.176274, 1.0]], ['2, k, 8', [-0.0790383, 0.0212144, 1.0]], ['2, k, 9', [0.0819869, -0.0922611, 1.0]], ['2, k, 10', [-0.00107896, -0.263109, 1.0]], ['2, k, 11', [-0.0507785, -0.296338, 1.0]], ['2, k, 12', [-0.341706, -0.467024, 1.0]], ['2, k, 13', [-0.413716, -0.771604, 1.0]], ['2, k, 14', [-0.470236, -1.08474, 1.0]], ['2, k, 15', [-0.530935, -1.14514, 1.0]], ['2, k, 16', [-0.167531, -0.466827, 1.0]], ['2, k, 17', [-0.0980515, -0.784178, 1.0]], ['2, k, 18', [-0.0301921, -1.10561, 1.0]], ['2, k, 19', [0.0212957, -1.15078, 1.0]], ['2, k, 20', [-0.26584, 0.037263, 1.0]], ['2, k, 21', [-0.301892, -0.191997, 1.0]], ['2, k, 22', [-0.327513, -0.110546, 1.0]], ['2, k, 23', [-0.0534581, -0.384597, 1.0]], ['2, k, 24', [-0.0827683, -0.28136, 1.0]]]
[['2, k, 0', [-0.258207, -0.473511, 1.0]], ['2, k, 1', [-0.263109, -0.179441, 1.0]], ['2, k, 2', [-0.26622, 0.108395, 1.0]], ['2, k, 3', [-0.284011, 0.255821, 1.0]], ['2, k, 4', [-0.460638, 0.020327, 1.0]], ['2, k, 5', [-0.574459, -0.131913, 1.0]], ['2, k, 6', [-0.410365, -0.168217, 1.0]], ['2, k, 7', [-0.346006, -0.176633, 1.0]], ['2, k, 8', [-0.079006, 0.0212144, 1.0]], ['2, k, 9', [0.0818939, -0.0923133, 1.0]], ['2, k, 10', [-0.00129545, -0.263094, 1.0]], ['2, k, 11', [-0.0492713, -0.29804, 1.0]], ['2, k, 12', [-0.341506, -0.466671, 1.0]], ['2, k, 13', [-0.413795, -0.771465, 1.0]], ['2, k, 14', [-0.470927, -1.08693, 1.0]], ['2, k, 15', [-0.529918, -1.1452, 1.0]], ['2, k, 16', [-0.167338, -0.466537, 1.0]], ['2, k, 17', [-0.0978992, -0.783908, 1.0]], ['2, k, 18', [-0.0303221, -1.10388, 1.0]], ['2, k, 19', [0.0230773, -1.1523, 1.0]], ['2, k, 20', [-0.265747, 0.0373233, 1.0]], ['2, k, 21', [-0.298221, -0.18411, 1.0]], ['2, k, 22', [-0.327983, -0.110591, 1.0]], ['2, k, 23', [-0.0533006, -0.383428, 1.0]], ['2, k, 24', [-0.0820788, -0.273022, 1.0]]]
[['2, k, 0', [-0.257286, -0.472954, 1.0]], ['2, k, 1', [-0.262678, -0.179136, 1.0]], ['2, k, 2', [-0.266073, 0.108539, 1.0]], ['2, k, 3', [-0.283957, 0.25592, 1.0]], ['2, k, 4', [-0.460447, 0.0204362, 1.0]], ['2, k, 5', [-0.572955, -0.13408, 1.0]], ['2, k, 6', [-0.4092, -0.168774, 1.0]], ['2, k, 7', [-0.34447, -0.177397, 1.0]], ['2, k, 8', [-0.0788388, 0.0214821, 1.0]], ['2, k, 9', [0.08183, -0.0923811, 1.0]], ['2, k, 10', [-0.00045613, -0.263677, 1.0]], ['2, k, 11', [-0.0478746, -0.298219, 1.0]], ['2, k, 12', [-0.340648, -0.466208, 1.0]], ['2, k, 13', [-0.413816, -0.77132, 1.0]], ['2, k, 14', [-0.470758, -1.08695, 1.0]], ['2, k, 15', [-0.52995, -1.1445, 1.0]], ['2, k, 16', [-0.166361, -0.465888, 1.0]], ['2, k, 17', [-0.097368, -0.781961, 1.0]], ['2, k, 18', [-0.0326031, -1.1033, 1.0]], ['2, k, 19', [0.02181, -1.15028, 1.0]], ['2, k, 20', [-0.265547, 0.0374971, 1.0]], ['2, k, 21', [-0.297445, -0.198927, 1.0]], ['2, k, 22', [-0.325581, -0.110967, 1.0]], ['2, k, 23', [-0.0472036, -0.384206, 1.0]], ['2, k, 24', [-0.0785559, -0.298347, 1.0]]]
[['2, k, 0', [-0.255825, -0.472253, 1.0]], ['2, k, 1', [-0.262101, -0.178791, 1.0]], ['2, k, 2', [-0.26599, 0.10863, 1.0]], ['2, k, 3', [-0.283882, 0.256065, 1.0]], ['2, k, 4', [-0.460213, 0.0204738, 1.0]], ['2, k, 5', [-0.57083, -0.136797, 1.0]], ['2, k, 6', [-0.407618, -0.168013, 1.0]], ['2, k, 7', [-0.342063, -0.174702, 1.0]], ['2, k, 8', [-0.0783917, 0.0218955, 1.0]], ['2, k, 9', [0.081782, -0.0916227, 1.0]], ['2, k, 10', [1.02693e-05, -0.263191, 1.0]], ['2, k, 11', [-0.0439874, -0.300149, 1.0]], ['2, k, 12', [-0.339221, -0.465629, 1.0]], ['2, k, 13', [-0.413786, -0.771307, 1.0]], ['2, k, 14', [-0.470587, -1.08685, 1.0]], ['2, k, 15', [-0.52545, -1.13953, 1.0]], ['2, k, 16', [-0.164851, -0.465056, 1.0]], ['2, k, 17', [-0.0958993, -0.780235, 1.0]], ['2, k, 18', [-0.0328995, -1.09847, 1.0]], ['2, k, 19', [0.0178148, -1.14628, 1.0]], ['2, k, 20', [-0.265382, 0.0376382, 1.0]], ['2, k, 21', [-0.293895, -0.194773, 1.0]], ['2, k, 22', [-0.309949, -0.104662, 1.0]], ['2, k, 23', [-0.0432858, -0.383941, 1.0]], ['2, k, 24', [-0.0750683, -0.283416, 1.0]]]
[['2, k, 0', [-0.250775, -0.470591, 1.0]], ['2, k, 1', [-0.260476, -0.178065, 1.0]], ['2, k, 2', [-0.265898, 0.108784, 1.0]], ['2, k, 3', [-0.283492, 0.256395, 1.0]], ['2, k, 4', [-0.459231, 0.0204824, 1.0]], ['2, k, 5', [-0.568166, -0.140506, 1.0]], ['2, k, 6', [-0.40584, -0.168676, 1.0]], ['2, k, 7', [-0.339957, -0.175396, 1.0]], ['2, k, 8', [-0.0778937, 0.0224529, 1.0]], ['2, k, 9', [0.082121, -0.091008, 1.0]], ['2, k, 10', [0.00151837, -0.263007, 1.0]], ['2, k, 11', [-0.0424915, -0.302651, 1.0]], ['2, k, 12', [-0.334228, -0.464277, 1.0]], ['2, k, 13', [-0.413076, -0.771909, 1.0]], ['2, k, 14', [-0.47047, -1.0868, 1.0]], ['2, k, 15', [-0.519835, -1.13608, 1.0]], ['2, k, 16', [-0.159813, -0.463116, 1.0]], ['2, k, 17', [-0.0924123, -0.776197, 1.0]], ['2, k, 18', [-0.0329102, -1.09849, 1.0]], ['2, k, 19', [0.015208, -1.14343, 1.0]], ['2, k, 20', [-0.265098, 0.0378783, 1.0]], ['2, k, 21', [-0.290224, -0.191665, 1.0]], ['2, k, 22', [-0.321555, -0.107732, 1.0]], ['2, k, 23', [-0.0523002, -0.38078, 1.0]], ['2, k, 24', [-0.0753197, -0.270585, 1.0]]]
[['2, k, 0', [-0.244399, -0.4685, 1.0]], ['2, k, 1', [-0.258209, -0.176991, 1.0]], ['2, k, 2', [-0.265857, 0.109026, 1.0]], ['2, k, 3', [-0.282717, 0.256923, 1.0]], ['2, k, 4', [-0.457944, 0.0204966, 1.0]], ['2, k, 5', [-0.563409, -0.145809, 1.0]], ['2, k, 6', [-0.402008, -0.167648, 1.0]], ['2, k, 7', [-0.33485, -0.176049, 1.0]], ['2, k, 8', [-0.0766793, 0.0236804, 1.0]], ['2, k, 9', [0.0823049, -0.0904154, 1.0]], ['2, k, 10', [0.00281427, -0.262959, 1.0]], ['2, k, 11', [-0.0403167, -0.302419, 1.0]], ['2, k, 12', [-0.328207, -0.462727, 1.0]], ['2, k, 13', [-0.411141, -0.772788, 1.0]], ['2, k, 14', [-0.470562, -1.08695, 1.0]], ['2, k, 15', [-0.519626, -1.13461, 1.0]], ['2, k, 16', [-0.153351, -0.460556, 1.0]], ['2, k, 17', [-0.082439, -0.762589, 1.0]], ['2, k, 18', [-0.031799, -1.09784, 1.0]], ['2, k, 19', [0.0143026, -1.14198, 1.0]], ['2, k, 20', [-0.264776, 0.0382513, 1.0]], ['2, k, 21', [-0.281651, -0.191355, 1.0]], ['2, k, 22', [-0.32066, -0.107507, 1.0]], ['2, k, 23', [-0.0484597, -0.379465, 1.0]], ['2, k, 24', [-0.0756805, -0.278994, 1.0]]]
[['2, k, 0', [-0.235034, -0.465418, 1.0]], ['2, k, 1', [-0.25392, -0.175365, 1.0]], ['2, k, 2', [-0.265395, 0.10945, 1.0]], ['2, k, 3', [-0.282521, 0.257275, 1.0]], ['2, k, 4', [-0.456458, 0.0202811, 1.0]], ['2, k, 5', [-0.558703, -0.151097, 1.0]], ['2, k, 6', [-0.398478, -0.168772, 1.0]], ['2, k, 7', [-0.330406, -0.17621, 1.0]], ['2, k, 8', [-0.0749256, 0.0249394, 1.0]], ['2, k, 9', [0.0819835, -0.0906613, 1.0]], ['2, k, 10', [0.00452326, -0.263538, 1.0]], ['2, k, 11', [-0.0389553, -0.310358, 1.0]], ['2, k, 12', [-0.319064, -0.460235, 1.0]], ['2, k, 13', [-0.408568, -0.772353, 1.0]], ['2, k, 14', [-0.471446, -1.08701, 1.0]], ['2, k, 15', [-0.515392, -1.13433, 1.0]], ['2, k, 16', [-0.144083, -0.456989, 1.0]], ['2, k, 17', [-0.077532, -0.758721, 1.0]], ['2, k, 18', [-0.0303943, -1.09761, 1.0]], ['2, k, 19', [0.0124939, -1.14097, 1.0]], ['2, k, 20', [-0.263661, 0.0388943, 1.0]], ['2, k, 21', [-0.274981, -0.193501, 1.0]], ['2, k, 22', [-0.310018, -0.105491, 1.0]], ['2, k, 23', [-0.0567659, -0.381553, 1.0]], ['2, k, 24', [-0.0754461, -0.268432, 1.0]]]
[['2, k, 0', [-0.229354, -0.463114, 1.0]], ['2, k, 1', [-0.249609, -0.173833, 1.0]], ['2, k, 2', [-0.264363, 0.109818, 1.0]], ['2, k, 3', [-0.282102, 0.257664, 1.0]], ['2, k, 4', [-0.454591, 0.0197693, 1.0]], ['2, k, 5', [-0.551802, -0.159162, 1.0]], ['2, k, 6', [-0.394262, -0.170975, 1.0]], ['2, k, 7', [-0.325607, -0.175597, 1.0]], ['2, k, 8', [-0.0728961, 0.0260699, 1.0]], ['2, k, 9', [0.0826764, -0.0898506, 1.0]], ['2, k, 10', [0.00995619, -0.264794, 1.0]], ['2, k, 11', [-0.0336713, -0.311029, 1.0]], ['2, k, 12', [-0.313516, -0.458384, 1.0]], ['2, k, 13', [-0.405906, -0.772386, 1.0]], ['2, k, 14', [-0.471894, -1.08715, 1.0]], ['2, k, 15', [-0.514551, -1.13481, 1.0]], ['2, k, 16', [-0.138439, -0.4543, 1.0]], ['2, k, 17', [-0.06963, -0.751554, 1.0]], ['2, k, 18', [-0.0287936, -1.09814, 1.0]], ['2, k, 19', [0.0112676, -1.14061, 1.0]], ['2, k, 20', [-0.261725, 0.0395746, 1.0]], ['2, k, 21', [-0.268729, -0.182309, 1.0]], ['2, k, 22', [-0.318644, -0.106073, 1.0]], ['2, k, 23', [-0.0481012, -0.382214, 1.0]], ['2, k, 24', [-0.0732403, -0.276881, 1.0]]]
[['2, k, 0', [-0.225011, -0.462125, 1.0]], ['2, k, 1', [-0.246644, -0.173015, 1.0]], ['2, k, 2', [-0.263588, 0.110157, 1.0]], ['2, k, 3', [-0.281837, 0.258075, 1.0]], ['2, k, 4', [-0.451743, 0.0187117, 1.0]], ['2, k, 5', [-0.549306, -0.161433, 1.0]], ['2, k, 6', [-0.392682, -0.17211, 1.0]], ['2, k, 7', [-0.324057, -0.17581, 1.0]], ['2, k, 8', [-0.0691889, 0.0278127, 1.0]], ['2, k, 9', [0.0845843, -0.0879911, 1.0]], ['2, k, 10', [0.0139284, -0.26342, 1.0]], ['2, k, 11', [-0.0293575, -0.311992, 1.0]], ['2, k, 12', [-0.309164, -0.459714, 1.0]], ['2, k, 13', [-0.40314, -0.771767, 1.0]], ['2, k, 14', [-0.471747, -1.0872, 1.0]], ['2, k, 15', [-0.514123, -1.13456, 1.0]], ['2, k, 16', [-0.133142, -0.450302, 1.0]], ['2, k, 17', [-0.0612762, -0.746787, 1.0]], ['2, k, 18', [-0.0295234, -1.09876, 1.0]], ['2, k, 19', [0.0110711, -1.14121, 1.0]], ['2, k, 20', [-0.260312, 0.0400935, 1.0]], ['2, k, 21', [-0.268372, -0.184289, 1.0]], ['2, k, 22', [-0.31769, -0.106594, 1.0]], ['2, k, 23', [-0.0515362, -0.380106, 1.0]], ['2, k, 24', [-0.0694171, -0.268714, 1.0]]]
[['2, k, 0', [-0.220132, -0.460914, 1.0]], ['2, k, 1', [-0.243379, -0.172154, 1.0]], ['2, k, 2', [-0.262494, 0.110534, 1.0]], ['2, k, 3', [-0.28142, 0.258466, 1.0]], ['2, k, 4', [-0.449396, 0.0173555, 1.0]], ['2, k, 5', [-0.54449, -0.164764, 1.0]], ['2, k, 6', [-0.389801, -0.175027, 1.0]], ['2, k, 7', [-0.321907, -0.179151, 1.0]], ['2, k, 8', [-0.0662867, 0.0289311, 1.0]], ['2, k, 9', [0.085315, -0.088376, 1.0]], ['2, k, 10', [0.0273532, -0.267236, 1.0]], ['2, k, 11', [-0.0217237, -0.319053, 1.0]], ['2, k, 12', [-0.304222, -0.460609, 1.0]], ['2, k, 13', [-0.398206, -0.770849, 1.0]], ['2, k, 14', [-0.471994, -1.0875, 1.0]], ['2, k, 15', [-0.513595, -1.13495, 1.0]], ['2, k, 16', [-0.128459, -0.447065, 1.0]], ['2, k, 17', [-0.0570107, -0.743633, 1.0]], ['2, k, 18', [-0.0262546, -1.09947, 1.0]], ['2, k, 19', [0.0103256, -1.14085, 1.0]], ['2, k, 20', [-0.258558, 0.0406376, 1.0]], ['2, k, 21', [-0.267861, -0.188484, 1.0]], ['2, k, 22', [-0.315637, -0.110874, 1.0]], ['2, k, 23', [-0.0381963, -0.388488, 1.0]], ['2, k, 24', [-0.0616457, -0.272672, 1.0]]]
