[['2, k, 0', [0.0246618, -0.341418, 1.0]], ['2, k, 1', [0.0221992, -0.0179044, 1.0]], ['2, k, 2', [0.0196966, 0.298717, 1.0]], ['2, k, 3', [0.0236434, 0.418468, 1.0]], ['2, k, 4', [-0.123191, 0.254457, 1.0]], ['2, k, 5', [-0.0122958, -0.0116994, 1.0]], ['2, k, 6', [-0.187522, 0.0462821, 1.0]], ['2, k, 7', [-0.205677, 0.143824, 1.0]], ['2, k, 8', [0.134938, 0.208869, 1.0]], ['2, k, 9', [0.160721, -0.0816214, 1.0]], ['2, k, 10', [0.235802, 0.0319068, 1.0]], ['2, k, 11', [0.222665, 0.139668, 1.0]], ['2, k, 12', [-0.0343868, -0.326999, 1.0]], ['2, k, 13', [-0.0721665, -0.75524, 1.0]], ['2, k, 14', [-0.0818607, -1.08967, 1.0]], ['2, k, 15', [-0.0818477, -1.12788, 1.0]], ['2, k, 16', [0.0831277, -0.347762, 1.0]], ['2, k, 17', [0.10568, -0.742361, 1.0]], ['2, k, 18', [0.107085, -1.0748, 1.0]], ['2, k, 19', [0.105103, -1.11324, 1.0]], ['2, k, 20', [0.020332, 0.220499, 1.0]], ['2, k, 21', [-0.276394, 0.127963, 1.0]], ['2, k, 22', [-0.147579, 0.135124, 1.0]], ['2, k, 23', [0.203724, 0.135641, 1.0]], ['2, k, 24', [0.275468, 0.144997, 1.0]]]
[['2, k, 0', [0.0239791, -0.343212, 1.0]], ['2, k, 1', [0.0222572, -0.0182928, 1.0]], ['2, k, 2', [0.0200183, 0.298767, 1.0]], ['2, k, 3', [0.0280478, 0.411306, 1.0]], ['2, k, 4', [-0.112455, 0.147123, 1.0]], ['2, k, 5', [-0.150386, 0.171125, 1.0]], ['2, k, 6', [-0.187572, 0.191418, 1.0]], ['2, k, 7', [-0.197443, 0.20594, 1.0]], ['2, k, 8', [0.142522, 0.138794, 1.0]], ['2, k, 9', [0.283584, 0.15918, 1.0]], ['2, k, 10', [0.280345, 0.14744, 1.0]], ['2, k, 11', [0.238639, 0.198686, 1.0]], ['2, k, 12', [-0.0356684, -0.332356, 1.0]], ['2, k, 13', [-0.0722707, -0.755302, 1.0]], ['2, k, 14', [-0.0855047, -1.08907, 1.0]], ['2, k, 15', [-0.083437, -1.12619, 1.0]], ['2, k, 16', [0.0825851, -0.347605, 1.0]], ['2, k, 17', [0.105771, -0.742908, 1.0]], ['2, k, 18', [0.105938, -1.0764, 1.0]], ['2, k, 19', [0.105981, -1.11372, 1.0]], ['2, k, 20', [0.020541, 0.220473, 1.0]], ['2, k, 21', [-0.184021, 0.224315, 1.0]], ['2, k, 22', [-0.140783, 0.197804, 1.0]], ['2, k, 23', [0.309574, 0.175766, 1.0]], ['2, k, 24', [0.307102, 0.185268, 1.0]]]
[['2, k, 0', [0.0229327, -0.339536, 1.0]], ['2, k, 1', [0.0220666, -0.0196648, 1.0]], ['2, k, 2', [0.0211728, 0.28249, 1.0]], ['2, k, 3', [0.0285925, 0.420354, 1.0]], ['2, k, 4', [-0.113304, 0.20673, 1.0]], ['2, k, 5', [-0.237066, 0.2005, 1.0]], ['2, k, 6', [-0.197637, 0.248367, 1.0]], ['2, k, 7', [-0.200241, 0.263994, 1.0]], ['2, k, 8', [0.158265, 0.199011, 1.0]], ['2, k, 9', [0.273383, 0.182727, 1.0]], ['2, k, 10', [0.265096, 0.215163, 1.0]], ['2, k, 11', [0.226869, 0.255081, 1.0]], ['2, k, 12', [-0.0362183, -0.330894, 1.0]], ['2, k, 13', [-0.0728279, -0.754126, 1.0]], ['2, k, 14', [-0.0860142, -1.08991, 1.0]], ['2, k, 15', [-0.0810522, -1.12743, 1.0]], ['2, k, 16', [0.0808923, -0.339091, 1.0]], ['2, k, 17', [0.106499, -0.740567, 1.0]], ['2, k, 18', [0.105585, -1.07676, 1.0]], ['2, k, 19', [0.108542, -1.11447, 1.0]], ['2, k, 20', [0.0211456, 0.209403, 1.0]], ['2, k, 21', [-0.174809, 0.265478, 1.0]], ['2, k, 22', [-0.137218, 0.264736, 1.0]], ['2, k, 23', [0.200802, 0.246841, 1.0]], ['2, k, 24', [0.298352, 0.247074, 1.0]]]
[['2, k, 0', [0.0211639, -0.329408, 1.0]], ['2, k, 1', [0.0214831, -0.0186199, 1.0]], ['2, k, 2', [0.0207831, 0.282682, 1.0]], ['2, k, 3', [0.0264056, 0.425403, 1.0]], ['2, k, 4', [-0.11104, 0.224226, 1.0]], ['2, k, 5', [-0.231224, 0.229247, 1.0]], ['2, k, 6', [-0.250132, 0.255674, 1.0]], ['2, k, 7', [-0.209477, 0.317907, 1.0]], ['2, k, 8', [0.151641, 0.207042, 1.0]], ['2, k, 9', [0.264145, 0.190563, 1.0]], ['2, k, 10', [0.276076, 0.235194, 1.0]], ['2, k, 11', [0.237903, 0.308654, 1.0]], ['2, k, 12', [-0.0383032, -0.320999, 1.0]], ['2, k, 13', [-0.0734052, -0.752086, 1.0]], ['2, k, 14', [-0.0866837, -1.08989, 1.0]], ['2, k, 15', [-0.0825081, -1.12777, 1.0]], ['2, k, 16', [0.0798194, -0.329954, 1.0]], ['2, k, 17', [0.10644, -0.740335, 1.0]], ['2, k, 18', [0.105797, -1.07516, 1.0]], ['2, k, 19', [0.107976, -1.11325, 1.0]], ['2, k, 20', [0.0208372, 0.209522, 1.0]], ['2, k, 21', [-0.174079, 0.347865, 1.0]], ['2, k, 22', [-0.153415, 0.308093, 1.0]], ['2, k, 23', [0.222086, 0.302894, 1.0]], ['2, k, 24', [0.31548, 0.30637, 1.0]]]
[['2, k, 0', [0.0200638, -0.324367, 1.0]], ['2, k, 1', [0.0214787, -0.0177328, 1.0]], ['2, k, 2', [0.0213521, 0.282744, 1.0]], ['2, k, 3', [0.0271025, 0.412874, 1.0]], ['2, k, 4', [-0.114172, 0.224849, 1.0]], ['2, k, 5', [-0.234642, 0.242, 1.0]], ['2, k, 6', [-0.242936, 0.318239, 1.0]], ['2, k, 7', [-0.208376, 0.368154, 1.0]], ['2, k, 8', [0.154679, 0.211036, 1.0]], ['2, k, 9', [0.266406, 0.222911, 1.0]], ['2, k, 10', [0.269188, 0.288644, 1.0]], ['2, k, 11', [0.234722, 0.356506, 1.0]], ['2, k, 12', [-0.0393367, -0.317686, 1.0]], ['2, k, 13', [-0.0797473, -0.725689, 1.0]], ['2, k, 14', [-0.0868021, -1.08922, 1.0]], ['2, k, 15', [-0.0823965, -1.12699, 1.0]], ['2, k, 16', [0.0788602, -0.32308, 1.0]], ['2, k, 17', [0.109602, -0.703378, 1.0]], ['2, k, 18', [0.10588, -1.07511, 1.0]], ['2, k, 19', [0.108301, -1.11307, 1.0]], ['2, k, 20', [0.0211793, 0.209584, 1.0]], ['2, k, 21', [-0.160707, 0.373877, 1.0]], ['2, k, 22', [-0.175696, 0.346209, 1.0]], ['2, k, 23', [0.217984, 0.364867, 1.0]], ['2, k, 24', [0.303605, 0.353223, 1.0]]]
[['2, k, 0', [0.0203129, -0.321266, 1.0]], ['2, k, 1', [0.0207222, -0.0161335, 1.0]], ['2, k, 2', [0.0201338, 0.283389, 1.0]], ['2, k, 3', [0.0284962, 0.410059, 1.0]], ['2, k, 4', [-0.115144, 0.223245, 1.0]], ['2, k, 5', [-0.236545, 0.253409, 1.0]], ['2, k, 6', [-0.237282, 0.348393, 1.0]], ['2, k, 7', [-0.217667, 0.412591, 1.0]], ['2, k, 8', [0.15697, 0.21748, 1.0]], ['2, k, 9', [0.270561, 0.240335, 1.0]], ['2, k, 10', [0.265768, 0.324896, 1.0]], ['2, k, 11', [0.24746, 0.395099, 1.0]], ['2, k, 12', [-0.039298, -0.316355, 1.0]], ['2, k, 13', [-0.0803197, -0.72475, 1.0]], ['2, k, 14', [-0.0872841, -1.08966, 1.0]], ['2, k, 15', [-0.0824855, -1.12732, 1.0]], ['2, k, 16', [0.0795022, -0.317395, 1.0]], ['2, k, 17', [0.1068, -0.725773, 1.0]], ['2, k, 18', [0.107294, -1.07714, 1.0]], ['2, k, 19', [0.1101, -1.11498, 1.0]], ['2, k, 20', [0.0202094, 0.210175, 1.0]], ['2, k, 21', [-0.189442, 0.430503, 1.0]], ['2, k, 22', [-0.164862, 0.409078, 1.0]], ['2, k, 23', [0.276225, 0.407099, 1.0]], ['2, k, 24', [0.334157, 0.406855, 1.0]]]
[['2, k, 0', [0.0201376, -0.321372, 1.0]], ['2, k, 1', [0.0205719, -0.0155937, 1.0]], ['2, k, 2', [0.0202838, 0.286064, 1.0]], ['2, k, 3', [0.0287007, 0.412431, 1.0]], ['2, k, 4', [-0.121099, 0.227607, 1.0]], ['2, k, 5', [-0.230964, 0.300884, 1.0]], ['2, k, 6', [-0.229487, 0.39391, 1.0]], ['2, k, 7', [-0.205529, 0.458019, 1.0]], ['2, k, 8', [0.158219, 0.218627, 1.0]], ['2, k, 9', [0.270038, 0.247851, 1.0]], ['2, k, 10', [0.258253, 0.372323, 1.0]], ['2, k, 11', [0.231251, 0.436612, 1.0]], ['2, k, 12', [-0.039557, -0.316413, 1.0]], ['2, k, 13', [-0.0802729, -0.724916, 1.0]], ['2, k, 14', [-0.0875864, -1.09093, 1.0]], ['2, k, 15', [-0.0828646, -1.1285, 1.0]], ['2, k, 16', [0.0793375, -0.317804, 1.0]], ['2, k, 17', [0.106214, -0.727614, 1.0]], ['2, k, 18', [0.107449, -1.07641, 1.0]], ['2, k, 19', [0.105554, -1.15183, 1.0]], ['2, k, 20', [0.020249, 0.211844, 1.0]], ['2, k, 21', [-0.168853, 0.478294, 1.0]], ['2, k, 22', [-0.264812, 0.464911, 1.0]], ['2, k, 23', [0.199601, 0.458447, 1.0]], ['2, k, 24', [0.261108, 0.457184, 1.0]]]
[['2, k, 0', [0.020267, -0.321387, 1.0]], ['2, k, 1', [0.0203618, -0.0149736, 1.0]], ['2, k, 2', [0.019167, 0.288057, 1.0]], ['2, k, 3', [0.0288558, 0.413119, 1.0]], ['2, k, 4', [-0.12192, 0.227712, 1.0]], ['2, k, 5', [-0.241322, 0.312372, 1.0]], ['2, k, 6', [-0.228896, 0.42821, 1.0]], ['2, k, 7', [-0.200582, 0.498627, 1.0]], ['2, k, 8', [0.158332, 0.218561, 1.0]], ['2, k, 9', [0.270791, 0.273289, 1.0]], ['2, k, 10', [0.258532, 0.410094, 1.0]], ['2, k, 11', [0.243153, 0.473602, 1.0]], ['2, k, 12', [-0.039479, -0.316362, 1.0]], ['2, k, 13', [-0.0796785, -0.724438, 1.0]], ['2, k, 14', [-0.0876495, -1.09105, 1.0]], ['2, k, 15', [-0.0829622, -1.12849, 1.0]], ['2, k, 16', [0.0796544, -0.318045, 1.0]], ['2, k, 17', [0.105893, -0.728398, 1.0]], ['2, k, 18', [0.107475, -1.07642, 1.0]], ['2, k, 19', [0.110174, -1.11405, 1.0]], ['2, k, 20', [0.0194712, 0.213307, 1.0]], ['2, k, 21', [-0.16502, 0.518232, 1.0]], ['2, k, 22', [-0.259162, 0.507976, 1.0]], ['2, k, 23', [0.226367, 0.505975, 1.0]], ['2, k, 24', [0.321073, 0.483987, 1.0]]]
[['2, k, 0', [0.0202186, -0.323298, 1.0]], ['2, k, 1', [0.0211201, -0.0157943, 1.0]], ['2, k, 2', [0.0219902, 0.287024, 1.0]], ['2, k, 3', [0.0290517, 0.412659, 1.0]], ['2, k, 4', [-0.120955, 0.227884, 1.0]], ['2, k, 5', [-0.24051, 0.324585, 1.0]], ['2, k, 6', [-0.22398, 0.478081, 1.0]], ['2, k, 7', [-0.206407, 0.528535, 1.0]], ['2, k, 8', [0.158942, 0.21861, 1.0]], ['2, k, 9', [0.271221, 0.281473, 1.0]], ['2, k, 10', [0.257113, 0.437127, 1.0]], ['2, k, 11', [0.240989, 0.508548, 1.0]], ['2, k, 12', [-0.0398302, -0.317966, 1.0]], ['2, k, 13', [-0.0795768, -0.721888, 1.0]], ['2, k, 14', [-0.0877807, -1.09286, 1.0]], ['2, k, 15', [-0.0833472, -1.13014, 1.0]], ['2, k, 16', [0.0799719, -0.320787, 1.0]], ['2, k, 17', [0.10685, -0.706571, 1.0]], ['2, k, 18', [0.10745, -1.0764, 1.0]], ['2, k, 19', [0.10479, -1.15166, 1.0]], ['2, k, 20', [0.0216357, 0.212287, 1.0]], ['2, k, 21', [-0.161119, 0.553111, 1.0]], ['2, k, 22', [-0.265123, 0.54523, 1.0]], ['2, k, 23', [0.226373, 0.541113, 1.0]], ['2, k, 24', [0.317822, 0.512579, 1.0]]]
[['2, k, 0', [0.0198309, -0.319531, 1.0]], ['2, k, 1', [0.0213449, -0.014135, 1.0]], ['2, k, 2', [0.0223553, 0.287247, 1.0]], ['2, k, 3', [0.0281568, 0.41319, 1.0]], ['2, k, 4', [-0.120976, 0.227926, 1.0]], ['2, k, 5', [-0.242756, 0.340906, 1.0]], ['2, k, 6', [-0.222314, 0.49977, 1.0]], ['2, k, 7', [-0.205544, 0.559923, 1.0]], ['2, k, 8', [0.159583, 0.217872, 1.0]], ['2, k, 9', [0.273194, 0.310068, 1.0]], ['2, k, 10', [0.247601, 0.484912, 1.0]], ['2, k, 11', [0.228679, 0.543357, 1.0]], ['2, k, 12', [-0.0402781, -0.31528, 1.0]], ['2, k, 13', [-0.0792106, -0.721018, 1.0]], ['2, k, 14', [-0.0876116, -1.09281, 1.0]], ['2, k, 15', [-0.0803189, -1.16022, 1.0]], ['2, k, 16', [0.0796451, -0.316068, 1.0]], ['2, k, 17', [0.107138, -0.705295, 1.0]], ['2, k, 18', [0.107222, -1.07647, 1.0]], ['2, k, 19', [0.104187, -1.15124, 1.0]], ['2, k, 20', [0.0220047, 0.212719, 1.0]], ['2, k, 21', [-0.176569, 0.597167, 1.0]], ['2, k, 22', [-0.242224, 0.576965, 1.0]], ['2, k, 23', [0.198375, 0.571761, 1.0]], ['2, k, 24', [0.298597, 0.547412, 1.0]]]
[['2, k, 0', [0.019723, -0.31445, 1.0]], ['2, k, 1', [0.0211956, -0.0122962, 1.0]], ['2, k, 2', [0.0222884, 0.287243, 1.0]], ['2, k, 3', [0.0281109, 0.413176, 1.0]], ['2, k, 4', [-0.121927, 0.228921, 1.0]], ['2, k, 5', [-0.242639, 0.354956, 1.0]], ['2, k, 6', [-0.219101, 0.548785, 1.0]], ['2, k, 7', [-0.191337, 0.606152, 1.0]], ['2, k, 8', [0.16103, 0.220135, 1.0]], ['2, k, 9', [0.272837, 0.325255, 1.0]], ['2, k, 10', [0.247853, 0.509474, 1.0]], ['2, k, 11', [0.225003, 0.57478, 1.0]], ['2, k, 12', [-0.0405286, -0.310506, 1.0]], ['2, k, 13', [-0.0791413, -0.71827, 1.0]], ['2, k, 14', [-0.0882764, -1.09535, 1.0]], ['2, k, 15', [-0.0837601, -1.13242, 1.0]], ['2, k, 16', [0.0796348, -0.311011, 1.0]], ['2, k, 17', [0.109017, -0.705581, 1.0]], ['2, k, 18', [0.107489, -1.07688, 1.0]], ['2, k, 19', [0.110021, -1.11418, 1.0]], ['2, k, 20', [0.021939, 0.212958, 1.0]], ['2, k, 21', [-0.161588, 0.635057, 1.0]], ['2, k, 22', [-0.252051, 0.615661, 1.0]], ['2, k, 23', [0.19974, 0.611053, 1.0]], ['2, k, 24', [0.298315, 0.575698, 1.0]]]
