[['2, k, 0', [0.264927, -1.1843, 1.0]], ['2, k, 1', [0.259954, -0.883579, 1.0]], ['2, k, 2', [0.25386, -0.585236, 1.0]], ['2, k, 3', [0.258612, -0.444732, 1.0]], ['2, k, 4', [0.101071, -0.67223, 1.0]], ['2, k, 5', [0.145594, -0.831422, 1.0]], ['2, k, 6', [0.215819, -0.779839, 1.0]], ['2, k, 7', [0.242702, -0.750431, 1.0]], ['2, k, 8', [0.409983, -0.670701, 1.0]], ['2, k, 9', [0.527884, -0.805572, 1.0]], ['2, k, 10', [0.335354, -0.775205, 1.0]], ['2, k, 11', [0.27187, -0.766221, 1.0]], ['2, k, 12', [0.19137, -1.17018, 1.0]], ['2, k, 13', [0.0971976, -1.49088, 1.0]], ['2, k, 14', [0.215594, -1.39379, 1.0]], ['2, k, 15', [0.17518, -1.41331, 1.0]], ['2, k, 16', [0.331977, -1.16937, 1.0]], ['2, k, 17', [0.456833, -1.4607, 1.0]], ['2, k, 18', [0.2442, -1.40481, 1.0]], ['2, k, 19', [0.315664, -1.41619, 1.0]], ['2, k, 20', [0.255588, -0.659645, 1.0]], ['2, k, 21', [0.294639, -0.74727, 1.0]], ['2, k, 22', [0.168648, -0.739391, 1.0]], ['2, k, 23', [0.270783, -0.763159, 1.0]], ['2, k, 24', [0.269366, -0.759165, 1.0]]]
[['2, k, 0', [0.262002, -1.16295, 1.0]], ['2, k, 1', [0.259443, -0.878135, 1.0]], ['2, k, 2', [0.253981, -0.585405, 1.0]], ['2, k, 3', [0.258536, -0.444631, 1.0]], ['2, k, 4', [0.101037, -0.672163, 1.0]], ['2, k, 5', [0.14655, -0.830612, 1.0]], ['2, k, 6', [0.213888, -0.779187, 1.0]], ['2, k, 7', [0.0981592, -0.742291, 1.0]], ['2, k, 8', [0.409953, -0.670844, 1.0]], ['2, k, 9', [0.528333, -0.804945, 1.0]], ['2, k, 10', [0.351179, -0.777084, 1.0]], ['2, k, 11', [0.292818, -0.76893, 1.0]], ['2, k, 12', [0.188399, -1.14807, 1.0]], ['2, k, 13', [0.102975, -1.51197, 1.0]], ['2, k, 14', [0.260409, -1.25386, 1.0]], ['2, k, 15', [0.207749, -1.32478, 1.0]], ['2, k, 16', [0.329111, -1.14903, 1.0]], ['2, k, 17', [0.460703, -1.48907, 1.0]], ['2, k, 18', [0.186436, -1.33001, 1.0]], ['2, k, 19', [0.274431, -1.37339, 1.0]], ['2, k, 20', [0.255696, -0.659321, 1.0]], ['2, k, 21', [0.0432382, -0.731793, 1.0]], ['2, k, 22', [0.0594517, -0.742667, 1.0]], ['2, k, 23', [0.291648, -0.765858, 1.0]], ['2, k, 24', [0.290122, -0.76185, 1.0]]]
[['2, k, 0', [0.261978, -1.14942, 1.0]], ['2, k, 1', [0.259328, -0.870884, 1.0]], ['2, k, 2', [0.254047, -0.585431, 1.0]], ['2, k, 3', [0.258403, -0.444508, 1.0]], ['2, k, 4', [0.100938, -0.672407, 1.0]], ['2, k, 5', [0.138406, -0.812465, 1.0]], ['2, k, 6', [0.137673, -0.771296, 1.0]], ['2, k, 7', [0.0800678, -0.742985, 1.0]], ['2, k, 8', [0.409926, -0.672031, 1.0]], ['2, k, 9', [0.514002, -0.792119, 1.0]], ['2, k, 10', [0.353565, -0.776316, 1.0]], ['2, k, 11', [0.30076, -0.772154, 1.0]], ['2, k, 12', [0.188435, -1.1347, 1.0]], ['2, k, 13', [0.128123, -1.50683, 1.0]], ['2, k, 14', [0.0732255, -1.86686, 1.0]], ['2, k, 15', [0.0552258, -1.87941, 1.0]], ['2, k, 16', [0.329083, -1.13445, 1.0]], ['2, k, 17', [0.411419, -1.49941, 1.0]], ['2, k, 18', [0.491796, -1.85269, 1.0]], ['2, k, 19', [0.494945, -1.86216, 1.0]], ['2, k, 20', [0.255784, -0.65857, 1.0]], ['2, k, 21', [0.0306109, -0.733085, 1.0]], ['2, k, 22', [0.0197704, -0.727734, 1.0]], ['2, k, 23', [0.299587, -0.769141, 1.0]], ['2, k, 24', [0.298056, -0.765211, 1.0]]]
[['2, k, 0', [0.261606, -1.14825, 1.0]], ['2, k, 1', [0.25918, -0.869627, 1.0]], ['2, k, 2', [0.254276, -0.585676, 1.0]], ['2, k, 3', [0.258252, -0.444513, 1.0]], ['2, k, 4', [0.100771, -0.672634, 1.0]], ['2, k, 5', [0.137092, -0.812823, 1.0]], ['2, k, 6', [0.0989022, -0.777029, 1.0]], ['2, k, 7', [0.0633528, -0.744857, 1.0]], ['2, k, 8', [0.409969, -0.673556, 1.0]], ['2, k, 9', [0.507061, -0.787202, 1.0]], ['2, k, 10', [0.340422, -0.770169, 1.0]], ['2, k, 11', [0.290042, -0.832757, 1.0]], ['2, k, 12', [0.188015, -1.13327, 1.0]], ['2, k, 13', [0.128097, -1.50621, 1.0]], ['2, k, 14', [0.0734306, -1.86777, 1.0]], ['2, k, 15', [0.0554938, -1.88003, 1.0]], ['2, k, 16', [0.328705, -1.1336, 1.0]], ['2, k, 17', [0.411322, -1.49943, 1.0]], ['2, k, 18', [0.492134, -1.85428, 1.0]], ['2, k, 19', [0.495214, -1.86392, 1.0]], ['2, k, 20', [0.255936, -0.658348, 1.0]], ['2, k, 21', [0.0154265, -0.73762, 1.0]], ['2, k, 22', [0.119346, -0.743637, 1.0]], ['2, k, 23', [0.285289, -0.829049, 1.0]], ['2, k, 24', [0.287581, -0.825693, 1.0]]]
[['2, k, 0', [0.261626, -1.14772, 1.0]], ['2, k, 1', [0.259161, -0.869002, 1.0]], ['2, k, 2', [0.254365, -0.586175, 1.0]], ['2, k, 3', [0.258002, -0.444985, 1.0]], ['2, k, 4', [0.100612, -0.674063, 1.0]], ['2, k, 5', [0.0190758, -0.784157, 1.0]], ['2, k, 6', [-0.0272363, -0.756496, 1.0]], ['2, k, 7', [-0.0676152, -0.748539, 1.0]], ['2, k, 8', [0.409385, -0.675393, 1.0]], ['2, k, 9', [0.510646, -0.792898, 1.0]], ['2, k, 10', [0.335743, -0.774498, 1.0]], ['2, k, 11', [0.278105, -0.769456, 1.0]], ['2, k, 12', [0.188072, -1.13279, 1.0]], ['2, k, 13', [0.127167, -1.50596, 1.0]], ['2, k, 14', [0.0714928, -1.86821, 1.0]], ['2, k, 15', [0.0533088, -1.88046, 1.0]], ['2, k, 16', [0.32873, -1.13319, 1.0]], ['2, k, 17', [0.411357, -1.49944, 1.0]], ['2, k, 18', [0.49228, -1.85515, 1.0]], ['2, k, 19', [0.495222, -1.86495, 1.0]], ['2, k, 20', [0.25597, -0.658351, 1.0]], ['2, k, 21', [-0.114181, -0.73918, 1.0]], ['2, k, 22', [-0.0062674, -0.735774, 1.0]], ['2, k, 23', [0.273357, -0.765872, 1.0]], ['2, k, 24', [0.275655, -0.762677, 1.0]]]
[['2, k, 0', [0.261596, -1.14763, 1.0]], ['2, k, 1', [0.259109, -0.869067, 1.0]], ['2, k, 2', [0.254479, -0.587477, 1.0]], ['2, k, 3', [0.2578, -0.446731, 1.0]], ['2, k, 4', [0.100534, -0.674476, 1.0]], ['2, k, 5', [0.0171042, -0.786991, 1.0]], ['2, k, 6', [0.135429, -0.775249, 1.0]], ['2, k, 7', [0.0964947, -0.754175, 1.0]], ['2, k, 8', [0.410022, -0.677935, 1.0]], ['2, k, 9', [0.513804, -0.798093, 1.0]], ['2, k, 10', [0.53043, -0.781679, 1.0]], ['2, k, 11', [0.55932, -0.78017, 1.0]], ['2, k, 12', [0.188059, -1.13271, 1.0]], ['2, k, 13', [0.125934, -1.50584, 1.0]], ['2, k, 14', [0.0690529, -1.86835, 1.0]], ['2, k, 15', [0.0505564, -1.88066, 1.0]], ['2, k, 16', [0.328698, -1.13338, 1.0]], ['2, k, 17', [0.41219, -1.4994, 1.0]], ['2, k, 18', [0.493995, -1.8552, 1.0]], ['2, k, 19', [0.496862, -1.86474, 1.0]], ['2, k, 20', [0.255995, -0.658965, 1.0]], ['2, k, 21', [0.0410643, -0.746657, 1.0]], ['2, k, 22', [0.154173, -0.753162, 1.0]], ['2, k, 23', [0.595359, -0.795044, 1.0]], ['2, k, 24', [0.619024, -0.747475, 1.0]]]
[['2, k, 0', [0.261635, -1.1478, 1.0]], ['2, k, 1', [0.25908, -0.869516, 1.0]], ['2, k, 2', [0.254492, -0.589883, 1.0]], ['2, k, 3', [0.257534, -0.448668, 1.0]], ['2, k, 4', [0.100758, -0.676962, 1.0]], ['2, k, 5', [0.0145533, -0.790042, 1.0]], ['2, k, 6', [0.110975, -0.766153, 1.0]], ['2, k, 7', [0.159607, -0.764021, 1.0]], ['2, k, 8', [0.409757, -0.68098, 1.0]], ['2, k, 9', [0.515742, -0.802415, 1.0]], ['2, k, 10', [0.533462, -0.829953, 1.0]], ['2, k, 11', [0.568712, -0.783601, 1.0]], ['2, k, 12', [0.188145, -1.13303, 1.0]], ['2, k, 13', [0.124751, -1.50578, 1.0]], ['2, k, 14', [0.0666307, -1.86814, 1.0]], ['2, k, 15', [0.0481546, -1.88028, 1.0]], ['2, k, 16', [0.328758, -1.1338, 1.0]], ['2, k, 17', [0.412815, -1.49939, 1.0]], ['2, k, 18', [0.495199, -1.855, 1.0]], ['2, k, 19', [0.49824, -1.86418, 1.0]], ['2, k, 20', [0.255963, -0.660405, 1.0]], ['2, k, 21', [0.214734, -0.760684, 1.0]], ['2, k, 22', [0.231107, -0.758342, 1.0]], ['2, k, 23', [0.598161, -0.794607, 1.0]], ['2, k, 24', [0.627247, -0.750724, 1.0]]]
[['2, k, 0', [0.261686, -1.14823, 1.0]], ['2, k, 1', [0.258997, -0.869979, 1.0]], ['2, k, 2', [0.254323, -0.591334, 1.0]], ['2, k, 3', [0.257586, -0.450879, 1.0]], ['2, k, 4', [0.100559, -0.680202, 1.0]], ['2, k, 5', [0.0123227, -0.793253, 1.0]], ['2, k, 6', [0.13581, -0.779045, 1.0]], ['2, k, 7', [0.223595, -0.787741, 1.0]], ['2, k, 8', [0.409772, -0.680976, 1.0]], ['2, k, 9', [0.515744, -0.804095, 1.0]], ['2, k, 10', [0.552339, -0.798523, 1.0]], ['2, k, 11', [0.575223, -0.786449, 1.0]], ['2, k, 12', [0.188229, -1.13412, 1.0]], ['2, k, 13', [0.121922, -1.50597, 1.0]], ['2, k, 14', [0.0610172, -1.86765, 1.0]], ['2, k, 15', [0.0423432, -1.87892, 1.0]], ['2, k, 16', [0.328798, -1.13398, 1.0]], ['2, k, 17', [0.414643, -1.49854, 1.0]], ['2, k, 18', [0.498748, -1.85331, 1.0]], ['2, k, 19', [0.501932, -1.86155, 1.0]], ['2, k, 20', [0.255804, -0.661409, 1.0]], ['2, k, 21', [0.278497, -0.784513, 1.0]], ['2, k, 22', [0.294623, -0.782321, 1.0]], ['2, k, 23', [0.597016, -0.798641, 1.0]], ['2, k, 24', [0.63237, -0.75384, 1.0]]]
[['2, k, 0', [0.261708, -1.14879, 1.0]], ['2, k, 1', [0.259081, -0.871514, 1.0]], ['2, k, 2', [0.254752, -0.594968, 1.0]], ['2, k, 3', [0.257816, -0.452854, 1.0]], ['2, k, 4', [0.100361, -0.681771, 1.0]], ['2, k, 5', [0.0150327, -0.792911, 1.0]], ['2, k, 6', [0.191259, -0.788692, 1.0]], ['2, k, 7', [0.245572, -0.855986, 1.0]], ['2, k, 8', [0.410593, -0.685333, 1.0]], ['2, k, 9', [0.507995, -0.809189, 1.0]], ['2, k, 10', [0.540204, -0.837056, 1.0]], ['2, k, 11', [0.584757, -0.789882, 1.0]], ['2, k, 12', [0.188252, -1.13446, 1.0]], ['2, k, 13', [0.120794, -1.5056, 1.0]], ['2, k, 14', [0.0587725, -1.86672, 1.0]], ['2, k, 15', [0.0400249, -1.87762, 1.0]], ['2, k, 16', [0.328841, -1.13505, 1.0]], ['2, k, 17', [0.415512, -1.49891, 1.0]], ['2, k, 18', [0.500425, -1.85313, 1.0]], ['2, k, 19', [0.503653, -1.86122, 1.0]], ['2, k, 20', [0.256101, -0.66431, 1.0]], ['2, k, 21', [0.258593, -0.852986, 1.0]], ['2, k, 22', [0.243523, -0.848845, 1.0]], ['2, k, 23', [0.602501, -0.795097, 1.0]], ['2, k, 24', [0.640469, -0.765307, 1.0]]]
[['2, k, 0', [0.261412, -1.15246, 1.0]], ['2, k, 1', [0.258889, -0.87434, 1.0]], ['2, k, 2', [0.254789, -0.597542, 1.0]], ['2, k, 3', [0.257613, -0.455998, 1.0]], ['2, k, 4', [0.100438, -0.685515, 1.0]], ['2, k, 5', [0.0138477, -0.794266, 1.0]], ['2, k, 6', [0.172831, -0.788963, 1.0]], ['2, k, 7', [0.263389, -0.791149, 1.0]], ['2, k, 8', [0.410287, -0.688717, 1.0]], ['2, k, 9', [0.533948, -0.820227, 1.0]], ['2, k, 10', [0.560954, -0.826796, 1.0]], ['2, k, 11', [0.581679, -0.793064, 1.0]], ['2, k, 12', [0.187662, -1.14123, 1.0]], ['2, k, 13', [0.117282, -1.51116, 1.0]], ['2, k, 14', [0.0524669, -1.87127, 1.0]], ['2, k, 15', [0.0337936, -1.88106, 1.0]], ['2, k, 16', [0.328746, -1.13667, 1.0]], ['2, k, 17', [0.417296, -1.49958, 1.0]], ['2, k, 18', [0.504006, -1.85301, 1.0]], ['2, k, 19', [0.507602, -1.86062, 1.0]], ['2, k, 20', [0.256065, -0.666868, 1.0]], ['2, k, 21', [0.27631, -0.788267, 1.0]], ['2, k, 22', [0.261103, -0.784282, 1.0]], ['2, k, 23', [0.601153, -0.798059, 1.0]], ['2, k, 24', [0.631333, -0.763362, 1.0]]]
[['2, k, 0', [0.261188, -1.15451, 1.0]], ['2, k, 1', [0.258561, -0.876482, 1.0]], ['2, k, 2', [0.25443, -0.600183, 1.0]], ['2, k, 3', [0.258081, -0.459858, 1.0]], ['2, k, 4', [0.100593, -0.688412, 1.0]], ['2, k, 5', [0.0158739, -0.794877, 1.0]], ['2, k, 6', [0.150533, -0.789965, 1.0]], ['2, k, 7', [0.240564, -0.791082, 1.0]], ['2, k, 8', [0.410257, -0.688656, 1.0]], ['2, k, 9', [0.505017, -0.808374, 1.0]], ['2, k, 10', [0.497284, -0.800375, 1.0]], ['2, k, 11', [0.570271, -0.796389, 1.0]], ['2, k, 12', [0.187493, -1.14392, 1.0]], ['2, k, 13', [0.114682, -1.51269, 1.0]], ['2, k, 14', [0.0475431, -1.8718, 1.0]], ['2, k, 15', [0.0288293, -1.88049, 1.0]], ['2, k, 16', [0.32854, -1.13792, 1.0]], ['2, k, 17', [0.417847, -1.5002, 1.0]], ['2, k, 18', [0.505287, -1.85312, 1.0]], ['2, k, 19', [0.508961, -1.86045, 1.0]], ['2, k, 20', [0.255703, -0.66931, 1.0]], ['2, k, 21', [0.253566, -0.788186, 1.0]], ['2, k, 22', [0.238465, -0.78418, 1.0]], ['2, k, 23', [0.595554, -0.803525, 1.0]], ['2, k, 24', [0.623215, -0.765983, 1.0]]]
