[['2, k, 0', [-0.004147652, -0.101886, 1.0]], ['2, k, 1', [0.001176507, 0.2081602, 1.0]], ['2, k, 2', [0.004898915, 0.5067713, 1.0]], ['2, k, 3', [0.01743822, 0.6364672, 1.0]], ['2, k, 4', [-0.1589481, 0.3909273, 1.0]], ['2, k, 5', [-0.272878, 0.1794628, 1.0]], ['2, k, 6', [-0.345468, -0.006526016, 1.0]], ['2, k, 7', [-0.3447983, -0.04068106, 1.0]], ['2, k, 8', [0.1648775, 0.3661402, 1.0]], ['2, k, 9', [0.2137064, 0.121888, 1.0]], ['2, k, 10', [0.2180451, -0.09406484, 1.0]], ['2, k, 11', [0.2241425, -0.1382614, 1.0]], ['2, k, 12', [-0.080102, -0.09625106, 1.0]], ['2, k, 13', [-0.07905786, -0.4055996, 1.0]], ['2, k, 14', [-0.07939094, -0.6852366, 1.0]], ['2, k, 15', [-0.1105087, -0.753547, 1.0]], ['2, k, 16', [0.07232145, -0.1039903, 1.0]], ['2, k, 17', [0.07546703, -0.4016953, 1.0]], ['2, k, 18', [0.07210315, -0.6771184, 1.0]], ['2, k, 19', [0.08549915, -0.7452512, 1.0]], ['2, k, 20', [0.00413123, 0.4337335, 1.0]], ['2, k, 21', [-0.3555994, -0.04402792, 1.0]], ['2, k, 22', [-0.3507955, -0.05724261, 1.0]], ['2, k, 23', [0.2233921, -0.2041849, 1.0]], ['2, k, 24', [0.1852823, -0.1372601, 1.0]]]
[['2, k, 0', [-0.00420087, -0.1017615, 1.0]], ['2, k, 1', [0.0005773152, 0.2084282, 1.0]], ['2, k, 2', [0.003584513, 0.5070906, 1.0]], ['2, k, 3', [0.01456338, 0.636868, 1.0]], ['2, k, 4', [-0.1602228, 0.3911018, 1.0]], ['2, k, 5', [-0.274356, 0.1804761, 1.0]], ['2, k, 6', [-0.3435025, -0.004951041, 1.0]], ['2, k, 7', [-0.3446279, -0.04081048, 1.0]], ['2, k, 8', [0.164003, 0.3666042, 1.0]], ['2, k, 9', [0.2157713, 0.1274611, 1.0]], ['2, k, 10', [0.2251382, -0.08630962, 1.0]], ['2, k, 11', [0.2292268, -0.1324908, 1.0]], ['2, k, 12', [-0.08020048, -0.09610605, 1.0]], ['2, k, 13', [-0.07949498, -0.4042118, 1.0]], ['2, k, 14', [-0.07910063, -0.6843846, 1.0]], ['2, k, 15', [-0.1059307, -0.7520747, 1.0]], ['2, k, 16', [0.0722359, -0.1037697, 1.0]], ['2, k, 17', [0.07524385, -0.4020336, 1.0]], ['2, k, 18', [0.07223649, -0.6773509, 1.0]], ['2, k, 19', [0.08548795, -0.7452344, 1.0]], ['2, k, 20', [0.002978787, 0.4340509, 1.0]], ['2, k, 21', [-0.3558182, -0.04413912, 1.0]], ['2, k, 22', [-0.3531057, -0.06329885, 1.0]], ['2, k, 23', [0.230235, -0.1999779, 1.0]], ['2, k, 24', [0.1910372, -0.1162094, 1.0]]]
[['2, k, 0', [-0.004261279, -0.1015852, 1.0]], ['2, k, 1', [-0.0003246773, 0.2087993, 1.0]], ['2, k, 2', [0.001341583, 0.5076508, 1.0]], ['2, k, 3', [0.01112751, 0.6375342, 1.0]], ['2, k, 4', [-0.1602147, 0.3910581, 1.0]], ['2, k, 5', [-0.2743724, 0.179962, 1.0]], ['2, k, 6', [-0.3424122, -0.006492222, 1.0]], ['2, k, 7', [-0.3453336, -0.04359353, 1.0]], ['2, k, 8', [0.1627858, 0.3675449, 1.0]], ['2, k, 9', [0.2170144, 0.1315254, 1.0]], ['2, k, 10', [0.2272285, -0.0819775, 1.0]], ['2, k, 11', [0.233081, -0.1294876, 1.0]], ['2, k, 12', [-0.08033032, -0.09589874, 1.0]], ['2, k, 13', [-0.07959749, -0.4040903, 1.0]], ['2, k, 14', [-0.07901784, -0.6843127, 1.0]], ['2, k, 15', [-0.07441259, -0.7168376, 1.0]], ['2, k, 16', [0.07217149, -0.1035483, 1.0]], ['2, k, 17', [0.07555407, -0.4018014, 1.0]], ['2, k, 18', [0.07262507, -0.6771023, 1.0]], ['2, k, 19', [0.0854305, -0.7453184, 1.0]], ['2, k, 20', [0.00107851, 0.4345707, 1.0]], ['2, k, 21', [-0.3576219, -0.04654368, 1.0]], ['2, k, 22', [-0.3561709, -0.05149458, 1.0]], ['2, k, 23', [0.2364896, -0.1929734, 1.0]], ['2, k, 24', [0.1942002, -0.1387471, 1.0]]]
[['2, k, 0', [-0.004267897, -0.1015426, 1.0]], ['2, k, 1', [-0.0008749879, 0.2089619, 1.0]], ['2, k, 2', [4.362076e-05, 0.5079449, 1.0]], ['2, k, 3', [0.008606175, 0.6379563, 1.0]], ['2, k, 4', [-0.1601425, 0.3906972, 1.0]], ['2, k, 5', [-0.2749341, 0.18013, 1.0]], ['2, k, 6', [-0.3422113, -0.00564346, 1.0]], ['2, k, 7', [-0.343949, -0.04133599, 1.0]], ['2, k, 8', [0.162079, 0.3679963, 1.0]], ['2, k, 9', [0.2190853, 0.1365506, 1.0]], ['2, k, 10', [0.2306665, -0.07607414, 1.0]], ['2, k, 11', [0.2359159, -0.1212344, 1.0]], ['2, k, 12', [-0.08035988, -0.09590992, 1.0]], ['2, k, 13', [-0.07979745, -0.4037, 1.0]], ['2, k, 14', [-0.07907962, -0.6843812, 1.0]], ['2, k, 15', [-0.1108542, -0.7558565, 1.0]], ['2, k, 16', [0.07216391, -0.1034708, 1.0]], ['2, k, 17', [0.07550377, -0.4018038, 1.0]], ['2, k, 18', [0.0726667, -0.6767537, 1.0]], ['2, k, 19', [0.08549294, -0.7453499, 1.0]], ['2, k, 20', [-4.679121e-05, 0.4348333, 1.0]], ['2, k, 21', [-0.3588219, -0.04805154, 1.0]], ['2, k, 22', [-0.3589539, -0.06326248, 1.0]], ['2, k, 23', [0.2382347, -0.1882125, 1.0]], ['2, k, 24', [0.1970817, -0.1071238, 1.0]]]
[['2, k, 0', [-0.00438581, -0.1011867, 1.0]], ['2, k, 1', [-0.001741028, 0.2094488, 1.0]], ['2, k, 2', [-0.001455542, 0.5083842, 1.0]], ['2, k, 3', [0.005634549, 0.6384978, 1.0]], ['2, k, 4', [-0.162527, 0.3912311, 1.0]], ['2, k, 5', [-0.274478, 0.1796466, 1.0]], ['2, k, 6', [-0.3428414, -0.005911716, 1.0]], ['2, k, 7', [-0.3454276, -0.04136095, 1.0]], ['2, k, 8', [0.1613218, 0.3685117, 1.0]], ['2, k, 9', [0.2197966, 0.1388938, 1.0]], ['2, k, 10', [0.2343927, -0.07040565, 1.0]], ['2, k, 11', [0.2371775, -0.1158577, 1.0]], ['2, k, 12', [-0.08044359, -0.09575335, 1.0]], ['2, k, 13', [-0.07961036, -0.4051836, 1.0]], ['2, k, 14', [-0.07937762, -0.6847742, 1.0]], ['2, k, 15', [-0.11169, -0.755599, 1.0]], ['2, k, 16', [0.07190341, -0.1026044, 1.0]], ['2, k, 17', [0.07547769, -0.4021286, 1.0]], ['2, k, 18', [0.07261582, -0.6767936, 1.0]], ['2, k, 19', [0.08534763, -0.7452792, 1.0]], ['2, k, 20', [-0.001411168, 0.435295, 1.0]], ['2, k, 21', [-0.3579213, -0.04658692, 1.0]], ['2, k, 22', [-0.3559745, -0.05103522, 1.0]], ['2, k, 23', [0.2400931, -0.1805069, 1.0]], ['2, k, 24', [0.1975109, -0.1121751, 1.0]]]
[['2, k, 0', [-0.004439768, -0.1009084, 1.0]], ['2, k, 1', [-0.002591882, 0.209818, 1.0]], ['2, k, 2', [-0.003231758, 0.508682, 1.0]], ['2, k, 3', [0.002391434, 0.6389879, 1.0]], ['2, k, 4', [-0.1642131, 0.3916192, 1.0]], ['2, k, 5', [-0.2742932, 0.1801313, 1.0]], ['2, k, 6', [-0.3422973, -0.006946116, 1.0]], ['2, k, 7', [-0.3441898, -0.04005748, 1.0]], ['2, k, 8', [0.1604573, 0.3692813, 1.0]], ['2, k, 9', [0.2207223, 0.1432684, 1.0]], ['2, k, 10', [0.2362156, -0.06474573, 1.0]], ['2, k, 11', [0.2398143, -0.1209254, 1.0]], ['2, k, 12', [-0.08047826, -0.09559648, 1.0]], ['2, k, 13', [-0.07945172, -0.405986, 1.0]], ['2, k, 14', [-0.07939514, -0.684764, 1.0]], ['2, k, 15', [-0.1124652, -0.7548044, 1.0]], ['2, k, 16', [0.07179606, -0.1021042, 1.0]], ['2, k, 17', [0.07505384, -0.4012584, 1.0]], ['2, k, 18', [0.07294811, -0.6768903, 1.0]], ['2, k, 19', [0.08539011, -0.7452739, 1.0]], ['2, k, 20', [-0.002960862, 0.4356218, 1.0]], ['2, k, 21', [-0.3565241, -0.04570054, 1.0]], ['2, k, 22', [-0.3566458, -0.05120867, 1.0]], ['2, k, 23', [0.23868, -0.1753315, 1.0]], ['2, k, 24', [0.1991587, -0.1189325, 1.0]]]
[['2, k, 0', [-0.004722463, -0.1005629, 1.0]], ['2, k, 1', [-0.003634658, 0.2102983, 1.0]], ['2, k, 2', [-0.004692048, 0.509165, 1.0]], ['2, k, 3', [-0.0008281218, 0.6396126, 1.0]], ['2, k, 4', [-0.1664104, 0.3919181, 1.0]], ['2, k, 5', [-0.2764517, 0.1760049, 1.0]], ['2, k, 6', [-0.3430246, -0.008278177, 1.0]], ['2, k, 7', [-0.3536028, -0.05803981, 1.0]], ['2, k, 8', [0.1596569, 0.3697257, 1.0]], ['2, k, 9', [0.2210403, 0.1476973, 1.0]], ['2, k, 10', [0.238003, -0.057024, 1.0]], ['2, k, 11', [0.2397665, -0.114191, 1.0]], ['2, k, 12', [-0.08074152, -0.0952951, 1.0]], ['2, k, 13', [-0.07954185, -0.4062487, 1.0]], ['2, k, 14', [-0.07968057, -0.6848089, 1.0]], ['2, k, 15', [-0.1123726, -0.7545599, 1.0]], ['2, k, 16', [0.07141902, -0.1016811, 1.0]], ['2, k, 17', [0.07572377, -0.400024, 1.0]], ['2, k, 18', [0.07310957, -0.6766599, 1.0]], ['2, k, 19', [0.08535085, -0.7453265, 1.0]], ['2, k, 20', [-0.004345853, 0.4361066, 1.0]], ['2, k, 21', [-0.3845944, -0.1264617, 1.0]], ['2, k, 22', [-0.3724322, -0.1102284, 1.0]], ['2, k, 23', [0.244033, -0.1725807, 1.0]], ['2, k, 24', [0.1993362, -0.1099794, 1.0]]]
[['2, k, 0', [-0.005131458, -0.1003225, 1.0]], ['2, k, 1', [-0.004796192, 0.2106775, 1.0]], ['2, k, 2', [-0.006201898, 0.5096122, 1.0]], ['2, k, 3', [-0.00268033, 0.640015, 1.0]], ['2, k, 4', [-0.1659809, 0.3914542, 1.0]], ['2, k, 5', [-0.2776152, 0.1755122, 1.0]], ['2, k, 6', [-0.3423494, -0.007504546, 1.0]], ['2, k, 7', [-0.3518168, -0.05068007, 1.0]], ['2, k, 8', [0.158272, 0.3708529, 1.0]], ['2, k, 9', [0.2219822, 0.1537264, 1.0]], ['2, k, 10', [0.2391255, -0.04877543, 1.0]], ['2, k, 11', [0.2389253, -0.1009329, 1.0]], ['2, k, 12', [-0.08113939, -0.09515535, 1.0]], ['2, k, 13', [-0.07957228, -0.4068236, 1.0]], ['2, k, 14', [-0.07971487, -0.6848456, 1.0]], ['2, k, 15', [-0.07752891, -0.7173977, 1.0]], ['2, k, 16', [0.07093223, -0.1013426, 1.0]], ['2, k, 17', [0.07598293, -0.3989786, 1.0]], ['2, k, 18', [0.07310407, -0.6766527, 1.0]], ['2, k, 19', [0.08521868, -0.7453753, 1.0]], ['2, k, 20', [-0.005793131, 0.4365353, 1.0]], ['2, k, 21', [-0.3834676, -0.1217196, 1.0]], ['2, k, 22', [-0.3667908, -0.09420866, 1.0]], ['2, k, 23', [0.2394873, -0.1611156, 1.0]], ['2, k, 24', [0.198021, -0.09698245, 1.0]]]
[['2, k, 0', [-0.005525183, -0.09995272, 1.0]], ['2, k, 1', [-0.005815643, 0.2111181, 1.0]], ['2, k, 2', [-0.007584898, 0.5100504, 1.0]], ['2, k, 3', [-0.005119686, 0.6403266, 1.0]], ['2, k, 4', [-0.1674208, 0.3914988, 1.0]], ['2, k, 5', [-0.2774265, 0.1741239, 1.0]], ['2, k, 6', [-0.342676, -0.009035587, 1.0]], ['2, k, 7', [-0.3516283, -0.05587138, 1.0]], ['2, k, 8', [0.1575128, 0.3713045, 1.0]], ['2, k, 9', [0.2217933, 0.1571352, 1.0]], ['2, k, 10', [0.2393509, -0.04008359, 1.0]], ['2, k, 11', [0.237668, -0.09651759, 1.0]], ['2, k, 12', [-0.08146682, -0.0949429, 1.0]], ['2, k, 13', [-0.07973661, -0.4076495, 1.0]], ['2, k, 14', [-0.07934419, -0.6854003, 1.0]], ['2, k, 15', [-0.07774001, -0.7179533, 1.0]], ['2, k, 16', [0.07041966, -0.1007803, 1.0]], ['2, k, 17', [0.0762804, -0.3968553, 1.0]], ['2, k, 18', [0.07339184, -0.6763524, 1.0]], ['2, k, 19', [0.08528736, -0.7452495, 1.0]], ['2, k, 20', [-0.007098951, 0.4369734, 1.0]], ['2, k, 21', [-0.3842881, -0.1245175, 1.0]], ['2, k, 22', [-0.3614601, -0.09121492, 1.0]], ['2, k, 23', [0.2377988, -0.1528085, 1.0]], ['2, k, 24', [0.1959942, -0.0902065, 1.0]]]
[['2, k, 0', [-0.006000215, -0.09963772, 1.0]], ['2, k, 1', [-0.006613761, 0.2114161, 1.0]], ['2, k, 2', [-0.008399463, 0.5102972, 1.0]], ['2, k, 3', [-0.007467899, 0.6405076, 1.0]], ['2, k, 4', [-0.1691596, 0.3921369, 1.0]], ['2, k, 5', [-0.276645, 0.1733285, 1.0]], ['2, k, 6', [-0.3431126, -0.01189947, 1.0]], ['2, k, 7', [-0.352638, -0.05462149, 1.0]], ['2, k, 8', [0.1561906, 0.3714049, 1.0]], ['2, k, 9', [0.2231201, 0.1611983, 1.0]], ['2, k, 10', [0.2409587, -0.02982866, 1.0]], ['2, k, 11', [0.2370526, -0.08698975, 1.0]], ['2, k, 12', [-0.08196623, -0.09467239, 1.0]], ['2, k, 13', [-0.07955434, -0.4077431, 1.0]], ['2, k, 14', [-0.07970378, -0.6855813, 1.0]], ['2, k, 15', [-0.07884329, -0.718139, 1.0]], ['2, k, 16', [0.06985512, -0.1003997, 1.0]], ['2, k, 17', [0.07559446, -0.3947071, 1.0]], ['2, k, 18', [0.07350772, -0.6762365, 1.0]], ['2, k, 19', [0.08592224, -0.7450764, 1.0]], ['2, k, 20', [-0.007923008, 0.4372314, 1.0]], ['2, k, 21', [-0.3839342, -0.1227507, 1.0]], ['2, k, 22', [-0.3674712, -0.09862021, 1.0]], ['2, k, 23', [0.2402582, -0.142438, 1.0]], ['2, k, 24', [0.1955033, -0.08447228, 1.0]]]
[['2, k, 0', [-0.006351861, -0.09921362, 1.0]], ['2, k, 1', [-0.007233703, 0.211638, 1.0]], ['2, k, 2', [-0.009169268, 0.5103171, 1.0]], ['2, k, 3', [-0.009398825, 0.6408896, 1.0]], ['2, k, 4', [-0.1705458, 0.392238, 1.0]], ['2, k, 5', [-0.2769462, 0.1722504, 1.0]], ['2, k, 6', [-0.3434016, -0.01338903, 1.0]], ['2, k, 7', [-0.3654842, -0.08616202, 1.0]], ['2, k, 8', [0.1556171, 0.3721457, 1.0]], ['2, k, 9', [0.2234545, 0.1651645, 1.0]], ['2, k, 10', [0.2404071, -0.02266505, 1.0]], ['2, k, 11', [0.2354407, -0.07685593, 1.0]], ['2, k, 12', [-0.08220443, -0.09443787, 1.0]], ['2, k, 13', [-0.07959278, -0.4075825, 1.0]], ['2, k, 14', [-0.0792681, -0.6854587, 1.0]], ['2, k, 15', [-0.07900671, -0.7180235, 1.0]], ['2, k, 16', [0.06940912, -0.09981263, 1.0]], ['2, k, 17', [0.0748459, -0.3920902, 1.0]], ['2, k, 18', [0.07373077, -0.6759498, 1.0]], ['2, k, 19', [0.08592793, -0.7450987, 1.0]], ['2, k, 20', [-0.008658024, 0.4373015, 1.0]], ['2, k, 21', [-0.3910892, -0.149182, 1.0]], ['2, k, 22', [-0.3772509, -0.1287143, 1.0]], ['2, k, 23', [0.2322602, -0.1311927, 1.0]], ['2, k, 24', [0.1928206, -0.0787927, 1.0]]]
