[['2, k, 0', [-0.30545, -0.200873, 1.0]], ['2, k, 1', [-0.296022, 0.116038, 1.0]], ['2, k, 2', [-0.285065, 0.424218, 1.0]], ['2, k, 3', [-0.32279, 0.575414, 1.0]], ['2, k, 4', [-0.496958, 0.363804, 1.0]], ['2, k, 5', [-0.600755, 0.175179, 1.0]], ['2, k, 6', [-0.311813, 0.115015, 1.0]], ['2, k, 7', [-0.21634, 0.0952101, 1.0]], ['2, k, 8', [-0.104338, 0.329437, 1.0]], ['2, k, 9', [0.0889555, 0.164035, 1.0]], ['2, k, 10', [0.0324086, -0.0427039, 1.0]], ['2, k, 11', [-0.0486682, -0.0837145, 1.0]], ['2, k, 12', [-0.390565, -0.189915, 1.0]], ['2, k, 13', [-0.379725, -0.59245, 1.0]], ['2, k, 14', [-0.381645, -0.990695, 1.0]], ['2, k, 15', [-0.408447, -1.05664, 1.0]], ['2, k, 16', [-0.211435, -0.206037, 1.0]], ['2, k, 17', [-0.179829, -0.637293, 1.0]], ['2, k, 18', [-0.130666, -1.00775, 1.0]], ['2, k, 19', [-0.13562, -1.07129, 1.0]], ['2, k, 20', [-0.288077, 0.348452, 1.0]], ['2, k, 21', [-0.215459, 0.0948224, 1.0]], ['2, k, 22', [-0.21431, 0.0943167, 1.0]], ['2, k, 23', [-0.0759611, -0.159301, 1.0]], ['2, k, 24', [-0.0836559, -0.0636008, 1.0]]]
[['2, k, 0', [-0.305508, -0.200794, 1.0]], ['2, k, 1', [-0.296001, 0.116199, 1.0]], ['2, k, 2', [-0.284916, 0.424522, 1.0]], ['2, k, 3', [-0.32276, 0.575441, 1.0]], ['2, k, 4', [-0.497003, 0.363692, 1.0]], ['2, k, 5', [-0.599632, 0.173749, 1.0]], ['2, k, 6', [-0.522809, -0.0290609, 1.0]], ['2, k, 7', [-0.498096, -0.0963925, 1.0]], ['2, k, 8', [-0.104341, 0.329443, 1.0]], ['2, k, 9', [0.0889656, 0.164026, 1.0]], ['2, k, 10', [-0.00433663, -0.0559525, 1.0]], ['2, k, 11', [-0.0323917, -0.0663979, 1.0]], ['2, k, 12', [-0.390648, -0.189854, 1.0]], ['2, k, 13', [-0.379625, -0.592474, 1.0]], ['2, k, 14', [-0.381622, -0.991126, 1.0]], ['2, k, 15', [-0.408558, -1.05677, 1.0]], ['2, k, 16', [-0.211475, -0.20594, 1.0]], ['2, k, 17', [-0.179973, -0.637296, 1.0]], ['2, k, 18', [-0.130532, -1.00757, 1.0]], ['2, k, 19', [-0.135734, -1.07121, 1.0]], ['2, k, 20', [-0.287967, 0.348714, 1.0]], ['2, k, 21', [-0.496222, -0.0960298, 1.0]], ['2, k, 22', [-0.493777, -0.0955566, 1.0]], ['2, k, 23', [-0.0660305, -0.141731, 1.0]], ['2, k, 24', [-0.0561628, -0.037551, 1.0]]]
[['2, k, 0', [-0.305507, -0.200771, 1.0]], ['2, k, 1', [-0.295967, 0.116218, 1.0]], ['2, k, 2', [-0.284832, 0.42452, 1.0]], ['2, k, 3', [-0.322746, 0.575438, 1.0]], ['2, k, 4', [-0.497023, 0.363656, 1.0]], ['2, k, 5', [-0.598852, 0.172329, 1.0]], ['2, k, 6', [-0.520829, -0.0301789, 1.0]], ['2, k, 7', [-0.495716, -0.097412, 1.0]], ['2, k, 8', [-0.10433, 0.329458, 1.0]], ['2, k, 9', [0.0890195, 0.164027, 1.0]], ['2, k, 10', [0.0190311, -0.0372864, 1.0]], ['2, k, 11', [-0.0132511, -0.0469961, 1.0]], ['2, k, 12', [-0.390654, -0.189847, 1.0]], ['2, k, 13', [-0.379628, -0.592494, 1.0]], ['2, k, 14', [-0.381662, -0.99117, 1.0]], ['2, k, 15', [-0.409439, -1.05819, 1.0]], ['2, k, 16', [-0.211465, -0.205898, 1.0]], ['2, k, 17', [-0.179374, -0.634791, 1.0]], ['2, k, 18', [-0.130421, -1.00746, 1.0]], ['2, k, 19', [-0.135491, -1.07089, 1.0]], ['2, k, 20', [-0.287896, 0.348719, 1.0]], ['2, k, 21', [-0.49385, -0.0970453, 1.0]], ['2, k, 22', [-0.493159, -0.0958209, 1.0]], ['2, k, 23', [-0.0583258, -0.129343, 1.0]], ['2, k, 24', [-0.0608621, -0.0976578, 1.0]]]
[['2, k, 0', [-0.305625, -0.200712, 1.0]], ['2, k, 1', [-0.296021, 0.116286, 1.0]], ['2, k, 2', [-0.284843, 0.424597, 1.0]], ['2, k, 3', [-0.322725, 0.575452, 1.0]], ['2, k, 4', [-0.497064, 0.36362, 1.0]], ['2, k, 5', [-0.598396, 0.171348, 1.0]], ['2, k, 6', [-0.520083, -0.0311853, 1.0]], ['2, k, 7', [-0.494872, -0.098428, 1.0]], ['2, k, 8', [-0.104327, 0.32953, 1.0]], ['2, k, 9', [0.0891322, 0.163994, 1.0]], ['2, k, 10', [0.0189902, -0.0374113, 1.0]], ['2, k, 11', [-0.0119964, -0.0478866, 1.0]], ['2, k, 12', [-0.390823, -0.189811, 1.0]], ['2, k, 13', [-0.379623, -0.592499, 1.0]], ['2, k, 14', [-0.38229, -0.99302, 1.0]], ['2, k, 15', [-0.408812, -1.05827, 1.0]], ['2, k, 16', [-0.211546, -0.205824, 1.0]], ['2, k, 17', [-0.179266, -0.63357, 1.0]], ['2, k, 18', [-0.130346, -1.00742, 1.0]], ['2, k, 19', [-0.135245, -1.07074, 1.0]], ['2, k, 20', [-0.287917, 0.348794, 1.0]], ['2, k, 21', [-0.493009, -0.0980575, 1.0]], ['2, k, 22', [-0.492565, -0.0963201, 1.0]], ['2, k, 23', [-0.0583488, -0.129384, 1.0]], ['2, k, 24', [-0.0430567, -0.0311982, 1.0]]]
[['2, k, 0', [-0.305699, -0.20069, 1.0]], ['2, k, 1', [-0.296014, 0.116403, 1.0]], ['2, k, 2', [-0.284637, 0.424946, 1.0]], ['2, k, 3', [-0.3227, 0.575446, 1.0]], ['2, k, 4', [-0.497059, 0.363521, 1.0]], ['2, k, 5', [-0.598251, 0.1712, 1.0]], ['2, k, 6', [-0.519685, -0.0315118, 1.0]], ['2, k, 7', [-0.49439, -0.0988144, 1.0]], ['2, k, 8', [-0.104342, 0.329518, 1.0]], ['2, k, 9', [0.0890559, 0.163601, 1.0]], ['2, k, 10', [0.0188137, -0.0378624, 1.0]], ['2, k, 11', [-0.0122439, -0.0474444, 1.0]], ['2, k, 12', [-0.390937, -0.189791, 1.0]], ['2, k, 13', [-0.379529, -0.591963, 1.0]], ['2, k, 14', [-0.382308, -0.992981, 1.0]], ['2, k, 15', [-0.409316, -1.0578, 1.0]], ['2, k, 16', [-0.211591, -0.205801, 1.0]], ['2, k, 17', [-0.179164, -0.633206, 1.0]], ['2, k, 18', [-0.130345, -1.00742, 1.0]], ['2, k, 19', [-0.13517, -1.07065, 1.0]], ['2, k, 20', [-0.287777, 0.349073, 1.0]], ['2, k, 21', [-0.492528, -0.0984423, 1.0]], ['2, k, 22', [-0.49212, -0.0966367, 1.0]], ['2, k, 23', [-0.0566842, -0.130065, 1.0]], ['2, k, 24', [-0.0471402, -0.0340579, 1.0]]]
[['2, k, 0', [-0.305818, -0.200645, 1.0]], ['2, k, 1', [-0.296075, 0.11647, 1.0]], ['2, k, 2', [-0.284607, 0.425028, 1.0]], ['2, k, 3', [-0.322714, 0.575476, 1.0]], ['2, k, 4', [-0.496977, 0.363384, 1.0]], ['2, k, 5', [-0.598169, 0.171103, 1.0]], ['2, k, 6', [-0.519698, -0.0316515, 1.0]], ['2, k, 7', [-0.494434, -0.0989683, 1.0]], ['2, k, 8', [-0.104342, 0.329522, 1.0]], ['2, k, 9', [0.0891809, 0.163661, 1.0]], ['2, k, 10', [0.0177516, -0.0374086, 1.0]], ['2, k, 11', [-0.012061, -0.0457051, 1.0]], ['2, k, 12', [-0.391088, -0.18976, 1.0]], ['2, k, 13', [-0.379465, -0.592086, 1.0]], ['2, k, 14', [-0.382415, -0.992993, 1.0]], ['2, k, 15', [-0.408261, -1.05775, 1.0]], ['2, k, 16', [-0.211675, -0.205744, 1.0]], ['2, k, 17', [-0.179398, -0.633469, 1.0]], ['2, k, 18', [-0.130287, -1.00733, 1.0]], ['2, k, 19', [-0.135126, -1.07064, 1.0]], ['2, k, 20', [-0.287773, 0.349154, 1.0]], ['2, k, 21', [-0.492572, -0.0985956, 1.0]], ['2, k, 22', [-0.492138, -0.0967038, 1.0]], ['2, k, 23', [-0.0516039, -0.126963, 1.0]], ['2, k, 24', [-0.0522437, -0.035124, 1.0]]]
[['2, k, 0', [-0.306233, -0.198546, 1.0]], ['2, k, 1', [-0.296067, 0.117476, 1.0]], ['2, k, 2', [-0.284442, 0.425341, 1.0]], ['2, k, 3', [-0.32275, 0.575445, 1.0]], ['2, k, 4', [-0.497, 0.363327, 1.0]], ['2, k, 5', [-0.59891, 0.171564, 1.0]], ['2, k, 6', [-0.518524, -0.0309935, 1.0]], ['2, k, 7', [-0.492622, -0.0982448, 1.0]], ['2, k, 8', [-0.104347, 0.329575, 1.0]], ['2, k, 9', [0.0892484, 0.163699, 1.0]], ['2, k, 10', [0.0178085, -0.0374216, 1.0]], ['2, k, 11', [-0.0137163, -0.0481451, 1.0]], ['2, k, 12', [-0.391525, -0.187858, 1.0]], ['2, k, 13', [-0.379288, -0.591763, 1.0]], ['2, k, 14', [-0.382069, -0.992733, 1.0]], ['2, k, 15', [-0.40832, -1.05779, 1.0]], ['2, k, 16', [-0.212048, -0.203488, 1.0]], ['2, k, 17', [-0.179422, -0.63343, 1.0]], ['2, k, 18', [-0.130205, -1.0071, 1.0]], ['2, k, 19', [-0.135082, -1.07036, 1.0]], ['2, k, 20', [-0.287627, 0.349599, 1.0]], ['2, k, 21', [-0.490766, -0.0978746, 1.0]], ['2, k, 22', [-0.490349, -0.0967347, 1.0]], ['2, k, 23', [-0.0534847, -0.124565, 1.0]], ['2, k, 24', [-0.0471366, -0.0333342, 1.0]]]
[['2, k, 0', [-0.306304, -0.198619, 1.0]], ['2, k, 1', [-0.296218, 0.117441, 1.0]], ['2, k, 2', [-0.284673, 0.425305, 1.0]], ['2, k, 3', [-0.32275, 0.575411, 1.0]], ['2, k, 4', [-0.497061, 0.363216, 1.0]], ['2, k, 5', [-0.598947, 0.171176, 1.0]], ['2, k, 6', [-0.517192, -0.0310893, 1.0]], ['2, k, 7', [-0.490834, -0.0982438, 1.0]], ['2, k, 8', [-0.104343, 0.32961, 1.0]], ['2, k, 9', [0.0892165, 0.163844, 1.0]], ['2, k, 10', [0.0177213, -0.0371574, 1.0]], ['2, k, 11', [-0.0131656, -0.0461894, 1.0]], ['2, k, 12', [-0.391659, -0.188017, 1.0]], ['2, k, 13', [-0.379091, -0.592827, 1.0]], ['2, k, 14', [-0.38232, -0.994446, 1.0]], ['2, k, 15', [-0.408242, -1.05741, 1.0]], ['2, k, 16', [-0.212072, -0.203507, 1.0]], ['2, k, 17', [-0.179466, -0.63344, 1.0]], ['2, k, 18', [-0.130194, -1.00708, 1.0]], ['2, k, 19', [-0.135069, -1.07049, 1.0]], ['2, k, 20', [-0.287837, 0.349569, 1.0]], ['2, k, 21', [-0.488984, -0.0978735, 1.0]], ['2, k, 22', [-0.487947, -0.0970574, 1.0]], ['2, k, 23', [-0.0500977, -0.120508, 1.0]], ['2, k, 24', [-0.0503478, -0.0326846, 1.0]]]
[['2, k, 0', [-0.306397, -0.198728, 1.0]], ['2, k, 1', [-0.296256, 0.117434, 1.0]], ['2, k, 2', [-0.284685, 0.425399, 1.0]], ['2, k, 3', [-0.322708, 0.575143, 1.0]], ['2, k, 4', [-0.497167, 0.362997, 1.0]], ['2, k, 5', [-0.598999, 0.170988, 1.0]], ['2, k, 6', [-0.516042, -0.030993, 1.0]], ['2, k, 7', [-0.489284, -0.0980535, 1.0]], ['2, k, 8', [-0.104363, 0.329621, 1.0]], ['2, k, 9', [0.0893554, 0.163827, 1.0]], ['2, k, 10', [0.017846, -0.0371046, 1.0]], ['2, k, 11', [-0.0121894, -0.0452284, 1.0]], ['2, k, 12', [-0.39178, -0.188177, 1.0]], ['2, k, 13', [-0.379083, -0.592627, 1.0]], ['2, k, 14', [-0.382504, -0.994729, 1.0]], ['2, k, 15', [-0.408465, -1.05783, 1.0]], ['2, k, 16', [-0.21216, -0.203596, 1.0]], ['2, k, 17', [-0.179482, -0.6333, 1.0]], ['2, k, 18', [-0.130189, -1.00709, 1.0]], ['2, k, 19', [-0.13515, -1.07042, 1.0]], ['2, k, 20', [-0.287861, 0.34963, 1.0]], ['2, k, 21', [-0.487439, -0.0976838, 1.0]], ['2, k, 22', [-0.485941, -0.0970485, 1.0]], ['2, k, 23', [-0.0461499, -0.119545, 1.0]], ['2, k, 24', [0.00881256, -0.0626878, 1.0]]]
[['2, k, 0', [-0.306894, -0.198765, 1.0]], ['2, k, 1', [-0.296521, 0.117414, 1.0]], ['2, k, 2', [-0.284862, 0.425343, 1.0]], ['2, k, 3', [-0.322762, 0.575129, 1.0]], ['2, k, 4', [-0.497392, 0.362872, 1.0]], ['2, k, 5', [-0.598985, 0.170965, 1.0]], ['2, k, 6', [-0.516035, -0.0309222, 1.0]], ['2, k, 7', [-0.48928, -0.0979512, 1.0]], ['2, k, 8', [-0.104411, 0.329607, 1.0]], ['2, k, 9', [0.0893477, 0.163863, 1.0]], ['2, k, 10', [0.0175461, -0.03705, 1.0]], ['2, k, 11', [-0.0363593, -0.0654568, 1.0]], ['2, k, 12', [-0.392501, -0.188984, 1.0]], ['2, k, 13', [-0.378949, -0.592399, 1.0]], ['2, k, 14', [-0.382471, -0.994618, 1.0]], ['2, k, 15', [-0.409228, -1.0578, 1.0]], ['2, k, 16', [-0.212807, -0.202967, 1.0]], ['2, k, 17', [-0.180012, -0.633354, 1.0]], ['2, k, 18', [-0.130162, -1.00706, 1.0]], ['2, k, 19', [-0.135208, -1.07005, 1.0]], ['2, k, 20', [-0.288055, 0.34959, 1.0]], ['2, k, 21', [-0.487435, -0.097582, 1.0]], ['2, k, 22', [-0.486737, -0.0968389, 1.0]], ['2, k, 23', [-0.0722062, -0.157636, 1.0]], ['2, k, 24', [0.00610128, -0.0645119, 1.0]]]
[['2, k, 0', [-0.307145, -0.198919, 1.0]], ['2, k, 1', [-0.296719, 0.11727, 1.0]], ['2, k, 2', [-0.284932, 0.425148, 1.0]], ['2, k, 3', [-0.322946, 0.575031, 1.0]], ['2, k, 4', [-0.497459, 0.362608, 1.0]], ['2, k, 5', [-0.599042, 0.170803, 1.0]], ['2, k, 6', [-0.515745, -0.0308557, 1.0]], ['2, k, 7', [-0.488873, -0.0978086, 1.0]], ['2, k, 8', [-0.104456, 0.329561, 1.0]], ['2, k, 9', [0.0892992, 0.163669, 1.0]], ['2, k, 10', [0.0171225, -0.0371457, 1.0]], ['2, k, 11', [-0.036301, -0.0643171, 1.0]], ['2, k, 12', [-0.392867, -0.189566, 1.0]], ['2, k, 13', [-0.378907, -0.592423, 1.0]], ['2, k, 14', [-0.382465, -0.994451, 1.0]], ['2, k, 15', [-0.408615, -1.05802, 1.0]], ['2, k, 16', [-0.212991, -0.202887, 1.0]], ['2, k, 17', [-0.178561, -0.640592, 1.0]], ['2, k, 18', [-0.130158, -1.00703, 1.0]], ['2, k, 19', [-0.135263, -1.06997, 1.0]], ['2, k, 20', [-0.288168, 0.349414, 1.0]], ['2, k, 21', [-0.487031, -0.09744, 1.0]], ['2, k, 22', [-0.486554, -0.0967245, 1.0]], ['2, k, 23', [-0.0651512, -0.150568, 1.0]], ['2, k, 24', [-0.000178712, -0.0673522, 1.0]]]
