[['2, k, 0', [-0.179335, -0.330881, 1.0]], ['2, k, 1', [-0.175102, -0.0411708, 1.0]], ['2, k, 2', [-0.16995, 0.242304, 1.0]], ['2, k, 3', [-0.170194, 0.360436, 1.0]], ['2, k, 4', [-0.344879, 0.15461, 1.0]], ['2, k, 5', [-0.404741, 0.0220453, 1.0]], ['2, k, 6', [-0.452045, -0.0658461, 1.0]], ['2, k, 7', [-0.471599, -0.0954748, 1.0]], ['2, k, 8', [-0.00797819, 0.149415, 1.0]], ['2, k, 9', [0.0801222, 0.0324702, 1.0]], ['2, k, 10', [0.11202, -0.0817669, 1.0]], ['2, k, 11', [0.129015, -0.0829921, 1.0]], ['2, k, 12', [-0.253633, -0.325298, 1.0]], ['2, k, 13', [-0.324586, -0.621633, 1.0]], ['2, k, 14', [-0.312924, -0.749436, 1.0]], ['2, k, 15', [-0.31539, -0.864959, 1.0]], ['2, k, 16', [-0.100295, -0.327738, 1.0]], ['2, k, 17', [-0.0527482, -0.625834, 1.0]], ['2, k, 18', [-0.0401986, -0.748973, 1.0]], ['2, k, 19', [-0.0296109, -0.863846, 1.0]], ['2, k, 20', [-0.171402, 0.172364, 1.0]], ['2, k, 21', [-0.47525, -0.104891, 1.0]], ['2, k, 22', [-0.513625, -0.0860506, 1.0]], ['2, k, 23', [0.14042, -0.0858784, 1.0]], ['2, k, 24', [0.188714, -0.0675205, 1.0]]]
[['2, k, 0', [-0.174763, -0.328971, 1.0]], ['2, k, 1', [-0.174709, -0.040901, 1.0]], ['2, k, 2', [-0.170226, 0.242173, 1.0]], ['2, k, 3', [-0.170448, 0.359318, 1.0]], ['2, k, 4', [-0.344937, 0.154159, 1.0]], ['2, k, 5', [-0.404729, 0.0218969, 1.0]], ['2, k, 6', [-0.418407, -0.0611113, 1.0]], ['2, k, 7', [-0.466926, -0.1055, 1.0]], ['2, k, 8', [-0.00824168, 0.149566, 1.0]], ['2, k, 9', [0.0796889, 0.0272245, 1.0]], ['2, k, 10', [0.0987156, -0.0510768, 1.0]], ['2, k, 11', [0.124865, -0.0889809, 1.0]], ['2, k, 12', [-0.249019, -0.324315, 1.0]], ['2, k, 13', [-0.290489, -0.639076, 1.0]], ['2, k, 14', [-0.343941, -0.898149, 1.0]], ['2, k, 15', [-0.319343, -0.951032, 1.0]], ['2, k, 16', [-0.0958624, -0.324953, 1.0]], ['2, k, 17', [-0.0107442, -0.677699, 1.0]], ['2, k, 18', [-0.112858, -0.932768, 1.0]], ['2, k, 19', [-0.0316398, -1.00672, 1.0]], ['2, k, 20', [-0.171667, 0.172254, 1.0]], ['2, k, 21', [-0.480343, -0.114545, 1.0]], ['2, k, 22', [-0.515395, -0.095961, 1.0]], ['2, k, 23', [0.147949, -0.0964066, 1.0]], ['2, k, 24', [0.183041, -0.0630102, 1.0]]]
[['2, k, 0', [-0.174095, -0.327509, 1.0]], ['2, k, 1', [-0.174095, -0.0417718, 1.0]], ['2, k, 2', [-0.170638, 0.240137, 1.0]], ['2, k, 3', [-0.170884, 0.354514, 1.0]], ['2, k, 4', [-0.344436, 0.152519, 1.0]], ['2, k, 5', [-0.404584, 0.0207664, 1.0]], ['2, k, 6', [-0.418386, -0.0617684, 1.0]], ['2, k, 7', [-0.467104, -0.115231, 1.0]], ['2, k, 8', [-0.00825747, 0.149507, 1.0]], ['2, k, 9', [0.0789889, 0.0281351, 1.0]], ['2, k, 10', [0.11565, -0.0502106, 1.0]], ['2, k, 11', [0.130698, -0.0945106, 1.0]], ['2, k, 12', [-0.248445, -0.323338, 1.0]], ['2, k, 13', [-0.281077, -0.588558, 1.0]], ['2, k, 14', [-0.33584, -0.858497, 1.0]], ['2, k, 15', [-0.332638, -0.967497, 1.0]], ['2, k, 16', [-0.0951238, -0.322988, 1.0]], ['2, k, 17', [-0.0609401, -0.585785, 1.0]], ['2, k, 18', [-0.0293888, -0.857992, 1.0]], ['2, k, 19', [-0.0195314, -0.970636, 1.0]], ['2, k, 20', [-0.171884, 0.170405, 1.0]], ['2, k, 21', [-0.481989, -0.125534, 1.0]], ['2, k, 22', [-0.400758, -0.120181, 1.0]], ['2, k, 23', [0.145096, -0.103209, 1.0]], ['2, k, 24', [0.173739, -0.0659715, 1.0]]]
[['2, k, 0', [-0.174112, -0.327424, 1.0]], ['2, k, 1', [-0.174714, -0.0429901, 1.0]], ['2, k, 2', [-0.172922, 0.236147, 1.0]], ['2, k, 3', [-0.172528, 0.350217, 1.0]], ['2, k, 4', [-0.344937, 0.15135, 1.0]], ['2, k, 5', [-0.404575, 0.019312, 1.0]], ['2, k, 6', [-0.469266, -0.0806357, 1.0]], ['2, k, 7', [-0.474603, -0.123842, 1.0]], ['2, k, 8', [-0.00833606, 0.148989, 1.0]], ['2, k, 9', [0.0782603, 0.0287546, 1.0]], ['2, k, 10', [0.113092, -0.0633631, 1.0]], ['2, k, 11', [0.134678, -0.102352, 1.0]], ['2, k, 12', [-0.248457, -0.323283, 1.0]], ['2, k, 13', [-0.2806, -0.579575, 1.0]], ['2, k, 14', [-0.337889, -0.850928, 1.0]], ['2, k, 15', [-0.332579, -0.960252, 1.0]], ['2, k, 16', [-0.0951611, -0.322914, 1.0]], ['2, k, 17', [-0.0609208, -0.586916, 1.0]], ['2, k, 18', [-0.029213, -0.861579, 1.0]], ['2, k, 19', [-0.0157037, -0.974729, 1.0]], ['2, k, 20', [-0.173685, 0.167149, 1.0]], ['2, k, 21', [-0.471133, -0.133302, 1.0]], ['2, k, 22', [-0.415393, -0.130651, 1.0]], ['2, k, 23', [0.146696, -0.110505, 1.0]], ['2, k, 24', [0.186475, -0.0755222, 1.0]]]
[['2, k, 0', [-0.174144, -0.327624, 1.0]], ['2, k, 1', [-0.17484, -0.0442858, 1.0]], ['2, k, 2', [-0.173452, 0.233512, 1.0]], ['2, k, 3', [-0.174024, 0.345859, 1.0]], ['2, k, 4', [-0.346111, 0.148766, 1.0]], ['2, k, 5', [-0.404716, 0.017387, 1.0]], ['2, k, 6', [-0.469968, -0.0819539, 1.0]], ['2, k, 7', [-0.473608, -0.133457, 1.0]], ['2, k, 8', [-0.00912776, 0.147419, 1.0]], ['2, k, 9', [0.0764724, 0.0275824, 1.0]], ['2, k, 10', [0.113269, -0.0620725, 1.0]], ['2, k, 11', [0.139565, -0.108583, 1.0]], ['2, k, 12', [-0.248478, -0.323495, 1.0]], ['2, k, 13', [-0.281204, -0.579102, 1.0]], ['2, k, 14', [-0.336708, -0.852433, 1.0]], ['2, k, 15', [-0.330698, -0.960922, 1.0]], ['2, k, 16', [-0.0952161, -0.323122, 1.0]], ['2, k, 17', [-0.0615859, -0.585787, 1.0]], ['2, k, 18', [-0.0287212, -0.861607, 1.0]], ['2, k, 19', [-0.0148283, -0.974802, 1.0]], ['2, k, 20', [-0.174083, 0.164821, 1.0]], ['2, k, 21', [-0.47032, -0.146992, 1.0]], ['2, k, 22', [-0.417831, -0.137225, 1.0]], ['2, k, 23', [0.149192, -0.120195, 1.0]], ['2, k, 24', [0.187412, -0.0881642, 1.0]]]
[['2, k, 0', [-0.174291, -0.327789, 1.0]], ['2, k, 1', [-0.175193, -0.0454322, 1.0]], ['2, k, 2', [-0.174165, 0.230873, 1.0]], ['2, k, 3', [-0.176056, 0.34158, 1.0]], ['2, k, 4', [-0.347082, 0.146718, 1.0]], ['2, k, 5', [-0.40568, 0.01325, 1.0]], ['2, k, 6', [-0.470867, -0.083964, 1.0]], ['2, k, 7', [-0.475465, -0.140851, 1.0]], ['2, k, 8', [-0.0100103, 0.146651, 1.0]], ['2, k, 9', [0.0760728, 0.026939, 1.0]], ['2, k, 10', [0.113554, -0.0630315, 1.0]], ['2, k, 11', [0.140031, -0.116446, 1.0]], ['2, k, 12', [-0.248638, -0.323738, 1.0]], ['2, k, 13', [-0.281146, -0.578547, 1.0]], ['2, k, 14', [-0.336464, -0.852587, 1.0]], ['2, k, 15', [-0.329935, -0.960322, 1.0]], ['2, k, 16', [-0.0953638, -0.323244, 1.0]], ['2, k, 17', [-0.06164, -0.585452, 1.0]], ['2, k, 18', [-0.0355655, -0.861668, 1.0]], ['2, k, 19', [-0.0167482, -0.973654, 1.0]], ['2, k, 20', [-0.174679, 0.162603, 1.0]], ['2, k, 21', [-0.469137, -0.152745, 1.0]], ['2, k, 22', [-0.412272, -0.146666, 1.0]], ['2, k, 23', [0.152496, -0.124627, 1.0]], ['2, k, 24', [0.187586, -0.0943635, 1.0]]]
[['2, k, 0', [-0.174498, -0.328299, 1.0]], ['2, k, 1', [-0.17568, -0.0472468, 1.0]], ['2, k, 2', [-0.175257, 0.227177, 1.0]], ['2, k, 3', [-0.177459, 0.337432, 1.0]], ['2, k, 4', [-0.348364, 0.144756, 1.0]], ['2, k, 5', [-0.407567, 0.00652599, 1.0]], ['2, k, 6', [-0.472852, -0.0887161, 1.0]], ['2, k, 7', [-0.475026, -0.148599, 1.0]], ['2, k, 8', [-0.011031, 0.145622, 1.0]], ['2, k, 9', [0.0756167, 0.0263371, 1.0]], ['2, k, 10', [0.119825, -0.0652016, 1.0]], ['2, k, 11', [0.141631, -0.122524, 1.0]], ['2, k, 12', [-0.248854, -0.324359, 1.0]], ['2, k, 13', [-0.281289, -0.578351, 1.0]], ['2, k, 14', [-0.335696, -0.854527, 1.0]], ['2, k, 15', [-0.329966, -0.962922, 1.0]], ['2, k, 16', [-0.0955731, -0.323672, 1.0]], ['2, k, 17', [-0.0621139, -0.587825, 1.0]], ['2, k, 18', [-0.032416, -0.864037, 1.0]], ['2, k, 19', [-0.0214274, -0.976753, 1.0]], ['2, k, 20', [-0.17559, 0.159397, 1.0]], ['2, k, 21', [-0.474255, -0.159484, 1.0]], ['2, k, 22', [-0.414939, -0.153501, 1.0]], ['2, k, 23', [0.156409, -0.131897, 1.0]], ['2, k, 24', [0.192154, -0.102553, 1.0]]]
[['2, k, 0', [-0.174807, -0.32866, 1.0]], ['2, k, 1', [-0.176201, -0.0481929, 1.0]], ['2, k, 2', [-0.176437, 0.225125, 1.0]], ['2, k, 3', [-0.179111, 0.33383, 1.0]], ['2, k, 4', [-0.349317, 0.14255, 1.0]], ['2, k, 5', [-0.408037, 0.00364462, 1.0]], ['2, k, 6', [-0.473731, -0.0916741, 1.0]], ['2, k, 7', [-0.475073, -0.155539, 1.0]], ['2, k, 8', [-0.0126947, 0.143654, 1.0]], ['2, k, 9', [0.0738794, 0.024518, 1.0]], ['2, k, 10', [0.120682, -0.066631, 1.0]], ['2, k, 11', [0.142096, -0.130699, 1.0]], ['2, k, 12', [-0.24918, -0.324767, 1.0]], ['2, k, 13', [-0.283602, -0.58574, 1.0]], ['2, k, 14', [-0.337019, -0.86134, 1.0]], ['2, k, 15', [-0.325878, -0.9695, 1.0]], ['2, k, 16', [-0.0958712, -0.324001, 1.0]], ['2, k, 17', [-0.0618752, -0.590493, 1.0]], ['2, k, 18', [-0.0313419, -0.866348, 1.0]], ['2, k, 19', [-0.0186137, -0.978844, 1.0]], ['2, k, 20', [-0.176587, 0.157639, 1.0]], ['2, k, 21', [-0.476758, -0.16826, 1.0]], ['2, k, 22', [-0.413847, -0.159449, 1.0]], ['2, k, 23', [0.152299, -0.140383, 1.0]], ['2, k, 24', [0.191819, -0.115864, 1.0]]]
[['2, k, 0', [-0.175316, -0.329152, 1.0]], ['2, k, 1', [-0.17699, -0.0493844, 1.0]], ['2, k, 2', [-0.178011, 0.222696, 1.0]], ['2, k, 3', [-0.180095, 0.329672, 1.0]], ['2, k, 4', [-0.350804, 0.13877, 1.0]], ['2, k, 5', [-0.408504, 0.00140034, 1.0]], ['2, k, 6', [-0.475436, -0.0953449, 1.0]], ['2, k, 7', [-0.475799, -0.162858, 1.0]], ['2, k, 8', [-0.0139096, 0.141604, 1.0]], ['2, k, 9', [0.0729031, 0.0221947, 1.0]], ['2, k, 10', [0.121541, -0.0692808, 1.0]], ['2, k, 11', [0.141731, -0.138672, 1.0]], ['2, k, 12', [-0.249666, -0.325351, 1.0]], ['2, k, 13', [-0.284114, -0.588766, 1.0]], ['2, k, 14', [-0.336797, -0.863335, 1.0]], ['2, k, 15', [-0.329025, -0.970076, 1.0]], ['2, k, 16', [-0.0964077, -0.324406, 1.0]], ['2, k, 17', [-0.0610737, -0.596029, 1.0]], ['2, k, 18', [-0.027836, -0.872629, 1.0]], ['2, k, 19', [-0.0121346, -0.974235, 1.0]], ['2, k, 20', [-0.17795, 0.155539, 1.0]], ['2, k, 21', [-0.475197, -0.174528, 1.0]], ['2, k, 22', [-0.41457, -0.165255, 1.0]], ['2, k, 23', [0.146491, -0.151765, 1.0]], ['2, k, 24', [0.193746, -0.12407, 1.0]]]
[['2, k, 0', [-0.176312, -0.332183, 1.0]], ['2, k, 1', [-0.178314, -0.0533188, 1.0]], ['2, k, 2', [-0.180049, 0.217005, 1.0]], ['2, k, 3', [-0.181822, 0.323996, 1.0]], ['2, k, 4', [-0.352089, 0.133597, 1.0]], ['2, k, 5', [-0.409537, -0.00462766, 1.0]], ['2, k, 6', [-0.47779, -0.100531, 1.0]], ['2, k, 7', [-0.477809, -0.171294, 1.0]], ['2, k, 8', [-0.0155454, 0.138738, 1.0]], ['2, k, 9', [0.0699607, 0.0121957, 1.0]], ['2, k, 10', [0.1057, -0.0879468, 1.0]], ['2, k, 11', [0.137294, -0.148309, 1.0]], ['2, k, 12', [-0.250559, -0.328881, 1.0]], ['2, k, 13', [-0.286754, -0.595759, 1.0]], ['2, k, 14', [-0.338276, -0.867304, 1.0]], ['2, k, 15', [-0.317782, -0.937796, 1.0]], ['2, k, 16', [-0.0974939, -0.326934, 1.0]], ['2, k, 17', [-0.0589742, -0.604067, 1.0]], ['2, k, 18', [-0.0247646, -0.890434, 1.0]], ['2, k, 19', [-0.00463823, -0.993105, 1.0]], ['2, k, 20', [-0.179787, 0.150329, 1.0]], ['2, k, 21', [-0.476608, -0.18235, 1.0]], ['2, k, 22', [-0.41257, -0.17555, 1.0]], ['2, k, 23', [0.160523, -0.157652, 1.0]], ['2, k, 24', [0.187983, -0.126071, 1.0]]]
[['2, k, 0', [-0.176743, -0.336739, 1.0]], ['2, k, 1', [-0.179789, -0.0606398, 1.0]], ['2, k, 2', [-0.182568, 0.207345, 1.0]], ['2, k, 3', [-0.183563, 0.315056, 1.0]], ['2, k, 4', [-0.352995, 0.124221, 1.0]], ['2, k, 5', [-0.41072, -0.0105554, 1.0]], ['2, k, 6', [-0.480078, -0.105213, 1.0]], ['2, k, 7', [-0.475734, -0.181898, 1.0]], ['2, k, 8', [-0.0174722, 0.129033, 1.0]], ['2, k, 9', [0.0689668, 0.00371649, 1.0]], ['2, k, 10', [0.105433, -0.0928156, 1.0]], ['2, k, 11', [0.135003, -0.160223, 1.0]], ['2, k, 12', [-0.251237, -0.333994, 1.0]], ['2, k, 13', [-0.289347, -0.597978, 1.0]], ['2, k, 14', [-0.335835, -0.865272, 1.0]], ['2, k, 15', [-0.330798, -0.974884, 1.0]], ['2, k, 16', [-0.0976998, -0.330859, 1.0]], ['2, k, 17', [-0.0554671, -0.610327, 1.0]], ['2, k, 18', [-0.0210588, -0.883398, 1.0]], ['2, k, 19', [-0.00206807, -0.990211, 1.0]], ['2, k, 20', [-0.182036, 0.141233, 1.0]], ['2, k, 21', [-0.467231, -0.194021, 1.0]], ['2, k, 22', [-0.401706, -0.184296, 1.0]], ['2, k, 23', [0.156991, -0.169995, 1.0]], ['2, k, 24', [0.184325, -0.135996, 1.0]]]
