[['2, k, 0', [-0.197237, -0.436064, 1.0]], ['2, k, 1', [-0.200451, -0.134394, 1.0]], ['2, k, 2', [-0.202289, 0.160704, 1.0]], ['2, k, 3', [-0.206346, 0.288295, 1.0]], ['2, k, 4', [-0.337182, 0.0857952, 1.0]], ['2, k, 5', [-0.439121, 0.0249627, 1.0]], ['2, k, 6', [-0.376215, -0.00262719, 1.0]], ['2, k, 7', [-0.342023, -0.0193744, 1.0]], ['2, k, 8', [-0.0453039, 0.0782351, 1.0]], ['2, k, 9', [0.0653412, 0.0455775, 1.0]], ['2, k, 10', [0.0739484, 0.0113373, 1.0]], ['2, k, 11', [0.112189, -0.00192781, 1.0]], ['2, k, 12', [-0.26088, -0.428011, 1.0]], ['2, k, 13', [-0.257941, -0.6699, 1.0]], ['2, k, 14', [-0.269549, -1.0594, 1.0]], ['2, k, 15', [-0.265625, -1.13086, 1.0]], ['2, k, 16', [-0.127872, -0.431469, 1.0]], ['2, k, 17', [-0.0607896, -0.686863, 1.0]], ['2, k, 18', [-0.0490618, -1.07237, 1.0]], ['2, k, 19', [-0.0382385, -1.13184, 1.0]], ['2, k, 20', [-0.202066, 0.0878947, 1.0]], ['2, k, 21', [-0.281041, -0.0193458, 1.0]], ['2, k, 22', [-0.297162, -0.00912481, 1.0]], ['2, k, 23', [0.14084, -0.00317254, 1.0]], ['2, k, 24', [0.169196, 0.00371748, 1.0]]]
[['2, k, 0', [-0.175899, -0.429996, 1.0]], ['2, k, 1', [-0.192986, -0.132405, 1.0]], ['2, k, 2', [-0.201978, 0.160682, 1.0]], ['2, k, 3', [-0.206239, 0.288176, 1.0]], ['2, k, 4', [-0.336861, 0.0850979, 1.0]], ['2, k, 5', [-0.438376, 0.0248805, 1.0]], ['2, k, 6', [-0.456914, -0.0201533, 1.0]], ['2, k, 7', [-0.482723, -0.0177071, 1.0]], ['2, k, 8', [-0.045301, 0.0782216, 1.0]], ['2, k, 9', [0.0654885, 0.0454078, 1.0]], ['2, k, 10', [0.119851, 0.00759554, 1.0]], ['2, k, 11', [0.129181, 0.00495989, 1.0]], ['2, k, 12', [-0.239815, -0.423278, 1.0]], ['2, k, 13', [-0.258455, -0.667435, 1.0]], ['2, k, 14', [-0.272427, -1.04768, 1.0]], ['2, k, 15', [-0.269114, -1.12605, 1.0]], ['2, k, 16', [-0.106817, -0.424081, 1.0]], ['2, k, 17', [-0.059212, -0.677579, 1.0]], ['2, k, 18', [-0.0492151, -1.05904, 1.0]], ['2, k, 19', [-0.040071, -1.11759, 1.0]], ['2, k, 20', [-0.200888, 0.0880702, 1.0]], ['2, k, 21', [-0.492789, -0.0194859, 1.0]], ['2, k, 22', [-0.40526, -0.0176477, 1.0]], ['2, k, 23', [0.14627, 0.00338367, 1.0]], ['2, k, 24', [0.177252, 0.0140092, 1.0]]]
[['2, k, 0', [-0.17252, -0.423815, 1.0]], ['2, k, 1', [-0.190478, -0.127777, 1.0]], ['2, k, 2', [-0.202337, 0.161238, 1.0]], ['2, k, 3', [-0.206313, 0.288601, 1.0]], ['2, k, 4', [-0.336803, 0.0851036, 1.0]], ['2, k, 5', [-0.438122, 0.0247236, 1.0]], ['2, k, 6', [-0.455989, -0.0171633, 1.0]], ['2, k, 7', [-0.470894, -0.0160474, 1.0]], ['2, k, 8', [-0.0440537, 0.0775478, 1.0]], ['2, k, 9', [0.0710122, 0.0438764, 1.0]], ['2, k, 10', [0.0771936, 0.0228289, 1.0]], ['2, k, 11', [0.125139, 0.00970168, 1.0]], ['2, k, 12', [-0.236137, -0.415636, 1.0]], ['2, k, 13', [-0.263519, -0.731056, 1.0]], ['2, k, 14', [-0.271304, -1.06862, 1.0]], ['2, k, 15', [-0.268843, -1.12621, 1.0]], ['2, k, 16', [-0.103853, -0.419398, 1.0]], ['2, k, 17', [-0.0605905, -0.739768, 1.0]], ['2, k, 18', [-0.0477677, -1.06178, 1.0]], ['2, k, 19', [-0.0423341, -1.12272, 1.0]], ['2, k, 20', [-0.200822, 0.0895298, 1.0]], ['2, k, 21', [-0.483438, -0.0161295, 1.0]], ['2, k, 22', [-0.397663, -0.0156771, 1.0]], ['2, k, 23', [0.14783, 0.0119754, 1.0]], ['2, k, 24', [0.171128, 0.0136872, 1.0]]]
[['2, k, 0', [-0.171189, -0.423786, 1.0]], ['2, k, 1', [-0.189819, -0.127361, 1.0]], ['2, k, 2', [-0.203326, 0.162079, 1.0]], ['2, k, 3', [-0.206292, 0.288886, 1.0]], ['2, k, 4', [-0.336309, 0.084496, 1.0]], ['2, k, 5', [-0.430213, 0.0205277, 1.0]], ['2, k, 6', [-0.45283, -0.015477, 1.0]], ['2, k, 7', [-0.459352, -0.0127063, 1.0]], ['2, k, 8', [-0.0429963, 0.0771671, 1.0]], ['2, k, 9', [0.0863729, 0.0410626, 1.0]], ['2, k, 10', [0.0829862, 0.0209342, 1.0]], ['2, k, 11', [0.153131, 0.0170233, 1.0]], ['2, k, 12', [-0.234877, -0.415739, 1.0]], ['2, k, 13', [-0.264228, -0.738884, 1.0]], ['2, k, 14', [-0.271045, -1.06945, 1.0]], ['2, k, 15', [-0.269024, -1.12618, 1.0]], ['2, k, 16', [-0.102464, -0.419297, 1.0]], ['2, k, 17', [-0.0586325, -0.754312, 1.0]], ['2, k, 18', [-0.0472893, -1.06213, 1.0]], ['2, k, 19', [-0.0424881, -1.12281, 1.0]], ['2, k, 20', [-0.201232, 0.0904137, 1.0]], ['2, k, 21', [-0.46497, -0.0130672, 1.0]], ['2, k, 22', [-0.393719, -0.0118188, 1.0]], ['2, k, 23', [0.185497, 0.0191128, 1.0]], ['2, k, 24', [0.194851, 0.0152701, 1.0]]]
[['2, k, 0', [-0.170231, -0.423708, 1.0]], ['2, k, 1', [-0.189356, -0.127086, 1.0]], ['2, k, 2', [-0.204464, 0.16257, 1.0]], ['2, k, 3', [-0.206262, 0.289504, 1.0]], ['2, k, 4', [-0.33577, 0.0840081, 1.0]], ['2, k, 5', [-0.424191, 0.0203153, 1.0]], ['2, k, 6', [-0.41173, -0.00108294, 1.0]], ['2, k, 7', [-0.441305, -0.0102079, 1.0]], ['2, k, 8', [-0.0420128, 0.0767684, 1.0]], ['2, k, 9', [0.0759849, 0.0480856, 1.0]], ['2, k, 10', [0.0853422, 0.018345, 1.0]], ['2, k, 11', [0.165297, 0.0226788, 1.0]], ['2, k, 12', [-0.233862, -0.415735, 1.0]], ['2, k, 13', [-0.263772, -0.738501, 1.0]], ['2, k, 14', [-0.270682, -1.07202, 1.0]], ['2, k, 15', [-0.268595, -1.12615, 1.0]], ['2, k, 16', [-0.101557, -0.419194, 1.0]], ['2, k, 17', [-0.0585257, -0.754144, 1.0]], ['2, k, 18', [-0.0468491, -1.06322, 1.0]], ['2, k, 19', [-0.04256, -1.12256, 1.0]], ['2, k, 20', [-0.201823, 0.09095, 1.0]], ['2, k, 21', [-0.457287, -0.0114461, 1.0]], ['2, k, 22', [-0.375351, -0.00772721, 1.0]], ['2, k, 23', [0.197027, 0.0225196, 1.0]], ['2, k, 24', [0.190355, 0.0521118, 1.0]]]
[['2, k, 0', [-0.16886, -0.423224, 1.0]], ['2, k, 1', [-0.188584, -0.126518, 1.0]], ['2, k, 2', [-0.204799, 0.163049, 1.0]], ['2, k, 3', [-0.206177, 0.289965, 1.0]], ['2, k, 4', [-0.335329, 0.0842702, 1.0]], ['2, k, 5', [-0.39914, 0.0305039, 1.0]], ['2, k, 6', [-0.405443, 0.00347948, 1.0]], ['2, k, 7', [-0.421502, -0.00765924, 1.0]], ['2, k, 8', [-0.0413834, 0.0768073, 1.0]], ['2, k, 9', [0.110108, 0.0482924, 1.0]], ['2, k, 10', [0.128519, 0.0289467, 1.0]], ['2, k, 11', [0.186216, 0.0278768, 1.0]], ['2, k, 12', [-0.232266, -0.415111, 1.0]], ['2, k, 13', [-0.263993, -0.738023, 1.0]], ['2, k, 14', [-0.269882, -1.0724, 1.0]], ['2, k, 15', [-0.269302, -1.12581, 1.0]], ['2, k, 16', [-0.10035, -0.41883, 1.0]], ['2, k, 17', [-0.058512, -0.754302, 1.0]], ['2, k, 18', [-0.0462915, -1.06773, 1.0]], ['2, k, 19', [-0.0427632, -1.12304, 1.0]], ['2, k, 20', [-0.201797, 0.0915385, 1.0]], ['2, k, 21', [-0.430982, -0.00728756, 1.0]], ['2, k, 22', [-0.354978, -0.00647175, 1.0]], ['2, k, 23', [0.208228, 0.0300186, 1.0]], ['2, k, 24', [0.222678, 0.0275978, 1.0]]]
[['2, k, 0', [-0.168521, -0.423337, 1.0]], ['2, k, 1', [-0.188599, -0.126321, 1.0]], ['2, k, 2', [-0.206243, 0.164118, 1.0]], ['2, k, 3', [-0.206404, 0.290083, 1.0]], ['2, k, 4', [-0.334921, 0.0852987, 1.0]], ['2, k, 5', [-0.391686, 0.0376008, 1.0]], ['2, k, 6', [-0.398527, 0.0150631, 1.0]], ['2, k, 7', [-0.384659, -0.005354, 1.0]], ['2, k, 8', [-0.0405926, 0.0769833, 1.0]], ['2, k, 9', [0.0922952, 0.0505474, 1.0]], ['2, k, 10', [0.152067, 0.0313655, 1.0]], ['2, k, 11', [0.206803, 0.0321547, 1.0]], ['2, k, 12', [-0.231836, -0.415191, 1.0]], ['2, k, 13', [-0.264051, -0.737992, 1.0]], ['2, k, 14', [-0.269811, -1.0738, 1.0]], ['2, k, 15', [-0.269355, -1.12573, 1.0]], ['2, k, 16', [-0.0997887, -0.419135, 1.0]], ['2, k, 17', [-0.0585576, -0.754251, 1.0]], ['2, k, 18', [-0.0463226, -1.06785, 1.0]], ['2, k, 19', [-0.0429271, -1.1231, 1.0]], ['2, k, 20', [-0.202643, 0.0923808, 1.0]], ['2, k, 21', [-0.386565, -0.00569789, 1.0]], ['2, k, 22', [-0.30595, -0.00121749, 1.0]], ['2, k, 23', [0.232977, 0.0345372, 1.0]], ['2, k, 24', [0.241457, 0.0208636, 1.0]]]
[['2, k, 0', [-0.168516, -0.422929, 1.0]], ['2, k, 1', [-0.189156, -0.125649, 1.0]], ['2, k, 2', [-0.20762, 0.164789, 1.0]], ['2, k, 3', [-0.206922, 0.290558, 1.0]], ['2, k, 4', [-0.333161, 0.0843925, 1.0]], ['2, k, 5', [-0.384854, 0.0416461, 1.0]], ['2, k, 6', [-0.380656, 0.000515158, 1.0]], ['2, k, 7', [-0.377223, -0.00561934, 1.0]], ['2, k, 8', [-0.040021, 0.0765753, 1.0]], ['2, k, 9', [0.0988538, 0.0510831, 1.0]], ['2, k, 10', [0.196668, 0.00574849, 1.0]], ['2, k, 11', [0.23108, 0.0367095, 1.0]], ['2, k, 12', [-0.231869, -0.414597, 1.0]], ['2, k, 13', [-0.26407, -0.738068, 1.0]], ['2, k, 14', [-0.26998, -1.07454, 1.0]], ['2, k, 15', [-0.269652, -1.12515, 1.0]], ['2, k, 16', [-0.099811, -0.418759, 1.0]], ['2, k, 17', [-0.0585559, -0.754554, 1.0]], ['2, k, 18', [-0.0457892, -1.06874, 1.0]], ['2, k, 19', [-0.0429938, -1.12447, 1.0]], ['2, k, 20', [-0.203718, 0.0930853, 1.0]], ['2, k, 21', [-0.372545, -0.00312702, 1.0]], ['2, k, 22', [-0.302439, -0.000490477, 1.0]], ['2, k, 23', [0.274962, 0.0435716, 1.0]], ['2, k, 24', [0.25644, 0.0215519, 1.0]]]
[['2, k, 0', [-0.168894, -0.422602, 1.0]], ['2, k, 1', [-0.189924, -0.125038, 1.0]], ['2, k, 2', [-0.208709, 0.165544, 1.0]], ['2, k, 3', [-0.207333, 0.291269, 1.0]], ['2, k, 4', [-0.331467, 0.0820177, 1.0]], ['2, k, 5', [-0.358896, 0.0409019, 1.0]], ['2, k, 6', [-0.367238, -0.0026695, 1.0]], ['2, k, 7', [-0.353895, -0.00302869, 1.0]], ['2, k, 8', [-0.0394731, 0.07786, 1.0]], ['2, k, 9', [0.105103, 0.0520336, 1.0]], ['2, k, 10', [0.200002, 0.00746699, 1.0]], ['2, k, 11', [0.24304, 0.0405527, 1.0]], ['2, k, 12', [-0.232474, -0.414716, 1.0]], ['2, k, 13', [-0.26414, -0.738198, 1.0]], ['2, k, 14', [-0.269946, -1.07532, 1.0]], ['2, k, 15', [-0.269819, -1.12478, 1.0]], ['2, k, 16', [-0.100339, -0.417954, 1.0]], ['2, k, 17', [-0.0586376, -0.753995, 1.0]], ['2, k, 18', [-0.0466527, -1.07188, 1.0]], ['2, k, 19', [-0.0433368, -1.12537, 1.0]], ['2, k, 20', [-0.204657, 0.0938392, 1.0]], ['2, k, 21', [-0.353295, 4.92199e-05, 1.0]], ['2, k, 22', [-0.28203, 0.00292043, 1.0]], ['2, k, 23', [0.266174, 0.0410987, 1.0]], ['2, k, 24', [0.286716, 0.0359267, 1.0]]]
[['2, k, 0', [-0.169049, -0.422715, 1.0]], ['2, k, 1', [-0.190348, -0.125013, 1.0]], ['2, k, 2', [-0.209456, 0.165869, 1.0]], ['2, k, 3', [-0.208481, 0.291734, 1.0]], ['2, k, 4', [-0.329947, 0.0803915, 1.0]], ['2, k, 5', [-0.338965, 0.044331, 1.0]], ['2, k, 6', [-0.329763, 0.00717419, 1.0]], ['2, k, 7', [-0.329208, -0.00101507, 1.0]], ['2, k, 8', [-0.0394605, 0.077898, 1.0]], ['2, k, 9', [0.117475, 0.0528592, 1.0]], ['2, k, 10', [0.207131, 0.0100682, 1.0]], ['2, k, 11', [0.264177, 0.0441204, 1.0]], ['2, k, 12', [-0.232988, -0.41623, 1.0]], ['2, k, 13', [-0.263989, -0.738168, 1.0]], ['2, k, 14', [-0.270069, -1.07576, 1.0]], ['2, k, 15', [-0.270804, -1.12447, 1.0]], ['2, k, 16', [-0.100539, -0.417527, 1.0]], ['2, k, 17', [-0.0587226, -0.753773, 1.0]], ['2, k, 18', [-0.0467611, -1.07203, 1.0]], ['2, k, 19', [-0.0434716, -1.12621, 1.0]], ['2, k, 20', [-0.205267, 0.0940916, 1.0]], ['2, k, 21', [-0.325034, -3.1128e-05, 1.0]], ['2, k, 22', [-0.256612, 0.00244158, 1.0]], ['2, k, 23', [0.292737, 0.0466038, 1.0]], ['2, k, 24', [0.308109, 0.0459149, 1.0]]]
[['2, k, 0', [-0.169244, -0.422784, 1.0]], ['2, k, 1', [-0.191355, -0.125025, 1.0]], ['2, k, 2', [-0.211747, 0.166082, 1.0]], ['2, k, 3', [-0.209372, 0.292167, 1.0]], ['2, k, 4', [-0.32754, 0.0797811, 1.0]], ['2, k, 5', [-0.355604, 0.05608, 1.0]], ['2, k, 6', [-0.315079, 0.0276786, 1.0]], ['2, k, 7', [-0.300809, 2.6413e-05, 1.0]], ['2, k, 8', [-0.0396405, 0.0807217, 1.0]], ['2, k, 9', [0.103058, 0.06303, 1.0]], ['2, k, 10', [0.22808, 0.012936, 1.0]], ['2, k, 11', [0.282889, 0.0467967, 1.0]], ['2, k, 12', [-0.233213, -0.41751, 1.0]], ['2, k, 13', [-0.264433, -0.737243, 1.0]], ['2, k, 14', [-0.270561, -1.07545, 1.0]], ['2, k, 15', [-0.271379, -1.12417, 1.0]], ['2, k, 16', [-0.10093, -0.416796, 1.0]], ['2, k, 17', [-0.0589842, -0.753938, 1.0]], ['2, k, 18', [-0.0474437, -1.0728, 1.0]], ['2, k, 19', [-0.0434432, -1.12648, 1.0]], ['2, k, 20', [-0.207121, 0.0942452, 1.0]], ['2, k, 21', [-0.295446, 0.000842809, 1.0]], ['2, k, 22', [-0.226379, 0.00634066, 1.0]], ['2, k, 23', [0.3075, 0.047157, 1.0]], ['2, k, 24', [0.322756, 0.0475687, 1.0]]]
