[['2, k, 0', [-0.340978, -0.263708, 1.0]], ['2, k, 1', [-0.346554, 0.0665629, 1.0]], ['2, k, 2', [-0.349745, 0.387352, 1.0]], ['2, k, 3', [-0.365952, 0.5479, 1.0]], ['2, k, 4', [-0.551167, 0.288576, 1.0]], ['2, k, 5', [-0.595984, -0.012016, 1.0]], ['2, k, 6', [-0.632688, -0.264634, 1.0]], ['2, k, 7', [-0.623134, -0.310138, 1.0]], ['2, k, 8', [-0.166746, 0.279703, 1.0]], ['2, k, 9', [-0.093923, -0.0137255, 1.0]], ['2, k, 10', [-0.0792408, -0.268663, 1.0]], ['2, k, 11', [-0.0796408, -0.330388, 1.0]], ['2, k, 12', [-0.423416, -0.257396, 1.0]], ['2, k, 13', [-0.415824, -0.646007, 1.0]], ['2, k, 14', [-0.414584, -1.04289, 1.0]], ['2, k, 15', [-0.429199, -1.09375, 1.0]], ['2, k, 16', [-0.247887, -0.261841, 1.0]], ['2, k, 17', [-0.225605, -0.688887, 1.0]], ['2, k, 18', [-0.185345, -1.03833, 1.0]], ['2, k, 19', [-0.182129, -1.0957, 1.0]], ['2, k, 20', [-0.349353, 0.308527, 1.0]], ['2, k, 21', [-0.623, -0.371948, 1.0]], ['2, k, 22', [-0.55821, -0.341762, 1.0]], ['2, k, 23', [-0.0757964, -0.394066, 1.0]], ['2, k, 24', [-0.138496, -0.362331, 1.0]]]
[['2, k, 0', [-0.340972, -0.263662, 1.0]], ['2, k, 1', [-0.34664, 0.0666306, 1.0]], ['2, k, 2', [-0.350118, 0.387484, 1.0]], ['2, k, 3', [-0.365948, 0.547896, 1.0]], ['2, k, 4', [-0.550994, 0.288533, 1.0]], ['2, k, 5', [-0.595966, -0.0119522, 1.0]], ['2, k, 6', [-0.632764, -0.264541, 1.0]], ['2, k, 7', [-0.62324, -0.309833, 1.0]], ['2, k, 8', [-0.166727, 0.279704, 1.0]], ['2, k, 9', [-0.0939251, -0.0137128, 1.0]], ['2, k, 10', [-0.0792602, -0.268632, 1.0]], ['2, k, 11', [-0.0796576, -0.330263, 1.0]], ['2, k, 12', [-0.423416, -0.257364, 1.0]], ['2, k, 13', [-0.415711, -0.645781, 1.0]], ['2, k, 14', [-0.414461, -1.0426, 1.0]], ['2, k, 15', [-0.429199, -1.09375, 1.0]], ['2, k, 16', [-0.247869, -0.261768, 1.0]], ['2, k, 17', [-0.225589, -0.688844, 1.0]], ['2, k, 18', [-0.185302, -1.03868, 1.0]], ['2, k, 19', [-0.182149, -1.0957, 1.0]], ['2, k, 20', [-0.349634, 0.308643, 1.0]], ['2, k, 21', [-0.619219, -0.373664, 1.0]], ['2, k, 22', [-0.558162, -0.342278, 1.0]], ['2, k, 23', [-0.0778458, -0.395034, 1.0]], ['2, k, 24', [-0.138585, -0.36257, 1.0]]]
[['2, k, 0', [-0.340887, -0.263468, 1.0]], ['2, k, 1', [-0.346632, 0.0666819, 1.0]], ['2, k, 2', [-0.350127, 0.387485, 1.0]], ['2, k, 3', [-0.365987, 0.54793, 1.0]], ['2, k, 4', [-0.550999, 0.288561, 1.0]], ['2, k, 5', [-0.595923, -0.0119561, 1.0]], ['2, k, 6', [-0.632711, -0.264518, 1.0]], ['2, k, 7', [-0.623885, -0.309304, 1.0]], ['2, k, 8', [-0.16672, 0.279696, 1.0]], ['2, k, 9', [-0.0938552, -0.0135166, 1.0]], ['2, k, 10', [-0.0792599, -0.268403, 1.0]], ['2, k, 11', [-0.0795541, -0.330468, 1.0]], ['2, k, 12', [-0.423341, -0.257165, 1.0]], ['2, k, 13', [-0.415711, -0.645778, 1.0]], ['2, k, 14', [-0.41444, -1.04261, 1.0]], ['2, k, 15', [-0.429191, -1.09375, 1.0]], ['2, k, 16', [-0.247773, -0.26158, 1.0]], ['2, k, 17', [-0.22567, -0.688745, 1.0]], ['2, k, 18', [-0.185431, -1.03859, 1.0]], ['2, k, 19', [-0.182148, -1.0957, 1.0]], ['2, k, 20', [-0.34964, 0.30865, 1.0]], ['2, k, 21', [-0.623151, -0.370041, 1.0]], ['2, k, 22', [-0.558369, -0.341831, 1.0]], ['2, k, 23', [-0.077292, -0.395008, 1.0]], ['2, k, 24', [-0.138173, -0.361989, 1.0]]]
[['2, k, 0', [-0.340914, -0.263436, 1.0]], ['2, k, 1', [-0.34666, 0.0666969, 1.0]], ['2, k, 2', [-0.350152, 0.387487, 1.0]], ['2, k, 3', [-0.366014, 0.547942, 1.0]], ['2, k, 4', [-0.550955, 0.288667, 1.0]], ['2, k, 5', [-0.595984, -0.0117895, 1.0]], ['2, k, 6', [-0.632648, -0.264333, 1.0]], ['2, k, 7', [-0.624358, -0.310125, 1.0]], ['2, k, 8', [-0.166694, 0.279684, 1.0]], ['2, k, 9', [-0.0938595, -0.0133503, 1.0]], ['2, k, 10', [-0.0792532, -0.268192, 1.0]], ['2, k, 11', [-0.0799793, -0.330051, 1.0]], ['2, k, 12', [-0.423373, -0.2571, 1.0]], ['2, k, 13', [-0.415734, -0.645598, 1.0]], ['2, k, 14', [-0.414486, -1.04254, 1.0]], ['2, k, 15', [-0.42923, -1.09365, 1.0]], ['2, k, 16', [-0.247795, -0.261573, 1.0]], ['2, k, 17', [-0.225683, -0.688747, 1.0]], ['2, k, 18', [-0.185523, -1.03858, 1.0]], ['2, k, 19', [-0.182161, -1.0957, 1.0]], ['2, k, 20', [-0.349667, 0.308654, 1.0]], ['2, k, 21', [-0.621855, -0.371268, 1.0]], ['2, k, 22', [-0.558105, -0.34198, 1.0]], ['2, k, 23', [-0.0784324, -0.394045, 1.0]], ['2, k, 24', [-0.136069, -0.36223, 1.0]]]
[['2, k, 0', [-0.341071, -0.26318, 1.0]], ['2, k, 1', [-0.346705, 0.0667576, 1.0]], ['2, k, 2', [-0.350162, 0.387481, 1.0]], ['2, k, 3', [-0.366099, 0.547948, 1.0]], ['2, k, 4', [-0.55097, 0.288643, 1.0]], ['2, k, 5', [-0.596015, -0.0115808, 1.0]], ['2, k, 6', [-0.632711, -0.264062, 1.0]], ['2, k, 7', [-0.623444, -0.310287, 1.0]], ['2, k, 8', [-0.166697, 0.279529, 1.0]], ['2, k, 9', [-0.0938986, -0.0132948, 1.0]], ['2, k, 10', [-0.0792713, -0.268073, 1.0]], ['2, k, 11', [-0.0800778, -0.33068, 1.0]], ['2, k, 12', [-0.423566, -0.256745, 1.0]], ['2, k, 13', [-0.415709, -0.645612, 1.0]], ['2, k, 14', [-0.414408, -1.04062, 1.0]], ['2, k, 15', [-0.429265, -1.09356, 1.0]], ['2, k, 16', [-0.24792, -0.261402, 1.0]], ['2, k, 17', [-0.225677, -0.688917, 1.0]], ['2, k, 18', [-0.185283, -1.03916, 1.0]], ['2, k, 19', [-0.182219, -1.09633, 1.0]], ['2, k, 20', [-0.349681, 0.308661, 1.0]], ['2, k, 21', [-0.621783, -0.372199, 1.0]], ['2, k, 22', [-0.559439, -0.342035, 1.0]], ['2, k, 23', [-0.0771026, -0.394132, 1.0]], ['2, k, 24', [-0.13718, -0.361569, 1.0]]]
[['2, k, 0', [-0.341205, -0.262671, 1.0]], ['2, k, 1', [-0.346701, 0.0668697, 1.0]], ['2, k, 2', [-0.350115, 0.387459, 1.0]], ['2, k, 3', [-0.366147, 0.547948, 1.0]], ['2, k, 4', [-0.55117, 0.288598, 1.0]], ['2, k, 5', [-0.595936, -0.0115456, 1.0]], ['2, k, 6', [-0.633065, -0.263881, 1.0]], ['2, k, 7', [-0.623848, -0.310481, 1.0]], ['2, k, 8', [-0.1667, 0.279527, 1.0]], ['2, k, 9', [-0.0939638, -0.0129602, 1.0]], ['2, k, 10', [-0.0792496, -0.267661, 1.0]], ['2, k, 11', [-0.079424, -0.330478, 1.0]], ['2, k, 12', [-0.423662, -0.256332, 1.0]], ['2, k, 13', [-0.415617, -0.645481, 1.0]], ['2, k, 14', [-0.414351, -1.03939, 1.0]], ['2, k, 15', [-0.429271, -1.09356, 1.0]], ['2, k, 16', [-0.248093, -0.260814, 1.0]], ['2, k, 17', [-0.225543, -0.689651, 1.0]], ['2, k, 18', [-0.184995, -1.03993, 1.0]], ['2, k, 19', [-0.181964, -1.09663, 1.0]], ['2, k, 20', [-0.349651, 0.30866, 1.0]], ['2, k, 21', [-0.6197, -0.373882, 1.0]], ['2, k, 22', [-0.558746, -0.341947, 1.0]], ['2, k, 23', [-0.0756906, -0.393549, 1.0]], ['2, k, 24', [-0.136654, -0.362375, 1.0]]]
[['2, k, 0', [-0.341264, -0.262607, 1.0]], ['2, k, 1', [-0.34677, 0.0669185, 1.0]], ['2, k, 2', [-0.350168, 0.38747, 1.0]], ['2, k, 3', [-0.366194, 0.54799, 1.0]], ['2, k, 4', [-0.5509, 0.288618, 1.0]], ['2, k, 5', [-0.596091, -0.0115546, 1.0]], ['2, k, 6', [-0.633007, -0.263778, 1.0]], ['2, k, 7', [-0.623583, -0.31121, 1.0]], ['2, k, 8', [-0.166702, 0.27953, 1.0]], ['2, k, 9', [-0.0941145, -0.0114112, 1.0]], ['2, k, 10', [-0.079367, -0.265939, 1.0]], ['2, k, 11', [-0.0797644, -0.329805, 1.0]], ['2, k, 12', [-0.423727, -0.256268, 1.0]], ['2, k, 13', [-0.415582, -0.645418, 1.0]], ['2, k, 14', [-0.414186, -1.03957, 1.0]], ['2, k, 15', [-0.429428, -1.09369, 1.0]], ['2, k, 16', [-0.248143, -0.260757, 1.0]], ['2, k, 17', [-0.225614, -0.689584, 1.0]], ['2, k, 18', [-0.184882, -1.0401, 1.0]], ['2, k, 19', [-0.181982, -1.09676, 1.0]], ['2, k, 20', [-0.349708, 0.30868, 1.0]], ['2, k, 21', [-0.62192, -0.372322, 1.0]], ['2, k, 22', [-0.558396, -0.341824, 1.0]], ['2, k, 23', [-0.0783293, -0.393454, 1.0]], ['2, k, 24', [-0.136619, -0.362148, 1.0]]]
[['2, k, 0', [-0.34143, -0.261774, 1.0]], ['2, k, 1', [-0.346937, 0.06723, 1.0]], ['2, k, 2', [-0.350277, 0.387497, 1.0]], ['2, k, 3', [-0.366258, 0.547967, 1.0]], ['2, k, 4', [-0.551057, 0.288648, 1.0]], ['2, k, 5', [-0.596126, -0.0115491, 1.0]], ['2, k, 6', [-0.633014, -0.263674, 1.0]], ['2, k, 7', [-0.623957, -0.310219, 1.0]], ['2, k, 8', [-0.166782, 0.27944, 1.0]], ['2, k, 9', [-0.0941884, -0.0116134, 1.0]], ['2, k, 10', [-0.0794253, -0.266035, 1.0]], ['2, k, 11', [-0.079931, -0.330483, 1.0]], ['2, k, 12', [-0.423855, -0.255432, 1.0]], ['2, k, 13', [-0.415668, -0.64516, 1.0]], ['2, k, 14', [-0.413495, -1.03791, 1.0]], ['2, k, 15', [-0.429429, -1.09369, 1.0]], ['2, k, 16', [-0.248356, -0.259934, 1.0]], ['2, k, 17', [-0.225701, -0.689572, 1.0]], ['2, k, 18', [-0.184846, -1.04022, 1.0]], ['2, k, 19', [-0.182043, -1.09675, 1.0]], ['2, k, 20', [-0.349826, 0.30875, 1.0]], ['2, k, 21', [-0.620958, -0.372851, 1.0]], ['2, k, 22', [-0.559307, -0.344117, 1.0]], ['2, k, 23', [-0.076942, -0.395462, 1.0]], ['2, k, 24', [-0.137871, -0.362068, 1.0]]]
[['2, k, 0', [-0.341423, -0.261784, 1.0]], ['2, k, 1', [-0.346964, 0.0672577, 1.0]], ['2, k, 2', [-0.350349, 0.387553, 1.0]], ['2, k, 3', [-0.366313, 0.547976, 1.0]], ['2, k, 4', [-0.551285, 0.288885, 1.0]], ['2, k, 5', [-0.596247, -0.0114004, 1.0]], ['2, k, 6', [-0.63299, -0.263471, 1.0]], ['2, k, 7', [-0.624815, -0.31042, 1.0]], ['2, k, 8', [-0.166825, 0.279393, 1.0]], ['2, k, 9', [-0.0942387, -0.01167, 1.0]], ['2, k, 10', [-0.0794597, -0.266017, 1.0]], ['2, k, 11', [-0.0800418, -0.330628, 1.0]], ['2, k, 12', [-0.423837, -0.255412, 1.0]], ['2, k, 13', [-0.415638, -0.64489, 1.0]], ['2, k, 14', [-0.413533, -1.03797, 1.0]], ['2, k, 15', [-0.429456, -1.0937, 1.0]], ['2, k, 16', [-0.248357, -0.259972, 1.0]], ['2, k, 17', [-0.225876, -0.689445, 1.0]], ['2, k, 18', [-0.184958, -1.04006, 1.0]], ['2, k, 19', [-0.182099, -1.09679, 1.0]], ['2, k, 20', [-0.349886, 0.3088, 1.0]], ['2, k, 21', [-0.623344, -0.373139, 1.0]], ['2, k, 22', [-0.557187, -0.343118, 1.0]], ['2, k, 23', [-0.0781158, -0.394488, 1.0]], ['2, k, 24', [-0.13789, -0.362128, 1.0]]]
[['2, k, 0', [-0.342053, -0.261468, 1.0]], ['2, k, 1', [-0.347188, 0.0674084, 1.0]], ['2, k, 2', [-0.35036, 0.387568, 1.0]], ['2, k, 3', [-0.366482, 0.547947, 1.0]], ['2, k, 4', [-0.551554, 0.288918, 1.0]], ['2, k, 5', [-0.596298, -0.0113629, 1.0]], ['2, k, 6', [-0.63299, -0.263374, 1.0]], ['2, k, 7', [-0.623821, -0.310511, 1.0]], ['2, k, 8', [-0.166826, 0.27939, 1.0]], ['2, k, 9', [-0.0942558, -0.011598, 1.0]], ['2, k, 10', [-0.0795153, -0.265871, 1.0]], ['2, k, 11', [-0.0800569, -0.330717, 1.0]], ['2, k, 12', [-0.424282, -0.255361, 1.0]], ['2, k, 13', [-0.408954, -0.648398, 1.0]], ['2, k, 14', [-0.413692, -1.03756, 1.0]], ['2, k, 15', [-0.429514, -1.09379, 1.0]], ['2, k, 16', [-0.249367, -0.259217, 1.0]], ['2, k, 17', [-0.225981, -0.689258, 1.0]], ['2, k, 18', [-0.184936, -1.03989, 1.0]], ['2, k, 19', [-0.18216, -1.09696, 1.0]], ['2, k, 20', [-0.349927, 0.308837, 1.0]], ['2, k, 21', [-0.620597, -0.372537, 1.0]], ['2, k, 22', [-0.558441, -0.343436, 1.0]], ['2, k, 23', [-0.0805703, -0.39569, 1.0]], ['2, k, 24', [-0.138041, -0.362287, 1.0]]]
[['2, k, 0', [-0.342241, -0.261339, 1.0]], ['2, k, 1', [-0.347398, 0.0675665, 1.0]], ['2, k, 2', [-0.350522, 0.387676, 1.0]], ['2, k, 3', [-0.366671, 0.548051, 1.0]], ['2, k, 4', [-0.551604, 0.288923, 1.0]], ['2, k, 5', [-0.596352, -0.0113569, 1.0]], ['2, k, 6', [-0.633, -0.263319, 1.0]], ['2, k, 7', [-0.623968, -0.310303, 1.0]], ['2, k, 8', [-0.16687, 0.279347, 1.0]], ['2, k, 9', [-0.0942515, -0.011601, 1.0]], ['2, k, 10', [-0.0795728, -0.265813, 1.0]], ['2, k, 11', [-0.0800497, -0.33029, 1.0]], ['2, k, 12', [-0.424432, -0.255365, 1.0]], ['2, k, 13', [-0.409662, -0.648164, 1.0]], ['2, k, 14', [-0.413707, -1.0375, 1.0]], ['2, k, 15', [-0.429636, -1.09385, 1.0]], ['2, k, 16', [-0.249675, -0.258856, 1.0]], ['2, k, 17', [-0.226046, -0.689428, 1.0]], ['2, k, 18', [-0.184834, -1.04007, 1.0]], ['2, k, 19', [-0.182043, -1.0972, 1.0]], ['2, k, 20', [-0.350107, 0.308963, 1.0]], ['2, k, 21', [-0.617977, -0.374432, 1.0]], ['2, k, 22', [-0.559014, -0.343374, 1.0]], ['2, k, 23', [-0.0768031, -0.394957, 1.0]], ['2, k, 24', [-0.13814, -0.362445, 1.0]]]
